#漢字	音標	解釋
坎	kʰan3	
坐	dzo6	
坑	kʰən1	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	bin2	
坯	pʰei1	
坳	ŋau5	
垂	dzei2	
型	ʑin2	
垮	kʰua3	
垻	pa5	
埂	kən3	
埃	ŋai2	
埋	mai2	
城	dʑin2	
域	y5	
埠	bu6	
埯	ŋan3	坑
執	tɕi6	
培	bei2	
基	tɕi1	
堂	daŋ2	
堅	tɕiɛ̃1	
堆	tei1	
堡	pau3	
堤	di2	
堪	kʰan1	
堯	ȵiau2	
報	pau5	
場	dʑiaŋ2	
堵	tu3	
塊	kʰuai3	
塋	vyn2	
塌	tʰa6	
塍	dʑin2	
塑	su5	
塔	tʰa6	
塗	du2	
塘	daŋ2	
塚	tsuŋ3	
塞	sə6	
塢	u1	
填	diɛ̃2	
塵	dʑin2	
境	tɕin3	
墊	diɛ̃6	
墓	mo6	
墜	dei6	
增	tsən1	
墟	ɕy1	
墨	mə5	
墨	mə6	(又)
墩	tən1	
墳	vən2	
墾	kʰən3	
壁	pi6	
壇	dan2	
壓	ia6	
壕	ɣau2	
壘	lei3	
壞	vai6	
壠	luŋ3	
壤	iaŋ6	
壩	pa5	
士	dzɿ6	
壬	in2	
壯	tsaŋ5	
壺	vu2	
壽	ʑiəu6	
夏	ʑia6	
夕	ɕi6	
外	uai6	
多	to1	
夜	ia6	(白)
夠	kei5	
夢	muŋ6	
夥	xo3	
大	da6	
天	tʰiɛ̃1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	
失	ɕi6	
夷	i2	
夾	ka6	(白)
夾	ɕia6	(文)
奇	dʑi2	
奈	lai6	
奉	ɣuŋ6	
奎	kuei1	
奏	tsei5	
契	tɕʰi5	
奔	pən1	
套	tʰau5	
奚	ɕi1	
奠	diɛ̃6	
奢	ɕiɛ1	
奧	ŋau5	
奪	to6	
奮	fən5	
女	ȵy3	
奴	lu2	
奶	lai3	
奸	kan1	
好	xau3	～壞
好	xau5	喜～
如	y2	
妃	fei1	
妄	uaŋ5	
妓	dʑi6	
妖	iau1	
妙	miau5	
妥	tʰo3	
妨	vaŋ2	
妬	tu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ6	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	(文)
姐	tɕia5	(白)
姑	ku1	
姓	ɕin5	
委	uei3	
姘	pʰin5	
姚	iau2	
姜	tɕiaŋ1	
姦	kan1	
姨	i2	
姪	dʑi6	
姻	in1	
姿	tsɿ1	
威	uei1	
娘	ȵiaŋ2	
娛	u2	
娛	y2	
娠	ʑin2	
娩	miɛ̃3	
娶	tɕʰy3	
婆	bo2	
婚	fən1	
婢	bi6	
婦	vu6	
婿	ɕi6	
媒	mei2	
媚	mi2	
媳	ɕi6	
媽	ma1	
嫁	ka5	
嫂	sau3	
嫌	ʑiɛ̃2	
嫖	biau2	
嫡	ti6	
嫩	lən6	
嬉	ɕi1	
嬌	tɕiau1	
嬰	in1	
嬸	ɕin3	
孀	saŋ1	
子	tsɿ3	
孔	kʰuŋ3	
孕	in6	
字	dzɿ6	
存	dzən2	
孝	ɕiau5	
孟	muŋ5	
季	tɕi5	
孤	ku1	
孩	ɣai2	
孫	sən1	
孵	fu1	
學	ɕio6	
孽	ȵiɛ6	
宅	tsʰə6	
宇	y3	
守	ɕiəu3	
安	ŋan1	
宋	suŋ5	
完	uã2	
宏	ɣuŋ2	
宗	tsuŋ1	
官	kuã1	
宙	dʑiəu6	
定	din6	
宛	uã3	
宜	ȵi2	
客	kʰə6	
宣	ɕiɛ̃1	
室	ɕi6	
宦	van6	
宮	kuŋ1	
宰	tsai3	
害	ɣai6	
宵	ɕiau1	
家	ka1	(白)
家	tɕia1	(文)
容	yŋ2	
宿	su6	星～
宿	su6	
寂	tɕʰi6	
寄	tɕi5	
寅	in2	
密	mi6	
寇	kʰei5	
富	fu5	
寐	mei5	
寒	ɣan2	
寓	y5	
寞	mo6	
察	tsʰa6	
寡	kua3	
寢	tɕʰin3	
寥	liau2	
實	ɕi6	
寧	ȵin2	
寨	dzai6	
審	ɕin3	
寫	ɕiɛ3	
寬	kʰuã1	
寵	tsʰuŋ3	
寶	pau3	
寸	tsʰən5	
寺	dzɿ6	
封	xuŋ1	
射	ʑia6	(白)
射	ʑiɛ6	(文)
將	tɕiaŋ1	～來
將	tɕiaŋ5	大～
專	kɛ̃1	
尊	tsən1	
尋	dʑin2	
對	tei5	
導	tʰau5	
小	ɕiau3	
少	ɕiau3	多～
少	ɕiau5	～年
尖	tɕiɛ̃1	
尚	ʑiaŋ6	
尤	iəu2	
尬	kai5	
就	dʑiəu6	
尷	kan1	
尸	sɿ1	
尹	vyn3	
尺	tɕʰi6	(文)
尺	tɕʰia6	(白)
尼	ȵi2	
尾	uei3	
尿	ȵiau6	
局	tɕy6	
屁	pʰi5	
居	tɕy1	
屆	kai5	
屈	tɕʰy6	
屋	vu6	
屍	sɿ1	
屎	sɿ3	
屏	bin2	
屐	tɕi1	木～
展	tɕiɛ̃3	
屜	tʰi5	
屠	du2	
屢	lei3	
層	dzən2	
屬	ɕy6	
山	san1	
岐	dʑi2	
岔	tsʰa5	
岩	ŋai2	
岳	io6	
岸	ŋan5	
峯	xuŋ1	
島	tau3	
峽	ɕia6	
崇	dzuŋ2	
崑	kʰuən1	
崔	tsʰei1	
崖	ŋai2	
崗	kaŋ1	
崙	lən2	
崩	pən1	
嵌	kʰan1	
嵩	suŋ1	
嶺	lin3	
嶽	io6	
川	kʰɛ̃1	
州	tɕiəu1	
巡	dzən2	
巢	dzau2	
工	kuŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tɕy5	
巫	vu2	
差	tsʰa1	
差	tsʰai1	出～
己	tɕi3	
已	i3	
巳	dzɿ6	
巴	pa1	
巷	ɣaŋ6	
巾	tɕin1	
市	dzɿ6	
布	pu5	
帆	van2	
希	ɕi1	
帕	pʰa5	
帖	tʰiɛ6	
帚	tɕiəu3	
帛	bə6	
帝	ti5	
帥	sai5	
師	sɿ1	
席	ɕi6	
帳	tɕiaŋ5	
帶	tai5	
常	ʑiaŋ2	
帽	mau6	
幅	fu5	
幔	man5	
幕	mo5	
幣	pi5	
幫	paŋ1	
干	kan1	
平	bin2	
年	ȵiɛ̃2	
幸	ɣən6	
幹	kan5	～部
幺	iau1	～二三
幻	van6	
幼	iəu5	
幽	iəu1	
幾	tɕi3	～乎
庇	pʰi6	
牀	dzaŋ2	
序	ɕy5	
底	ti3	
店	tiɛ̃5	
庚	kən1	
府	fu3	
度	du6	
座	dzo6	
庫	kʰu5	
庭	din2	
庵	ŋan1	
庶	ɕy5	
康	kʰaŋ1	
庸	yŋ2	
廂	ɕiaŋ1	
廈	ʑia6	
廉	liɛ̃2	
廊	laŋ2	
廓	ko6	
廖	liau5	
廚	dʑy2	
廝	sɿ1	
廟	miau6	
廠	tɕʰiaŋ3	
廢	fei5	
廣	kuaŋ3	
廬	lu2	
廳	tʰin1	
延	iɛ̃2	
廷	din2	
建	tɕiɛ̃5	
弄	luŋ5	
弊	pi5	
式	sɿ5	
弓	kuŋ1	
引	in3	
弘	ɣuŋ2	
弟	di6	
弦	ʑyɛ̃2	
弱	ȵio6	
張	tɕiaŋ1	
強	dʑiaŋ2	
強	tɕʰiaŋ3	勉～
弼	pʰi6	
彈	dan2	～琴；子～
彌	mi2	
彎	uã1	
形	ʑin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	bən2	
影	in3	
彷	faŋ3	
役	y6	
彼	pi3	
彿	fu6	
往	uaŋ3	
征	tɕin1	
待	dai6	
很	xən3	
律	ly6	
後	ɣei6	
徐	dʑy2	
徑	tɕin5	
徒	du2	
得	tə6	
徙	ɕi3	
從	tsʰuŋ1	～容
從	dzuŋ2	跟～
御	y5	
復	fu6	～原
復	vu6	～興
循	dzən2	
微	uei2	
徵	tɕin1	
德	tə6	
徹	tɕʰiɛ6	
徽	fei1	
心	ɕin1	
必	pi6	
忌	tɕi6	
忍	in3	
忖	tsʰən3	
志	tsɿ5	
忘	uaŋ2	
忙	maŋ2	
忠	tsuŋ1	
快	kʰuai5	
念	ȵiɛ̃6	
忽	fə6	
忿	vən6	
怒	lu6	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	dai6	
急	tɕi6	
性	ɕin5	
怨	yɛ̃5	
怪	kuai5	
怯	tɕʰiɛ6	
恃	sɿ5	
恆	ɣən2	
恐	kʰuŋ3	
恕	ɕy5	
恢	fei1	
恤	ɕi6	
恥	tsʰɿ3	
恨	ɣən6	
恩	ŋən1	
恭	kuŋ1	
息	ɕi6	
恰	tɕʰia6	
悄	tɕʰiau1	
悅	yɛ6	
悉	ɕi6	
悔	fei5	
悟	u5	
悠	iəu1	
患	van6	
