#漢字	音標	解釋
境	tɕin5	
墉	yn1	施肥
墓	mu5	
牆	tɕʰiɑŋ1	
增	tsən1	
墟	ɕy1	墟市
墨	mə5	
墩	tuən1	
壁	pi5	
壕	xɔo1	
壠	luən3	
壤	ʐɑŋ3	土壤
士	ʂʅ5	
壬	ʐən1	
壯	tʂuɑŋ5	
聲	ʂən1	
殼	kʰə1	
壺	xu1	
處	tʂʰu5	处所
處	tʂʰu3	相处
備	pi5	
夏	ɕia5	姓
夏	ɕia5	春夏
夕	ɕi1	
外	vɛi5	
多	tuə5	
夜	ie5	
够	kɤu5	
大	ta5	
大	tɛi5	大黄,药名
天	tʰiɛ̃1	
太	tʰɛi5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	打夯
失	ʂʅ1	
頭	tʰɤu1	
夷	ʑi1	
夸	kʰua1	
夾	tɕia1	
奪	tuə1	
奇	tɕʰi1	
奈	nɛi5	
奉	fən5	
奮	fən5	
奎	kʰuei1	
奏	tsɤu5	
契	tɕʰi5	契约
奔	pən1	
獎	tɕiɑŋ3	
套	tʰɔo5	
奚	ɕi1	
奠	tiɛ̃5	
奢	ʂə1	
奧	ɔo5	
女	ny3	
奴	nu1	
奶	nɛi3	
奸	tɕiɛ̃1	
好	xɔo5	喜好
好	xɔo5	好坏
如	ʐu1	
妃	fei1	
妄	vɑŋ5	
婦	fu5	
媽	ma1	
妍	pʰin5	妍头
妓	tɕi5	
妖	iɔo1	
妗	tɕin5	舅母
妙	miɔo5	
妥	tʰuə3	
妨	fɑŋ1	妨害
妬	tu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	vei3	
姚	iɔo1	
姜	tɕiɑŋ1	
姨	ʑi1	
姪	tʂʅ1	
姻	in1	
姿	tsɿ1	
威	vei1	
嬌	tɕiɔo1	
娘	ȵiɑŋ1	
娠	ʂən1	
娩	miɛ̃3	分娩
娛	ʑy1	
娶	tɕʰy3	
婆	pʰə1	
婚	xuən1	
婢	pi5	
嬰	in1	
嬸	ʂən3	
婿	ɕy1	女婿,原文记作壻
媒	mei1	
媚	mei5	
媳	ɕi5	
嫁	tɕia5	
嫂	sɔo3	
嫌	ɕiɛ̃1	
