#漢字	音標	解釋
䙡	kʰuei5	绳~子
攏	luəŋ3	
揀	tɕiæ̃3	
擁	yəŋ1	
擁	yəŋ3	
攔	læ̃2	
擰	ȵiəŋ2	
撥	pɤ1	
擇	tʂei2	
括	kʰuɤ1	
拳	tɕʰyæ̃2	
拴	ʂuæ̃1	
拼	pʰiəŋ3	
拼	pæ̃5	~命
拽	tʂʰuɛ5	~下了
拾	ʂʅ2	
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tsɿ3	
指	vɛ3	
按	næ̃5	
挎	kʰua5	
挏	tʰuəŋ3	挪移搬迁~家将物体从一个器具传入另一个器具~粮食
挑	tʰiau1	
挑	tʰiau3	~拨
挖	va1	
攣	lyæ̃2	
挾	tɕia1	~菜
擋	taŋ5	
掙	tʂəŋ5	
擠	tɕi3	
揮	xuei1	
挨	nɛ1	
挪	nuɤ2	
振	tʂəŋ5	
挺	tʰiəŋ3	
挼	ʐua2	
捂	vu3	
捅	tʰuəŋ1	
捉	tʂuɤ1	
捋	ly3	
捋	y3	
捋	tʂʰua3	
捎	sau1	
捏	ȵie1	
捐	tɕyæ̃1	
捕	pʰu3	
撈	lau1	
損	suəŋ3	
撿	tɕiæ̃3	
換	xuæ̃5	
捧	pʰəŋ3	
捩	lie3	扭
据	tɕy5	
捱	nɛ2	~打
捶	tʂʰuei2	
捷	tɕie2	~路
捺	na1	
捻	ȵiæ̃3	
捼	vɤ1	
掀	ɕiæ̃1	
掂	tiæ̃1	~量
掉	tiau5	
掉	tʰiau5	~头打个~
掌	tʂaŋ3	
掏	tʰau1	
掐	tɕʰia1	
排	pʰɛ2	
掠	lyo1	
探	tʰæ̃5	
接	tɕie1	
推	tʰuei1	
掩	iæ̃3	
掬	tɕy1	
掯	kʰəŋ5	卡住勒掯
擲	tʂʅ1	~色子
揉	ʐəu2	
揍	tʂəu5	
描	miau2	
提	tʰi2	
插	tʂʰa1	
揖	i1	
揞	næ̃3	~住
握	vɤ1	~手
握	yo1	~手
揣	tʂʰuɛ3	
揩	kʰɛ1	
揪	tɕiəu1	
揭	tɕie1	
揳	ɕie1	
援	yæ̃2	
攬	læ̃3	
攙	tʂʰæ̃1	
擱	kuɤ1	
摟	ləu3	
攪	tɕiau3	
搊	tʂʰəu1	扶
搋	tʂʰuɛ1	
搌	tʂæ̃3	
搏	pɤ2	
搐	tʂʰu1	紧缩不展
搓	tʂʰuɤ1	
搛	tɕiæ̃1	~菜
搜	səu1	
搞	kau3	
搡	saŋ3	推
搧	ʂæ̃1	~批耳子扇耳光
搪	tʰaŋ2	~瓷
搬	pæ̃1	
搭	ta1	
搲	va3	舀取~面
搷	tʰiæ̃2	拳击
搽	tʂʰa2	
摆	pɛ3	
摇	iau2	
攤	tʰæ̃1	
摘	tʂei1	
摞	luɤ5	
摧	tʂʰuei1	
摸	mɤ1	
摽	pʰiau1	扔东西击打朝头~了一砖
撅	tɕyo5	~嘴
撇	pʰie1	扔掉
撉	tuəŋ1	重掷
撑	tʂʰəŋ1	
撒	sa3	
撕	sɿ1	
撕	tʂʰua3	
撞	tʂʰuaŋ5	
撧	tɕyo1	~断
撩	liau5	
撩	liau2	~起来
撬	tɕʰiau5	
播	pɤ3	
撮	tʂuɤ1	
攆	ȵiæ̃3	
攛	tʂʰuæ̃1	~板糊弄
擀	kæ̃3	~面
操	tʂʰau1	
擘	pei1	~开
擤	ɕiəŋ3	
擦	tʂʰa1	
擩	ʐu3	~进去
攀	pʰæ̃1	
攢	tʂæ̃3	~钱
攮	naŋ3	用刀子等戳
支	tsɿ1	
收	ʂəu1	
改	kɛ3	
攻	kuəŋ1	
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiau5	
敵	ti2	
敏	miəŋ3	
救	tɕiəu5	
教	tɕiau1	~书
教	tɕiau5	~育急性子~环县俗语老驴驮了个烂风箱扇得~
斂	liæ̃3	
敞	tʂʰaŋ3	
敢	kæ̃3	
散	sæ̃3	~装
散	sæ̃5	~学
敦	tuəŋ1	
㪗	tʰəu3	展开~开
敬	tɕiəŋ5	
數	ʂu3	动词
數	ʂu5	名词
敲	kʰau1	饥饿等难以忍耐的感觉
整	tʂəŋ3	
敹	liau2	缝补
敿	tɕiau5	捆系结用铁丝~住
文	vəŋ2	
斌	piəŋ1	
斑	pæ̃1	
斗	təu5	
料	liau5	
斜	ɕie2	
斤	tɕiəŋ1	
斥	tʂʰʅ1	
斥	ɕyo3	
斧	fu3	
斬	tʂæ̃3	
斫	tʂa3	
斫	tʂuɤ3	砍
斷	tuæ̃5	
新	ɕiəŋ1	
方	faŋ1	
施	sɿ1	
旁	pʰaŋ2	
旅	ly3	
旅	y3	
旋	ɕyæ̃2	
旋	ɕyæ̃5	边~走~看
族	tsu2	
旗	tɕʰi2	
無	vu2	
既	tɕi5	
日	ʐʅ1	
旦	tæ̃5	
舊	tɕiəu5	
旨	tsɿ3	
早	tʂau3	
旬	ɕyəŋ2	
旱	xæ̃5	
時	sɿ2	
曠	kʰuaŋ5	
旺	vaŋ5	
昂	naŋ2	
昌	tʂʰaŋ1	
明	miəŋ2	
昏	xuəŋ1	
易	i5	
星	ɕiəŋ1	
映	iəŋ3	
映	iəŋ5	
春	tʂʰuəŋ1	
昧	mi5	愚~
昨	tʂuɤ2	
是	pʰia3	
是	sɿ5	
晝	tʂəu5	
顯	ɕiæ̃3	
晃	xuaŋ3	
晃	xuaŋ5	
晌	ʂaŋ3	~午
曬	sɛ5	
曉	ɕiau3	
暈	yəŋ5	
晚	væ̃3	
晦	ʂuəŋ2	
晨	tʂʰəŋ2	
普	pʰu3	
景	tɕiəŋ3	
晴	tɕʰiəŋ2	
晶	tɕiəŋ1	
智	tʂʅ5	
晾	liaŋ5	
暫	tʂæ̃3	
暑	ʂu3	
暖	næ̃3	
暗	næ̃5	
暮	mu5	
暴	pau5	
曰	yo1	
曲	tɕʰy1	
更	kəŋ5	~正
更	tɕiəŋ1	三~半夜
更	kəŋ1	五~
曹	tʂʰau2	
曾	tʂʰəŋ2	
替	tʰi5	
最	tʂuei5	
月	yo1	
有	iəu3	
朋	pʰəŋ2	
服	fu2	
朗	laŋ3	
望	vaŋ5	
朝	tʂau1	~夕
朝	tʂʰau2	~代
期	tɕʰi1	
朦	məŋ2	
木	mu1	
未	vei5	
末	mɤ1	
本	pəŋ3	
术	ʂu5	
朱	tʂu1	
朴	pʰu3	
朶	tuɤ3	
機	tɕi1	
朽	ɕiəu3	
殺	sa1	
雜	tʂa2	
權	tɕʰyæ̃2	
杆	kæ̃3	
杈	tʂʰa1	树~
李	li3	
杏	xəŋ5	
材	tʂʰɛ2	
村	tʂʰuəŋ1	
杖	tʂaŋ5	
杜	tu5	
束	ʂu1	
杠	kaŋ5	抬~烟气尘土等上升飞扬
條	tʰiau2	
來	lɛ2	
來	tʂʰua3	
來	tʂəu3	
楊	iaŋ2	
杯	pʰei1	
杰	tɕie2	
杵	tʂʰu3	
松	suəŋ1	
板	pæ̃3	
極	tɕi2	
構	kəu5	
析	ɕi1	
枕	tʂəŋ3	
林	liəŋ2	
枚	mei2	
果	kuɤ3	
枝	tsɿ1	
棗	tʂau3	
槍	tɕʰiaŋ1	
枯	kʰu3	
枵	ɕiau1	不牢靠易坏~薄
架	tɕia5	
枷	tɕia1	连~
柄	piəŋ3	
柏	pei1	
某	mu3	
染	ʐæ̃3	
柔	ʐəu2	
櫃	kuei5	
櫃	kʰuei5	
查	tʂʰa2	调~
柱	tʂu5	
柳	liəu3	
柴	tʂʰɛ2	
柿	sɿ5	
栅	tʂa1	
標	piau1	
棟	tuəŋ5	
欄	læ̃2	
樹	ʂu5	
栓	ʂuæ̃1	
栗	li1	
校	ɕiau5	
樣	iaŋ5	
核	xɛ1	~对
核	xu2	杏~子
根	kəŋ1	
格	kei1	
栽	tʂɛ1	
桁	ɕiəŋ2	~条
桂	kuei5	
桃	tʰau2	
桄	kuaŋ2	线~~
框	kʰuaŋ1	
案	næ̃5	
桊	ɕyæ̃5	牛鼻~子
桌	tʂuɤ1	
桑	saŋ1	
桔	tɕy1	
檔	taŋ5	
橋	tɕʰiau2	
樁	tʂuaŋ1	
桶	tʰuəŋ3	
梁	liaŋ2	
梅	mei2	
梢	sau1	
夢	məŋ5	
梧	vu2	
梨	li2	
梭	suɤ1	
梯	tʰi1	
械	tɕie5	
梳	ʂu1	
檢	tɕiæ̃3	
棉	miæ̃2	
棋	tɕʰi2	
棍	kuəŋ5	
棒	paŋ5	
棚	pʰəŋ2	
森	səŋ1	
棱	ləŋ2	
棵	kʰuɤ1	
棺	kuæ̃1	
椅	i3	
植	tʂʅ2	
椎	tʂuei1	
椒	tɕiau1	
椽	tʂʰuæ̃2	
椿	tʂʰuəŋ1	
楔	ɕie1	
楚	ʂau2	
楚	tʂʰu3	
楣	mi2	
楦	ɕyæ̃5	~鞋
楦	ɕyæ̃5	鞋~子
楷	kʰɛ3	
樓	ləu2	
概	kɛ5	
榆	y2	
榜	paŋ3	
榨	tʂa5	
槅	kɛ1	
槅	kei1	
槅	kɤ1	驾车耕地时套在牲畜颈上的人字形工具牛~头
槌	tʂʰuei2	棒~
槐	xuɛ2	
檻	kʰæ̃3	
槽	tʂʰau2	
樊	fæ̃2	
模	mɤ2	
橫	xuəŋ5	
橫	ɕyo2	品行恶劣
櫻	iəŋ1	
橛	tɕyo2	
橡	ɕiaŋ5	
檐	iæ̃2	
檁	liəŋ3	~条
欠	tɕʰiæ̃5	
次	tsʰɿ5	
歡	xuæ̃1	
欣	ɕiəŋ1	
歐	nəu3	
欲	y5	
欺	tɕʰi1	
欻	tʂʰua1	拟声词短促迅疾之声
款	kʰuæ̃3	
歇	ɕie1	
歉	tɕʰiæ̃5	
歌	kuɤ1	
止	tsɿ3	
正	tʂəŋ5	
正	tʂəŋ1	~月
此	tsʰɿ3	
步	pu5	
步	pʰu5	
武	vu3	
歧	tɕʰi2	
歧	tɕʰi2	分~
歪	vɛ1	
死	sɿ3	
殁	mɤ1	去世
殃	iaŋ1	
殊	ʂu2	
殘	tʂʰæ̃2	
殮	liæ̃5	入~
殖	tʂʅ2	养~
殖	ʂʅ2	骨~
殛	tɕi1	雷~
毆	nəu3	~打
段	tuæ̃5	
殷	iəŋ1	
殿	tiæ̃5	
毁	xuei3	~坏
毁	ɕy5	~牙
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	
畢	pi1	结束吃~了
斃	pi5	
毛	mau2	
毡	tʂæ̃1	
毫	xau2	
毯	tʰæ̃3	
毽	tɕiæ̃5	
氄	ʐuəŋ3	~毛
氏	sɿ5	
民	miəŋ2	
氓	maŋ2	流~
气	ʂuəŋ2	
气	tɕʰi5	
氛	fəŋ1	
水	ʂuei3	
永	yəŋ3	
汁	tʂʅ1	
求	luæ̃1	
求	tɕʰiəu2	
汇	xuei5	
漢	xæ̃5	
汗	xæ̃5	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	vu1	
湯	tʰaŋ1	
汪	vaŋ1	
洶	ɕyəŋ1	
汽	tɕʰi5	
沃	vɤ1	
沃	vu1	肥~
沈	ʂəŋ3	
沉	tʂʰəŋ2	
沏	tɕʰi1	
沓	tʰa2	一~纸
沙	sa1	
溝	kəu1	
没	mɤ2	
淪	lyəŋ2	
沫	mɤ1	
河	xuɤ2	
油	iəu2	
治	tʂʅ5	
沾	tʂæ̃1	
沿	iæ̃2	
泄	ɕie5	
泉	tɕʰyæ̃2	
泊	pʰɤ1	湖~
法	fa1	
泛	fæ̃5	
泡	pʰau5	~茶
泡	pʰau1	松软
泥	mi2	
注	tʂu5	
淚	luei5	
泰	tʰɛ5	
泵	pəŋ5	
潑	pʰɤ1	
澤	tʂei2	
潔	tɕie2	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洞	səu3	
洞	tuəŋ5	
津	tɕiəŋ1	
洪	xuəŋ2	
洲	tʂəu1	
活	xuɤ2	
洼	va5	
洽	tɕʰia3	
派	pʰɛ5	
流	liəu2	
淺	tɕʰiæ̃3	
漿	tɕiaŋ1	
濁	tʂuɤ2	
測	tʂʰei1	
濟	tɕi5	
渾	xuəŋ2	
濃	luəŋ2	
浪	laŋ5	~绳晾晒衣服的绳子
浮	fu2	
海	xɛ3	
涂	tʰu2	
消	ɕiau1	
涌	yəŋ3	
涎	xæ̃1	口水
涕	tʰi5	
澇	lau5	
潤	ʐuəŋ5	
漲	tʂaŋ3	上~
澀	sei1	味苦
涮	ʂuæ̃5	
液	suəŋ2	
液	ie5	
淆	ɕiau1	
淋	liəŋ2	
淌	tʰaŋ3	
淘	tʰau2	
淡	tæ̃5	
淤	y1	~泥
淫	iəŋ2	
深	ʂəŋ1	
混	xuəŋ5	
淹	iæ̃1	
添	tʰiæ̃1	
清	tɕʰiəŋ1	
清	ʂau2	
漬	tsɿ5	油泥等积于物体上
漸	tɕiæ̃5	
滲	səŋ5	
渠	tɕʰy2	
渡	tu5	
渣	tʂa1	
溫	vəŋ1	
港	kaŋ3	
游	iəu2	
渺	miau3	
湖	xu2	
湫	tɕiəu1	~子
灣	væ̃1	
溼	ʂʅ1	
潰	kʰuei5	
濺	tʂæ̃5	缝~纽子
源	yæ̃2	
溜	liəu5	
溢	i1	水~了
溪	ɕi1	
溶	yəŋ2	
溻	tʰa1	~湿
滋	tsɿ1	
滑	xua2	
滚	kuəŋ3	
滿	mæ̃3	
濾	ly5	
濾	y5	~粪
濫	læ̃5	
濱	piəŋ1	
灘	tʰæ̃1	
滴	tie1	
漂	pʰiau1	
漂	pʰiau5	~亮
漆	tɕʰi1	
漏	ləu5	
演	iæ̃3	
漫	mæ̃5	
漾	iaŋ5	水等溢出
潎	pʰie1	滤汁~米汤
潘	pʰæ̃1	
潛	tɕʰiæ̃3	
潭	tʰæ̃2	
潮	tʂʰau2	湿恶心愚昧
潷	pi3	滤汁
澄	təŋ5	
澡	tʂau3	
澳	nau5	
激	tɕi1	
濇	sei1	物体表面不光滑
瀽	tɕiæ̃3	倒~饭
灌	kuæ̃5	
火	xuɤ3	
滅	mie1	
燈	təŋ1	
灰	xuei1	
靈	liəŋ2	
竈	tʂau5	
灸	tɕiəu3	
災	tʂɛ1	
燦	tʂʰæ̃3	
爐	ləu2	
炊	tʂʰuei1	
炎	iæ̃5	
炎	iæ̃2	发~
炒	tʂʰau3	
炕	kʰaŋ5	口渴
燉	tuəŋ5	
熗	tɕʰiaŋ5	
炪	tʂʰu1	炮等燃烧突然中断~捻子炮
炭	tʰæ̃5	
炮	pʰau5	
炸	tʂa5	
點	tiæ̃3	
煉	liæ̃5	
爛	læ̃5	
烈	lie1	
烘	xuəŋ1	
烙	luɤ1	
燭	tʂu2	
烟	iæ̃1	
烤	kʰau3	
煩	fæ̃2	
燒	ʂau1	
燴	xuei5	
燙	tʰaŋ5	
烹	pʰəŋ1	
烽	fəŋ1	~火台
焊	xæ̃5	
焐	vu5	~手
焙	pei5	
焦	tɕiau1	
焪	tɕʰyəŋ3	焖燥热
焰	iæ̃5	
然	ʐæ̃2	
煆	xa1	蒸
煎	tɕiæ̃1	~水开水
煞	sa1	
煠	tʂa2	~油饼
煤	mei2	
照	tʂau5	
照	ʐau5	~镜子
煨	vei1	~炕烧炕
煮	tʂu3	
煽	ʂæ̃1	~动
熁	ɕie1	烘烤
熄	ɕi1	
熊	ɕyəŋ2	
熏	ɕyəŋ1	
熔	yəŋ2	
熝	nau1	~米汤
熟	ʂu2	
熥	tʰəŋ1	
熨	yəŋ5	
熬	nau2	
熰	nəu5	~热
燃	ʐæ̃2	言语啰嗦
燎	liau3	
燕	iæ̃5	
燥	tʂʰau5	
爆	pau5	
爪	tʂua3	
爪	tʂau3	鸡~~
爬	pʰa2	
愛	nɛ5	
父	fu5	
爺	ie2	
爸	pa2	
爹	tie1	
爹	ta2	
爽	ʂuaŋ3	
片	pʰiæ̃3	
版	pæ̃3	
牌	pʰɛ2	
牙	ia2	
牛	ȵiəu2	
牡	mu3	
牢	lau2	
牧	mu5	
物	pʰa1	
物	vɤ1	
牲	səŋ1	
牴	ti3	
牽	tɕʰiæ̃1	
特	tʰɛ1	
特	tʰei1	
犧	ɕi1	
犁	li2	
犢	tu2	
犍	tɕiæ̃1	~牛
犒	kʰau5	~劳
犟	tɕiaŋ5	
犬	tɕʰyæ̃3	
犯	fæ̃5	
犯	fæ̃5	消化不好胃中食物上溢
狀	tʂuaŋ5	
狂	kʰuaŋ2	
狐	xu2	
狗	kəu3	
狠	xəŋ3	
狡	tɕiau3	
獨	tu2	
狹	ɕia2	
狹	tɕʰia5	狭缝窄小的地方
獅	sɿ1	
獄	y1	
狸	li2	~猫
狼	laŋ2	
猋	piau1	飞奔
獼	mi2	~猴桃
猛	məŋ3	
猜	tʂʰɛ3	
猝	tsʰu1	仓~
豬	tʂu1	
猫	mau2	
獻	ɕiæ̃5	
猴	xəu2	
猾	xua2	
猿	yæ̃2	
玄	ɕyæ̃2	
率	ʂuɛ5	
率	ly1	效~
玉	y1	
王	vaŋ2	
玍	ka3	行为乖张~把式
玩	væ̃2	
玫	mei2	
環	xuæ̃2	
現	ɕiæ̃5	
玲	liəŋ2	
璽	ɕi3	
玻	pɤ1	~璃
珍	tʂəŋ1	
珠	tʂu1	
班	pæ̃1	
球	tɕʰiəu1	
理	li3	
琳	liəŋ2	
琴	tɕʰiəŋ2	
瑕	ɕia2	
瑞	ʂuei5	
瑞	ʐuei5	
璃	li2	
璺	vəŋ2	器物上的裂纹
瓜	kua1	
瓠	xu5	~瓜
瓣	pæ̃5	
瓤	ʐaŋ2	
瓦	va3	
瓨	xaŋ2	油~~旧时一种盛油的小口器具
瓶	pʰiəŋ2	
瓷	tsʰɿ2	
甄	tʂəŋ1	姓
甘	kæ̃1	
甚	ʂəŋ5	
甜	tʰiæ̃2	
生	səŋ1	
甥	səŋ1	
用	tʂa3	
用	yəŋ5	
甩	ʂuɛ3	
甫	pʰu3	
田	tʰiæ̃2	
由	iəu2	
甲	tɕia1	
申	ʂəŋ1	
電	tiæ̃5	
男	næ̃2	
畫	xua5	
界	tɕie5	
界	kɛ5	地~塄
留	liəu2	
畜	tʂʰu1	~生
畜	ɕy5	~牧
略	lyo1	
畦	tɕʰi2	树~
番	fæ̃1	
疆	tɕiaŋ1	
疏	ʂu1	
疔	tiəŋ1	~痂
療	liau2	
疙	kɤ1	~瘩
疝	ʂæ̃5	~气
瘧	yo1	~疾
瘍	iaŋ2	
疤	pa1	
瘡	tʂʰuaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疹	tʂəŋ3	
疼	tʰəŋ2	
疾	tɕi2	
痂	tɕia1	
病	piəŋ5	
症	tʂəŋ5	
痙	tɕiəŋ1	~挛
痒	iaŋ3	
痔	tsɿ5	~疮
痕	xəŋ2	
痛	tʰuəŋ5	
痢	li5	
痣	tsɿ5	
痰	tʰæ̃2	
癡	tʂʰʅ3	
癡	tʰəŋ3	
痹	pʰi2	麻~大意
瘮	səŋ5	风湿或阴森可怕
瘊	xəu2	~子
瘟	vəŋ1	
瘤	liəu5	
瘦	səu5	
瘩	ta2	~背背痈
癱	tʰæ̃3	
瘸	tɕʰyo2	
癮	iəŋ3	
癭	iəŋ3	~瓜瓜甲状腺肿大病
癀	xuaŋ2	
癩	lɛ5	~呱子
癬	ɕyæ̃3	
癲	tiæ̃1	~狂
癸	kuei3	
登	təŋ1	
白	pei2	
百	pei1	
皂	tʂau5	
的	ȵie2	
的	vɛ3	
的	səu3	
的	ti2	~确
皇	xuaŋ2	
皮	pʰi2	
皮	tʂʰua3	
皺	tʂəu5	
皴	tʂʰuəŋ1	手~了
皵	tɕʰyo3	皮肤干
盅	tʂuəŋ1	
盆	pʰəŋ2	
盈	iəŋ2	
鹽	iæ̃2	
監	tɕiæ̃1	
盒	xuɤ2	
盔	kʰuei1	
盜	tau5	
盤	pʰæ̃2	
盛	ʂəŋ5	
盛	tʂʰəŋ2	放置物品
盟	məŋ2	
目	mu1	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ1	
相	ɕiaŋ5	~貌
盹	tuəŋ3	
盼	pʰæ̃5	
盾	tuəŋ5	
省	səŋ3	
眉	mi2	
看	kʰæ̃1	~门
看	kʰæ̃5	~戏
真	tʂəŋ1	
眠	miæ̃2	
眨	tʂa1	
眯	mi5	~眼子小眼睛
眶	kʰuaŋ5	
眼	ȵiæ̃3	
着	tʂuɤ2	睡~
睜	tʂəŋ1	
睒	ʂæ̃2	瞪
睖	ləŋ2	~憎
睛	tɕiəŋ1	
睡	ʂuei5	
督	tu1	
睦	mu1	
睬	tʂʰɛ3	
瞅	tʂʰəu3	
瞌	kʰuɤ1	~睡
瞎	xa1	
瞞	mæ̃2	
瞧	tɕʰiau2	
瞪	təŋ5	
瞭	liau5	望
瞿	tɕʰy2	姓
知	tʂʅ1	
矬	tʂʰuɤ2	
短	tuæ̃3	
矮	nɛ3	~矲子矮个子
石	ʂʅ2	
礬	fæ̃2	白~
礦	kʰuaŋ5	
碼	ma3	顺次放置
砂	sa1	
砍	kʰæ̃3	
研	ȵiæ̃2	~药
研	iæ̃2	~药
磚	tʂuæ̃1	
磚	tʂæ̃2	
硯	iæ̃5	
砣	tʰuɤ2	秤~
破	pʰɤ3	~开
砸	tʂæ̃2	
礎	tʂʰu3	
硝	ɕiau1	
硬	ȵiəŋ5	
確	tɕʰyo1	
礙	nɛ1	
碎	suei5	
碑	pi1	
碗	mæ̃1	
碗	væ̃3	
磣	tʂʰəŋ3	寒~
碟	tie2	
碰	pʰəŋ5	
鹼	tɕiæ̃3	
碾	ȵiæ̃3	
磁	tsʰɿ2	
磊	luei3	
磕	kʰuɤ1	
磙	kuəŋ3	~子碌碡
磨	mɤ2	~刀
磨	mɤ5	石~
磷	liəŋ2	
礓	tɕiaŋ1	料~石粗石
礤	tʂʰa1	~子
示	vɛ3	
示	sɿ5	
禮	li3	
祖	tsu3	
祝	tʂu1	
神	ʂəŋ2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	
祭	tɕi5	
禍	xuɤ5	
稟	piəŋ3	~性
禁	tɕiəŋ5	
祿	ləu1	
福	fu1	
禳	ʐaŋ2	~解
禹	y3	
离	li2	
禽	tɕʰiəŋ2	
禾	xuɤ2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰu1	
稈	kæ̃3	
秉	piəŋ3	
秋	tɕʰiəu1	
種	tʂuəŋ3	~子
種	tʂuəŋ5	~地
科	kʰuɤ1	
秒	miau3	
秕	pi3	籽实不饱满
秘	mi1	
租	tsu1	
租	tɕy1	
秤	tʂʰəŋ5	
秦	tɕʰiəŋ2	
秧	iaŋ1	
秩	tʂʰʅ5	
秩	tʂʅ5	~序
積	tɕi1	
稱	tʂʰəŋ1	
稱	ȵie2	
移	i2	
稀	ɕi1	
程	tʂʰəŋ2	
稍	sau3	
税	ʂuei5	
稠	tʂʰəu2	
穩	vəŋ3	
稻	tau5	
稻	tʰau5	
稿	kau3	
穆	mu1	姓
穗	suei5	
穰	ʐaŋ2	~柴
穴	ɕie2	
究	tɕiəu1	
窮	tɕʰyəŋ2	
穿	tʂʰuæ̃1	
穿	səu3	
突	tʰu1	
竊	tɕʰie1	
窄	tʂei1	
竅	tɕʰiau5	
窵	tiau5	~远
窯	iau2	
窖	tɕiau5	
窗	tʂʰuaŋ1	
竄	tʂʰuæ̃5	
窩	vɤ1	
窟	kʰu1	
窨	iəŋ5	
立	li1	
豎	ʂu5	
站	tʂæ̃5	
競	tɕiəŋ5	
竟	tɕiəŋ5	
章	tʂaŋ1	
童	tʰuəŋ2	
竭	tɕie2	
端	tuæ̃1	
竹	tʂu1	
竿	kæ̃1	
笊	tʂau5	~篱
笑	ɕiau5	
筆	pi1	
笛	ti2	
笡	tɕʰie5	斜放
符	fu2	
笨	pəŋ5	
第	ȵie2	
第	ti5	
籠	luəŋ2	
籠	luəŋ3	~络
等	pʰa1	
等	səu3	
等	təŋ3	
筋	tɕiəŋ1	
筐	kʰuaŋ1	
筑	tʂu2	
筒	tʰuəŋ3	烟~
答	aŋ1	
答	ta1	~复
答	ta2	~案
策	tʂʰei1	
篩	sɛ3	
箏	tʂəŋ1	
筷	kʰuɛ5	
签	tɕʰiæ̃1	抽~
簡	tɕiæ̃3	
箍	ku1	
算	suæ̃5	
管	kuæ̃3	
籮	luɤ2	
箭	tɕiæ̃5	
箱	ɕiaŋ1	
篇	pʰiæ̃3	砍~柴
篦	pi5	~子
籃	læ̃2	
篷	pʰəŋ2	
簧	xuaŋ2	
簪	tʂæ̃1	
簸	pɤ3	~米
簸	pɤ5	~箕
簿	pʰu5	
米	mi3	
類	luei5	
粉	fəŋ3	
粒	li1	
粗	tsʰu1	
粘	pia1	
粘	tʂæ̃1	
粟	su1	~子
粥	tʂəu1	
糞	fəŋ5	
糧	liaŋ2	
粱	liaŋ2	
粹	tʂʰuei5	
糉	tʂuəŋ5	
精	tɕiəŋ1	
精	suəŋ2	
糊	xu2	
糕	kau1	
糖	tʰaŋ2	
糙	tʂʰau5	
糜	mi2	~子
糟	tʂau1	
糠	kʰaŋ1	
糨	tɕiaŋ5	
糯	nuɤ5	
糯	vɤ5	~米
糯	luɤ5	~米
系	tɕi5	~鞋带
系	ɕi5	联~
素	su5	
索	suɤ1	
緊	tɕiəŋ3	
紫	tsɿ3	
累	luei5	劳~
累	luei3	积~
絮	ɕy5	
綯	tʰau1	
緝	tɕʰi1	~鞋口
縻	mi5	系固定~牲口
繁	fæ̃2	
繎	ʐæ̃5	丝线等纠结在一起
糾	tɕiəu1	
紅	xuəŋ2	
紂	tʂəu5	
紂	tʂʰəu5	~棍
纤	tɕʰiæ̃1	~维
約	yo1	
級	tɕi1	
紀	tɕi5	
紉	ʐəŋ5	以线穿针
緯	vei3	
緯	y3	~线
純	tʂʰuəŋ2	
紗	sa1	
綱	kaŋ1	
納	na1	
縱	tʂuəŋ5	
綸	lyəŋ2	
紛	fəŋ1	
紙	tsɿ3	
紋	vəŋ2	
紡	faŋ3	
紐	ȵiəu3	~子
線	ɕiæ̃5	
練	liæ̃5	
組	tsu3	
細	ɕi5	
織	tʂʅ1	
終	tʂuəŋ1	
絆	pæ̃5	~倒
絀	tʂʰu1	缝~荷包
紹	ʂau5	
經	tɕiəŋ1	
綁	paŋ3	
絨	ʐuəŋ2	
結	pʰa1	
結	tɕie1	~实
結	tɕie2	~束
繞	ʐau3	~圈子
繞	ʐau5	~线
絎	xaŋ2	缝
繪	xuei5	
給	kei3	
絳	tɕiaŋ5	
絡	luɤ1	
絶	tɕyo2	
絞	tɕiau3	
統	tʰuəŋ3	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	ɕy5	
緔	ʂaŋ5	~鞋
緄	kuəŋ3	缝~边
繩	tɕiaŋ1	
繩	ʂəŋ2	
維	vei2	
綿	miæ̃2	
繃	pəŋ1	拉紧
綢	tʂʰəu2	
綹	liəu5	一~布
綻	tʂʰæ̃5	裂开鞋~帮了
綰	væ̃3	绳子等打结
綠	liəu1	
緞	tuæ̃5	
緶	pʰiæ̃2	用针缝
緩	xuæ̃3	
編	piæ̃1	
緣	yæ̃2	
縛	fɤ2	
縫	fəŋ2	~补
縫	fəŋ5	~子
纏	tʂʰæ̃2	
纓	iəŋ1	
縮	suɤ1	
繆	miau5	姓
繮	tɕiaŋ1	
缸	kaŋ1	
缺	tɕʰyo1	
罐	kuæ̃5	
网	vaŋ3	
罕	xæ̃3	
羅	luɤ2	
罰	fa2	
罷	pa5	
罨	iæ̃3	竹~子
罩	tʂau5	
罪	tʂuei5	
置	tʂʅ5	
羊	iaŋ2	
美	mei3	
羔	kau1	
羝	ti1	~羊
羞	ɕiəu1	
羞	ʂuəŋ2	
群	tɕʰyəŋ2	
羯	tɕie1	
羽	y3	
