#漢字	音標	解釋
#簡稱	/	韶山大坪
#全稱	/	韶山大坪話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5 3a 陰去 ꜄,21 6 3b 陽去 ꜅,24 7 4 入 ꜆
#版本	/	2022-01-12
#錄入人	/	跳跳老鼠
#參考資料	/	《韶山方言同音字匯兩種》
#說明	/	
㿭	tsʰɔ7	皴
拿	lai1-	
拿	la1=	
持	dʐʅ2	
挂	kɔ5	
指	tʂʅ3	
按	ŋã5	
挑	tʰiau1	
挖	ua7	
挾	ka7	～菜
擋	taŋ3	阻～
擠	tsi3	
揮	xuei1	
挨	ŋã2	
挪	la1	
振	tən5	
挺	tʰiən3	
挽	uã5	
捅	tʰən3	
捆	kʰuən3	
捉	tsʊ7	
捋	luai5	
捎	sau1	
捐	tuɛ̃1	
捕	pʰu3	
撈	lau5	
損	suən3	
換	ɣuɛ̃6	
捧	pʰaŋ3	
捨	siɔ3	～弃
据	tʯ5	
捱	ai1	～打
捷	tsʰiɛ5	
捺	la7	
捻	ɲĩ3	～碎
掀	çĩ1	
掇	tuɛ7	
授	ʝiɯ6	
掉	tiau5	
掌	taŋ3	
掏	dau2	～出来
掐	kʰa7	
排	ba2	
掘	tuɛ7	
掠	liʊ7	
探	tʰã5	
接	tsiɛ7	
控	kʰən5	
推	tʰuai1	
掩	ɲĩ3	
措	tsʰʊ5	
掬	ciɯ7	
揉	iɯ2	
描	miau1	
提	diɔ2-	
提	di2=	
插	tsʰa7	
揖	i7	作～
握	u7	
揩	kʰa1	
揪	tsiɯ1	
揭	ciɛ7	
援	uɛ̃2	
擱	kʊ7	
摟	lai3	
攪	ciau3	
搓	tsʰʊ1	
搜	sai1	
搜	sai1	～集
搞	kau3	
搧	siɛ̃5	
搬	piɛ̃1	
搭	ta7	
携	ʝi2	
搽	dzɔ2	
攝	siɛ7	
摆	pa3	
摇	iau2	
攤	tʰã1	
摘	tsua7	
摩	mʊ2	
摸	mʊ5	
摹	mʊ2	
撇	pʰiɛ7	
撑	tsʰɔ̃1	
撕	sɿ1	
撞	tsʰaŋ3	
撤	tʰiɛ7	
撩	liau2	
撮	tsuɛ7	一～
擀	kã3	
操	tsʰau1	～作
擎	ɟiən2	
擒	ɟiən2	
擦	tsʰa7	
攀	pʰã1	
攢	tsã3	
支	tʂʅ1	
收	siɯ1	
改	kuai3	
攻	kən1	～击
放	xaŋ5	
政	tən5	
故	ku5	
效	ʝiau6	
敵	ti7	
敏	miən3	
救	ciɯ5	
教	kau5-	～书；～育；～他去
教	ciau5=	～书；～育；～他去
斂	nĩ3	
敝	bi6	
敢	kuɛ̃3	
散	sã3	鞋带～了
散	sã5	分～
敦	tən1	～厚
敬	ciən5	
數	sɯ3	～一～
數	sɯ5	～目
敲	kʰau1	
整	tən3	
敷	ɸu1	
文	uən2	
斋	tsa1	
斑	pã1	
斗	tai3	升～
料	liau6	
斛	ɸu5	
斜	dziɔ2	
斟	tən1	
斤	ciən1	
斥	tʂʰʅ7	
斧	ɸu3	
斬	tsã3	
斷	tuɛ̃5	决～
斷	duɛ̃6	～绝
斯	sɿ1	
新	siən1	
方	xaŋ2	
於	ʯ1	
施	ʂʅ1	
旁	baŋ2	
旅	li3	
旋	dziɛ̃2	
族	tsʰɯ5	
旗	ɟi2	
无	u2	
旣	ci5	
日	i7	
旦	tã5	
舊	ɟiɯ6	
旨	tʂʅ3	
早	tsau3	
旬	dzuən2	
旱	ɣuɛ̃6	
時	dʐʅ2	
曠	kʰaŋ5	
旺	uaŋ6	兴～，火～
昂	ŋau2	
昆	kʰuən1	
昌	tʰaŋ1	
明	miɔ̃2-	
明	miən2=	
昏	xuən1	
易	i6	难～
易	i7	交～
昔	si7	
星	siɔ̃1-	
星	siən1=	
映	iaŋ5-	
映	iən5=	
春	tʰuən1	
昧	mai5	
昨	tsʊ7	
昭	tau1	
是	dzɿ6	
晝	tiɯ5	
顯	çĩ3	
晃	xaŋ3	
晉	tsiən5	
晏	ŋã5	晚也
曬	sɔ5	
曉	çiau3	
晚	uã5	
晦	xuei5	
晨	ʝiən2	
普	pʰu3	
景	ciən3	
晴	dziɔ̃2-	
晴	dziən2=	
晶	tsiən1	
智	tʂʅ5	
暫	dzã6	
暑	ʂʯ3	
暖	lʊ3	
暗	ŋã5	
暮	mʊ6	
暴	bau6	
曆	li5	日～
曰	uɛ7	
曲	cʰiɯ7	～折；歌～
更	ciɛ̃1	～换，五～
更	ciɛ̃5	～加
曹	dzau2	
曾	tsiɛ̃1	姓
曾	dziɛ̃2	～经
替	tʰi5	
最	tsi5	
月	uɛ7	
有	iɯ3	
朋	baŋ2-	
朋	bən2=	
服	ɸu5	
朔	sʊ7	
朗	naŋ3	
望	uaŋ6	
朝	tau1	今～
朝	dau2	～代
期	ɟi2	
木	mʊ7	
未	uei6	
末	miɛ̃7	
本	piən3	
札	tsa7	
朮	ʂʯ5	白～
术	ʂʯ5	算～
朱	tʯ1	
朴	pʰʊ7	～素，厚～
朵	tʊ3	
機	ci1	
朽	çiɯ3	
殺	sa7	
雜	tsa7	
權	duɛ̃2	
杆	kuɛ̃3	旗～
杈	tsʰɔ1	
杉	sɔ1	
李	li3	
杏	ʝiən6	
材	dzai2	
村	tsʰuən1	
杖	daŋ6	
杜	dɯ6	
杜	diɯ6	又
杞	ci3	枸～子
杞	cʰi3	～人忧天
束	cʰiɯ7	
杠	kaŋ5	
條	diau2	
來	lai2	
楊	iaŋ2	
杭	ɣaŋ2	
杯	pai1	
杰	cʰiɛ7	
杵	tʰʯ3	
松	suən1	～树
板	pã3	
極	cʰi5	
構	kai5	
枇	bi2	～杷
枉	uaŋ3	
析	si7	
枕	tən3	
林	niən2	
枚	mai2	
果	kʊ3	
枝	tʂʅ1	
樞	tʰʯ1	
棗	tsau3	
槍	tsʰiaŋ1	
楓	xuən1	
枯	kʰu1	
架	kɔ5-	
架	ciɔ5=	
柄	piən3	
柏	piɛ7	
某	mai3	
柑	kuɛ̃1	
染	ɲĩ3	
柔	iɯ2	
柚	iɯ5	
櫃	dʯ6-	大的
櫃	ɡuei6=	小的
查	dzɔ2	调～
柩	ciɯ5	
柬	kã3	
柱	dʯ6	
柳	liɯ3	
柴	dza2	
查	tsɔ1	姓
柿	dzɿ6	
柿	dʐʅ6	又
梔	tʂʅ1	～子花
標	piau1	
棧	dzã6	
棟	tən5	
欄	nã2	
樹	ʂʯ6	
栗	li5	
校	ciau5	～对；学～，～长，又
校	ʝiau6	学～，～长；上～
株	tʯ1	
樣	iaŋ6	
核	xai5	审～；果～
核	xuei5	果～
根	ciɛ̃1-	
根	kən1=	
格	ciɛ7	
栽	tsai1	
栿	ɸu5	梁
桂	kuei5	
桃	dau2	
桅	uei2	～杆
案	uɛ̃5-	
案	ŋã5=	
桌	tsʊ7	
桐	dən2	
桑	saŋ1	
桓	ɣuɛ̃2	
椏	iɔ1=	
椏	ŋɔ̃1=	
橋	ɟiau2	
樺	ɣɔ2	
檜	kʰuei5	
槳	tsiaŋ3	
樁	tsaŋ1	
桶	tʰən3	
梁	niaŋ2	
梅	mai2	
梓	tsɿ3	
梗	kɔ̃3	茎
梢	sau1	
夢	maŋ6	
梧	u2	
梧	ŋʊ2	又
梨	li2	
梭	sʊ1	
梯	tʰĩ1-	
梯	tʰi1=	
械	ka5	
梳	sɯ1	
檢	cĩ3	
棉	mĩ2	
棋	ɟi2	
棍	kuən5	
棒	baŋ6	
棕	tsən1	
棕	tsuən1	又
棚	baŋ2	
棠	daŋ2	
森	siɛ̃1	
棵	kʰʊ3	
棺	kuɛ̃1	
椅	i3	
植	tʂʰʅ5	
椒	tsiau1	
橢	tʰʊ3	
椴	tuɛ̃5	
椽	ɣuɛ̃2	
椿	tʰuən1	
楚	tsʰɯ3	
楝	nĩ5	
楣	mĩ2	
楦	suən5	
楷	kʰa3	
樓	lai2	
概	kʰuai5	
榆	ʯ1	
榛	tsiɛ̃1	
榜	paŋ3	
榨	tsɔ5	
榫	suən3	
榴	liɯ2	
榻	tʰa7	
槌	dʯ2-	
槌	duei2=	
槐	ɣua2	
檳	piən1	
槽	dzau2	
樟	taŋ1	
模	mʊ2	～子；～范
橫	ɣuən2	～直；蛮～
櫻	iən1	
樵	dziau2	
橘	tʯ7	
橡	siaŋ5	
櫓	lɯ3	
櫓	liɯ3	又
檀	dã2	
檐	ɲĩ2	
檗	piɛ7	黄～
檁	niən3	
欛	pɔ5	又
欛	puɔ5	
欠	cʰĩ5	
次	tsʰɿ5	
歡	xuɛ̃1	
欣	çiən1	
歐	ŋai1	
欲	iɯ7	
欺	cʰi1	
款	kʰuɛ̃3	
歇	çiɛ7	
歉	cʰĩ5	
歌	kʊ1	
止	tʂʅ3	
正	tən1	～月
正	tən5	公～
此	tsʰɿ3	
步	bu6	
武	u3	
歪	ua1	
歷	li5	～史
死	sɿ3	
殲	tsʰĩ1	～灭
殃	iaŋ1	
殆	dai6	
殉	dzuən2	
殊	ʂʯ2	
殘	dzã2	
殮	nĩ3	
殖	tʂʰʅ5	
殯	piən5	
段	duɛ̃6	
殷	iən1	
殿	dĩ6	
毁	xuei3	
毅	ɲĩ6	
母	mʊ3	
每	mai3	
毒	tiɯ7	
比	pi3	～较
畢	pi7	
斃	pi5	
毛	mau2	
毡	tiɛ̃1	
毫	ɣau2	
毯	tʰã3	
氏	dzɿ6	
民	miən2	
气	cʰi5	
水	ʂʯ3	
永	uən3	
汀	tiən1	
汁	tʂʅ7	
求	ɟiɯ2	
汇	ɣuai6	
漢	xuɛ̃5-	
漢	xã5=	
汗	ɣuɛ̃6	
汝	ai3	
汞	kən5	
江	ciaŋ1	
池	dʐʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	一～水
汽	cʰi5	
沃	u1	
沈	sən3	
沉	dən2	
沌	duən6	
沙	sɔ1	
沛	pʰai5	
溝	kai1	
沒	miɛ̃7	沉～，～有
漚	ŋai5	～麻
淪	nən2	
滬	βu6	
河	ɣʊ2	
油	iɯ2	
治	dʐʅ6	
沼	tau1	～气
沾	tiɛ̃1	
沿	uɛ̃2	
泄	siɛ7	
泅	dziɯ2	
泉	dziɛ̃2	
泌	pi5	
泔	kuɛ̃1	
法	xua7	
泛	xuã5	
泡	pʰau1	水～
泡	pʰau5	浸～
波	pʊ1	
泣	çi7	
泥	ɲĩ2	
注	tʯ5	～解；灌～
淚	li6	
泰	tʰa5	
泳	uən5	
瀉	siɛ7	
潑	pʰiɛ7	
澤	tsʰiɛ7	
潔	ciɛ7	
洋	iaŋ2	
洒	sua3-	
洒	sa3=	
洗	si3	
洛	lʊ7	
洞	dən6	
津	tsiən1	
洪	xən2	
洲	tiɯ1	
活	xuai5	
洽	çia5	
派	pʰa5	
流	liɯ2	
淺	tsʰiɛ̃3	
漿	tsiaŋ1	
澆	ciau1	
濁	tsʰʊ5	
測	tsʰiɛ7	
濟	tsi5	
渾	xuən1	
滸	ɸu3	
濃	nən2	
浙	tiɛ7	
浚	tsuən5	
浜	paŋ1	
浦	pʰu3	
浩	ɣau6	
浪	naŋ6-	
浪	naŋ3=	
浮	bau2-	
浮	ɣau2=	
浴	iɯ7	
海	xuai3	
浸	tsʰiən5	
涂	dɯ2	
涂	diɯ2	又
消	siau1	
涉	siɛ5-	
涉	siɛ7=	
涌	iən3	
涕	tʰi5	
濤	dau2	
澇	lau5	
潤	uən6	
澗	kã5	
漲	taŋ3	
澀	siɛ7	
涯	iɔ1	
液	i7	
涿	tsʊ7	
淆	ɣau2	
淋	niən2	
淑	siɯ7	
淘	dau2	
淡	dã6	
淤	ʯ1	
淫	iən2	
淮	ɣua2	
深	sən1	
混	ɣuən6	相～
淹	ɲĩ1	
淹	ɲĩ3	又
添	tʰĩ1	
清	tsʰiɔ̃1-	
清	tsʰiən1=	
淵	uɛ̃1	
漸	dzã6	
漁	ʯ1	
渠	dʯ2	
渡	diɯ6	
渣	tsɔ1	
溫	uən1	
港	kaŋ3	
渴	kʰuɛ7	
游	iɯ2	
渺	miau3	
湖	βu2	
湘	siaŋ1	
灣	uã1	
溼	ʂʅ7	
潰	kʰuei5	～脓
溉	kʰuai5	
源	uɛ̃2	
溜	liɯ5	
溪	çi1	
溺	ɲĩ7	
滋	tsɿ1	
滑	ua5	
滔	tʰau1	
滾	kuən3	
滿	miɛ̃3	
濾	li6	
濫	nã5	
灘	tʰã1	
滴	tiɔ7-	
滴	ti7=	
漂	pʰiau3	～洗
漂	pʰiau5	～亮
漆	tsʰi7	
漏	lai5	
演	ɲĩ3	
漫	mã5	
漱	sɯ5	～口
潘	pʰiɛ̃1	
潛	dzĩ2	
潭	dã2	
潮	dau2	
潲	sau5	猪～
澄	dən2	
澡	tsau3	
激	ci7	
灌	kuɛ̃5	
灒	tsã5	
火	xʊ3	
滅	miɛ̃7	
燈	tiɛ̃1	
灰	xuai1	
靈	niən2	
竈	tsau5	
災	tsai1	
燦	tsʰã5	
爐	lɯ2	
爐	liɯ2	又
炊	tʰuei1	
炎	ɲĩ2	
炒	tsʰau3	
炕	kʰaŋ5	
炭	tʰã5	
炮	pʰau5	枪～
炸	tsɔ5	～弹
炸	tsa7	油～
點	tĩ3	
炼	nĩ6	
爛	nã6	
烈	liɛ7	
烊	iaŋ2	
烘	xən1	
燭	tiɯ7	
烟	ɲĩ1	
烤	kʰau3	
煩	ɣuã2	
燒	siau1	
燙	tʰaŋ5	
熱	iɛ7	
烹	pʰiɛ̃1	
焊	ɣuɛ̃6	
煥	xuɛ̃5	
焙	bai6	
焚	ɣuən2	
焦	tsiau1	
焰	ɲĩ6	
然	ɲĩ2	
煎	tsĩ5	
煑	tʯ3	
煤	mai2	
照	tau5	
煨	uai1	
熄	si7	
熊	ʝiən2	
熏	suən1	
熙	çi1	
熟	siɯ5	
熨	uən5	
熬	ŋau1	～白菜
熬	ŋau2	煎～
燃	ɲĩ2	
燎	liau2	
燕	ɲĩ5	～子
爆	pau5	
爪	tsau3	
爬	bɔ2	又
爬	buɔ2	
愛	ŋai5	又
愛	uai5	
爵	tsiʊ7	
父	βu6	
爺	iɔ2	
爸	pɔ1	又
爸	puɔ1	
爹	ti1	
爽	saŋ3	
片	pʰĩ5	
版	pã3	
牌	ba2	
牘	tiɯ7	
牒	tʰiɛ5	
牙	ŋɔ̃2	
牛	ɲiɯ2	
牡	miau3	
牢	lau2	
牧	mʊ7	
物	u7	
牯	ku3	
牲	siɛ̃1	
牽	cʰĩ1	
牸	dzɿ6	～牛
特	tʰiɛ7	
犧	çi1	
犀	si1	
犁	li2	
犢	tiɯ7	
犟	ɟiaŋ6	
犬	tʰuɛ̃3	
犯	ɣuã6	
狀	dzaŋ6	
猶	iɯ2	
狂	ɡaŋ2	
狂	ɡuaŋ2	又
狄	tʰi5	
狐	βu2	
狗	kai3	
狡	ciau3	
獨	tiɯ7	
狹	xa5-	
狹	çia5=	
獅	sɿ1	
獄	iɯ7	
狸	li3	
狼	naŋ2	
獵	liɛ7	
猛	maŋ3	
猜	tsʰa1	
猝	tsʰɯ7	
豬	tʯ1	
貓	miau1-	
貓	mau1=	
獻	çĩ5	
猴	ɣai2	
猾	ua5	
獺	tʰa7	
玄	ɣuɛ̃2	
率	li5	速～
率	sʊ7	～领
玉	ʯ3	
王	uaŋ2	
玩	uã2	古～，游～
環	ɣuã2	
現	ʝĩ6	
璽	si3	
玻	pʊ1	
珊	sã1	
珍	tən1	
珠	tʯ1	
班	pã1	
球	ɟiɯ2	
理	li3	
琉	liɯ2	～璃
瑣	sʊ3	
琢	tsʊ7	
琴	ɟiən2	
琵	bi2	～琶
瓊	duən2	
瑞	ʂʯ6-	
瑞	ʂuei5=	
瑟	siɛ7	
璃	li2	
璧	piɔ7-	
璧	pi7=	
瓜	kɔ1	
瓠	βu6	～瓜
瓢	biau2	
瓣	bã6	
瓦	ŋɔ̃3	
瓮	uən5	
甌	ŋai1	
瓶	biən2	
瓷	dzɿ2	
甘	kuɛ̃1	
甚	ʝiən6	
甜	dĩ2	
生	siɛ̃1-	
生	sɔ̃1-	不熟
生	sən1=	
甥	siɛ̃1	
用	iən6	
甫	pʰu3	
甬	iən3	
田	dĩ2	
由	iɯ2	
甲	ka7-	
甲	cia7=	
申	sən1	
電	dĩ6	
男	nã2	
畫	ɣɔ6	
暢	tʰaŋ5	
界	ka5	
畏	uei5	
留	liɯ2	
畜	tʰiɯ7	～牲；～牧
略	liʊ7	
番	xuã1	几～
疆	ciaŋ1	
疏	sɯ1	
疑	ɲĩ2	
疔	tiən1	
療	liau2	
瘧	ɲiʊ7	
瘍	iaŋ2	
疤	pɔ1	又
疤	puɔ1	
疥	ka5	
疫	ʯ3	
瘡	tsʰaŋ1	
瘋	xuən1	
疲	bi2	
疹	tən3	
疹	tʰən3	
疼	diɛ̃2	
疾	tsi7	
疿	xuei1	
病	biɔ̃6-	
病	biən6=	
症	tən5	
痒	iaŋ3	
痔	dʐʅ6	
痕	ʝiɛ̃2-	
痕	xən2	
痛	tʰən5	
痢	li6	
痣	tʂʅ5	
痰	dã2	
痲	mɔ̃2	又
痲	muɔ̃2	
癡	tʂʰʅ1	
痹	pi5	
瘟	uən1	
瘦	sai5	
瘴	taŋ5	
癩	la6	
癬	ʂuɛ̃3	
癸	kuei5	
登	tiɛ̃1	
發	xua7	出～
白	piɛ7	
百	piɛ7	
皂	dzau6	
的	ti7	目～
皆	ka1	
皇	ɣaŋ2	
皖	xuɛ̃3	
皮	bi2	
皺	tsai5	
皴	tsʰən1	脸～
皿	miən3	
盂	ʯ1	
盅	tən1	
盆	biən2	
盈	iən2	
益	i7	
盞	tsã3	
鹽	ɲĩ2	
監	kã5	～牢；国子～
盒	xuai5	
盔	kʰuai1	
盖	kuai5	
盜	dau6	
盤	biɛ̃2	
盛	ʝiən6	兴～
盟	miən2	
目	mʊ7	
盲	maŋ2	
直	tʂʰʅ5	
相	siaŋ1	互～
相	siaŋ5	～貌
盼	pʰã5	
盾	suən3	人名
盾	tən5	矛～
盾	tuən5	矛～
省	sɔ3-	～长；节～
省	sɔ̃3-	～长；节～
省	siən3	反～
省	siɛ̃3=	～长；节～
眉	mĩ2	
看	kʰuɛ̃5-	～守；～见
看	kʰã5=	～守；～见
眞	tən1	
眠	mĩ2	
眨	tsa7	
眶	cʰiaŋ1	眼～
眷	tuɛ̃5	
眼	ŋã3	
着	tʊ7	～衣；睡～
睜	tsiɛ̃1	
睛	tsiən1	
睡	ʂuei5	
督	tiɯ7	
睬	tsʰai3	
瞎	xa7	
瞒	miɛ̃2	
瞧	dziau2	
瞭	liau2	
瞳	dən2	
瞻	tiɛ̃1	
瞿	dʯ2	
矛	mau2	～盾
矛	miau3	～子
矢	ʂʅ3	
矣	i1	
知	tʂʅ1	
矩	tʯ3	
短	tuɛ̃3	
矮	ŋã3	
石	siɔ5-	
石	ʂʅ5=	
礬	ɣuã2	
礦	kʰaŋ5	
碼	mɔ̃3	又
碼	muɔ̃3	
砌	tsʰi5	
砍	kʰã3	
研	ɲĩ1	
磚	tuɛ̃1	
硯	ɲĩ6	
破	pʰʊ5	
礎	tsʰɯ3	
硝	siau1	
硫	liɯ2	
硬	ɲiɛ̃6	
確	kʰʊ7	
碎	suai5	
碑	pai1	
碓	tuai5	
碗	uɛ̃3	
碟	tʰiɛ5	
碧	pi7	
鹼	kã3	
碾	ɲĩ3	
磁	dzɿ2	
磉	saŋ3	
磕	kʰʊ7	
磨	mʊ2	～刀
磨	mʊ6	～面，石～
磬	cʰiɔ̃5-	
磬	cʰiən5=	
磷	niən2	
礓	ciaŋ1	
示	dzɿ6	
禮	li3	
社	ʝiɔ6	
祀	dzɿ6	祭～
祁	ɟi2	
祈	ɟi2	
祖	tsɯ3	
祝	tiɯ7	
神	ʝiən2	
祠	dzɿ2	
祥	dziaŋ2	
票	pʰiau5	
祭	tsi5	
禱	tau3	
禍	ɣʊ6	
禀	piən3	
禁	ciən1	～不住
禁	ciən5	～止
禄	lɯ7	
禄	liɯ7	又
福	ɸu7	
禹	ʯ2	
离	li2	～别；～开
禽	ɟiən2	
禾	u2	
秀	siɯ5	
私	sɿ1	
禿	tʰɯ7	
秆	kuɛ̃3	稻～
秉	piən3	
秋	tsʰiɯ1	～天
種	tən3	～类
種	tən5	～树
科	kʰʊ1	
秒	miau3	
秕	pʰiɛ3	～谷子
秘	pi5	
租	tsɯ1	
秤	tʰən5	
秦	dziən2	
秧	iaŋ1	
秩	tʂʰʅ7	
積	tsi7	
稱	tʰən1	～呼；相～
移	i2	
穢	uei5	
稀	çi1	
程	dən2	
稍	sau3	
稅	ʂʯ5-	
稅	ʂuei5=	
稗	bɔ̃6	
稚	dʐʅ2	
稠	diɯ2	
穩	uən3	
稻	dau6-	
稻	tau5=	
稼	ciɔ5	
稽	ci1	
稿	kau3	
穀	ku7	～子
穆	mʊ7	
穗	ɣuei6	
穴	tʰuɛ7	
究	ciɯ5	
窮	ɟiən2	
空	kʰən1	～虚
空	kʰən5	～缺
穿	tʰuɛ̃1	
突	tʰiɯ7	又
竅	cʰiau5	
窑	iau2	
窖	kau5	
窗	tsʰaŋ1	
窘	duən6	
竄	tsʰuɛ̃5	
窩	ʊ1	
窟	kʰu1	
窠	kʰu1-	
窠	kʰʊ1=	
窺	kʰuei1	
窨	iən5	
立	li7	
豎	ʂʯ6	
站	dzã6-	立；车～
站	tsã5=	立；车～
競	ciən5	
竟	ciən5	
章	taŋ1	
童	dən2	
端	tuɛ̃1	
竹	tiɯ7	
竿	kuɛ̃3-	
竿	kã3=	
篤	tiɯ7	
笋	suən3	
笑	siau5	
笔	pi7	
笙	siɛ̃1	
笛	ti7	
笠	li5	
符	βu2	
笨	piən3	
第	di6	
箋	tsʰiɛ̃5	
籠	nən2	
等	tiɛ̃3	
筋	ciən1	
筏	xua5	
筐	cʰiaŋ1	
筑	tiɯ7	
筒	dən2	
答	ta7	
策	tsʰiɛ7	
篩	sa1	
箏	tsiɛ̃1	
筵	ɲĩ2	
筷	kʰua5	
籌	diɯ2	
簡	kã3	
箍	ku1	
算	ʂuɛ̃5	
管	kuɛ̃3	
籮	lʊ2	
簫	siau1	
箭	tsĩ5	
箱	siaŋ1	
篆	duɛ̃6	
篇	pʰĩ1	
簍	lai3	
篙	kau1	
篡	tsʰuɛ̃5	
篦	bi6	
籃	nã2	
篱	li2	
篷	baŋ2	
篾	mĩ5	
簟	dĩ6	
簧	ɣaŋ2	
簪	tsã1	
簰	ba2	筏
簸	pu5	～一～
簸	pʊ5	～箕
簽	tsʰĩ1	～字
簿	bu6	
籍	tsi7	
籤	tsʰĩ1	竹～
米	mĩ3	
籴	tʰi5	
类	li6	
粉	xuən3	
粒	li5	
粗	tsʰɯ1	
粘	tiɔ̃1-	粘贴
粘	tiɛ̃1	～贴
糶	tʰiau5	
粟	siɯ7	
粤	uɛ7	
粥	tiɯ7	
糞	xuən5	
糧	niaŋ2	
粱	niaŋ2	
粳	ciɛ̃1	
粹	tsʰi5	
糉	tsuən5	
精	tsiɔ̃1-	～肉
精	tsiən1=	
糕	kau1	
糖	daŋ2	
糙	tsʰau5	
糜	mĩ2	粥
糟	tsau1	
糠	kʰaŋ1	
糯	lʊ6	
糰	duɛ̃2	
系	ʝi6	～统
素	sɯ5	
索	sʊ7	
緊	ciən3	
紫	tsɿ3	
累	lai3	困～；连～
累	luai3	困～，又
絮	ʂʯ5-	
絮	ʂuei5=	
繁	ɣuã2	
繫	ci5	～鞋带
繫	ʝi6	联～
纍	lai3	～积
纔	dzai2	方～
糾	ciɯ1	～缠；～正
紅	xən2	
紂	diɯ6	
約	iʊ7	
級	ci7	
紀	ci3	
緯	uei5	
純	ʝiuən2	
紗	sɔ1	
綱	kaŋ1	
納	la7	
紝	iən6	
縱	tsuən5	～横；放～
紛	xuən1	
紙	tʂʅ3	
紋	uən2	
紡	xaŋ3	
紐	ɲiɯ3	
線	sĩ5	
練	nĩ6	
組	tsɯ3	
細	si5	
織	tʂʅ7	
終	tən1	
縐	tsai5	
絆	pʰã5	
紹	siau5	
經	ciən1	
綁	paŋ3	
絨	iən2	
結	ciɛ7	
繞	iau3	围～；～线
繪	kʰuei5	
給	ci7	
絡	lʊ7	
絕	tsuɛ7	
絞	ciau3	
統	tʰən3	
絹	tuɛ̃5	
繡	siɯ5	
綏	si1	
繼	ci5	
績	tsi7	
緒	dzi6	
續	sɯ7	
綽	tsʊ7	宽～
繩	ʝiən2	
維	uei2	
綿	mĩ2	
綢	diɯ2	
綜	tsən5	织布机上的综
綜	tsuən5	又，织布机上的综
綠	lɯ7	
綠	liɯ7	又
纜	nã2	
緞	duɛ̃6	
緩	xuɛ̃3	
縷	lai3	
編	pʰĩ1	
緣	uɛ̃2	
縛	xʊ5	
縫	ɣuən2	～衣服
縫	xən6	一条～
纏	diɛ̃2	
縊	i5	
纓	iən1	
縮	sɯ7	
繮	ciaŋ1	
繰	tsʰiau1	
繳	ciau3	
缸	kaŋ1	
缺	tʰuɛ7	
罐	kuɛ̃5	
网	uaŋ3	
罕	xuɛ̃3	
羅	lʊ2	
罰	xua5	
罷	bɔ6	
罩	tsau5	
罪	dzuai6	
置	tʂʰʅ5	
署	ʂʯ5	
羊	iaŋ2	
羌	cʰiaŋ1	
美	mĩ3	
羔	kau1	
羞	siɯ1	
羡	sĩ5	
羣	duən2	
羹	ciɛ̃1	
羽	ʯ2	
翁	uaŋ1	
翅	tʂʅ5	
翎	niən2	
翠	tsʰi5	
翡	xuei1	
翰	ɣuɛ̃6	
翻	xuã1	
翼	i7	
耀	iau6	
老	lau3	
考	kʰau3	
者	ta3	着
者	tiɛ̃3	又
而	ai2	
耍	sɔ3	
耐	la6	
耕	ciɛ̃1	
耗	xau5	
耙	bɔ2	又，犁～，～地
耙	buɔ2	犁～，～地
耳	ai3	
耶	iɔ1	
恥	tʂʰʅ3	
耽	tã1	
耿	ciɛ̃3	
聶	ɲiɛ̃7	姓
聊	liau2	
聾	nən1	
職	tʂʅ7	
聒	kua7	
聯	nĩ2	
聘	pʰiən5	
聚	dzi6	
聰	tsʰən1	
聰	tsʰuən1	又
肅	sɯ7	
肆	sɿ5	
肉	iɯ7	
肋	liɛ7	
肌	ci1	
肘	tiɯ3	
肚	tɯ3	鱼～，腹～
肚	tiɯ3	又，鱼～，腹～
肝	kuɛ̃1	
腸	daŋ2	
股	ku3	
肢	tʂʅ1	
肤	ɸu1	
肥	ɣuei2	
肨	pʰaŋ1	肿
肩	cĩ1	
肪	ɣaŋ2	
肯	cʰiɛ̃3	
育	iɯ5	
肴	ɣau2	
肺	xuei5	
腎	sən5	
腫	tən3	
脹	taŋ5	
脅	çiɛ7	
胃	uei5	
膽	tã3	
背	pai5	～包袱
背	bai6	～诵
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰai1	
胛	ka7-	
胛	cia7=	
勝	sən5	～任；～败
胞	pau1	
胡	βu2	～琴
胳	kʊ7	
膠	kau1-	
膠	ciau1=	
胸	çiən1	
能	niɛ̃2	
脂	tʂʅ3	
脂	tʂʅ7	又
脆	tsʰuei5	
脉	miɛ̃7	
脊	tsiɔ7-	
脊	tsi7=	
臍	dzi2	
腦	lau3	
膿	nən2	
腳	tʊ7	
脯	bu2	胸～
脫	tʰuɛ7	
腡	lʊ2	
臉	nĩ3	
脾	bi2	
臘	la7	
腋	i7	
腌	ɲĩ1	
腐	ɸu3	
腑	ɸu3	
腔	cʰiaŋ1	
腕	uã3	
腥	siɔ̃3-	
腥	siən3=	
腮	suai1	
腰	iau1	
腹	ɸu7	
膩	ɲĩ5	
騰	diɛ̃2	
腿	tʰuai3	
膏	kau1	
膘	piau1	
膜	mʊ7	
膝	tsʰi7	
膨	biɛ̃2	
膳	ʝiɛ̃6	
臀	duən2	
臂	pi7	
