#漢字	音標	解釋
□	tiɛ̃3	~子:毽子
藏	tsɑ̃3	西~
藩	fæ̃2	
藿	xɔʔ8	
蘸	tsæ̃3	
虜	lʊ3	
虐	ȵiɔʔ8	
虑	luei3	
虛	ɕy1	
虞	y6	
虹	xɔm2	
虻	mɑ̃2	
蝕	səʔ8	
蟻	ȵi3	2
蚌	pɑ̃6	
蛋	tæ̃6	
蛙	uɑ1	
蛛	tɕy1	
蟄	tsəʔ7	
蜀	tɕiɔʔ8	
蜇	tsəʔ7	
蛻	tʰəʔ7	
蝸	uə1	
蜘	tsɿ1	
蟬	tsʰæ̃2	
蠍	ɕiəʔ7	
蝗	uɑ̃2	
蝙	pʰiɛ̃1	
蝠	fɔʔ7	
螂	lɑ̃2	
融	iɔm2	
螳	tʰɑ̃2	
蠢	tɕʰyɛ̃3	
血	ɕyəʔ7	
衅	ɕiəʔ7	
行	ɕieɲ2	~为
行	ɕieɲ6	品~
行	xɑ̃2	银~
術	ɕyəʔ8	
銜	xæ̃2	
衙	iɑ2	
衡	xᴇɲ2	
衢	tɕʰy2	
衣	i1	
襯	tsʰᴇɲ3	~衫
衹	tsɿ3	
袁	yɛ̃2	
袖	tɕiəɯ6	
袖	tɕiəɯ6	领~
被	pi6	介
襲	tɕiəʔ7	
裕	y6	
裴	pei1	
製	tsɿ3	
複	fɔʔ8	
褒	pɑ1	
襄	ɕiɑ̃3	
襻	pʰæ̃1	
要	iɑ1	~求
覆	fɔʔ8	2~原
觀	kuæ̃1	参~
覓	miəʔ8	
覽	læ̃3	
覺	tɕiɔʔ7	~悟
角	kɔʔ7	
解	tɕiɛ3	~放
言	ȵiɛ̃2	
譽	y6	
謄	tʰᴇɲ2	
誓	ɕi6	
警	tɕieɲ3	
譬	pʰi3	
訃	fʊ3	
譏	tɕi1	
訖	tɕʰiəʔ7	
議	ȵi3	
諱	uei3	
許	ɕy3	
論	lᴇɲ6	~语;议~
訟	sɔm6	
諷	fɔm1	
設	səʔ7	
訪	fɑ̃3	
证	tsᴇɲ3	
評	pʰieɲ2	
識	səʔ7	
訴	sʊ3	
診	tsᴇɲ1	
詞	tsʰɿ2	
詔	tsɑ1	
譯	iəʔ8	
誠	tsʰᴇɲ2	
誅	tɕy1	
誕	tæ̃6	
詭	kuei3	
詳	tɕʰiɑ̃2	
誣	fʊ3	
語	ȵy3	
誤	ŋʊ6	
誘	iəɯ6	
說	ɕyəʔ7	
誦	tɕiɔm3	
諾	ləʔ8	
誹	pi3	
誰	suei2	
諒	liɑ̃6	
誼	ȵi2	
謀	məɯ2	
諜	tiəʔ8	
謊	xuɑ̃1	
諫	tɕiɛ̃3	
諧	ɕiɛ2	
謂	uei6	
讒	tsʰæ̃2	
諺	iɛ̃2	
謎	mi2	
謠	iɑ2	
謗	pɑ̃3	
謙	tɕʰiɛ̃1	
謹	tɕieɲ3	
謬	miɑ6	
譚	tʰæ̃2	
豌	uæ̃1	
豚	tʰᴇɲ2	
豪	xɑ2	
豫	y6	
豹	pəɯ1	
貌	mɑ6	礼~
負	fəɯ6	~责
貢	kɔm3	
責	tsəʔ7	
賢	ɕiɛ̃2	
貶	pieɲ3	
貫	kuæ̃3	
貸	tɛ6	
貿	məɯ6	
賄	xuei3	
賃	lᴇɲ6	
賂	lɔʔ8	
贓	tsɑ̃1	
資	tsɿ1	
賦	fʊ3	
賜	tsʰɿ1	
賠	pʰei2	
賽	sɛ3	
赞	tsæ̃3	
贈	tsᴇɲ1	
赫	xəʔ7	
走	tsəɯ3	
趙	tsɑ6	
趁	tsʰᴇɲ2	
超	tsʰɑ1	
越	yəʔ8	
趨	tɕʰy3	
趣	tɕʰy3	
躍	iɑ6	
跑	pʰɑ2	
距	tɕy6	
跨	kʰuɑ3	
踐	tɕiɛ̃6	
踏	təʔ8	脚~车:自行车
蹤	tsɔm3	
軒	ɕiɛ̃2	
轉	tɕyɛ̃3	~动
轟	xɔm2	
軸	tɕiɔʔ8	
載	tsɛ3	年~
載	tsɛ3	满~
較	tɕiɑ3	
輔	fʊ2	
輝	xuei1	
輯	tɕʰiəʔ7	
輸	ɕy1	运~
轅	yɛ̃2	
轄	xəʔ8	
辭	tsʰɿ2	
辟	pʰiəʔ7	
辣	ləʔ8	
辨	piɛ̃6	
辯	piɛ̃6	
辱	ȵiɔʔ8	
遼	liɑ2	
遷	tɕʰiɛ̃1	
迅	ɕieɲ3	
邁	mæ̃6	
迎	ȵi2	欢~
違	uei2	
連	liɛ̃2	
迫	pʰəʔ7	
述	ɕyəʔ8	
迷	mi2	
適	səʔ7	
逆	ȵiəʔ8	
選	ɕiɛ̃3	
遜	sᴇɲ3	
逐	tɕiɔʔ8	
途	tʰʊ2	
逗	təɯ3	
逛	kʰuɑ̃2	
逝	ɕi6	
速	sɔʔ7	
逢	fɔm2	
逵	kʰuei1	
逸	iəʔ7	
逾	y2	
遂	suei6	
遇	ȵy6	
遐	ɕiɑ2	
遺	i2	
遣	tɕʰiɛ̃1	
遭	tsɑ1	
邀	iɑ6	
鄧	tᴇɲ6	
鄧	tᴇɲ6	姓
那	nɑ3	
邦	pɑ̃1	
邪	ɕiᴇ2	
郵	iəɯ2	
郁	y1	
郊	tɕiɑ1	
鄭	tsᴇɲ6	姓
郝	xəʔ7	
部	pʊ6	干~
鄂	ŋɔʔ8	
鄙	pi3	
酉	iəɯ3	
酌	sɔʔ8	
酣	xæ̃6	
酪	lɔʔ8	
酷	kʰɔʔ7	
采	tsʰɛ3	
釋	səʔ7	
重	tɕʰiɔm2	~发
量	liɑ̃6	数~
釜	fʊ3	
鉴	tɕiɛ̃3	
釵	tsʰɑ1	
鈍	tᴇɲ6	
鑰	iɔʔ8	
欽	tɕʰiɛ̃2	
鈞	tɕyɛ̃1	
錢	tɕʰiɛ̃2	姓
鉗	tɕʰiɛ̃2	
鉑	mieɲ2	
鉛	kʰæ̃1	1
鉛	tɕʰiɛ̃1	2
鏈	liɛ̃6	
鍋	kʊ1	
銳	luei6	
錦	tɕieɲ3	
錠	tieɲ6	
鍵	tɕiɛ̃6	
鍛	tuæ̃6	
鍍	tʊ6	
鎭	tsᴇɲ3	乡~
問	uᴇɲ6	
闲	ɕiɛ̃2	
閨	kuei3	
聞	uᴇɲ2	
閩	mi3	
閱	yəʔ8	
閻	iɛ̃2	姓
阜	fəɯ6	
隊	tuei6	
阢	yɛ̃2	
陣	tsʰᴇɲ6	
階	tɕiɛ1	
際	tɕi3	
隴	lɔm3	
限	ɕiɛ̃6	
陛	pi3	
險	ɕiɛ̃3	
陵	lieɲ2	
陷	iɛ̃6	
隆	lɔm2	
隘	iəʔ7	
隧	suei6	
隶	ti6	
雁	iɛ̃3	
雅	iɑ3	
集	tɕiəʔ8	~体
雍	iɔm3	
雹	pɑ6	
需	ɕy1	
霍	xɔʔ8	
霞	ɕiɑ2	
霸	pɑ3	
靖	tɕieɲ3	
非	fi1	
革	kəʔ7	
鞘	ɕiɑ1	
韓	xæ̃2	
韵	yɛ̃6	
韶	sɑ2	
頃	tɕʰieɲ3	
項	xɑ̃6	
须	ɕy1	必~
頑	uæ̃6	
頓	tᴇɲ6	停~
頒	pæ̃1	
頌	tɕiɔm3	
預	y6	
頗	pʰəɯ1	
頻	pʰieɲ2	
穎	ieɲ3	
顆	kʰʊ1	
題	tʰi2	
顚	tiɛ̃1	
顫	tsæ̃3	
顴	tɕʰyɛ̃2	
餐	tsʰæ̃1	
飮	ieɲ3	
飾	səʔ7	
饞	tsʰæ̃2	
馬	mɑ3	
馳	sɿ1	
驅	tɕʰy1	
駁	pɔʔ7	
駛	sɿ3	
駐	tɕy6	
駡	mɑ6	
驕	tɕiɑ1	
駭	xəʔ8	
驗	ȵiɛ̃6	
驟	tɕy6	
魁	kʰuei1	
魄	pʰəʔ7	
魔	məɯ1	
魯	lʊ3	
鮑	pɑ1	
鮮	ɕiɛ̃1	朝~
鯨	tɕʰieɲ2	
鱗	lieɲ2	
鳩	tɕiəɯ1	
鳴	mieɲ2	
鸕	lʊ2	
鸞	læ̃2	
鴻	xɔm2	
鵑	tɕyɛ̃1	
鵡	ʊ3	
鸚	ieɲ1	
麻	mɑ2	~烦
默	məʔ8	
鼎	tieɲ1	
鼠	tɕʰy3	
鼾	xæ̃6	
齒	tsʰɿ3	
