#漢字	音標	解釋
㒼	maŋ2	亞㒼:勉強;差強人意
宥	jɐu2	
宦	ʋaŋ2	
宮	kʊŋ1	
宰	tsɔi3	
害	hɔi2	
宴	jiŋ5	
宵	ɬiu1	
宵	siu1	
家	ka1	家人
宸	sɐŋ2	
容	jʊŋ2	
宿	ɬɐu5	星宿
宿	sɐu5	星宿
宿	ɬʊk7a	住宿
宿	sʊk7a	住宿
寂	tsɪk8	
寄	kei5	
寅	jɐŋ2	
密	mɐk8	
寇	kʰɐu5	
富	fu5	
寐	mei2	
寒	hɔŋ2	
寓	ji2	
寞	mɔk8	
察	tsʰak7b	
寡	kʷa3	
寢	tsʰɐm3	
寤	ŋ̍2	
寥	liu2	
實	sɐk8	
寧	nɪŋ2	
寨	tsai5	
寨	tsai2	
審	sɐm3	
寫	ɬɛ3	
寫	sɛ3	
寬	fuŋ1	
寮	liu2	
寰	ʋaŋ2	
寵	tsʰʊŋ3	
寶	pou3	
寸	tsʰiŋ5	
寺	tsi2	
封	fʊŋ1	
射	sɛ2	發射;文讀
射	fɛ2	無射;白讀
將	tsiøŋ1	將來
將	tsiøŋ5	將領
專	tsiŋ1	
尉	ʋɐi5	太尉
尉	ʋɐk7a	尉遲
尊	tsiŋ1	
尋	tsʰɐm2	
對	tui5	
導	tou2	
小	ɬiu3	
小	siu3	
少	siu3	多少
少	siu5	年少
尖	tsim1	
尚	siøŋ2	
尤	jɐu2	
尬	kai5	
就	tsɐu2	
尷	kam5	
屍	si1	
尹	ʋɐŋ3	
尺	tsʰiɐk7b	
尼	nɐi2	
尾	mei3	
尿	niu2	文讀
尿	niau2	白讀
尿	niɐu2	白讀
局	kʊk8	
屁	pʰei5	
居	kui1	
屆	kai5	
屈	ʋɐk7a	文讀
屈	kʰʷɐk7a	白讀:使彎曲
屋	ʊk7a	
屌	tiu3	文讀
屌	tiɐu1	白讀
屌	tiau1	白讀
屍	si1	
屎	si3	
屏	pʰɪŋ2	屏幕
屐	kʰiak8	
屐	kʰiɐk8	
屑	ɬik7b	
屑	sik7b	
展	tsiŋ3	
屙	ɔ1	
屜	tʰɐi5	
屠	tʰou2	
屢	lui3	
屣	sai3	
層	tsʰɐŋ2	
履	lui3	
屬	sʊk8	屬文
屬	sʊk8	屬於
屯	tʰiŋ2	
山	saŋ1	
屹	ŋɐk8	
岌	kʰɐp7a	岌岌可危
岌	ŋɐp8	岌頭:點頭
岐	kʰei2	
岑	sɐm2	
岔	tsʰa1	
岡	kɔŋ1	
巖	ŋam2	
岱	tɔi2	
岳	ŋɔk8	
岷	mɐŋ2	
岸	ŋɔŋ2	
峇	pa1	
峙	tsi2	
峨	ŋɔ2	
峪	jʊk8	
峭	tsʰiu5	
峰	fʊŋ1	
島	tou3	
峻	tsɐŋ5	
峽	hap8	
崁	hɐm5	
崇	tsʰʊŋ2	
崎	kʰei2	崎嶇
崎	kʰei2	長崎
崑	kʰʷɐŋ1	
崔	tsʰui1	
崖	ŋai2	
崗	kɔŋ1	
崙	lɐŋ2	
崛	kʷɐk8	
崢	tsɐŋ1	
崦	jim1	
崩	pɐŋ1	
崽	tsɐi3	
嵇	kʰɐi1	
嵋	mei2	
嵌	hɐm2	
嵐	lam2	
嵩	ɬʊŋ1	
嵩	sʊŋ1	
嵬	ŋɐi2	
嶄	tsam3	
嶇	kʰui1	
嶗	lou2	
嶙	lɐŋ2	
嶸	ʋɪŋ2	
嶺	lɪŋ3	文讀
嶺	liɐŋ3	白讀
嶼	tsui2	島嶼
嶽	ŋɔk8	
巍	ŋɐi2	
巒	liŋ2	
巔	tiŋ1	
巖	ŋam2	
川	tsʰiŋ1	
州	tsɐu1	
巡	tsʰɐŋ2	
巢	tsʰau2	
工	kʊŋ1	
左	tsɔ3	
巧	hau3	
巧	kʰiu3	白讀
巨	kui2	
巫	mou1	
差	tsʰa1	差別
差	tsʰai1	出差
差	tsʰi1	參差
己	kei3	
已	ji3	
巳	tsi2	
巴	pa1	
巷	hɔŋ3	
巾	kɐŋ1	
市	si3	
布	pou5	
帆	faŋ2	
希	hei1	
帕	pʰak7b	
帖	tʰip7b	
帚	tsɐu3	
帛	pak8	
帝	tɐi5	
帥	sui5	
師	si1	
席	tsɪk8	
帳	tsiøŋ5	
帶	tai5	
帷	ʋɐi2	
常	siøŋ2	
帽	mou2	
幅	fʊk7a	
幔	maŋ2	
幕	mɔk8	
幟	tsʰi5	
幢	tsɔŋ2	幡幢
幢	tsɔŋ2	一幢樓
幢	tsɔŋ2	海幢寺
幣	pɐi2	
幫	pɔŋ1	
干	kɔŋ1	
平	pʰɪŋ2	文讀
平	pʰiɐŋ2	白讀
年	niŋ2	
并	pɪŋ5	并且
并	pɪŋ2	并且
幸	hɐŋ2	
幹	kɔŋ5	
幻	ʋaŋ2	
幼	jɐu5	
幽	jɐu1	
幾	kei3	幾個
幾	kei1	幾乎
莊	tsɔŋ1	
庇	pei5	
牀	tsʰɔŋ2	
序	tsui2	
底	tɐi3	
庖	pʰau2	
店	tim5	
庚	kɐŋ1	
府	fu3	
度	tou2	度量衡
度	tɔk8	量度
座	tsɔ2	
庫	fu5	
庭	tʰɪŋ2	
庵	ɐm1	
庶	si5	
康	hɔŋ1	
庸	jʊŋ2	
廁	tsʰi5	
廂	ɬiøŋ1	
廂	siøŋ1	
厦	ha2	
廉	lim2	
廊	lɔŋ2	
廓	kʰɔk7b	
廖	liu2	
廚	tsʰi2	
廚	tsʰui2	
厮	si1	
廟	miu2	
廠	tsʰɔŋ3	
廢	fɐi5	
廣	kɔŋ3	
廩	lɐm3	
廩	lɐm3	
廬	lou2	
廳	tʰiɐŋ1	
延	jiŋ2	
廷	tʰɪŋ2	
建	kiŋ5	
廿	ȵa2	
廿	ja2	
弄	lʊŋ2	
弈	jɪk8	
弊	pɐi2	
弋	jɪk8	
式	sɪk7a	
弑	si5	
弓	kʊŋ1	
弔	tiu5	
引	jɐŋ3	
弗	fɐk7a	
弘	hʊŋ2	
弛	tsʰi2	
弟	tɐi2	
弟	ti1	對於年輕後生的稱呼
弦	jiŋ2	
弧	fu2	
弩	nou3	
弩	nou2	
弭	mei2	
弱	jɔk8	
張	tsiøŋ1	
強	kʰiøŋ2	強壯
強	kʰiøŋ3	勉強
弼	pɐk8	
彀	kɐu5	
彆	pik8	
彈	tʰaŋ2	彈劾;彈琴
彈	taŋ2	彈丸;子彈
彌	nei2	
彎	ʋaŋ1	
彗	ʋɐi2	
彙	ʋui2	
彙	wui2	
彝	ji2	
形	jɪŋ2	
彤	tʰʊŋ2	
彦	jiŋ2	
彧	jʊk7a	
彩	tsʰɔi3	
彪	piu1	
彬	pɐŋ1	
彭	pʰaŋ2	
彰	tsiøŋ1	
影	jɪŋ3	
彷	fɔŋ3	仿佛
彷	pʰɔŋ2	彷徨
役	jɪk8	
彼	pei3	
彿	fɐk7a	
往	ʋɔŋ3	
征	tsɪŋ1	
待	tɔi2	
很	hɐŋ3	
徉	jiøŋ2	
徊	ʋui2	
徊	wui2	
律	lɐk8	
後	hɐu2	
徐	tsʰui2	
徑	kɪŋ5	
徒	tʰou2	
得	tɐk7a	
徘	pʰui2	
徙	ɬai3	
徙	sai3	
徜	siøŋ2	
從	tsʰʊŋ2	跟從
從	tsʰʊŋ2	從容
從	tsʰʊŋ2	從兄弟
御	ji2	
徨	ʋɔŋ2	
復	fʊk7a	復原
復	fʊk7a	回復
循	tsʰɐŋ2	
徬	pʰɔŋ2	
微	mei2	
徵	tsɪŋ1	徵求
徵	tsi3	古代五音之一
德	tɐk7a	
徹	tsʰik7b	
徽	fɐi1	
心	ɬɐm1	
心	sɐm1	
必	pik7a	
忌	kei2	
忍	ȵɐŋ3	
忍	jɐŋ3	
忐	tʰaŋ3	
忑	tʰɪk7a	
忖	tsʰiŋ3	
志	tsi5	
忘	mɔŋ2	
忙	mɔŋ2	
忝	tʰim3	
忠	tsʊŋ1	
忡	tsʰʊŋ1	
忪	ɬʊŋ1	怔忪;惺忪
忪	sʊŋ1	怔忪;惺忪
快	fai5	
忱	sɐm2	
念	nim2	
忽	fɐk7a	
忿	fɐŋ3	
怎	tsɐm3	
怒	nou2	
怔	tsɪŋ1	
怕	pʰa5	
怖	pou5	
思	si1	思想
思	sɔi1	于思
怠	tɔi2	
怡	ji2	
急	kɐp7a	
怦	pʰɐŋ1	
性	ɬɪŋ5	
性	sɪŋ5	
怨	jiŋ5	
怪	kʷai5	
怯	hip7b	
怵	tsɐk7a	
恁	jɐm2	
恁	nɐm3	
恃	tsʰi3	
恆	hɐŋ2	
恍	fɔŋ3	
恐	hʊŋ3	
恕	si5	
恙	jiøŋ2	
恢	fui1	
恣	tsʰi5	恣意
恣	tsi1	恣睢
恤	ɬɐk7a	
恤	sɐk7a	
耻	tsʰi3	
恨	hɐŋ2	
恩	jɐŋ1	
恬	tʰim2	
恭	kʊŋ1	
息	ɬɪk7a	
息	sɪk7a	
恰	hɐp7a	
恰	hɐp7b	
恿	jʊŋ3	
悄	tsʰiu1	
悄	tsʰiu3	悄無聲息
悦	jik8	
悉	ɬɪk7a	
悉	sɪk7a	
悍	hɔŋ3	
悔	fui3	
悖	pui5	
悚	ɬʊŋ3	
悚	sʊŋ3	
悟	ŋ̍2	
悠	jɐu2	
悠	jɐu1	
患	ʋaŋ2	
您	nei3	
悱	fei3	
悲	pei1	
悴	tsʰui5	
悵	tsʰiøŋ5	
悶	muŋ2	
悸	kʷɐi5	
悼	tou2	
悽	tsʰɐi1	
情	tsʰɪŋ2	
惆	tsʰɐu2	
惋	ʋuŋ3	
惋	wuŋ3	
惑	ʋak8	
惕	tʰɪk7a	
惘	mɔŋ3	
惚	fɐk7a	
惜	ɬɪk7a	
惜	sɪk7a	
惟	ʋɐi2	
惠	ʋɐi2	
惡	ɔk7b	惡毒
惡	ʋu5	可惡
惡	wu5	可惡
惦	tim5	
惰	tɔ2	
惱	nou3	
想	ɬiøŋ3	
想	siøŋ3	
惴	tsui5	
惶	ʋɔŋ2	
惹	jɛ3	
惺	ɬɪŋ1	
惺	sɪŋ1	
惻	tsʰɐk7a	
愁	sɐu2	
愆	hiŋ1	
愈	ji2	
愉	ji2	
愎	fʊk7a	
意	ji5	
愕	ŋɔk8	
愚	ji2	
愛	ɔi5	
愜	hip7b	
感	kam3	
愣	lɪŋ2	
愧	kʰʷɐi5	
愫	ɬou5	
愫	sou5	
愴	tsʰɔŋ5	
愷	hɔi3	
愾	kʰɔi5	
慄	lɐk8	
慈	tsʰi2	
態	tʰai5	
慌	fɔŋ1	
慍	ʋɐŋ5	
慎	sɐŋ2	
慕	mou2	
慘	tsʰam3	
慚	tsʰam2	
慢	maŋ2	
慣	kʷaŋ5	
慧	ʋɐi5	
慨	kʰɔi5	
慪	ɐu5	
慫	ɬʊŋ3	
慫	sʊŋ3	
慮	lui2	
慰	ʋɐi5	
慶	hɪŋ5	
慷	hɔŋ1	
慾	jʊk8	
憂	jɐu1	
憊	pei2	
憋	pik7b	文讀
憋	pɐi5	白讀
憎	tsɐŋ1	
憐	liŋ2	
憑	pʰɐŋ2	文讀
憑	pɐŋ2	白讀:倚靠
憔	tsʰiu2	
憚	taŋ2	
憤	fɐŋ3	
憧	tsʰʊŋ1	
憨	hɐm1	
憩	hei5	
憫	mɐŋ3	
憬	kɪŋ3	
憲	hiŋ5	
憶	jɪk7a	
憾	hɐm2	
懂	tʊŋ3	
懇	hɐŋ3	
懈	hai2	
應	jɪŋ1	應該
應	jɪŋ5	回應
應	ɪŋ5	白讀
懊	ou5	
懦	nɔ2	
懲	tsʰɪŋ2	
懵	mʊŋ3	
懶	laŋ3	
懷	ʋai2	
懸	jiŋ2	
懺	tsʰam5	
懼	kui2	
懾	sip7b	
懿	ji5	
戀	liŋ3	
戈	kɔ1	
戊	mɐu2	
戌	ɬɐk7a	
戌	sɐk7a	
戍	si5	
戎	jʊŋ2	
成	sɪŋ2	文讀
成	siɐŋ2	白讀
我	ŋɔ3	
戒	kai5	
戕	tsʰiøŋ2	
或	ʋak8	
戚	tsʰɪk7a	
戟	kɪk7a	
截	tsik8	
戮	lʊk8	
戰	tsiŋ5	
戲	hei5	
戳	tsʰɔk7b	
戳	tsʰiøk7b	
戴	tai5	
户	fu2	戶口簿
户	fu3	戶籍;用作量詞“戶”
戾	lui2	
房	fɔŋ2	
所	sɔ3	
扁	piŋ3	扁平;文讀
扁	piɐŋ3	白讀
扁	pʰiŋ1	一葉扁舟
扇	siŋ5	
扈	fu2	
扉	fei1	
手	sɐu3	
才	tsʰɔi2	
扎	tsak7b	
扒	pʰa2	扒飯
打	ta3	
打	ta1	量詞
扔	ȵɪŋ2	
扔	jɪŋ2	
扔	tɐp8	訓讀:扔丟(扔掉)
托	tʰɔk7b	
扛	kɔŋ1	
扣	kʰɐu5	
扭	nɐu3	文讀
扭	nɔ3	白讀;扭到腳
扮	paŋ2	
扯	tsʰɛ3	
扳	paŋ3	扳手
扳	paŋ1	扳回一局
扶	fu2	
批	pʰɐi1	
扼	ɐk7a	
扽	tɐŋ5	
找	tsau3	
承	sɪŋ2	
技	kei2	
抄	tsʰau1	
抉	kʰik7b	
把	pa3	
抑	jɪk7a	
抒	si1	
抓	tsa1	文讀
抓	ȵa1	白讀
投	tʰɐu2	
抖	tɐu3	
抗	kʰɔŋ5	
折	tsik7b	骨折
折	sik8	折本
抨	pʰɪŋ2	
披	pʰei1	
抬	tʰɔi2	
抱	pʰou3	
抵	tɐi3	
抹	muk8	塗抹;抹茶
抹	mak7b	抹檯;抹布
押	ak7b	
押	ap7b	表『強迫』之意
抽	tsʰɐu1	
抿	mɐŋ3	
拂	fɐk8	
拄	tsi3	
拆	tsʰak7b	
拇	mou3	
拈	nim1	拈花惹草;文讀
拈	niɐm1	拈線;白讀;白拈仔
拉	lai1	
抛	pʰau1	
拌	puŋ2	
拍	pʰak7b	
拎	nɪŋ1	
拐	kʷai3	
拑	kʰiɐm2	
拑	kʰiam2	
拒	kʰui3	
拓	tʰɔk7b	開拓
拓	tʰap7b	拓本
拔	pak8	
拔	pɐk8	
拖	tʰɔ1	
拗	au3	拗斷
拗	au5	拗口
拘	kʰui1	
拙	tsik7b	
拚	pʰuŋ5	
招	tsiu1	
拜	pai5	
括	kʰuk7b	
拭	sɪk7a	
拮	kik7b	
拯	tsɪŋ3	
拱	kʊŋ3	
拳	kʰiŋ2	
拴	saŋ1	
拴	tsʰiŋ2	
拷	hau1	
拼	pʰɪŋ5	
拽	jɐi2	
拾	sɐp8	
拿	na2	
持	tsʰi2	
指	tsi3	
按	ɔŋ5	
挑	tʰiu1	挑水
挑	tʰiu1	挑達
挖	ʋak7b	
挨	ai1	
挪	nɔ2	
挫	tsʰɔ5	
振	tsɐŋ5	
挺	tʰɪŋ3	
挽	ʋaŋ3	挽救
挽	maŋ1	冇得挽「沒有挽救的餘地」
挾	hip7b	
挾	hip8	
捅	tʰʊŋ3	
捆	kʰʷɐŋ3	
捉	tsɔk7b	
捋	lik8	
捌	pak7b	
捍	hɔŋ3	
捍	hɔŋ5	
捎	sau1	
捏	nip8	
捏	nɐk7a	訓讀
捐	kiŋ1	
捕	pou2	
捧	pʰʊŋ3	
捨	sɛ3	
捩	lɐi2	琵琶撥法
捩	lik8	捩手;捩轉;捩手
据	kui1	拮据
捱	ŋai2	
捲	kiŋ3	
捶	tsʰui2	
捷	tsik8	捷徑
捷	tsik7b	快捷
捺	nak8	
捻	nim3	
掀	hiŋ1	
掂	tim2	
掃	ɬou5	
掃	sou5	
掄	lɐŋ2	
掇	tsik7b	
授	sɐu2	
掉	tiu2	文讀
掉	tiau5	白讀
掉	tiɐu5	白讀
掌	tsiøŋ3	
掏	tʰou2	
排	pʰai2	
掘	kʷɐk8	
掙	tsɐŋ1	掙脫;掙扎
掙	tsaŋ2	掙錢;掙銭
掛	kʷa5	
掛	kʰʷa5	
掠	liøk8	
採	tsʰɔi3	
探	tʰam5	
掣	tsɐi5	
接	tsip7b	
控	hʊŋ5	
推	tʰui1	
掩	jim3	
措	tsʰɔ5	
掬	kʰʊk7a	
掮	kʰiŋ2	
揀	kaŋ3	
揆	kʰʷɐi2	
揈	fɪŋ2	甩,搖晃,同「捹」
揈	hʊŋ1	同「轟」,驅趕
揉	jɐu2	
揍	tsɐu5	
描	miu2	
提	tʰɐi2	
插	tsʰap7b	
揖	jɐp7a	
揚	jiøŋ2	
換	ʋuŋ2	
換	wuŋ2	
揠	ak7b	
握	ɐk7a	
握	ak7a	
揢	kʰa1	掐,扼
揢	kʰɪk7a	揢門:鎖門
揣	tsʰiŋ3	
揩	hai1	
揪	tsɐu1	
揫	tsɐu1	古通“揪”
揭	kʰik7b	
揮	fɐi1	
援	ʋuŋ2	
援	wuŋ2	
搆	kʰɐu5	
搉	kʰɔk7b	
搊	tsʰɐu1	搊褲:束紧褲子
損	ɬiŋ3	
損	siŋ3	
搏	pɔk7b	
搐	tsʰʊk7a	
搓	tsʰɔ1	
搓	tsʰai1	用力揉
搔	ɬou1	
搔	sou1	
摇	jiu2	
搗	tou3	
搛	kim1	
搜	sɐu3	
搞	kau3	
搡	ɬɔŋ3	
搡	sɔŋ3	
搥	tsʰui2	
搧	siŋ5	
搨	tʰap7b	
搬	puŋ1	
搭	tap7b	
搶	tsʰiøŋ3	
搽	tsʰa2	
摀	ʋu3	
摀	wu3	
摑	kʷak7b	
摒	pɪŋ3	
摒	pɪŋ5	
摔	sɐk7a	
摘	tsak7b	
摘	tsak8	
摞	lɔ2	
摟	lɐu3	
摧	tsʰui1	
摩	mɔ1	
摯	tsi5	
摳	kʰɐu1	
摸	mɔ1	
摹	mou2	
摺	tsip7b	
摻	tsʰam1	
撅	kʰik7b	
撇	pʰik7b	
撈	lou1	撈亂
撈	lau1	打撈
撑	tsʰaŋ1	
撒	sak7b	
撓	nau2	不屈不撓
撓	ȵau1	白讀:撓癢
撕	si1	
撞	tsɔŋ2	
撢	taŋ2	雞毛撢子
撣	taŋ2	
撤	tsʰik7b	
撥	puk7b	
撩	liu2	
撫	fu3	
撬	kiu2	文讀
撬	kiau2	白讀
撬	kiɐu2	白讀
播	pɔ5	
撮	tsʰik7b	
撰	tsaŋ2	
撲	pʰɔk7b	
撳	kɐm2	
撼	hɐm2	
撿	kim3	
擀	kɔŋ3	
擁	jʊŋ3	
擂	lui2	
擄	lou3	
擅	siŋ2	
擇	tsak8	
擊	kɪk7a	
擋	tɔŋ3	摒擋
擋	tɔŋ3	阻擋
操	tsʰou1	早操
操	tsʰou1	操行
擎	kʰɪŋ2	
擒	kʰɐm2	
擔	tam1	擔水;擔心
擔	tam5	重擔
擘	mak7b	
據	kui5	
擠	tsɐi1	
擢	tsɔk8	
擣	tou3	
擤	ɬɐŋ5	
擤	sɐŋ5	
擦	tsʰak7b	
擬	ji3	
擱	kɔk7b	
擲	tsak8	
擴	kʰɔŋ5	
擺	pai3	
擻	ɬɐu3	抖擻
擻	sɐu3	抖擻
擾	jiu3	
攀	pʰaŋ1	
攆	niŋ3	
攏	lʊŋ3	
攔	laŋ2	
攘	jiøŋ2	攘除
攘	jiøŋ3	擾攘
攙	tsʰam1	
攜	kʰʷɐi2	
攝	sip7b	
攢	tsaŋ3	
攢	tsɐŋ3	
攣	liŋ1	
攤	tʰaŋ1	
攪	kau3	
攬	lam3	
攮	nɔŋ3	
支	tsi1	
收	sɐu1	
攸	jɐu2	
攸	jɐu1	
改	kɔi3	
攻	kʊŋ1	
放	fɔŋ5	
政	tsɪŋ5	
故	ku5	
效	hau2	
敏	mɐŋ3	
救	kɐu5	
敕	tsʰɪk7a	
敖	ŋou2	
敗	pai2	
敘	tsui2	
教	kau5	讓
教	kau5	教室
敝	pɐi2	
敞	tsʰɔŋ3	
敢	kam3	
散	ɬaŋ3	散文
散	saŋ3	散文
散	ɬaŋ5	散步
散	saŋ5	散步
敦	tɐŋ1	
㪗	tʰɐu3	
敬	kɪŋ5	
敲	hau1	
整	tsɪŋ3	
敵	tɪk8	
敷	fu1	
數	sou3	數一下
數	sou5	數字
數	sɔk7b	數見不鮮
斂	lim3	
斃	pɐi2	
文	mɐŋ2	文字
文	mɐŋ2	文過
斌	pɐŋ1	
斐	fei3	
斑	paŋ1	
斕	laŋ2	
斗	tɐu3	
料	liu2	
斛	fʊk8	
斜	tsʰɛ2	文讀
斜	tsʰɛ5	白讀:冧斜
斟	tsɐm1	
斡	ʋɐk7a	
斤	kɐŋ1	
斥	tsʰɪk7a	
斧	fu3	
斬	tsam3	
斯	si1	
新	ɬɐŋ1	
新	sɐŋ1	
斷	tʰiŋ3	恩斷義絕;斷斷續續
斷	tiŋ2	[白];判斷
方	fɔŋ1	
於	ji1	
施	si1	
旁	pʰɔŋ2	
旅	lui3	
旋	siŋ2	
旌	tsɪŋ1	
族	tsʊk8	
旗	kʰei2	
既	kei5	
日	ȵɐk8	
旦	taŋ5	元旦
旦	taŋ5	花旦
旨	tsi3	
早	tsou3	
旬	sɐŋ2	
旭	jʊk7a	
旱	hɔŋ3	
旺	ʋɔŋ2	
昂	ŋɔŋ2	
昆	kʰʷɐŋ1	
昇	sɪŋ1	
昊	hou2	
昌	tsʰiøŋ1	
明	mɪŋ2	
昏	fɐŋ1	
易	ji2	容易
易	jɪk8	交易
昔	ɬɪk7a	
昔	sɪk7a	
星	ɬɪŋ1	
星	sɪŋ1	
映	jɪŋ3	
春	tsʰɐŋ1	
昧	mui2	
昨	tsɔk8	
昭	tsʰiu1	
是	si2	
昱	jʊk7a	
昴	mau3	
昵	nɪk8	
晁	tsʰiu2	
時	si2	
晃	fɔŋ3	
晉	tsɐŋ5	
晌	hiøŋ3	
晏	aŋ5	
曬	sai5	
晚	maŋ3	
晝	tsɐu5	
晤	ŋ̍2	
晦	fui3	
晨	sɐŋ2	
普	pʰou3	
景	kɪŋ3	
晰	sɪk7a	
晴	tsʰɪŋ2	
晶	tsɪŋ1	
晷	kʷɐi3	
智	tsi5	
晾	lɔŋ2	
暄	hiŋ1	
暄	siŋ1	
暇	ha2	
暈	ʋɐŋ2	日暈
暈	ʋɐŋ2	頭暈
暉	fɐi1	
暑	si3	
暖	niŋ3	
暗	ɐm5	
暝	mɪŋ2	
暢	tsʰiøŋ5	
暨	kei5	
暫	tsam2	
暮	mou2	
暱	nɪk7a	
暱	nɪk8	
暴	pou2	凶暴
暴	pou2	一暴十寒
暹	sim1	
曆	lɪk8	
曉	hiu3	
曖	ɔi3	
曙	si3	
曜	jiu2	
曝	pou2	
曠	kʰɔŋ5	
曦	hei1	
曩	nɔŋ3	
曬	sai5	
曰	jik8	
曰	jiøk7b	
曲	kʰʊk7a	
曳	jɐi2	
更	kɐŋ1	更改
更	kaŋ1	三更半夜
更	kɐŋ5	更加
曷	hɔk7b	
書	si1	
曹	tsʰou2	
曼	maŋ2	
曾	tsɐŋ1	曾孫
曾	tsʰɐŋ2	曾經
替	tʰɐi5	
最	tsui5	
會	ʋui3	會面;會員、社會
會	wui3	會面;會員、社會
會	ʋui2	會計;會計、會議
會	wui2	會計;會計、會議
會	ʋui5	會游泳
會	wui5	會游泳
月	ȵik8	
有	jɐu3	
朋	pʰɐŋ2	
服	fʊk8	
朔	sɔk7b	
朕	tsɐm2	
朗	lɔŋ3	
望	mɔŋ2	
朝	tsiu1	朝夕
朝	tsʰiu2	朝廷
期	kʰei2	日期
期	kei1	期年;一周年
朦	mʊŋ2	
朧	lʊŋ2	
木	mʊk8	
未	mei2	
末	muk8	
本	puŋ3	
札	tsak7b	
朮	sɐk8	
朱	tsi1	
朴	pʰiu2	姓氏
朶	tɔ3	
朽	hau3	
杆	kɔŋ1	
杈	tsʰa1	
杉	tsʰam5	
李	lei3	
杏	hɐŋ2	
材	tsʰɔi2	
村	tsʰiŋ1	
杖	tsiøŋ2	
杜	tou2	
杞	kei3	
束	tsʰʊk7a	
杠	kɔŋ5	
杭	hɔŋ2	
杯	pui1	
杰	kik8	
東	tʊŋ1	
杳	miu3	
杴	hiŋ1	
杵	tsʰi3	
杷	pʰa2	
杼	tsʰi3	
松	tsʰʊŋ2	
板	paŋ3	
枇	pʰei2	
枉	ʋɔŋ3	
析	ɬɪk7a	
析	sɪk7a	
枒	ŋa2	
枕	tsɐm3	枕頭
枕	tsɐm5	枕頭
林	lɐm2	
枚	mui1	
果	kɔ3	
枝	tsi1	
枯	fu1	
枳	tsi3	
枴	kʷai3	
枵	hiu1	
架	ka5	
枷	ka1	
枸	kɐu3	
柄	pɪŋ5	文讀
柄	piɐŋ5	白讀
柏	pʰak7b	
某	mɐu3	
柑	kam1	
柒	tsʰɐk7a	
染	ȵim3	
柔	jɐu2	
柚	jɐu2	
柚	jɐu3	口語變調:沙田柚
柞	tsɔk8	
柢	tɐi3	
查	tsʰa2	檢查
查	tsa1	查姓
柩	kɐu5	
柬	kaŋ3	
柯	kʰɔ1	
柱	tsʰi3	
柳	lɐu3	
柴	tsʰai2	
栅	tsʰak7b	木柵;柵欄
栅	saŋ1	柵極;光柵
柿	si3	
柿	si5	
栓	tsʰiŋ2	
栗	lɐk8	
校	hau2	學校
校	kau5	校對
栩	hui3	
株	tsi1	
核	hɐk8	
核	ʋɐk8	果核
根	kɐŋ1	
格	kak7b	
栽	tsɔi1	
桀	kik8	
桂	kʷɐi5	
桃	tʰou2	
桄	kɔŋ1	
桅	ʋɐi2	
框	kʰʷaŋ1	
案	ɔŋ5	
桌	tsʰiøk7b	
桐	tʰʊŋ2	
桑	ɬɔŋ1	
桑	sɔŋ1	
桓	ʋuŋ2	
桓	wuŋ2	
桔	kɐk7a	桔梗
桔	kɐk7a	桔柣
桕	kʰɐu3	
桶	tʰʊŋ3	
桿	kɔŋ1	
梁	liøŋ2	
梅	mui2	
梓	tsi3	
梔	tsi1	
梗	kɐŋ3	
條	tʰiu2	
梢	sau1	
梧	ŋ̍2	
梨	lei2	
梭	sɔ1	
梯	tʰɐi1	
械	hai2	
梳	sɔ1	
梵	faŋ2	
棄	hei5	
棉	miŋ2	
棋	kʰei2	
棍	kʷɐŋ5	
棒	pʰaŋ3	
棕	tsʊŋ1	
棗	tsou3	
棘	kɪk7a	
棚	pʰaŋ2	
棟	tʊŋ2	
棠	tʰɔŋ2	
棧	tsaŋ3	
森	sɐm1	
棱	lɪŋ2	
棲	tsʰɐi1	
棵	pʰɔ1	訓讀
棺	kuŋ1	
椅	ji3	
植	tsɪk8	
椎	tsʰui2	鐵椎
椎	tsui1	脊椎
椏	a1	
椒	tsiu1	
椰	jɛ2	
椴	tiŋ2	
椶	tsʊŋ1	
椽	tsʰiŋ2	
椿	tsʰɐŋ1	
楊	jiøŋ2	
楓	fʊŋ1	
楔	sik7b	
楚	tsʰɔ3	
楝	liŋ2	
楞	lɪŋ2	楞角
楞	lɪŋ2	發楞
楠	nam2	
楣	mei2	
楦	hiŋ5	
楨	tsɪŋ1	
業	jip8	
極	kɪk8	
楷	hai2	楷書
楷	kai1	楷樹;正楷
概	kʰɔi5	
榆	ji2	
榔	lɔŋ2	
榕	jʊŋ2	
榛	tsɐŋ1	
榜	pɔŋ3	
榧	fei3	
榨	tsa5	
榫	sɐŋ3	
榭	tsɛ2	香榭麗捨
榮	ʋɪŋ2	
榴	lɐu2	
榻	tʰap7b	
構	kʰɐu5	
槌	tsʰui2	
槍	tsʰiøŋ1	
槎	tsʰa2	
槐	ʋai2	
杠	kɔŋ5	
槳	tsiøŋ3	
槽	tsʰou2	
槿	kɐŋ3	
樁	tsɔŋ1	
樂	lɔk8	快樂
樂	ŋɔk8	音樂
樊	faŋ2	
樓	lɐu2	
標	piu1	
樞	si1	
樟	tsiøŋ1	
模	mou2	
模	mou1	
樣	jiøŋ2	
樵	tsʰiu2	
樸	pʰɔk7b	
樹	si2	
樺	ʋa2	
樽	tsiŋ1	
橄	kam3	
橈	nau2	
橋	kʰiu2	
