#漢字	音標	解釋
㓾	tʂʰʅ2	~鱼:剖鱼
湄	mei2	
湄	mi2	
湍	tʰan1	
湖	xu2	
湘	ɕiaŋ1	
湮	in1	
灣	uan1	
溼	ʂʅ7	
潰	kʰuei5	
溉	kʰai5	
源	ʯan2	
溘	kʰo7	
溜	niəu1	光~
溜	niəu6	急~
溢	i7	
溥	pʰu3	
溪	ɕi1	
溯	so7	
溶	ʐoŋ2	
溹	sɛ7	天~:下雨
溺	ni7	
滁	tʂʰʯ2	
滂	pʰaŋ2	
滇	tin1	
滋	tsɿ1	
滑	xua2	
滓	tsɿ0	
滔	tʰau1	
滕	tʰən2	
潷	pi7	
滚	kuən3	
滯	tʂʰʅ5	
滟	in6	
灄	ʂɛ7	
滿	man3	
濾	ni6	
濫	nan6	
濱	pin1	
灘	tʰan1	
滴	ti7	
漂	pʰiau1	~流
漂	pʰiau3	~白
漂	pʰiau5	~亮
漆	tɕʰi7	
漉	nəu7	
漏	nəu6	
演	in3	
漕	tsʰau2	
漠	mo7	
漤	nan3	
漦	tsʰan2	涎沫
漩	ɕin6	
漪	i1	
漫	man6	
漯	no7	
漱	səu5	
漾	iaŋ6	
瀠	in2	
瀟	ɕiau1	
瀲	nin6	
濰	uei2	
潘	pʰan1	
潛	tɕʰin2	
潢	xuaŋ2	
潦	niau2	
潭	tʰan2	
潮	tʂʰau2	
潲	sau5	
潸	ʂan1	
潺	tʂʰan2	
潼	tʰoŋ2	
潽	pʰu2	
澄	tʂʰən2	~清
澄	tʂən6	~子
澈	tʂʰɛ7	
澎	pʰən2	
瀾	nan2	
澡	tsau3	
澳	ŋau5	
澴	xuan2	
激	tɕi7	
瀕	pin1	
濛	moŋ2	
濡	ʯ2	
濮	pʰu7	
濯	tʂo7	
瀑	pʰu7	
瀚	xan6	
灌	kuan5	
灝	xau6	
灒	tsan5	
火	xo3	
滅	miɛ7	
燈	tən1	
灰	xuei1	
靈	nin2	
竈	tsau5	
灸	tɕiəu1	
灼	tʂo7	
災	tsai1	
燦	tsʰan5	
煬	iaŋ2	
炆	uən2	
爐	nəu2	
炊	tʂʰʯei1	文
炊	tsʰei1	白，~壶
炎	in2	
炒	tʂʰau3	
炔	tʂʰʯɛ7	
炕	kʰaŋ5	
燉	tən5	
炙	tʂʅ7	
煒	uei3	
熗	tɕʰiaŋ5	
炫	ʂʯan5	
炬	tʂʯ5	
炭	tʰan5	
炮	pʰau2	~制
炮	pʰau5	~炮
炯	tɕioŋ3	
炳	pin3	
炷	tʂʯ6	
炸	tʂa2	油~
炸	tʂa5	爆~
點	tin3	
煉	nin6	
爍	ʂo7	
爛	nan6	
烈	niɛ7	
烊	iaŋ6	
烘	xoŋ1	
烙	no7	
燭	tʂəu7	
烟	in1	
烤	kʰau3	
煩	fan2	
燒	ʂau1	
燁	iɛ7	
燴	xuei6	
燙	tʰaŋ5	
燼	tɕin6	
熱	ʯɛ7	
烷	uan2	
烹	pʰən1	
烽	foŋ1	
焉	in1	
焊	xan6	
焌	tɕʰi1	
焌	tʂʰʯ1	
焐	u6	
煥	xuan6	
燜	mən6	
焗	tʂʯ7	
燾	tʰau1	
焙	pei6	
焚	fən2	
焦	tɕiau1	
焯	tʂʰau1	
焰	in5	
焰	in6	
然	ʯan2	
煅	tan6	
煌	xuaŋ2	
煎	tɕin1	
煜	ʯ5	
煞	sa7	
煤	mei2	
煤	mi2	
煦	ʂʯ5	
照	tʂau5	
煨	uei1	
煪	tɕʰiəu1	烟熏
煮	tʂʯ3	
煲	pau3	
煸	pin3	
煺	tʰei5	
煽	ʂan5	
熄	ɕi7	
熊	ɕioŋ2	
熏	ʂʯən1	
熔	ʐoŋ2	
熙	ɕi1	
熟	ʂəu2	
熠	i6	
熥	tʰoŋ1	
熨	ʯən5	
熬	ŋau2	
熯	xan6	
熰	ŋəu5	
熹	ɕi1	
燃	ʯan2	
燎	niau2	
燕	in1	~国
燕	in5	~子
燥	tsau5	
燧	sei5	
燮	ɕiɛ7	
爆	pau5	
爪	tsau3	
爬	pʰa2	
愛	ŋai5	
爵	tɕio7	
父	fu6	
爺	iɛ2	
爸	pa7	
爹	tiɛ1	
爻	iau2	
爽	ʂʯaŋ3	
爽	saŋ0	轻~
片	pʰin5	
版	pan3	
牌	pʰai2	
牘	təu7	
牒	tiɛ7	
牖	iəu3	
牙	ia2	
牚	tsʰən5	
牛	niəu2	文
牛	nioŋ2	白，放~
牟	məu2	
牡	məu3	
牢	nau2	
牦	mau2	
牧	mu6	
牧	mu7	
物	u7	
牯	ku3	
牲	sən1	
牽	tɕʰin1	
特	tʰɛ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犄	tɕi1	
犢	təu7	
犍	tɕin5	
犒	kʰau5	
犟	tɕiaŋ5	
犬	tʂʰʯan3	
犯	fan6	
狀	tʂʯaŋ6	
獷	kuaŋ3	
猶	iəu2	
狂	kʰuaŋ2	
狄	ti7	
狽	pei5	
狽	pi5	
狍	pʰau2	
狎	ɕia7	
狐	xu2	
狒	fei5	
狗	kəu3	
獰	nin2	
狠	xən3	
狡	tɕiau3	
狩	ʂəu3	
獨	təu2	
獨	təu7	
狹	ɕia7	
獅	sɿ1	
猙	tsən1	
獄	iəu7	
猻	sən1	
狷	tʂʯan1	
狸	ni2	
狼	naŋ2	豺~
狼	naŋ1	黄鼠~
獵	niɛ7	
獼	mi2	
猖	tʂʰaŋ1	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu7	
猢	xu2	
猥	uei3	
猩	ɕin1	
豬	tʂʯ1	
猫	mau1	~子
猫	miau1	白
猫	mau5	躲~
蝟	uei5	
獻	ɕin5	
猴	xəu2	
猹	tʂʰa2	
猾	xua2	
猿	ʯan2	
獐	tʂaŋ1	
獒	ŋau2	
獗	tʂʯɛ7	
獺	tʰa7	
獾	xuan1	
玄	ʂʯan2	
率	ʂʯai5	
率	ni7	效~
玉	ʯ5	
王	uaŋ2	
璣	tɕi1	
玖	tɕiəu3	
瑪	ma3	
玦	tʂʯɛ7	
玩	uan2	
玫	mei2	
玫	mi2	
瑋	uei3	
環	xuan2	
現	ɕin6	~在
現	ɕin5	出~
玲	nin2	
玷	tin6	
玻	po1	
珀	pʰɛ7	
珈	tɕia1	
珉	min2	
珊	ʂan1	
珍	tʂən1	
珏	tʂʯɛ7	
琺	fa7	
瓏	noŋ2	
珓	kau5	蚌壳
珞	no7	
珠	tʂʯ1	
珩	xən2	
班	pan1	
琿	xuei1	
球	tɕʰiəu2	
琅	naŋ2	
理	ni3	
琉	niəu2	
瑣	so3	
琛	tʂʰən1	
琢	tso7	
琥	xu3	
琦	tɕʰi2	
琨	kʰuən1	
琪	tɕʰi2	
琳	nin2	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa2	
瓊	tɕʰioŋ2	
瑕	ɕia2	
瑙	nau3	
瑚	xu2	
瑛	in1	
瑜	ʯ2	
瑞	ʯei5	
瑟	sɛ7	
瑭	tʰaŋ2	
瑰	kuei5	
瑶	iau2	
瑾	tɕin3	
璀	tsʰei3	
璃	ni2	
璇	ɕin2	
璋	tʂaŋ1	
璐	nəu6	
璜	xuaŋ2	
璞	pʰu7	
璧	pi7	
璨	tsʰan5	
璺	uən6	
瓜	kua1	
瓠	xu6	
瓢	pʰiau2	
瓣	pan6	
瓤	ʐaŋ2	
瓦	ua3	
瓮	ŋoŋ5	
甌	ŋəu1	
瓴	nin3	
瓶	pʰin2	
瓷	tsʰɿ2	
甄	tsən1	
甑	tsən5	
甘	kan1	
甚	ʂən5	
甜	tʰin2	
生	sən1	~产
生	sən5	~蛋
甥	sən1	
用	ioŋ6	新
用	ʐoŋ6	老
甩	ʂʯai3	
甫	fu3	新
甫	pʰu3	老
甬	ʐoŋ3	
田	tʰin2	
由	iəu2	
甲	tɕia7	文
甲	ka0	白，指~
申	ʂən1	
電	tin6	
男	nan2	
甸	tin6	
町	tin1	
畫	xua6	
暢	tʂʰaŋ5	
畈	fan5	
界	kai5	
界	tɕiai5	
畏	uei5	
畔	pʰan5	
留	niəu2	
畜	tʂʰəu7	~生
畜	ɕiəu7	~牧
略	nio7	
番	pʰan1	~禺
番	fan1	~茄
畲	ʂe1	
疇	tʂʰəu2	
畸	tɕi1	
畿	tɕi1	
疆	tɕiaŋ1	
疏	səu1	
疑	i2	文
疑	ni2	白，~心
癤	tɕiɛ7	
療	niau2	
疙	kɛ7	
疚	tɕiəu5	
疝	ʂʯai5	
瘧	nio7	
瘍	iaŋ2	
疣	iəu2	
疤	pa1	
疥	kai5	
疥	tɕiai5	
疫	i6	新
疫	ʯ7	老
瘡	tʂʰʯaŋ1	文
瘡	tsʰaŋ1	白
瘋	foŋ1	
疱	pʰau5	
疲	pʰi2	
疴	kʰo1	
疵	tsʰɿ1	
疸	tan3	
疹	tʂən3	
疼	tʰən2	
疾	tɕi7	
痂	tɕia1	
痄	tʂa5	
病	pin6	
症	tʂən5	
癰	ʐoŋ1	
痙	tɕin1	
痊	tɕʰin2	
痍	i2	
痒	iaŋ3	
痔	tʂʅ5	
痕	xən2	
痘	təu6	
痛	tʰoŋ5	
痞	pʰi3	
痢	ni6	
痣	tʂʅ5	
痧	ʂa1	
癆	nau2	
瘓	xuan6	
癇	ɕin2	
痰	tʰan2	
痱	fei5	
癡	tʂʰʅ1	
癡	tʂʰʅ6	发呆
痼	ku5	
痿	uei3	
瘁	tsʰei5	
瘻	nəu3	
瘙	sau1	
瘟	uən1	
瘠	tɕi7	
瘢	pan1	
瘤	niəu2	
瘦	səu5	
瘩	ta0	
癟	piɛ3	
癱	tʰan1	
瘴	tʂaŋ5	
瘸	tʂʰʯɛ2	
癮	in3	
癌	ŋai2	
癖	pʰi3	
癜	tin6	
癩	na2	
癩	nai6	
癩	na7	~痢
癲	tin1	
癸	kuei5	
登	tən1	
白	pɛ2	
百	pɛ7	
皂	tsau6	
的	ti1	~士
的	ti7	~确
的	ti6	目~
皆	kai1	
皆	tɕiai1	
皇	xuaŋ2	
皈	kuei1	
皎	tɕiau3	
皚	ŋai2	
皓	xau6	
皖	uan3	
皙	ɕi1	
皮	pʰi2	
皺	tsəu5	
皴	tsʰən1	
皿	min3	
盂	ʯ2	
盅	tʂoŋ1	
盆	pʰən2	
盈	in2	
益	i7	
盎	ŋaŋ5	
盞	tsan3	
鹽	in2	
監	tɕin1	~管
監	tɕin5	~利
盒	xo2	
盔	kʰuei1	
盖	kai5	
盜	tau6	
盤	pʰan2	
盛	ʂən2	~饭
盛	ʂən5	~大
盟	moŋ2	
盥	kuan5	
盬	ku3	
目	mu7	
盯	tin1	
盲	maŋ2	
直	tʂʅ2	~接
直	tʂʅ7	~达
相	ɕiaŋ1	~互
相	ɕiaŋ5	~貌
盹	tən3	
盼	pʰan5	
盾	tən6	
省	sən3	~会
省	ɕin3	反~
眈	tan1	
眉	mei2	
眉	mi2	
看	kʰan1	~守
看	kʰan5	~望
瞘	kʰəu1	
真	tʂən1	
眠	min2	
眨	tsa7	
眩	ʂʯan5	
眯	mi5	
眶	kʰuaŋ1	
眷	tʂʯan6	
眸	məu2	
眺	tʰiau5	
眼	in3	
着	tʂo2	~火
着	tʂo7	~落
睜	tsən1	
睃	so1	
睇	ti6	
睏	kʰuən5	
睞	nai6	
瞼	tɕin3	
睛	tɕin1	
睡	ʂʯei5	
睡	fei5	又读
睡	ʂʯ0	瞌~
督	təu7	
睦	mu7	
睩	nəu7	
睫	tɕiɛ7	
睬	tsʰai3	
睹	təu3	
睽	kʰuei2	
睿	ʯei5	
瞄	miau2	
瞅	tsʰəu3	
瞌	kʰo7	
瞎	ɕia7	
瞑	min2	
瞞	man2	
瞟	pʰiau3	
瞠	tsʰən1	
瞥	pʰiɛ7	
瞧	tɕʰiau2	
瞩	tʂəu7	
瞪	tən5	
瞬	ʂʯən6	
瞭	niau6	
瞰	kʰan5	
瞳	tʰoŋ2	
瞻	tʂan1	
瞿	tʂʰʯ2	
矆	xo7	扯~:闪电
矍	tʂʯɛ7	
矗	tʂʰəu7	
矛	mau2	文
矛	miau2	白，~子
矜	tɕin1	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tʂʯ3	
矯	tɕiau3	
短	tan3	
矮	ŋai3	
石	ʂʅ2	
石	tan5	量词
礬	fan2	
礦	kʰuaŋ5	
碼	ma3	
砂	ʂa1	
砌	tɕʰi5	
砍	kʰan3	
砑	ia6	文
砑	ŋa6	白
砒	pʰi1	
研	in2	文
研	nin2	白，~究
磚	tʂʯan1	
硯	in6	文
硯	nin6	白，~池
砝	fa7	
砟	tʂa3	
砣	tʰo2	
砦	tsai6	
砧	tsən1	
砭	pin3	
砰	pʰoŋ1	
破	pʰo5	
砷	ʂən1	
砸	tsa7	
礪	ni6	
礫	ni6	
礎	tsʰəu3	
硅	kuei1	
碩	ʂo7	
磑	ŋai2	
礄	tɕʰiau2	
硝	ɕiau1	
硪	ŋo2	
硫	niəu2	
硬	ŋən6	
確	tɕʰio7	
碉	tiau1	
碌	nəu7	
礙	ŋai6	
碎	sei5	文
碎	ɕi5	白，琐~
碎	tsʰei5	粉~
碑	pei1	
碓	tei5	
碓	ti5	
碗	uan3	
碘	tin3	
碟	tiɛ7	
碣	tɕiɛ7	
碧	pi7	
碰	pʰoŋ5	
鹼	tɕin3	
碳	tʰan5	
碴	tʂʰa1	
碾	nin3	文
碾	in3	白，~过去
磁	tsʰɿ2	
磅	paŋ6	
磉	saŋ3	
磊	nei3	
磋	tsʰo1	
磐	pʰan2	
磐	tɕʰin5	
磕	kʰo7	
磙	kuən3	
磨	mo2	~刀
磨	mo6	~子
磷	nin2	
磺	xuaŋ2	
礁	tɕiau1	
礅	tən1	
礓	tɕiaŋ1	
礴	po7	
示	ʂʅ5	
禮	ni3	
社	ʂe6	
祀	sɿ6	
祁	tɕʰi2	
祈	tɕʰi2	
祉	tʂʅ3	
祖	tsəu3	
祛	tɕʰi1	
祛	tʂʰʯ1	
祝	tʂəu7	
神	ʂən2	
祠	tsʰɿ2	
祥	ɕiaŋ2	新
祥	tɕʰiaŋ2	老
票	pʰiau5	
祭	tɕi5	
禎	tʂən1	
禱	tau3	
禍	xo6	
稟	pin3	
禁	tɕin5	~止
禁	tɕin1	鞋不~穿
祿	nəu7	
禪	ʂan6	~让
禪	tʂʰan2	口头~
福	fu7	
禧	ɕi3	
禹	ʯ3	
禺	ʯ3	
离	ni2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰəu7	
稈	kan3	
秉	pin3	
秋	tɕʰiəu1	
種	tʂoŋ3	~子
種	tʂoŋ5	~植
科	kʰo1	
秒	miau3	
秕	pi3	
秕	piɛ3	
秘	mi7	新
秘	pi7	老
租	tsəu1	
秣	mo6	
秤	tʂʰən5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tʂʰʅ2	
秫	ʂəu7	
秭	tsɿ3	
積	tɕi7	
稱	tʂʰən1	~呼
稱	tʂʰən5	~心
秸	tɕiɛ7	
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʂʰən2	
稍	ʂau1	
税	ʂʯei5	
税	fei5	又读
稔	ʐən3	
稗	pai6	
稚	tʂʰʅ5	
稞	kʰo1	
稠	tʂʰəu2	
穌	səu1	
穩	uən3	
稷	tɕi7	
稻	tau6	
稼	tɕia5	
稽	tɕi1	
稿	kau3	
稿	kʰau5	
穆	mu7	
穡	sɛ7	
穗	sei5	文
穗	ɕi5	白，~麦
穬	kuaŋ5	
穴	ʂʯɛ2	
穴	ɕiɛ2	白
究	tɕiəu5	
窮	tɕʰioŋ2	
穹	tɕʰioŋ2	
空	kʰoŋ1	~气
空	kʰoŋ5	~位
穿	tʂʰʯan1	
突	tʰəu7	
竊	tɕʰiɛ7	
窄	tsɛ7	
窈	iau3	
竅	tɕʰiau5	
窯	iau2	
窒	tʂʅ5	
窕	tʰiau2	
窖	tɕiau5	文
窖	kau5	白，茅~
窗	tʂʰʯaŋ1	文
窗	tsʰaŋ1	白
窘	tɕioŋ3	
竄	tsʰan5	
窩	o1	
窟	kʰu7	
窠	kʰo1	
窺	kʰuei1	
窨	in5	
窿	noŋ2	
立	ni7	
豎	ʂʯ6	
站	tʂan5	
競	tɕin5	
竟	tɕin5	
章	tʂaŋ1	
竣	tɕin5	
童	tʰoŋ2	
竭	tɕiɛ7	
端	tan1	
竹	tʂəu7	
竺	tʂəu7	
竽	ʯ2	
竿	kan1	
篤	təu7	
笆	pa1	
笊	tʂau3	
笋	sən3	
笏	xu7	
笑	ɕiau5	
筆	pi7	
笙	sən1	
笛	ti2	
笞	tʂʰʅ1	
笠	ni7	
笤	tʰiau2	
符	fu7	
笨	pən6	
第	ti6	
笮	tso7	
笳	tɕia1	
箋	tɕin3	
籠	noŋ3	~罩
籠	noŋ2	牢~
等	tən3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tʂəu7	
筒	tʰoŋ2	
答	ta7	
策	tsʰɛ7	
筘	kʰəu5	
篩	sai1	
篩	sai2	发抖
箏	tsən1	
筱	ɕiau3	
筲	ʂau1	
筵	in5	
筷	kʰuai5	
籌	tʂʰəu2	
签	tɕʰin1	
簡	tɕin3	
箍	kʰu1	
箔	pɛ7	
箕	tɕi1	
算	san5	
管	kuan3	
箢	ʯan1	
篋	tɕʰiɛ7	
籮	no2	
簫	ɕiau1	
箭	tɕin5	
箱	ɕiaŋ1	
箴	tʂən1	
箸	tʂʯ6	
篆	tʂʯan6	
篇	pʰin1	
築	tʂəu7	塞
簣	kʰuei5	
簍	nəu3	
篙	kau1	
篝	kəu1	
篡	tsʰan5	
篦	pi6	
籃	nan2	
籬	ni2	
篷	pʰoŋ2	
篼	təu1	
篾	miɛ7	
簇	tsʰəu7	
簌	səu7	
簟	tin6	
簧	xuaŋ2	
簪	tsan1	
簸	po5	
簿	pu6	
籀	tʂəu5	
籟	nai6	
籍	tɕi7	
米	mi3	
米	no6	
糴	ti7	
類	nei6	
類	ni6	
籽	tsɿ3	
粉	fən3	
粑	pa1	
粒	ni7	
粕	pʰɛ7	
粗	tsʰəu1	
粘	tʂan1	~胶
糶	tʰiau5	
粟	ɕiəu7	
粤	ʯɛ7	
粥	tʂəu7	
糞	fən5	
糧	niaŋ2	
粱	niaŋ2	
粳	kən3	
粹	tsʰei5	
粼	nin2	
糉	tsoŋ5	
精	tɕin1	
糅	ʐəu2	
糊	xu2	~涂
糊	xu6	~汤
糍	tsʰɿ2	
糕	kau1	
糖	tʰaŋ2	
糗	tɕʰiəu3	
糙	tsʰau5	
糜	mi2	
糟	tsau1	
糠	kʰaŋ1	
糨	tɕiaŋ1	
糯	no6	
系	tɕi5	~绳子
系	ɕi6	~列
紊	uən3	
素	səu5	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	ni6	
累	nei3	~计
累	nei6	劳~
絮	ɕi5	
縻	mi2	
繁	fan2	
纂	tsan3	
纛	tau6	
糾	tɕiəu1	
紅	xoŋ2	
紂	tʂəu5	
纤	tɕʰin1	~细
纤	tɕʰin5	~夫
約	io7	
級	tɕi7	
紈	uan2	
紀	tɕi3	~律
紀	tɕi5	世~
紉	ʐən3	
紉	ʯən3	又读
緯	uei3	
純	tʂʰʯən2	新
純	ʂʯən2	老
紕	pʰi1	
紗	ʂa1	
綱	kaŋ1	
納	na7	
縱	tsoŋ6	
綸	kuan1	
綸	nən2	
紛	fən1	
紙	tʂʅ3	
紋	uən2	
紡	faŋ3	
紐	niəu3	
紓	ʂʯ1	
線	ɕin5	
練	nin6	
組	tsəu3	
紳	ʂən1	
細	ɕi5	
織	tʂʅ7	
終	tʂoŋ1	
縐	tsəu1	
絆	pʰan5	
絀	tʂʰəu7	
紹	ʂau6	
繹	i7	
經	tɕin1	
綁	paŋ3	
絨	ʐoŋ2	
結	tɕiɛ7	
絝	kʰu5	
繞	ʐau6	
繪	xuei6	
給	ke3	
給	tɕi7	~予
絢	ʂʯan5	
絳	tɕiaŋ5	
絡	no7	
絶	tɕiɛ7	
絞	tɕiau3	
統	tʰoŋ3	
絹	tʂʯan1	
繡	ɕiəu5	
綏	sei2	
絛	tʰau1	
繼	tɕi5	
績	tɕi7	
緒	ɕi6	
綾	nin2	
續	ɕi6	文
續	səu7	白，继~
緋	fei3	
綽	tʂʰo7	
绱	ʂaŋ6	
緄	kuən3	
繩	ʂən2	
維	uei2	
綿	min2	
綬	ʂəu6	
繃	poŋ1	
綢	tʂʰəu2	
綹	niəu5	
綜	tsoŋ1	
綻	tsan5	
綰	uan3	
綠	nəu7	
綴	tʂʯei5	
緇	tsɿ1	
緘	tɕin3	
緬	min3	
纜	nan3	
緲	miau3	
緝	tɕi7	
緞	tan6	
緩	xuan3	
締	ti5	
縷	ni3	
編	pin1	
緣	ʯan2	
縛	fu5	
縟	ʯ6	
縝	tʂən3	
縫	foŋ2	~纫
縫	foŋ6	~隙
纏	tʂʰan2	
縊	i7	
繽	pin1	
縹	pʰiau1	
纓	in1	
縮	səu7	
繆	məu2	
繚	niau2	
繕	ʂan6	
繮	tɕiaŋ1	
繰	tɕʰiau1	
繳	tɕiau3	
缶	fəu3	
缸	kaŋ1	
缺	tʂʰʯɛ7	
罌	in1	
罄	tɕʰin5	
罐	kuan5	
网	uaŋ3	
罔	uaŋ3	
罕	xan3	
羅	no2	
罰	fa2	
罡	kaŋ1	
罷	pa6	
罩	tʂau5	
罪	tsei6	文
罪	tɕi6	白，得~
置	tʂʅ7	
署	ʂʯ3	
羆	pʰi1	
罹	ni2	
罾	tsən5	
羈	tɕi1	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羚	nin2	
羞	ɕiəu1	
羡	ɕin5	
群	tʂʰʯən2	
羲	ɕi1	
羸	nei3	
羹	kən1	
羽	ʯ3	
羾	koŋ5	钻
羿	i5	
翁	ŋoŋ1	
翅	tʂʅ5	
翌	i5	
翎	nin2	
翔	ɕiaŋ2	
翹	tɕʰiau5	
翟	tsɛ7	
翠	tsʰei5	
翡	fei3	
翦	tɕin3	
翩	pʰin1	
翰	xan6	
翱	ŋau2	
翳	i5	
翻	fan1	
翼	i5	
耀	iau5	
老	nau3	
考	kʰau3	
耄	mau6	
者	tʂe3	
耋	tiɛ7	
而	ɔɹ2	
耍	ʂʯa3	
耐	nai6	
耒	nei3	
耕	kən1	
耖	tsʰau5	翻动
耗	xau5	
耘	ʯən2	
耙	pa6	~田
耙	pʰa2	钉~
耜	sɿ5	
耥	tʰaŋ3	
耦	ŋəu3	
耳	ɔɹ3	
耶	iɛ1	
耷	ta7	
聳	soŋ3	
耻	tʂʰʅ3	
耽	tan1	
耿	kən3	
聶	niɛ7	
聆	nin2	
聊	niau2	
聾	noŋ1	
職	tʂʅ7	
聒	ko7	
聯	nin2	
聘	pʰin5	
聚	tɕi6	
聵	kʰuei5	
聰	tsʰoŋ1	
聿	ʯ6	
肅	səu7	
肄	i5	
肆	sɿ5	
肇	tʂau6	
肉	ʐəu7	
肋	nei6	
肋	nɛ7	
肌	tɕi1	
肏	tsʰau5	
肓	xuaŋ1	
肖	ɕiau1	姓
肖	ɕiau5	惟妙惟~
肘	tʂəu3	
肚	təu3	
肛	kaŋ1	
肝	kan1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肩	tɕin1	
肪	faŋ2	
肫	tʂʯən1	
骯	ŋaŋ1	
肯	kʰən3	
肱	koŋ3	
育	iəu7	
肴	iau2	
肺	fei5	
腎	ʂən6	
腫	tʂoŋ3	
脹	tʂaŋ5	
脅	ɕiɛ7	
胃	uei5	
胄	tʂəu5	
膽	tan3	
背	pei1	~包
背	pi5	~后
背	pi6	~书
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	
胚	pʰi1	
胛	tɕia7	
勝	ʂən5	
胞	pau1	
胡	xu2	
胤	in5	
朧	noŋ2	
脛	tɕin5	
胭	in1	
胮	pʰaŋ1	
胯	kʰua3	
胰	i2	
胱	kuaŋ1	
胳	kɛ7	
膠	tɕiau1	
胸	ɕioŋ1	
胺	ŋan1	
能	nən2	
脂	tʂʅ3	
脆	tsʰei5	
脉	mɛ7	
脊	tɕi7	
膾	kʰuai5	
脏	tsaŋ6	心~
脏	tsaŋ1	肮~
臍	tɕʰi2	
腦	nau3	
膿	noŋ2	
脚	tɕio7	
脢	mei2	
脬	pʰau1	
脯	pʰu3	
脱	tʰo7	
腡	no2	
臉	nin3	
脾	pʰi2	
腆	tʰin3	
臘	na7	
腋	iɛ7	
腌	ŋa1	
腌	in1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan3	
腚	tin6	
腠	tsʰəu5	
腥	ɕin1	
腩	nan2	
腭	ŋo7	
腮	sai1	
腰	iau1	
腱	tɕin5	
腴	ʯ2	
腹	fu7	
腺	ɕin5	
膩	ni6	
靦	min3	
騰	tʰən2	
腿	tʰei3	
腿	tʰi3	
膀	pʰaŋ2	~光
膀	paŋ3	~子
膈	kɛ7	
膊	po2	
膊	pʰo0	赤~
膏	kau1	~药
膏	kau5	~油
膘	piau1	
膛	tʰaŋ2	
膜	mo7	
膝	tɕʰi7	老
膨	pʰən2	~胀
膨	pʰən1	肚子~气
膳	ʂan6	
膺	in1	
膻	ʂan1	
臀	tʰən2	
臂	pei5	
臂	pi5	
臃	ʐoŋ1	
臆	i5	
臊	sau1	
臌	ku3	
臢	tsa1	
臣	tʂʰən2	
臧	tsaŋ1	
自	tsɿ6	
臭	tʂʰəu5	
至	tʂʅ5	
致	tʂʅ5	
臻	tʂən1	
臼	tɕiəu5	
臾	ʯ2	
舀	iau3	
舂	tʂʰoŋ1	
舅	tɕiəu6	
輿	ʯ2	
舌	ʂɛ2	
舍	ʂe3	~不得
舍	ʂe5	宿~
舐	ʂʅ5	
舒	ʂʯ1	
舔	tʰin3	
舛	tʂʰʯan3	
舜	ʂʯən6	
舞	u3	
舟	tʂəu1	
舢	ʂan1	
舨	pan3	
航	xaŋ2	
般	pan1	
艦	tɕin5	
艙	tsʰaŋ1	
舵	to6	
舶	pʰɛ7	
舷	ɕin2	
船	tʂʰʯan2	
艫	nəu2	
艄	ʂau1	
艇	tʰin3	
艘	səu1	
良	niaŋ2	
艱	tɕin1	文
艱	kan1	白，~难苦愁
色	sɛ7	
豔	in6	
藝	i6	
艾	ŋai6	
節	tɕiɛ7	
芋	ʯ6	
芍	ʂau2	
芒	maŋ2	
芙	fu2	
蕪	u2	
芝	tʂʅ1	
芥	kai5	
芥	tɕiai5	
芫	in2	
芬	fən1	
芭	pa1	
芮	ʯei5	
芯	ɕin1	
花	xua1	
芳	faŋ1	
芸	ʯən2	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
莧	xan6	
蒼	tsʰaŋ1	
苧	tʂʯ6	
苏	səu1	
苑	ʯan6	
苒	ʯan3	
苓	nin2	
苔	tʰai2	~藓
苔	tʰai1	舌~
苕	ʂau2	
苗	miau2	
苛	kʰo1	
苜	mu7	
苞	pau1	
苟	kəu3	
苣	tʂʯ0	
若	ʐo7	
苦	kʰu3	
苫	tsan1	
苯	pən3	
英	in1	
蘋	pʰin2	
茁	tʂo7	新
茁	tʂʯɛ7	老
茂	mau6	
茂	məu6	
范	fan6	
茄	tɕʰiɛ2	~子
茄	tɕia1	雪~
茅	mau2	
茉	mo7	
莖	tɕin1	
茓	ɕiɛ2	
塋	in2	
茗	min2	
茜	tɕʰin5	
繭	tɕin3	
茨	tsʰɿ5	
茫	maŋ2	
茬	tʂʰa2	
茭	kau1	
茯	fu7	
茱	tʂʯ1	
茴	xuei2	
茵	in1	
茶	tʂʰa2	
茸	ʐoŋ2	
茹	ʯ2	
茼	tʰoŋ2	
荀	ɕin2	
荆	tɕin1	
草	tsʰau3	
荏	ʐən6	
薦	tɕin5	
