#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
濺	tin6	文讀
濼	loːk10	
濼	pʰoːk8	
濾	ly6	
濾	ly1	
瀅	eŋ4	
瀆	tok9	
瀉	ɬɛ3	
瀋	ɕam2	
瀏	lau4	
瀑	pɘu6	
瀕	ɓan1	
瀘	lu4	
瀚	ŋɔɑ̯n6	
瀛	eŋ4	
瀝	lek9	
瀟	ɬiu1	
瀠	weŋ4	
瀢	jui6	油膩,油亮
瀣	ɔɑ̯i6	
瀦	tɕy1	
瀧	ɕoːŋ1	
瀨	lɔɑ̯i6	
瀰	mi4	
瀲	lim6	
瀵	fan3	
瀹	ja2	
瀾	lɔɑ̯n4	
灃	foŋ1	
灄	ɕip7	
灌	kun3	
灌	kʰun3	見1959年字表
灑	ɕɔ3	
灒	tɛa̯n6	濺
灒	tɔɑ̯n6	濺
灘	tʰɔɑ̯n1	
灝	ɘu6	
灞	ɓɔ3	
灣	wɔɑ̯n1	
灩	jim6	
火	wɵ2	
灬	wɵ2	
灰	wui1	
灶	ɗɘu3	
灸	tɕau2	
灸	tɕau3	又讀
灼	tɕa2	
災	ɗɔɑ̯i1	
炅	kʷeŋ2	
炅	kʷai3	姓
炊	tɕʰui1	
炎	jim6	炎症,發炎
炎	jim4	炎熱
炒	tɕʰɒu2	
炔	kʰÿt7	
炕	kʰoːŋ3	
炙	tɕøk7	
炫	jÿn6	
炬	ky5	
炭	tʰɔɑ̯n3	
炮	pʰɒu3	
炯	kʷeŋ2	
炱	tɔɑ̯i4	
炳	ɓeŋ2	
炷	tɕy3	
炸	tɕɔ3	爆~
炸	tɕɒu3	油~。本字「㷹」
爲	wai4	行~
爲	wai6	因~
炻	ɕek9	
烀	wu1	
烈	lᴇɐ̯t10	
烊	ja4	
烏	wu1	
烘	hoŋ1	~亁|~托
烘	oŋ6	火盛貌
烙	loːk8	
烤	hɒu1	本字或爲「灱」
烯	hi1	
烴	tʰeŋ1	
烷	jÿn4	
烹	pʰa1	
烽	foŋ1	
焉	jin1	
焐	ŋ̍6	
焓	ɒm4	
焙	pui6	
焚	fan4	
無	fu4	文讀
焦	ɗiu1	
焯	tɕɒu3	
焰	jim6	
焱	jim6	
然	ɕin4	
煆	hɔ1	
煉	lin6	
煊	jÿn1	
煌	woːŋ4	
煎	ɗin1	
煎	ɗin3	(用肥肉)煉油
煒	wai5	
煙	jin1	
煙	ȵin1	
煜	jok7	
煞	ɕɔɑ̯t8	
煢	keŋ4	
煤	mui4	
煥	wun6	
煦	hy2	
照	tɕiu3	
煨	wui1	
煩	fɔɑ̯n4	
煬	ja4	鎔化金屬
煬	ja6	烘烤;就火取暖;炎熱
煮	tɕy2	
煲	ɓɘu1	
煸	pʰin1	
煽	ɕin3	
熄	ɬek7	
熆	ɒp10	生火
熊	joŋ4	
熊	oŋ4	~人婆:民間故事中長毛人形的怪物,能人言,喫小孩和牲畜。在故事中其趁母親外出冒充祖母的妹妹而進入家中。大女兒與其鬥智鬥勇,最終脫險並殺死熊人婆。有的地方也叫no4*03no4婆、me4-6me4、沙龍婆等,類似的故事在廣西各地頗爲流傳。
熔	joŋ4	
熗	tʰa3	
熙	hi1	
熟	ɕok9	
熠	jɒp10	
熨	tʰoːŋ3	「燙」的訓讀
熬	ŋɘu4	
熬	ŋɘu6	白讀
熱	ȵᴇɐ̯t10	
熳	mɔɑ̯n6	
熵	ɕa1	
熹	hi1	
熾	tɕek7	見《玉林话研究》
燁	jɛa̯p10	
燃	ɕin4	文讀
燃	ȵin4	白讀
燄	jim6	
燈	ɗaŋ1	
燉	tan6	
燎	lᴇɐ̯u1	白讀:火~|火~棍
燎	liu4	文讀
燒	ɕiu1	
燔	fɔɑ̯n4	
燕	jin3	鳥名
燕	jin1	地名
燙	tʰoːŋ3	
燜	man1	
營	weŋ4	
燠	ɘu2	
燥	tʰɘu3	
燦	tʰɔɑ̯n2	
燧	tɕui6	
燬	wai2	
燭	tɕok7	
燮	ɬip7	
燹	ɬin2	
燻	wan1	
燼	tan6	
燾	tɘu6	
爆	ɓɒu3	~裂
爆	pɘu6	~炸
爍	lek7	
爐	lu4	
爛	lɔɑ̯n6	
爝	tʰa2	
爨	tʰÿn3	
爪	tɕɒu2	文讀:~牙
爪	ȵɒu2	白讀:雞~
爬	pɔ4	
爭	tɕa1	
爰	jÿn4	
爲	wai4	行~
爲	wai6	因~
爵	tʰa2	
父	fu6	
爸	ɓɔ1	
爹	ɗɛ1	
爺	jɛ1	
爻	ȵɒu4	
爽	ɕoːŋ2	
爾	ni5	
爿	pɔɑ̯n4	
牀	ɕoːŋ4	
牆	ta4	
片	pʰɛa̯n3	白讀。名量詞:藥~|一~豬肉;切成片:~芋頭
片	pʰin3	
版	ɓɔɑ̯n2	
牌	pɔɑ̯i4	
牒	tɛa̯p10	
牖	jau5	
牘	tok9	
牙	ȵɔ4	
牚	tɕʰa3	死雞~硬頸
牚	tʰa3	硬~
牛	ȵau4	
牜	ȵau4	
牝	pan5	
牟	mu6	
牠	tʰɔ1	
牡	mɘu5	
牢	lɘu4	
牦	mɘu4	
牧	mok9	
物	mat9	
牮	ɗɛa̯n3	
牯	ku2	
牲	ɕa1	
牴	ɗai2	
牸	ti6	
特	tak9	
牽	jin1	
牾	ŋ̍5	
牿	kok7	
犀	ɬai1	
犁	lai4	
犄	ki1	
犋	ky6	
犍	kin6	
犏	pʰin1	
犒	hɘu3	
犛	li4	
犟	ka6	~頸
犢	tok9	
犧	hi1	
犬	jÿn2	
犭	jÿn2	
犯	fɒm6	
犯	fɒm5	白讀。阻礙,干擾;騷擾,冒犯;
犰	tɕau4	
犴	ŋɔɑ̯n6	
狀	tɕoːŋ6	形~|奬~|~元
狀	ɕoːŋ6	與訴訟、告發相關的:告~|~紙|~告
狁	jan5	
狂	kʷoːŋ4	
狃	nau5	
狄	tek9	
狍	pɒu4	
狎	ɒp10	
狐	wu4	
狒	fi6	
狗	kau2	
狠	an6	
狡	kɒu2	
狨	joŋ4	
狩	ɕau2	
狳	jy4	
狴	pi6	
狷	kÿn3	
狸	li4	
狹	kɛa̯p10	白讀,口語中以小稱讀法gem03常見
狹	ɒp10	文讀
狺	ŋan4	
狻	ɬÿn1	
狼	loːŋ4	
狽	ɓui3	
猁	li6	
猄	keŋ1	黄~:赤麂
猊	ȵi4	
猓	kʷɵ2	
猖	tɕʰa1	
猗	ji1	美好盛大的樣子;語尾助詞
猗	ji2	加,超越;倚靠;束而採之
猙	tɕa1	
猛	maŋ5	~住:可勁儿地,拼命地
猛	ma5	
猜	tɕʰɔɑ̯i1	
猝	ɗat7	
猞	ɕɛ1	
猢	wu4	
猥	wui2	
猩	ɬeŋ1	
蝟	wai6	
猱	nɘu4	
猴	au4	
猶	jau4	
猷	jau4	大~窩:地名「大牛窩」的雅化,坊間習慣稱「大牛窩」
猸	mi4	
猹	tɕɔ4	
猻	ɬÿn1	
猾	wɔɑ̯t10	
猿	jÿn4	
獁	mɔ1	
獁	mɔ5	
獄	ȵok9	
獅	ɕi1	
獍	keŋ3	
獎	ɗa2	
獐	tɕa1	
獒	ŋɘu4	
獗	kÿt7	
獠	liu4	
獠	lɘu5	古時中原對西南諸少數民族的蔑稱
獨	tok9	
獪	kʷai3	
獫	jim2	
獬	ɔɑ̯i5	
獯	wan1	
獰	neŋ4	
獲	wa6	
獵	lɛa̯p10	
獷	kʷoːŋ2	
獸	ɕau3	
獺	tɕʰɔɑ̯t8	
獻	jin3	
獼	mi4	
獾	wun1	
玀	lɵ4	
玄	jÿn4	
率	lat9	效~,百分~
率	ɕat7	~領
玉	ȵok9	
王	woːŋ4	
玎	ɗeŋ1	
玖	kau2	異讀
玖	tɕau2	
玟	man4	
玢	ɓan1	
玨	kak7	
玩	wun6	
玫	mui4	
玲	leŋ4	
玳	tɔɑ̯i6	
玷	ɗim3	
玻	ɓɵ1	
珀	pʰa2	
珂	kʰɵ1	
珈	kɔ1	
珊	ɕɔɑ̯n1	
珍	tɕan1	
珙	koŋ2	
珞	loːk10	
珠	tɕy1	
珥	ȵi5	
珧	jiu4	
珩	a4	
班	ɓɔɑ̯n1	
珮	ɓui3	
現	jin6	
球	tɕau4	
球	kau4	異讀
琅	loːŋ4	
理	li5	
琇	ɬau3	
琉	lau4	
琊	jɛ4	
琚	ky1	
琛	tɕʰam1	
琢	ɗoːk8	
琥	wu2	
琦	ki4	
琨	kʷʰan1	
琪	ki4	
琬	jÿn2	
琮	toŋ4	
琰	jim5	
琳	lam4	
琴	tɕam4	
琴	kam4	異讀
琵	pi4	
琶	pɔ4	
琿	kʷʰai1	
瑁	mɘu6	
瑉	man4	
瑋	wai5	
瑕	ɔ4	
瑗	jÿn6	
瑙	nɘu5	
瑚	wu4	
瑛	eŋ1	
瑜	jy4	
瑞	ɕui6	
瑟	ɕat7	
瑣	ɬœ2	
瑶	jiu4	
瑩	weŋ4	
瑪	mɔ5	
瑭	toːŋ4	
瑯	loːŋ4	
瑰	kʷai3	
瑾	kan6	
璀	tʰui1	見《玉林话研究》
璁	tʰoŋ1	
璃	li1	
璇	ɕÿn4	
璉	lin5	
璋	tɕa1	
璐	lu6	
璜	woːŋ4	
璞	pʰoːk8	
璣	ki1	
璦	ɔɑ̯i3	
璧	ɓek7	
璨	tʰɔɑ̯n3	
璩	ky4	
環	wɔɑ̯n4	
璺	man6	
璽	ɬai2	
瓊	keŋ4	
瓏	loŋ4	
瓔	eŋ1	
瓚	ɗɔɑ̯n3	
瓜	kʷɔ1	
瓞	tᴇɐ̯t10	
瓠	ku6	角~:瓠瓜
瓢	piu5	
瓣	pɔɑ̯n6	
瓤	noːŋ1	白讀
瓤	noːŋ4	
瓦	ŋɔ5	白讀
瓦	wɔ5	文讀
瓮	oŋ3	
瓴	leŋ4	
瓶	peŋ4	
瓷	ti4	
瓿	pʰau2	
甄	tɕan1	
甄	an1	
甌	au1	古民族名,現存於鬱林地名中
甍	maŋ4	
甑	ɗaŋ1	
甓	pek9	
甕	oŋ3	
甘	kɒm1	
甙	tɔɑ̯i6	
甚	ɕam6	
甜	tim4	
生	ɕeŋ1	産(卵):~蛋;發(病):~羊癲|~珠紅瘋(痄腮)
生	ɕa1	
産	ɕɔɑ̯n2	
甥	ɕa1	
甦	ɬu1	
用	joŋ6	
甩	ɕɔɑ̯i1	
甫	pʰu2	
甬	ȵoŋ2	
甯	neŋ6	
田	tin4	
由	jau4	
甲	kɒp8	
申	ɕan1	
男	nɒm4	
甸	tin6	
町	tʰeŋ1	
甾	tɕɔɑ̯i1	
畀	ɓi2	
畈	fɔɑ̯n3	
畋	tin4	
界	kɔɑ̯i3	
畎	jÿn2	
畏	wai3	
畔	pun5	
留	lau4	
畚	ɓɔɑ̯n2	
畛	tɕan2	
畜	tɕʰok7	
畝	mu2	
畝	mau5	
畢	ɓat7	
略	la6	
畦	kʷai4	
番	fɔɑ̯n1	西洋的:~薯|~茄|~鬼
番	pʰun1	~禺:地名,在廣東
畫	wɔ6	文讀
畫	wɔɑ̯t10	白讀
異	ji6	
當	ɗoːŋ1	
當	ɗoːŋ3	
畸	ki1	
畹	jÿn2	
畿	ki1	
疃	tʰÿn2	
疆	kʰa1	
疇	tɕau4	
疊	tɛa̯p10	
疋	ɕu1	腳
疋	pʰat7	同「匹」
疋	ȵɔ5	同「雅」
疏	ɕɵ1	
疑	ȵi4	
疒	nek9	
疚	tɕau3	
疝	ɕɔɑ̯n3	
疣	jau4	
疤	ɓɔ1	
疥	kɔɑ̯i3	
疫	wek9	
疰	tɕy3	
疱	pʰɒu3	
疲	pi4	
疴	ɵ1	
疵	tʰi1	
疸	tʰɔɑ̯n2	
疹	tɕʰan2	
疼	taŋ4	1959年字表讀陽去
疾	tat9	
疿	fi3	
痂	kɔ1	
痃	jin4	
痄	tɕɔ3	
病	peŋ6	
症	tɕeŋ3	
痊	tÿn4	
痍	ji4	
痕	an4	
痘	tau6	
痛	tʰoŋ3	
痠	ɬÿn1	
痢	li6	
痣	tɕi3	
痤	tœ4	
痧	ɕɔ1	
痰	tɒm4	
痱	pi4	
痲	mɔ4	
痴	tɕʰi1	
痺	ɓi3	
痼	kʰu3	
痾	ɵ1	
痿	wai2	
瘀	jy1	
瘂	ɔɑ̯t8	同「啞」
瘃	tɕok7	
瘊	au4	
瘋	foŋ1	
瘌	lɔɑ̯t8	
瘍	ja4	
瘓	wun6	
瘕	hɔ1	痰;㾤~:咳嗽;掹~:哮喘
瘖	am2	
瘙	ɬɘu3	
瘛	tɕʰai3	
瘠	tek9	
瘡	tɕʰoːŋ1	
瘢	ɓun1	
瘤	lau5	見《玉林話研究》
瘥	tɕʰɔɑ̯i3	
瘥	tɵ4	
瘦	ɕau3	
瘧	ȵa6	
瘭	pʰiu1	
瘰	lœ5	
瘳	tɕʰɒu1	
瘵	tɕɔɑ̯i3	
瘸	kʷɛ4	
瘻	lau6	
瘼	moːk10	
癀	woːŋ4	
療	liu4	
癃	loŋ4	
癆	lɘu3	骨~
癆	lɘu4	肺~
癇	ɔɑ̯n4	
癉	ɗɔɑ̯n3	由勞累造成的病;憎恨
癉	ɗɔɑ̯n1	溼熱病
癉	ɗɔɑ̯n2	同「疸」
癌	ȵɒm4	
癍	ɓɔɑ̯n1	
癒	jy6	
癔	ek7	
癖	pʰek7	
癘	lai6	
癜	ɗin3	
癟	mᴇɐ̯t8	訓讀
癢	ja5	
癤	ɗit7	
癥	tɕeŋ3	
癧	lek9	
癩	lɔɑ̯i3	
癬	ɬin2	
癭	eŋ1	
癮	jan5	
癱	tʰɔɑ̯n1	
癲	ɗin1	
癸	kʷai4	
癹	put7	用腳踏除水稻田雜草
登	ɗaŋ1	
發	fɔɑ̯t8	
白	pa6	
百	ɓek7	又讀
百	ɓa2	
皂	tɘu5	
的	ɗek7	
皆	kɔɑ̯i1	
皇	woːŋ4	
皈	kʷai1	
皎	kiu2	
皓	ɘu6	
皖	wɔɑ̯n5	
皙	ɬek7	
皚	ŋɔɑ̯i4	
皤	pɵ4	
皮	pi4	
皰	pʰɒu3	
皴	tʰÿn1	
皸	kʷan1	
皺	tɕau3	文讀
皺	ȵau3	白讀
皿	meŋ5	
盂	jy4	
盃	ɓui1	
盆	pun4	
盈	eŋ4	文讀
盈	ŋeŋ4	白讀
益	ek7	
盍	ɒp10	
盎	oːŋ3	
盒	ɒp10	
盔	wui1	
盔	kʷʰai1	新派讀音
盛	ɕeŋ6	
盜	tɘu6	
盞	tɕɔɑ̯n2	
盟	maŋ4	
盡	tan5	
監	kɒm1	~考|~督
監	kɒm3	太~|~獄
盤	pun4	
盥	kun3	
盧	lu4	
盪	toːŋ6	玩
盪	toːŋ4	空~~
目	mok9	
盯	ɗeŋ1	
盱	hy1	
盲	ma4	
直	tɕek9	
直	tɕøk9	白讀
相	ɬa1	~當|~應
相	ɬa3	~貌
盹	tan6	
盼	pʰɔɑ̯n3	
盾	tan6	
省	ɬeŋ2	反~
省	ɕa2	廣東~|節~|~親
眄	min5	
眇	miu5	
眈	ɗɒm1	
眉	mi4	
看	hɔɑ̯n1	~管
看	hɔɑ̯n3	~見
眙	ji4	盱~
眙	tɕʰi3	直視
眚	ɕa2	
真	tɕan1	
眠	min4	
眢	jÿn1	
眥	ti6	
眦	ti6	
眨	jɒp10	訓讀
眨	tɕɒp8	
眩	jÿn6	
眭	kʷai4	
眭	ɬui1	姓
眵	tɕʰi1	眼~屎
眶	kʷʰoːŋ1	
眷	kÿn3	
眸	mau4	
眺	tʰiu3	
眼	ȵɔɑ̯n5	
眾	tɕoŋ3	
着	tɕa6	~重|~火
着	tɕa2	衣~
睃	ɗan3	
睇	tʰai2	
睏	han3	
睚	ŋɔɑ̯i4	
睛	ɗeŋ1	
睜	tɕa1	
睞	lɔɑ̯i6	
睡	ɕɔɑ̯i6	
睢	ɬui1	水名;地名;姓
睢	wai1	
督	ɗok7	
睥	pʰai3	
睦	mok9	
睨	ŋai6	
睫	tɛa̯p10	
睬	tʰɔɑ̯i2	
睹	ɗu2	
睽	kʷai4	
睾	kɘu1	
睿	jui6	
瞀	mau6	
瞄	miu4	
瞇	mai3	
瞋	tɕʰan1	
瞌	hɒp8	
瞍	ɬau2	
瞎	ɔɑ̯t8	
瞑	meŋ4	
瞘	kʰau1	
瞞	mun1	
瞟	pʰiu2	
瞠	tɕʰa1	
瞢	moŋ4	
瞥	pʰit7	
瞧	ɗiu1	
瞪	ɗaŋ1	
瞬	ɕan3	
瞭	lᴇɐ̯u3	~望
瞭	liu5	~解
瞰	hɒm3	
瞵	lan4	
瞻	tɕim1	
瞼	kim2	
瞽	ku2	
瞿	ky6	
矇	moŋ4	
矍	kʷoːk8	
矗	tɕʰok7	
矚	tɕok7	
矛	mau4	
矛	mɒu4	又讀,市區、仁東口音無mou音節,所有mou倂入mau
矜	keŋ1	
矜	kan4	矛柄
矢	ɕi2	
矣	ji5	
知	tɕi1	
矧	ɕan2	
矩	ky2	
矬	tœ4	
短	ɗÿn2	
矮	ɔɑ̯i2	
矯	kᴇɐ̯u2	
石	ɕek9	
矸	kɔɑ̯n1	
矽	tek9	
礬	fɔɑ̯n4	
砂	ɕɔ1	
砉	wa2	
砌	tʰai3	
砍	hɒm2	
砑	ȵɔ6	
砒	pʰai1	
研	nin1	文讀:科~
研	ŋɛa̯n4	白讀:~米
研	ȵin4	
砘	tan6	
砝	fɔɑ̯t8	
砟	toːk10	塊狀物
砟	tɕɔ6	碑石
砣	tœ4	
砥	ɗai2	
砦	ɕɔɑ̯i6	
砩	fat9	~石:又作「氟石」,即螢石
砩	fi3	以石遏水;堤壩
砬	lap9	
砭	ɓin1	
砰	paŋ4	
砲	pʰɒu3	
破	pʰɵ3	
砷	ɕan1	
砸	tɔɑ̯t10	
砹	ŋɔɑ̯i6	
砼	toŋ4	
硃	tɕy1	
硅	kʷai1	
硇	nɒu4	
硌	loːk10	
硌	koːk8	
硎	eŋ4	
硐	toŋ6	
硒	ɬai1	
硓	lɘu5	
硝	ɬiu1	
硤	ɒp10	
硨	tɕʰɛ1	
硪	ŋɵ4	
硪	ŋɵ5	砐~:高大貌
硫	lau4	
硬	ŋa6	軟~
硬	ȵa6	~是:總是;~~:硬生生地,強行
硭	moːŋ4	
硯	ȵim6	
硼	paŋ4	
碇	ɗeŋ3	
碌	lok9	
碎	ɬui3	
碑	ɓi1	
碓	ɗui3	
碗	wun2	
碘	ɗim2	
碚	pui5	
碟	tɛa̯p10	
碡	tɕok9	
碣	kᴇɐ̯t10	
碣	ɔɑ̯t8	~磍:猛獸盛怒貌
碥	ɓin2	
碧	ɓek7	
碩	ɕek9	
碭	toːŋ6	
碰	pʰoŋ3	
碲	ɗai3	
碳	tʰɔɑ̯n3	
碸	foŋ1	
確	kʰoːk8	
碼	mɔ5	
碾	lin2	訓讀
磁	ti4	
磅	poːŋ6	
磉	ɬoːŋ2	
磋	tʰœ3	
磔	tɕa2	
磕	kʰat8	
磚	tɕÿn1	
磣	tɕʰam2	
磧	tʰek7	
磨	mɵ4	動詞
磨	mɵ6	名詞
磬	heŋ3	
磯	ki1	
磲	ky4	
磴	ɗaŋ3	
磷	lan4	
磺	woːŋ4	
磽	hɒu1	
礁	ɗiu1	
礅	ɗÿn1	門~:廳門兩側用於支撐門軸的方型石塊
礎	tɕʰu2	
礓	kʰa1	
礙	ŋɔɑ̯i6	
礞	moŋ4	
礤	tʰɔɑ̯t8	
礦	kʷʰoːŋ3	
礪	lai6	
礫	lek7	
礱	loŋ4	
礴	poːk10	
示	ɕi6	
礻	ɕi6	
社	ɕɛ5	
祀	ti5	
祂	tʰɔ1	
祆	jin1	
祇	ki4	
祈	ki4	
祉	tɕi2	
祐	jau6	
祓	fat7	
祕	ɓi3	
祖	ɗu2	
祗	tɕi1	
祚	tɕɔ6	
祛	kʰy1	
祜	wu5	
祝	tɕok7	
神	ɕan4	
祟	ɬui3	
祠	ti4	
祥	ta4	
祧	tʰiu1	
票	pʰiu3	
祭	ɗai3	
祺	ki4	
祿	lok9	
禁	kam3	異讀
禁	kʰam1	耐用
禁	tɕam3	
禊	ai6	
禍	wɵ5	
禎	tɕeŋ1	
福	fok7	
禚	tɕa2	
禤	jÿn1	
禦	ȵy6	
禧	hi1	
禪	ɕim4	
禮	lai5	
禰	mi5	
禰	mi4	姓
禱	ɗɘu2	
禳	ȵa4	
禹	jy5	
禺	ȵy4	
禽	tɕam4	
禽	kam4	異讀
禾	wɵ4	
秃	tʰok7	
秀	ɬau3	
私	ɬi1	
秉	ɓeŋ2	
秋	tʰau1	
科	wɵ1	
秒	miu5	
秕	ɓi2	
秘	ɓi3	
租	ɗu1	
秣	mɔɑ̯t10	
秤	tɕʰøŋ3	動詞
秤	tɕʰøŋ1	名讀
秦	tan4	
秧	ja1	
秩	tɕat9	
秩	tᴇɐ̯t10	
秫	ɕat9	
秭	ɗi2	
移	ji4	
稀	hi1	
稂	loːŋ4	
稃	fu1	
税	ɕui3	
稈	kɔɑ̯n2	
程	tɕeŋ4	
稍	ɕɒu2	
稔	ȵam5	
稗	pɔɑ̯i6	
稚	tɕi5	
稜	leŋ4	
稞	wɵ1	
稟	ɓan2	
稠	tɕau4	
種	tɕoŋ2	名詞
種	tɕoŋ3	動詞
稱	tɕʰeŋ1	
稱	tɕʰeŋ3	文讀:~呼
稱	tɕʰøŋ1	白讀,動詞
稷	ɗek7	
稹	tɕan2	
稻	tɘu6	
稼	kɔ3	
稽	kʰai1	
稿	kɘu2	
穀	kok7	
穆	mok9	
穌	ɬu1	
積	ɗek7	
穎	weŋ5	
穗	jui6	
穡	ɕek7	
穢	wai3	
穩	wan2	
穫	woːk10	
穭	ly5	
穰	ȵa4	
穴	jœa̯t10	
究	kau3	異讀
究	tɕau3	
穸	tek9	
穹	koŋ4	
空	hoŋ1	天~|~曠
空	hoŋ3	~白|~格
穿	tɕʰÿn1	
窀	tɕÿn1	
突	tat9	
窄	tɕɔ3	
窆	ɓin3	
窇	pak9	「屎~」「灰~」都指茅坑
窈	jiu2	
窒	tɕat9	
窒	tɕat7	白讀。塞入
窕	tʰiu2	
窖	kɘu3	
窗	tɕʰoːŋ1	
窘	kʷan5	
窟	kʷʰat7	
窠	wɵ1	
窣	tɕʰÿt7	
窨	jam3	
窩	wɵ1	
窪	wɔ1	
窬	jy4	
窮	koŋ4	
窯	jiu4	
窳	jy5	
窶	ky5	
窶	lau4	甌~
窸	ɬat7	
窺	kʷʰai1	
窿	loŋ1	孔,洞,窟窿
竄	tɕʰÿn3	
竅	kʰᴇɐ̯u3	屁股
竇	ɗau3	白讀。牲畜的窩:雞~、狗~
竇	tau6	情~;姓
竈	ɗɘu3	
竊	tʰip7	
立	lap9	
站	tɕɒm6	
竟	keŋ2	
章	tɕa1	
竣	ɗan3	
童	toŋ4	
竦	ɬoŋ2	
竭	kᴇɐ̯t10	
端	ɗÿn1	
競	keŋ6	
竹	tɕok7	
竺	tɕok7	
竽	jy4	
竿	kɔɑ̯n1	
笄	kai1	
笆	ɓɔ1	
笈	tɕap9	
笊	tɕɒu3	
笑	ɬiu3	
笙	ɕa1	
笛	tek9	
笠	lap9	
符	fu4	
笨	pan6	
第	tai6	
笮	tɕɒu3	
筆	ɓat7	
等	ɗaŋ2	
筋	tɕan1	
筍	ɬan2	
筏	fɔɑ̯t10	
筐	kʷʰoːŋ1	
筑	tɕok7	貴陽市簡稱;樂器
筒	toŋ4	竹~
筒	tʰoŋ2	腳~骨
答	ɗɒp8	
策	tɕʰa2	
筘	hau2	
筴	tɕʰak7	
筵	jin5	
筷	wɔɑ̯i2	
箋	ɗin1	
箍	kʰu1	
箏	tɕa1	
箔	poːk10	
箕	ki1	
算	ɬÿn3	
管	kun2	
箬	ȵa6	
箭	ɗin3	
箱	ɬa1	
箸	tɕy3	
節	ɗit7	
範	fɒm3	規~|模~|師~
篇	pʰin1	
築	tɕʰok7	
篋	kɛa̯p10	
篙	kɘu1	
篛	ȵa6	
篝	kau1	
篡	tʰÿn3	
篤	ɗok7	
篦	pi6	
篩	ɕai1	
篷	poŋ4	~被
篾	mᴇɐ̯t10	
簇	tok9	見《玉林市志》
簍	lɘu2	本字或爲「䇭」
簑	ɬœ1	
簟	tim5	
簡	kɔɑ̯n2	
簧	woːŋ4	
簫	ɬiu1	
簷	jim4	
簸	ɓɵ3	
簻	tɕɔ1	
簽	tʰim1	
簾	lim4	
簿	pu5	字~
籃	lɒm4	
籌	tɕau4	
籍	tek9	
籐	taŋ4	
籟	lɔɑ̯i6	
籠	loŋ4	
籤	tʰim1	
籬	li4	
籮	lɵ4	
籲	jy6	
米	mai5	~飯
米	mai1	長度單位,公尺
籼	ɬin1	
籽	ɗi2	
粄	ɓɔɑ̯n2	
粉	fan2	
粑	ɓɔ1	
粒	nap7	
粒	nɛa̯p7	又讀,突出「少」,以其小穪調nem13常見。
粕	pʰoːk8	
粗	tʰu1	
粘	nim1	
粞	ɬai1	
粟	ɬok7	
粢	ɗi1	
粥	tɕok7	
粱	la4	
粲	tʰɔɑ̯n3	
粳	ka1	
粤	jœa̯t10	
粹	ɬui3	
粼	lan4	
糉	ɗoŋ3	
精	ɗeŋ1	
粿	kʷɵ2	
糅	nau6	
糇	au4	
糈	ɬy2	
糊	wu4	
糌	ɗɒm1	
糍	ti4	
糕	kɘu1	
糖	toːŋ4	
糗	tɕʰau2	
糙	tʰɘu3	
糜	mi4	
糝	ɬɒm2	撒
糝	ɬam2	又讀
糞	fan3	
糟	ɗɘu1	甜~
糧	la4	
糨	ka6	
糬	tɕɵ6	
糯	nœ6	
糰	tÿn4	
糲	lai6	
糴	tek9	
糶	tʰiu3	
糸	mek9	
糹	mek9	
系	ai6	
糾	tɕau2	
紀	ki2	
紂	tɕau5	
約	ja2	
紅	oŋ4	
紆	jy1	
紇	at9	
紇	kʷat7	
紈	jÿn4	
紉	ȵan5	見《玉林話研究》
紊	man6	
紋	man4	
納	nɒp10	
紐	nau5	
紓	ɕy1	
純	ɕan4	
紕	pʰi1	
紗	ɕɔ1	
紙	tɕi2	
級	kʰap7	異讀
級	tɕap7	
紛	fan1	
紜	wan4	
素	ɬu3	
紡	foːŋ2	
索	ɬoːk8	
紫	ɗi2	
紮	tɕɔɑ̯t8	
累	lui5	積~;連累
累	lui3	勞~
累	nui3	訓讀。表示「疲乏」,與壯語 naiq 的借詞
細	ɬai3	
紱	fat7	
紲	ɬit7	
紳	ɕan1	
紹	ɕiu6	
紺	kɒm3	
紼	fat7	
紿	tɔɑ̯i5	
絀	tɕat7	
終	tɕoŋ1	
絃	jin4	
組	tɕu2	
絆	pun5	
絎	a6	
結	kit7	
絶	tœa̯t10	
絛	tʰɘu1	
絝	wu3	
絞	kɒu2	
絞	kᴇɐ̯u2	白讀
絞	kʰᴇɐ̯u2	
絡	loːk8	跘倒
絡	loːk10	屐~:木屐
絢	jÿn3	
給	tɕap7	
絨	joŋ4	
絮	ɬy3	
統	tʰoŋ2	
絲	ɬi1	
絳	kaŋ3	
絹	kÿn3	
綁	ɓaŋ2	
綃	ɬiu1	
綆	ka2	
綈	tai4	
綏	ɬui2	
綑	kʷʰan2	
經	keŋ1	
綜	ɗoŋ1	
綞	ɗœ2	
綠	lok9	
綢	tɕau4	
綣	kʰÿn2	
綦	ki4	
綬	ɕau6	
維	jui4	老派
維	wai4	新派
綮	kʰai2	
綮	heŋ3	肯~
綰	wɔɑ̯n5	
綱	koːŋ1	
網	moːŋ5	
綴	tɕui3	縫合;連接;著作;装飾
綴	tɕÿt7	拘束;牽制
綵	tʰɔɑ̯i2	
綸	lan4	垂~
綸	kʷɔɑ̯n1	~巾
綹	lau5	
綺	kʰi2	
綻	tɕin3	
綽	tɕʰoːk8	
綾	leŋ4	
綿	min4	
緄	kʷan2	
緇	ɗi1	
