#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
哀	ɔɑ̯i1	
品	pʰan2	
哂	tɕan2	
哄	hoŋ3	~騙
哄	oŋ6	~小孩
哇	wa4	
哈	hɒp8	
哈	hɔ1	擬笑聲
哉	ɗɔɑ̯i1	
哌	pʰɔɑ̯i3	
哎	ai4	
哐	kʷʰaŋ1	
哚	ɗœ2	
哞	mu4	
員	jÿn4	
哢	loŋ6	
哥	kɵ1	
哦	ɔ6	
哧	tɕʰek7	
哨	ɕɒu3	
哩	li1	
哪	nɔ6	
哭	hok7	
哮	hɒu1	
哲	tɕit7	
哳	tɕɔɑ̯t8	
哺	pu6	
哼	hŋ̍3	
哽	koːŋ2	
哿	kɵ2	
唄	pɔɑ̯i6	佛教經文中的贊偈,爲梵語 pāthaka(唄匿)音譯之略
唆	ɬœ1	
唉	ai4	
唏	hi1	
唐	toːŋ4	
唑	tœ5	
唔	m̩6	
唚	tʰam3	
唣	tɘu5	
唧	ɗek7	
唪	foŋ2	
唬	hɔ1	欺
售	ɕau4	
唯	wai4	新派
唯	jui4	老派
唰	ɕœ4	
唱	tɕʰa3	
唳	lai6	
唷	jɔ3	
唸	nim6	
唼	ɕɒp8	
唾	tʰœ3	
啁	tɕiu1	
啃	kʰaŋ2	
啄	ɗoːk8	
商	ɕa1	
啉	lam4	
啊	a1	不滿聲
啊	a3	頓悟聲;失望聲
啊	a6	憶起聲
啊	a3	詢問聲
啊	a2	用在陳述句末,稍加强肯定語氣
問	man6	
啓	hi2	見1959年字表,其標記爲文讀
啓	kʰai2	
啕	tɘu4	
啖	tɒm6	
啘	œa̯k9	同「噦」
啜	tɕÿt7	
啞	ɔɑ̯t8	
啟	hi2	見1959年字表,其標記爲文讀
啟	kʰai2	
啡	fi1	
啤	ɓɛ1	
啦	la1	
啪	pʰa2	
啵	pɔ2	
啵	pʰɔ2	
啶	teŋ6	
啷	loːŋ1	
啻	tɕʰi3	
啼	tai4	
啾	tɕʰiu1	
喀	kʰa2	
喁	ȵoŋ4	
喂	wɛ6	語氣助詞,顯然,本就應如此;表催促
喃	nɒm1	
善	ɕin6	
善	ɕin5	老讀音
喇	lɔ2	
喈	kɔɑ̯i1	
喉	au4	
喊	hɒm3	
喋	tɛa̯p10	
喏	nɛ3	
喑	am1	
喔	ak7	
喔	ŋok7	
喘	tɕʰÿn2	
喙	wai3	
喚	wun6	
喜	hi2	
喝	hɔɑ̯t8	
喟	kʷʰai3	
喧	jÿn1	
喪	ɬoːŋ1	奔~|~事
喪	ɬoːŋ3	~失
喫	hek7	
喬	kiu4	
單	ɗɔɑ̯n1	
單	ɕim4	姓;~于:古匈奴首領
喱	li1	
喲	ja6	
喳	tɕɔ1	
喵	mᴇɐ̯u1	
喹	kʷai4	
喻	jy6	
嗄	ɕɔ3	
嗅	ȵu3	動詞
嗅	tɕʰau3	名詞
嗆	tʰa3	
嗇	ɬat7	見《玉林市志》
嗉	ɬu3	
嗌	ek7	
嗍	ɕoːk8	
嗎	mɔ2	
嗑	hɒp8	
嗒	tʰɒp8	
嗓	ɬoːŋ1	
嗔	tɕʰan1	
嗖	tɕiu3	
嗚	wu1	
嗚	ɵ1	~呼:死
嗚	wu4	
嗜	ɕi6	
嗝	ka2	
嗟	tɕɛ1	
嗡	oŋ1	
嗣	ti6	
嗤	tɕʰi1	
嗥	ɘu4	
嗦	ɬɵ1	
嗨	hai3	
嗩	ɬœ2	
嗪	tan4	
嗯	ŋ̍4	應聲
嗯	ŋ̍6	應聲
嗯	ŋ̍2	沈思聲
嗯	ŋ̍1	驚愕不滿聲
嗲	ɗɛ2	詐~
嗵	tʰoŋ1	
嗶	ɓek7	
嗷	ŋɘu4	
嗽	ɬau3	
嗾	ɬau2	
嗾	ǂʷ7	喚狗聲
嘀	ɗi1	
嘁	tʰek7	
嘆	tʰɔɑ̯n3	
嘈	tɕɒu4	
嘉	kɔ1	
嘌	pʰiu1	
嘍	lau4	
嘎	kap9	擬鴨叫
嘏	kɔ2	
嘔	au2	
嘖	ǀ7	
嘗	ɕa4	
嘛	ma5	
嘜	mak7	
嘞	lɵ6	
嘟	ɗy1	
嘣	paŋ1	
嘧	mat9	
嘩	wɔ4	
嘬	ȵɔɑ̯i3	
嘭	paŋ4	
嘮	lɘu1	
嘯	ɬiu3	
嘰	ki1	
嘲	tɕɒu1	
嘴	ɗui2	
嘵	hiu1	
嘶	ɬai1	
