#漢字	音標	解釋
㨣	ŋoŋ5	拥
拓	tʰo7	
拔	pa2	
拖	tʰo1	
拘	tʂʯ2	
拙	tʂo1	
拚	pʰin1	
招	tʂau1	
拜	pai5	
攏	loŋ3	
揀	tɕiɛn3	
擁	ʐoŋ3	
攔	lan2	
撥	po7	
擇	tsæ2	
括	kua7	
括	kʰo7	
拭	tsɿ1	
拭	tʂʅ1	
拯	tʂən3	
拱	koŋ3	
拳	tʂʰʯan2	
拴	ʂʯan1	
拼	pʰin1	
拿	la2	
持	tsʰɿ2	
持	tʂʰʅ2	
挂	kua5	
挂	kʰua5	
指	tsɿ3	
指	tʂʅ3	
按	ŋan5	
挎	kʰua5	
挑	tʰiau1	
挓	tʂa1	
挖	ua7	
挾	ɕiɛ7	
挾	ɕiæ7	
擋	taŋ3	
掙	tʂən1	
擠	tɕi3	
揮	xuei1	
挨	ŋai2	
挪	la6	
挫	tsʰo5	
振	tʂən5	
挺	tʰin3	
挽	uan3	
捂	u3	
捅	foŋ3	
捆	kʰuəŋ3	
捉	tʂo2	
捍	xan6	
捎	ʂau1	
捏	ȵiɛ7	
捏	ȵiæ7	
捐	tʂʯan1	
捕	pu6	
撈	lau1	
損	sən3	
撿	tɕiɛn3	
換	xuan6	
搗	tau3	
捧	pʰoŋ3	
据	tʂʯ5	
捶	tʂʰʯei2	
捷	tɕiɛ7	
捷	tɕiæ7	
捻	liɛn3	
捻	ȵiɛn3	
掀	ɕiɛn1	
掂	tiɛn1	
掇	to2	
授	ʂəu6	
掉	tʰiau3	
掉	tiau6	
掌	tʂaŋ3	
掏	fau1	
掐	kʰa2	
排	pʰai2	
掘	tʂʯæ7	
掠	lio7	
探	tʰan5	
接	tɕiɛ7	
接	tɕiæ7	
控	kʰoŋ5	
推	tʰi1	
推	tʰei1	
掩	iɛn3	
措	tsʰo5	
掭	tʰiɛn5	
摑	kʰua7	
擲	tsɿ7	
擲	tʂʅ7	
揉	ʐʯəu2	
揍	tsəu5	
描	miau2	
提	tʰi2	
插	tʂʰa7	
揖	i7	
揣	tʂʰʯai1	
揣	tʂʰʯai3	
揩	kʰai1	
揪	tɕiəu1	
揭	tɕiɛ7	
揭	tɕiæ7	
援	ʯan2	
攬	lan3	
攙	tʂʰan1	
擱	ko7	
摟	ləu1	
摟	ləu3	
攪	tɕiau3	
搏	po2	
搓	tsʰo1	
搔	sau1	
搜	səu1	
搞	kau3	
搡	soŋ3	
搪	tʰaŋ2	
搬	pan1	
搭	ta7	
搽	tʂʰa2	
攝	ʂæ7	
摆	pai3	
摇	iau2	
攤	tʰan1	
摔	ʂʯai1	
摘	tʂæ7	
摞	lo5	
摧	tsʰei1	
摩	mo1	
摸	mo1	
撇	pʰiɛ7	
撇	pʰiæ7	
撑	tʂʰən1	
撒	sa3	
撕	sɿ1	
撞	tʂʯaŋ6	
撤	tʂʰæ7	
撩	liau2	
播	po5	
撮	tsʰo7	
撰	tʂʯan6	
攆	liɛn3	
攆	ȵiɛn3	
撼	xan6	
擀	kan3	
擂	li6	
擅	ʂan6	
操	tsʰau1	
擎	tɕʰin2	
擒	tɕʰin2	
擦	tsʰa7	
攀	pʰan1	
攢	tsan3	
支	tsɿ1	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tʂən5	
故	ku5	
效	ɕiau6	
敵	ti7	
敏	min3	
救	tɕiəu5	
敖	ŋau2	
教	tɕiau1	
教	tɕiau5	
斂	liɛn6	
敞	tʂʰaŋ3	
敢	kan3	
散	san3	
散	san5	
敦	tən1	
敬	tɕin5	
數	səu3	
數	səu5	
整	tʂən3	
敷	fu1	
文	uəŋ2	
齋	tʂai1	
斌	pin1	
斑	pan1	
斗	təu3	
斗	təu5	
料	liau6	
斜	ɕiɛ2	
斜	ɕiæ2	
斟	tʂən1	
斤	tɕin1	
斥	tsʰɿ5	
斥	tʂʰʅ7	
斧	fu3	
斬	tʂan3	
斫	tʂo7	
斷	tan6	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
於	ʯ2	
施	sɿ1	
施	ʂʅ1	
旁	pʰaŋ2	
旅	li3	
旋	ɕiɛn2	
族	tsʰəu7	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	e7	
日	ə7	
旦	tan6	
旨	tsɿ3	
旨	tʂʅ3	
早	tsau3	
旬	ɕin2	
旭	ɕiəu7	
旱	xan6	
時	sɿ2	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	ŋaŋ2	
昆	kʰuəŋ1	
昌	tʂʰaŋ1	
明	min2	
昏	xuəŋ1	
易	i6	
昔	ɕi7	
星	ɕin1	
映	in5	
春	tʂʰʯəŋ1	
昧	mi6	
昧	mei6	
昨	tso7	
昭	tʂau1	
是	sɿ6	
是	ʂʅ6	
晝	tʂəu5	
晃	xuaŋ3	
晃	xuaŋ6	
晉	tɕin5	
晏	ŋan5	
晏	iɛn5	
曬	ʂai5	
曉	ɕiau3	
暈	ʯəŋ1	
暉	xuei1	
晚	uan3	
晦	xuei3	
晨	ʂən2	
普	pʰu3	
景	tɕin3	
晰	ɕi7	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ3	
智	tʂʅ5	
晾	liaŋ5	
晾	laŋ6	
暫	tsan6	
暄	ɕiɛn1	
暑	ʂʯ3	
暗	ŋan5	
暝	min2	
暮	moŋ6	
暴	pau6	
曝	pʰu7	
曰	ʯæ7	
曲	tʂʰʯ7	
更	kən1	
更	kən5	
曹	tsʰau2	
曼	man6	
曾	tsən1	
曾	tsʰən2	
替	tʰi5	
最	tsei5	
月	ʯæ7	
有	iəu3	
朋	pʰoŋ2	
服	fu7	
朔	ʂo7	
朗	laŋ3	
望	uaŋ5	
朝	tʂau1	
朝	tʂʰau2	
期	tɕʰi1	
木	moŋ7	
未	uei6	
末	mo2	
本	pən3	
札	tʂa2	
术	ʂʯ7	
朱	tʂʯ1	
朴	pʰu2	
朶	to3	
機	tɕi1	
朽	ɕiəu3	
殺	ʂa7	
雜	tsa2	
權	tʂʰʯan2	
杆	kan1	
杆	kan3	
杈	tʂʰa5	
杉	ʂa1	
杉	ʂan1	
李	li3	
杏	ɕin6	
材	tsʰai2	
村	tsʰən1	
杖	tʂaŋ6	
杜	təu6	
杞	tɕʰi3	
束	tʂʰəu7	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ2	
杰	tɕiæ2	
杵	tʂʰʯ3	
松	soŋ1	
板	pan3	
極	tɕi7	
構	kəu5	
枇	pʰi2	
枉	uaŋ3	
析	ɕi7	
枕	tʂən3	
林	lin2	
枚	mi2	
枚	mei2	
果	ko3	
枝	tsɿ1	
枝	tʂʅ1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	foŋ1	
枯	kʰu1	
枰	pʰin2	
架	tɕia5	
枷	tɕia1	
枸	kəu3	
柄	pin3	
柏	pæ7	
某	məu3	
柑	kan1	
染	ʐʯan3	
柔	ʐʯəu2	
柚	iəu6	
櫃	kuei6	
查	tʂʰa2	
柩	tɕiəu5	
柬	tɕiɛn3	
柯	kʰo1	
柱	tʂʯ6	
柳	liəu3	
柴	tʂʰai2	
柿	sɿ6	
柿	ʂʅ6	
栅	tʂa5	
標	piau1	
棧	tʂan6	
棟	toŋ5	
欄	lan2	
樹	ʂʯ6	
栓	ʂʯan1	
栖	tɕʰi1	
栗	li7	
校	tɕiau5	
校	ɕiau6	
栩	ʂʯ3	
株	tʂʯ1	
樣	iaŋ6	
核	xæ2	
根	kən1	
格	kæ7	
栽	tsai1	
欒	lan2	
桀	tɕiɛ2	
桀	tɕiæ2	
桂	kuei5	
桃	fau2	
桅	uei2	
框	kʰuaŋ1	
案	ŋan5	
桌	tʂo2	
桐	foŋ2	
桑	saŋ1	
桓	xuan2	
椏	ia1	
檔	taŋ3	
橋	tɕʰiau2	
槳	tɕiaŋ3	
樁	tʂʯaŋ1	
桶	foŋ3	
梁	liaŋ2	
梅	mi2	
梅	mei2	
梆	paŋ1	
梓	tsɿ3	
梗	kən3	
梢	ʂau1	
夢	moŋ6	
梨	li2	
梭	so1	原书作俊,疑误
梯	tʰi1	
械	kai5	
梳	səu1	
檢	tɕiɛn3	
棉	miɛn2	
棋	tɕʰi2	
棍	kuəŋ5	
棒	paŋ6	
棚	pʰoŋ2	
棠	tʰaŋ2	
森	sən1	
棱	lin2	
棵	kʰo1	
棺	kuan1	
椅	i3	
植	tsɿ2	
植	tʂʅ2	
椎	tʂʰʯei2	
椒	tɕiau1	
橢	tʰo3	
椰	iɛ1	
椰	iæ1	
椽	tʂʰʯan2	
椿	tʂʰʯəŋ1	
楔	ɕiɛ7	
楔	ɕiæ7	
楚	tʂʰəu3	
楷	kʰai3	
樓	ləu2	
概	kʰai5	
榜	paŋ3	
榨	tʂa5	
榫	sən3	
榴	liəu2	
榻	tʰa7	
槌	tʂʰʯei2	
槐	xuai2	
檻	kʰan3	
檳	pin1	
槽	tsʰau2	
樊	fan2	
模	mo2	
模	moŋ7	
橫	xuəŋ2	
檣	tɕʰiaŋ2	
櫻	in1	
樵	tɕʰiau2	
橄	kan3	
橘	tʂʯ7	
橙	tʂʰən2	
橡	ɕiaŋ6	
檀	tʰan2	
檐	iɛn2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ŋəu1	
欲	iəu7	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ7	
歇	ɕiæ7	
歉	tɕʰiɛn5	
歌	ko1	
止	tsɿ3	
止	tʂʅ3	
正	tʂən1	
正	tʂən5	
此	tsʰɿ3	
步	pu6	
武	u3	
歪	uai1	
歹	tai3	
死	sɿ3	
殲	tɕʰiɛn1	
殃	iaŋ1	
殉	ɕin5	
殊	ʂʯ1	
殘	tsʰan2	
殖	tsɿ2	
殖	tʂʅ2	
殭	tɕiaŋ1	
毆	ŋəu1	
段	tan6	
殷	in1	
殿	tiɛn6	
毁	xuei3	
母	moŋ3	
每	mi3	
每	mei3	
毒	təu2	
比	pi3	
畢	pi7	
斃	pi6	
斃	pei6	
毛	mau2	
毡	tʂan1	
毫	xau2	
毯	tʰan3	
氏	sɿ6	
氏	ʂʅ6	
民	min2	
氓	maŋ2	
气	tɕʰi5	
氧	iaŋ3	
水	ʂʯei3	
永	ʯəŋ3	
氽	tsʰan5	
求	tɕʰiəu2	
汆	tsʰan1	
漢	xan5	
汊	tʂʰa5	
汗	xan6	
汛	ɕin5	
汞	koŋ3	
江	tɕiaŋ1	
池	tsʰɿ2	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汴	piɛn6	
洶	ɕioŋ1	
汽	tɕʰi5	
汾	fən2	
沁	tɕʰin5	
沃	ŋo7	
沈	ʂən3	
沉	tʂʰən2	
沔	miɛn3	
沙	ʂa1	
溝	kəu1	
没	moŋ7	
淪	lən2	
滄	tsʰaŋ1	
滬	xu6	
河	xo2	
油	iəu2	
治	tʂʅ5	
治	tsɿ6	
沼	tʂau3	
沽	ku1	
沾	tʂan1	
沿	iɛn2	
泄	ɕiɛ5	
泄	ɕiæ5	
泅	tɕʰiəu2	
泉	tɕʰiɛn2	
泊	pʰæ7	
法	fa2	
泛	fan5	
濘	lin2	
泡	pʰau1	
泡	pʰau5	
波	po1	
泥	li2	
注	tʂʯ5	
淚	li6	
泰	tʰai5	
泱	iaŋ1	
泳	ʯəŋ5	
泵	paŋ5	
瀉	ɕiɛ5	
瀉	ɕiæ5	
潑	pʰo7	
澤	tsæ7	
潔	tɕiɛ7	
潔	tɕiæ7	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	lo7	
洞	toŋ6	
津	tɕin1	
洪	xoŋ2	
洲	tʂəu1	
活	xo7	
洼	ua5	
洽	tɕʰia7	
派	pʰai5	
流	liəu2	
淺	tɕʰiɛn3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tʂo2	
測	tsʰæ7	
濟	tɕi5	
瀏	liəu2	
渾	xuəŋ1	
滸	xu3	
濃	loŋ2	
浙	tʂæ7	
浜	paŋ1	
浦	pʰu3	
浩	xau6	
浪	laŋ6	
浮	pʰu2	
浮	fəu2	
浴	ʯ7	
浴	iəu7	
海	xai3	
浸	tɕin5	
涂	tʰəu2	
消	ɕiau1	
涉	ʂæ7	
涌	ʐoŋ3	
涎	ɕiɛn2	
涓	tʂʯan1	
涕	tʰi5	
濤	fau1	
澇	lau2	
渦	o1	
渙	xuan5	
潤	ʐʯəŋ6	
澗	tɕiɛn3	
漲	tʂaŋ3	
漲	tʂaŋ5	
澀	sæ7	
涮	ʂʯan5	
涯	ia1	
液	i7	
涵	xan2	
淀	tiɛn6	
淀	tin6	
淆	ɕiau2	
淋	lin2	
淌	tʰaŋ3	
淑	ʂəu7	
淘	fau2	
淙	tsʰoŋ2	
淡	tan6	
淤	ʯ1	
淫	in2	
淮	xuai2	
深	ʂən1	
淳	tʂʰʯəŋ2	
混	xuəŋ5	
淹	ŋan1	
淹	iɛn1	
添	tʰiɛn1	
清	tɕʰin1	
淵	ʯan1	
漬	tsɿ7	
瀆	təu7	
漸	tɕiɛn6	
漁	ʯ2	
滲	ʂən1	
渝	ʯ2	
渠	tʂʰʯ2	
渡	təu6	
渣	tʂa1	
溫	uəŋ1	
渭	uei6	
港	kaŋ3	
渴	kʰo7	
游	iəu2	
渺	miau3	
湃	pai5	
湖	xu2	
湘	ɕiaŋ1	
灣	uan1	
溼	sɿ7	
溼	ʂʅ7	
潰	kʰuei6	
濺	tʂan5	
溉	kʰai5	
源	ʯan2	
溜	liəu1	
溢	i7	
溪	tɕʰi1	
溶	ʐoŋ2	
溺	li6	
滇	tiɛn1	
滋	tsɿ1	
滑	fa2	
滑	xua2	
滓	tsɿ3	
滔	fau1	
滚	kuəŋ3	
滯	ɕi1	
滯	tsʰɿ3	
滯	tʂʰʅ5	
灄	ʂæ7	
滿	man3	
濾	li6	
濫	lan6	
濱	pin1	
灘	tʰan1	
滴	ti7	
漂	pʰiau1	
漂	pʰiau3	
漂	pʰiau5	
漆	tɕʰi7	
漏	ləu6	
演	iɛn3	
漠	mo7	
漫	man6	
漱	səu5	
漾	iaŋ6	
瀟	ɕiau1	
潘	pʰan1	
潛	tɕʰiɛn2	
潢	xuaŋ2	
潦	liau2	
潭	tʰan2	
潮	tʂʰau2	
潲	ʂau5	
潺	tʂʰan2	
澄	tʂʰən2	
澈	tʂʰæ7	
澎	pʰən2	
瀾	lan2	
澡	tsau3	
澳	ŋau5	
瀑	pʰu2	
灌	kuan5	
火	xo3	
滅	miɛ7	
滅	miæ7	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsau5	
灼	ʂo7	
災	tsai1	
燦	ɕiɛn1	
燦	tsʰan5	
爐	ləu2	
炊	tʂʰʯei1	
炎	iɛn2	
炒	tʂʰau3	
炕	kʰaŋ5	
燉	tən6	
炬	tʂʯ6	
炭	tʰan5	
炮	pʰau5	
炯	tʂʯəŋ3	
炳	pin3	
炸	tʂa2	
炸	tʂa5	
點	tiɛn3	
煉	liɛn6	
爍	ʂo7	
爛	lan6	
烈	liɛ7	
烈	liæ7	
烘	xoŋ1	
烙	lo7	
燭	tʂəu7	
烟	iɛn1	
燒	ʂau1	
燙	tʰaŋ5	
燼	tɕin5	
熱	ʐʯæ7	
烹	pʰən1	
烽	foŋ1	
焉	iɛn1	
焊	xan6	
煥	xuan5	
燜	mən1	
燜	mən5	
焙	pi6	
焙	pei6	
焚	fən2	
焦	tɕiau1	
焰	iɛn6	
然	ʐʯan2	
煎	tɕiɛn1	
煞	ʂa7	
煤	mei2	
照	tʂau5	
煨	uei1	
煮	tʂʯ3	
煲	pau3	
煽	ʂan5	
熄	ɕi7	
熊	ɕioŋ2	
熏	ʂʯəŋ1	
熔	ʐoŋ2	
熟	ʂəu2	
熨	ʯəŋ5	
熬	ŋau2	
燃	ʐʯan2	
燎	liau2	
燕	iɛn5	
燥	tsau5	
燥	tʂʰau5	
爆	pau5	
爪	tʂʯa3	
爬	pʰa2	
愛	ŋai5	
爵	tɕio2	
父	fu6	
爺	iɛ2	
爺	iæ2	
爸	pa7	
爹	tiɛ1	
爹	tiæ1	
爽	ʂʯaŋ3	
片	pʰiɛn5	
版	pan3	
牌	pʰai2	
牙	ia2	
牛	liəu2	
牛	ȵiəu2	
牛	ȵioŋ2	
牝	pʰin3	
牧	moŋ7	
物	u2	
牯	ku3	
牲	ʂən1	
牽	tɕʰiɛn1	
特	tʰæ2	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	təu7	
犟	tɕiaŋ5	
犬	tʂʰʯan3	
犯	fan6	
狀	tʂʯaŋ6	
獷	kuaŋ3	
猶	iəu2	
狂	kʰuaŋ2	
狐	xu2	
狗	kəu3	
獰	lin2	
狠	xən3	
狡	tɕiau3	
狹	ɕia2	
獅	sɿ1	
獅	ʂʅ1	
獄	iəu7	
狼	laŋ2	
獵	liɛ7	
獵	liæ7	
猖	tʂʰaŋ1	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu7	
猥	uei3	
猩	ɕin1	
豬	tʂʯ1	
猫	mau1	
獻	ɕiɛn5	
猴	xəu2	
猾	fa2	
猾	xua2	
猿	ʯan2	
獃	ŋai2	呆
獗	tʂʯæ7	
玄	ʂʯan2	
率	ʂʯai5	
率	li6	
玉	ʯ5	
王	uaŋ2	
瑪	ma3	
玩	uan2	
玫	mei2	
環	xuan2	
現	ɕiɛn6	
玲	lin2	
玷	tiɛn6	
玻	po1	
珍	tʂən1	
珠	tʂʯ1	
班	pan1	
球	tɕʰiəu2	
理	li3	
瑣	so3	
琢	tso7	
琴	tɕʰin2	
琵	pʰi2	
瓊	tʂʰʯəŋ2	
瑕	ɕia2	
瑞	ʂʯei6	
瑟	sæ7	
瑰	kuei5	
瑶	iau2	
璜	xuaŋ2	
璧	pi7	
瓜	kua1	
瓢	pʰiau2	
瓣	pan6	
瓤	ʐʯaŋ2	
瓦	ua3	
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kan1	
甚	ʂən6	
甜	tʰiɛn2	
生	ʂən1	
甥	ʂən1	
用	ioŋ5	
甩	ʂʯai3	
甫	pʰu3	
田	tʰiɛn2	
由	iəu2	
甲	ka7	
甲	tɕia7	
申	ʂən1	
電	tiɛn6	
男	lan2	
畫	fa6	
畫	xua6	
暢	tʂʰaŋ5	
界	kai5	
畏	uei5	
留	liəu2	
畜	tʂʰəu7	
畜	ɕiəu7	
略	lio7	
番	fan1	
疇	tʂʰəu2	
疆	tɕiaŋ1	
疏	səu1	
疑	ȵi2	
疔	tin1	
療	liau2	
疙	kæ2	
疚	tɕiəu5	
瘧	lio7	
瘧	ȵio7	
瘍	iaŋ2	
疤	pa1	
疥	kai5	
瘡	tʂʰaŋ1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疸	tan3	
疹	tʂən3	
疼	tʰən2	
疽	tʂʯ1	
疾	tɕi2	
病	pin6	
症	tʂən5	
癰	ʐoŋ1	
痙	tɕin5	
痒	iaŋ3	
痔	tʂʅ5	
痔	tsɿ6	
痕	xən2	
痘	təu6	
痛	foŋ5	
痞	pʰi3	
痢	li6	
痣	tsɿ3	
痣	tʂʅ5	
痧	ʂa1	
癆	lau2	
痰	tʰan2	
癡	tsʰɿ1	
癡	tʂʰʅ1	
痹	pʰi2	
痿	uei3	
瘁	tsʰei5	
瘊	xəu2	
瘟	uəŋ1	
瘢	pan1	
瘤	liəu2	
瘦	ʂəu5	
癟	piɛ3	
癟	piæ3	
癱	tʰan1	
瘸	tʂʯɛ7	
瘸	tʂʰʯæ7	
癮	in3	
癍	pan1	
癩	lai6	
癲	tiɛn1	
登	tən1	
白	piæ2	
百	pæ7	
百	piæ7	
皂	tsau6	
的	ti2	
皆	kai1	
皇	xuaŋ2	
皓	xau6	
皮	pʰi2	
皺	tʂəu5	
皸	tʂʯəŋ1	
皴	tsʰən1	
皿	min3	
盂	ʯ2	
盆	pʰən2	
盈	in2	
益	i7	
盎	ŋaŋ5	
盞	tʂan3	
鹽	iɛn2	
監	tɕiɛn1	
監	tɕiɛn5	
盒	xo2	
盔	kʰuei1	
盖	kai5	
盜	tau6	
盤	pʰan2	
盛	tʂʰən2	
盛	ʂən6	
盟	min2	
盟	moŋ2	
目	moŋ7	
盯	tin1	
盲	maŋ2	
直	tsɿ2	
直	tʂʅ2	
相	ɕiaŋ1	
相	ɕiaŋ5	
盼	pʰan5	
盾	tən6	
省	ʂən3	
省	ɕin3	
眉	mi2	
眉	mei2	
看	kʰan1	
看	kʰan5	
瞘	kʰəu1	
真	tʂən1	
眠	miɛn2	
眦	tsɿ1	
眨	tʂa7	
眯	mi1	
眶	kʰuaŋ1	
眷	tʂʯan5	
眺	tʰiau5	
眼	ŋan3	
眼	iɛn3	
着	tʂo7	
睜	tʂən1	
睛	tɕin1	
睡	ʂʯei6	
督	təu7	
睦	moŋ7	
睫	tɕiɛ7	
睫	tɕiæ7	
睬	tsʰai3	
睹	təu3	
瞄	miau1	
瞄	miau2	
瞅	tɕʰiəu1	
瞎	ɕia7	
瞞	man2	
瞠	tʰaŋ3	
瞥	pʰiɛ7	
瞥	pʰiæ7	
瞧	tɕʰiau2	
瞩	tʂəu7	
瞪	tən1	
瞬	ʂʯəŋ5	
瞭	liau2	
瞰	kʰan5	
瞳	foŋ2	
瞻	tʂan1	
瞿	tʂʰʯ2	
矛	mau2	
矢	sɿ3	
矢	ʂʅ3	
知	tsɿ1	
知	tʂʅ1	
矩	tʂʯ3	
矯	tɕiau3	
短	tan3	
矮	ŋai3	
石	sɿ2	
石	ʂʅ2	
石	tan5	
礬	fan2	
礦	kʰuaŋ5	
碼	ma3	
砂	ʂa1	
砌	tɕʰi5	
砍	kʰan3	
砒	pʰi1	
研	ȵiɛn1	
磚	tʂʯan1	
硯	ȵiɛn6	
砣	tʰo2	
砥	ti3	
砰	pʰoŋ1	
破	pʰo5	
砸	tsa2	
礎	tʂʰəu3	
碩	ʂo2	
硪	ŋo2	
硬	ŋən6	
確	tɕʰio7	
碉	tiau1	
碌	ləu7	
礙	ŋai6	
碎	sei5	
碑	pei1	
碗	uan3	
碟	tiɛ7	
碟	tiæ7	
碧	pi7	
碰	pʰoŋ5	
鹼	tɕiɛn3	
碾	liɛn3	
碾	ȵiɛn3	
磁	tsʰɿ2	
磅	paŋ5	
磋	tsʰo1	
磐	pʰan2	
磕	kʰo7	
磙	kuəŋ3	
磨	mo2	
磨	mo5	
磬	tɕʰin5	
磷	lin2	
磺	xuaŋ2	
礁	tɕiau1	
示	sɿ6	
示	ʂʅ6	
禮	li3	
社	sɛ6	
社	ʂɛ6	
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsəu3	
祝	tʂəu2	
神	ʂən2	
祟	sei5	
祠	tsʰɿ2	
祥	tɕʰiaŋ2	
票	pʰiau5	
祭	tɕi5	
禱	tau3	
禍	xo6	
稟	pin3	
禁	tɕin5	
祿	ləu7	
禪	ʂan2	
福	fu2	
离	li2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
秀	iəu5	
私	sɿ1	
秃	tʰəu7	
稈	kan3	
秉	pin3	
秋	tɕʰiəu1	
種	tʂoŋ3	
種	tʂoŋ5	
科	kʰo1	
秒	miau3	
秘	mi7	
租	tsəu1	
秤	tʂʰən5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tsʰɿ5	
秩	tʂʰʅ7	
積	tɕi2	
稱	tʂʰən1	
稱	tʂʰən5	
移	i2	
稀	ɕi1	
程	tʂʰən2	
稍	ʂau1	
税	ʂʯei5	
稗	pai6	
稚	tsʰɿ3	
稚	tʂʰʅ5	
稠	tʂʰəu2	
穩	uəŋ3	
稻	tau6	
稽	tɕi1	
稿	kau3	
穆	moŋ2	
穗	ɕi6	
穗	sei6	
穴	ɕiɛ7	
穴	ɕiæ7	
穴	ʂʯɛ7	
究	tɕiəu5	
窮	tɕʰioŋ2	
穹	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tʂʰʯan1	
突	tʰəu7	
竊	tɕʰiɛ7	
竊	tɕʰiæ7	
窄	tʂæ7	
竅	tɕʰiau5	
窯	iau2	
窒	tsɿ3	
窒	tʂʅ5	
窗	tʂʰʯaŋ1	
窘	tʂʯəŋ3	
竄	tsʰan5	
窩	o1	
窟	kʰu7	
窠	kʰo1	
窺	kʰuei1	
竇	təu6	
窿	loŋ2	
立	li7	
豎	ʂʯ6	
站	tʂan5	
競	tɕin5	
竟	tɕin5	
章	tʂaŋ1	
竣	tɕin5	
童	foŋ2	
竦	soŋ3	
竭	tɕiɛ7	
竭	tɕiæ7	
端	tan1	
竹	tʂəu7	
竿	kan1	
笆	pa1	
笋	sən3	
笑	ɕiau5	
筆	pi7	
笙	ʂən1	
笛	ti2	
笠	li7	
符	fu2	
笨	pən6	
第	ti6	
箋	tɕʰiɛn1	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tʂəu7	
筒	foŋ2	
答	ta2	
策	tsʰæ7	
篩	ʂai1	
箏	tʂən1	
筷	kʰuai5	
籌	tʂʰəu2	
签	tɕʰiɛn1	
簡	tɕiɛn3	
箍	kʰu1	
箕	tɕi1	
算	san5	
管	kuan3	
籮	lo2	
簫	ɕiau1	
箭	tɕiɛn5	
箱	ɕiaŋ1	
篇	pʰiɛn5	
簍	ləu3	
篙	kau1	
篡	tsʰan5	
篦	pei6	
籃	lan2	
籬	li2	
篷	pʰoŋ2	
簇	tsʰəu7	
簧	xuaŋ2	
簪	tsan1	
簸	po3	
簸	po5	
簿	pu6	
籍	tɕi7	
米	mi3	
糴	ti2	
類	li6	
類	lei6	
籽	tsɿ3	
粉	fən3	
粒	li7	
粕	pʰæ7	
粗	tsʰəu1	
粘	tʂan1	
粘	liɛn2	
粘	ȵiɛn2	
粟	səu7	
粤	ʯæ7	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粳	kən3	
粹	tsʰei5	
糉	tsoŋ5	
精	tɕin1	
糊	xu2	
糊	xu6	
糍	tsʰɿ2	
糕	kau1	
糖	tʰaŋ2	
糙	tsʰau5	
糟	tsau1	
糠	kʰaŋ1	
糯	lo6	
系	tɕi6	
系	ɕi6	
紊	uəŋ3	
素	səu5	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	li6	
累	lei6	
絮	ɕi5	
繁	fan2	
糾	tɕiəu1	
紅	xoŋ2	
紂	tʂəu6	
纤	tɕʰiɛn1	
纤	tɕʰiɛn5	
約	io7	
級	tɕi7	
紀	tɕi3	
紀	tɕi5	
紉	ʐʯəŋ3	
緯	uei3	
純	tʂʰʯəŋ2	
紗	ʂa1	
綱	kaŋ1	
納	la7	
縱	tsoŋ5	
紛	fən1	
紙	tsɿ3	
紙	tʂʅ3	
紋	uəŋ2	
紡	faŋ3	
紐	liəu3	
紐	ȵiəu3	
線	ɕiɛn5	
練	liɛn6	
組	tsəu3	
細	ɕi5	
織	tsɿ7	
織	tʂʅ7	
終	tʂoŋ1	
縐	tʂəu5	
絆	pʰan5	
紹	ʂau6	
經	tɕin1	
綁	paŋ3	
絨	ʐoŋ2	
結	tɕiɛ7	
結	tɕiæ7	
繞	ʐʯau3	
繞	ʐʯau6	
繪	xuei6	
給	kɛ3	
絡	lo7	
絶	tɕiɛ2	
絶	tɕiæ2	
絞	tɕiau3	
統	foŋ3	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi7	
緒	ɕi6	
綾	lin2	
續	ʂəu7	
繩	ʂən2	
維	uei2	
綿	miɛn2	
繃	poŋ1	
綢	tʂʰəu2	
綹	liəu5	
綜	tsoŋ1	
