#漢字	音標	解釋
一	jaʔ8	jak⁵
行	hɛŋ	hɛŋ²¹
街	kai	kai²³
衣	ji	ji²³
表	piu	piu³⁵
衫	ʃaŋ	ʃaŋ²³
袋	tɵ	tui⁴⁴³
袖	tʃau	tʃau⁴⁴³
袜	meʔ7	mɛk³
被	pʰɐi1	pʰɐi³⁴
裝	tʃɔŋ	tʃɔŋ²³
裕	jy1	ji³⁴
裙	kʰwɐn	kʰwɐn²¹
褲	fu	fu³⁴
褥	jok7	jok³
西	ʃoe	ʃɔe²³
要	jiu	jiu⁴⁴³
見	kin	kin³⁴
規	kʰwoe	kʰɔe²³
角	ko	kɔ³⁴
解	kai	kai³⁵
言	jin	jin²¹
認	jɐn	jɐn⁴⁴³
討	tʰɐu	tʰɐu³⁵
讓	jøŋ	jøŋ⁴⁴³
記	kɐi	kɐi⁴⁴³
講	kɔŋ	kɔŋ³⁵
許	hɵ	hui³⁵
設	ʃit7	ʃit³
证	tʃəŋ	tʃəŋ⁴⁴³
試	ʃi	ʃi³⁴
話	wa	wa⁴⁴³
該	kʰwi	kʰwɐi²³|kui²³|kʰui²³
讀	tok7	tok³
課	fo	fɔ³⁴
謝	tʃɵ	tʃe⁴⁴³
譜	pʰɐu	pʰɐu³⁵
谷	kok8	kok⁵
豆	tau	tau⁴⁴³
貝	pɵ	pui³⁴
貞	tʃəŋ	tʃəŋ²³
財	tʃʰɵ	tʃʰui²¹
敗	pai	pai⁴⁴³
貨	fo	fɔ³⁴
貪	tʰaŋ	tʰaŋ²³
貧	pʰɐn	pʰun²¹
貼	tʰit7	tʰit³
貴	kwoe	kwɔe³⁴
費	foe	fɔe³⁴
賊	tʃʰaʔ7	tʃʰak³
資	tʃɐi	tʃɐi²³
賭	tɐu	tɐu³⁵
贖	ʃok7	ʃok³
賠	pʰɵ	pʰui²¹
賺	tʃɛŋ	tʃɛŋ⁴⁴³
贏	jøŋ	jøŋ²¹
走	tʃau	tʃau³⁵
越	jut7	jut³
足	tʃok8	tʃok⁵
跌	tit7	tit³
跪	kwoe	kwɔe⁴⁴³
路	lɐu	ŋɐu⁴⁴³
踏	taʔ7	tak³
踢	tʰø	tʰe³⁴
蹲	tun	tʃun²³
身	ʃɐn	ʃɐn²³
躲	to	to³⁵
車	tʃʰø	tʃʰe²³
轉	tʃun	tʃun³⁵
輪	ŋɐn	ŋɐn²¹
軟	jun1	jun³⁴
輕	høŋ	høŋ²³|həŋ²³
轎	kiu	kiu⁵⁵⁴
輸	ʃy	ʃi²³
辣	leʔ7	ŋɛk³
辰	ʃɐn	ʃɐn²¹
達	teʔ7	tɛk³
過	kwo	kwɔ³⁴
迎	jəŋ	jəŋ²¹
運	wɐn	wɐn⁴⁴³
近	kʰɐn	kʰɐn³⁴|kɐn⁴⁴³
還	wɛŋ	wɛŋ²¹
進	tʃɐn	tʃɐn⁴⁴³
遠	jun1	jun³⁴
連	lin	lin²¹
遲	tʃʰi	tʃʰi²¹
追	tʃɵ	tʃui²³
送	ʃoŋ	ʃoŋ⁴⁴³
選	ʃun	ʃun³⁵
遞	toe	tɔe⁴⁴³
通	tʰoŋ	tʰoŋ²³
造	tʃʰɐu	tʃʰɐu³⁴
逼	pək8	pək⁵
遇	jy1	ji³⁴
道	tɐu	tɐu⁴⁴³
鄰	lɐn	ŋɐn²¹
郭	kwo	kwɔ³⁴
配	pʰɵ	pʰui⁴⁴³
酒	tʃau	tʃau³⁵
酸	ʃun	ʃun²³
醉	tʃɵ	tʃui³⁴
重	tʃʰoŋ	tʃʰoŋ³⁴|tʃoŋ⁴⁴³
野	jø	je³⁴
金	kɐm	kɐm²³
針	tʃɐm	tʃɐm²³
釘	tøŋ	tøŋ⁵⁵⁴
釣	tiu	tiu⁴⁴³
鋼	kɔŋ	kɔŋ⁴⁴³
鉤	ŋau	ŋau²³
錢	tʃʰin	tʃʰin²¹
鉗	kʰin	kʰin²¹
鐵	tʰit7	tʰit³
鉛	jun	jun²¹
銅	tʰoŋ	tʰoŋ²¹
鏟	tʃʰɛŋ	tʃʰɛŋ³⁵
銀	ŋɐn	ŋɐn²¹
鋪	pʰɐu	pʰɐu²³
鎖	ʃo	ʃo³⁵
鋤	tʃʰo	tʃʰo²¹
錯	tʃʰo	tʃʰo³⁴
錫	ʃø	ʃɛk³
鑼	ŋo	ŋo²¹
錘	tʃʰɵ	tʃʰui²¹
鋸	kɵ	kui³⁴
鎮	tʃɐn	tʃɐn⁴⁴³
鏡	køŋ	køŋ³⁴
鐲	tʃʰɔʔ7	tʃut⁵
長	tʃʰøŋ	tʃʰøŋ²¹
門	mun	mun²¹
閂	ʃɛŋ	ʃɛŋ²³
問	mɐn	mɐn⁴⁴³
閏	jɐn	jɐn⁴⁴³
間	kɛŋ	kɛŋ²³
閘	tʃaʔ7	tʃak³
鬧	nau	nau⁴⁴³
闊	fut7	fut³
防	fɔŋ	fɔŋ²¹
陳	tʃʰɐn	tʃʰɐn²¹
降	hɔŋ	hɔŋ²¹
限	hɛŋ	hɛŋ⁴⁴³
院	jun	jun³⁵
除	tʃʰy	tʃʰui²¹
險	hin	hin³⁵
隨	tʃʰɵ	tʃʰui²¹
隱	jɐn	jɐn³⁵
隔	ke	ke³⁴
難	nɛŋ	nɛŋ²¹
雀	tʃʰø	tʃʰe³⁴
雄	hoŋ	hoŋ²¹
集	tʃap7	tʃɔk³
雨	jy1	ji³⁴
雪	ʃut7	ʃut³
零	ləŋ	ŋəŋ²¹
雷	lɵ	ŋui²¹
霧	mɐu	mɐu⁴⁴³
震	tʃɐn	tʃɐn⁴⁴³
霍	kʰo	kʰɔk³
霜	ʃɔŋ	ʃɔŋ²³
青	tʃʰøŋ	tʃʰøŋ²³|tʃʰəŋ²³
靜	tʃəŋ	tʃəŋ⁴⁴³
靠	kʰau	kʰau³⁴
面	min	min⁴⁴³
靴	hø	he²³
鞋	hai	hai²¹
音	jɐm	jɐm²³
頂	tøŋ	tøŋ³⁵|təŋ³⁵
項	hɔŋ	hɔŋ⁴⁴³
順	ʃɐn	ʃɐn⁴⁴³
頑	ŋɛŋ	ŋɛŋ²¹
領	løŋ	ŋøŋ³⁴|ŋəŋ³⁴
顏	ŋɛŋ	ŋɛŋ²¹
額	ŋeʔ7	ŋɛk³
風	foŋ	foŋ²³
飛	fɐi	fɐi²³
食	ʃək7	ʃək³
饥	kɐi	kɐi²³
飯	fɛŋ	fɛŋ⁴⁴³
飽	pau	pau³⁵
餅	pøŋ	pøŋ³⁵
餓	ŋo	ŋo⁴⁴³
馬	ma1	ma³⁴
駡	ma	ma⁴⁴³
驗	jin	jin⁴⁴³
騎	kʰe	kʰe²¹|kʰɐi²¹
騙	pʰin	pʰin³⁴
骨	kwaʔ8	kwak⁵
高	kɐu	kɐu²³
鬼	kwoe	kwɔe³⁵
魂	wɐn	wɐn²¹
魚	jy	ji²¹
鮮	ʃin	ʃin²³
鳥	tiu	tiu³⁵|niu³⁴
雞	koe	kɔe²³
鴨	ŋa	ŋa³⁴
鴿	ka	ka⁴⁴³
鵝	ŋo	ŋo²¹
鶴	hɔʔ7	hɔ³⁴
鹿	lok7	ŋok³
麥	meʔ7	mɛk³
黃	wɔŋ	wɔŋ²¹
黏	nin	nin²¹
黑	haʔ8	hak⁵
鼠	ʃy	ʃi³⁵
鼻	pɐi	pɐi⁴⁴³
龍	loŋ	ŋoŋ²¹
龜	kwoe	kwɔe²³
