#漢字	音標	解釋
㜷	mɛi1	妈妈
拖	tʰou1	
拗	ɐø5	
拘	tɕy1	
招	tsau1	
拜	pai5	
擬	ȵi3	
攏	loŋ3	
揀	tɕiɛ3	
擁	ioŋ1	
攔	lɔ2	
擰	ȵin3	
撥	pɔ5	
擇	tsʰɛ5	
括	kua5	
拯	tɕin3	
拱	koŋ3	
拳	tɕʰyɛ2	
拷	kʰau3	
拼	pʰɛn1	
拿	na1	
持	tsʰɿ5	
挂	kua5	～纸
指	tsɿ3	
按	ŋan5	
挑	tʰiau1	
挖	ua1	～机
撾	ɔ1	官话音
撻	tʰa5	
擋	taŋ3	
擠	tɕi3	
揮	xuɛi1	
挨	ŋai1	
挪	nɔ5	官话音
振	tɕin2	
挺	tʰɛn3	
挽	uan3	官话音
捂	u3	
捅	tʰoŋ3	
捆	kʰuɛn3	
捉	tsou3	
捌	pa3	
捍	xan2	官话音
捏	niɛ1	官话音
捐	tɕyɛ1	
捕	pu3	
撈	lau1	
損	ɕyn3	
撿	tɕiɛ3	
換	xua5	
搗	tau3	
捧	pʰoŋ3	
据	tɕy2	官话音
捶	tɕʰy2	
捷	tɕiɛ5	官话音
捻	ȵiɛ3	
掀	ɕiɛ1	
授	ɕiou5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰau1	
掐	kʰa1	
排	pa2	
掖	iɛ5	
探	tʰa1	～闲事（贬义）
接	tɕiɛ3	
控	kʰoŋ5	
推	tʰuɛi1	
掩	iɛn3	官话音
措	tsʰou5	
摻	tsʰan1	官话音
揉	iou2	
描	miau5	官话音
提	tia1	
提	ti2	
插	tsʰa3	
握	ŋɔ5	
揢	kʰa1	～喉咙（掐喉咙）
揩	kʰai1	擦拭
揪	tɕiou1	
援	yɛ2	
攬	lɔ3	
攬	lan3	
擱	kɛ1	官话音
摟	lɐø3	
攪	tɕiau3	
搏	pɔ5	
搓	tsʰou1	
搜	sɐø1	
搞	kau3	
搬	pɔ1	
携	ɕiɛ5	
攝	ɕiɛ5	
摆	pa3	
摇	iau2	
攤	tʰan1	～子
摔	suai1	
摘	sɵø3	
摩	mɔ1	
摸	mɔ1	
撇	pʰiɛ3	
撑	tɕʰin1	
撒	sa3	官话音
撕	sɿ1	
撞	tsʰaŋ5	
撤	tsʰa5	
撩	liau1	
撬	tɕʰiau5	
播	pɔ1	
撰	tɕyɛ5	
攆	niɛ3	
擼	lu1	
操	tsʰau1	
擎	tɕʰin5	
擒	kʰɛn2	
擻	sɐø3	
擤	sɛn3	～鼻
擦	tsʰa3	
支	tsɿ1	
收	ɕiou1	
攸	iou1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tɕin2	
故	ku5	
效	ɕiau5	官音土调
敵	ti5	
敏	mɛn3	
救	tɕiou5	
教	kau5	
斂	liɛ3	
敝	pi5	
敞	tsʰaŋ3	
敢	kan3	文
敢	kɔ3	白
散	san3	
散	san2	
敦	tuɛn1	
敬	kɛn5	
數	sɵø3	
數	su3	
敲	kʰau1	
整	tɕin3	
文	uɛn2	
斋	tsai1	
斌	pɛn1	
斐	fɛi3	
斑	pɔ1	
斗	tɐø5	
料	liau5	
斜	ɕiɛ2	
斟	tsɛn1	官话音
斢	tʰiau3	调换
斤	kɛn1	
斧	pʰu3	
斬	tsan3	
斷	tɔ5	白
斷	tuan5	文
斯	sɿ1	
新	sɛn1	
方	faŋ1	
於	y3	少～（不经常）
施	sɿ1	
旁	paŋ2	
旁	pʰaŋ5	官话音
旅	ly3	
旋	ɕyɛ2	
旌	tɕin1	官话音
族	tsʰu5	
旗	tɕʰi2	
无	u5	官话音
日	ȵiɛ5	
旦	tan2	官话音
舊	tɕʰiou5	
旨	tsɿ3	
早	tsau3	
旬	ɕyn5	
旭	ɕy2	
旱	xan2	官话音
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
旻	mɛn2	
昀	yn2	
昂	ŋaŋ5	
昆	kʰuɛn1	
昊	xau5	
昌	tsʰaŋ1	
明	mɛn2	
昏	xuɛn1	
易	i5	
昔	ɕi1	
昕	ɕin1	
星	sɛn1	
映	ɛn5	
春	tɕʰyn1	
昧	mɛi2	官话音
昨	tsʰoŋ5	
昭	tsau1	官话音
是	sɿ2	官话音
昱	y2	
昵	ȵi2	
昶	tsʰaŋ3	
晝	ty5	白，下～（下午）
晝	tsou2	文，白～
顯	ɕiɛ3	白
顯	ɕiɛn3	官话音
晁	tsʰau5	
晃	xuaŋ3	
晉	tɕin2	官话音
曬	sa5	
曉	ɕiau3	
暈	yn5	
晚	man3	白
晚	uan3	文
晡	pu1	今日～夜（今晚）
晨	tɕʰin2	
普	pʰu3	
景	kɛn3	
晰	ɕi1	
晴	tsʰɛn2	
晶	tɕin1	文
智	tsɿ5	
晾	liaŋ2	
暫	tsʰan2	官话音
暑	ɕy3	
暖	nyɛ1	～和
暖	nɔ3	～气
暗	ŋan5	官音土调
暨	tɕi5	
暴	pau5	
曦	ɕi1	
曰	yɛ1	
更	kɛn5	
更	kɛn1	
曹	tsʰau2	姓～
曼	man2	官话音
曾	tɕin1	
曾	tsɛn1	姓
替	tʰi5	
最	tsuɛi5	
月	ȵyɛ5	
有	iou1	白，～钱
有	iou3	文，拥～
朋	poŋ2	
服	fu5	
朕	tsʰɛn2	官话音
朗	laŋ3	
望	mɵø5	
望	uaŋ2	官话音
朝	tsau1	
朝	tsʰau2	
期	tɕʰi5	
朦	moŋ1	
木	mu5	
未	uɛi2	官话音
末	mɔ5	
本	poŋ3	
术	su5	官话音
朱	tɕy1	
朴	pʰu3	
機	tɕi1	
朽	ɕiou3	
殺	sa5	
權	tɕʰyɛ2	
杆	kan1	
杉	sai1	
李	li3	
杏	ɕin2	官话音
材	tsʰai5	
村	tɕʰyn1	
杖	tsaŋ2	
杜	tu2	姓～
杞	tɕʰi1	
條	tiau2	
來	ly2	白
來	lai5	文
楊	iaŋ2	
杭	xaŋ5	官话音
杯	pɛi1	
杰	tɕiɛ5	官话音
杷	pɔ1	
松	soŋ1	
板	pa3	板子
板	pan3	～车
極	tɕi5	
構	kɐø5	
枇	pi5	
枉	uaŋ3	
析	ɕi1	
枕	tɕin3	
林	lɛn2	白
林	lin5	文
枚	mɛi3	一～针
果	kɔ3	
枝	tsɿ1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	foŋ1	
梟	ɕiau1	
枯	kʰu1	
架	kɔ5	理论音或已消失的老派音
架	tɕia2	旧文今白
柄	pɛn3	
某	mou3	
柒	tɕʰiɛ3	
染	ȵiɛ3	白
染	iɛn3	文
櫃	kʰuɛi2	
檸	nin5	
查	tsʰɔ2	
柬	tɕiɛ3	
柰	nai2	～李
柱	tɕy5	
柳	liou3	
柴	tsʰai2	
柿	sɿ2	
標	piau1	
棟	toŋ2	
欄	lɔ2	
樹	ɕy5	
栓	suan1	
校	ɕiau2	官话音
校	tɕiau2	官话音
株	tɕy1	
樣	iaŋ5	～子
核	xɛ5	
根	kɛn1	
格	kɛ5	官话音
桁	xɛn5	
桂	kuɛi2	～林（地名）
桃	tau2	
框	kʰuaŋ1	
案	ŋan5	
桌	tsu5	
桑	saŋ1	
楨	tɕin1	
橋	tɕʰiau2	
槳	tɕiaŋ3	官话音
樁	tsuaŋ1	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mi2	
梆	paŋ1	
梗	kaŋ1	蔗～（甘蔗）
梗	kɛn3	
梢	sau1	
夢	moŋ5	
梧	u2	
梨	li2	
梯	tʰy5	楼～
梯	tʰi1	～田
械	kai2	机～
梳	sou1	
檢	tɕiɛ3	
檢	tɕiɛn3	
棉	miɛ2	
棋	tɕʰi2	
棍	kuɛn5	
棒	paŋ5	
棕	tsoŋ1	
棘	tɕi5	
棚	poŋ2	
棠	taŋ2	
森	sɛn1	官话音
棱	lɛn2	
棵	kʰɔ1	官话音
棺	kua1	
椅	i3	
植	tsɿ5	
椎	tsuɛi1	
椒	tɕiau1	
櫝	tu5	
橢	tʰɔ3	官话音
椰	iɛ1	
楙	mau2	官话音
楚	tsʰou3	
楠	nɔ2	
楷	kʰai3	
樓	lɐø2	
概	kʰai2	～念
概	kʰai5	又音
概	kai2	又音
榆	y5	
榔	laŋ5	官话音
榕	ioŋ2	
榜	paŋ3	
榨	tsa5	
槐	xuai5	
檻	kʰan1	门～
槽	tsʰau2	
樟	tsaŋ1	
模	mɔ5	
橫	xɛn2	
檣	tɕʰiaŋ2	
櫻	in1	
樵	tɕʰiau2	
橄	kɔ3	
橡	ɕiaŋ5	
櫥	tɕʰy2	
櫓	lu3	
檀	tɔ2	
檐	iɛ2	
欠	tɕʰiɛ5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ŋou1	
欲	y2	官话音
欺	tɕʰi1	
款	kʰuan3	官话音
歇	ɕiɛ3	
歉	tɕʰiɛ5	
歌	kɵø1	
止	tsɿ3	官话音
正	tɕin1	～月
正	tɕin2	～确
此	tsʰɿ3	
步	pu5	
武	u3	
歧	tɕʰi5	
歪	uai3	
歹	tai3	
死	sɿ3	
殲	tɕiɛ1	
殃	iaŋ1	官话音
殄	tʰiɛ3	
殤	saŋ1	
殉	ɕyn2	
殊	ɕy1	
殘	tsʰan5	官话音
殞	yn3	
殮	liɛ3	
殯	pɛn1	
毆	ŋou2	
段	tɔ5	
殷	in1	
殿	tiɛ5	
毁	xuɛi3	
毋	ŋ3	不
母	mu3	
每	mɛi3	
毒	tou5	～死
比	pi3	
畢	piɛ5	
斃	pi2	官话音
毛	mau2	
毫	xau2	
毽	tɕiɛ5	
氏	sɿ2	官话音
民	mɛn2	
气	tɕʰi5	
氛	fɛn2	官话音
氫	tɕʰin1	官话音
氤	in1	
氧	iaŋ3	
氨	ŋan1	
氳	yn2	
水	ɕy3	
永	ioŋ1	～州
汁	tɕiɛ3	汤～
求	tɕʰiou2	
汇	xuɛi2	官话音
漢	xan2	官话音
汕	san2	官话音
汕	sɔ	
汗	xɔ6	
汛	ɕyn2	
汝	ȵy3	～城县
汞	koŋ3	
江	kaŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汰	tʰai2	淘～
汴	piɛ6	
汶	uɛn5	
汹	ɕioŋ1	
汽	tɕʰi5	
汾	fɛn5	
沁	tɕʰin2	
沈	ɕin3	
沉	tɕʰin5	
沐	mu2	
沕	mi5	潜水
沙	sou1	
沛	pʰɛi2	
溝	kɐø1	
沒	mɛi5	官话音
灃	foŋ1	
漚	ɐø5	
淪	luɛn5	
滄	tsʰaŋ1	
滬	xu2	
沫	mɔ5	泡～
沮	tɕy3	
河	xou2	
沸	fɛi2	官话音
油	iou2	
治	tsʰɿ5	
沼	tsau3	
沿	yɛ2	～着
泄	ɕiɛ2	
泉	tɕʰyɛ2	～水
泉	tɕʰiɛ3	岩～（地名）
泌	mi5	分～
法	fa5	
泛	fan2	
泡	pʰau5	起～（溃疡）
波	pɔ1	
泣	tɕʰi2	官话音
泥	nɛi2	
注	tɕy5	
淚	ly5	
泮	pʰɔ5	
泯	mɛn3	
泰	tʰai2	官话音
泳	yn3	
瀉	ɕiɛ2	官话音
潑	pʰɔ1	
澤	tsʰɛ5	
洄	xuɛi2	
洋	iaŋ2	
洒	sa3	～水车
洗	sɛi3	白
洗	ɕi3	文，～衣机
洛	lou5	
洛	lɔ2	～阳
洞	toŋ5	
津	tsɛn1	
洪	xoŋ2	
洲	tɕiou1	
活	xuɛ5	
洽	tɕʰia2	官话音
派	pʰa5	
派	pʰai2	～对
流	liou2	
淺	tɕʰiɛ3	
漿	tɕiaŋ1	官话音
澆	tɕiau1	
測	tsʰa3	
濟	tɕi3	～南
瀏	liou2	
滸	xu3	
濃	nioŋ2	
浙	tsɛ5	官话音
浩	xau2	官话音
浪	laŋ2	～费
浮	pʰɐø1	
浮	fɵø5	～沉
浴	y2	官话音
海	xai3	官话音
浸	tɕin1	
涂	tu2	
消	ɕiau1	
涉	sɛ5	官话音
涌	ioŋ3	
涎	iɛ2	
涓	tɕyɛ1	
涕	tʰi2	官话音
濤	tʰau1	
澇	lau2	官话音
漣	liɛ2	
潤	yn5	
澗	tɕiɛ5	推导音
漲	tsaŋ3	
澀	tɕia5	
涯	ŋai5	
液	iɛ5	
涵	xan5	官话音
淀	tian2	官话音
淆	ɕiau5	
淋	lɛn2	
淌	tʰaŋ3	
淑	su1	官话音
淘	tau2	
淝	fɛi5	
淡	tɔ5	白
淡	tan2	文
淤	y1	
淫	in5	官话音
淬	tɕʰy2	
淮	xuai5	
深	ɕin1	
混	xuɛn5	
混	xuɛn2	
淹	iɛ1	
添	tʰiɛ1	
清	tsʰɛn1	
淵	yɛ1	
瀆	tu5	
漸	tɕiɛ5	
漁	y5	官话音
滲	sɛn2	官话音
渝	y5	官话音
渠	kɛ1	白，第三人称
渠	tɕʰy5	文，～道
渡	tu2	官话音
渤	pɔ5	
溫	uɛn1	
港	kaŋ3	
渲	ɕyɛ1	
渴	kʰɔ3	官话音
游	iou2	
渺	miau3	
湃	pʰai2	官话音
湓	pʰɛn5	溢出
湖	fu2	
湘	ɕiaŋ1	
灣	ua1	
灣	uan1	官话音
溼	ɕiɛ3	
潰	kʰuɛi5	
濺	tɕiɛ5	
漵	ɕy5	
溉	kai2	
源	yɛ2	
溜	liou1	
溢	i5	
溪	tɕʰi5	
溯	su2	官话音
溴	pʰiou3	
溶	ioŋ2	
溺	ȵi5	
滁	tɕʰy5	
滇	tiɛ1	
滇	tiɛn1	
滋	tsʰɿ2	
滑	ua2	
滓	tsa3	
滔	tʰau1	
滗	pi5	过滤
滾	koŋ3	～水（沸水）
滯	tsɿ2	
滟	iɛ5	
滿	moŋ3	
濾	ly5	
濫	lɔ5	
濱	pɛn1	
滴	tia5	
漂	pʰiau5	～亮
漂	pʰiau3	～白
漆	tɕʰi5	
漏	lɐø5	
漓	li2	
演	iɛ3	
漠	mɔ5	
漫	mɔ5	
漱	sɵø5	
漾	iaŋ2	
瀟	ɕiau1	
瀲	liɛ5	
潛	tɕʰiɛ2	老派
潭	tɔ2	
潮	tsʰau2	
潲	sau5	
澎	poŋ2	
澡	tsau3	
激	tɕi5	
瀕	pɛn1	
瀑	pʰu2	
火	xou3	
滅	miɛ5	
燈	tɛn1	
灰	xuɛi1	
靈	lɛn2	
竈	tsau5	
灸	tɕiou1	
災	tsai1	
燦	tsʰan2	
炅	tɕioŋ3	
爐	lu5	
炊	tɕʰy1	
炎	iɛ2	
炎	iɛn5	又读
炒	tsʰau3	
炕	kʰaŋ2	
炙	tsa5	
炫	ɕyɛ5	
炬	tɕy5	
炭	tʰa5	
炮	pʰau5	
炳	pɛn3	
炸	tsa5	
點	tiɛ3	
炼	liɛ5	
爛	lɔ5	
烈	liɛ5	
烊	iaŋ2	
烘	xoŋ1	
燭	tsu5	
烟	iɛ1	
烤	kʰau3	烧～
煩	fan2	
燒	sau1	
熱	ȵiɛ5	
烹	pʰɛn1	官话音
烽	foŋ1	
焉	iɛ1	
煥	xuan2	官话音
燜	mɛn5	
燾	tʰau1	
焚	fɛn2	
焦	tɕiau1	
焰	iɛ5	
焱	iɛ2	
然	iɛn5	官话音
煅	tɔ5	
煎	tɕiɛ1	
煞	sa2	
煤	mɛi2	
照	tsau5	
煨	uɛi1	～番薯（烤红薯）
煮	tɕy3	
煲	pau3	
煽	sɔ1	
熄	ɕiɛ5	
熊	ɕioŋ2	
熏	ɕyn1	
熔	ioŋ2	
熙	ɕi1	
熟	sɵø5	
熵	saŋ1	
熹	ɕi1	
燃	niɛ2	
燕	iɛ5	
燮	ɕiɛ2	官话音
爆	pau5	
爆	pau2	
爪	tsau3	
爬	pa2	
愛	ŋai5	白，动词
愛	ŋai2	文，～情
爵	tɕyɛ3	
父	fu5	
爺	ia2	
爹	tia1	爸爸
爽	suaŋ3	官话音
片	pʰiɛ5	
版	pa3	
牌	pa2	
牙	ŋou2	
牚	tsʰɛn3	官话音
牛	ȵiou2	
牡	mou3	
牢	lau2	
牧	mu2	官话音
物	u5	官话音
牯	ku1	
牲	ɕin1	
牽	tɕʰiɛ1	
特	tʰɛ5	官话音
犧	ɕi1	
犀	ɕi1	
犁	li2	
犒	kʰau5	
犬	tɕʰyɛ3	
犯	fan2	官话音
狀	tsʰuaŋ2	官话音
猶	iəu5	
狂	kʰuaŋ5	
狄	ti5	
狐	u2	～狸
狒	fɛi2	官话音
狗	kɐø3	
狙	tɕy3	
狠	xɛn3	官话音
狡	tɕiau3	官话音
獨	tou5	
獅	sɿ1	
獄	y5	官话音
猻	ɕyn1	
狷	tɕyɛ5	
狸	li2	
狼	laŋ2	
獵	liɛ5	
猖	tsʰaŋ1	
猛	moŋ3	官话音
猜	tsʰai1	
猩	sɛn1	
豬	ty1	
貓	miau1	
猬	uɛi2	
獻	ɕiɛ5	
獻	ɕiɛn2	
猴	xɐø2	
猾	ua5	
猿	yɛ2	
獐	tsaŋ1	
獺	tʰa3	
玄	ɕyɛ2	
率	lyɛ5	
率	ly5	
玉	y2	
王	uaŋ2	
玎	tɛn1	
璣	tɕi1	
玖	tɕiou3	
玥	ȵyɛ5	
玫	mɛi5	
環	uan2	
現	kʰɛn1	
玲	lɛn2	
玷	tiɛ1	
璽	ɕi3	
玻	pou1	～璃
珊	san1	官话音
珍	tɕin1	
珠	tɕy1	
班	pɔ1	上～
班	pan1	～上（班里面）
球	tɕʰiou2	
理	li3	官话音
琉	liou5	官话音
瑣	sou3	
琳	lɛn2	
琴	kʰɛn2	
琵	pi2	
瓊	kʰoŋ2	
瓊	tɕʰioŋ5	
瑙	nau3	
瑜	y5	
瑞	suɛi2	
瑟	sɛ3	
瑰	kuɛi3	
璃	li5	官话音
璋	tsaŋ1	
璧	pi5	
瓜	kɔ1	
瓣	pɔ5	
瓦	ua3	
甌	ŋou1	官话音
瓶	pɛn2	
瓷	tɕʰi2	
甄	tsɛn1	官话音
甘	kan1	
甚	sɛn2	官话音
甜	tiɛ2	
生	ɕin	
甥	sɛn1	文
用	ioŋ5	
甩	suai3	
甫	pʰu3	
田	tiɛ2	
由	iou2	
甲	ka5	手～（手指甲）
甲	tɕia3	文
申	sɛn1	
電	tiɛ5	白
電	tian2	文
男	nɔ2	
甸	tian2	文
畫	xua5	
畀	piau5	
暢	tsʰaŋ2	官话音
界	kai5	
畏	uɛi2	官话音
畔	pʰɔ5	
留	liou2	
畜	tsʰou5	
略	lyɛ5	
番	fan1	
畬	sa1	
畬	sɛ1	
畲	sa1	
畸	tɕi1	
疆	tɕiaŋ1	
疏	su1	官话音
疑	ȵi5	
療	liau5	官话音
疙	kɔ1	官话音
瘍	iaŋ5	
疤	pa1	
疫	y2	
瘡	tsʰaŋ1	
瘋	foŋ1	
疲	pi2	
疹	tɕin3	
疼	tʰoŋ5	
疾	tɕʰiɛ5	
痂	ka1	
病	pɛn5	
痒	iaŋ3	
痔	tsʰɿ5	
痕	xɛn2	
痘	tɐø5	
痛	tʰoŋ5	
痞	pʰi3	
痢	li2	
瘓	xuan2	瘫～
癇	ɕiɛ2	
痰	tan2	
癡	tsʰɿ1	
痹	pi5	
瘟	uɛn1	
瘤	liou2	
瘦	sɐø5	
瘩	ta1	官话音
癮	in3	
癌	ŋai5	官话音
癖	pʰi2	
癩	lai5	
癸	kuɛi2	
登	tɛn1	
白	pou5	～色的
百	pai3	一～
百	pɛ5	～分之～
皂	tsau5	
的	kɛ1	
皆	kai1	
皇	uaŋ2	白
皇	uaŋ5	文
皈	i1	
皎	tɕiau3	
皓	xau2	官话音
皮	pi2	
皺	tsɐø5	
皸	tɕʰyn5	
皴	tɕʰyn5	
皿	min3	官话音
盆	poŋ2	
益	i2	官话音
鹽	iɛ2	
監	kan1	
盒	xɔ5	
盔	kʰuɛi1	官话音
盖	ka5	白
盖	kai5	文
盜	tau5	
盤	poŋ2	
盛	sɛn2	官话音
盟	moŋ2	
目	mu5	
盯	tɛn1	
盲	maŋ2	
直	tsɿ5	官话音
相	ɕiaŋ5	～一觑（看一下）
相	ɕiaŋ2	文
盼	pʰan5	官音土调
盾	tuɛn3	茅～
省	sɛn3	湖南～
省	ɕin3	反～
眄	miɛ3	
眉	mi2	白
眉	mɛi5	官话音
真	tɕin1	
眠	miɛ2	
眨	tsa3	
眩	ɕyɛ5	
眯	mi5	打眼～（睡觉）
眶	kʰuaŋ1	
眷	tɕyɛ5	
眼	ŋɛn1	
着	tuɵø5	～衫（穿衣服）
着	tsou3	～火
着	tsɔ5	～急
睜	tɕin1	
睞	lai2	官话音
瞼	tɕiɛ3	
睛	tsɛn1	
督	tu1	
睦	mu5	
睫	tɕiɛ5	官话音
睬	tsʰai3	
睹	tu3	
睽	kʰuɛi5	
睾	kau1	
瞄	miau2	
瞎	xa5	
瞑	mɛn2	
瞒	mɔ2	
瞟	pʰiau3	
瞧	tɕʰiau2	
瞩	tɕy3	
瞪	tɛn5	
瞬	ɕyn5	
瞿	tɕʰy5	
矛	mau5	
矜	kɛn1	
矢	sɿ3	～量
知	tsɿ1	官话音
矩	tɕy3	
矯	tɕiau3	
短	tɔ3	
矮	a3	
石	sa2	
礬	fan5	文
礦	kʰuaŋ5	
碭	taŋ5	
碼	mɔ3	
砌	tɕʰi2	官话音
砍	kʰan3	
砑	ŋou2	
砒	pʰi1	
研	ȵiɛ2	
磚	tyɛ1	
砧	tɛn1	～板
破	pʰɔ5	
礎	tsʰou3	
硅	kuɛi1	官话音
碩	sɔ2	官话音
硫	liou2	
硬	ȵia5	白
硬	ŋɛn2	文
確	tɕyɛ5	官话音
礙	ŋai2	官话音
碎	suɛi2	官话音
碎	ɕy5	
碑	pɛi1	
碗	ua3	
碘	tiɛ3	
碟	tiɛ5	
碧	pi5	
碰	pʰoŋ5	
鹼	tɕiɛ3	
碳	tʰa5	
磁	tsʰɿ2	
磅	paŋ5	
磊	luɛi3	
磬	tɕʰin2	官话音
磷	lɛn2	
礁	tɕiau1	
示	sɿ2	官话音
禮	li3	
社	sɛ2	
祀	sɿ2	
祁	tɕʰi2	
祆	au1	棉～
祈	tɕʰi3	
祖	tsou3	
祝	tsou5	
神	ɕin2	
祠	tsʰɿ2	
祢	mi5	
祥	tɕʰiaŋ5	
票	pʰiau5	
祭	tɕi5	
禎	tɕin1	
禱	tau3	
禍	xɔ2	官话音
禀	pɛn3	
禁	tɕin5	文
禁	kɛn5	白
福	fu5	官话音
福	fu2	白
禧	ɕi3	
禹	y3	
禺	y3	
离	li2	
禽	kʰɛn2	白
禽	tɕʰin5	文
禾	ou2	
秀	ɕiou5	白
秀	ɕiou2	文
私	sɿ1	
禿	tʰu1	
秆	kan3	禾～
秉	pɛn3	
秋	tɕʰiou1	
種	tsoŋ3	～子
種	tsoŋ5	～菜
科	kʰɔ1	官话音
秒	miau3	
租	tsu1	
秤	tɕʰin2	
秦	tsʰɛn5	
秧	iaŋ1	
秩	tsʰɿ5	
積	tɕiɛ5	
稱	tɕʰin2	
移	i2	
稀	ɕi1	
程	tɕin5	
稍	sau1	～微
稅	suɛi2	官话音
稚	tsɿ2	官话音
稞	kʰɔ1	
稠	tɕʰiou2	
穩	uɛn3	
稷	tɕi5	
稻	tau5	
稼	kɔ1	
稿	kau3	
穴	ɕyɛ5	
究	tɕiou1	
窮	koŋ2	
空	kʰoŋ1	～壳
空	kʰoŋ5	有～（有时间）
穿	tuɵø5	
突	tʰu1	
竊	tɕʰiɛ2	官话音
窄	tsɛ5	
竅	tɕʰiau2	
窑	iau2	
窒	tsɿ5	
窖	kau2	
窗	tsʰaŋ1	
窘	tɕioŋ3	
竄	tɕʰyɛ5	
窟	kʰu1	官话音
窺	kʰuɛi1	官话音
窿	loŋ1	
立	liɛ5	站～
豎	ɕy5	
站	tsan5	官音土调
競	kɛn2	
竟	tɕin2	官话音
章	tsaŋ1	
竣	tɕyn5	
童	toŋ2	
竦	soŋ3	
竭	tɕʰiɛ5	
端	tɔ1	
竹	tiou5	
竺	tsu5	
篤	tu3	
笆	pa1	
笋	soŋ3	
笑	ɕiau5	
笔	piɛ3	
筧	tɕiɛ5	
笙	ɕin1	
符	fu3	
笨	pɛn5	
第	ti5	
箋	tɕiɛ1	
籠	loŋ2	
等	tɛn3	
筋	kɛn1	
筏	fa5	
筐	kʰuaŋ1	
筑	tsu5	
筒	tʰoŋ3	～子
答	ta5	
策	tsʰɛ5	官话音
篩	sai1	
篩	sa1	
箏	tɕin1	
筵	iɛ2	
筷	kʰua5	
签	tɕʰiɛ1	
簡	tɕʰiɛn3	文
簡	tɕiɛ3	白‘
箍	ku1	
箐	tsʰɛn1	
算	sɔ5	
箜	kʰoŋ1	
管	kua3	
籮	lɵø2	
簫	ɕiau1	
箭	tɕiɛ5	
箱	ɕiaŋ1	
篇	pʰiɛ1	
簍	lɐø3	
篝	kɐø1	
籃	lɔ2	
籃	lan5	
簕	lɛ5	刺
簰	pa2	
籟	lai5	
米	mi3	
类	luɛi5	
籽	tsa3	
粉	foŋ3	
粒	lai5	通用量词，一～（一个）
粗	tsʰou1	
粘	ȵia1	
粤	yɛ5	官话音
粥	tsu5	
糞	fɛn5	
糧	liaŋ2	
粱	liaŋ2	
粹	tsʰuɛi2	语流中
粹	tɕʰy5	单字
粼	lɛn2	
糉	tsoŋ5	
精	tsɛn1	
糊	u2	
糍	tɕʰi2	
糕	kau1	
糖	taŋ2	
糙	tsʰau1	
系	xɛi5	白，是
系	ɕi2	～列
紊	uɛn3	官话音
素	sou5	
索	sɔ5	
緊	kɛn3	
紫	tsɿ3	
累	ly5	好～
累	luɛi3	～加
絮	ɕy5	
繁	fan5	
糾	tɕiou1	
紅	xoŋ2	
纤	tɕʰiɛ1	
約	yɔ5	
級	tɕiɛ5	
紀	tɕi3	～念
紀	tɕi1	年～
緯	uɛi3	
紜	yn2	
純	suɛn5	
紗	sɔ1	
綱	kaŋ1	
納	na2	官话音
縱	tsoŋ2	官话音
綸	luɛn2	
紛	fɛn1	
紙	tsɿ3	
紋	uɛn2	
紡	faŋ3	
紐	ȵiou3	
線	ɕiɛ5	
練	liɛ6	
組	tsou3	
紳	ɕin1	
細	ɕi5	小
織	tsɿ1	
終	tsoŋ1	
絆	pɔ5	
紹	sau2	官话音
繹	i5	官话音
經	kɛn1	
綁	paŋ3	
絨	ioŋ2	
結	tɕiɛ5	
繞	iau5	
繪	xuɛi2	官话音
絢	ɕyɛ5	
絡	lɔ5	官话音
絕	tɕyɛ5	官话音
絞	tɕiau3	
統	tʰoŋ3	官话音
絹	tɕyɛ1	
繡	ɕiou5	
繼	tɕi2	官话音
績	tɕi5	
續	ɕy5	～费
繩	suɛn2	官音土调
維	uɛi5	官话音
綿	miɛ2	
绷	poŋ1	
綢	tɕʰiou5	
綜	tsoŋ1	
綻	tsan2	官话音
綠	ly5	
綴	tsuɛi2	官话音
緘	tɕiɛ	
緬	miɛ3	
纜	lan3	官话音
緲	miau3	
緞	tɔ5	
緩	xua3	
緩	xuan3	
縷	ly3	
編	pʰian1	～故事
編	piɛ1	
緡	mɛn5	
緣	yɛ2	爬行
緣	yɛn5	
縛	fu5	官话音
縫	foŋ5	
纏	tsʰɔ2	
繽	pɛn1	
縮	sɵø3	
繚	liau2	
繮	tɕiaŋ1	
繳	tɕiau3	
缸	kaŋ1	
缺	tɕʰyɛ5	
罅	ɕia1	
罐	kua5	
网	maŋ3	浆丝～
网	uaŋ3	～络
罕	xan3	
羅	lou2	
罰	fa5	
罩	tsau2	
罪	tsuɛi5	
置	tsɿ3	
署	ɕy3	
罹	li5	
羈	tɕi1	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mɛi3	
羔	kau1	
羚	lɛn2	
羞	ɕiou1	
羡	ɕiɛ5	
羣	tɕʰyn2	
羹	kɛn1	
羽	y3	
羿	i2	
翁	oŋ1	官话音
翅	tsɿ2	
翎	lɛn3	
