#漢字	音標	解釋
□	tɕyɛ1	圪~~:小而软且呈锥形的物体
恨	xeŋ3-	
恨	xeŋ5	
恩	eŋ1	
恭	kuŋ1	
息	ɕiəʔ3	
息	tai5	
懇	kʰeŋ3	
恶	vu5	
慟	tʰuŋ5	
惱	neu3	
悄	tɕʰieu1	
悉	ɕiəʔ3	
悔	xuei3	
悟	vu5	~性
悠	iau1	
患	xuaŋ5	
悦	yɛʔ3/yɛ3	
懸	ɕyaŋ2	
憫	miŋ3	
悲	pei1	
情	tɕʰiŋ2=	
情	tɕʰi2-	尽管,~吃:尽管吃,随便吃
惑	xuɤʔ3/xuɤ3	
惚	xuəʔ3	
惜	ɕiəʔ3	
惜	tɕʰiəʔ3	可~
惟	vei2	
惠	xuei5	
懼	tɕy5	
慘	tsʰaŋ3	
懲	tʂʰeŋ3	
慚	tsʰaŋ2	
慣	kuaŋ5	
惰	tuɯ5	
想	ɕiɔ3	
愁	tsʰau2	
愈	y5	
愉	y5-	
愉	y2=	
意	i5	
愚	y2	
感	kaŋ3	
愣	leŋ5	
憤	feŋ5	
愧	kʰuei5	
願	yaŋ5	
慈	tsʰɿ2	
慌	xɔ1	
慎	ʂeŋ5=	
慎	tʂʰeŋ5-	谨~
慕	mu5	
慢	maŋ5	
慧	xuei5	
慨	kʰai3	
慰	vei5	
慷	kʰɔ1	
憋	piɛʔ3/piɛ3	
憎	tseŋ5	
憨	xaŋ1	
憾	xaŋ5	
懂	tuŋ3	
懈	xai5-	松~~
懊	eu5	
懶	laŋ3	
懵	meŋ3	
戈	kuɯ1	
戊	vu5	
戌	ɕyəʔ3	
戍	ʂu5	
戎	ʐuŋ2	
戲	ɕi5	
成	tʂʰeŋ2	
我	ɯ3	
戒	tɕiai5	
或	xuɤʔ3/xuɤ3	
戰	tʂaŋ5	
戚	tɕʰiəʔ3	
戟	tɕiəʔ3	
截	tɕiɛʔ3/tɕiɛ3-	
戳	tʂuʔ3/tʂu3	
戴	tai5	
戶	xu5	
房	fɔ2	
所	suɯ3	
扁	paŋ3-	
扁	piaŋ3=	
扇	ʂaŋ5	
手	ʂau3	
才	tsʰai2	
扎	tsɑʔ3/tsɑ3	
扑	pʰəʔ3	
打	ta3	
扔	eʐ3-	
扔	ʐeŋ1=	
托	tʰuɤʔ3/tʰuɤ3	
扛	kʰɔ1	
扣	kʰau5	
執	tʂəʔ3	
擴	kʰuɤʔ3/kʰuɤ3	
掃	seu3	
掃	seu5	
揚	iɔ2	
扭	niau3=	
扭	ʐau3-	一~一~
扮	paŋ5	
扯	tʂʰʅ3	
擾	ʐeu3	
扳	paŋ1	
扶	fu2	
批	pʰi1	
扽	tuŋ5	
找	tʂeu3=	
找	tsau3-	~钱
承	tʂʰeŋ2	
技	tɕi5	
抄	tsʰau1	
把	pa3	
把	pa5	手柄
抑	iəʔ3	
抓	tʂua1	
投	tʰau2	
抖	tau3	
抗	kʰɔ5	
抗	kʰɔ3	~膀膀
折	tʂɤʔ3/tʂɤ3	
折	ʂɤʔ3/ʂɤ3	
撫	fu3	
抛	pʰau1	
抛	pʰau5	掉落
摳	kʰau1	
搶	tɕʰiɔ3	
護	xu5	
報	pau5	
披	pʰi1	
抬	tʰai2	
抱	pau5=	
抱	pu5-	~住
抲	tɕʰia1	~上:抱上
抵	ti3	
抹	mɤʔ3/mɤ3	
抹	mɑʔ3/mɑ3	~下眉眼
押	iɑʔ3/iɑ3	
押	ia2	关~
抽	tʂʰau1	~水
抿	miŋ2	
拄	tʂu3	
擔	taŋ1	
擔	taŋ5	
拆	tsʰɤʔ3/tsʰɤ3	
拇	mu3=	
拈	niaŋ2	
拉	lɑʔ3/lɑ3	
拉	la5	~过去:跨过去
拉	la1	用于非强迫性质的动作时:~上窗帘子
拌	paŋ5	搅~
拍	pʰiɛʔ3/pʰiɛ3	
拐	kuai3	
拒	tɕy5	
拓	tʰɑʔ3/tʰɑ3	
拔	pɑʔ3/pɑ3	
拖	tʰɯ1-	
拗	eu5	
拗	eu3	~价
拘	tɕy1	
拙	tʂuɤʔ3/tʂuɤ3	
招	tʂeu1	
拜	pai5	
攏	luŋ3	
攏	lyŋ3	~起去
揀	tɕiaŋ3	
擁	yŋ1	
攔	laŋ2	
撥	pɤʔ3/pɤ3	
擇	tsɤʔ3/tsɤ3	
括	kʰuɤʔ3/kʰuɤ3	
拯	tʂeŋ3	
拱	tɕyŋ3-	
拱	kuŋ3	~桥
拳	tɕʰyaŋ2	
拼	pʰiŋ3	
拼	pʰiŋ5	
拽	tʂuai5	
拾	ʂəʔ3	
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tsɿ3=	
指	tsəʔ3	~头
按	aŋ5	
挎	kʰua5	
挑	tʰieu1	~:针灸;~刺:用针挑手中不小心扎入的刺
挑	tʰieu3	挑拨
挖	va1	
撾	vɯ1	
撓	nau2	挖~
擋	tɔ3	
掙	tseŋ1	
擠	tɕi3	
揮	xuei1	
挨	ai1	
挪	nɯ1	
振	tʂeŋ3	
挲	suɯ1	
挺	tʰiŋ3=	
挼	ʐua2	
捅	tʰuŋ3	
捆	kʰuŋ3	
捉	tʂʰuʔ3/tʂʰu3	
捎	sau1	
捏	niɛʔ3/niɛ3	
捐	tɕyaŋ1	
捕	pu1	
搜	sau1	
撈	leu2	
損	suŋ3	
換	xuaŋ5	
捧	pʰeŋ3	
捩	liɛʔ3/liɛ3	
据	tɕy5	
捱	nai2	
捷	tɕiɛʔ3/tɕiɛ3	
捺	nɑʔ3/nɑ3	
捻	niaŋ3	
捼	vɯ1	
掀	ɕiaŋ1	
掂	tiaŋ1	
掇	tuɤʔ3/tuɤ3	
掇	tuəʔ3	
授	ʂau5	
掉	tieu5	
掌	tʂɔ3	
掏	tʰeu1	
掐	tɕʰiɑʔ3/tɕʰiɑ3	
排	pʰai2	
掖	iɛʔ3/iɛ3	
掘	tɕyɛʔ3/tɕyɛ3	
掠	liɛʔ3/liɛ3	
掣	tʂʰɤʔ3/tʂʰɤ3	醋~子:打醋用的深勺子
接	tɕiɛʔ3/tɕiɛ3	
控	kʰuŋ5	
推	tʰuei1	
掩	iaŋ3=	
掩	aŋ3-	~头:瓦房顶的两侧
掫	tsau1	
掬	tɕyəʔ3	
掮	tɕʰiaŋ2	
掰	piɛʔ3/piɛ3	
撣	taŋ3	
揉	ʐau2	
描	mieu2	
提	tʰi2	
插	tsʰɑʔ3/tsʰɑ3	
揖	iəʔ3	
揞	aŋ5	
握	vɑʔ3/vɑ3	
揢	tɕʰia1	
揣	tʂʰuai3	
揩	tɕʰiai1	擦:~眉眼
揪	tɕiau1	
揭	tɕiɛʔ3/tɕiɛ3	
援	yaŋ2	
攬	laŋ3	
攙	tsʰaŋ1	
擱	kɤʔ3/kɤ3	
摟	lau2	
摟	lau3	
摟	lau2	~柴
攪	tɕiau3	
搉	tɕʰyɛʔ3/tɕʰyɛ3	
搋	tsʰai1	~糕
搓	tsʰuɯ1=	
搓	tsʰɿ1-	~麻绳
搞	keu3	
搬	paŋ1	
搭	tɑʔ3/tɑ3	
搽	tsʰa3	
攝	ʂɤʔ3/ʂɤ3	
摆	pai3	
摇	ieu2	
摔	ʂuai1	
摘	tsɤʔ3/tsɤ3	
摞	lɯ5	
摩	mɯ2	
摸	mɤʔ3/mɤ3	
摹	mu2	
摺	tʂɤʔ3/tʂɤ3	
撅	tɕyɛ1	~出来:用劲拽出来;把耳环子~下:用力把耳环揪下
撇	pʰiɛʔ3/pʰiɛ3	
撇	pʰiɛ3	代字,用手折断:~树枝:折树枝
撑	tsʰeŋ1=	
撑	tʂʰeŋ2=	
撑	tsʰɿ1-	~烂
撒	sɑʔ3/sɑ3	
撕	sɿ1	
撤	tʂʰɤʔ3/tʂʰɤ3	
撩	lieu1	
撩	lieu2	
播	pɯ5	
撮	tsʰuɤʔ3/tsʰuɤ3	
撰	tʂuaŋ5	
攆	niaŋ3	
撼	xaŋ5=	
擀	kaŋ3	
操	tsʰeu1	~练
擎	tɕʰiŋ2	
擒	tɕʰiŋ2	
擦	tsʰɑʔ3/tsʰɑ3	
擩	ʐu1=	
擩	vu1-	~手:伸手
攀	pʰaŋ1	
攢	tsʰuaŋ2	
攢	tsaŋ3	
攘	ʐɔ3	
攮	nɔ1	
支	tsɿ1	
收	ʂau1	
改	kai3	
攻	kuŋ1	
放	fɔ5	
政	tʂeŋ5	
敁	tiaŋ1	~敠:用手估量东西轻沉
故	ku5	
效	ɕieu5	
敵	tiəʔ3	
敏	miŋ3	
救	tɕiau5	
教	tɕieu1	
教	tɕiau1-	~书
教	tɕieu5=	~育
斂	liaŋ3	
敝	pi5	
敞	tʂʰɔ3	
敠	tuɤʔ3/tuɤ3	
敢	kaŋ3	
散	saŋ3	
散	saŋ5	
敦	tuŋ1	
敬	tɕiŋ5	
數	fu3-	
數	ʂu3	
數	ʂu5	
敲	tɕʰieu1	
敲	tɕʰiau3	
整	tʂeŋ3	
敷	fu2	
文	veŋ2	
齋	tsai1	
斑	paŋ1	
斗	tau3	
斗	tau5	
料	lieu5	
斛	xu2	
斟	tʂeŋ1	
斥	tʂʰəʔ3	
斧	fu3	
斬	tsaŋ3	
斷	tuaŋ5	
斯	sɿ1	
新	ɕiŋ1	
方	fɔ1	
於	y2	
施	sɿ1	
旁	pʰɔ2	
旅	ly3	
旋	ɕyaŋ2	
族	tsʰuɤʔ3/tsʰuɤ3	
旗	tɕʰi2	
無	vu2	
既	tɕi5	
日	lieu1	
日	ʐəʔ3	
旦	taŋ5	
舊	tɕiau5	
早	tseu3	
旬	ɕyŋ2	
旭	ɕyəʔ3	
旯	la5	
時	sɿ2	
曠	kʰɔ5	
旺	vɔ5	
昆	kʰuŋ1	
昌	tʂʰɔ1	
明	miŋ2=	
明	mi2-	精~
昏	xuŋ1	
易	i5	
昔	ɕiəʔ3	
星	ɕiŋ1	
映	iŋ5	
映	i5-	~明:用光照亮
春	tʂʰuŋ1	
昧	mei5	
昭	tʂeu1	
是	sɿ5	
晝	tʂau5	
顯	ɕiaŋ3	
晃	xɔ5	
晉	tɕiŋ5	
晌	tʂʰɔ3	后~
曬	sai5	
曉	ɕieu3	
曄	xua2	
暈	yŋ5	
晦	xuei5	
晨	tʂʰeŋ2=	
晨	ʂeŋ1-	早~
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
智	tʂʅ5	
晾	liɔ5	
暫	tsaŋ5	
暑	ʂu3	
暖	nuaŋ3=	
暗	aŋ5	
暮	mu5	
暴	pau5	
曰	yɛʔ3/yɛ3	
曲	tɕʰyəʔ3	
曳	iɛ5	
更	keŋ5	
更	keŋ1	~改
更	tɕiŋ1	半夜五~
更	keŋ1=	打~
曹	tsʰeu2	
曾	tseŋ1	
曾	tsʰeŋ2	
替	tʰi5	
最	tsuei5	
月	yɛʔ3/yɛ3	~亮
有	iau3	
朋	pʰeŋ2	
服	fəʔ3	
服	fuəʔ3	
朔	ʂuɤʔ3/ʂuɤ3	
朗	lɔ3	
望	vɔ5	
朝	tʂeu1	
朝	tʂʰeu2	
期	tɕʰi1	
木	məʔ3	
未	vei5	
末	mɤʔ3/mɤ3	
本	peŋ3	
札	tsɑʔ3/tsɑ3	
术	ʂuəʔ3	
朱	tʂu1	
朴	pʰəʔ3	
朶	tuɯ3	
機	tɕi1	
朽	ɕiau2	
殺	sɑʔ3/sɑ3	
雜	tsɑʔ3/tsɑ3	
權	tɕʰyaŋ2	
杆	kaŋ3	
杈	tsʰa1	
杉	saŋ1	
李	li2	
杏	ɕiŋ5-	
杏	ɕiɛ5-	依~塔:地名
材	tsʰai2	
村	tsʰuŋ1	
杖	tʂɔ5	
杜	tu5	
杞	tɕʰi3	
束	ʂuəʔ3	
杠	kɔ5	
條	tʰieu2	
來	lai2	
楊	iɔ2	
杭	xɔ2	
杯	pei1	
杰	tɕiɛʔ3/tɕiɛ3	
杳	ieu1	
杵	tʂʰu3	
松	suŋ1	
板	paŋ3	
極	tɕiəʔ3	
構	kau5	
枇	pʰi2	
析	ɕiəʔ3	
枕	tʂeŋ5	
枚	mei1	
果	kuɯ3	
枝	tsɿ1	
樞	ʂu1	
棗	tseu3	
槍	tɕʰiɔ1=	
楓	feŋ1	
枯	kʰu1	
架	tɕia5	
柄	piŋ3	
柏	piɛʔ3/piɛ3	
某	mu3	
柑	kaŋ1	
染	ʐaŋ5-	
染	ʐaŋ3=	
柔	ʐau2	
柚	iau5	
櫃	kuei5	
查	tsʰa3	
柩	tɕiau5	
柬	tɕiaŋ3	
柯	kɯ1	
柱	tʂu5	
柳	liau3	
柴	tsʰai2	
柿	sɿ5	
梔	tsɿ1	
栅	tsa5	
標	pieu1	
棧	tsaŋ5	
棟	tuŋ5	
樹	ʂu5	
栓	ʂuaŋ1	
栖	tɕʰi1	
栗	liəʔ3	
栗	li5	
校	ɕieu5	
株	tʂu1	
樣	iɔ5	
核	xəʔ3	
核	kuəʔ3	桃~子
根	keŋ1	
格	kɤʔ3/kɤ3	
栽	tsai1	
栿	fəʔ3	
桂	kuei5	
桃	tʰeu2	
桅	vei3	
框	tɕʰiɔ5-	
框	kʰɔ1	
案	aŋ5	
桌	tʂʰuʔ3/tʂʰu3	
桐	tʰuŋ2	
桑	sɔ1	
桓	xuaŋ2	
橋	tɕʰieu2	
樺	xua5	
檜	xuei5	
槳	tɕiɔ3	
桶	tʰuŋ3	
梁	liɔ2	
梅	mei1	
梓	tsɿ3	
夢	meŋ5	
梧	vu2	
梨	li2	
梭	suɯ1	
梭	suɤʔ3/suɤ3	
梯	tʰi1	
械	tɕiai5	
械	tɕiaŋ5	
梳	ʂu1	
檢	tɕiaŋ3	
棉	miaŋ2	
棋	tɕʰi2	
棍	kuŋ5	
棒	pɔ5	
棕	tsuŋ1	
棚	pʰeŋ2	
棚	pʰiɛ2-	房~:房顶
棠	tʰɔ2	
森	seŋ1	
棱	leŋ2	
棵	kʰuɯ1	
棺	kuaŋ1	
椅	i3	
植	tʂəʔ3	
椒	tɕieu1	
橢	tʰuɯ3	
椽	tʂʰuaŋ2	
椿	tʂʰuŋ1	
楂	tsʰa3	
楔	ɕiɛʔ3/ɕiɛ3	
楚	tʂʰu3	
楝	liaŋ5	
楣	mi2	
楦	ɕyaŋ5	
楷	kʰai3	
樓	lau2	
概	kai5	
欖	laŋ3	
榆	y2	
榔	lɔ2	
榛	tseŋ1	
榜	pɔ3	
榨	tsa5	
榴	liau2	
榷	tɕʰyɛʔ3/tɕʰyɛ3	
榻	tʰɑʔ3/tʰɑ3	
槌	tʂʰuei2	
槐	xuai2	
檳	piŋ1	
槽	tsʰeu2	
樗	tɕʰy1	~树:臭椿
樟	tʂɔ1	
模	mu2	
橫	ɕyaŋ2-	
橫	xeŋ2=	
橫	ɕyɛ2-	~顺;~竖;~柳八怪
櫻	iŋ1	
橄	kaŋ3	
橘	tɕyəʔ3	
橙	tʂʰeŋ2	
橛	tɕyɛʔ3/tɕyɛ3	
橡	ɕiɔ5	
櫥	tʂʰu2	
櫓	lau3	
檐	iaŋ2	
檗	piɛʔ3/piɛ3	
欠	tɕʰiaŋ5	
次	tsʰɿ5	
歡	xuaŋ1	
欣	ɕiŋ1	
歐	au1	
欺	tɕʰi1	
款	kʰuaŋ3	
歇	ɕiɛʔ3/ɕiɛ3	
歉	tɕʰiaŋ5	
歌	kɯ1	
歘	tʂʰua5	跳得~~地
止	tsɿ3	
正	tʂeŋ1	
正	tʂeŋ5	
此	tsʰɿ3	
步	pu5	
武	vu3	
歪	vai1	
死	sɿ3	
殲	tɕiaŋ1	
殃	iɔ1	
殆	tai5	
殉	ɕyŋ5	
殊	ʂu1	
殘	tsʰaŋ2	
殮	liaŋ5	
殖	ʂəʔ3	
殖	ʂəʔ3	骨~。连读变调阳入
殯	piŋ5	
毆	au1	
段	tuaŋ5	
殷	iŋ1	
殿	tiaŋ5	
毁	xuei1	
毅	i5	
母	mu3	
每	mei3	
每	mi3-	~常家:过去
毒	tuəʔ3	
比	pi3	
畢	piəʔ3	
毗	pʰi3	
斃	pi5	
毛	mau2	
毡	tʂaŋ1	
毫	xeu2	
氏	sɿ5	
民	miŋ2	
气	tɕʰi5	
氖	nai3	
氟	fəʔ3	
氫	tɕʰiŋ1	
氦	xai5	
氧	iɔ3	
氨	aŋ1	
氮	taŋ5	
氯	luəʔ3	
水	ʂuei3	
永	yŋ3	
氽	tsʰuaŋ1	
汀	tʰiŋ1	
汁	tʂəʔ3	
求	tɕʰiau2	
汇	xuei5	
漢	xaŋ5	
汗	xaŋ5	
汝	ʐu3	
汞	kuŋ3	
江	tɕiɔ1	
池	tʂʰʅ2	
污	vu1	
湯	tʰɔ1	
汴	piaŋ5	
汽	tɕʰi5	
沂	i2	
沈	ʂeŋ3	
沉	tʂʰeŋ2	
沌	tuŋ5	
沏	tɕʰiəʔ3	
沓	tɑʔ3/tɑ3	
沓	tʰɑʔ3/tʰɑ3	
沙	sa1	
沛	pʰei5	
溝	kau1	
没	məʔ3	
漚	au5	
淪	luŋ2	
滬	xu5	
沫	mɤʔ3/mɤ3	
河	xɯ2	
油	iau2	
治	tʂʅ5	
沼	tʂeu1	
沾	tʂaŋ1	
沿	iaŋ2	
泄	ɕiɛ5	
泉	tɕʰyaŋ2	
泊	pʰɤʔ3/pʰɤ3	
泌	miəʔ3	
泔	kaŋ1	
法	fɑʔ3/fɑ3	
泛	faŋ5	
泡	pʰau5	
波	pɯ1	
泥	ni2	
泥	ni5	~刀子:泥瓦工用具
注	tʂu5	
淚	luei5	
泰	tʰai5	
泱	iɔ5	
泳	yŋ3	
瀉	ɕiɛ5	
潑	pʰɤʔ3/pʰɤ3	
澤	tsɤʔ3/tsɤ3	
洇	iŋ5	
洋	iɔ2	
洒	sa3	
洗	ɕi3	
洛	lɤʔ3/lɤ3	
洞	tuŋ5	
洪	xuŋ2	
洲	tʂau1	
洼	va1	
洽	tɕʰiɑʔ3/tɕʰiɑ3	
派	pʰai5	
流	liau2	
淺	tɕʰiaŋ3	
漿	tɕiɔ1	
澆	tɕieu1	
測	tsʰɤʔ3/tsʰɤ3	
濟	tɕi5	
渾	xuŋ2	
滸	xu3	
濃	nuŋ2	
浙	tʂɤʔ3/tʂɤ3	
浜	pɔ1	
浦	pʰu3	
浩	xeu5	
浪	lɔ5	
浮	fu2	
浴	yəʔ3	
海	xai3	
浸	tɕiŋ5	
涂	tʰu2	
消	ɕieu1	
涉	ʂɤʔ3/ʂɤ3	
涌	yŋ3	
涎	ɕiaŋ2	
涔	tɕʰiŋ2	管~山
涕	tʰi5	
濤	tʰeu2	
澇	leu5	
潤	ʐuŋ5	
澗	tɕiaŋ5	
漲	tʂɔ3	
澀	sɤʔ3/sɤ3	
涮	ʂuaŋ5	
涯	ia2	
液	iai5	
淀	tiaŋ5	
淑	ʂuəʔ3	
淖	neu5	
淘	tʰeu2	
淡	taŋ5	
淤	y2	
淫	iŋ2	
淮	xuai2	
深	ʂeŋ1	
混	xuŋ5	
淹	iaŋ1	
添	tʰiaŋ1	
清	tɕʰiŋ1	
淵	yaŋ2	
漸	tɕiaŋ5	
漁	y2	
滲	seŋ5	
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	veŋ1	
港	kɔ3	
渴	kʰɤʔ3/kʰɤ3	
游	iau2	
渺	mieu3	
湍	tʰuaŋ1	
湖	xu2	
湘	ɕiɔ1	
灣	vaŋ1	
溼	ʂəʔ3	
潰	kʰuei5	
濺	tɕiaŋ5	
溉	kai5	
溏	tʰɔ2	鸡~屎:鸡粪
源	yaŋ2	
溜	liau5	~上走
溜	liau1	出~;顺手偷东西:~东西
溢	iəʔ3=	
溪	ɕi2	
溻	tʰɑʔ3/tʰɑ3	
滂	pʰɔ2	
滋	tsɿ1	
滑	xuʔ3/xu3	
滔	tʰeu2	
滚	kuŋ3	
滯	tʂʅ5	
滿	maŋ3	
濾	luei5-	
濾	ly5=	
濫	laŋ5	
滴	tiɛʔ3/tiɛ3	
滴	tiəʔ3	
漂	pʰieu1	
漂	pʰieu5	
漆	tɕʰiəʔ3	
漏	lau5	
演	iaŋ3	
漤	laŋ3	
漫	maŋ5	
漱	su5	
漾	iɔ5	
潘	pʰaŋ1	
潛	tɕʰiaŋ3	
潮	tʂʰeu2	
潲	seu5	
澄	tʂʰeŋ2	
澄	teŋ2	~粉:加工淀粉
澈	tʂʰɤʔ3/tʂʰɤ3	
澡	tseu3	
澥	xai5-	~开
激	tɕiəʔ3	
灌	kuaŋ5	
灓	lyaŋ5	稠:~稀粥
火	xuɯ3	
滅	miɛʔ3/miɛ3	
燈	teŋ1	
灰	xuei1	
靈	liŋ2	
靈	liŋ1	日~:机灵
竈	tseu5	
灸	tɕiau3	
灺	ɕiɛ5	灭:火~咧
灼	tʂuɤʔ3/tʂuɤ3	
災	tsai1	
燦	tsʰaŋ5	
爐	lau2	
炊	tʂʰuei1	
炎	iaŋ5	
炒	tsʰau3	
炕	kʰɔ5	口渴
炙	tʂəʔ3	
炮	pʰau5	
炸	tsɑʔ3/tsɑ3	
炸	tsa5	
點	tiaŋ3	
煉	liaŋ5	
爍	ʂuɤʔ3/ʂuɤ3	
爛	laŋ5	
烈	liɛʔ3/liɛ3	
烊	iɔ2	
烘	xuŋ5	
烙	lɤʔ3/lɤ3	
烙	leu5	
烟	iaŋ1	
烤	kʰeu3	
煩	faŋ2	
燒	ʂeu1	
燒	ʂeu5	
燙	tʰɔ5	
熱	ʐɤʔ3/ʐɤ3	
烹	pʰeŋ1	
焉	iaŋ1	
焊	xaŋ5	
焌	tɕʰyəʔ3	
焐	uəʔ3	热
煥	xuaŋ5	
焗	tɕyəʔ3	
焙	pei5	
焚	feŋ2	
焦	tɕieu1	
焯	tʂʰɤʔ3/tʂʰɤ3	把豆芽~给下
焰	iaŋ5	
然	ʐaŋ2	
焾	niaŋ5	
煎	tɕiaŋ1	
煤	mei1	
照	tʂeu5	
煨	vei3	
煮	tʂu3	
煳	xu2	
熄	ɕiəʔ3	
熊	ɕyŋ2	
熏	ɕyŋ1	
熙	ɕi1	
熟	ʂuəʔ3	
熟	ʂau2	煮~了
熨	yŋ5	
熬	eu2	
熬	vu2-	~药;~夜
燃	ʐaŋ2	
燎	lieu2	
燕	iaŋ5	
燣	laŋ2	
爆	pau5	~炸
爪	tsau3-	~子;鬼~子
爪	tʂua3	鸡~子
爬	pʰa2	
爬	pa1	代字,攀登。~崖上树
愛	ai5	
爵	tɕyɛʔ3/tɕyɛ3	
父	fu5	
爺	iɛ2	
爸	pa5	
爹	tiɛ1=	
爹	ta2	背称父亲
爹	ta1	面称父亲
爿	pʰaŋ2	
片	pʰiaŋ5=	
片	pʰiaŋ3-	脚~子
版	paŋ3	
牌	pʰai2	
牛	niau2	
牡	mau3	~丹
牢	leu2	
牧	mu5	
物	vəʔ3	
物	uəʔ3	
牯	ku3	
牲	seŋ1	
牽	tɕʰiaŋ1	
牸	tsɿ5	
特	tʰɤʔ3/tʰɤ3	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tuəʔ3-	牛~子
犍	tɕiaŋ5	
犒	kʰeu5	
犬	tɕʰyaŋ3	
犯	faŋ5	
狂	kʰɔ2	
狄	tiəʔ3	
狐	xu2	
狑	li1-	圪~:松鼠
狗	kau3	
狠	xeŋ3	
狡	tɕieu3	
獨	tuəʔ3	
獨	tʰuəʔ3	~扫:用来扎扫帚的一种植物
狹	ɕiɑʔ3/ɕiɑ3	
獅	sɿ1	
獄	yəʔ3	
狸	li2	
狼	lɔ2	
獵	liɛʔ3/liɛ3	
獵	liɛ5	
猛	meŋ3	
猜	tsʰai1	
猝	tsʰuəʔ3	
玀	la2-	猪~子
豬	tʂu1	
猫	mau2	
蝟	vei5	
獻	ɕiaŋ5	
猯	tʰuaŋ1	
猴	xau1	
猺	ieu5	黄~:黄鼠狼
猾	xuʔ3/xu3	
獗	tɕyɛʔ3/tɕyɛ3	
獺	tʰɑʔ3/tʰɑ3	
玄	ɕyaŋ2	
率	lyəʔ3	
率	ʂuai5	
玉	y5	
王	vɔ2	
瑒	iɔ2	
玩	vaŋ2	
玫	mei1	
環	xuaŋ2	
現	ɕiaŋ5	
璽	ɕi3	
玻	pɯ1	
珊	saŋ2	
珍	tʂeŋ1	
珠	tʂu1	
班	paŋ1	
球	tɕʰiau2	
理	li2	
琉	liau2	
瑣	suɯ3	
琥	xu3	
琴	tɕʰiŋ2	
琵	pʰi2	
瓊	tɕʰyŋ2	
瑕	xa3	~货:次品
瑞	ʐuei5	
瑟	sɤʔ3/sɤ3	
璀	tsʰuei3	
璃	li2	
璧	piəʔ3	
瓜	kua1	
瓠	xu2	
瓢	pʰieu2	
瓣	paŋ5	
瓤	ʐɔ2	
瓦	va3	砚~
甌	au1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甑	tɕiŋ5	笼~
甘	kaŋ1	
甚	ʂeŋ5	
甜	tʰiaŋ2	
生	seŋ1	
甥	seŋ1	
用	iŋ5	
用	yŋ5	
甩	ʂuai3	
甩	ʂuʔ3/ʂu3	~打
甫	fu3	
田	tʰiaŋ2	
由	iau2	
甲	tɕiɑʔ3/tɕiɑ3	
申	ʂeŋ1	
電	tiaŋ5	
男	naŋ2	
畫	xua5	
界	tɕiai5	
畏	vei5	
畔	paŋ5	
留	liau2	
畜	ɕyəʔ3	
略	liɛʔ3/liɛ3	
畦	tɕʰi2	
畦	ɕi2	~子:菜地
番	faŋ1	
疆	tɕiɔ1	
疏	ʂu1	
疑	i2	
療	lieu2	
疝	ʂuaŋ5-	
疝	ʂaŋ5=	
瘧	niɛʔ3/niɛ3	
瘍	iɔ2	
瘍	iɔ3	
疤	pa1	
疥	tɕiai5	
疫	iəʔ3	
瘋	feŋ1	
疱	pau5	
疲	pʰi1	
疵	tsʰɿ1	
疹	tʂeŋ3	
疼	tʰeŋ2	
疾	tɕiəʔ3	
痂	tɕia1	
病	piŋ5	
症	tʂeŋ5	
癰	yŋ1	
痒	iɔ3	
痔	tʂʅ5	
痕	xeŋ2	
痘	tau5	
痛	tʰuŋ5	
痞	pʰi3	
痢	li5	
痣	tsɿ5	
痰	tʰuaŋ2-	
痱	fei5	
癡	tʂʰʅ1	
痹	pʰi1	
瘮	seŋ5	
瘊	xau1	
瘦	sau5	
瘸	tɕʰyɛ2	
癩	lai5	
癬	ɕiaŋ3	
癸	kʰuei1	
登	teŋ1	
白	piɛʔ3/piɛ3-	
白	pai2=	
皂	tseu5	
的	tiəʔ3	
皆	tɕiai1	
皇	xɔ2	
皖	vaŋ3	
皮	pʰi2	
皺	tsau5	
皴	tsʰuŋ1	
皿	miŋ3	
盂	y2	
盅	tʂuŋ1	
盆	pʰeŋ2	
盈	iŋ2	
益	iəʔ3	
盞	tsaŋ3	
鹽	iaŋ2	
監	tɕiaŋ1	
盒	xɤʔ3/xɤ3	
盔	kʰuei1	
盖	kai5	
盜	teu5	
盤	pʰaŋ2	
盛	tʂʰeŋ2	
盛	ʂeŋ5	
盟	meŋ2	
目	məʔ3	
直	tʂʰəʔ3-	
直	tʂəʔ3=	
相	ɕiɔ1	
相	ɕiɔ5	
盼	pʰaŋ5	
盾	tuŋ5	
省	seŋ3	
省	ɕiŋ3	
眉	mi2	~眼:脸
眊	mau3	
看	kʰaŋ1	
看	kʰaŋ5	
瞘	kʰau1	
真	tʂeŋ1	
眠	miaŋ2	
眨	tsaŋ3	~眼
眵	tsʰɿ1	
眶	tɕʰiɔ5-	
眶	kʰɔ1=	
眷	tɕyaŋ5	
眼	iaŋ3	
着	tʂɤʔ3/tʂɤ3	
睜	tseŋ1	
睡	ʂuei5	
督	tuəʔ3	
睦	məʔ3	
睬	tsʰai3	
瞅	tsʰau3	
瞎	xɑʔ3/xɑ3	
瞞	maŋ2	
瞧	tɕʰieu2	
瞪	teŋ5	
瞭	lieu5	
