#漢字	音標	解釋
□	yɛ1	手足痉挛
望	uaŋ5	
朝	tʂʰɔ2	~代
朝	tʂɔ1	今~
期	tɕʰi2	
木	mu5	
未	uei5	
末	mo5	
本	pən3	
札	tʂɤ1	
术	ʂu5	
朱	tʂu1	
朶	tuo3	
機	tɕi1	
朽	ɕiou3	
殺	ʂɤ1	
雜	tsa1	
權	tɕʰyæ1	
杈	tʂʰa1	
杉	ʂa1	
杌	u5	
李	li3	
材	tsʰai2	
村	tʂʰuən1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi3	
束	ʂu5	
條	tʰiɔ1	
來	lai1	
楊	iaŋ1	
杭	xaŋ1	
杯	pei1	
杰	ɕiɛ1	
杳	iɔ3	
杵	tʂʰu3	蒜杵
杷	pʰa1	枇~
松	suəŋ1	
板	pæ3	
極	tɕi1	
構	kou5	
枉	uaŋ3	
析	ɕi1	
枕	tʂən3	
枕	tʂən5	动词
林	liən1	
枚	mei1	
果	kuo3	
枝	tʂi2	
棗	tsɔ3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
枵	ɕiɔ1	
架	tɕia5	
柄	piəŋ5	
柏	pei1	
柑	kæ1	
染	ʐɤ3	
柔	ʐou1	
柚	iou5	
櫃	kuei5	
查	tʂʰa1	
柩	tɕiou5	
柬	tɕiæ3	
柱	tʂʰu3	
柳	liou3	
柺	kuai3	
柿	ʂʅ5	
梔	tʂi2	
栅	tʂa5	
棧	tʂæ5	
欄	læ1	
樹	ʂu5	
栓	ʂuæ1	
栖	ɕi1	
栗	li5	
校	tɕiɔ5	~对
校	ɕiɔ5	上~
校	ɕiɔ5	学~
株	tʂu1	
樣	iaŋ5	
核	xu1	
核	xɤ1	审~
根	kən1	
格	kɤ1	
栽	tsai1	
栿	fu1	
桂	kuei5	
桃	tʰɔ2	
桄	kuaŋ5	
桅	uei1	
案	ŋæ5	
桌	tʂuo1	
桐	tʰuəŋ1	
桑	saŋ1	
桓	xuæ1	
椏	ia1	
橋	tɕʰiɔ2	
樺	xua5	
槳	tɕiaŋ3	
桶	tʰuəŋ3	
梅	mei1	
梓	tsɿ3	
梢	ʂɔ1	
夢	məŋ5	
梧	u1	~桐
梨	li1	
梭	suo1	
梯	tʰi1	
械	tɕiɛ5	机~
梳	ʂu1	~头
棉	miæ1	
棋	tɕʰi2	
棌	tsʰai5	
棍	kuən5	
棒	paŋ5	
棕	tsuəŋ1	
棚	pʰəŋ1	
棠	tʰaŋ2	
棵	kʰɤ1	
棺	kuæ1	
椅	i3	
植	tʂi1	
橢	tʰuo3	~圆
椽	tʂʰuæ1	
椿	tʂʰuən1	
楞	ləŋ5	
楣	mei1	
楦	ɕyæ5	
樓	lou1	
樓	lɔ1	
概	kai5	
欖	læ3	
榆	y1	
榛	tʂən1	
榜	paŋ3	
榫	suən3	
榴	liou1	
榻	tʰa3	
槌	tʂʰuei1	
槐	xuai1	
檳	piən1	
槽	tsʰɔ1	马~
樟	tʂaŋ1	
模	mɤ1	~子
模	mɤ1	~范
橫	xəŋ1	
橫	xəŋ5	蛮~
櫻	iəŋ1	
樵	tɕiɔ2	
橄	kæ3	
橘	tɕy1	
橙	tʂʰəŋ1	
橡	ɕiaŋ5	
檀	tʰæ1	
檐	iæ1	
檁	liən3	
櫓	lu2	
欛	pa5	
欠	tɕʰiæ5	
次	tsʰɿ5	
歡	xuæ1	
欣	ɕiən1	
歐	ŋou1	
歐	ŋou3	
欲	y5	
欺	tɕʰi1	
款	kʰuæ3	
歇	ɕiɛ2	
歉	tɕʰiæ5	
歌	kɤ1	
止	tʂʅ3	
正	tʂəŋ5	
此	tsʰɿ3	
步	pu5	
歪	uai1	
死	sɿ3	
殲	tɕiæ1	
殃	iaŋ1	
殆	tʰai5	
殉	ɕyn5	
殊	ʂu1	
殘	tsʰæ1	
殮	liæ3	
殕	fu5	食上生白毛
殯	piən1	
段	tuæ5	
殷	iən1	
殿	tiæ5	
毁	xuei3	
毅	i5	
母	mɔ3	
每	mei3	
毒	tu1	
比	pi3	
畢	pi5	
斃	pi2	
毡	tʂæ1	
毫	xɔ1	
氏	ʂi5	
民	miən1	
水	ʂuei3	
永	yŋ1	
汀	tʰiəŋ1	
汁	tʂʅ2	
求	tɕʰiou2	
汆	tsʰuæ1	
汇	xuei2	
漢	xæ5	
汗	xæ5	
汝	ʐu1	
汞	kuəŋ3	
江	tɕiaŋ1	
池	tʂʰʅ1	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
沂	i1	
沃	o5	
沈	ʂən3	
沉	tʂʰən1	
沙	ʂa1	
沛	pʰei5	
溝	kou1	
没	mei1	~有
没	mo5	沉~
漚	ŋou5	
淪	luən1	
滬	xu5	
沫	mo5	
河	xɤ1	
油	iou1	
治	tʂʅ5	
沼	tʂɔ3	
沾	tʂæ1	
沿	iæ1	
泄	ɕiɛ5	
泅	tɕʰiou1	~水
泉	tɕʰyæ2	
泊	po1	
泊	pʰo1	梁山泊
泔	kæ1	~水
法	fa1	
泛	fæ5	
泡	pʰɔ5	
波	pɤ1	
泣	tɕʰi5	
泥	ni1	
注	tʂu5	
淚	luei5	
泰	tʰai5	
泳	yŋ3	
瀉	ɕiɛ5	
潑	pʰo1	
澤	tʂɔ3	
洋	iaŋ1	
洒	sa3	
洒	ʂai3	
洗	ɕi3	
洛	luo5	
洞	tuəŋ5	
津	tɕiən1	
洪	xuəŋ1	
洲	tʂou1	
活	xuo1	
洼	ua1	
派	pʰai5	
派	mei5	
流	liou1	
淺	tɕʰiæ3	
漿	tɕiaŋ1	
澆	tɕiɔ1	
測	tsʰɤ5	
渾	xuən1	
滸	xu3	
濃	nuəŋ1	
浙	tʂɤ5	
浚	ɕyn5	
浦	pʰu3	
浩	xɔ5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕiən5	
涂	tʰu1	
消	ɕiɔ1	
涉	ʂɤ5	
涌	yŋ3	
涎	ɕiæ1	
涕	tʰi5	
濤	tʰɔ2	
澇	lɔ5	
澗	tɕiæ5	
澀	ʂei1	
涮	ʂuæ1	
涯	ia1	
液	iɛ5	
淆	ɕiɔ1	
淋	liən1	
淑	ʂou2	
淘	tʰɔ2	
淡	tæ2	
淤	y1	
淫	iən1	
淮	xuai1	
深	ʂən1	
混	xuən5	
淹	iæ1	
添	tʰiæ1	
清	tɕʰiəŋ1	
淵	yæ1	
漸	tɕiæ5	
澠	miæ3	
漁	y1	
滲	ʂən5	
渠	tɕʰy2	
渡	tu5	
渣	tʂa1	
溫	uən1	
渴	kʰɤ3	
游	iou1	
渺	miɔ3	
湖	xu1	
湘	ɕiaŋ1	
灣	uæ1	
溼	ʂʅ2	
潰	kʰuei5	
濺	tɕiæ5	
溉	kai5	
源	yæ1	
溜	liou5	
溪	ɕi1	
溺	ni5	
溻	tʰa3	
滂	pʰaŋ1	
滋	tsɿ1	
滑	xua1	
滓	tʂʅ5	
滔	tʰɔ1	
滚	kuən1	
滯	tʂi2	
滿	mæ1	
濾	ly5	
灘	tʰæ1	
滴	ti1	
漂	pʰiɔ1	
漂	pʰiɔ5	
漆	tɕʰi1	
漏	lou5	
漏	lɔ5	
演	iæ3	
漤	læ1	
漫	mæ5	
漱	ʂou5	
潘	pʰæ1	
潛	tɕʰiæ1	
潭	tʰæ1	
潮	tʂʰɔ2	
潲	ʂɔ5	
澄	tʂʰəŋ1	
澄	təŋ5	
澡	tsɔ3	
激	tɕi1	
瀑	pʰu5	
灌	kuæ5	
火	xuo3	
滅	miɛ5	
燈	təŋ1	
灰	xuei1	
靈	liəŋ1	
灸	tɕiou3	
災	tsai1	
燦	tsʰæ5	
爐	lu1	
炊	tʂʰuei1	
炎	iæ1	
炒	tʂʰɔ3	
炕	kʰaŋ5	
炙	tʂi5	
炭	tʰæ5	
炮	pʰɔ5	
炸	tʂa1	
點	tiæ3	
爛	læ5	
烈	liɛ1	
烊	iaŋ1	
烘	xuəŋ1	
烙	luo5	
燭	tʂu1	
烟	iæ1	
烤	kʰɔ3	
煩	fæ1	
燒	ʂɔ1	
燙	tʰaŋ5	
熱	ʐɤ5	
烹	pʰəŋ1	
焉	iæ1	
煥	xuæ5	
焙	pei5	~干
焚	fuən2	
焯	tʂʰɔ1	
焰	iæ5	
然	ʐæ1	
煎	tɕiæ1	
煤	mei1	
照	tʂɔ5	
煮	tʂu3	
熄	ɕi1	
熊	ɕyŋ1	
熏	ɕyn1	
熙	ɕi1	
熝	ŋɔ1	
熟	ʂou1	
熥	tʰuəŋ1	
熨	yn5	
熬	ŋɔ1	~白菜
燃	ʐæ1	
燎	liɔ3	
燕	iæ1	~京
燕	iæ5	~子
爆	pɔ5	
爪	tʂua3	
爬	pʰa1	
愛	ŋai5	
爵	tɕyɛ1	
父	fu2	
爺	iɛ1	
爸	pa5	
爽	ʂuaŋ3	
片	pʰiæ5	
版	pæ3	
牌	pʰai1	
牘	tu1	
牒	tiɛ1	
牙	ia1	
牛	niou1	
牡	mɔ3	
牢	lɔ1	
牧	mu5	
牯	ku3	
牲	ʂəŋ1	
牽	tɕʰiæ1	
牸	tsɿ5	
特	tʰɤ1	
犧	ɕi1	
犀	ɕi1	
犁	li1	
犁	pʰa1	
犍	tɕiæ5	
犒	kʰɔ5	
犬	tɕʰyæ3	
犯	fæ5	
猶	iou1	
狂	kʰuaŋ2	
狄	ti1	
狐	xu1	
狗	kou3	
狡	tɕiɔ3	
獨	tu1	
狹	ɕia2	
獄	y5	
狸	li1	
狼	laŋ1	
獵	liɛ5	
猛	məŋ3	
猜	tsʰai1	
猝	tsʰu5	
豬	tʂu1	
豬	ʂɔ5	
猫	mɔ1	
獻	ɕiæ5	
猴	xou1	
獺	tʰa3	
玄	ɕyæ5	
率	ly5	
玉	y5	
王	uaŋ1	
玩	uæ1	
環	xuæ1	
璽	ɕi3	
玻	pɤ1	玻璃
珊	ʂæ1	
珍	tʂən1	
珠	tʂu1	
班	pæ1	
球	tɕʰiou2	
理	li3	
琉	liou1	
瑣	suo3	
琢	tʂuo1	
琴	tɕʰiən1	
琶	pʰa1	琵~
瓊	tɕʰyŋ1	
瑕	ɕia1	
瑞	ʐuei5	
璃	li1	
璧	pi5	
瓜	kuo1	
瓜	kua3	
瓠	xu1	
瓠	xu5	~瓜
瓢	pʰiɔ2	
瓣	pæ5	
瓤	ʐaŋ1	
瓦	ua5	动词
瓦	ua2	名词
瓮	uəŋ5	
甌	ŋou1	
瓶	pʰiəŋ1	
瓷	tsɿ2	
甘	kæ1	
甚	ʂən5	
甜	tʰiæ2	
生	ʂəŋ1	
甥	ʂəŋ1	
用	yŋ5	
甬	yŋ3	
田	tʰiæ1	
由	iou1	
甲	tɕia1	
申	ʂən2	
電	tiæ5	
男	næ1	
畫	xua5	
界	tɕiɛ5	
畏	uei5	
畜	tʂʰu5	
畜	ɕy5	
略	lyɛ5	
畦	ɕi2	菜~
番	fæ1	
疆	tɕiaŋ1	
疏	ʂu1	~远
疏	ʂu2	注~
疑	i1	
疝	ʂæ3	
瘍	iaŋ1	
疤	pa1	
疥	tɕiɛ5	
瘡	tʂʰuaŋ2	
瘋	fəŋ1	
疲	pʰi1	
疵	tsʰɿ1	
疹	tʂən3	
疼	tʰəŋ1	
疾	tɕi1	
痂	tɕia1	
病	piəŋ5	
症	tʂəŋ5	
癰	yŋ1	
痒	iaŋ3	
痔	tʂʅ5	
痕	xən1	
痛	tʰuəŋ5	
痢	li5	
痣	tʂʅ5	
痰	tʰæ2	
痳	ma1	
癡	tʂʰʅ1	
痹	pʰi5	
瘊	xou1	~子
瘟	uən1	
瘦	ʂou5	
瘰	luo3	
瘴	tʂaŋ5	
瘸	tɕʰyɛ1	~腿
癩	lai5	
癸	kuei3	
登	təŋ1	
白	pei2	
百	pei1	
皂	tsɔ5	
的	ti1	目~
皆	tɕiɛ1	
皇	xuaŋ1	
皖	uæ3	
皮	pʰi1	
皺	tʂou5	
皿	miən3	
盂	y1	
盅	tʂuəŋ1	
盆	pʰən2	
盈	iəŋ1	
益	i5	
盞	tʂæ3	
鹽	iæ1	
監	tɕiæ1	
盒	xɤ1	
盔	kʰuei1	
盖	kai5	
盜	tɔ5	
盛	tʂʰəŋ1	
盛	ʂəŋ5	兴~
盟	məŋ1	
盤	pʰæ1	
盬	ku3	~子
目	mu5	
盲	maŋ1	
直	tʂi1	
相	ɕiaŋ1	
相	tʂʰu3	
相	ɕiaŋ5	
盼	pʰæ5	
盾	tuən5	
省	ʂəŋ3	
省	ɕiəŋ3	
眉	mei1	
看	kʰæ5	
瞘	kʰou1	
眛	mei5	
真	tʂən1	
眠	miæ1	
眨	tʂa2	
眩	ɕyæ5	
眵	tʂʰi1	
眶	kʰuaŋ1	
眷	tɕyæ5	
眼	iæ3	
着	tʂɔ1	
着	tʂuo1	睡着
睜	tʂəŋ1	
睛	tɕiəŋ1	
睡	ʂuei5	
督	tu1	
瞎	ɕia1	
瞖	i5	目~
瞭	liɔ3	
瞳	tʰuəŋ1	
瞿	tɕʰy1	
矛	mɔ1	
矣	i3	
知	tʂʅ1	
知	tʂi1	
矩	tɕy2	
矯	tɕiɔ3	
矬	tsʰuo1	
短	tuæ3	
矮	ŋai3	
石	ʂi1	
礬	fæ1	
礦	kʰəŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰæ3	
砑	ia5	~平
研	iæ1	
磚	tʂuæ1	
硯	iæ1	
硯	iæ5	
破	pʰɤ1	
硃	tʂu1	
硝	ɕiɔ1	
硫	liou1	
硬	iəŋ5	
確	tɕʰyɛ5	
礙	ŋai5	
碎	suei5	
碑	pei1	
碓	tuei5	
碗	uæ3	
碟	tiɛ1	
碧	pi5	
磁	tsɿ2	
磕	kɤ1	
磨	mɤ1	~刀
磨	mɤ5	石~
磬	tɕʰiəŋ5	
磷	liən1	
礎	tʂʰu3	柱下石
礓	tɕiaŋ1	
示	ʂʅ5	
禮	li3	
祀	sɿ5	
祈	tɕʰi2	
祐	iou5	
祖	tsu3	
祝	tʂu5	
神	ʂən2	
祠	tsʰɿ1	
祥	ɕiaŋ1	
票	pʰiɔ5	
祭	tɕi1	
禱	tɔ3	
稟	piən3	
禁	tɕiən1	
禁	tɕiən5	
祿	lu5	
禪	tʂʰæ1	
禪	ʂæ5	
福	fu1	
禹	y3	
离	li1	
禽	tɕʰiən1	
禾	xɤ1	
秀	ɕiou5	
私	sɿ1	
秃	tʰu1	
秉	piəŋ3	
秋	tɕʰiou1	~天
秋	tɕʰiou1	~千
種	tʂʰuəŋ5	
科	kʰɤ1	
秒	miɔ3	
秕	pi3	
秘	mi5	
租	tsu1	
秤	tʂʰəŋ5	
秦	tɕʰiən1	
秧	iaŋ1	
秩	tʂi5	
秫	ʂu5	
積	tɕi1	
稱	tʂʰəŋ1	
稱	tʂʰəŋ5	相~
秸	tɕiɛ1	
移	i1	
穢	xuei5	
稀	ɕi1	
稆	ly3	野生
程	tʂʰəŋ1	
稍	ʂɔ1	
税	ʂuei5	
稚	tʂʅ5	
稠	tʂʰou2	
穩	uən3	
稻	tɔ5	
稼	tɕia5	
稽	ɕi1	
稿	kɔ3	
穄	tɕi1	
穆	mu5	
穗	suei5	
穴	ɕyɛ1	
究	tɕiou5	
穹	tɕʰyŋ1	
空	kʰuəŋ1	~虚
空	kʰuəŋ5	~缺
穿	tʂʰuæ1	
突	tʰu1	
窄	tsai2	
窄	tʂei3	
竅	tɕʰiɔ5	
窯	iɔ1	
窗	tʂʰuaŋ2	
窘	tɕyŋ3	
竄	tsʰuæ5	
窩	uo1	
窟	kʰu1	
窠	kʰɤ1	
窨	iən5	
立	li5	
豎	ʂu5	
站	tʂæ5	
競	tɕiəŋ5	
竟	tɕiəŋ5	
章	tʂaŋ1	
童	tʰuəŋ1	
端	tuæ1	
竹	tʂu1	
竿	kæ1	
篤	tu3	
笊	tʂɔ5	~篱
笑	ɕiɔ5	
筆	pi3	
筧	tɕiæ3	
笙	ʂəŋ1	
笛	ti1	
笠	li5	
笡	tɕʰiɛ5	
符	fu1	
笨	pən5	
第	ti5	
箋	tɕiæ5	
等	təŋ3	
筋	tɕiən1	
筏	fa1	
筐	kʰuaŋ1	
筑	tʂu5	
筒	tʰuəŋ1	
策	tsʰɤ5	
篩	ʂai1	
箏	tʂəŋ1	
筵	iæ1	
筷	kʰuai5	
籌	tʂʰou2	
签	tɕʰiæ1	
簡	tɕiæ3	
箅	pi5	~子
箍	ku1	
管	kuæ3	
籮	luo1	
簫	ɕiɔ1	
箭	tɕiæ5	
箱	ɕiaŋ1	
箸	tʂu5	筷子
篅	tʂʰuæ1	
篆	tʂuæ5	
篇	pʰiæ1	
簍	lou1	
篙	kɔ1	
篡	tsʰuæ5	
籃	læ1	
籬	li1	
篷	pʰəŋ1	
簟	tiæ5	席
簧	xuaŋ1	
簪	tsæ1	
簪	tsən1	
簸	pɤ3	簸一簸
簸	pɤ5	簸箕
簿	pu2	
籍	tɕi1	
米	mi3	
糴	tiɛ1	
類	luei5	
粒	li5	
粗	tsʰu1	
粘	tʂæ1	
糶	tʰiɔ5	~米
粟	su5	
粤	yɛ5	
粥	tʂou2	
糧	liaŋ1	
粳	tɕiəŋ1	
粹	tsʰuei5	
糉	tsuəŋ5	
精	tɕiəŋ1	
糍	tsʰɿ1	
糕	kɔ1	
糖	tʰaŋ2	
糗	tɕʰiou1	
糙	tsʰɔ1	
糟	tsɔ1	
糠	kʰaŋ1	
糯	nuo5	
系	tɕi5	~鞋带
系	ɕi5	联~
素	su5	
索	suo3	
紫	tsɿ3	
累	luei5	
累	luei3	~积
絮	ɕy5	
繁	fæ1	
纂	tsuæ5	
糾	tɕiou1	
紅	xuəŋ1	
紂	tʂou5	
約	yɛ1	
級	tɕi1	
紀	tɕi3	
紉	ʐən1	
純	tʂʰuən1	
紗	ʂa1	
綱	kaŋ1	
納	na5	
縱	tsuəŋ5	
紛	fuən1	
紙	tʂi3	
紋	uən1	
紡	faŋ3	
紐	niou3	
線	ɕiæ5	
練	liæ5	
組	tsu3	
細	ɕi5	
織	tʂi1	
織	suo1	
終	tʂuəŋ1	
縐	tʂou5	
絆	pæ5	
紹	ʂɔ5	
經	tɕiəŋ1	
綁	paŋ3	
絨	ʐuəŋ1	
繞	ʐɔ5	~线
繞	ʐɔ3	围~
繪	xuei5	
給	tɕi1	
絡	luo5	
絶	tɕyɛ1	
絞	tɕiɔ3	
統	tʰuəŋ3	
絹	tɕyæ5	
繡	ɕiou5	
綏	suei1	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	tɕy5	
續	ɕy5	
綽	tʂʰuo5	
繩	ʂəŋ1	
維	uei1	
綿	miæ1	
綢	tʂʰou2	
綜	tsuəŋ1	
綻	tʂæ5	
綠	ly5	
綴	tsuei5	
緬	miæ3	
緝	tɕi5	
緞	tuæ5	
緩	xuæ3	
縷	ly3	
編	piæ1	
緣	yæ1	
縫	fəŋ2	
纏	tʂʰæ1	
縊	i5	
纓	iəŋ1	
縮	suo1	
繮	tɕiaŋ1	
繰	tɕʰiɔ1	~边儿
繳	tɕiɔ3	
缸	kaŋ1	
缺	tɕʰyɛ1	
罐	kuæ5	
网	uaŋ3	
罕	xæ3	
羅	luo1	
罰	fa1	
罷	pa5	
罩	tʂɔ5	
罪	tsʰuei5	
署	ʂu3	专~
羊	iaŋ1	
羌	tɕʰiaŋ1	
美	mei3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕiæ5	
群	tɕʰyn1	
羶	ʂæ1	
羹	kəŋ1	
羽	y3	
翁	uəŋ1	
翅	tʂʰi5	
翎	liən1	
翠	tsʰuei5	
翡	fuei3	
翰	xæ5	
翳	i5	
翻	fæ1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂɤ3	
而	ɚ1	
耍	ʂua3	
耐	nai5	
耕	kəŋ1	
耙	pʰa1	
耬	lɔ1	
耩	tɕiaŋ3	
耳	ɚ1	
耶	iɛ1	
耻	tʂʰʅ3	
耽	tæ1	
耿	kəŋ3	
聶	niɛ5	
聊	liɔ1	
聾	luəŋ1	
職	tʂi1	
聒	kuo1	
聯	liæ1	
聚	tɕy2	
聰	tsʰuəŋ2	
肅	su5	
肆	sɿ5	
肉	ʐou5	
肋	lei1	
肌	tɕi1	
肘	tʂou3	
肚	tu5	~子
肚	tu3	鱼~
肝	kæ1	
腸	tʂʰaŋ1	
股	ku3	
肢	tʂi2	
膚	fu1	
肥	fuei2	
肩	tɕiæ1	
肪	faŋ1	
骯	aŋ1	
肯	kʰən3	
育	y5	
肴	iɔ1	
肺	fuei5	
腎	ʂən5	
脅	ɕiɛ1	
胃	uei5	
膽	tæ3	
背	pei5	
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	~胎
胛	tɕia1	肩~
勝	ʂəŋ5	
胞	pɔ1	
胡	xu2	
胳	kɤ5	
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ1	
脆	tsʰuei5	
脊	tɕi1	
脏	tsaŋ1	
脏	tsaŋ5	
臍	tɕʰi2	
腦	nɔ3	
膿	nuəŋ1	
脚	tɕyɛ1	
脯	pʰu2	杏~
脱	tʰuo1	
腡	luo1	手指纹
臉	liæ3	
脾	pʰi1	
腆	tiæ5	
臘	la5	
腋	iɛ5	
腌	iæ1	
腐	fu2	
腑	fu2	
腔	tɕʰiaŋ1	
腕	uæ5	
腥	ɕiəŋ1	
腮	sai1	
腱	tɕiæ5	
腹	fu5	
膩	ni5	
騰	tʰəŋ1	
腿	tʰuei3	
膏	kɔ1	
膏	kɔ5	~油
膘	piɔ1	
膜	mo1	
膝	ɕi1	
膨	pʰəŋ1	
膳	ʂæ5	
臊	sɔ5	
臣	tʂʰən1	
自	tsɿ5	
臭	tʂʰou5	
至	tʂʅ5	
臻	tʂən1	
臼	tɕiou5	
舀	iɔ3	~水
舁	y1	
舂	tʂʰuəŋ1	
舅	tɕiou5	
舌	ʂɤ1	
舍	ʂɤ3	
舍	ʂɤ5	宿~
舒	ʂu1	
舟	tʂou1	
航	xaŋ1	
般	pæ1	
艦	tɕiæ5	
舵	tʰuo2	
船	tʂʰuæ2	
艇	tʰiəŋ3	
良	liaŋ1	
艱	tɕiæ1	
色	ʂei1	
豔	iæ5	
藝	i5	
艾	ŋai5	
芋	y5	
芍	ʂɔ1	
芒	maŋ1	
芙	fu1	
芝	tʂʅ1	
蘆	lu1	
芬	fuən1	
芭	pa1	
芮	ʐuei5	
花	xua1	
芹	tɕʰiən1	
芽	ia1	
葦	uei3	
莧	ɕiæ5	
蒼	tsʰaŋ1	
苏	su1	
苔	tʰai2	舌~
苗	miɔ1	
苟	kou3	
苦	kʰu3	
英	iəŋ1	
苶	niɛ1	
茂	mɔ5	
范	fæ5	
茄	tɕʰiɛ2	
茅	mɔ1	
莖	tɕiəŋ1	
荔	li5	
茫	maŋ1	
茬	tʂʰa1	
茴	xuei2	
茶	tʂʰa2	
茸	ʐuəŋ1	
荀	ɕyn1	
荆	tɕiəŋ1	
草	tsʰɔ3	
薦	tɕiæ5	
荒	xuaŋ1	
蕎	tɕʰiɔ2	
蕩	taŋ5	
榮	yŋ1	
葷	xuən1	
蔭	iən5	
藥	yɛ1	
荷	xɤ1	~花
荷	xɤ5	薄~
莝	tsʰuo5	~草，切碎的草
莠	iou5	
莫	mo5	
获	xuo5	
瑩	iəŋ1	
鶯	iəŋ1	
蓴	tʂʰuən1	
莽	maŋ3	
菊	tɕy1	
菌	tɕyn3	
菖	tʂʰaŋ1	
菜	tsʰai5	
菠	pɤ1	~菜
菢	pɔ5	~小鸡
菩	pʰu2	
菱	liəŋ1	
萄	tʰɔ2	
萌	məŋ1	
萍	pʰiəŋ1	
營	iəŋ1	
蕭	ɕiɔ1	
落	luo5	
著	tʂu5	显~
葚	ʂən5	
葛	kɤ1	
董	tuəŋ3	
葱	tsʰuəŋ2	
蔣	tɕiaŋ3	
蒙	məŋ1	
蒜	suæ5	
蒲	pʰu2	
蒸	tʂəŋ1	
蓄	ɕy5	
蓉	ʐuəŋ1	
蓑	suo1	
蓖	pi5	~麻
藍	læ1	
蓬	pʰəŋ1	
蔓	uæ5	
蔗	tʂɤ5	
蔡	tsʰai5	
蔫	niæ1	
蔬	ʂu1	
藏	tsaŋ5	
藹	ŋai5	
蔽	pi5	
蕊	ʐuei5	
薄	po1	
薄	pɤ5	~荷
薛	ɕyɛ1	
薪	ɕiən1	
薯	ʂu3	
薰	ɕyn1	
藉	tɕi1	
藉	tɕiɛ5	
藋	tiɔ5	灰~菜
藏	tsʰaŋ1	藏起来
藏	tsaŋ5	西藏
藐	miɔ3	
蘚	ɕiæ3	
藕	ou3	
藤	tʰəŋ1	
藩	fæ1	
藿	xuo5	
蘸	tʂʰæ5	
虎	xu3	
虜	lu2	
虐	nyɛ5	
慮	ly5	
虔	tɕʰiæ1	
虚	ɕy1	
虞	y1	
蟲	tʂʰuəŋ1	
虱	ʂi1	
虹	xuəŋ1	
虹	tɕiaŋ5	
虻	məŋ1	
雖	suei1	
蝕	ʂi1	
蚌	paŋ3	
蠶	tsʰæ2	
蚣	kuəŋ1	
蚤	tsɔ3	
蚶	xæ1	
蛀	tʂu5	
蛆	tɕʰy1	
蛇	ʂɤ2	
蛋	tæ5	
蛙	ua1	
蛛	tʂu1	
蛟	tɕiɔ2	
蛤	kɤ1	
蠻	mæ1	
蟄	tʂɤ1	
蟄	tʂɤ2	
蛾	ŋɤ1	
蜀	ʂu3	
蜂	fəŋ1	
蜈	u1	~蚣
蜋	laŋ1	
蜓	tʰiəŋ1	
蜕	tʰuei5	
蝸	uo1	蜗拉牛子
蜘	tʂʅ1	
蜜	mi5	
蠟	la5	
蠅	iəŋ1	
蠍	ɕiɛ2	
蝗	xuaŋ1	
蝙	piæ1	
蝠	fu1	
蝦	ɕia1	
螃	pʰaŋ2	
融	ʐuəŋ1	
螳	tʰaŋ2	
螺	luo1	~蛳
蟆	ma1	蛤~
蟒	maŋ3	
蟢	ɕi3	
蟹	ɕiɛ5	
蠓	məŋ1	
蠢	tʂʰuən3	
血	ɕyɛ1	
行	xaŋ1	行列
銜	ɕiæ1	
街	tɕiɛ1	
衙	ia1	
衣	i1	
補	pu3	
表	piɔ3	
衫	ʂæ1	
襯	tʂʰən5	
衰	ʂuei1	
袁	yæ1	
袋	tai5	
袍	pʰɔ1	
袖	ɕiou5	
袜	ua5	
被	pei3	~子
被	pei5	~打
襲	ɕi1	
裁	tsʰai2	
裂	liɛ1	
裝	tʂuaŋ1	
裌	tɕia1	
裕	y5	
裙	tɕʰyn1	
褲	kʰu3	
襇	tɕiæ3	
裳	ʂaŋ1	
裴	pʰei2	
裸	luo3	
裹	kuo3	
褒	pɔ1	
褚	tʂʰu3	姓
褪	tʰuei5	
褯	tɕiɛ5	~子
褶	tʂɤ1	
襄	ɕiaŋ1	
襟	tɕiən1	
襦	ʐu5	
襻	pʰæ5	
西	ɕi1	
要	iɔ2	
要	iɔ5	想~
覆	fu5	
觀	kuæ1	
規	kuei1	
覓	mi5	
視	ʂʅ5	
覽	læ3	
覺	tɕiɔ5	睡~
覺	tɕyɛ1	知觉
角	tɕia1	
解	xai5	
解	tɕiɛ3	~开
觸	tʂʰu5	
言	iæ1	
譽	y5	
謄	tʰəŋ1	
誓	ʂi5	
警	tɕiəŋ3	
譬	pʰi5	
計	tɕi5	
訂	tiəŋ5	
訃	fu5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐaŋ5	
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
許	ɕy2	
訛	ŋɤ1	
訟	suəŋ5	
諷	fəŋ3	
訪	faŋ3	
訣	tɕyɛ1	
证	tʂəŋ5	
評	pʰiəŋ1	
識	ʂi1	
訴	su5	
