#漢字	音標	解釋#('cmn_jh_hc_ydxx', '鹽都西鄉話', '鹽都西鄉', '#800080', None, None, '更新：2022-01-11<br>來源：osfans整理鹽都西鄉（大縱湖、秦南）口音', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,443 3 2 上 ꜂,,35 5 3 去 ꜄,,4 7 4 入 ꜆')
謠	iɔ2	
謬	miɤɯ5	
謹	tɕiən3	
證	tsən5	
譏	tɕi1	
識	səʔ7	
譚	tʰɛ̃2	
譜	pʰu3	
譟	tsʰɔ1	叫
警	tɕiən3	
譬	pʰiəʔ7	
譭	xuɪ3	
議	i5	
護	xəu1-	～短
護	xəu5=	～士
譽	y5	
讀	tɔʔ7	
變	pɪ̃5	
讎	tsʰɤɯ2	
讒	tsʰɛ̃2	
讓	læ̃1-	
讓	iæ̃1-	～我來
讓	læ̃5=	
讚	tsɛ̃5	
谷	kɔʔ7	
豁	xoʔ7	
豆	tɤɯ5	
豇	kæ̃1	-豆
豈	tɕʰi3	
豉	tsʰɿ2	豆～
豌	õ1	
豎	səu1	
豐	fɔŋ1	
豔	iɪ̃5	
豕	sɿ3	
豚	tʰən2	
象	ɕiæ̃5	
豫	y5	
豬	tsəu1	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貓	mɔ2	
貝	pɪ5	
貞	tsən1	
負	fv5	
財	tsʰɛ2	
貢	kɔŋ5	
貧	pʰiən2	
貨	xo5	
販	fɛ̃5	
貪	tʰɛ̃1	
貫	kõ5	
責	tsəʔ7	
貳	ɔ1	
貴	kuɪ5	
貶	pɪ̃3	
買	mɛ3	
貸	tɛ5	
費	fɪ5	
貿	mo5	
賀	xo5	
賃	liən5	
賄	xuɪ5	
資	tsɿ1	
賈	tɕia3	姓
賊	tsəʔ7	
賒	sɪ1	
賓	piən1	
賙	tsɤɯ1	
賞	sæ̃3	
賠	pʰɪ2	
賢	ɕiɪ̃2	
賣	mɛ1	
賤	tɕiɪ̃5	
賦	fv5	
質	tsəʔ7	
賬	tsæ̃5	
賭	təu3	
賴	lɛ1	
賺	tɕyɛ̃5	
購	kɤɯ1	
賽	sɛ5	
贅	tɕyɪ5	
贈	tsən5	
贊	tsɛ̃5	
贓	tsæ̃1	
贖	sɔʔ7	
赤	tsʰəʔ7	
赦	sɪ5	
赫	xəʔ7	
走	tsɤɯ3	
赴	fv5	
起	tɕʰi3	
赸	ɕyɛ̃1	追
趁	tsʰən5	
超	tsʰɔ1	
越	yoʔ7	
趕	kõ3-	～車子：推車
趕	kɛ̃3=	
趟	tʰæ̃5	
趣	tɕʰy5	
趨	tɕʰy1	
足	tsɔʔ7	
趾	tsɿ3	
趾	tsəʔ7	
跌	tiəʔ7	
跑	pʰɔ2-	
跑	pʰɔ3=	
跛	po3	
距	tɕy5	
跟	kən1	
跡	tɕiəʔ7	
跧	tɕyɛ̃1	彎（腰）
跨	kʰua5	
跩	tɕyɛ2	驕傲自滿狀
跪	kʰuɪ1-	
跪	kuɪ5=	
路	ləu1	
跳	tʰiɔ5	
踏	tʰæʔ7	
踢	tʰiəʔ7	
踩	tsʰɛ3	
踮	tɪ̃5	
踱	tæʔ7	
踹	tɕʰyɛ5	
蹄	tɕʰi2	
蹓	liɤɯ1	
蹟	tɕiəʔ7	
蹤	tsɔŋ1	
蹭	tsʰən5	
蹲	sən2-	
蹲	tən1	
蹺	tɕʰiɔ1	
躁	tsɔ5	
躍	iæʔ7	
躡	niəʔ7	
身	sən1	
躬	kɔŋ1	
躲	to3	
躺	tʰæ̃3	
車	tɕy1	
車	tsʰɪ1	
軋	kæʔ7-	～花
軋	tsæʔ7=	
軌	kuɪ3	
軍	tɕyən1	
軒	ɕyõ1	
軛	əʔ7	
軟	lõ3	
軸	tsʰɔʔ7	
較	tɕiɔ5	
載	tsɛ3	
載	tsɛ5	超～
輓	vɛ̃3	
輔	fv3	
輕	tɕʰiən1	
輛	liæ̃3	
輜	tsɿ1	
輝	xuɪ1	
輞	væ̃3	
輦	nɪ̃3	
輩	pɪ5	
輪	lən2	
輯	tɕiəʔ7	
輸	səu1	
轄	ɕiæʔ7	
轅	yõ2	
轉	tsõ3	
轉	tsõ5	
轍	tsiəʔ7	
轎	tɕʰiɔ1-	
轎	tɕiɔ5=	
轟	xɔŋ1	
轡	pʰɪ5	
辣	læʔ7	
辦	pʰɛ̃1-	忙不～：很忙
辦	pɛ̃5	
辦	pɪ̃5	
辦	pɛ̃5=	
辨	pɪ̃5	
辭	tsʰɿ2	
辮	pɪ̃1	
辯	pɪ̃5	
辰	tsʰən2	
辱	lɔʔ7	
農	nɔŋ2	
迂	y1	
迄	tɕʰiəʔ7	
迎	iən2	
近	tɕiən5	
返	fɛ̃3	
迥	tɕiɔŋ3	
迫	pʰɔʔ7	
述	ɕyəʔ7	
迴	xuɪ2	
迷	mɪ2	
追	tɕyɪ1	
退	tʰɪ5	
送	sɔŋ5	
逃	tʰɔ2	
透	tʰɤɯ5	
逐	tsɔʔ7	
途	tʰəu2	
逗	tɤɯ5	
這	tsəʔ7	
通	tʰɔŋ1	
逛	kuæ̃5	
逝	sɿ5	
逞	tsʰən3	
速	sɔʔ7	
造	tsʰɔ5	
逢	fɔŋ2	
連	lɪ̃2	
週	tsɤɯ1	
進	tɕiən5	
逵	kʰuɪ2	
逸	iəʔ7	
逼	piəʔ7	
逾	y2	
遁	tən5	
遂	tɕʰy1	不順～：不吉利
遇	y1	
遊	iɤɯ2	
運	yən5	
遍	pɪ̃5	
過	ko1-	
過	ko5=	
遐	ɕia2	
道	tɔ5	
達	tæʔ7	
違	vɪ2	
遥	iɔ2	
遛	liɤɯ5	～狗
遜	ɕyən5	
遞	tɕʰi5	
遠	yõ3	
遢	tʰæʔ7	
遣	tɕʰiɪ̃3	
適	səʔ7	
遭	tsɔ1	
遮	tsa1	
遲	tsʰɿ2	
遵	tɕyən1	
遷	tɕʰiɪ̃1	
選	ɕyɛ̃3	挑選
選	ɕyõ3	
遺	i2	
遺	lɛ2?	～尿
遼	liɔ2	
避	pɪ5	
邀	iɔ1	
邁	mɛ5	
還	xɛ2	
還	xuɛ̃2	動詞
邊	pɪ̃1	
邋	læʔ7	
邢	ɕiən2	姓
那	loʔ7-	
那	ləʔ7	～塊、～邊
邦	pæ̃1	
邪	tɕʰia2	別～氣
邳	pʰi3	
邵	sɔ5	
郊	tɕiɔ1	
郎	læ̃2	
郝	xæʔ7	
郡	tɕyən5	
部	pu5	
郭	kuæʔ7	
郵	iɤɯ2	
都	to1	全部
都	təu1	首～
鄂	næʔ7	
鄉	ɕiæ̃1	
鄒	tsɤɯ1	
鄙	pi3	
鄧	tən5	
鄭	tsən5	
鄰	liən1	
酉	iɤɯ5	
酌	tsæʔ7	
配	pʰɪ5	
酒	tɕiɤɯ3	
酣	xɛ̃1	
酥	səu1	
酪	lɔ5	
酬	tsʰɤɯ2	
酷	kʰɔʔ7	
酸	sõ1	
醃	iɪ̃1	
醇	tɕʰyən2	
醉	tɕyɪ5	
醋	tsʰəu5	
醒	ɕiən3	
醜	tsʰɤɯ3	
醫	i1	
醬	tɕiæ̃5	
醮	tɕiɔ5	
釀	niæ̃5	
釁	ɕiən5	
釉	iɤɯ5	
釋	səʔ7	
里	li3	
里	lɪ3	
重	tsʰɔŋ1-	
重	tsʰɔŋ2	
重	tsɔŋ5=	
野	ia3	
量	liæ̃2	
量	liæ̃5	
釐	li2	
金	tɕiən1	
釘	tiən1	
釘	tiən5	
釜	fv3	
針	tsən1	
釣	tiɔ5	
釦	kʰɤɯ5	
釵	tsʰɛ1	
鈀	pʰa2	
鈍	tʰən1-	
鈍	tən5=	
鈞	tɕyən1	
鈡	tsɔŋ1	
鈣	kɛ5	
鈴	liən2	
鉆	tsõ1	
鉆	tsõ5	
鉗	tɕʰiɪ̃2	
鉚	mɔ3	
鉛	kʰɛ̃1	
鉢	poʔ7	
鉤	kɤɯ1	
銀	iən2	
銃	tsʰɔŋ5	
銅	tʰɔŋ2	
銘	miən2	
銜	xɛ̃2	
銳	lɪ5	
銷	ɕiɔ1	
銼	tsʰo5	
鋒	fɔŋ1	
鋤	tsʰəu2	
鋦	tɕiɔʔ7	
鋪	pʰu1	動詞
鋪	pʰu5	名詞
鋪	fv5	
鋸	tɕy5	
鋼	kæ̃1	
錐	tɕyɪ1	
錘	tɕʰyɪ2	
錠	tiən5	
錢	tɕʰiɪ̃2	
錦	tɕiən3	
錨	mɔ2	
錫	ɕiəʔ7	
錮	kəu5	
錯	tsʰo5	
錯	tsʰæʔ7	～過機會
錶	piɔ3	
鍁	ɕiɪ̃1	
鍊	lɪ̃5	
鍋	ko1	
鍍	təu5	
鍘	tsæʔ7	
鍛	tõ5	
鍬	tɕʰiɔ1	
鍬	tɕyoʔ7	
鍼	tsən1	
鍾	tsɔŋ1	
鎌	lɪ̃2	
鎔	iɔŋ2	
鎖	so3	
鎮	tsən1+	壓
鎮	tsən5	鄉～
鏇	ɕyõ2	
鏇	ɕyõ5	
鏊	ɔ5	
鏟	tsʰɛ̃3	
鏡	tɕiən5	
鏨	tsɛ̃5	
鏽	ɕiɤɯ5	
鐃	nɔ2	
鐘	tsɔŋ1	
鐧	kɛ̃5	～子：戒指
鐮	lɪ̃2	
鐲	tɕyæʔ7	
鐵	tʰiəʔ7	
鐺	tsʰən1	
鑄	tsəu5	
鑊	xuæʔ7	
鑢	ly1	繩子太細，～得手疼
鑰	iæʔ7	
鑲	ɕiæ̃1	
鑷	niəʔ7	
鑼	lo2	
鑽	tsõ1	
鑽	tsõ5	
鑿	tsæʔ7	
長	tsʰæ̃2	
長	tsæ̃3	
門	mən2	
閂	ɕyɛ̃1	
閃	sɪ̃3	
閉	pi5	
開	kʰɛ1	
閏	lən1	
閑	xɛ̃2-	多管～事
閑	ɕiɛ̃2=	
閒	xɛ̃2-	多管～事
閒	ɕiɛ̃2=	
間	kɛ̃3+	中～
間	kɛ̃1-	房～
間	kɛ̃5	間隔：～一天
間	tɕiɛ̃1=	時～
間	tɕiɛ̃5=	
間	kuɛ̃1?	麥～子：麥稈兒中間的一段
閘	tsʰæʔ7-	
閘	tsæʔ7=	
閣	kəʔ7	
閤	xoʔ7	
閨	kuɪ1	
閩	miən3	
閱	yoʔ7	
閹	iɪ̃1	
閻	iɪ̃2	
闆	pɛ̃3	
闊	kʰuæʔ7	
闊	kʰoʔ7	
闖	tɕʰyæ̃3	
關	kuɛ̃1	
阜	fv5	
阮	lõ3	
防	fæ̃2	
阻	tsəu3	
阿	o1	～膠、～彌陀佛
阿	æʔ7	
陀	tʰo2	捻～子：線陀螺
附	fv5	
陋	lɤɯ5	
陌	mæʔ7	～生
降	tɕʰiæ̃2	投～
降	tɕiæ̃5	
限	xɛ̃1-	不～定
限	ɕiɛ̃5=	
陛	pɪ5	
陝	sɪ̃3	
陡	tɤɯ3	
院	yõ1-	～牆：圍牆
院	yõ5=	醫～
陣	tsʰən1-	一～雨
陣	tsən5	
除	tsʰəu2	
陪	pʰɪ2	
陰	iən1	
陳	tsʰən2	
陵	liən2	
陶	tʰɔ2	
陷	xɛ̃1-	
陷	ɕiɛ̃5=	
陸	lɔʔ7	
陽	iæ̃2	
隆	lɔŋ2	
隊	tɪ5	
階	tɕiɛ1	
隑	kʰɛ5	倚；推諉
隔	kəʔ7	
隘	ɛ5	
際	tɕi5	
障	tsæ̃5	
隨	tɕʰyɪ2-	
隨	ɕyɪ2-	
隱	iən3	
隴	lɔŋ3	
隸	li5	
隻	tsəʔ7	
雀	tɕʰiæʔ7	
雁	ɛ̃1	
雄	ɕiɔŋ2	
雅	ia3	
集	tɕiəʔ7	
雉	tsɿ5	
雌	tsʰɿ1	
雍	iɔŋ1	
雕	tiɔ1	
雖	ɕyɪ1	
雙	ɕyæ̃2+	數數時“兩個”叫“一～”
雙	ɕyæ̃1	
雛	tsʰəu2	
雜	tsæʔ7	
雞	tɕi1	
離	li2	
難	nɛ̃2	
難	nɛ̃5	
雨	y3	
雪	ɕyoʔ7	
雪	ɕyoʔ7	非常
雲	yən2	
零	liən2	
雷	lɪ2	
雹	pæʔ7	冰～
需	ɕy1	
霄	ɕiɔ1	
震	tsən5	
霍	xuæʔ7	
霑	tsɪ̃1	
霜	ɕyæ̃1	
霞	ɕia2	
霧	əu5	
露	ləu1-	
露	ləu5=	
霸	pa5	
靈	liən2	
青	tɕʰiən1	
靖	tɕiən5	
靜	tɕiən5	
非	fɪ1	
靠	kʰɔ5	
靡	mɪ2	
面	mɪ̃1	～子
靨	iəʔ7	
革	kəʔ7	
靴	ɕya1	
靸	sæʔ7	搭～子：拖鞋
鞋	xɛ2	
鞍	ɛ̃1	
鞏	kɔŋ3	
鞘	tɕʰiɔ5	
鞦	tɕʰiɤɯ1	
鞭	pɪ̃1	
韆	tɕʰiɪ̃1	
韋	vɪ2	
韌	lən5	
韓	xɛ̃2	
韭	tɕiɤɯ3	
音	iən1	
韶	sɔ2	～關
韻	yən5	
響	ɕiæ̃3	
頂	tiən3	
項	kʰæ̃1+	頸～
項	xæ̃1-	～圈
項	ɕiæ̃5=	～目
順	ɕyən1-	
順	ɕyən5=	
須	ɕy1	
頌	sɔŋ5	
預	y5	
頑	vɛ̃2	
頒	pɛ̃1	
頓	tən5	
頗	pʰo1	
領	liən3	
頭	tʰɤɯ2	
頸	tɕiən3	
頹	tʰɪ2	
頻	pʰiən2	
顆	kʰo1	
顉	kʰən1	低頭
題	tɕʰi2	
額	əʔ7	
顏	ɛ̃2	
願	yõ1-	
願	yõ5=	
顛	tɪ̃1	
類	lɪ5	
類	lɪ̃5	
顧	kəu5	
顯	ɕiɪ̃3	
顴	tɕʰyõ2	
風	fɔŋ1	
颱	tʰɛ2	
颳	kuæʔ7	
颼	sɤɯ1	
飄	pʰiɔ1	
飛	fɪ1	
食	səʔ7	
飢	tɕi1	
飩	tən	
飭	tsʰəʔ7	
飯	fɛ̃1	
飲	iən3	
飴	i2	
飼	sɿ1	
飼	sɿ5	
飽	pɔ3	
飾	səʔ7	
餃	tɕiɔ3	
餅	piən3	
餈	tsʰɿ2	
餈	tsʰɿ2	～粑
餉	ɕiæ̃3	
養	tɕʰiɔ2	
養	iæ̃3	
餌	ɔ3	
餐	tsʰɛ̃1	
餑	pʰəʔ7	
餓	o1	
餘	y2	
餚	iɔ2	
餛	xuən2	
餜	ko3	
餞	tɕiɪ̃5	
餡	xɛ̃5-	～心
餡	ɕiɛ̃5=	
館	kõ3	
餵	vɪ5	
餾	liɤɯ2	
餿	sɤɯ1	
饅	mõ2	
饐	i2	條粉、麪條等菜變質
饑	tɕi1	
饒	lɔ2	
饞	tsʰɛ̃2	
首	sɤɯ3	
香	ɕiæ̃1	
馨	ɕiən1	
馬	ma1	～虎
馬	ma3	
馮	fɔŋ2	
馱	tʰo2	
馳	tsʰɿ2	
駁	pæʔ7	
駒	tɕy1	
駕	tɕia5	
駛	sɿ3	
駝	tʰo2	
駟	sɿ5	
駭	xɛ5	
駱	læʔ7	
騎	tɕʰi2	
騙	pʰɪ̃5	
騰	tʰən2	
騲	tsʰɔ3	
騷	sɔ1	
騸	sɪ̃5	
騾	lo2	
驅	tɕʰy1	
驏	tsʰɛ̃3	～穿：外邊不再罩外套
驕	tɕiɔ1	
驚	tɕiən1	
驟	tsɤɯ5	
驢	ly2	
骨	kuəʔ7	
骯	æ̃1	
髒	tsæ̃1	
髓	ɕyɪ2	
體	tɕʰi3	
高	kɔ1	
髮	fæʔ7	
鬃	tsɔŋ1	
鬆	sɔŋ1	
鬍	xəu2	
鬏	tɕiɤɯ1	
鬚	ɕy1	
鬢	piən5	
鬥	tɤɯ1	打
鬥	tɤɯ5	
鬧	nɔ5	
鬨	xɔŋ3	
鬮	tɕiɤɯ1	
鬱	iɔʔ7	
鬱	iɔʔ7	堆積
鬼	kuɪ3	
魁	kʰuɪ2	
魂	xuən2	
魄	pʰɔʔ7	
魏	vɪ5	
魔	mo2	
魘	iɪ̃3	
魚	ly2+	木～
魚	y2	
魯	ləu3	
鮎	nɪ̃2	
鮑	pɔ1	
鮮	ɕiɪ̃1	
鮮	ɕiɪ̃3	
鯉	lɪ3	
鯨	tɕiən1	
鯶	xuən1	～子魚：草魚
鰓	sɛ1	
鰣	sɿ2	
鰥	kuɛ̃1	
鰱	lɪ̃2	
鰾	piɔ5	
鱉	piəʔ7	
鱗	liən1	
鳥	niɔ3	
鳩	tɕiɤɯ1	
鳳	fɔŋ5	
鳴	miən2	
鴉	a1	老-
鴉	ia1	烏～
鴨	æʔ7	
鴻	xɔŋ2	
鴿	koʔ7	
鵝	o2	
鵠	xɔʔ7	
鵡	əu3	
鵰	tiɔ1	
鵲	tɕʰiæʔ7	
鶯	iən1	
鶴	xæʔ7	
鷂	iɔ2	
鷹	iən1	
鷺	ləu5	
鸚	iən1	
鹹	xɛ̃2	
鹼	tɕiɛ̃3	
鹽	iɪ̃2	
鹿	lɔʔ7	
麗	li5	
麝	sɪ5	
麥	mɔʔ7	
麩	fv1	
麪	mɪ̃1	
麴	tɕʰiɔʔ7	
麻	ma2	
麾	xuɪ1	
黃	xuæ̃2	
黍	tsʰəu3	
黏	nɪ̃2	
黑	xəʔ7	
默	mɔʔ7	
點	tɪ̃3	
黨	tæ̃3	
黴	mɪ2	
鼎	tiən3	
鼓	kəu3	
鼕	tɔŋ1	
鼠	tsʰəu3	
鼬	iɤɯ5	
鼻	pʰiəʔ7	
鼾	xɛ̃1	
齁	xɤɯ1	非常鹹
齈	nɔŋ5	
齉	næ̃1	～鼻子
齊	tɕʰi2	
齋	tsɛ1	
齒	tsʰɿ3	
齕	xəʔ7	啃
齡	liən2	
齣	tɕʰyəʔ7	
龍	lɔŋ2	
龐	pʰæ̃2	
龕	kʰɛ̃1	
龜	kuɪ1	
𠅣	kæ̃3	用力擠
𠖫	kʰõ3	反扣
𠞖	kɔŋ1	鑽
𠵫	æ̃1	語氣詞，表肯定
𠵹	kæ̃1	吵
𠾐	lɔŋ1	乖乖～的咚
𡜵	pu1	～子：姑媽
𢜶	sɔ5	快，催人趕快做某事：～走
𢴳	tʰæ̃1	擋
𢶍	soʔ7	搕～：垃圾
𢺟	tɕʰyɛ̃5	插
𣁳	kuæʔ7	～水
𣝗	xuəʔ7	～子
𤒘	tɔʔ7	小火慢燉：～粥
𥀣	xæʔ7	緊靠
𥅻	tsʰɔŋ5	瞌～
𥸧	tiən1	粘
𦚐	tʰo2	肉～子
𦪧	kɛ̃3	走～：船舷
𧾎	ɕyɛ̃1	追
𨁽	təʔ7?	跺：～腳
𨂝	pʰɛ̃2	～水
𨉣	xa1	點頭～腰
𨑊	nɔŋ5?	破碎：衣裳爛了～了
𩐅	sæʔ7	木～：楔子
𩑦	vəʔ7	把某人的頭按在水中
𩟊	nɔŋ2	將就
𪣩	kʰən5	垢：水～
𪳄	liæ̃1	～子：水桶
𬮿	kʰɛ5	倚；推諉
𰍧	nia2	與“尕”義同
𰍨	nia3	與“尕”義同
