#漢字	音標	解釋
□	tʰo5	摞
旱	xø̃ỹ5	
時	sɿ2	
曠	kʰoŋ5	
旺	oŋ5	
昂	ŋo2	
昆	kʰən1	
昌	tʰoŋ1	
明	miã2-	〜日
明	min2=	〜显
昏	fən1	
易	i5	
易	i5	交〜
昔	ɕi7	
星	ɕiã1-	
星	ɕin1=	〜期
映	in5	
春	tʰən1	
昧	mei5	
昨	tsʰo7	
昭	tau1	
是	sɿ5	
晝	təu5	
顯	ɕiĩ3	
晃	xoŋ3	
晉	tɕin5	
晌	ɕioŋ3	
晏	ŋã5	
曬	sai5	
曉	ɕiau3	
曉	kʰiau3	
暈	fən1	
晚	vã3	
晦	fei5	
晨	sən2	
普	pʰu3	
景	kin3	
晴	tɕʰiã2	
晶	tɕin1	
智	tsɿ5	
暫	tsʰã5	
暑	fy3	
暖	lo3	
暗	ŋø̃ỹ5	
暮	mo5	
暴	pʰau5	
曩	loŋ2	
曰	ø7	
曲	kʰiəu7	
更	kiĩ5	~加
更	kiĩ1	〜换;五~
曹	tsʰau2	
曼	vã5	
曾	tɕʰiĩ2	〜经
曾	tɕiĩ5	姓
替	tʰi5	
最	tsei5	
會	fei5=	开〜
月	ŋø7	
有	iəu3	
朋	pʰəŋ2	
服	fu7	
朔	so7	
朗	loŋ3	
望	oŋ5	
朝	tau1	〜夕
朝	tʰau2	〜代
期	kʰi2	
木	mo7	
未	vei5	
末	mø7	
本	pən3	
札	tsʰã2	
札	tsa7	
术	fy7	
朱	ky1	
朴	pʰu7	
朶	təu3	
機	ki1	
朽	ɕiəu3	
殺	sa7	
雜	tsʰa7	
權	tʰø̃ỹ2	
杆	kø̃ỹ3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰən1	
杖	toŋ5	
杜	tʰəu5	
杞	kʰi3	
束	tʰəu7	
杠	koŋ5	
條	tʰiau2	
來	lai2	
楊	ioŋ2	
杭	xoŋ2	
杯	pi1-	
杯	pei1	
杰	kʰie7	
杳	miau3	
杵	kʰy2	
杷	pʰa1	
松	tsʰəŋ2	〜树
松	səŋ1=	〜紧
板	pã3	
極	kʰi7	
構	kiau5	
枇	pʰi2	
枉	oŋ2	
析	ɕi7	
枕	tən3	
林	lin2	
枚	mei2	
果	ko3	
枝	tsɿ1	
樞	kʰy1	
棗	tsau3	
槍	tɕʰioŋ1	
楓	fəŋ1	
枯	kʰu1	
架	ka5-	
架	kia5=	
柄	pin3	
柏	pa7	
某	miau3	
柑	kø̃ỹ1	
染	ø̃ỹ3	
柔	iəu2	
柚	iəu5	
櫃	kʰei5	
柞	tsʰo7	
查	tsʰa2	
柩	kiəu5	
柬	kã3	
柱	kʰy5	
柳	liəu3	
柴	tsʰai2	
柿	sɿ5	
梔	tsɿ1	
栅	sã1	
標	piau1	
棧	tsʰã5	
棟	təŋ5	
欄	lã2	
樹	fy5	
栓	sø̃ỹ1	
栖	tɕʰi1	
栗	tʰi5	
校	kiau5	
株	ky1	
樣	ioŋ5	
核	ɕie7	
根	kiĩ1	
格	kie7	
栽	tsai1	
桂	kei5	
桃	tʰau2	
桅	vei2	
框	kʰoŋ1	
案	ŋø̃ỹ5	
桌	tso7	
桐	tʰəŋ2	
桑	soŋ1	
桓	xø̃ỹ2	
檔	toŋ5	
橋	kʰiau2	
樺	fa2	
檜	kʰai5	
槳	tɕioŋ3	
樁	tsoŋ1	
桶	tʰəŋ3	
梁	lioŋ2	
梅	mei2	
梓	tsɿ3	
梗	kã3	
梢	sau1	
夢	məŋ5	
梧	ŋu2	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	səu1	
檢	kiĩ3	
棉	miĩ2	
棋	kʰi2	
棍	kən5	
棒	poŋ5	
棕	tsəŋ1	
棚	pʰəŋ2	
棠	tʰoŋ2	
森	ɕiĩ1	
棱	liĩ2	
棵	kʰo1	
棺	kø̃ỹ1	
椅	i3	
植	tsʰɿ7	
椏	ŋa1	
椒	tɕiau1	
橢	tʰo3	
椰	ie1	
椽	sø̃ỹ2	
椿	tʰən1	
楂	tsʰa2	
楚	tsʰəu3	
楝	liĩ5	
楣	mei2	
楦	sø̃ỹ1	
楷	kʰai3	
樓	liau2	
概	kʰai5	
欖	lã3	
榆	y2	
榔	loŋ2	
榕	in2	
榜	poŋ3	
榨	tsa5	
榫	sən3	
榴	liəu2	
榷	kʰo7	
榻	tʰa7	
槌	kʰy2	
槐	fai2	
檳	pin1	
槽	tsʰau2	
樟	toŋ1	
模	mo2	
橫	vã2	
櫻	in5	
樵	tɕʰiau2	
橄	kø̃ỹ3	
橈	ȵiau2	
橘	ky7	
橙	tʰən2	
橡	ɕioŋ5	
櫥	kʰy2	
櫓	ləu3	
檀	tʰã2	
檐	iĩ2	
欛	pa5	
欠	kʰiĩ5	
次	tsʰɿ5	
歡	xø̃ỹ1	
欣	ɕin1	
歐	ȵiau1	
欲	iəu7	
欺	kʰi1	
款	kʰø̃ỹ3	
歇	ɕie7	
歉	kʰiĩ3	
歌	ko1	
止	tsɿ3	
正	tã1	〜月
正	tən5	公〜
此	tsʰɿ3	
步	pʰu5	
武	vu3	
歧	kʰi2	
歪	vai1	
死	sɿ3	
殲	tɕʰiĩ1	
殃	ioŋ1	
殆	tʰai5	
殉	sən5	
殊	fy2	
殘	tsʰã2	
殮	liĩ5	
殖	tsʰɿ7	
殯	pin5	
毆	ȵiau3	
段	tø̃ỹ5	
殷	in5	
殿	tʰiĩ5	
毁	fei3	
母	mo3	
每	mei3	
毒	tʰəu7	
比	pi3	
畢	pi7	
斃	pʰei5	
毛	mau2	
毡	tø̃ỹ1	
毫	xau2	
毯	tʰã3	
氏	sɿ5	
民	min2	
氓	moŋ2	
气	kʰi5	
水	fy3	
永	vən3	
汀	tiã1	
汁	tsɿ7	
求	kʰiəu2	
汆	tsʰø̃ỹ1	
汇	fei5	
漢	xø̃ỹ5	
汗	xø̃ỹ5	
汝	y3	
江	koŋ1	
池	tsʰɿ2	
污	vu1	
湯	tʰoŋ1	
汪	oŋ1	
汴	pʰiĩ5	
汽	kʰi5	
沃	o1	
沈	sən3	
沉	tʰən2	
沌	tən5	
沓	tʰa7	
沙	sa1	
溝	kiau1	
没	mei7	
滬	fu5	
沫	mø7	
河	xo2	
油	iəu2	
治	tsʰɿ5	
沾	tø̃ỹ1	
沿	ø̃ỹ2	
泄	ɕie7	
泉	tɕʰiĩ2	
泊	pʰo7	〜船
泊	pø7	梁山〜
泌	pei5	
泔	kø̃ỹ1	
法	fa7	
泛	fã5	
泡	pʰau1	不实,空心
泡	pʰau5	浸〜
波	po1	
泣	ɕi7	
泥	ȵi2	
注	ky5	
淚	li7-	
淚	lei5	
泰	tʰai5	
泳	vən5	
瀉	ɕia5	
潑	pʰø7	
澤	tɕʰie7	
潔	kie7	
洋	ioŋ2	
洒	sai3	
洗	ɕi3	
洛	lo7	
洞	tʰəŋ5	
津	tɕin1	
洪	fəŋ2	
洲	təu1	
活	xø7	
洼	va1	
洽	ɕia7	
派	pʰai5	
流	liəu2	
淺	tɕʰiĩ3	
漿	tɕioŋ1	
澆	kiau1	
濁	tʰəu7	
測	tɕie7	
濟	tɕi5	
渾	fən1	
滸	fu2	
濃	ləŋ2	
浙	tø7	
浦	pʰu3	
浩	xau5	
浪	loŋ5	
浮	pʰau2-	
浮	sau2=	~肿，可能是训读
浮	fu2=	〜力
浴	iəu7	
海	xai3	
浸	tɕin5	
涂	tʰəu2	
消	ɕiau1	
涉	sø7	
涎	tsʰã2	
涕	tʰi5	
濤	tʰau2	
澇	lau2	
渦	o1	
滌	tʰi7	
潤	vən5	
澗	kã5	
漲	toŋ3	〜价
漲	toŋ5	〜大
澀	kie7	
涮	sø7	
涯	ŋai2	
液	i7	
淀	tʰiĩ5	
淆	ɕiau2	
淋	lin2	
淑	səu7	
淘	tʰau2	
淡	tʰã5	
淤	y1	
淫	in2	
淮	fai2	
深	sən1	
混	fən5	
淹	iĩ3	
添	tʰiĩ1	
清	tɕʰiã1-	
清	tɕʰin1	
淵	ø̃ỹ1	
漸	tɕʰiĩ5	
漁	ŋy2	
滲	sən5	
渠	kʰy2	
渡	tʰəu5	
渣	tsa1	
溫	vən1	
港	koŋ3	
渴	kʰo7	
游	iəu2	
渺	miau3	
湖	fu2	
湘	ɕioŋ1	
灣	vã1	
溼	sɿ7	
潰	kʰei5	
溉	kʰai5	
源	ŋø̃ỹ2	
溜	liəu1	
溪	ɕi1	
溶	in2	
溺	ȵi7	
滂	pʰoŋ2	
滋	tsɿ1	
滑	va7	
滓	tsɿ3	
滔	tʰau1	
滚	kən3	
滿	mø̃ỹ3	
濾	li5	
濫	lã5	
灘	tʰã1	
滴	tia7	
漂	pʰiau1	〜浮
漂	pʰiau5	〜亮
漆	tɕʰi7	
漏	liau5	
演	iĩ3	
漠	mo7	
漫	mã5	
漱	ɕiau5	
潘	pʰø̃ỹ1	
潛	tɕʰin2	
潭	tʰã2	
潮	tʰau2	
潲	sau5	
潷	pei5	
澄	sən2	〜潭江
澄	tʰən5	水浑，〜—~
澡	tsau3	
激	ki7	
瀑	pʰu7	
灌	kø̃ỹ5	
灒	tsã5	
火	xo3	
滅	mie7	
燈	tiĩ1	
灰	fei1	
靈	lin2	
竈	tsau5	
灸	kiəu5	
災	tsai1	
燦	tsʰã5	
爐	ləu2	
炊	tʰei1	
炎	iĩ2	
炒	tsʰau3	
炕	kʰoŋ5	
炙	ta7	
炭	tʰã5	
炮	pʰau5	
炸	tsa5	
點	tiĩ3	
煉	liĩ5	
爛	lã5	
烈	lie7	
烊	ioŋ2	
烙	lo7	
燭	təu7	
烟	iĩ1	
烤	kʰau3	
煩	fã2	
燒	sau1	
燙	tʰoŋ5	
熱	ȵie7-	
熱	ø7=	〜烈
烹	pʰən1	
焉	iĩ1	
焊	xø̃ỹ5	
焌	tɕʰi7	
煥	xø̃ỹ5	
焙	pʰei5	
焚	fən2	
焦	tɕiau1	
焯	tʰo7	
焰	iĩ5	
然	ø̃ỹ2	
煎	tɕiĩ5	
煞	sa7	
煠	tsa5	
煤	mi2-	
煤	mei2	
照	tau5	
煨	vei1	
煮	ky3	
熄	ɕi7	
熊	ɕin2	
熏	sən1	
熔	in2	
熙	ɕi1	
熟	səu7	
熨	vən5	
熬	ŋau2	
燃	ȵiĩ2	
燎	liau2	
燕	iĩ5	
燥	tsʰau5	
爆	pʰau5	
爪	tsau3	
爬	pʰa2	
愛	ŋai5	
爵	tɕio7	
父	fu5	
爺	ia2	
爸	pa7	
爹	tia1	
爽	soŋ3	
片	pʰiĩ5	
版	pã3	
牌	pʰai2	
牘	tʰəu7	
牙	ŋa2	
牚	tsʰã5	
牛	ŋiəu2	
牡	miau3	
牢	lau2	
牧	mo7	
物	vei7-	
物	vu7	〜体
牯	ku3	
牲	ɕiĩ1	
牽	kʰiĩ1	
牸	tsʰɿ5	
特	tʰie7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tʰəu7	
犒	kʰau5	
犬	tʰø̃ỹ3	
犯	fã5	
狀	tsʰoŋ5	
猶	iəu2	
狂	kʰoŋ2	
狄	tʰi7	
狐	fu2	
狗	kiau3	
狡	kiau3	
獨	tʰəu7	
狹	xa7	
獅	sɿ1	
獄	iəu7	
狸	li1	
狼	loŋ2	
獵	lie7	
猛	məŋ3	
猜	tsʰai1	
猝	tsei7	
豬	ky1	
猫	mau1	
蝟	vei5	
獻	ɕiĩ5	
猴	ɕiau2	
猾	va7	
猿	ø̃ỹ2	
獺	tʰa7	
玄	sø̃ỹ2	
率	so7	〜领
率	li7	效〜
玉	ŋy5	
王	oŋ2	
玩	vã2	
玫	mei2	
環	fã2	
現	ɕiĩ5	
璽	ɕi3	
玻	po1	
珊	sã1	
珍	tən1	
珠	ky1	
班	pã1	
球	kʰiəu2	
理	li3	
琉	liəu2	
瑣	so3	
琢	tso7	
琴	kʰin2	
琵	pʰi2	
琶	pʰa1	
瓊	tʰən2	
瑕	ɕia2	
瑞	sei5	
瑟	ɕie7	
璃	li2	
璧	pi7	
瓜	ka1	
瓠	fu2	
瓠	fu5	
瓢	pʰiau2	
瓣	pʰã5	
瓤	loŋ2	
瓦	ŋa5	施瓦于屋也
瓦	ŋa3	砖〜
瓮	vəŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甑	tɕiĩ5	
甘	kø̃ỹ1	
甚	sən5	
甜	tʰiĩ2	
生	sã1-	
生	ɕiĩ1=	
甥	sã1	
用	in5	
田	tʰiĩ2	
由	iəu2	
甲	kia7	
申	sən1	
電	tʰiĩ5	
男	lã2	
畫	fa5	
暢	tʰoŋ5	
界	kai5	
畏	vei5	
留	liəu2	
畜	tʰəu7	
略	lio7	
番	fã1	
畲	sa2	
疆	kʰioŋ1	
疏	səu1	
疑	ŋi2	
疔	tiã1	
療	liau2	
疝	sã5	
瘧	ŋio7	
瘍	ioŋ2	
疤	pa1	
疥	kai5	
疫	y7	
瘡	tsʰoŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疹	tən3	
疼	tʰiĩ3	
疾	tɕʰi7	
痂	kia1	
病	pʰiã5	
症	tən5	
痒	ioŋ3	
痔	tsʰɿ5	
痕	ɕiĩ2	
痘	tʰiau5	
痛	tʰəŋ5	
痞	pʰie3	
痢	li5	
痣	tsɿ5	
痰	tʰã2	
痱	pei5	
痳	ma2	
痹	pʰi1	
瘟	vən1	
瘦	ɕiau5	
癱	tʰã1	
瘴	toŋ5	
癆	lau2	
癌	ŋai2	
癩	lai5	
癬	ɕiĩ3	
癤	tɕie7	
癲	tiĩ1	
癸	kei5	
登	tiĩ1	
白	pʰa7	
百	pa7	
皂	tsʰau5	
的	ti7	
皆	kai1	
皇	xoŋ2	
皖	xø̃ỹ3	
皮	pʰi2	
皺	tɕiau5	
皴	tʰən1-	
皴	tsʰən1=	
皿	min3	
盂	y7	
盅	təŋ1	
盆	pʰən2	
盈	in2	
益	i7	
盞	tsã3	
鹽	iĩ2	
監	kã1	
盒	xo7	
盔	kʰei1	
盖	kai5	
盜	tʰau5	
盤	pʰø̃ỹ2	
盛	tʰən2	〜满
盛	sən5	兴〜
盟	min2	
目	mo7	
盲	moŋ2	
直	tsʰɿ7	
相	ɕioŋ5	〜貌
相	ɕioŋ1	互〜
盼	pʰã5	
盾	tən5	
省	ɕiĩ3=	~长
省	sã3	节〜
眉	mi2-	
看	kʰø̃ỹ5	
真	tən1	
眠	miĩ2	
眨	tsa7	
眩	sø̃ỹ5	
眶	kʰoŋ1	
眷	tø̃ỹ5	
眼	ŋã3	
着	to7	~落
着	tʰo7	睡〜了
睜	tsã1	
睛	tɕiã1	
睡	sei5	
督	təu7	
睦	mo7	
睬	tsʰai3	
瞌	kʰø7	
瞎	xa7	
瞞	mø̃ỹ2	
瞧	tɕʰiau2	
瞪	tʰən2	
瞭	liau2	
瞳	tʰəŋ2	
瞻	tø̃ỹ1	
瞿	kʰy2	
矛	mau2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	ky3	
短	tø̃ỹ3	
矮	ŋai3	
石	sa7	
礦	kʰoŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰø̃ỹ3	
砑	ŋa5	
研	ŋiĩ3	
磚	tø̃ỹ1	
硯	ŋiĩ5	
砧	tin1	
破	pʰo5	
礎	tsʰəu3	
碩	so7	
硝	ɕiau1	
硫	liəu2	
硬	ŋã5	
確	kʰo7	
礙	ŋai5	
碎	tsʰei5	
碑	pei1	
碗	ø̃ỹ3	
碟	tʰie7	
碧	pi7	
碰	pʰəŋ5	
鹼	kã3	
碾	ȵiĩ3	
磁	tsʰɿ2	
磕	kʰo7	
磨	mo2	〜刀
磨	mo5	石〜
磬	kʰiã5	
磷	lin2	
礓	kioŋ1	
礬	fã2	
示	sɿ5	
禮	li3	
社	sa5	
祀	sɿ5	
祁	kʰi2	
祖	tsəu3	
祝	təu7	
神	sən2	
祠	tsʰɿ2	
祥	tɕʰioŋ2	
票	pʰiau5	
祭	tɕi5	
禱	tau3	
禍	xo5	
稟	pin3	
禁	kin5	
祿	ləu7	
禪	sø̃ỹ2	
福	fu7	
禹	y3	
离	li2	
禽	kʰin2	
禾	o2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰəu7	
稈	kø̃ỹ3	
秉	pin3	
秋	tɕʰiəu1	
種	təŋ3	〜类
種	təŋ5	〜植
科	kʰo1	
秒	miau3	
秕	pʰi3	
秘	pei5	
租	tsəu1	
秤	tʰən5	
秦	tɕʰin2	
秧	ioŋ1	
秩	tsʰɿ7	
積	tɕi7	
稱	tʰən1	
移	i2	
穢	fei5	
稀	ɕi1	
程	tʰən2	
稍	sau1	
税	sei5	
稗	pʰa5	
稚	tsʰɿ5	
稠	tʰəu2	
穩	vən3	
稻	tʰau5	
稼	kia5	
稽	ki1	
稿	kau3	
穗	ɕi5	
穴	ɕie7	
究	kiəu5	
窮	kʰin2	
空	kʰəŋ1	〜虚
空	kʰəŋ5	〜缺
穿	tʰø̃ỹ1	
突	tʰəu7	
竊	tɕʰie7	
窄	tsa7	
竅	kʰiau5	
窯	iau2	
窖	kau5	
窗	tsʰoŋ1	
竄	tsʰø̃ỹ5	
窩	o1	
窟	kʰei7	
窠	kʰo1	
窺	kei1	
窿	ləŋ2	
立	li7	
豎	fy5	
站	ȵiĩ2	
站	tsã5	
站	tsʰã5	
競	kin5	
竟	kin5	
章	toŋ1	
童	tʰəŋ2	
端	tø̃ỹ1	
竹	təu7	
竿	kø̃ỹ1	
笆	pa1	
笋	sən3	
笑	ɕiau5	
筆	pi7	
笙	ɕiĩ1	
笛	tʰia7	
笠	li7	
符	fu2	
笨	pən5	
第	tʰi5	
箋	tɕiĩ5	
籠	ləŋ2	
等	tiĩ3	
筋	kin1	
筏	fa7	
筐	kʰoŋ1	
筑	təu7	
筒	tʰəŋ2	
答	ta7	
策	tɕʰie7	
篩	sai1	
箏	tɕiĩ5	
筧	kiĩ3	
筵	iĩ2	
筷	kʰai5	
籌	tʰəu2	
签	tɕʰiĩ1	
簡	kã3	
箍	ku1	
算	sø̃ỹ5	
管	kø̃ỹ3	
簫	ɕiau1	
箭	tɕiĩ5	
箱	ɕioŋ1	
篆	tʰø̃ỹ5	
篇	pʰiĩ1	
簍	liau3	
篙	kau1	
篡	tsʰø̃ỹ5	
篦	pʰi7	
籬	li2	
篷	fəŋ2	
簟	tʰiĩ5	
簧	xoŋ2	
簪	tsã1	
簸	po5	
簿	pʰu5	
籃	lã2	
籍	tɕʰi7	
米	mi3	
類	li5	
粉	fən3	
粒	ti7	
粗	tsʰəu1	
粘	tø̃ỹ1	
粟	ɕiəu7	
粤	ø7	
粥	təu7	
糞	fən5	
糧	lioŋ2	
粱	lioŋ2	
粳	tø̃ỹ1	
粹	tsʰei5	
糉	tsəŋ5	
精	tɕin1	〜神
精	tɕiã1	妖〜
糊	fu2	
糍	tsʰɿ2	
糕	kau1	
糖	tʰoŋ2	
糙	tsʰau5	
糟	tsau1	
糠	kʰoŋ1	
糯	lo5	
糶	tʰiau5	
系	ki5	〜鞋带
系	kʰi5	关〜
素	səu5	
索	so7	
緊	kin3	
紫	tsɿ3	
累	lei3	积〜
累	lei5	连〜
絮	ɕi5	
縐	tɕiau5	
繁	fã2	
繰	tɕiau3	
纂	tsʰø̃ỹ5	
糾	kiəu1	
紅	fəŋ2	
紂	tʰəu5	
纤	tɕʰiĩ1	
約	io7	
級	kʰi7	
紀	ki3	
緯	vei3	
純	sən2	
紗	sa1	
綱	koŋ1	
納	la7	
縱	tsəŋ5	
紛	fən1	
紙	tsɿ3	
紋	vən2	
紡	xoŋ3	
紐	ȵiəu3	
線	ɕiĩ5	
練	liĩ5	
組	tsəu3	
細	ɕi5	
織	tsɿ7	
終	təŋ1	
絆	pʰø̃ỹ5	
紹	sau5	
經	kin1	
綁	poŋ3	
絨	in2	
結	kie7	
繞	iau3	
繪	fei5	
給	kie7	
絡	lo7	
絶	tɕʰie7	
絞	kiau3	
統	tʰəŋ3	
絹	tø̃ỹ5	
繡	ɕiəu5	
綏	sei1	
繼	ki5	
績	tɕi7	
緒	ɕi5	
綾	lin2	
續	səu7	
綽	tʰo7	
繩	sən2	
維	vei2	
綿	miĩ2	
繃	pã5	
綢	tʰəu2	
綜	tsəŋ5	
綻	tin5	
綠	ləu7	
綴	tei5	
緬	miĩ3	
纜	lã3	
緝	tɕʰi7	
緞	tø̃ỹ5	
緩	xø̃ỹ3	
縷	lei3	
編	pʰiĩ1	
緣	ø̃ỹ2	
縛	xo7	
縫	fəŋ2	〜衣服
縫	fəŋ5	一条〜
纏	tʰø̃ỹ2	
縊	i7	
纓	in5	
縮	so7	
繮	kioŋ1	
繳	kiau3	
缸	koŋ1	
缺	tʰø7	
罐	kø̃ỹ5	
网	oŋ3	
罕	xø̃ỹ5	
羅	lo2	
罰	fa7	
罷	pʰa5	
罩	tsau5	
罪	tɕʰi5-	
罪	tsʰei5=	
置	tsɿ5	
署	fy3	
羊	ioŋ2	
羌	kʰioŋ1	
美	mi3	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	ɕiĩ5	
群	tʰən2	
羹	kiĩ1	
羽	y3	
翁	vəŋ1	
翅	tsʰɿ5	
翎	lin2	
翔	tɕʰioŋ2	
翹	kʰiau5	
翠	tsʰei5	
翡	fei3	
翰	xø̃ỹ5	
翻	fã1	
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	ta3	
而	y2	
耍	sa3	
耐	lai5	
耕	kiĩ1	
耗	xau5	
耘	vən2	
耙	pʰa5	
耳	y3	
聳	səŋ3	
耻	tsʰɿ3	
耽	tã1	
耿	kiĩ3	
聶	ȵie7	
聊	liau2	
聾	ləŋ2	
職	tsɿ7	
聯	liĩ2	
聘	pʰin5	
聚	tɕʰi5	
聰	tsʰəŋ1	
肅	səu7	
肄	i5	
肆	sɿ5	
肇	tʰau5	
肉	ȵiəu7	
肋	lie7	
肌	ki1	
肘	tiau3	
肚	təu3	
肛	koŋ1	
肝	kø̃ỹ1	
腸	tʰoŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fei2	
肩	kiĩ1	
肪	xoŋ2	
肫	tʰən5	
肯	kʰiĩ3	
育	iəu7	
肴	xau2	
肺	fei5	
腎	sən5	
腫	təŋ3	
脹	toŋ5	
脅	ɕie7	
胃	vei5	
膽	tã3	
背	pei1	
背	pei5	〜脊
背	pʰei5	〜诵
胎	tʰai1	
胖	pʰoŋ5	
胚	pʰi1	
胛	ka7	
勝	sən5	
胞	pau1	
胡	vu2	~子
胡	fu2	〜乱
朧	ləŋ2	
胭	iĩ1	
胯	kʰa5	
胱	koŋ1	
胳	ko7	
膠	kau1	
胸	ɕin1	
能	liĩ2	
脂	tsɿ1	
脆	tsʰei5	
脉	mø7	
脊	tɕi7	
脏	tsoŋ1	
臍	tɕʰi2	
腦	lau3	
膿	ləŋ2	
脚	kio7	
脬	pʰau5	
脯	pʰu2	
脱	tʰø7	
臉	liĩ3	
脾	pʰi2	
腆	tʰiĩ3	
臘	la7	
腋	i7	
腌	iĩ1	
腌	iĩ3	
腐	fu5	
腑	fu3	
腔	kʰioŋ1	
腕	ø̃ỹ3	
腡	lo2	
腥	ɕiã5	
腭	ŋo7	
腮	sai1	
腰	iau1	
腱	kʰiĩ5	
腹	fu7	
騰	tʰiĩ2	
腿	tʰai3	
膀	pʰoŋ2	
膏	kau1	
膘	piau1	
膜	mo2	
膝	tɕʰi7	
膨	pʰø̃ỹ2	
膳	sø̃ỹ5	
臀	tʰən2	
臂	pi5	
臊	sau1	
臣	tʰən2	
自	tsʰɿ5	
臭	tʰəu5	
至	tsɿ5	
致	tsɿ5	
臻	tɕiĩ5	
臼	kʰiəu5	
舀	iau3	
舅	kʰiəu5	
舌	sø7	
舍	sa3	
舍	sa5	
舒	fy1	
舔	tʰiĩ3	
舜	sən5	
舞	vu3	
舟	təu1	
航	xoŋ2	
般	pø̃ỹ1	
艦	kã5	
艙	tsʰoŋ1	
舵	tʰo5	
舷	ɕiĩ2	
船	tʰø̃ỹ2	
艇	tʰin3	
艘	sau1	
良	lioŋ2	
艱	kã1	
色	ɕie7	
豔	iĩ5	
藝	ŋi5	
艾	ŋai5	
節	tɕie7	
芋	y5	
芍	so7	
芒	moŋ2	
芙	fu2	
芝	tsɿ1	
芥	kai5	
蘆	ləu2	
芬	fən1	
芭	pa1	
花	fa1	
芳	xoŋ1	
芹	kʰin2	
芽	ŋa2	
葦	vei3	
蒼	tsʰoŋ1	
苏	səu1	
苔	tʰai2	
苗	miau2	
苞	pau1	
苟	kiau3	
若	io7	
苦	kʰu3	
苧	kʰy3	
英	in5	
蘋	pʰin2	
茂	miau5	
范	fã5	
茄	kʰio2	
茅	mau2	
莖	kin5	
繭	kiĩ3	
茫	moŋ2	
茬	tsʰa5	
茴	fei2	
茶	tsʰa2	
茸	in2	
荀	sən2	
荆	kin1	
草	tsʰau3	
薦	tɕiĩ5	
荒	xoŋ1	
荔	li5	
薺	tɕi5	
蕩	tʰoŋ5	
榮	in2	
葷	fən1	
蔭	in5	
藥	io7	
荷	xo2	
莠	iəu3	
莧	xã5	
莫	mo7	
蓮	liĩ2	
获	xo7	
瑩	in2	
鶯	in2	
莽	moŋ3	
菊	təu7	
菌	tʰən5	
菖	tʰoŋ1	
菜	tsʰai5	
菠	po1	
菢	pʰau5	
菩	pʰu2	
菱	lin2	
萄	tʰau2	
萌	min2	
萍	pʰin2	
萎	vei3	
蘿	ləu2	
螢	iã2	
營	in2	
蕭	ɕiau1	
薩	sa7	
落	lo7	
葚	sən5	
葛	kø7	〜藤
葛	ko7	姓
葡	pʰu2	
董	təŋ3	
葫	fu2	
葬	tsoŋ5	
葱	tsʰəŋ1	
葵	kʰei2	
蔣	tɕioŋ3	
蒙	məŋ2	
蒜	sø̃ỹ5	
蒲	pʰu2	
蒸	tən1	
蒿	kau1	
蓄	tʰəu7	
蓉	in2	
蓑	so1	
蓖	pʰi1	
蓬	pʰəŋ2	
蔑	mie7	
蔓	mã5	
蔗	ta5	
蔡	tsʰai5	
蔬	səu1	
藹	ŋai3	
蔽	pʰei5	
蕉	tɕiau1	
蕊	y3	
蕎	kʰiau2	
蕨	tø7	
薄	pʰo7	
薛	ɕie7	
薪	ɕin1	
薯	fy2	
藉	tɕʰi7	
藍	lã2	
藏	tsoŋ5	宝〜
藏	tsʰoŋ2	隐〜
藐	miau3	
藕	ŋiau3	
藤	tʰiĩ2	
藩	fã2	
藻	tsau3	
藿	xo7	
蘸	tsã5	
蘿	lo2	
虎	fu3	
虜	ləu3	
虐	ŋio7	
慮	li5	
虔	kʰiĩ2	
虚	fy1	
虞	ŋy2	
蟲	tʰəŋ2	
虱	ɕie7	
虹	fəŋ2	
雖	sei1	
蝦	xa1	
蝕	sɿ7	
蟻	ŋi3	
蚊	mən1	
蚌	pʰoŋ5	
蚓	in3	
蠶	tsʰã2	
蚣	kəŋ1	
蚤	tsau3	
蚯	kʰiəu1	
蛀	ky5	
蛆	tɕʰi1	
蛇	sa2	
蛋	tʰã5	
蛙	va1	
蛛	ky1	
蠻	mã2	
蟄	tsɿ5	
蛾	ŋo2	
蜀	səu7	
蜂	fəŋ1	
蜓	tʰin2	
蜕	tei5	
蝸	o1	
蜘	tsɿ7	
蜜	mi7	
蠟	la7	
蜻	tɕʰin1	
蠅	in2	
蟬	sø̃ỹ2	
蠍	kie7	
蝗	xoŋ2	
蝙	pʰiĩ1	
蝠	fu7	
蝦	kʰã2	
蝴	fu2	
蝶	tʰie7	
螂	loŋ2	
螃	pʰoŋ2	
融	in2	
螟	min2	
螳	tʰoŋ2	
螺	lo2	
蟀	so7	
蟆	mau1	
蟒	moŋ3	
蟥	oŋ2	
蟹	xai3	
