#漢字	音標	解釋#('cmn_jh_hx_aq_tc', '桐城話', '桐城', '#8B0000', None, None, '來源：《桐城縣誌》，“空島。”整理修改', '31 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,335 3 2 上 ꜂,,54 5 3 去 ꜄,,5 7 4 入 ꜆', None, None)
斂	niɛ̃3	
敢	kã3	
敢	kõ3	
散	sã3	
散	sã5	
敦	tən1	
敬	tɕiən5	
數	səu3	动词
數	səu5	名词
整	ʈʂən3	
敷	fu1	
文	miən2	
文	uən2	
斋	tsɛ1	
斗	təu3	一～米
斗	təu5	
料	niɔ5	
斜	ɕie2	
斟	ʈʂən1	
斤	tɕiən1	
斥	ʈʂʰʅ5	
斥	tsʰəʔ7	
斧	fu3	
斬	ʈʂɛ̃3	
斷	tõ5	
斯	sɿ1	
新	ɕiən1	
方	fã1	
施	ʂʅ1	
旁	pʰã2	
旌	tɕiən1	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	ʐəʔ7	
旦	tã5	
舊	tɕiəu5	
旨	ʈʂʅ3	
早	tsɔ3	
旬	ɕiən2	
旭	ʂʯəʔ7	
旱	xã5	
時	ʂʅ2	
曠	kʰuã5	
昂	ŋã2	
昆	kʰuən1	
明	mən2	～朝
明	miən2	
昏	xuən1	
易	i5	
昔	ɕiəʔ7	
星	ɕiən1	
映	iən5	
春	ʈʂʰʯən1	
昧	mei5	
昨	tsoʔ7	
昭	ʈʂɔ1	
是	ʂʅ5	
昵	ni5	
顯	ɕiɛ̃3	
晉	tɕiən5	
晏	ŋã5	
曬	sɛ5	
曉	ɕiɔ3	
暈	ʯən1	
晚	uã3	
晦	xuei5	
晨	ʈʂʰən2	
普	pʰu3	
景	tɕiən3	
晴	tɕʰiən2	
晶	tɕiən1	
智	ʈʂʅ5	
暫	tsã5	
暇	ɕia2	
暑	ʂʯ3	
暖	nõ3	
暗	ŋã5	
暮	mo5	
暴	pɔ5	
曝	pʰu5	
曰	ʯeʔ7	
曲	ʈʂʰʯəʔ7	
更	kən1	五～
曹	tsʰɔ2	
曾	tsən1	姓氏
曾	tsʰən2	
替	tʰi5	
最	tsei5	
月	ʯeʔ7	
有	iəu3	
朋	pʰən2	
服	fəʔ7	
朔	səu5	
朕	ʈʂən5	
朗	nã3	
朝	ʈʂɔ1	
朝	ʈʂʰɔ2	
期	tɕʰi1	～盼
期	tɕʰi2	～期
木	məʔ7	
未	uei5	
末	moʔ7	
本	pən3	
朱	ʈʂʯ1	
朵	to3	
機	tɕi1	
殺	saʔ7	
雜	tsaʔ7	
權	ʈʂʰʯɛ̃2	
杆	kã3	
杈	ʈʂʰa1	
李	ni3	
杏	ɕiən5	
材	tsʰɛ2	
村	tsʰən1	
杖	ʈʂã5	
杜	təu5	
杞	tɕʰi3	
束	ʂʯəʔ7	
條	tʰiɔ2	
來	nɛ2	
楊	iã2	
杭	xã2	
杯	pei1	
杰	tɕieʔ7	
杳	iɔ3	
松	sən1	
板	pã3	
極	tɕiəʔ7	
構	kəu5	
析	ɕiəʔ7	
枕	ʈʂən3	
林	niən2	
果	ko3	
枝	ʈʂʅ1	
樞	ʂʯ1	
棗	tsɔ3	
槍	tɕʰiã1	
枯	kʰu1	
架	ka5	白
架	tɕia5	文
柄	piən3	
柏	peʔ7	
某	mo3	
柑	kã1	
染	ʯɛ̃3	
柔	ʐəu2	
柚	iəu5	
櫃	kuei5	
查	ʈʂʰa2	
柬	tɕiɛ̃3	
柱	ʈʂʯ5	
柳	tʰiəu3	
柴	tsʰɛ2	
查	ʈʂa1	姓氏
柿	tsɿ5	
柵	ʈʂa5	
標	piɔ1	
棧	ʈʂɛ̃5	
棟	tən5	
欄	nã2	
樹	ʂʯ5	
栓	ʂʯɛ̃1	
栖	tɕʰi1	
栗	niəʔ7	
校	tɕiɔ5	～对
校	ɕiɔ5	
株	ʈʂʯ1	
樣	iã5	
核	xeʔ7	
根	kən1	
格	keʔ7	
栽	tsɛ1	
桂	kuei5	
桃	tʰɔ2	
桅	uei2	
案	ŋã5	
桌	ʈʂʯeʔ7	
桐	tʰən2	
桑	sã1	
橋	tɕʰiɔ2	
槳	tɕiã3	
桶	tʰən3	
梁	niã2	
梅	mei2	
梓	tsɿ3	
梔	ʈʂʅ1	
梢	ʂɔ1	
夢	mən5	
梧	u2	
梨	ni2	
梭	so1	
梯	tʰi1	
梯	tei1	
械	tɕiɛ3	
梳	səu1	
梵	fã5	
檢	tɕiɛ̃3	
棉	miɛ̃2	
棋	tɕʰi2	
棍	kuən5	
棒	pã5	
棕	tsən1	
棘	tɕiəʔ7	
棚	pʰən2	
椅	i3	
植	ʈʂəʔ7	
椒	tɕiɔ1	
椰	ie1	
椽	ʈʂʰʯɛ̃2	
椿	ʈʂʰʯən1	
楚	tsʰəu3	
楞	nən5	
楷	kʰɛ3	
概	kɛ5	
欖	nã3	
榆	ʯ2	
榛	ʈʂən1	
榜	pã3	
榨	ʈʂa5	
榴	tʰiəu2	
榻	tʰaʔ7	
槌	ʈʂʰʯei2	
槐	kʰuɛ2	
檳	piən1	
槽	tsʰɔ2	
樟	ʈʂã1	
模	mo2	
橫	xuən2	
樵	tɕʰiɔ2	
橄	kã3	
橘	ʈʂʯəʔ7	
橙	ʈʂʰən2	
檀	tʰã2	
檐	iɛ̃2	
欠	tɕʰiɛ̃5	
次	tsʰɿ5	
歡	xõ1	
欣	ɕiən1	
歐	ŋəu1	
欲	ʯəʔ7	
欺	tɕʰi1	
款	kʰõ3	
歇	ɕieʔ7	
歉	tɕʰiɛ̃5	
歌	ko1	
止	ʈʂʅ3	
正	ʈʂən1	～月
正	ʈʂən5	～确
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殲	tɕiɛ̃1	
殃	iã1	
殆	tɛ5	
殊	ʈʂʰʯ2	
殘	tsʰã2	
殘	ʈʂʰã2	
殮	niɛ̃5	
殖	ʈʂəʔ7	
殯	piən1	
毆	ŋəu1	
段	tõ5	
殷	iən1	
殿	tiɛ̃5	
毁	xuei3	
毅	i5	
毋	u5	
母	mo3	
每	mei3	
毒	təʔ7	
比	pi3	
畢	piəʔ7	
斃	pi5	
毛	mɔ2	
毡	ʈʂɛ̃1	
毫	xɔ2	
毯	tʰã3	
民	miən2	
气	tɕʰi5	
水	ʂʯei3	
永	ʯən3	
汀	tʰiən1	
汁	ʈʂəʔ7	
求	tɕʰiəu2	
汇	xuei5	
漢	xã5	
汊	ʈʂʰa5	
汗	xõ5	
汞	kuən3	
江	tɕiã1	
池	ʈʂʰʅ2	
湯	tʰã1	
汪	uã1	
汲	tɕiəʔ7	
汴	piɛ̃5	
汽	tɕʰi5	
沃	uoʔ7	
沈	ʂən3	
沉	ʈʂʰən2	
沐	məʔ7	
沙	ʂa1	
溝	kəu1	
沒	moʔ7	
淪	nən2	
沫	moʔ7	
河	xo2	
沸	fei5	
油	iəu2	
治	ʈʂʰʅ2	～鱼
治	ʈʂʅ5	
沼	ʈʂɔ1	
沾	ʈʂɛ̃1	
沿	iɛ̃2	
泄	ɕie5	
泉	tɕʰiɛ̃2	
泔	kã1	
法	faʔ7	
泛	fã5	
泡	pʰɔ5	
波	po1	
泣	tɕʰi5	
泥	ni2	
注	ʈʂʯ5	
淚	nei5	
泯	miən3	
泰	tʰɛ5	
瀉	ɕie5	
潑	pʰoʔ7	
澤	tseʔ7	
潔	tɕieʔ7	
洋	iã2	
洒	saʔ7	
洗	ɕi3	
洛	noʔ7	
洞	tən5	
津	tɕiən1	
洪	xuən2	
活	xuoʔ7	
洼	ua5	
洽	tɕʰiaʔ7	
派	pʰɛ5	
流	tʰiəu2	
淺	tɕʰiɛ̃3	
漿	tɕiã1	
澆	tɕiɔ1	
濁	ʈʂʯəʔ7	
測	tsʰeʔ7	
濟	tɕi5	
渾	xuən2	
滸	xu3	
濃	nən2	
浙	ʈʂeʔ7	
浜	pã1	
浦	pʰu3	
浩	xɔ5	
浪	nã5	
浮	fu2	
浴	ʯəʔ7	
海	xɛ3	
涂	tʰəu2	
消	ɕiɔ1	
涉	ʂeʔ7	
涌	ʯən3	
涎	ɕiɛ̃2	
涓	ʈʂʯɛ̃1	
涕	tʰi2	
濤	tʰɔ1	
潤	ʯən5	
漲	ʈʂã3	
澀	səʔ7	
液	iəʔ7	
淆	ɕiɔ1	
淋	niən2	
淑	ʂʯəʔ7	
淡	tã5	
淤	ʯ1	
淫	iən2	
淮	kʰuɛ2	
混	xuən2	～蛋
混	xuən5	～事
添	tʰiɛ̃1	
清	tɕʰiən1	
漸	tɕiɛ̃5	
漁	ʯ2	
滲	ʂən5	
渠	ʈʂʰʯ2	
渡	təu5	
渣	ʈʂa1	
溫	uən1	
渴	kʰoʔ7	
游	iəu2	
渺	miɔ3	
湖	xu2	
灣	uã1	
溼	ʂəʔ7	
潰	kʰuei5	
濺	tɕiɛ̃5	
溉	kɛ5	
源	ʯɛ̃2	
溜	tʰiəu1	
溪	ɕi1	
溺	ni5	
滂	pʰã1	
滑	xuaʔ7	
滔	tʰɔ1	
滗	piəʔ7	
滾	kuən3	
滿	mõ3	
濫	nã5	
濱	piən1	
灘	tʰã1	
滴	tiəʔ7	
漂	pʰiɔ1	～浮
漂	pʰiɔ5	～亮
漆	tɕʰiəʔ7	
演	iɛ̃3	
漫	mã5	
漫	mõ5	
漱	səu5	
潘	pʰõ1	
潛	tɕʰiɛ̃2	
潭	tʰã2	文
潭	tʰõ2	
潮	ʈʂʰɔ2	
潺	ʈʂʰã2	
澄	ʈʂʰən2	
澈	ʈʂʰeʔ7	
澎	pʰən2	
澡	tsɔ3	
激	tɕiəʔ7	
濳	ʈʂʰã5	
瀌	piɔ1	
瀑	pʰəʔ7	
灌	kõ5	
火	xo3	
滅	mieʔ7	
燈	tən1	
灰	xuei1	
靈	niən2	
竈	tsɔ5	
灸	tɕiəu3	
災	tsɛ1	
燦	tsʰã5	
炊	ʈʂʰʯei1	
炎	iɛ̃2	
炒	ʈʂʰɔ3	
炕	kʰã5	
炭	tʰã5	
炮	pʰɔ5	
炸	ʈʂa5	
點	tiɛ̃3	
炼	niɛ̃5	
爛	nã5	
烈	nieʔ7	
烘	xuən1	
烙	noʔ7	
燭	ʈʂʯəʔ7	
烟	iɛ̃1	
煩	fã2	
燒	ʂɔ1	
燙	tʰã5	
熱	ʯeʔ7	
烹	pʰən1	
焉	iɛ̃1	
焚	fən2	
焦	tɕiɔ1	
焰	iɛ̃5	
然	ʯɛ̃2	
煎	tɕiɛ̃1	
煤	mei2	
照	ʈʂɔ5	
煨	uei1	
煮	ʈʂʯ3	
熄	ɕiəʔ7	
熊	ʂʯən2	
熏	ʂʯən1	
熔	ʯən2	
熙	ɕi1	
熟	ʂʯəʔ7	
熨	ʯən5	
熬	ŋɔ2	
熯	xuo5	
燃	ʯɛ̃2	
燎	niɔ2	
燕	iɛ̃5	
爆	pɔ5	
爪	ʈʂɔ3	
爪	ʈʂʯa3	
爬	pʰa2	
愛	ŋɛ5	
爵	tɕioʔ7	
父	fu5	
爺	ie2	
爸	pa5	
爹	tie1	
爽	ʂʯã3	
片	pʰiɛ̃5	
版	pã3	
牌	pʰɛ2	
牘	təʔ7	
牒	tieʔ7	
牙	ŋa2	
牛	tʰiəu2	
牡	məʔ7	
牢	nɔ2	
牧	məʔ7	
物	uəʔ7	
牲	sən1	
特	tʰeʔ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犬	ʈʂʰʯɛ̃3	
犯	fã5	
狀	ʈʂʯã5	
猶	iəu2	
狂	kʰuã2	
狄	tiəʔ7	
狐	xu2	
狐	xu5	
狗	kəu3	
狠	xən3	
狡	tɕiɔ3	
獨	təʔ7	
狹	ɕiaʔ7	
獅	sɿ1	
獄	ʯəʔ7	
狼	nã2	
猛	mən3	
猜	tsʰɛ1	
豬	ʈʂʯ1	
貓	mɔ1	
獻	ɕiɛ̃5	
猴	xəu2	
猾	xuaʔ7	
獺	tʰaʔ7	
玄	ʂʯɛ̃1	
率	ʂʯɛ5	
率	niəʔ7	
玉	ʯ5	
玩	uã2	
環	xuã2	
現	ɕiɛ̃5	
玻	po1	
珊	ʂɛ̃1	
珍	ʈʂən1	
珠	ʈʂʯ1	
班	pã1	
球	tɕʰiəu2	
理	ni3	
瑣	so3	
琢	ʈʂʯeʔ7	
琴	tɕʰiən2	
琵	pʰi2	
琶	pa1	
瓊	ʈʂʰʯən2	
瑕	ɕia2	
瑞	ʯei5	
瑟	seʔ7	
瑰	kuei5	
璃	ni2	
璧	piəʔ7	
瓜	kua1	
瓢	pʰiɔ2	
瓣	pã5	
瓦	ua3	
瓮	uən5	
瓶	pʰiən2	
瓷	tsʰɿ2	
甘	kã1	
甚	ʂən5	
甜	tʰiɛ̃2	
生	sən1	
甥	sən1	
用	ʯən5	
甩	ʂʯɛ3	
甫	fu3	
甬	ʯən3	
田	tʰiɛ̃2	
由	iəu2	
甲	tɕiaʔ7	
電	tiɛ̃5	
男	nõ2	
畫	xua5	
暢	ʈʂʰã5	
界	tɕiɛ5	
畏	uei5	
留	tʰiəu2	
畚	pən1	
畜	ʈʂʰʯəʔ7	
略	nioʔ7	
番	fã1	
疆	tɕiã1	
疏	səu1	
疑	i2	
疝	ʂɛ̃5	
瘧	nioʔ7	
疤	pa1	
瘡	ʈʂʰʯã1	
瘋	fən1	
疲	pʰi2	
疵	tsʰɿ1	
疹	ʈʂən3	
疼	tʰən5	
疾	tɕiəʔ7	
病	piən5	
症	ʈʂən5	
痊	tɕʰiɛ̃2	
痒	iã3	
痔	ʈʂʅ5	
痕	xən3	
痛	tʰən5	
痞	pʰi3	
痢	ni5	
痣	ʈʂʅ5	
痰	tʰã2	
痱	fei5	
癡	ʈʂʰʅ1	
瘟	uən1	
瘦	səu5	
瘸	ʈʂʯe2	
癌	iɛ2	
癩	nɛ5	
癩	naʔ7	
癬	ɕiɛ̃3	
登	tən1	
白	peʔ7	
百	peʔ7	
皂	tsɔ5	
的	tiəʔ7	出租车
皆	tɕiɛ1	
皇	xuã2	
皖	uõ3	
皮	pʰi2	
皿	miən3	
盂	ʯ2	
盅	ʈʂʯən1	
盆	pʰən2	
盈	iən2	
盞	ʈʂɛ̃3	
鹽	iɛ̃2	
監	tɕiɛ̃1	
盒	xoʔ7	
盔	kʰuei1	
盖	kɛ5	
盜	tɔ5	
盤	pʰõ2	
盛	ʈʂʰən2	～饭
盛	ʂən5	茂～
盝	tʰəu3	
盟	mən2	
目	məʔ7	
盲	mã2	
直	ʈʂəʔ7	
相	ɕiã1	
相	ɕiã5	长～
盼	pʰã5	
盾	tən5	
省	sən3	～城
省	ɕiən3	反～
眉	mei2	
看	kʰõ1	～门
看	kʰõ5	
眙	tsʰɿ1	看：过来～～好东西
真	ʈʂən1	
眠	miɛ̃2	
眨	tsaʔ7	
眩	ʂʯɛ̃5	
眯	mi1	
眷	ʈʂʯɛ̃5	
眸	məu2	
眼	ŋã3	
着	ʈʂo1	
睜	ʈʂən1	
睛	tɕiən1	
睡	ʂʯei5	
督	təʔ7	
睬	tsʰɛ3	
瞄	miɔ1	
瞎	xaʔ7	
瞒	mõ2	
瞟	pʰiɔ3	
瞧	tɕʰiɔ2	
瞪	tən5	
瞬	ʂʯən5	
瞰	kʰã5	
瞳	tʰən2	
瞻	ʈʂɛ̃1	
矛	mɔ2	
矢	ʂʅ3	
知	ʈʂʅ1	
矩	ʈʂʯ3	
矯	tɕiɔ3	
矬	tsʰo5	
短	tõ3	
石	ʂəʔ7	
碼	ma3	
砌	tɕʰi5	
砍	kʰã3	
研	niɛ̃3	
磚	ʈʂʯɛ̃1	
硯	niɛ̃5	
破	pʰo5	
硝	ɕiɔ1	
硫	tʰiəu2	
硬	ŋən5	
確	tɕʰioʔ7	
礙	ŋɛ5	
碎	sei5	
碑	pei1	
碗	uõ3	
碧	piəʔ7	
碰	pʰən5	
碾	niɛ̃3	
磁	tsʰɿ2	
磕	kʰo1	
磕	kʰoʔ7	
磨	mo2	
磨	mo5	
磬	tɕʰiən5	
磷	niən2	
示	ʂʅ5	
禮	ni3	
社	ʈʂʰe5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祈	tɕʰi3	
祝	ʈʂʯəʔ7	
神	ʂən2	
祠	tsʰɿ2	
祥	tɕʰiã2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xo5	
禀	piən3	
禁	tɕiən1	不～
禁	tɕiən5	
禄	nəʔ7	
禪	ʈʂʰɛ̃2	
福	fəʔ7	
禧	ɕi3	
离	ni2	
禽	tɕʰiən2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
禿	tʰəʔ7	
秆	kã3	
秉	piən3	
秋	tɕʰiəu1	
種	ʈʂʯən3	～子
種	ʈʂʯən5	～地
科	kʰo1	
秒	miɔ3	
秘	pi5	秘鲁，国家名
秘	miəʔ7	
秤	ʈʂʰən5	
秦	tɕʰiən2	
秧	iã1	
秩	ʈʂʰəʔ7	
積	tɕiəʔ7	
稱	ʈʂʰən1	～呼
稱	ʈʂʰən5	～心
秸	kɛ1	
移	i2	
穢	xuei5	
稀	ɕi1	
稍	ʂɔ1	
稍	ʂɔ5	
稅	ʂʯei5	
稗	pɛ5	
稚	ʈʂʅ5	
穩	uən3	
稷	tɕi5	
稻	tɔ5	
稼	tɕia5	
稽	tɕi1	
穆	məʔ7	
穗	sei5	
穴	ɕie5	
究	tɕiəu5	
穹	ʈʂʰʯən2	
空	kʰuən1	
空	kʰuən5	有～
穿	ʈʂʰʯɛ̃1	
突	tʰəʔ7	
窄	tseʔ7	
窒	ʈʂʅ5	
窗	ʈʂʰʯã1	
窘	ʈʂʯən3	
窩	uo1	
窟	kʰuəʔ7	
窠	kʰo1	
窺	kʰuei1	
立	niəʔ7	
豎	ʂʯ5	
站	ʈʂɛ̃5	
競	tɕiən5	
竟	tɕiən5	
章	ʈʂã1	
童	tʰən2	
竭	tɕieʔ7	
端	tõ1	
竹	ʈʂʯəʔ7	
竿	kõ3	
篤	təʔ7	
笑	ɕiɔ5	
笔	piəʔ7	
笙	sən1	
笛	tiəʔ7	
符	fu2	
笨	pən5	
第	ti5	
籠	nən2	
等	tən3	
筋	tɕiən1	
筏	faʔ7	
筐	kʰuã1	
筑	ʈʂʯəʔ7	
筒	tʰən2	
答	iən5	
答	taʔ7	
策	tsʰeʔ7	
篩	sɛ1	
箏	ʈʂən1	
筷	kuɛ7	
签	tɕʰiɛ̃1	
簡	tɕiɛ̃3	
箍	kʰu1	
算	sõ5	
管	kõ3	
箭	tɕiɛ̃5	
箱	ɕiã1	
箸	ʈʂʯ5	
篆	ʈʂʯɛ̃5	
篇	pʰiɛ̃1	
篡	ʈʂʰʯɛ̃5	
篷	pʰən2	
篾	mieʔ7	
簪	tsã1	
簸	po1	
簿	pu5	
籍	tɕiəʔ7	
米	mi3	
籽	tsɿ3	
粉	fən3	
粒	niəʔ7	
粘	niɛ̃1	
粟	səʔ7	
粤	ʯeʔ7	
粥	ʈʂʯəʔ7	
糞	fən5	
糧	niã2	
粹	tsʰei5	
糉	tsən5	
精	tɕiən1	
糍	tsʰɿ2	
糖	tʰã2	
糙	tsʰɔ5	
糟	tsɔ1	
糠	kʰã1	
糯	no5	
系	tɕi5	～扣子
系	ɕi5	～系
素	səu5	
索	soʔ7	
緊	tɕiən3	
紫	tsɿ3	
累	nei5	
絮	ɕi5	
繁	fã2	
糾	tɕiəu1	
紅	xuən2	
纤	tɕʰiɛ̃1	
約	ioʔ7	
級	tɕiəʔ7	
紀	tɕi3	
緯	uei3	
純	ʈʂʰʯən2	
紗	ʂa1	
綱	kã1	
納	naʔ7	
縱	tsən5	
紛	fən1	
紙	ʈʂʅ3	
紋	uən2	
紡	fã3	
紐	tʰiəu3	
線	ɕiɛ̃5	
練	niɛ̃5	
細	ɕi5	
織	ʈʂəʔ7	
終	ʈʂʯən1	
絆	pʰã5	
紹	ʂɔ5	
經	tɕiən1	
綁	pã3	
絨	ʯən2	
繞	ʐɔ3	
繞	ʐɔ5	
繪	xuei5	
給	ke2	～你
給	tɕi3	
絡	noʔ7	
絕	ʈʂʯeʔ7	文
絞	tɕiɔ3	
統	tʰən3	
絹	ʈʂʯɛ̃1	
繡	ɕiəu5	
綏	sei1	
繼	tɕi5	
績	tɕiəʔ7	
緒	ʂʯ5	
續	ʂʯəʔ7	
綽	ʈʂʰoʔ7	
繩	ʂən2	
維	uei2	
綿	miɛ̃2	
綻	ʈʂã5	
綻	ʈʂɛ̃5	
綠	nəʔ7	
綴	ʈʂʯei5	
緬	miɛ̃3	
纜	nã3	
緝	tɕiəʔ7	
緞	tõ5	
緩	xõ3	
編	piɛ̃1	
緣	ʯɛ̃2	
縛	fəʔ7	
縫	fən2	动词
縫	fən5	
纏	ʈʂʰɛ̃2	
纓	iən1	
縮	soʔ7	
繳	tɕiɔ3	
缸	kã1	
缺	ʈʂʰʯeʔ7	
罐	kõ5	
罕	xã3	
羅	no2	
罰	faʔ7	
罷	pa5	
罩	ʈʂɔ5	
罪	tsei5	
置	ʈʂʅ5	
署	ʂʯ3	
羈	tɕi1	
羊	iã2	
美	mei3	
羞	ɕiəu1	
羡	ɕiɛ̃5	
羣	ʈʂʰʯən2	
羹	kən1	
羽	ʯ3	
翁	uən1	
翅	ʈʂʰʅ5	
翠	tsʰei5	
翰	xã5	
翻	fã1	
翼	iəʔ7	
耀	iɔ5	
老	nɔ3	
者	ʈʂe3	
耆	tɕʰi2	
而	ɔ2	
耍	ʂʯa3	
耐	nɛ5	
耕	kən1	
耳	ɔ3	
耶	ie1	
恥	ʈʂʰʅ3	
耽	tã1	
耿	kən3	
耿	kən5	
聊	niɔ2	
聾	nən2	
職	ʈʂəʔ7	
聯	niɛ̃2	
聘	pʰiən5	
聚	ʈʂʯ5	
聰	tsʰən1	
肅	səʔ7	
肄	i5	
肆	sɿ5	
肇	ʈʂɔ5	
肉	ʐəu5	
肋	neʔ7	
肌	tɕi1	
肖	ɕiɔ1	
肚	təu3	
肛	kã1	
肝	kã1	
肝	kõ1	
股	ku3	
肢	ʈʂʅ1	
肤	fu1	
肥	fei2	
肩	tɕiɛ̃1	
肪	fã2	
肫	ʈʂʯən1	
骯	ŋã1	
肯	kʰən3	
育	ʯəʔ7	
肴	iɔ2	
肺	fei5	
腎	ʂən5	
腫	ʈʂʯən3	
脅	ɕieʔ7	
胃	uei5	
膽	tã3	
背	pei1	动词
背	pei5	后～
胎	tʰɛ1	
胖	pʰã5	
胚	pʰei1	
勝	ʂən5	
胞	pɔ1	
胡	xu2	
胥	ɕi5	
胯	kʰa5	白
胯	kʰua5	文
胳	koʔ7	
膠	tɕiɔ1	
胸	ʂʯən1	
能	nən2	
脆	tsʰei5	
脉	meʔ7	
脊	tɕiəʔ7	
脏	tsã1	～衣
脏	tsã5	心～
臍	tɕʰi2	
腦	nɔ3	
膿	nən2	
脖	poʔ7	
腳	tɕioʔ7	
脯	pʰu3	
脫	tʰoʔ7	
臉	niɛ̃3	
脾	pʰi2	
臘	naʔ7	
腐	fu3	
腑	fu3	
腔	tɕʰiã1	
腕	uõ3	
腥	ɕiən1	
腮	sɛ1	
腰	iɔ1	
腹	fəʔ7	
膩	ni5	
騰	tʰən2	
腿	tʰei3	
膘	piɔ1	
膜	moʔ7	
膝	ɕiəʔ7	
臀	tʰən2	
臊	sɔ1	
臟	ʈʂʅ1	食用油变质
臣	ʈʂʰən2	
臧	tsã1	
自	tsɿ5	
臭	ʈʂʰəu5	
至	ʈʂʅ5	
致	ʈʂʅ5	
臻	ʈʂən1	
臼	tɕiəu5	
舀	iɔ3	
舂	ʈʂʰʯən1	
舅	tɕiəu5	
舌	ʂeʔ7	
舍	ʈʂʰe3	
舒	ʂʯ1	
舔	tʰiɛ̃3	
舜	ʂʯən5	
舞	u3	
航	xã2	
舵	to5	
船	ʈʂʰʯɛ̃2	
艇	tʰiən3	
良	niã2	
艱	tɕiɛ̃1	
色	seʔ7	
艳	iɛ̃5	
藝	i5	
艾	ŋɛ5	
節	tɕieʔ7	
芋	ʯ5	
芍	ʂɔ2	
芒	mã2	
芝	ʈʂʅ1	
芥	kɛ5	
芬	fən1	
芭	pa1	
花	xua1	
芳	fã1	
芷	ʈʂʅ3	
芹	tɕʰiən2	
芽	ia2	
莧	xã5	
蒼	tsʰã1	
苏	səu1	
苔	tʰɛ2	
苗	miɔ2	
苛	kʰo1	
苟	kəu3	
若	ʐoʔ7	
苦	kʰu3	
英	iən1	
茂	mo5	
范	fã5	
茄	tɕʰie2	
茅	mɔ2	
莖	tɕiən1	
塋	iən2	
繭	tɕiɛ̃3	
茫	mã2	
茶	ʈʂʰa2	
茸	ʯən2	
荆	tɕiən1	
草	tsʰɔ3	
薦	tɕiɛ̃5	
荒	xuã1	
荔	ni5	
荡	tã5	
榮	ʯən2	
葷	xuən1	
荫	iən1	
藥	ioʔ7	
荷	xo2	
莠	iəu3	
莫	moʔ7	
蓮	niɛ̃2	
获	xuoʔ7	
鶯	iən1	
菊	ʈʂʯəʔ7	
菌	ʈʂʯən1	
菜	tsʰɛ5	
菩	pʰu2	
菱	niən2	
菲	fei1	
萄	tʰɔ2	
萌	mən2	
螢	iən2	
營	iən2	
蕭	ɕiɔ1	
薩	saʔ7	
落	noʔ7	
著	ʈʂʯ5	
葚	ʂən5	
葛	koʔ7	
董	tən3	
葬	tsã5	
葱	tsʰən1	
葵	kʰuei2	
蔣	tɕiã3	
蒙	mən2	
蒜	sõ5	
蒲	pʰu2	
蒸	ʈʂən1	
蒿	xɔ1	
蓄	ʂʯəʔ7	
蓑	so1	
藍	nã2	
蓬	pʰən2	
蔑	mieʔ7	
蔗	ʈʂe5	
蔡	tsʰɛ5	
蔬	səu1	
藹	ŋɛ3	
蔽	pi5	
蕊	ʯei3	
薄	poʔ7	
薅	xɔ1	
薇	uei1	
薛	ɕieʔ7	
薪	ɕiən1	
薯	ʂʯ3	
薰	ʂʯən1	
藏	tsʰã2	
藏	ʈʂʰã2	
藏	tsã5	西～
藐	miɔ3	
藕	ŋəu3	
藤	tʰən2	
藩	fã1	
蘸	ʈʂɛ̃5	
虎	xu3	
虐	nioʔ7	
虔	tɕʰiɛ̃2	
虛	ʂʯ1	
虞	ʯ2	
蟲	ʈʂʰʯən2	
虱	səʔ7	
虹	xuən2	文
虹	kã5	白
雖	sei1	
蝦	ɕia1	文
蚊	uən2	
蚌	pã5	河～
蠶	tsʰã2	
蠶	ʈʂʰã2	
蠶	tsʰõ2	
蚤	tsɔ3	
蛆	tɕʰi1	
蛇	ʈʂʰe2	
蛋	tã5	
蛙	ua1	
蛛	ʈʂʯ1	
蠻	mã2	
蛾	ŋo2	
蜀	ʂʯ3	
蜂	fən1	
蜓	tʰiən2	
蜘	ʈʂʅ1	
蜜	miəʔ7	
蠟	naʔ7	
蜻	tɕʰiən1	
蠅	iən2	
蟬	ʈʂʰɛ̃2	
蝗	xuã2	
蝙	piɛ̃3	
蝠	fəʔ7	
蝴	xu2	
蝶	tieʔ7	
螂	nã2	
融	ʯən2	
螳	tʰã2	
螺	no2	
蟀	ʂʯɛ5	
蟆	ma2	
蟋	ɕi1	
蟹	xɛ3	
蟾	ʈʂʰɛ̃2	
蠢	ʈʂʰʯən3	
血	ɕie5	
行	ɕiən2	
行	xã2	银～
銜	kʰã2	
銜	ɕiɛ̃2	
街	kɛ1	
衙	ia2	
衣	i1	
補	pu3	
表	piɔ3	
衫	ʂɛ̃1	
襯	tsʰən5	
衰	ʂʯɛ1	
袁	ʯɛ̃2	
襖	ŋɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	ɕiəu5	
袜	uaʔ7	
被	pei5	
裁	tsʰɛ2	
裂	nieʔ7	
裝	ʈʂʯã1	
裕	ʯ5	
