#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
埋	maiʔ7	
城	tsʰəŋʔ7	
埠	pʰu5	
培	pʰəiʔ7	
基	ki1	
堂	tʰaŋʔ7	
堆	təi1	
墮	tɔ5	
堡	pau3	
堤	tʰiʔ7	
堪	kʰaŋ1	
堵	tu3	
塌	tʰaʔ7	
塑	su5	
塔	tʰaʔ7	
塘	tʰaŋʔ7	
塞	sai1	
塞	sɿʔ7	堵～
填	tʰiənʔ7	
塾	suʔ7	
境	keⁱŋ5	
墓	mu5	
牆	tɕʰiaŋʔ7	
增	tsəŋ1	
墨	mɔʔ7	
墩	təŋ1	
壁	pʰiʔ7	
壅	ioŋ1	
壕	hauʔ7	
壤	zaŋ3	
士	sɿ5	
壬	zeⁱŋʔ7	
壯	tsuaŋ5	
聲	səŋ1	
殼	kʰɔʔ7	
壺	huʔ7	
處	tsʰu5	
處	tɕʰy5	
備	pi5	
复	fuʔ7	
夏	hia3	
夕	ɕiʔ7	
外	vai5	
多	tɔ1	
夜	iɛ5	
够	kəu5	
大	ta5	
天	tʰiən1	
太	tʰai5	
夫	fu1	
央	zaŋ1	
夯	haŋ1	
失	ɕiʔ7	
頭	tʰəuʔ7	
夷	ziʔ7	
夸	kʰua1	
夾	kiaʔ7	
奪	tɔʔ7	
奇	kʰiʔ7	
奈	lai5	
奉	foŋ5	
奮	fəŋ5	
奎	kuəi1	
奏	tsəu5	
契	kʰi5	
奔	pəŋ1	
獎	tɕiaŋ3	
套	tʰau5	
奚	ɕi1	
奠	tiən5	
奤	tʰai3	
奧	au5	
女	ny3	
奴	luʔ7	
奶	lai3	
奸	kaŋ1	
好	hau3	良～
好	hau5	喜～
如	luʔ7-	
如	zuʔ7=	
妃	fəi1	
妝	tsuaŋ1	
婦	fu5	
媽	ma1	
妒	tu5	
妓	tɕi1	
妖	zau1	
妙	miau3	
妞	liəu1	
妥	tʰɔ3	
妨	faŋʔ7	
妮	niʔ7	
妲	taʔ7	
妳	li3	
妹	məi5	
妻	tɕʰi1	
妾	tɕʰiɛʔ7	
姊	tsɿ3	
始	ɕi3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕeⁱŋ5	
委	vəi3	
姚	zauʔ7	
姜	kiaŋ1	
姝	ɕy1	
姥	lau3	
姨	ziʔ7	
姻	zeⁱŋ1	
姿	tsɿ1	
娃	va1	
嬌	kiau1	
娘	niaŋʔ7	
娜	na5	
娜	nɔʔ7	
娠	tsʰəŋʔ7	
娥	ŋɔʔ7	
娩	miən3	
媧	va1	
娶	tɕʰy3	
婆	pʰɔ1	
婆	pʰɔʔ7	
婉	vəŋ3	
婚	hun1	
嬰	zeⁱŋ1	
嬸	ɕeⁱŋ3	
婿	ɕi5	
媒	məiʔ7	
媚	məi5	
媳	ɕiʔ7	
嫁	ka5	
嫁	kia5	
嫂	sau3	
嫌	hiənʔ7	
嫐	nauʔ7	
嫖	pʰiauʔ7	
嫡	tiʔ7	
嫩	ləŋ5	
嬉	hi1	
嬲	niau3	
孀	suaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	zun5	
字	tsɿ5	
存	tsʰəŋʔ7	
孫	səŋ1	
孝	hiau5	
孟	moŋ5	
季	ki5	
孤	ku1	
學	hioʔ7	
孩	haiʔ7	
孬	nau1	
孰	suʔ7	
孵	fu1	
孽	niɛʔ7	
寧	neⁱŋʔ7	
它	hə1-	
它	tʰa1=	
宇	zy3	
守	səu3	
安	ŋaŋ1	
宋	soŋ5	
完	vaŋʔ7	
宏	hoŋʔ7	
宕	taŋ5	
宗	tsoŋ1	
官	kuən1	
宙	tsəu5	
定	teⁱŋ5	
宛	vəŋ3	
宜	ziʔ7	
寶	pau3	
實	ɕiʔ7	
寵	tsʰoŋ3	
審	ɕeⁱŋ3	
客	kʰɤʔ7	
宣	suən1	
室	ɕiʔ7	
宦	huaŋ5	
宪	hiən5	
宮	koŋ1	
宰	tsai3	
害	hai5	
宴	ziən5	
宵	ɕiau1	
家	ka1	
家	kia1	
容	zoŋʔ7	
寬	kʰuən1	
賓	peⁱŋ1	
宿	suʔ7	
寂	tɕi5	
寄	ki5	
