#漢字	音標	解釋
□	nam1	蘸酱油
暫	tsʰam2	
暇	ha2	
暑	sɐu3	
暖	nun3	
暗	ŋɐn3	
暮	mɐu2	
暴	pʰau2	
曝	pʰau2	
曲	kʰok7a	
更	kaŋ1	~换
更	kaŋ3	~加
曹	tsʰau1	
曾	tsʰaŋ2	~经
曾	tsʰaŋ1	姓
替	tʰɐi3	
最	tsui3	
月	ŋiut7b	
有	zɐu3	
朋	pʰaŋ2	
服	fok8	
朔	sak7b	
朗	laŋ3	
望	muŋ2	
朝	tsʰiu2	~代
朝	tsiu1	今~
期	kʰɐi2	
木	mok7a	
未	mɐi2	
末	mut7b	
本	pun3	
札	tsat7b	
术	sɐt8	
朱	tsɐu1	
朴	pʰok8	
朶	to3	
機	kɐi1	
朽	sɐu3	
殺	sat7b	
雜	tsap7b	
權	kʰun2	
杆	kan3	
杈	tsʰa1	
杉	tsʰam3	
李	lɐi3	
杏	haŋ2	
材	tsʰai2	
村	tsʰuon1	
杖	tsʰiŋ2	
杜	tʰu2	
杞	kɐi3	
束	tsʰok7a	
條	tʰiu2	
來	lai2	
楊	ziŋ2	
杭	haŋ2	
杯	pui1	
杰	kʰit7b	
杳	miu3	
杵	tsʰɐu3	
杷	pʰa2	
松	soŋ2	
松	soŋ1	轻~
板	pʰan3	
極	kʰɛk8	
枇	pʰi2	
枉	vuŋ3	
析	sɛk7a	
枕	tsɐn3	
林	lɐn2	
枚	mui2	
果	ku3	
枝	tsi1	
樞	kʰɐu1	
棗	tsau3	
槍	tsʰiŋ1	
楓	foŋ1	
枯	kʰu1	
枵	hiu1	
柄	pɛŋ3	
柏	pɛk7a	
某	mau3	
柑	kam1	
染	ŋim3	
柔	zɐu2	
柚	zɐu2	
櫃	kʰʷɐi2	
查	tsʰa2	
柩	kʰɐu2	
柬	kan3	
柱	tsʰɐu2	
柳	lɐu3	
柴	sai2	
柺	kʰʷai3	
柿	si2	
標	piu1	
棧	tsʰan2	
棟	tuŋ2	
欄	lan2	
樹	tsɐu2	
栗	lɐt7a	
栗	lɛt7a	
校	kau3	~对
校	kau3	上~
校	kau3	学~
株	tsɐu1	
樣	ziŋ2	
核	hɐt8	审~
核	hɐt8	果子~
根	kɐn1	
格	kak7b	
栽	tsai1	
桂	kʷɐi3	
桃	tʰau2	
桅	vɐi2	
案	an2	
桌	tsuk7b	
桐	tʰoŋ2	
桑	saŋ1	
桓	han2	
桔	kɐt7a	
椏	ŋa1	
橋	kʰiu2	
槳	tsiŋ3	
桶	tʰoŋ3	
梁	liŋ2	
梅	mui2	
梓	tsi3	
梢	sau1	
夢	muŋ2	
梧	ŋo2	
梨	lɐi2	
梭	sa1	
梯	tʰɐi1	
械	hai2	
梳	sa1	
檢	kim3	
棉	min2	
棋	kʰɐi2	
棍	kʷɐn3	
棒	puŋ3	
棕	tsoŋ1	
棚	pʰaŋ2	
棠	tʰaŋ2	
森	sɐn1	
棲	sɐi1	
棵	kʰo1	
棺	kun1	
椅	zi3	
植	tsʰɛk8	
椒	tsiu1	
橢	tʰo3	
椴	tʰun2	
椽	tsin3	
椿	tsʰɐn1	
楂	tsa1	
楚	tsʰu3	
楝	lin2	
楞	lɛŋ2	
楣	mɐi2	
楦	sin1	
楷	kai1	
樓	lɐu2	
概	kʰai3	
欖	lam3	
榆	zi2	
榜	paŋ3	
榨	tsa2	
榫	sɐn3	
榴	lɐu2	
榻	tʰap7b	
槌	tsʰui2	
槐	vai2	
檳	pɐn1	
槽	tsʰau1	
樟	tsiŋ1	
模	mu1	
橫	vɛŋ2	
櫻	iŋ1	
樵	tsiu1	
橄	kam3	
橙	tsʰaŋ2	
橡	tsʰiŋ2	
櫓	lu3	
檀	tʰan1	
欠	him3	
欠	ŋiɐm3	
次	tsʰi3	
次	tsʰɐi3	
歡	fun1	
欣	hɐn1	
歐	ɐu1	
欲	zok7a	
欺	hɐi1	
款	fun3	
歇	hit7b	
歉	him1	
歌	ka1	
止	tsi3	
正	tsɛŋ3	
正	tsɛŋ1	~月
此	tsʰɐi3	
步	pʰɐu2	
武	mɐu3	
歪	vai1	
死	sɐi2	
殲	tsʰim1	
殃	ziŋ1	
殆	tʰai2	
殉	sɐn2	
殊	si2	
殘	tsʰan2	
殮	lim3	
殖	tsʰɛk8	
殯	pɐn1	
毆	ɐu3	
段	tʰun2	
殷	in1	
殿	tʰin2	
毁	fui3	
毅	ŋɐi2	
母	mɐu3	
每	mui3	
毒	tʰok8	
比	pɐi3	
畢	pɛt7a	
斃	pʰɐi2	
毛	mau2	
毫	hau2	
毯	tʰan3	
氈	tsin1	
氏	si2	
民	mɐn2	
气	hɐi3	
水	sui3	
永	vɛŋ3	
汁	tsɐp7a	
求	kʰɐu2	
汇	huoi2	
漢	han3	
汗	han2	
汞	koŋ3	
江	kaŋ1	
池	tsʰi2	
污	vu1	
湯	tʰaŋ1	
汪	vuŋ2	
汽	hɐi3	
沃	au3	
沈	sɐn3	
沉	tsʰɐn2	
沌	tɐn2	
沓	tʰap7b	
沙	sa1	
沛	pʰui3	
溝	kɐu1	
没	mut8	
漚	ɐu3	
淪	lɐn2	
滬	fu2	
沫	mut7b	
河	ha2	
油	zɐu2	
治	tsʰɐi2	
沼	siu2	
沾	tsim1	
沿	zun2	
泄	sit7b	
泅	sɐu2	
泉	tsʰun2	
泊	pʰɛk7b	
泌	pɐi3	
泔	kam1	
法	fat7b	
泛	fan2	
泡	pʰau1	
波	pu1	
泣	lɐp7a	
泥	nɐi2	
注	tsɐu3	
淚	lui2	
泰	tʰai3	
泳	vɛŋ3	
瀉	si3	
潑	pʰut7b	
澤	tsʰɛk7b	
潔	kit7b	
洋	ziŋ2	
洒	sa3	
洗	sɐi2	
洛	lak7b	
洞	tʰoŋ2	
津	tsɐn1	
洪	hoŋ1	
洲	tsɐu1	
活	hut7b	
洼	va1	
洽	hɐp7b	
派	pʰai2	
流	lɐu2	
淺	tsʰin3	
漿	tsiŋ1	
澆	hiu3	
濁	tsʰok8	
測	tsʰak7a	
濟	tsɐi3	
渾	vɐn2	
濃	noŋ2	
浙	tsit7b	
浜	pɐŋ1	
浦	pʰɐu3	
浩	kʰau3	
浪	laŋ2	
浮	fɐu2	
浴	zok7a	
海	hai3	
浸	tsɐn2	
涂	tʰu2	
消	siu1	
涉	sip8	
涌	zuŋ3	
涎	zin2	
涕	tʰɐi3	
濤	tʰau2	
澇	lau2	
潤	ŋiɐn2	
澗	kan3	
漲	tsiŋ3	
澀	kit7b	
涯	ŋan2	
液	zɛk7a	
淆	ŋau2	
淋	lɐn2	
淑	sok8	
淘	tʰau2	
淡	tʰam2	
淤	ɐu1	
淫	ŋiɐm2	
淮	vai2	
深	sɐn1	
混	vɐn2	
淹	zim1	
添	tʰim1	
清	tsʰɛŋ1	
淵	zin1	
漸	tsʰim2	
漁	ŋɐu2	
滲	tsʰam2	水~透
渠	kʰɐi2	
渡	tʰu2	
渣	tsa1	
溫	vɐn1	
港	kaŋ3	
渴	hat2	
游	zɐu2	
渺	miu3	
湎	min3	
湖	fu2	
湘	siŋ1	
灣	van1	
溼	sɐp7a	
潰	kʰʷai3	
濺	tsʰin2	
溉	kʰai3	
源	ŋiun2	
溜	liu2	
溪	kʰɐi1	
溺	nɛk8	
滂	pʰaŋ2	
滋	tsʰi2	
滑	vat8	
滓	tsai3	
滔	tʰau1	
滚	kʷɐn3	
滯	tsɐi3	
滿	mun3	
濾	lɐi2	
濫	lam2	
灘	tʰan1	
滴	tɛk7a	
滷	lu3	
漂	pʰiu1	
漆	tsʰɐt7b	
漏	lɐu2	
演	zin3	
漫	man2	
漱	su3	
潘	pʰun1	
潭	tʰam2	
潮	tsʰiu2	
潲	sau3	猪食
澄	tsʰaŋ2	
澡	tsau3	
激	kɛk7a	
瀑	pʰau2	
灌	kun3	
灒	tsan3	
火	vo3	
滅	mit7b	
燈	taŋ1	
灰	fui1	
靈	lɛŋ2	
竈	tsau3	
灸	kɐu3	
災	tsai1	
爐	lu2	
炊	tsʰui1	
炎	zin2	
炒	tsʰau3	
炕	haŋ1	
炙	tsɛk7a	
炭	tʰan3	
炮	pʰau3	
炸	tsa2	~弹
炸	tsa3	用油~
點	tim3	
爛	lan2	
爛	tsʰan3	
烈	lit7b	
烘	hoŋ3	
烙	lak7b	
燭	tsok7a	
烟	zin1	
烤	hau3	
煩	fan1	
燒	siu1	
燙	tʰaŋ3	
熱	ŋit7b	
焉	zin1	
焊	han2	
煥	vun2	
焙	pʰui3	
焚	fɐn1	
焦	tsiu1	
焰	zin3	
煎	tsin1	
煤	mui2	
照	tsiu3	
煨	vui1	
煮	tsɐu3	
熄	sɛk7a	
熊	hoŋ2	
熏	fɐn1	
熙	hɐi1	
熟	sok8	
熬	ŋau2	
燃	nɛn3	
燎	liu2	
燐	lɐn2	
燕	zin3	~京
燕	zin3	~子
爆	pʰau2	
爪	tsau3	
爬	pʰa2	
愛	ai3	
爵	tsik7b	
父	fɐu2	
爸	pa3	
爹	tɛ1	
爽	suŋ3	
片	pʰin3	
版	pʰan3	
牌	pʰai2	
牒	tʰip8	
牙	ŋa2	
牛	ŋɐu2	
牡	mau3	
牢	lau2	
牧	mok7a	
物	mɐt7a	
牯	ku3	
牲	sɛŋ1	
牽	hin1	
特	tʰak8	
犧	hɐi1	
犀	sɐi1	
犁	lɐi2	
犍	kin3	
犒	kʰau3	
犬	kʰin3	
犯	fan2	
狀	saŋ2	
猶	zɐu2	
狂	kʰuŋ2	
狄	tʰɛk8	
狐	fu2	
狗	kɐu3	
狡	kau3	
獨	tok7b	
狹	hip7b	
獅	si1	
獄	ŋiok7a	
狸	lɐi2	
狼	laŋ2	
獵	lap7b	
猛	maŋ3	
猜	tsʰai1	
豬	tsɐu1	
猫	miau2	
獻	hin3	
猴	hɐu2	
猾	vat8	
獺	tʰat7b	
玄	hin2	
率	sɐt8	~领
玉	ŋiok7a	
王	vuŋ2	
玩	van3	
環	van2	
現	hin2	
玻	pu1	
珊	san1	
珍	tsɐn1	
珠	tsɐu1	
班	pan1	
球	kʰɐu2	
理	lɐi3	
琉	lɐu2	
瑣	su3	
琴	kʰɐn2	
琵	pʰi2	
琶	pʰa2	
瓊	kʰɛŋ2	
瑕	ha2	
瑞	sui2	
瑟	sɛt7a	
璃	lɐi2	
璧	pɛk7a	
瓜	kʷa1	
瓢	pʰiu2	
瓣	pin3	
瓤	naŋ2	
瓦	ŋa3	
瓮	oŋ3	
甌	ɐu1	
瓶	pʰɛŋ2	
瓷	tsʰi2	
甘	kam1	
甚	sɐn2	
甜	tʰim2	
生	sɛŋ1	
甥	sɛŋ1	
用	zoŋ2	
甫	pʰɐu3	
田	tʰin2	
由	zɐu2	
甲	kap7b	
申	sɐn1	
電	tʰin2	
男	nam2	
畫	vɛk7b	
暢	tsʰuŋ3	
界	kai3	
畏	vɐi2	
留	lɐu2	
畜	tsʰok7a	
略	lɛk7b	
番	fan1	
疆	kiŋ1	
疏	sa1	
疑	zi2	
療	liu2	
疝	san1	
瘧	nɛk8	
瘍	ziŋ2	
疤	pa1	
疥	kai3	
疫	zɛk7a	
瘡	tsʰaŋ1	
瘋	foŋ1	
疲	pʰɐi2	
疵	tsʰi3	
疹	tsʰɐn3	
疾	tsʰɐt8	
痂	ka1	
病	pʰɛŋ2	
症	tsɛŋ3	
痒	ziŋ3	
痔	tsʰɐi2	
痕	hɐn2	
痛	tʰoŋ3	
痢	lɐi2	
痣	tsi3	
痰	tʰam2	
痱	pʰɐi3	
痹	pɐi3	
瘌	lat7b	
瘟	vɐn1	
瘦	sɐu3	
瘴	tsiŋ3	
癩	lai2	
癬	sin3	
登	taŋ1	
白	pʰɛk8	
百	pɛk7a	
皂	tsʰau2	
的	tɛk7a	目~
皆	kai1	
皇	vuŋ2	
皖	vun3	
皮	pʰɐi2	
皺	tsɐu3	
皿	mɐn3	
盂	ɐu1	
盅	tsoŋ1	
盆	pʰun2	
盈	ŋɛŋ2	
益	ɛk7a	
盞	tsan3	
鹽	zim2	
監	kam1	~视
監	kam3	国子~
盒	hap7b	
盔	kʰʷɐi1	
盖	kai3	
盜	tʰau2	
盤	pʰun2	
盛	sɛŋ2	~满了
盛	sɛŋ2	兴~
盟	mɛŋ2	
目	mok7a	
盲	maŋ2	
直	tsʰɛk8	
相	siŋ3	~貌
相	siŋ1	互~
盼	pʰan3	
盾	tɐn3	
省	siŋ3	~长
省	siŋ3	反~
省	siŋ3	节~
眉	mɐi2	
看	han3	~守
看	han3	~见
真	tsɐn1	
眠	min2	
眩	hin2	
眶	kʰʷaŋ1	
眷	kin3	
眼	ŋan3	
着	tsik7b	~衣
着	tsʰik8	睡~
睜	tsaŋ1	
睡	sui2	
督	tok7a	
睬	tsʰai3	
瞎	hat8	
瞞	mun3	
瞪	tɐŋ1	
瞭	liu2	
瞳	tʰoŋ2	
瞻	tsim1	
矛	mau2	
矢	si3	
知	tsi1	
矩	kʰɐi2	
短	tun3	
矮	ai2	
石	sɛk8	
礦	kʰuŋ3	
碼	ma3	
砌	sɐi2	
砍	kʰam3	
研	ŋɛn2	
磚	tsun1	
硯	hin3	
破	pʰu3	
硃	tsɐu1	
硝	siu1	
硫	lɐu2	
硬	ŋɛŋ2	
確	kʰak7b	
礙	ŋai3	
碎	sui3	
碑	pɐi1	
碓	tui3	
碗	vun3	
碟	tʰip8	
碧	pɛk7a	
碾	ŋɛn3	
磁	tsʰi2	
磨	mu2	~刀
磨	mu2	石~
磬	kʰɛŋ3	
礓	kiŋ1	
示	si2	
禮	lɐi3	
社	si2	
祀	si2	
祁	kʰɐi2	
祈	hɐi1	
祖	tsɐu3	
祝	tsok7a	
神	sɐn2	
祠	tsʰi2	
祥	tsʰiŋ2	
票	pʰiu3	
祭	tsɐi3	
禍	vo1	
稟	pʰɐn3	
禁	kɐn3	~不住
禁	kɐn3	~止
祿	lok7a	
禪	sim2	~宗
禪	sim2	~让
福	fok7a	
禹	ɐu3	
离	lɐi2	
禽	kʰɐn2	
禾	vo2	
秀	sɐu3	
私	sɐi1	
秃	tʰak7b	
稈	kan3	
秉	pɛŋ3	
秋	tsʰɐu1	
種	tsoŋ3	
科	kʰo1	
秒	miu3	
秕	pʰɐi2	
秘	pɐi3	
租	tsu1	
秤	tsʰɛŋ3	
秦	tsʰɐn2	
秧	ziŋ1	
秩	tʰit8	
秫	sɐt8	
積	tsik7a	
稱	tsʰɛŋ1	~呼
稱	tsʰɛŋ1	相~
移	zi2	
穢	sui3	
稀	hɐi1	
程	tsʰɛŋ2	
稍	sau1	
税	sui3	
稗	pʰei1	
稚	tsʰi1	
稠	tsʰɐu2	
稭	kai1	
穩	vɐn3	
稻	tʰau2	
稽	kʰɐi1	
稿	kau3	
穄	tsɐi3	
穆	mok7a	
穗	sui2	
穴	hip7b	
究	kɐu3	
空	hoŋ1	~虚
空	hoŋ1	~缺
穿	tsʰun1	
突	tʰɐt8	
窄	tsak7b	
竅	kʰiu3	
窯	ziu2	
窖	kau3	
窗	tsʰoŋ1	
窘	kʰʷɐn3	
窩	vu1	
窟	kʰʷɐt7a	
窺	kʰʷɐi1	
立	lɐp7b	
站	tsʰam2	
競	kɛŋ3	
章	tsiŋ1	
童	tʰoŋ2	
端	tin1	
竹	tsok7a	
竿	kan1	
篤	tok7a	
笋	sɐn3	
笑	siu3	
筆	pɐt7a	
笙	sɛŋ1	
笛	tʰɛk8	
笠	lɐp7b	
符	fɐu2	
笨	pʰɐn2	
第	tʰɐi2	
箋	tsʰim1	
籠	loŋ2	
等	taŋ3	
筋	kɐn1	
筏	fat8	
筐	kʰʷaŋ1	
筑	tsok7a	
筒	tʰoŋ2	
答	tap7b	
策	tsa1	
策	tsʰak7b	
篩	sɐi1	
箏	tsaŋ1	
筵	zin2	
筷	kʰʷai3	
籌	tsʰɐu2	
签	tsʰim1	
簡	kan3	
箅	pʰɐi2	
算	sun3	
管	kun3	
籮	la2	
簫	siu1	
箭	tsin3	
箱	siŋ1	
箸	tsʰɐu3	
篆	tsun3	
篇	pʰin1	
簍	lɐu3	
篙	kau1	
篡	tsʰun3	
篦	pɐi1	
籃	lam2	
籬	lɐi2	
篷	pʰuŋ2	
篾	mit7b	
簧	vuŋ2	
簷	zim2	
簸	pu1	~一~
簸	pu1	~箕
籍	tsʰik8	
米	mɐi3	
糴	tʰɛk8	
類	lui2	
粉	fɐn3	
粒	lɐp7b	
粗	tsʰu1	
粟	sok7a	
粤	zit7b	
粥	tsok7a	
糞	fɐn3	
糧	liŋ2	
粱	liŋ2	
粹	tsʰui3	
糉	tsoŋ3	
精	tsɛŋ1	
糕	kau1	
糖	tʰaŋ2	
糙	tsʰau2	
糟	tsau1	
糠	haŋ1	
糯	nu2	
系	hai2	
系	hai2	联~
素	su3	
索	sak7b	
緊	kɐn3	
紫	tsi3	
累	lui3	~积
累	lui3	连~
綑	kʰʷɐn3	
繁	fan1	
糾	tɐu3	
紅	hoŋ1	
約	ŋɛk7b	
級	kɐp7a	
紀	kɐi3	
紉	ŋiɐm2	
緯	vɐi3	
純	sɐn2	
紗	sa1	
綱	kaŋ1	
納	nap7b	
縱	tsoŋ3	~横
縱	tsoŋ3	放~
紛	fɐn1	
紙	tsi3	
紋	mɐn2	
紡	fuŋ3	
紐	nɐu3	
線	sin3	
練	lin2	
組	tsɐu3	
細	sɐi2	
織	tsɛk7a	
終	tsoŋ1	
絆	pʰun2	
紹	siu2	
經	kɛŋ1	
綁	puŋ3	
絨	zoŋ2	
結	kit7b	
繞	ziu3	
繪	vui2	
給	kɐp7a	供~
絡	lak7b	
絶	tsʰit7b	
絞	kau3	
統	tʰoŋ3	
絹	kin1	
繡	sɐu3	
綏	sui1	
繼	kɐi3	
績	tsɛk7a	
緒	sui3	
續	sok8	
繩	sɛŋ2	
維	vɐi2	
綿	min2	
綢	tsʰɐu2	
綠	lok7a	
綴	tsʰui2	
緬	min3	
纜	lam2	
緝	tsʰɐp7a	
緞	tʰun2	
緩	vun3	
縷	lɐu3	
編	pin1	
緣	zun2	
縛	fuk7b	
縫	fuŋ2	一条~
纏	tsʰan2	
纓	iŋ1	
縮	sok7a	
繮	kiŋ1	
繳	kiu3	
缸	kaŋ1	
缺	kʰit7b	
罐	kun3	
网	muŋ3	
罕	han3	
羅	la2	
罰	fat8	
罷	pʰa2	
罪	tsui2	
置	tsi3	
署	sɐu3	
羊	ziŋ2	
美	mui3	
羔	kau1	
羞	sɐu1	
羡	sin2	
群	kʰʷɐn2	
羹	kɛŋ1	
羽	zi3	
翁	vuŋ1	
翅	tsʰi2	
翎	lɛŋ2	
翠	tsʰui3	
翡	fɐi1	
翰	han2	
翻	fan1	
翼	zɛk7a	
耀	ziu2	
老	lau3	
考	hau3	
者	tsi3	
而	ŋɐi2	
耍	sa3	
耐	nai2	
耕	kaŋ1	
耗	hau3	
耙	pʰa2	
耬	lɐu3	
耳	ŋɐi3	
耻	tsʰi3	
耽	tam1	
耿	kaŋ3	
聶	nip7b	
聊	liu2	
聾	loŋ2	
職	tsɛk7a	
聒	kʷat7b	~耳朵
聯	lin2	
聘	pʰɐŋ3	
聚	tsʰui2	
聰	tsʰoŋ1	
肅	sok7a	
肉	ŋiok7a	
肋	lik7b	
肌	kɐi1	
肚	tʰu2	
肝	kan1	
腸	tsʰiŋ2	
股	ku3	
肢	tsi1	
膚	vu1	
肥	fɐi7a	
肩	kin1	
肪	fuŋ3	
肫	tɐn1	
骯	aŋ1	
肯	haŋ3	
育	zok7a	
肴	ŋau2	
肺	fɐi3	
腎	sɐn2	
腫	tsoŋ3	
脹	tsiŋ3	
脅	hip7b	
胃	vɐi3	
膽	tam3	
背	pui3	
背	pʰui3	~诵
胎	tʰai1	
胖	pʰun3	
胚	pʰui1	
胛	kap7b	
勝	sɛŋ3	~任
勝	sɛŋ3	~败
胞	pau1	
胡	fu2	
膠	kau1	
胸	hoŋ1	
能	naŋ2	
脆	tsʰui3	
脉	mɛk7b	
脊	tsik7a	
脏	tsʰaŋ2	内~
臍	tsʰɐi2	
腦	nau3	
膿	noŋ2	
脚	kik7b	
脯	pʰɐu3	杏~
脯	pʰɐu3	胸~
脱	tʰut7b	
腡	la2	
臉	lim2	
臉	lim3	
脾	pʰɐi2	
臘	lap7b	
腋	zɛk7a	
腌	zip7b	
腐	fɐu2	
腑	fɐu3	
腔	kʰiŋ1	
腕	vun3	
腥	sɛŋ1	
腮	sai1	
腰	ziu1	
腱	kin3	
腹	fok7a	
膩	nɐi2	
騰	tʰaŋ2	
腿	tʰui3	
膏	kau1	
膘	piu1	
膜	mok7a	
膝	sɐt2	
膨	pʰaŋ2	
膳	sun2	
臀	tʰun2	
臂	pɐi3	
臊	sau1	
臣	tsʰɐn2	
自	tsʰɐi2	
臭	tsʰɐu3	
至	tsi3	
致	tsi3	
臺	tʰai2	
臻	tsɛn1	
臼	kʰɐu2	
舀	ziu3	
舂	tsoŋ1	
舅	kʰɐu2	
舌	sɛ2	
舌	sit8	
舍	si2	
舒	sɐu1	
舔	tʰim2	
舜	sɐn2	
舞	mɐu3	
舟	tsɐu1	
航	haŋ2	
般	pun1	
艦	lam2	
舵	tʰa2	
船	sun2	
艇	tʰɛŋ2	
良	liŋ2	
艱	kan1	
色	sɛk7a	
豔	zin3	
藝	ŋɐi2	
艾	ŋai2	
節	tsit7b	
芋	vɐu2	
芒	muŋ2	
芙	fɐu2	
芝	tsi1	
芥	kai3	
蘆	lu2	
芬	fɐn1	
芭	pa1	
花	fa1	
芳	fuŋ1	
芹	kʰɐn2	
芽	ŋa2	
葦	vɐi3	
莧	hin3	
蒼	tsʰaŋ1	
苧	tsʰi3	
苏	su1	
苔	tʰai2	
苗	miu2	
苟	kɐu3	
若	ŋik7b	
苫	vu3	
英	ɛŋ1	
茂	mau2	
范	fan2	
茄	kʰɛ2	~子
茅	mau2	
莖	kɛŋ3	
塋	zɛŋ2	
繭	kan3	
茫	muŋ2	
茴	huoi2	
茶	tsʰa2	
茸	zoŋ2	
荀	sɐn3	
荆	kɛŋ1	
草	tsʰau3	
薦	tsin3	
荒	fuŋ1	
荔	lɐi2	
蕎	kʰiu2	
蕩	tʰaŋ2	
榮	zoŋ2	
葷	vɐn2	
蔭	zɐn1	
藥	zik7b	
荷	ha2	
荷	ha2	薄~
莎	sa1	
莠	zɐu2	
莫	mok7a	
蓮	lin2	
鶯	ɛŋ1	
莽	maŋ3	
菊	kʰok7a	
菌	kʰʷɐn3	
菖	tsʰiŋ1	
菜	tsʰai3	
菠	pu1	
菢	pʰɐu2	
菩	pʰu2	
菱	lɛŋ2	
萄	tʰau2	
萌	mɛŋ2	
萍	pʰɛŋ2	
萎	vɐi3	
螢	zoŋ2	
營	zɛŋ2	
蕭	siu1	
薩	sat7b	
落	lak7b	
葛	kat7b	
董	toŋ3	
葬	tsaŋ3	
葱	tsʰoŋ1	
葵	kʰʷɐi2	
蔣	tsiŋ3	
蒙	muŋ2	
蒲	pʰu2	
蒸	tsɛŋ1	
蒿	kau1	
蓄	tsʰok7a	
蓉	zoŋ2	
蓑	sa1	
蓖	pɐi1	
藍	lam2	
蓬	pʰuŋ2	
蔓	man2	
蔗	tsi3	
蔡	tsʰai3	
蔫	zin1	花萎
蔬	sa1	
藹	ai3	
蔽	pɐi3	
蕉	tsiu1	
薄	pʰɐu2	
薄	pʰuk8	
薛	sit7b	
薪	sɐn2	
薯	sɐu2	
薰	fɐn1	
藉	tsi3	~故
藉	tsʰik8	狼~
藏	tsʰaŋ2	西~
藏	tsʰaŋ2	隐~
藐	miu3	
藕	ŋɐu3	
藤	tʰaŋ2	
藩	fan1	
藿	kʰak7b	
虜	lu3	
虐	nɛk8	
慮	lɐi2	
虚	hɐu1	
虞	zi2	
蟲	tsʰoŋ2	
虱	sɐt2	
虹	hoŋ1	
虹	kuŋ3	天上的~
虻	muŋ2	
蝦	ha1	
蝕	sɛk7a	
蟻	ŋi2	
蚊	mɐn2	
蠶	tsʰam2	
蚣	koŋ1	
蚤	tsau3	
蚶	hɐn1	
蛀	tsɐu3	
蛆	tsʰu1	
蛇	si2	
蛋	tʰan1	
蛙	va1	
蛛	tsɐu1	
蛤	kap7b	
蠻	man2	
蟄	tsʰik8	惊~
蛾	ŋo2	
蜀	tsʰok8	
蜂	foŋ1	
蜇	tsit7b	
蜈	ŋo2	
蜋	laŋ2	
蜓	tʰɛŋ2	
蝸	vu2	
蜘	tsi1	
蜜	mɐt7a	
蠟	lap7b	
蜻	tsʰɛŋ1	
蠅	ɛŋ1	
蟬	sim2	
蠍	kʰit7b	
蝗	vuŋ2	
蝙	pʰin1	
蝟	vɐi3	
蝠	fok7a	
蝶	tʰip8	
螃	pʰaŋ2	
融	zoŋ2	
螳	tʰaŋ2	
螺	lu2	
蟆	ma1	
蟒	maŋ3	
蟹	hai2	
蟾	kʰam2-	
蟾	sim2=	
血	vut7b	
衅	hɛn3	
行	hɛŋ2	~为
行	haŋ2	品~
行	haŋ2	银~,一列
銜	ham2	
街	kai1	
衙	ŋa2	
衡	hiŋ2	
衣	ɐi1	
補	pɐu3	
表	piu2	~扬
表	piu1	手~
衫	sam1	
襯	tsʰun3	
衰	sui1	
袁	zun2	
襖	au3	
袋	tʰai2	
袍	pʰau3	
袖	tsʰɐu2	
袜	mat7b	
被	pʰɐi2	~子
被	pʰɐi3	~打
襲	tsʰɐp8	
裁	tsʰai2	
裂	lit7b	
裝	tsaŋ1	
裌	kɛp2	
裕	zi2	
裙	kʰʷɐn2	
褲	vu3	
襇	kan3	
裳	siŋ2	
裴	pʰui2	
裸	ko3	
裹	ku3	
褒	pau1	
褥	zok7a	
褪	tʰui3	
褶	tsip7b	
襄	siŋ1	
襟	kɐn3	
西	sɐi1	
要	ziu1	~求
要	ziu2	重~
覆	fok7a	
見	kin3	
觀	kun1	参~
觀	kun1	寺~
規	kʰʷɐi1	
覓	mɐi2	
視	si3	
覽	lam3	
覺	kik7b	
覺	kau3	睡~
角	kak7b	
解	kai3	~开
解	kai3	姓
解	kai3	晓也
觸	tsʰok7a	
言	ŋiun2	
託	tʰak7b	
註	tsɐu3	
誇	kʰʷa1	
譽	zi2	
誌	tsi3	
誓	sɐi2	
謄	tʰaŋ2	
警	kɛŋ3	
譬	pɐi3	
計	kɐi3	
訂	tɛŋ1	
訂	tʰiŋ3	
訃	pʰok8	
認	ŋiɐn2	
譏	kɐi1	
討	tʰau3	
讓	ŋiŋ2	
訓	fɐn3	
議	ŋɐi3	
記	kɐi3	
講	kaŋ3	
諱	vɐi3	
許	hɐi3	
訛	ŋo2	
論	lɐn2	~语
論	lɐn2	议~
訟	tsʰoŋ2	
諷	foŋ1	
設	sut7b	
訪	fuŋ3	
訣	kʰit7b	
证	tsɛŋ3	
評	pʰɛŋ2	
識	sɛk7a	
詐	tsa2	
訴	su3	
診	tsʰɐn3	
詞	tsʰi2	
詔	tsiu3	
譯	zɛk7a	
試	si3	
詩	si1	
誠	sɛŋ2	
誅	tsɐu1	
話	va2	
誕	tan2	
詭	kʷɐi3	
該	kai1	
詳	tsʰiŋ2	
誣	mu1	
語	ŋɐu3	
誘	zɐu2	
説	sut7b	
請	tsʰɛŋ3	
諸	tsɐu1	
諾	nok7b	
讀	tok7b	
課	kʰo2	
誰	sui3	
調	tʰiu2	~和
調	tʰiu2	~动
調	tʰiu2	音~
諒	liŋ2	
談	tʰam2	
誼	zi2	
謀	mau2	
諜	tʰip8	
謊	fuŋ1	
諫	kan3	
諧	hai2	
謂	vɐi3	
讒	sam1	
諺	zin3	
謎	mɐi2	
謝	tsʰi2	
謡	ziu2	
謗	puŋ3	
謙	him1	
謹	kɐn3	
謬	mau2	
譚	tʰam2	
譜	pʰɐu3	
谷	kok8	
豆	tʰɐu2	
豉	si2	豆~
豌	vun3	
豚	tʰun2	
象	tsʰiŋ2	
豪	hau2	
