#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
垒	lai4	
垢	kau5	
垣	jy2	
墾	kʰaŋ3	
墊	diɛ6	
垮	kʰʊ3	
埃	e1	
埋	ma2	
埋	ma8	藏
城	zəŋ2	
埏	ɕi1	边埏：旁边
域	jy8	
埠	bʉ6	
培	bai2	
基	tɕi1	
堂	dʊ2	
堆	tai1	
墮	dɤu4	
堡	pɛ3	
堤	tei1	
堪	kʰe1	
堰	i5	
堵	təʉ3	
塌	tʰɔ7	
塑	səʉ5	
塔	tʰɔ7	
塘	dʊ2	
塞	sei7	
填	di2	
境	tɕiaŋ3	
墅	səʉ5	
墓	mʊ6	
牆	jɛ2	
增	tsaŋ1	
墟	ɕy1	
墩	tø1	
墩	taŋ1	矮墩墩
壁	pei7	
壑	hʊ7	
壤	ȵiɛ6	
士	zɿ4	
壬	ȵiaŋ2	
壯	tɕiʊ5	
聲	səŋ1	
殼	kʰʊ7	
壺	vʋ2	
處	tsʰəʉ3	
處	tsʰəʉ5	
備	bei6	
复	fʋ7	
复	vʋ8	
复	vɛ6	
夏	ɦʊ6	
夔	dʑy2	
夕	zei8	
外	ŋa6	
夙	sɤu7	
多	tɤu1	
夜	ji6	
够	kau5	
大	da6	旧称，爸爸
大	dɤu6	大，大個之物
天	tʰi1	
太	tʰa5	
夫	fʋ1	
夫	fʉ1	
夭	y1	
央	iɛ1	
失	sa7	
頭	dɤu2	
夷	ji2	
夾	kɔ7	
夾	ɡɔ8	
夾	ɦɔ8	
奪	dɛ8	抢夺
奪	dø8	
奇	dʑi2	
奈	na6	
奉	voŋ4	
奮	faŋ5	
奎	kʰai1	
奏	tsaʊ5	
契	tɕʰi5	
奔	paŋ1	
獎	tɕiɛ3	
套	tʰɛ5	
奚	ji2	
奠	di6	
奢	sei1	
奧	ɛ5	
女	ȵy4	
女	na0	女儿（含贬义），死女儿
女	na4	女儿
奴	nəʉ2	
奶	na1	旧称，妈妈
奶	na4	奶
奶	ne1	乳房，乳汁
奸	kɔ1	
好	hɛ3	
好	hɛ5	
如	zəʉ2	
妃	fei1	
妄	ɦʊ4	
妝	tɕiʊ1	
婦	vʉ4	
媽	ma1	妈妈
媽	ma3	妈妈
妊	ȵiaŋ6	
妒	təʉ5	
妓	dʑi4	
妖	y1	
妙	mi6	
妥	tʰɤu3	
妨	fɔ1	
妹	mei6	
妻	tsʰei1	
妾	tɕʰi7	
姊	tsɿ3	
始	sɿ3	
姐	tsei3	
姑	kʋ1	
姓	səŋ5	
委	ʋʉ3	
