#漢字	音標	解釋
□	ŋo1	~在水头
授	səu5/ʂəu5	
掉	tiaɞ5	
掌	tsaŋ3/tʂaŋ3	
掏	tʰaɞ1	
掐	tɕʰiæ7	
排	pʰæe2	
掘	tɕʰy7	
掘	tɕyo7	
掛	kuɑ5	
掠	nyo7	
採	tsʰæe3/tʂʰæe3	
探	tʰã1	
接	tɕie7	
控	kʰoŋ5	
推	tʰuɘɪ1	
措	tsʰo7/tʂʰo7	
揀	tɕiẽ3	
揉	zəu2/ʐəu2	
描	miaɞ2	
提	tʰi2	
插	tsʰɑ5/tʂʰɑ5	
插	tsʰæ7/tʂʰæ7	
揚	iaŋ2	
換	xuã5	
握	o7	
揣	tsʰuæe3/tʂʰuæe3	
揫	tɕiəu1	一把~住
揭	tɕie7	
揮	xuɘɪ1	
援	yẽ2	
損	səin3/ʂəin3	
搓	tsʰo1/tʂʰo1	
搜	səu1/ʂəu1	
搞	kaɞ3	
搧	sã1/ʂã1	
搪	tʰaŋ2	
搬	pã1	
搶	tɕʰiaŋ3	
搽	tsʰɑ2/tʂʰɑ2	
攝	sæ7/ʂæ7	
摆	pæe3	
摇	iaɞ2	
攤	tʰã1	
摔	suæe1/ʂuæe1	
摘	tsæ7/tʂæ7	
摟	nəu1	
摧	tsʰuɘɪ1/tʂʰuɘɪ1	
摩	mo1	
摳	kʰəu1	
摸	mo7	
摺	tsæ7/tʂæ7	
撇	pʰie7	
撇	pʰi7	
撑	tsʰəin1/tʂʰəin1	
撒	sæ7/ʂæ7	
撓	zaɞ3/ʐaɞ3	
撕	sɿ1	
撞	tsuaŋ5/tʂuaŋ5	
撤	tsʰæ7/tʂʰæ7	
撥	po7	
撩	niaɞ2	
播	po5	
播	po7	
撮	tsʰo7/tʂʰo7	
擇	tsʰæ7/tʂʰæ7	
擋	taŋ3	~路
擋	taŋ5	阻~
操	tsʰaɞ1/tʂʰaɞ1	
擒	tɕʰin2	
擦	tsʰɑ5/tʂʰɑ5	
擦	tsʰæ7/tʂʰæ7	
擲	tsɿ7	
擴	kʰuæ7	
擾	zaɞ3/ʐaɞ3	
攀	pʰã1	
攆	niẽ3	
攏	noŋ3	
攔	nã2	
攘	zaŋ3/ʐaŋ3	
攙	tsʰã1/tʂʰã1	
攜	ɕi1	
攪	tɕiaɞ3	
攬	nã3	
支	tsɿ1	
收	səu1/ʂəu1	
改	kæe3	
攻	koŋ1	
放	faŋ5	
政	tsəin5/tʂəin5	
故	ku7	
效	ɕiaɞ5	
敌	ti7	
敏	min3	
救	tɕiəu5	
敗	pæe5	
教	tɕiaɞ5	
斂	niẽ5	
敝	pi5	
敝	pi7	
敢	kã3	
散	sã5/ʂã5	~会
散	sã3/ʂã3	鞋帮~了
敦	təin1	
敬	tɕin5	
數	su3/ʂu3	
數	su7/ʂu7	
敲	tɕʰiaɞ1	推~
整	tsəin3/tʂəin3	
整	pi7	
敷	fuᶹ1	
斃	pi5	
斃	pi7	
文	uəin2	
齋	tsæe1/tʂæe1	
斑	pã1	
斗	təu3	
料	niaɞ5	
斜	ɕiɑ2	
斜	ɕie2	
斟	tsəin1/tʂəin1	
斡	o7	
斤	tɕin1	
斥	tsʰɿ7	
斧	fuᶹ3	
斬	tsã3/tʂã3	
斷	tuã5	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
於	y2	
施	sɿ1	
旁	pʰaŋ2	
旅	ny3	
旋	ɕyẽ2	
旌	tɕin1	
族	tsʰu7/tʂʰu7	
旗	tɕʰi2	
无	vuᶹ2	
既	tɕi7	
日	zɿ7	
旦	tã5	
舊	tɕiəu5	
旨	tsɿ3	
早	tsaɞ3/tʂaɞ3	
旬	ɕyn2	
旭	ɕy7	
旱	xã5	
旺	vuaŋ5	
昂	ŋaŋ2	
昆	kʰuəin1	
昌	tsʰaŋ1/tʂʰaŋ1	
明	min2	
昏	xuəin1	
易	i7	
昔	ɕi7	
星	ɕin1	
映	in5	
春	tsʰuəin1/tʂʰuəin1	
昧	mɘɪ5	
昨	tso7/tʂo7	
昭	tsaɞ1/tʂaɞ1	
是	sɿ1	
顯	ɕiẽ3	
晃	xuaŋ3	~眼
晃	xuaŋ5	用电筒~人
晌	saɞ3/ʂaɞ3	~午
晏	ŋã5	来~了
曬	sæe5/ʂæe5	
晚	uã3	
晝	tsəu5/tʂəu5	
晦	xuɘɪ5	
晨	səin2/ʂəin2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ7	
暫	tsã5/tʂã5	
暇	ɕiɑ5	
暈	yn1	
暑	su3/ʂu3	
暖	nuã3	
暗	ŋã5	
暢	tsʰaŋ5/tʂʰaŋ5	
暮	mu7	
暴	paɞ5	
曉	ɕiaɞ3	
曝	paɞ5	
曝	pʰu7	
曰	yo7	
曲	tɕʰy7	
更	kəin1	
更	kəin5	~加
曷	xɤ̜7	
書	su1/ʂu1	
曹	tsʰaɞ2/tʂʰaɞ2	
曾	tsʰəin2/tʂʰəin2	~經
替	tʰi5	
替	tʰi7	
最	tsuɘɪ5/tʂuɘɪ5	
會	tsəin1/tʂəin1	姓
月	yo7	
有	iəu3	
朋	pʰoŋ2	
服	fuᶹ7	
朒	kɑ3	俗字，肉
望	vuaŋ5	
朝	tsaɞ1/tʂaɞ1	
朝	tsʰaɞ2/tʂʰaɞ2	
期	tɕʰi7	
木	mu7	
未	uɘɪ5	
末	mo7	
本	pəin3	
札	tsæ7/tʂæ7	
朱	tsu1/tʂu1	
朴	pʰu7	
朶	to3	
机	tɕi1	
朽	ɕiəu3	
殺	sɑ5/ʂɑ5	
殺	sæ7/ʂæ7	
雜	tsɑ5/tʂɑ5	
杆	kã3	
李	ni3	
杏	ɕin5	
村	tsʰəin1/tʂʰəin1	
杖	tsaŋ5/tʂaŋ5	
杜	tu7	
束	su7/ʂu7	
條	tʰiaɞ2	
杭	xaŋ2	
杯	pɘɪ1	
杳	miaɞ3	
松	soŋ1/ʂoŋ1	
板	pã3	
极	tɕi7	
析	ɕi7	
枕	tsəin3/tʂəin3	
林	nin2	
枚	mɘɪ2	
果	ko3	
枝	tsɿ1	
槍	tɕʰiaŋ1	
枯	kʰu1	
架	tɕiɑ5	
柏	pæ7	
某	moŋ3	
柑	kã1	
染	zã3/ʐã3	
柔	zəu2/ʐəu2	
柚	iəu5	
查	tsʰɑ2/tʂʰɑ2	
柩	tɕiəu5	
柬	tɕiẽ3	
柱	tsu7/tʂu7	
柳	niəu3	
柴	tsʰæe2/tʂʰæe2	
柿	sɿ7	
標	piaɞ1	
樹	su7/ʂu7	
栗	ni7	
校	tɕiaɞ5	
株	tsu1/tʂu1	
样	iaŋ5	
核	xæ7	
核	xu7	桃~
根	kəin1	
格	kæ7	
栽	tsæe1/tʂæe1	
桂	kuɘɪ5	
桃	tʰaɞ2	
桅	uɘɪ2	
案	ŋã5	
桌	tso7/tʂo7	
桑	suaŋ1/ʂuaŋ1	
椏	iɑ1	
橋	tɕʰiaɞ2	
桶	tʰoŋ3	
梁	niaŋ2	
梅	mɘɪ2	
梓	tsɿ3	
梧	vuᶹ2	
梨	ni2	
梭	so1/ʂo1	
梯	tʰi1	
械	tɕiẽ5	
械	tɕiæe5	最老派
梳	su1/ʂu1	
棄	tɕʰi7	
棉	miẽ2	
棋	tɕʰi2	
棍	kuəin5	
棒	paŋ5	
棗	tsaɞ3/tʂaɞ3	
棧	tsã5/tʂã5	
森	sɿ1	
森	səin1/ʂəin1	
棱	nəin2	
棲	ɕi1	
棵	kʰɤ̜1	
椅	i3	
植	tsɿ7	
椒	tɕiaɞ1	
椰	ie1	
椽	tsʰuã2/tʂʰuã2	
椿	tsuaŋ1/tʂuaŋ1	
椿	tsʰuəin1/tʂʰuəin1	~树
楊	iaŋ2	
楚	tsʰu3/tʂʰu3	
楣	mɘɪ2	
楦	ɕyẽ5	
楷	kʰæe3	
樓	nəu2	
概	kʰæe5	
榆	y2	
榜	paŋ3	
榨	tsɑ5/tʂɑ5	
榴	niəu2	
榻	tʰæ7	
構	kəu5	
槌	tsʰuɘɪ2/tʂʰuɘɪ2	
槐	xuæe2	
杠	kaŋ5	
樞	su1/ʂu1	
樟	tsaŋ1/tʂaŋ1	
模	mu2	
橫	xuəin2	縱~,蛮~
櫻	in1	
樵	tɕʰiaɞ2	
橘	tɕy7	
橙	tsʰəin2/tʂʰəin2	
橛	tɕʰy7	
橛	tɕʰy7	~子
橡	ɕiaŋ5	
櫓	nu3	
檀	tʰã2	
檢	tɕiẽ3	
櫃	kuɘɪ5	
欄	nã2	
欛	pɑ5	
欠	tɕʰiẽ5	
次	tsʰɿ7	
歡	xuã1	
欣	ɕin1	
欲	y7	
欺	tɕʰi1	
款	kʰuã3	
歇	ɕie7	
歌	kɤ̜1	
歐	ŋəu1	
歡	tʰã5	
止	tsɿ3	
正	tsəin5/tʂəin5	
此	tsʰɿ3	
步	pu7	
武	vuᶹ3	
歪	uæe1	
死	sɿ3	
殲	tɕʰiẽ1	
殃	iaŋ1	
殆	tæe5	
殊	su1/ʂu1	
殖	tsɿ7	
殘	tsʰã2/tʂʰã2	
段	tuã5	
殷	in1	
殼	kʰɤ̜7	~头
殿	tiẽ5	
毁	xuɘɪ3	
轂	ku7	
毅	ni7	
毆	ŋəu1	
母	mu3	
每	mɘɪ3	
毒	tu7	
比	pi3	
畢	pi7	
毛	maɞ2	
毫	xaɞ2	
毯	tʰã3	
氈	tsã1/tʂã1	
氏	sɿ1	
民	min2	
气	tɕʰi7	
水	suɘɪ3/ʂuɘɪ3	
水	tsã5/tʂã5	
永	yn3	
汁	tsɿ7	
求	tɕʰiəu2	
汇	xuɘɪ5	
漢	xã5	
汗	xã5	
汙	vuᶹ1	
汝	zu3/ʐu3	
江	tɕiaŋ1	
池	tsʰɿ2	
汪	vuaŋ1	
汲	tɕi7	
汽	tɕʰi7	
沈	səin3/ʂəin3	姓
沉	tsʰəin2/tʂʰəin2	
沐	mu7	
沙	sɑ1/ʂɑ1	
沛	pʰɘɪ5	
没	mo7	
没	mu7	
沫	mo7	
河	xo2	
沸	fuᶹ7	
治	tsɿ7	
沼	tsaɞ3/tʂaɞ3	
沾	tsã1/tʂã1	
况	kʰuaŋ5	
泄	ɕie7	
泉	tɕʰyẽ2	
泊	pʰæ7	
泌	pi7	
泔	kã1	~水
法	fɑ5	
法	fæ7	
泡	pʰaɞ5	水~
波	po1	
泣	ɕi7	
泥	ni2	
注	tsu7/tʂu7	
泰	tʰæe5	
泳	yn5	
洁	tɕie7	
洋	iaŋ2	
洒	sɑ3/ʂɑ3	
洗	ɕi3	
洛	no7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tsəu1/tʂəu1	
派	pʰæe5	
流	niəu2	
測	tsʰæ7/tʂʰæ7	
濟	tɕi5	
濟	tɕi7	
浙	tsæ7/tʂæ7	
浦	pʰu3	
浩	xaɞ5	
浪	naŋ5	
浮	foŋ2	
浮	fuᶹ2	~起來
浴	y7	
海	xæe3	
消	ɕiaɞ1	
涉	sæ7/ʂæ7	
涕	tʰi5	
涕	tʰi7	
涮	suã5/ʂuã5	~洗
涯	iɑ2	
淋	nin2	
淑	su7/ʂu7	
淘	tʰaɞ2	
淤	y1	
淮	xuæe2	
深	səin1/ʂəin1	
淳	suəin2/ʂuəin2	
混	xuəin5	
淹	ŋã1	
淺	tɕʰiẽ3	
添	tʰiẽ1	
清	tɕʰin1	
漸	tɕiẽ5	
渝	y2	
渠	tɕʰy2	
渡	tu7	
渣	tsɑ1/tʂɑ1	
渤	pʰo7	
渤	pʰu7	
港	kaŋ3	
渴	kʰɤ̜7	
游	iəu2	
渺	miaɞ3	
渾	xuəin1	
湖	xu2	
湘	ɕiaŋ1	
湯	tʰaŋ1	
溼	sɿ7	
濺	tsã5/tʂã5	
溉	kʰæe5	
源	yẽ2	
溜	niəu1	
溝	kəu1	
溶	ioŋ2	
溺	ni7	
滋	tsɿ1	
滑	xuæ7	
滓	tsɿ3	
滔	tʰaɞ1	
滚	kuəin3	
滯	tsɿ7	
滿	mã3	
濾	ny7	
濫	nã5	
滬	xu7	
滴	ti7	
滷	nu3	
滸	xu3	
漁	y2	
漂	pʰiaɞ1	
漂	pʰiaɞ5	~亮
漆	tɕʰi7	
漏	nəu5	
演	iẽ3	
漱	su7/ʂu7	
漲	tsaŋ5/tʂaŋ5	
漲	tsaŋ3/tʂaŋ3	~水
漿	tɕiaŋ1	
潑	pʰo7	
潘	pʰã1	
潤	zuəin5/ʐuəin5	
潮	tsʰaɞ2/tʂʰaɞ2	
潰	kʰuɘɪ5	
潲	saɞ5/ʂaɞ5	猪~
澀	sæ7/ʂæ7	
澆	tɕiaɞ1	
澎	pʰəin2	
澗	tɕiẽ3	
澡	tsaɞ3/tʂaɞ3	
澤	tsʰæ7/tʂʰæ7	
激	tɕi7	
濁	tso7/tʂo7	
濁	tsʰo7/tʂʰo7	
濃	noŋ2	
濤	tʰaɞ2	
濯	tsʰo7/tʂʰo7	
瀑	paɞ5	
瀑	pʰu7	
灌	kuã5	
灘	tʰã1	
灣	uã1	
火	xo3	
滅	mie7	
灯	təin1	
灰	xuɘɪ1	
灵	nin2	
灶	tsaɞ5/tʂaɞ5	
災	tsæe1/tʂæe1	
炊	tsʰuɘɪ1/tʂʰuɘɪ1	
炒	tsʰaɞ3/tʂʰaɞ3	
炕	kʰaŋ5	
炙	tsɿ7	
炭	tʰã5	
炮	pʰaɞ5	
炸	tsɑ5/tʂɑ5	
炸	tsæ7/tʂæ7	油~
點	tiẽ3	
烈	nie7	
烏	vuᶹ1	
烘	xoŋ1	
烙	no7	
烤	kʰaɞ3	
熱	zæ7/ʐæ7	
烹	pʰəin1	
煥	xuã5	
焦	tɕiaɞ1	
然	zã2/ʐã2	
煉	niẽ5	
煎	tɕiẽ1	
煙	iẽ1	
煤	mɘɪ2	
照	tsaɞ5/tʂaɞ5	
煨	uɘɪ1	
煩	fã2	
煮	tsu3/tʂu3	
熄	ɕi7	
熊	ɕioŋ2	
熏	ɕyn1	
熙	ɕi1	
熟	su7/ʂu7	
熨	yn5	
熬	ŋaɞ2	
燃	zã2/ʐã2	
燎	niaɞ2	
燐	nin2	
燒	saɞ1/ʂaɞ1	
燕	iẽ5	
燙	tʰaŋ5	
燭	tsu7/tʂu7	
爆	paɞ5	
爐	nu2	
爛	nã5	
爪	tsuɑ3/tʂuɑ3	~手子
爬	pʰɑ2	
愛	ŋæe5	
父	fuᶹ7	
爺	ie2	
爸	pɑ5	
爹	tie1	
爽	suaŋ3/ʂuaŋ3	
牀	tsʰuaŋ2/tʂʰuaŋ2	
牆	tɕʰiaŋ2	
片	pʰiẽ5	
版	pã3	
牌	pʰæe2	
牒	tie7	
牙	iɑ2	
牛	niəu2	
牝	pʰin5	~牡
牡	mu3	
牢	naɞ2	
牧	mu7	
物	vuᶹ7	
牲	səin1/ʂəin1	
牽	tɕʰiẽ1	
特	tʰæ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犒	kʰaɞ5	
犬	tɕʰyẽ3	
犯	fã5	
狀	tsuaŋ5/tʂuaŋ5	
狂	kʰuaŋ2	
狄	ti7	
狎	ɕiæ7	
狐	xu2	
狗	kəu3	
狠	xəin3	
狡	tɕiaɞ3	
獨	tu7	
狹	ɕiæ7	
獄	yo7	
狸	ni3	
狼	naŋ2	
猛	moŋ3	
猜	tsʰæe1/tʂʰæe1	
猝	tsʰu7/tʂʰu7	
豬	tsu1/tʂu1	
猫	maɞ1	
猫	miaɞ2	
獻	ɕiẽ5	
猴	xəu2	
猾	xuæ7	
獅	sɿ1	
獵	nie7	
玄	ɕyẽ2	
率	so7/ʂo7	
玉	y7	
王	vuaŋ2	
玩	uã2	
玩	uã5	~友
玫	mɘɪ2	
環	xuã2	
玻	po1	
珀	pʰæ7	
珍	tsəin1/tʂəin1	
珠	tsu1/tʂu1	
班	pã1	
現	ɕiẽ5	
球	tɕʰiəu2	
理	ni3	
琉	niəu2	
琢	tso7/tʂo7	
琴	tɕʰin2	
琵	pʰi2	
琶	pɑ1	
瑕	ɕiɑ2	
瑞	suɘɪ5/ʂuɘɪ5	
瑟	sæ7/ʂæ7	
瑰	kuɘɪ5	
璃	ni2	
璞	pʰu7	
璧	pi7	
璽	ɕy3	
瓊	tɕʰyn2	
瓜	kuɑ1	
瓠	xu2	
瓠	xu7	
瓢	pʰiaɞ1	
瓢	pʰiaɞ2	
瓤	zaŋ2/ʐaŋ2	
瓦	uɑ3	
瓶	pʰin2	
瓷	tsʰɿ2	
甑	tsəin5/tʂəin5	
甕	oŋ5	
甚	səin5/ʂəin5	
甜	tʰiẽ2	
生	səin1/ʂəin1	
甥	səin1/ʂəin1	
用	ioŋ5	
甫	fuᶹ3	
田	tʰiẽ2	
由	iəu2	
甲	tɕiɑ5	
甲	tɕiæ7	
申	səin1/ʂəin1	
電	tiẽ5	
男	nã2	
畫	xuɑ5	
界	tɕie5	
界	tɕiẽ5	
界	tɕiæe5	最老派
畏	uɘɪ5	
留	niəu2	
畜	ɕy7	
畜	tsʰu7/tʂʰu7	~牲
略	nyo7	
番	fã1	
疆	tɕiaŋ1	
疏	su1/ʂu1	
疏	su7/ʂu7	~注
疑	ni2	
疤	pɑ1	
疥	tɕie5	
疥	tɕiæe5	最老派
疫	y7	
瘡	tsʰuaŋ1/tʂʰuaŋ1	
疲	pʰi2	
疵	tsʰɿ3	
疹	tsəin1/tʂəin1	
疼	tʰəin2	
疾	tɕi7	
疿	fɘɪ5	
痂	mɑ2	
病	pin5	
症	tsəin5/tʂəin5	
痒	iaŋ3	
痔	tsɿ7	
痕	xəin2	
痛	tʰoŋ5	
痢	næe5	
痢	ni7	
痢	næ7	
痣	tsɿ7	
痰	tʰã2	
痺	pʰi2	
瘁	tsʰuɘɪ5/tʂʰuɘɪ5	
瘋	foŋ1	
瘟	uəin1	
瘧	yo7	
瘸	tɕʰy2	
療	niaɞ2	
癡	tsʰɿ1	
癬	ɕyẽ3	
癸	kuɘɪ5	
登	təin1	
白	tɕiəu5	
白	pæ7	
百	pæ7	
皂	tsaɞ5/tʂaɞ5	
的	ti7	
的	ni1	白
皆	tɕie1	
皇	xuaŋ2	
皮	pʰi2	
皴	tsʰəin1/tʂʰəin1	脸~
皺	tsoŋ5/tʂoŋ5	
盂	y2	
盅	tsoŋ1/tʂoŋ1	
盆	pʰəin2	
盈	in2	
益	i7	
盍	xɤ̜7	
盞	tsã3/tʂã3	
監	tɕiẽ1	~牢
盔	kʰuɘɪ1	
盖	kæe5	
盜	taɞ5	
盛	səin5/ʂəin5	
盟	min2	
盤	pʰã2	
盧	nu2	
目	mu7	
盯	tin5	
直	tsɿ7	
相	ɕiaŋ1	互~
盼	pʰã5	
盾	təin5	
省	səin3/ʂəin3	
眉	mi2	
眉	mɘɪ2	
看	kʰã5	
真	tsəin1/tʂəin1	
眠	miẽ2	
眨	tsæ7/tʂæ7	~眼
眷	tɕyẽ3	
眼	iẽ3	
着	tso7/tʂo7	~衣
着	tsʰo7/tʂʰo7	睡~
睜	tsəin1/tʂəin1	
睛	tɕin1	
睡	suɘɪ5/ʂuɘɪ5	
督	tu7	
睬	tsʰæe3/tʂʰæe3	
睹	tu3	
瞌	kʰɤ̜7	
瞎	ɕiæ7	
瞞	mã2	
瞪	təin5	
瞭	niaɞ2	
瞳	tʰoŋ2	
瞿	tɕʰy2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	tɕy3	
矩	tɕy7	
矬	tsʰo1/tʂʰo1	
短	tuã3	
矮	ŋæe3	
矯	tɕiaɞ3	
石	sɿ7	
礬	fã2	
礦	kʰuaŋ5	
砌	tɕʰi7	
研	niẽ1	~究
研	iẽ2	井~縣
硯	niẽ5	
破	pʰo7	
硃	tsu1/tʂu1	
硝	ɕiaɞ1	
硫	niəu2	
硬	ŋəin5	
确	tɕʰyo7	
礙	ŋæe5	
碎	tsʰuɘɪ5/tʂʰuɘɪ5	
碎	suɘɪ5/ʂuɘɪ5	~米子
碑	pɘɪ1	
碗	uã3	
碧	pi7	
碰	pʰoŋ5	
鹼	tɕiẽ3	
碼	mɑ3	
碾	niẽ3	
磁	tsʰɿ2	
磚	tsuã1/tʂuã1	
磨	mo2	
磨	mo7	~面
示	sɿ7	
禮	ni3	
社	se5/ʂe5	
社	sæ7/ʂæ7	
祁	tɕʰi2	
祈	tɕʰi2	
祐	iəu5	
祖	tsu3/tʂu3	
祝	tsu7/tʂu7	
神	səin2/ʂəin2	
祠	tsʰɿ2	
祥	tɕʰiaŋ2	
票	pʰiaɞ5	
祭	tɕi5	
祭	tɕi7	
禁	tɕin5	
禁	tɕin1	弱不~风
祿	nu7	
禪	sã5/ʂã5	~讓
禍	xo5	
禍	xo7	
福	fuᶹ7	
禦	y7	
禧	ɕi1	
禪	sã2/ʂã2	~宗
禱	taɞ3	
禹	y3	
离	ni2	
禽	tɕʰin2	
禾	xɤ̜2	
禾	xo2	
秃	tʰu7	
秀	ɕiəu5	
私	sɿ1	
秉	pin3	
秋	tɕʰiəu1	
种	tsoŋ3/tʂoŋ3	
科	kʰɤ̜1	
秒	miaɞ3	
秘	pɘɪ5	
租	tsu1/tʂu1	
秤	tsʰəin5/tʂʰəin5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tsʰɿ7	
积	tɕi7	
稱	tɕi7	
稱	tsʰəin1/tʂʰəin1	~呼
稱	tsʰəin5/tʂʰəin5	相~
移	i2	
稀	ɕi1	
稈	kã3	高粱~
程	tsʰəin2/tʂʰəin2	
稍	saɞ1/ʂaɞ1	
税	suɘɪ5/ʂuɘɪ5	
稗	pæe5	
稚	tsɿ7	
稠	tsʰəu2/tʂʰəu2	
穩	uəin3	
稷	tɕi7	
稻	taɞ5	
稼	tɕiɑ5	
稽	tɕi1	
稿	kaɞ3	
穆	mu7	
積	tɕi7	
穗	xuɘɪ5	
穗	ɕy7	
穢	xuɘɪ5	
穴	ɕie7	
究	tɕiəu5	
窮	tɕʰioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	缺~
穿	tsʰuã1/tʂʰuã1	
突	tʰu7	
窄	tsæ7/tʂæ7	
竅	tɕʰiaɞ5	
窖	kaɞ5	
窗	tsʰuaŋ1/tʂʰuaŋ1	
窘	tɕyn3	
窟	kʰu7	
窠	o1	
窺	kʰuɘɪ1	
窩	o1	
窪	uɑ1	
立	ni7	
豎	su7/ʂu7	
站	tsã5/tʂã5	
競	tɕin5	
竟	tɕin5	
章	tsaŋ1/tʂaŋ1	
童	tʰoŋ2	
竭	tɕie7	
竭	ɕie7	
端	tuã1	
竹	tsu7/tʂu7	
竿	kã1	
笑	ɕiaɞ5	
筆	pi7	
笛	ti7	
符	fuᶹ2	
笨	pəin5	
第	ti7	
箋	tɕʰiẽ1	
等	təin3	
筋	tɕin1	
筍	səin3/ʂəin3	
筏	pʰɑ2	
筏	fɑ5	
筐	kʰuaŋ1	
筐	tɕʰiaŋ1	斗~
筑	tsu7/tʂu7	
筒	tʰoŋ2	
答	tɑ5	
策	tsʰæ7/tʂʰæ7	
箏	tsəin1/tʂəin1	
籌	tsʰəu2/tʂʰəu2	
签	tɕʰiẽ1	
箍	kʰu1	
算	suã5/ʂuã5	
管	kuã3	
簫	ɕiaɞ1	
箭	tɕiẽ5	
箱	ɕiaŋ1	
箸	tsu7/tʂu7	
篆	tsuã5/tʂuã5	
篇	pʰiẽ1	
簍	nəu3	
篦	pi7	
篩	sæe1/ʂæe1	
籃	nã2	
篷	pʰoŋ2	
篾	mi2	
簡	tɕiẽ3	
簷	iẽ2	
簸	po3	
簿	pu7	
籍	tɕie7	
籠	noŋ2	
籤	tɕʰiẽ1	
籬	ni2	
籮	no2	
米	mi3	
類	nuɘɪ5	
粉	fəin1	
粉	fəin3	
粒	ni7	
粗	tsʰu1/tʂʰu1	
粘	tsã1/tʂã1	~貼
粟	su7/ʂu7	
粤	yo7	
粥	tsu7/tʂu7	
糞	fəin5	
糧	niaŋ2	
粱	niaŋ2	
粹	tsʰuɘɪ5/tʂʰuɘɪ5	
粼	nin2	
糉	tsoŋ5/tʂoŋ5	~子
精	tɕin1	
糍	tsʰɿ2	
糕	kaɞ1	
糖	tʰaŋ2	
糜	mi2	
糟	tsaɞ1/tʂaɞ1	
糠	kʰaŋ1	
系	ɕi7	
紀	tɕi1	
紀	tɕi7	年~
紂	tsəu5/tʂəu5	
紇	xɤ̜7	回~
紋	uəin2	
紐	niəu3	
純	suəin2/ʂuəin2	
紗	sɑ1/ʂɑ1	
紙	tsɿ3	
級	tɕi7	
素	su7/ʂu7	
紡	faŋ3	
索	so7/ʂo7	
緊	tɕin3	
紫	tsɿ3	
紮	tsɑ5/tʂɑ5	
紮	tsæ7/tʂæ7	
累	nuɘɪ3	
累	nuɘɪ5	极困
細	ɕi7	
紹	saɞ5/ʂaɞ5	
終	tsoŋ1/tʂoŋ1	
組	tsu3/tʂu3	
結	tɕie7	
結	tɕi7	
絶	tɕye7	
絞	tɕiaɞ3	
給	tɕi7	
絨	zoŋ2/ʐoŋ2	
絮	suɘɪ5/ʂuɘɪ5	
絮	ɕy7	
統	tʰoŋ3	
絹	tɕyẽ5	
經	tɕin1	
綠	nu7	
綢	tsʰəu2/tʂʰəu2	
網	kaŋ1	
網	vuaŋ3	
綴	tsu7/tʂu7	
緖	ɕy7	
線	ɕiẽ5	
緞	tuã5	
緩	xuã3	
緯	uɘɪ3	
練	niẽ5	
縊	i7	
縐	tsoŋ5/tʂoŋ5	
縮	so7/ʂo7	
縱	tsoŋ5/tʂoŋ5	放~
縷	nəu3	
繁	fã2	
繃	pəin1	
繫	ɕi7	速~
織	tsɿ7	
繞	zaɞ3/ʐaɞ3	
繡	ɕiəu5	
繩	suəin2/ʂuəin2	
繪	xuɘɪ5	
繫	tɕi7	~鞋带
繼	tɕi7	
續	su7/ʂu7	
纏	tsʰã2/tʂʰã2	
纔	tsʰæe2/tʂʰæe2	
纔	tsʰã2/tʂʰã2	
紅	xoŋ2	
約	yo7	
納	nɑ5	
綏	ɕi1	
綿	miẽ2	
編	piẽ1	
緣	yẽ2	
縛	po7	
縫	foŋ2	~衣服
縫	foŋ5	一条~
纓	in1	
繳	tɕiaɞ3	
缸	kaŋ1	
缺	tɕyo7	
缺	tɕʰyo7	
罌	iaɞ2	
罐	no2	
罐	kuã5	
罕	xã3	
羅	no2	
罩	tsaɞ5/tʂaɞ5	
罪	tsuɘɪ5/tʂuɘɪ5	
置	tsɿ7	
罰	fɑ5	
罰	fæ7	
署	su3/ʂu3	
罵	mɑ5	
羈	tɕi1	
羊	iaŋ2	
美	mɘɪ3	
羔	kaɞ1	
羞	ɕiəu1	
群	tɕʰyn2	
群	tɕʰyn2	
羽	y3	
翁	oŋ1	
翅	tsɿ7	
翔	tɕʰiaŋ2	
翠	tsʰuɘɪ5/tʂʰuɘɪ5	
翰	su1/ʂu1	
翻	fã1	
耀	iaɞ5	
老	naɞ3	
考	kʰaɞ3	
者	tse3/tʂe3	
耆	tɕʰi2	
而	ɚ2	
耍	suɑ3/ʂuɑ3	
耐	næe5	
耕	kəin1	
耳	ɚ3	
耶	ie1	
聊	niaɞ2	
職	tsɿ7	
聯	niẽ2	
聘	pʰin5	
聚	tɕy7	
聞	uəin2	
聰	tsʰoŋ1/tʂʰoŋ1	
聶	nie7	
聾	noŋ1	
肅	su7/ʂu7	
肄	i7	
肆	sɿ5	
肆	sɿ7	
肇	saɞ5/ʂaɞ5	
肉	zəu5/ʐəu5	
肉	zu7/ʐu7	
肋	næ7	
肌	tɕi1	
肘	tsəu3/tʂəu3	
肚	tu3	
肚	tu7	
肛	kaŋ1	
肝	kã1	
股	ku3	
肢	tsɿ1	
肥	fɘɪ2	
肩	tɕiẽ1	
肯	kʰəin3	
育	y7	
肺	fɘɪ5	
