#漢字	音標	解釋
□	ki5	近指代词
嫂	sɔ3	
嫌	ɦi2	
嫖	biɔ2	~娼
嫡	teʔ7	
嫩	nʌŋ6	
嬉	sɿ1	
孀	ɕyɤ̃1	
子	tsɿ3	
孔	kʰoŋ3	
孕	ɦiŋ2	
字	zɿ6	
存	dzʌŋ2	
孫	sʌŋ1	
孝	ɕiɔ5	
孟	moŋ6	
季	tsɿ5	
孤	ku1	
學	ɦieʔ8	
孩	he1	
孵	bu2	
孽	neʔ8	
寧	niŋ6	~可
寧	niŋ2	安~
宅	dzəʔ8	
宇	y3	
守	ɕiɯ3	
安	e1	
宋	soŋ5	
完	ɦʏ2	
宏	ɦoŋ2	
宕	dɤ̃6	
宗	tsoŋ1	
官	kʏ1	
宙	dziɯ6	
定	diŋ6	
宛	ʏ3	
宜	ɦi2	
寶	pɔ3	
實	ʑieʔ8	
寵	tɕʰioŋ3	
審	ɕiŋ3	
客	kʰəʔ7	
宣	ɕʏ1	
室	ɕieʔ7	
宦	ʋe2	
宪	ɕi5	
宮	koŋ1	
宰	tse3	
害	ɦe6	
宴	i5	
宵	ɕiɔ1	
家	tɕia1	~庭,~具
容	ɦioŋ2	
寬	kʰʏ1	
賓	piŋ1	
宿	soʔ7	~舍
寂	tɕieʔ7	
寄	dzɿ2	
寅	ɦiŋ2	
密	meʔ7	
寇	kʰɛu5	
富	fu5	
寐	mai6	
寒	ɦe2	
寓	ɦy6	
寢	tɕʰiŋ3	
寞	mo6	
察	tsʰəʔ7	
寡	kua3	
寥	liɔ6	
寨	dze6	
寸	tsʰʌŋ5	
對	tai5	
寺	zɿ6	
尋	ʑiŋ2	
導	dɔ6	
壽	ʑiɯ6	
封	hoŋ1	
射	zɿ6	
將	tɕiɤ̃1	~来
將	tɕiɤ̃5	大~
尊	tsʌŋ1	
小	ɕiɔ3	
少	ɕiɔ5	~年
少	ɕiɔ3	多~
尔	l̩3	
尖	tɕi1	
塵	dʑiŋ2	
尚	ʑiɤ̃6	
尤	ɦiɯ2	
堯	ɦiɔ2	
就	ʑiɯ6	
尷	ke1	
屍	sɿ1	
尺	tɕʰieʔ7	
尼	ni2	
尽	dʑiŋ6	~量,~力
尾	ʋi3	文
尾	mai3	白
尿	niɔ6	
局	dʑyøʔ8	
屁	pʰi5	
層	dzʌŋ2	
居	tɕy1	
屈	tɕʰyøʔ7	
屆	tɕie5	
屋	oʔ7	
屍	sɿ1	
屏	biŋ2	
屑	ɕieʔ7	不~,木~
展	tɕi3	
屬	dʑyøʔ8	
屠	du2	
屢	ly3	
履	ly3	
屯	dʌŋ2	
山	se1	
歲	sai5	
豈	tsʰɿ3	
岐	dzɿ2	
岔	tsʰa5	
崗	kɤ̃1	
島	tɔ3	
巖	ŋe2	
嶺	liŋ3	
岳	ŋoʔ8	
岸	ŋe6	
峰	hoŋ1	
崇	dzoŋ2	
崔	tsʰai1	姓
崖	ɦia2	
崩	poŋ1	
嵌	kʰe5	
嵩	soŋ1	
川	tɕʰʏ1	
州	tɕiɯ1	
巡	ʑioŋ2	
巢	dzɔ2	
工	koŋ1	
左	tsu3	
巧	tɕʰiɔ3	
巨	dʑy6	
鞏	koŋ3	~固
巫	ʋu6	
差	tsʰa1	~别,~不多
差	tsʰe1	出~
己	tsɿ3	
已	i3	
巳	zɿ6	辰~
巴	pa1	
巷	ɦiɤ̃6	
巾	tɕiŋ1	
幣	bi6	
市	zɿ6	
布	pu5	一匹~
帥	se5	
帆	ʋe2	
師	sɿ1	
希	sɿ1	
帳	tɕiɤ̃5	
帖	tʰeʔ7	请~
帚	tɕiɯ3	
帛	boʔ8	
帶	te5	
席	ʑieʔ8	
幫	pɤ̃1	
常	dʑiɤ̃2	
帽	mɔ6	
幅	hoʔ7	
幔	me6	
幕	mo6	
干	ke1	
干	ke5	骨~,~活
平	fu1	
平	biŋ2	
年	ni2	
并	piŋ5	合~,~且
幸	niŋ6	
幻	ʋe2	
幼	iɯ5	
幽	iɯ1	
廣	kuɤ̃3	
莊	tsɤ̃1	
慶	tɕʰiŋ5	
庇	pi5	
牀	dʑyɤ̃2	
序	ʑy6	
廬	lu2	茅~,~山
庫	kʰu5	
應	iŋ1	~当
應	iŋ3	~用
底	ti3	
店	ti5	
廟	miɔ6	
庚	kʌŋ1	
府	fu3	
龐	bɤ̃6	
廢	fi5	
度	du6	
座	dzo6	
庭	diŋ2	
庵	e1	
康	kʰɤ̃1	
庸	ɦioŋ2	
廉	li1	
廊	lɤ̃2	
廖	liɔ6	姓
厮	sɿ1	
廯	ɕi3	
延	ɦi2	
延	diŋ2	
建	tɕi5	
開	kʰe1	
弃	tsʰɿ5	
弄	lʌŋ3	巷~
弄	loŋ1	捉~,~堂
弊	bi6	
式	ɕieʔ7	
弓	koŋ1	
引	iŋ3	
弘	ɦoŋ2	
弟	di6	
張	tɕiɤ̃1	
弦	ɦi2	
彎	ʋe1	
弱	ʑieʔ8	
彈	de6	子~,~琴
强	dʑiɤ̃2	
强	tɕʰiɤ̃3	勉~,倔~
弼	peʔ7	
彀	kɛu5	往上~
歸	kuai1	
當	tɤ̃1	~时,应~
當	tɤ̃5	~作,典~
录	loʔ8	
形	ɦiŋ2	
彩	tsʰe3	
彪	piɔ1	
彬	piŋ1	
彭	boŋ2	
