#漢字	音標	解釋
㓤	kʰiak7	【替字】生氣。~氣走，悻悻地離開。
喪	soŋ3	
喪	soŋ5	
喫	kʰet7	
喬	kʰiau2	
喭	nian5	
單	tan1	
單	tan3	
喳	tsa5	
喩	i5	
嗁	tʰai2	
嗂	iau2	
嗄	sa5	
嗅	tʃʰu5	
嗅	tʃʰiu5	
嗆	tsʰoŋ1	
嗇	sep7	
嗈	iuŋ1	
嗉	sɿ5	
嗌	it7	
嗍	sok7	
嗎	ma1	
嗏	tsʰa1	
嗐	hai1	語氣詞。箇就~，噢那完蛋。黃牛併陪馬走就~，黃牛和馬併排走不出事怎麼可能。
嗐	hai5	
嗐	hoi2	
嗑	hap8	
嗒	tʰap7	
嗓	soŋ3	
嗔	tʰien2	
嗔	tʃʰin1	
嗔	ʃim3	
嗚	vu1	
嗛	kʰiap7	
嗜	ʃɿ5	
嗝	kak7	
嗝	het8	【替字】打~啄，打嗝。
嗟	tsia1	
嗟	tsia2	
嗡	aŋ2	【替字】象聲詞。~~響，雷聲或狗聲。
嗡	oŋ2	
嗡	vuŋ2	
嗡	vuŋ1	
嗡	vuŋ5	
嗡	oŋ5	
嗡	oŋ1	
嗡	haŋ2	【重定向】嬰兒學語聲。打~~ku2。疑似將aŋ2印錯，字頭無haŋ2音，今音aŋ2。
嗢	vut7	
嗣	sɿ5	
嗣	tsʰɿ5	
嗤	tʃʰɿ1	
嗤	tʃʰi1	
嗶	pit7	
嗷	ŋau2	
嗹	lien2	
嗺	tsʰui1	
嗻	tʃa1	
嗼	mok7	
嗽	tsʰuk8	
嗾	seu5	
嗿	tʰam3	
嘁	tsap7	
嘅	kʰoi3	
嘆	tʰan5	
嘈	tsʰau2	
嘉	ka1	
嘍	leu2	
嘏	ka5	
嘒	fi5	
嘓	kuet8	【替字】閒言碎語。koŋ1 koŋ1~~，人們爭吵的聲音。
嘓	kuet7	【替字】蛙叫。~~kuet8 kuet8，很多青蛙叫的聲音。
嘔	eu3	
嘖	tsit7	
嘗	ʃoŋ2	
嘩	fa2	
嘬	tsui5	
嘬	tsʰai5	
嘯	siau5	
嘯	siu5	
嘲	sau3	
嘲	tsau1	
嘴	tʃoi5	
嘴	tsui2	
嘴	tsui3	
嘵	hiau1	
嘶	sɿ1	
嘷	hau2	
嘹	liau2	
嘻	hi1	
嘻	si1	
嘽	tʰan1	
嘿	met8	
噀	sun5	
噂	tsun3	
噆	tsʰam3	
噈	tsʰi3	
噋	tun1	
噌	tsʰen1	
噎	it7	
噏	hip7	【替字】本字應是「熻」。欺壓、傷害。~人，欺負人。
噐	hi5	
噓	hi1	
噠	tʰat7	
噢	iuk7	
噤	kim5	
噥	nuŋ2	
器	hi5	
噩	ŋok8	
噪	tsʰau5	
噫	i1	
噬	tʃʰɿ3	
噬	tʃʰi3	
噭	kiau3	
噯	oi5	
噰	iuŋ1	
噲	foi5	
噲	voi5	
噴	pʰun1	
噴	pʰun5	
噹	taŋ1	
噽	pʰi3	
嚀	len2	
嚀	nen2	
嚂	kam5	【替字】①間隔。~日，隔日。~疏lin5 luŋ5，間隔不密放。~箸，吃多種菜。②混合。~雜，混淆。~勻，混合均勻。
嚃	tʰap7	
嚄	vok7	
嚅	si1	
嚆	kau1	
嚇	hak7	
嚇	hak8	【重定向替字】原文用字[月赫]，本字爲「核」。睾丸。~卵/~子仁，睾丸。閹~/羯~，閹割。
嚊	si5	
嚌	tsi1	
嚌	tsʰi2	
嚔	tʃʰɿ5	
嚔	tʃʰi5	
嚔	tʰi5	
嚘	iu2	
嚙	ŋau1	
嚚	niun2	
嚜	met8	
嚥	ian1	
嚨	luŋ2	
嚫	tsʰaŋ5	
嚬	pʰin2	
嚭	pʰi3	
嚮	hioŋ5	
嚲	to3	
嚴	niam2	
嚶	in1	
嚷	ioŋ5	
嚻	hiau1	
嚼	tsʰiau5	
囀	tʃon5	
囁	niap7	
囂	hiau1	
囅	tʃan3	
囈	ȵi5	
囉	lo1	
囉	lo5	
囊	noŋ2	
囋	tsan5	
囑	tʃuk7	
囓	ŋat7	
囔	naŋ1	
囗	vi2	
囗	vui2	
囘	fi2	
囘	fui2	
囚	siu2	
四	si5	
囝	kʰian3	
回	fi2	
回	fui2	
回	foi2	
囟	sim3	
因	in1	
囡	niap7	
囤	tʰun1	
囤	tʰun3	
囤	tʰun5	
囥	kʰoŋ5	
囩	iun2	
囪	tsʰuŋ1	
囫	vut7	
囬	fi2	
囬	fui2	
囮	ŋo2	
困	kʰun5	
囪	tsʰuŋ1	
囹	lin2	
固	ku5	
囿	iu5	
圂	fun5	
圃	pʰu3	
圄	ni3	
圅	ham2	
圇	lun2	
圈	kʰian1	
圈	kʰian5	
圈	kʰuan1	
圉	ȵi3	
圊	tsʰin1	
國	kuet7	
圍	vi2	
圍	vui2	
園	ian2	
圓	ian2	
圖	tʰu2	
團	tʰon2	
圛	it8	
圜	fan2	
圜	ian2	
圝	lan2	
土	tʰu3	
圠	iat7	
圢	tʰaŋ2	
圤	pʰok7	
在	hoi1	
在	tʰoi1	
在	tsʰai1	
在	tsʰai5	
在	tsʰoi1	
圩	hi1	
圩	i2	
圬	vu1	
圭	kui1	
圮	ki3	
圮	pʰi3	
地	tʰi5	
圳	tʃun5	
圻	kʰi2	
圼	niap7	
圽	mut8	
圿	kʰat7	
址	tʃɿ3	
坂	fan3	
坄	it8	
坆	fun1	
坆	pʰun1	
均	kiun1	
坉	tun3	
坊	foŋ2	
坋	fun5	
坋	pʰun1	
坍	tʰan1	
坎	kʰam5	①土埂子、小堤。田~，田堤。②坑。灰~，熄滅石灰的坑。③【替字】象聲詞。~~振，咔咔震動。
坐	tsʰo1	
坐	tsʰo5	
坑	haŋ1	
坑	kaŋ1	
坒	pʰi5	
坓	hin2	
坡	pi1	
坡	po1	
坤	kʰun1	
坦	tʰan3	
坩	kʰam1	
坪	pʰiaŋ2	
坫	tiam5	
坭	nai2	
坮	tʰoi2	
坯	pʰi1	
坯	pʰoi1	
坰	kuen3	
坱	ioŋ1	
坳	au1	
坵	kʰiu1	
坵	hiu1	
坷	kʰo3	
坺	fat8	
坻	tʃʰɿ2	
坻	tʃʰi2	
坼	tsʰak7	
垂	ʃui2	
垂	ʃui5	
垂	tʃʰui2	
型	hin2	
垎	kʰak7	
垓	koi1	
垔	in1	
垖	toi1	
垗	tʃʰau5	
垛	to3	
垜	to3	
垝	kui3	
垟	ioŋ2	
垠	niun2	
垡	fat8	
垢	keu5	
垣	ian2	
垤	tiet7	
垮	kʰua1	
垮	kʰua5	
垷	hien5	
垹	poŋ1	
垻	pa5	
垽	niun5	
垾	hon5	
垿	si5	
埀	ʃui2	
埃	ai1	
埄	pʰuŋ2	
埆	kok7	
埇	iuŋ3	
埋	mai2	
埋	me2	
埌	loŋ5	
埍	kian3	
城	ʃaŋ2	
埏	ian2	
埔	pʰu1	
埔	pu1	
埕	tʃʰaŋ2	
埕	tʃʰin2	
埜	i5	
埝	tiam5	
域	vet7	
埠	feu5	
埢	kian3	
埤	pi1	
埧	kʰi3	
埨	lun3	
埭	tʰi5	
埯	iam3	
埰	tsʰai3	
埵	to3	
埶	ȵi5	
執	tʃip7	
培	pʰi2	
培	pʰui2	
基	ki1	
埻	tʃun3	
埽	sau5	
埾	tsʰi5	
埿	nai2	
堁	kʰo5	
堂	tʰo2	
堂	tʰoŋ2	
堅	kian1	
堆	toi1	
堆	toi3	
堇	kiun3	
堊	ok7	
堋	pʰaŋ5	
堗	tʰut7	
堘	ʃun2	
堘	ʃin2	
堙	in1	
堞	tʰiap8	
堟	tʃʰon5	
堠	heu5	
堡	pau3	
堤	tʰi2	
堦	kiai1	
堧	nion1	
堪	kʰam1	
堫	tsuŋ1	
堯	niau2	
堰	ian3	
報	pau5	
堲	tsit7	
場	tʃʰoŋ2	
場	it8	
堵	tu2	
堵	tu3	
堶	tʰo2	
堺	kiai5	
塉	tsit7	
塊	kʰuai2	
塊	kʰuai5	
塋	in2	
塌	tʰap7	
塏	kʰoi3	
塑	tsok7	
塑	sok7	
塒	ʃɿ2	
塓	met7	
塔	tap8	
塔	tʰap7	
塕	vuŋ3	
塗	tʰu2	
塘	tʰoŋ2	
塚	tʃʰuŋ3	
塞	set7	
塟	tsoŋ5	
塠	toi1	
塢	vu3	
鹽	iam2	
塡	tʰien2	
塯	liu5	
塲	tʃʰoŋ2	
塳	pʰuŋ2	
塵	tʃʰin2	
塹	tsʰiam5	
塺	moi2	
塻	mok7	
塼	tʃon1	
塾	ʃuk8	
塿	leu3	
墀	tʃʰɿ2	
墀	tʃʰi2	
墁	man5	
境	kin5	
墅	ʃu5	
墆	tiet7	
墇	tʃoŋ1	
墈	kʰiam1	
墉	iuŋ2	
墊	tiam5	
墊	tien3	
墊	tʰien5	
墋	tsʰam3	
墌	tʃak7	
墐	kiun3	
墓	mu5	
墔	tsʰui1	
墖	tʰap7	
墜	tʃui5	
墝	niau2	
墝	kʰau1	
增	tsen5	
增	tsen1	
墟	hi1	
墠	ʃan5	
墡	ʃan5	
墢	fat8	
墣	pʰok7	
墤	tʰui3	
墦	fan2	
墨	met8	
墩	tun1	
墮	tʰo5	
墰	tʰam2	
墱	ten5	
墳	fun2	
墳	pʰun2	
墺	iuk7	
墻	sioŋ2	
墼	kit7	
墾	kʰen3	
壁	piak7	
壅	iuŋ3	
壆	hok7	
壆	pok7	
壇	tʰan2	
壈	lam3	
壞	fai5	
壤	ioŋ5	
壍	tsʰiam5	
壐	sai3	
壑	kʰok7	
壒	ai5	
壓	a2	
壓	ap7	
壔	tau3	
壕	hau2	
壖	nion1	
壘	lui3	
壙	kʰuoŋ3	
壚	lu2	
壜	tʰam2	
壞	fai5	
壟	liuŋ2	
壠	liuŋ2	
壢	lak8	
壢	lak7	
壤	ioŋ5	
壧	ŋam5	
壧	ŋap7	
壩	pa5	
士	sɿ5	
壬	im2	
壬	nim2	
壯	tsoŋ5	
壹	it7	
壺	fu2	
壺	kʰun3	
壻	se5	
壽	ʃu5	
壽	ʃiu5	
壿	tsun1	
夀	ʃu5	
夀	ʃiu5	
夂	tʃɿ5	
夆	fuŋ1	
變	pien5	
夋	tsun1	
夎	tsʰo5	
夏	ha5	
夐	kuen3	
夕	sip8	
外	ŋoi3	
夗	van3	
夘	ŋoi5	
夙	siuk7	
多	to1	
夜	ia5	
够	keu5	
夠	keu5	
夢	muŋ5	
夢	mu5	
夣	muŋ5	
夣	mu5	
夤	in2	
夥	fo2	
大	tʰai3	
天	tʰien1	
太	tʰai5	
夫	fu1	
夫	fu2	
夬	kuai5	
夭	iau1	
央	ioŋ1	
夰	kau3	
失	ʃit7	
夲	tʰau1	
夷	i2	
夸	kʰia1	【替字】吹噓、美化。~頭~腦，吹牛。
夸	kʰua5	
夾	kap8	①拍打、湧撞。荷水會~，挑水水會湧撞桶。②象聲詞。~~響。
夾	kap7	①咬。狗~下來，狗咬過來。②【替字】本字爲「合佮」。~死做，拼命做。
夾	kiap8	
奀	ŋan1	
奀	tse1	【替字】瘦小、醜陋。
奄	iam3	
奄	iam1	
奅	pʰau5	
奇	kʰi2	
奈	nai5	
奉	fuŋ5	
奏	tseu5	
奐	fon5	
契	kʰe3	
契	kiet7	
契	kʰe5	
奓	tʃʰa1	
奔	pun1	
奕	it8	
套	tʰau5	
奘	tsoŋ5	
奚	he1	【替字】象聲詞。~下來，人羣湧來。~~響，人羣嘈雜聲。
奚	hi2	
奚	he2	
奞	kʰui2	
奢	tʃʰa1	
奧	au5	
奩	liam2	
奪	tʰot8	
奬	tsioŋ3	
奭	ʃit7	
奮	fun5	
奰	pʰi5	
女	ȵi3	【文】
女	ȵiu3	
女	ŋ̍3	
奴	nu2	
奶	nai1	
奸	kian1	
奼	tsa5	
好	hau3	
好	hau5	
妁	ʃok7	
如	i2	
妃	fi1	
妃	fui1	
妄	voŋ3	
妄	moŋ3	
妊	im2	
妊	nim2	
姸	ŋan1	
妑	pa1	
妒	tu2	
妒	tu5	
妓	ki3	
妓	kʰi3	
妖	iau1	
妗	kʰim1	
妙	miau3	
妚	pʰi1	
妝	tsoŋ1	
妠	nep7	
妣	pi3	
妤	i2	
妥	tʰo3	
妨	foŋ2	
妬	tu5	
妭	pʰat8	
妮	ni2	
妯	tʃʰuk7	
妲	tat7	
妲	tʰan5	
妳	nai1	
妴	van3	
妸	o1	
妹	moi5	
妻	tsʰi1	
妾	tsʰiap7	
姁	hi1	
姆	me1	
姉	tsi3	
姉	tse2	
姊	tse2	
姊	tsi3	
始	tʃʰɿ3	
始	tʃʰi3	
姐	tse1	
姐	tsia3	
姐	tsʰia1	
姑	ku1	
姒	sɿ5	
姓	siaŋ5	
委	vi1	
委	vui1	
姕	tsɿ1	
姍	san3	
姙	im2	
姙	nim2	
姚	iau2	
姜	kioŋ1	
姡	kuat7	
姣	hau2	
姣	hiau2	
姤	keu5	
姦	kian1	
姨	i2	
姪	tʃʰit8	
姬	kʰi1	
姬	hi1	
姮	hen2	
姱	kʰua5	
姷	iu5	
姹	tsa5	
姻	in1	
姼	tʃʰɿ3	
姼	tʃʰi3	
姿	tsɿ1	
威	vi1	
威	vui1	
娃	va1	
娃	ŋa2	
娉	pʰin3	
娊	hien5	
娋	sau1	
娌	li3	
娓	mi3	
娕	tsʰok7	
娖	tsʰok7	
娘	nioŋ2	
娚	nam2	
娛	ŋu2	
娜	no2	
娟	kian1	
娠	ʃin2	
娤	tsoŋ1	
娥	ŋo2	
娩	van3	
娫	tʰin2	
娬	vu3	
娭	hi1	
娵	tseu1	
娶	tsʰi3	
娼	tʃʰoŋ1	
娿	o1	
婁	leu2	
婆	pʰo2	
婉	van3	
婊	piau1	
婏	van3	
婐	vo3	
婓	fi1	
婓	fui1	
婔	fi1	
婔	fui1	
婕	tsʰiap8	
婚	fun1	
婢	pʰi1	
婢	pi1	
婣	in1	
婥	ʃok7	
婥	tʃok7	
婦	fu5	
婦	fu3	
婧	tsʰiaŋ5	
婪	lam2	
婬	im2	
婭	a5	
婷	tʰin2	
婸	tʰoŋ3	
婹	iau3	
婼	ʃok7	
婿	se5	
媈	fun2	
媊	tsʰien2	
媌	miau2	
媒	moi2	
媚	mi5	
媛	ian2	
媞	tʰi2	
媟	siet7	
媠	tʰo5	
媢	mau5	
媦	vi5	
媦	vui5	
媧	vo1	
婾	i2	
媰	tsʰɿ1	
媲	pʰi5	
媳	sit7	
媸	tʃʰɿ1	
媸	tʃʰi1	
媻	pʰan2	
媼	au3	保姆。nen5~。
媽	ma1	
媽	ma2	
媾	keu5	
嫁	ka5	
嫂	sau3	
嫇	men2	
嫉	tsʰit8	
嫋	niau3	
嫌	hiam2	
嫌	hio2	【替字】責怪、批評。~人。
嫐	liau5	
嫕	i5	
嫖	pʰiau2	
嫗	kʰi1	
嫗	hi1	
嫚	man5	
嫛	i1	
嫜	tʃoŋ1	
嫟	nit8	
嫠	li2	
嫡	tit7	
嫣	ian1	
嫥	tʃon1	
嫦	ʃoŋ2	
嫩	nun5	
嫪	lau5	
嫫	mu2	
嫭	fu5	
嫳	pʰiet7	
嫵	vu3	
嫷	tʰo5	
嫺	han2	
嫻	han2	
嫽	liau2	
嬈	niau2	
嬉	hi1	
嬋	ʃam2	
嬌	kiau1	
嬖	pʰit7	
嬗	ʃam2	
嬙	sioŋ2	
嬤	mo2	
嬥	tʰiau2	
嬪	pin1	
嬭	nai1	
嬰	in1	
嬲	liau5	
嬴	in2	
嬸	ʃim3	
嬻	tʰuk8	
嬾	lan2	
孀	soŋ1	
孃	nioŋ2	
孅	siam2	
孌	lien5	
孍	niam2	
孎	tʃuk7	
子	tsɿ3	
孑	kiet7	
孔	kʰuŋ3	
孕	in3	
孖	tsɿ1	
字	lpa	備注
字	sɿ5	
字	tsʰɿ3	
存	sun2	
存	tsʰun2	【文】
孫	sun1	
孚	fu1	
孛	pʰut8	
孜	tsɿ1	
孝	hau5	
孟	men5	
孠	sɿ5	
孠	tsʰɿ5	
季	kui5	
孤	ku1	
孤	ku2	
孥	nu2	
孩	hai2	
孩	ha2	【替字】本字可能是「伢」。嬰兒。~毛。
孫	sun1	
孬	vai1	
孰	ʃuk8	
孱	tsan1	
孳	tsɿ1	
孵	pʰu5	
學	hok8	
孺	i2	
孻	lai5	
孼	ȵet7	
孽	ȵet7	
孾	in1	
孿	lien2	
宀	mien2	
宁	tu3	
宂	iuŋ3	
它	tʰo2	
宅	tsʰet8	
宇	i3	
守	ʃu3	
守	ʃiu3	
安	on1	
宋	suŋ5	
完	van2	
完	ian2	
宏	fen2	
宓	met8	
宔	tʃu3	
宕	tʰoŋ5	
宖	fen2	
宗	tsuŋ1	
官	kuon1	
宙	tsʰiu5	
定	tʰin5	
宛	iaŋ1	
宜	ni2	
寶	pau3	
客	hak7	
客	kʰak7	
客	kʰet7	
宣	sien1	
室	ʃit7	
宥	iu5	
宦	fon5	
宮	kiuŋ1	
宰	tsai3	
害	hoi3	
宴	ian5	
宵	siau1	
家	ka1	
容	iuŋ2	
宻	met8	
宼	kʰeu5	
宿	siuk7	
寁	tsam3	
寂	sip7	
寂	tsʰip7	
寃	ian1	
寄	ki5	
寅	in2	
寅	i2	
密	met8	
寇	kʰeu5	
富	fu5	
寍	nen2	
寎	piaŋ3	
寐	mi3	
寐	mui3	
寒	hon2	
寓	ȵi5	
寔	ʃit8	
寕	nen2	
寖	tsim5	
寘	tʃɿ5	
寞	mok7	
察	tsʰat7	
寠	kʰi3	
寡	kua3	
寢	tsʰim3	
寤	ŋu5	
寥	liau2	
實	ʃit8	
寧	nen2	
寨	tsʰai5	
審	ʃim3	
寫	sia3	
寬	kʰon1	
寬	kʰuon1	
寬	kʰuan1	
寮	liau2	
寰	fan2	
寱	ȵi5	
寳	pau3	
寵	tʃʰuŋ3	
寶	pau3	
寸	tsʰun5	
寺	sɿ5	
寽	lot7	
尀	pʰo3	
封	fuŋ1	
射	ʃa5	
將	tsioŋ1	
將	tsioŋ5	
專	tʃon1	
尉	vi3	
尉	vui3	
尊	tsun1	
尋	tsʰim2	
對	tui5	
導	tʰau3	
小	siau3	
少	ʃau3	
少	ʃau5	
少	sau5	
尒	ni3	
尔	ni3	
尖	tsiam1	
尙	ʃoŋ5	
尙	soŋ5	
尟	sien3	
尠	sien3	
尢	voŋ1	
尣	voŋ1	
尤	iu2	
尨	maŋ2	
尪	voŋ1	
尬	kiai5	
就	tsʰiu5	
尲	kam1	
尷	kam1	
尸	ʃɿ1	
尹	iun3	
尺	tʃʰak7	
尻	kʰau1	
尼	ni2	
尾	mi1	
尾	mui1	
尿	niau5	
局	kʰiuk8	
屁	pʰi5	
屄	pai2	
屄	pi1	
居	ki1	
屆	kiai5	
屇	kiai5	
屈	kʰiut7	
屉	tʰi5	
屋	vuk7	
屌	tiau3	
屍	ʃɿ1	
屎	ʃɿ3	
屛	pʰin2	
屐	kʰiak8	
屑	siet7	
屑	sut7	
展	tʃan3	
屙	o1	
屛	pʰin2	
屜	tʰi5	
屬	ʃuk8	
屬	tʃuk7	
屠	tʰu2	
屢	lui1	
屣	sai3	
屣	si3	
層	tsʰen2	
層	tsʰen5	
履	li3	
屩	kiok7	
屬	ʃuk8	
屬	tʃuk7	
屭	hi5	
屯	tʰun2	
屰	niak8	
山	san1	
屳	sen1	
屴	lit8	
屹	ȵet7	
屹	iat7	
屺	kʰi3	
屽	ŋan3	
岉	vut7	
岊	tsiet7	
岌	kʰip7	
岐	kʰi1	
岑	tsʰem2	
岔	tsʰa1	
岡	koŋ1	
岥	po1	
岦	lip8	
岧	tʰiau2	
岩	ŋam1	
岩	ŋam2	
岫	tsʰiu5	
岬	kap7	
岮	tʰo2	
岱	tʰoi5	
岳	ŋok8	
岵	fu3	
岸	ŋan3	
岹	tʰiau2	
峋	sun2	
峐	koi1	
峒	tʰuŋ2	
峙	tʃɿ3	
峙	ʃɿ3	
峨	ŋo2	
峩	ŋo2	
峪	iuk8	
峭	tsʰiau5	
峯	fuŋ1	
峴	hien5	
島	tau3	
島	to3	
峻	tsun5	
峽	kʰiap8	
崆	kʰuŋ3	
崆	kʰuŋ5	
崇	tsʰuŋ2	
崉	tʰap7	
崋	fa2	
崋	fa5	
崎	kʰi1	
崐	kʰun1	
崑	kʰun1	
崒	tsʰui5	
崔	tsʰui1	
崖	ŋai2	
崗	koŋ1	
崘	lun2	
崙	lun2	
崚	lin2	
崛	kʰiut7	
崛	kʰut7	
崝	tsen1	
崟	in5	【替字】本字爲「嵊」。斜坡、小山崗。
崥	pʰi2	
崦	iam3	
崧	tsʰiuŋ2	
崩	pen1	
崱	tset7	
崽	tsai3	
崿	ŋok8	
嵁	kʰam1	
嵂	lit8	
嵂	lut8	
嵎	ȵi2	
嵏	tsuŋ1	
嵐	lam2	
嵑	kiet7	
嵠	hai1	
嵠	kʰe1	
嵩	siuŋ1	
嵩	tsʰiuŋ2	
嵪	kʰiau1	
嵫	tsɿ1	
嵬	ŋui2	
嵯	tsʰo1	
嵯	tsʰo5	
嵼	san3	
嵾	tsʰam1	
嶁	leu3	
嶂	tʃoŋ5	
嶃	tsʰam2	
嶇	kʰi1	
嶋	tau3	
嶋	to3	
嶒	tsʰen2	
嶔	kʰim1	
嶕	tsiau1	
嶝	ten5	
嶞	tʰo5	
嶟	tsun1	
嶧	it8	
嶬	ȵi2	
嶭	ȵet7	
嶷	ȵi2	
嶸	iuŋ2	
嶺	liaŋ1	
嶼	sɿ5	
嶽	ŋok8	
嶾	iun3	
巍	ŋui2	
巑	tson1	
巒	lan2	
巓	tin1	
巓	tin3	
巓	tien1	
巖	ŋam2	
川	tʃʰon1	
州	tʃu1	
州	tʃiu1	
巟	foŋ1	
巠	kin1	
巡	sun2	
巢	tsʰau2	
巤	lap8	
工	kuŋ1	
左	tso3	
巧	kʰau3	
巨	kʰi3	
巫	mu2	
差	tsʰa1	
差	tsʰai1	
己	ki3	
已	i3	
巳	sɿ5	
巴	pa1	
巵	tʃɿ1	
巷	hoŋ3	
卷	kʰian2	
巽	sun5	
巾	kin1	
帀	tsap7	
市	ʃɿ5	
布	pu5	
帆	fam2	
帉	fun1	
帊	pʰa5	
希	hi1	
帑	nu2	
帒	tʰoi5	
帓	mat7	
帕	pʰa5	
帖	tʰiap7	
帙	tʃit7	
帚	tʃu3	
帚	tʃiu3	
帛	pʰet8	【替字】完。
帛	pʰet7	【替字】完。
帛	tʰet7	【替字】完。
帛	tet7	
帛	het7	
帝	ti5	
帟	it8	
帠	ȵi5	
帲	pʰin2	
帣	kʰian5	
帥	sai3	
帨	tʃʰoi5	
師	sɿ1	
席	sit8	
幫	poŋ3	
幫	poŋ1	
帳	tʃoŋ5	
帵	van1	
帶	tai5	
常	ʃoŋ2	
帽	mau5	
幃	vi2	
幃	vui2	
幄	vok7	
幅	fuk7	
幅	puk7	
幇	poŋ1	
幌	foŋ3	
幎	met7	
幔	man5	
幕	mok7	
幖	piau1	
幘	tsit7	
幝	ʃan5	
幞	pʰuk7	
幟	tʃɿ5	
幠	fu1	
幡	fan1	
幢	tsʰoŋ2	
幣	pi5	
幦	met7	
幧	tsʰiau1	
幨	tʃam1	
幪	muŋ2	
幫	poŋ1	
幬	tau3	
幭	met8	
幮	tʃʰu2	
干	kon1	
平	pʰiaŋ2	
平	pʰin2	
年	nian2	
幵	kian1	
幷	pin5	
幸	hen5	
幹	kon5	
幹	kan5	
幺	iau1	
幻	fam5	
幼	iu5	
幽	iu2	
幾	ki1	
幾	ki3	
庀	pʰi3	
庄	tsoŋ1	
庇	pʰi1	
庉	tʰun5	
牀	tsʰoŋ2	
庌	ŋa3	
序	si5	
廬	lu2	
底	tai3	
庖	pʰau2	
店	tiam5	
廟	miau5	
庚	kaŋ1	
庛	tsʰɿ5	
府	fu3	
庠	sioŋ2	
庢	tʃit7	
庣	tʰiau1	
庤	ʃɿ5	
庥	hiu1	
度	tʰok8	
度	tʰu5	
座	tsʰo5	
庨	hau1	
庫	kʰu5	
庭	tʰin2	
庮	iu2	
庰	piaŋ5	
庳	pi5	
庵	am1	
庶	ʃu5	
康	kʰoŋ1	
庸	iuŋ2	
庽	ȵi5	
庾	i2	
庾	i3	
廁	tsʰɿ5	
廁	tsʰa5	
廂	sioŋ1	
廇	liu5	
廈	ha5	
廉	liam2	
廉	liam5	
廊	loŋ2	
廋	seu1	
廏	kiu5	
廐	kiu5	
廒	ŋau2	
廓	kuok7	
廖	liau5	
廚	tʃʰu2	
廛	tʃʰan2	
廝	sɿ1	
廞	him1	
廟	miau5	
廠	tʃʰoŋ3	
廡	vu3	
廢	fi5	
廢	fui5	
廢	fit8	【替字】象聲詞。用劍~~fak7 fak7，用劍咻咻咻咻。
廢	fit7	【替字】丟棄。~撇佢，丟掉它。
廣	kuoŋ3	
廥	kʰuai5	
廧	sioŋ2	
廨	kiai5	
廩	lim1	
廬	lu2	
廯	sien3	
廱	iuŋ1	
廳	tʰaŋ1	
廳	tʰen1	
廳	tʰaŋ5	
廳	tʰaŋ3	
延	ian2	
廷	tʰin2	
廸	tʰit7	
廹	pit7	
廹	pet7	
建	kian5	
廻	fi2	
廻	fui2	
廼	nai1	
廾	kiuŋ3	
廿	ȵip8	
弁	pʰien5	
异	i2	
弃	hi5	
弃	kʰi5	
弄	luŋ3	
弄	luŋ5	
弇	iam3	
弈	it8	
弊	pi5	
弋	it8	
弌	it7	
弍	ȵi5	
弎	sam1	
式	ʃit7	
弒	ʃɿ5	
弓	kiuŋ1	
弔	tiau1	
弔	tiau5	
引	in1	
弗	fut7	
弗	vut7	
弗	vut8	
弘	fen2	
弛	tʃʰɿ3	
弛	tʃʰi3	
弝	pa5	
弟	tʰai1	
弟	tʰi5	
弣	fu3	
弤	ti3	
弦	hien2	
弧	fu2	
弨	tʃʰau1	
弩	nu3	
弭	mi3	
弮	kʰian1	
弰	sau3	
弱	niok8	
弴	tiau1	
弴	tun1	
張	tʃoŋ1	
張	tsoŋ1	
弶	kioŋ3	
強	kioŋ3	
強	kʰioŋ2	
弸	pʰen2	
强	kioŋ3	
强	kʰioŋ2	
弻	pit7	
弼	pit7	
彀	keu5	
彄	kʰeu1	
彄	kʰeu2	
彈	tʰan2	
彈	tʰan5	
彌	ni2	
彍	kuok7	
彎	van1	
彐	ki5	
彖	tʃʰon5	
彗	sui5	
彘	tʃʰɿ3	
彘	tʃʰi3	
彙	lui5	
彝	i2	
形	hin2	
彤	tʰuŋ2	
彥	nian5	
彥	ŋan5	
彧	iuk7	
彩	tsʰai3	
彪	piau1	
彫	tiau1	
彫	tʰiau1	
彬	pin1	
彭	pʰaŋ5	
彯	pʰiau1	
彰	tʃoŋ1	
影	iaŋ3	
彳	tʃʰit7	
彴	ʃok7	
彶	kiak8	【替字】疑誤，今音kiak7。快。行~。
彷	foŋ3	
彸	tʃuŋ1	
役	it8	
彼	pi3	
彽	tʃʰɿ2	
彽	tʃʰi2	
彿	fut7	
往	voŋ1	
征	tʃin1	
徂	tsɿ1	
徃	voŋ1	
待	tʰai5	
待	tʰoi5	
徇	sun2	
很	hen3	非常。~容易。
很	hen2	
徉	ioŋ2	
徊	fi2	
徊	fui2	
律	lit8	
律	lut8	
後	heu5	①時間晚。在~，之後。②位置後。背~。
徎	tʃʰin3	
徏	tʃit7	
徐	tsʰi2	
徑	kaŋ5	
徒	tʰu2	
得	tet7	
徘	pʰi2	
徙	sai3	
徛	kʰi1	
從	tsiuŋ5	
從	siuŋ3	
從	tsʰiuŋ2	
御	ȵi5	
御	ham2	
徧	pien5	
徨	foŋ2	
復	fuk8	
循	sun2	
徬	pʰoŋ2	
徭	iau2	
微	mi2	
徵	tʃin1	
徶	pʰiet8	
德	tet7	
徹	tʃʰat8	
徹	tʃʰat7	
徼	kiau1	
徽	fi1	
徽	fui1	
忀	sioŋ1	
心	sim1	
必	pit7	
忉	tau1	
忌	kʰi3	
忍	niun1	
