#漢字	音標	解釋
㔶	kã3	盖子
食	ɕieʔ8	
食	ɕia6	吃
饥	tsɿ1	饿
飩	teŋ2	
飯	puə5	
飽	pau3	
飼	tsʰɿ5	喂养
餅	piã3	
餓	ŋou6	
餿	tʰɛu1	
香	ɕiɔ̃1	
馬	ma3	
馱	tou2	拿
馳	tsɿ2	
駁	pɔʔ7	
驕	tɕiɛu1	
驗	ȵi6	
騎	tsɿ2	
骨	kueʔ7	
骹	kʰa1	
髓	sue3	
高	kɛu1	
髮	pɔʔ7	头~
髮	fɛʔ7	
鬼	kue3	
魂	fuə2	
魄	pʰɛʔ7	
魚	ȵy2	
鱉	piɛʔ7	
鱔	ɕi6	
鳥	tɛu3	
雞	tɕie1	
鴨	ɛʔ7	
鴿	kɛʔ7	
鵝	ŋou2	
鷂	iɛu6	
鶴	ŋɔʔ8	
鸚	ieŋ1	
鷹	ieŋ1	
鹹	kɛ̃2	~淡
鹿	ləuʔ8	
麝	ɕia6	
麥	ma6	
麵	mi6	
麩	pʰou1	
麻	ma2	
黃	ɔ̃2	
黑	hɛʔ7	
鼠	tɕʰy3	
鼻	pʰi5	
齊	se2	
齒	tsʰɿ3	
龍	ləŋ2	
龜	kue1	
𥭘	tʰai1	原文记作筛
