#漢字	音標	解釋
□	tia1	提
尖	tɕiæ̃1	
塵	tsʰən2	
尚	saɣ̃5	
嘗	saɣ̃2	
尤	iəu2	
堯	zaɤ2	
尬	ka5	
就	tɕiəu5	
尷	kaɹ̃1	
屍	sɿ1	
尹	yn3	
尺	tsʰɘ7	
尼	ȵi2	
尽	tɕin5	
尾	uei3	
尿	ȵiaɤ5	
局	tɕio7	
屁	pʰi5	
層	tsʰən2	
居	tɕy1	
屈	tɕʰio7	
屉	tʰi5	
屆	tɕiæɛ5	
屋	uɵ7	
屎	sɿ3	
屏	pʰin2	
屑	ɕie7	
展	tsaɹ̃3	
屠	tʰu2	
屢	ny3	
屢	nei3	
屢	nəu3	
履	ni3	
屯	tʰən2	
山	saɹ̃1	
嶼	y3	
歲	suei5	
豈	ɕi3	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa5	
嶇	tɕʰy1	
崗	kaɣ̃1	
島	taɤ3	
巖	iæɛ2	
嶺	nin3	
岳	io7	
岸	ŋaɹ̃5	
峙	tsɿ5	
峽	ɕiæ7	
峰	foŋ1	
崇	tsʰoŋ2	
崔	tsʰuei1	
崖	ŋae2	
崤	ɕiaɤ2	
崩	pən1	
崩	poŋ1	
嵌	kʰaɹ̃1	
嵌	tɕʰiæ̃5	
嵩	soŋ1	
巍	uei3	
川	tsʰuaɹ̃1	
州	tsəu1	
巡	ɕyn2	
巢	tsʰaɤ2	
工	koŋ1	
左	tso3	
巧	tɕʰiaɤ3	
鞏	koŋ3	
巫	vuᶹ1	
差	tsʰa1	
差	tsʰae1	~出
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xaɣ̃5	
巾	tɕin1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	suae5	
帆	faɹ̃2	
師	sɿ1	
希	ɕi1	
帳	tsaɣ̃5	
帕	pʰa5	
帖	tʰie7	
帘	niæ̃2	
帚	tsəu3	
帝	ti5	
帶	tae5	
席	ɕie7	
幫	paɣ̃1	
常	saɣ̃2	
帽	maɤ5	
幅	fɵ7	
幔	maɹ̃5	
幕	mu5	
干	kaɹ̃1	
干	tɕʰiæ̃2	
干	kaɹ̃5	
平	pʰin2	
年	ȵiæ̃2	
并	pin5	
幸	ɕin5	
幺	iaɤ1	
幻	xuaɹ̃5	
幼	iəu5	
幽	iəu1	
廣	kuaɣ̃3	
莊	tsuaɣ̃1	
慶	tɕʰin5	
庇	pi5	
牀	tsʰuaɣ̃2	
序	ɕy5	
廬	nu2	
庫	kʰu5	
應	in5	
底	ti3	
店	tiæ̃5	
廟	miaɤ5	
庚	kən1	
府	fuᶹ3	
龐	pʰaɣ̃2	
廢	fei5	
度	tu5	
座	tso5	
庭	tʰin2	
庵	ŋaɹ̃1	
庶	su5	
康	kʰaɣ̃1	
庸	ioŋ1	
廉	niæ̃2	
廊	naɣ̃2	
廓	kʰuæ7	
廖	niaɤ5	
延	iæɛ2	
廷	tʰin2	
建	tɕiæ̃5	
廿	niæ̃5	
開	kʰae1	
异	i5	
弃	tɕʰi5	
弄	noŋ1	
弄	noŋ5	
弊	pi5	
式	sɿ5	
弓	koŋ1	
引	in3	
弗	fɵ7	
弘	xoŋ2	
弟	ti5	
張	tsaɣ̃1	
弥	mi2	
弦	ɕyæ̃2	
彎	uaɹ̃1	
弱	zuɵ7	
彈	tʰaɹ̃2	
彈	taɹ̃5	
强	tɕʰiaɣ̃2	
歸	kuei1	
當	taɣ̃1	
當	taɣ̃5	
形	ɕin2	
彩	tsʰae3	
彪	piaɤ1	
彬	pin1	
彭	pʰən2	
影	in3	
彷	faɣ̃3	
役	io7	
徹	tsʰæ7	
彼	pi3	
往	uaɣ̃3	
征	tsən1	
徑	tɕin5	
待	tae5	
很	xən3	
徊	xuei2	
律	nuɵ7	
徐	ɕy2	
徒	tʰu2	
得	tæ7	
徙	ɕi3	
御	y5	
循	ɕyn2	
微	uei2	
德	tæ7	
徽	xuei1	
心	ɕin1	
必	pie7	
憶	i5	
忌	tɕi5	
忍	zən3	
忏	tsʰaɹ̃5	
忖	tsʰən5	
志	tsɿ5	
忘	uaɣ̃5	
忙	maɣ̃2	
忝	tʰiæ̃1	
忠	tsoŋ1	
憂	iəu1	
快	kʰuae5	
念	ȵiæ̃5	
忽	tsʰoŋ1	
懷	xuae5	
態	tʰae5	
慫	soŋ3	
悵	tsʰaɣ̃2	
怎	tsən3	
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	niæ̃2	
思	sɿ1	
怠	tae5	
怡	i5	
急	tɕie7	
性	ɕin5	
怨	yæ̃5	
怪	kuae5	
怯	tɕʰie7	
總	tsoŋ3	
戀	niæ̃2	
恐	kʰoŋ3	
恆	xən2	
恕	su5	
恢	xuei1	
恤	ɕye7	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	ɕie7	
恰	tɕʰiæ7	
恶	ŋɤ7	
惻	tsʰæ7	
惱	naɤ3	
恿	ioŋ3	
悄	tɕʰiaɤ1	
悉	ɕie7	
悔	xuei3	
悟	vuᶹ5	
悠	iəu1	
患	xuaɹ̃5	
悦	io7	
懸	ɕyæ̃2	
憫	min3	
悲	pei1	
悴	tsʰuei5	
情	tɕʰin2	
驚	tɕin1	
惜	ɕie7	
惟	uei2	
惠	xuei5	
懼	tɕy5	
慘	tsʰaɹ̃3	
懲	tsʰən3	
慚	tsʰaɹ̃2	
慣	kuaɹ̃5	
惰	to5	
想	ɕiaɣ̃3	
惹	zei3	
愁	tsʰəu2	
愈	y5	
愉	y5	
意	i5	
愚	y2	
感	kaɹ̃3	
憤	fən5	
愧	kʰuei5	
願	yæ̃5	
慈	tsʰɿ2	
慌	xuaɣ̃1	
慎	tsʰən5	
慕	mu5	
慢	maɹ̃5	
慧	xuei5	
慨	kʰae3	
慨	kʰae5	
慰	uei5	
慷	kʰaɣ̃1	
憋	pie7	
憎	tsən1	
憨	xaɹ̃1	
憾	xaɹ̃5	
懂	toŋ3	
懊	ŋaɤ5	
懶	naɹ̃3	
懿	i5	
戈	ko1	
戊	vuᶹ5	
戍	ɕio7	
戎	zoŋ2	
戲	ɕi5	
成	tsʰən2	
我	ŋo3	
戒	tɕiæɛ5	
或	xɤ7	
或	xuæ7	
戰	tsaɹ̃5	
戚	tɕʰie7	
截	tɕʰie7	
戳	tsʰuɵ7	
戴	tae5	
戶	fuᶹ5	
房	faɣ̃2	
所	so3	
扁	piæ̃3	
扇	saɹ̃5	
手	səu3	
才	tsʰae2	
扎	tsæ7	
扑	pʰɵ7	
打	ta3	
扔	zən1	
托	tʰuɵ7	
扛	kʰaɣ̃2	
扞	tɕʰiæ̃1	
扣	kʰəu5	
執	tsɘ7	
擴	kʰuæ7	
掃	saɤ3	~地
掃	saɤ5	~帚
揚	iaɣ̃2	
扭	ȵiəu3	
扮	paɹ̃5	
扯	tsʰei3	
擾	zaɤ3	
扳	paɹ̃1	
扶	fuᶹ2	
批	pʰei1	
找	tsaɤ3	
承	tsʰən2	
技	tɕi5	
抄	tsʰaɤ1	
把	pa3	
抑	ie7	
抓	tsua1	
投	tʰəu2	
抖	tʰəu3	
抗	kʰaɣ̃5	
折	tsæ7	
折	sæ7	
撫	fuᶹ3	
抛	pʰaɤ1	
摳	kʰəu1	
搶	tɕʰiaɣ̃3	
護	fuᶹ5	
報	paɤ5	
披	pʰei1	
抬	tʰae2	
抱	paɤ5	
抵	ti3	
抹	mo3	
押	iæ7	
抽	tsʰəu1	
抿	min3	
拄	tsu3	
擔	taɹ̃1	
擔	taɹ̃5	
拆	tsʰæ7	
拇	mu3	
拈	ȵiæ̃1	
拉	na1	
拌	paɹ̃5	
拍	pʰæ7	
拎	nin1	
拐	kuae3	
拒	tɕy5	
拓	tuɵ7	
拔	pʰæ7	
拖	tʰo1	
拘	tɕy1	
拙	tsuɵ7	
拚	pʰin1	
招	tsaɤ1	
拜	pae5	
擬	ȵi3	
攏	noŋ3	
揀	tɕiæ̃3	
擁	ioŋ1	
攔	naɹ̃2	
撥	pɵ7	
擇	tsʰæ7	
括	kʰuæ7	
拯	tsən3	
拱	koŋ3	
拳	tɕʰyæ̃2	
拴	suaɹ̃1	
拷	kʰaɤ3	
拼	pʰin1	
拾	sɘ7	
拿	na2	
持	tsʰɿ3	
挂	kua5	
指	tsɿ3	
按	ŋaɹ̃5	
挑	tʰiaɤ1	
挖	ua1	
挾	tɕiæ7	
撓	naɤ2	
擋	taɣ̃3	
擠	tɕi3	
揮	xuei1	
挪	no2	
振	tsən3	
挺	tʰin3	
挽	uaɹ̃3	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tsuɵ7	
捋	ny3	
捍	xaɹ̃5	
捎	saɤ1	
捏	ȵie7	
捐	tɕyæ̃1	
捕	pu3	
捕	pʰu3	
撈	naɤ1	
損	sən3	
換	xuaɹ̃5	
搗	taɤ3	
捧	poŋ3	
捨	sei3	~弃
据	tɕy5	
捱	ŋae2	
捷	tɕie7	
捺	næ7	
掀	ɕyæ̃1	
掂	tiæ̃1	
授	səu5	
掉	tʰiaɤ3-	
掉	tiaɤ5	
掌	tsaɣ̃3	
掏	tʰaɤ1	
掐	tɕʰiæ7	
排	pʰae2	
掘	tɕʰio7	
掠	nio7	
探	tʰaɹ̃1	
接	tɕie7	
控	kʰoŋ5	
推	tei1	
掩	iæ̃3	
措	tsʰo5	
掮	saɹ̃1	
擲	tsən5	
撣	taɹ̃3	
揉	zəu2	
描	miaɤ2	
提	tʰi2	
插	tsʰæ7	
揖	i1	
握	uɵ7	
揣	tsʰuae1	
揩	kʰae1	
揪	tɕiəu1	
揭	tɕie7	
援	yæ̃2	
攬	naɹ̃3	
攙	tɕʰiæ̃1	
擱	kʰɤ1	
擱	kɤ7	
摟	nəu1	
摟	nəu3	
攪	kaɤ3	
攪	tɕiaɤ3	
