#漢字	音標	解釋
□	tsiɛ1	撕
望	uɔŋ6	
朝	tʂau1	
朝	dau2	～代
期	dʑi1	
木	mu7	
未	uei6	
末	mo7	
本	pen3	
札	tsa7	
术	ʂu5a	
朱	tʂu1	
朴	bu5b	
朵	do3	
机	tɕi1	
朽	ɕiu3	
殺	sa7	
雜	tsa2	
權	ɡuiɛn2	
杆	kon3	
杈	dza1	
杉	sa1	
杌	u7	
李	di3	
杏	ɕiŋ6	
材	dzai2	
村	dzen1	
杖	dʐɔŋ5a	
杜	du6	
杞	dʑi3	
束	ʂu7	
杠	kɔŋ5a	
條	diau2	
來	lai2	
楊	iɔŋ2	
杭	xɔŋ2	
杯	pi1	
杰	dʑiɛ6	
杳	iau3	
杵	dzu5b	
杷	ba1	
松	seŋ1	
松	dʑiŋ2	
板	pan3	
极	dʑi6	
構	kɛu5a	
枇	bi2	
枉	uɔŋ1	
析	si1	
枕	tʂen3	～头
枕	tʂen5a	动
林	din2	
枚	mi2	
果	ku3	
枝	tʂʅ1	
樞	ʂu1	
棗	tsau3	
槍	dziɔŋ1	
楓	xeŋ1	
枯	ɡu1	
架	ka5a	
柄	piŋ5a	
柏	pɛ7	
某	mɛu3	
柑	kon1	
染	ȵiɛn3	
柔	lɛu2	
柚	iu6	
柜	ɡuei6	
查	tsa1	姓氏
查	dza2	调～
柩	dʑiu6	
柬	kan3	
柱	du6	
柳	diu3	
柴	dzai2	
柺	kuai3	
柿	dzɿ6	
梔	tʂʅ1	
柵	dza5b	
標	piau1	
棧	dzan6	
棟	teŋ5a	
欄	lan2	
栓	son1	
栖	si1	
栗	lia6	
校	ɕiau6	学～
校	tɕiau5a	～对
株	tʂu1	
样	iɔŋ6	
核	xɛ6	审～
核	xɛ7	果～
根	ken1	
格	kɛ7	
栽	tsai1	
桂	kuei5a	
桃	dau2	
桅	uei1	
案	ŋon5a	
桌	tso7	
桐	deŋ2	
桑	sɔŋ1	
桓	fuon2	
桗	do6	
椏	ŋa1	
橋	dʑiau2	
樺	fa6	
槳	tsiɔŋ3	
樁	tsɔŋ1	
桶	deŋ3	
梁	diɔŋ2	
梅	mi2	
梓	tsɿ3	
梗	kuaŋ3	
梢	sau1	
夢	meŋ6	
梧	u2	
梨	di2	
梭	so1	
梯	di1	
械	kai5a	
梳	ʂu1	
檢	tɕiɛn3	
棉	miɛn2	
棋	dʑi2	
棍	kuen5a	
棒	bɔŋ6	
棕	tseŋ1	
棚	beŋ2	
棠	dɔŋ2	
森	sen1	
棱	leŋ2	
棵	ɡo1	
棺	kuon1	
椅	i3	
植	dʐɛ6	
椒	tɕiau1	
橢	do3	
椽	dɛn2	
椿	tʂen1	
楚	dzu5b	
楝	diɛn6	
楣	mi2	
楷	ɡai7	
樓	lɛu2	
概	kai5a	
欖	lan3	
榆	uei2	
榛	tʂen1	
榜	pɔŋ3	
榨	tsa5a	
榫	sin3	
榴	diu2	
榷	ɡuɛ5b	
榻	da5b	
槌	du2	
槐	fai2	
檳	pin1	
槽	dzau2	
樟	tʂɔŋ1	
模	mo2	
橫	uaŋ2-	
橫	xeŋ2=	
櫻	iŋ1	
樵	dziau2	
橄	kon3	
橘	kuei7	
橙	deŋ2	
橡	ɕiɔŋ6	
櫓	lu3	
檀	dan2	
檐	ŋan2	
欛	pa7	
欠	dʑiɛn5b	
歡	fuon1	
欣	sin1	
歐	ɛu1	
欲	uei7	
欺	dʑi1	
款	ɡuon5b	
歇	ɕiɛ7	
歉	dʑiɛn2	
歌	ko1	
止	tʂʅ3	
正	tʂaŋ1-	
正	tʂeŋ5a=	
此	dzɿ3	
步	bu5b	
武	u3	
歧	dʑi2	
歪	uai1	
死	sɿ3	
殲	kan1	
殃	iɔŋ1	
殆	dai6	
殉	sin5a	
殊	ʂu1	
殮	diɛn6	
殖	dʐɛ6	
殯	pin5a	
毆	ɛu3	
段	don6	
殷	in1	
殿	diɛn6	
毁	fei3	
毅	i5a	
母	mo5a	
每	mi3	
毒	do6	
比	pi3	
畢	pi7	
毛	mau2	
毡	tʂɛn1	
毯	dan3	
氏	ʂʅ5a	
民	min7	
气	dʑi5b	
水	ʂu3	
永	uin3-	
永	iŋ3=	
汀	diaŋ1	
汁	tʂʅ7	
求	dʑiu2	
汇	fei6	
漢	xon5a	
汗	xon6	
汝	lu3	
汞	ɡeŋ3	
江	tɕiɔŋ1	
池	dʐʅ2	
污	u1	
湯	dɔŋ1	
汪	uɔŋ1	
汴	biɛn6	
汽	dʑi5a	
沃	uo7	
沈	ʂen3	
沉	dzen2	
沌	den5a	
沓	da5b	
沙	sa1	
沛	bi5b	
沟	kɛu1	
沒	mo7	
漚	ɛu5a	
淪	len2	
滬	fu6	
沫	mo7	
河	xo2	
油	iu2	
治	dʐʅ6	
沼	tʂau3	
沾	tʂɛn1	
沿	ŋan2	
泄	ɕia7	
泉	tsiɛn2	
泊	bo1	湖～
泊	bo7	～泊
泌	mi5a	
泔	kon1	
法	fa7	
泛	fan6	
泡	bau1	
波	po1	
泣	dʑi5b	
泥	ȵi2	
注	tʂu5a	
淚	di6	
泰	dai5b	
泳	iŋ3	
瀉	ɕia5a	
潑	bo5b	
澤	dzɛ7	
洁	tɕiɛ7	
洇	in5a	
洋	iɔŋ2	
洒	sa3	
洗	si3	
洛	lo7	
洞	deŋ6	
津	tsin1	
洪	xeŋ2	
洲	tʂeu1	
活	uo6-	死～
活	fuo6=	生～
洼	ua1	
洽	dʑia5b	
派	bai5b	
流	diu2	
淺	dziɛn3	
漿	tsiɔŋ1	
澆	tɕiau1	
濁	dzo6	
測	dzɛ5b	
濟	tɕi5a	
渾	fuen2	
滸	fu3	
濃	leŋ2	
浙	tʂɛ7	
浜	pɔŋ1	
浞	dzo6	
浦	bu3	
浩	xau5a	
浪	lɔŋ6	
浮	fɛu2	
浴	iu7	
海	xai3	
浸	tsin5a	
涂	du2	
消	siau1	
涉	ʂɛ7	
涌	iŋ3	
涎	siɛn2	
涕	di6	
濤	dau1	
澇	lau6	
潤	len6	
澗	kan1	
漲	tʂɔŋ3	
澀	sɛ7	
涮	so5a	
涯	ŋa2	
液	iɛ7	
涿	tso7	
淆	ɕiau2	
淋	din2	
淑	ʂu1	
淘	dau2	
淡	dan6	
淤	uei1	
淫	in2	
淮	fai2	
深	ʂen1	
混	fuen6	
淹	ŋan1	
添	diɛn1	
清	dziaŋ1-	
清	dziŋ1=	
淵	uiɛn1	
漸	dʑiɛn5a	
澠	miɛn3	
漁	ȵiɛ2	
滲	sen5a	
渠	ɡuei2	
渡	du6	
渣	tsa1	
溫	uen1	
港	kɔŋ3	
渴	ɡo7	
游	iu2	
渺	miau3	
湖	fu2	
湘	ɕiɔŋ1	
灣	uan1	
溼	ʂʅ7	
潰	ɡuei2	
濺	tsiɛn6	
溉	kai5a	
源	ȵiɛn2	
溜	diu1	
溢	ȵi5a	
溪	ɕi1	
溺	ȵi7	
溻	la3	
滂	bɔŋ2	
滋	tsɿ1	
滑	fa6	
滓	tsɿ3	
滔	dau1	
滾	kuen3	
滿	mon3	
濾	di3	
濫	lan6	
灘	dan1	
滴	ti7	
漂	biau3	
漂	biau5b	
漆	dzi5b	
漏	lɛu6	
演	iɛn3	
漫	mon6	
漱	su5a	
潘	bon1	
潛	dʑiɛn2	
潭	don2	
潮	dʐau2	
潲	sau5a	
澄	dʐeŋ2	
澡	tsau3	
激	tɕi1	
瀑	bu7	
灌	kuon5a	
火	fu3	
滅	iɛ7	
灯	teŋ1	
灰	fei1	
灵	liaŋ2	
灶	tsau5a	
灸	tɕiu1	
灾	tsai1	
爐	lu2	
炊	dzei1	
炎	iɛn2	
炒	dzau3	
炕	ɡɔŋ5b	
炙	tʂʅ7	
炭	dan5b	
炮	bau5b	
炸	tsa6	油～
炸	tsa5a	～弹
點	tiɛn3	
爛	lan6	
烈	diɛ5b	
烊	iɔŋ5a	
烘	xeŋ1	
烙	lo7	
烛	tʂu7	
烟	iɛn1	
烤	ɡau3	
煩	fan2	
燒	ʂau1	
燙	dɔŋ5b	
熱	lɛ7	
烹	beŋ1	
焉	ŋan1	
焊	xon6	
煥	fuon5a	
焙	bi5a	
焚	fen2	
焦	tɕiau1	
焯	dʐau1	
焰	iɛn6	
然	lan2	
煎	tsiɛn1	
煤	mi2	
照	tʂau5a	
煨	uei5a	
煮	tʂu3	
熄	ɕi7	
熊	ɕiŋ2	
熏	fin1	
熙	si1	
熟	ʂo6	
熨	uin6	
熬	ŋau2	
燃	lan2	
燎	diau2	
燎	diau3	
燕	iɛn1	～京
燕	iɛn5a	～子
燦	dzan5b	
爆	pau5a	
爪	tsa3	
爬	ba2	
愛	ŋai5a	
爵	tɕiɛ7	
父	fu6	
爺	ia2	
爸	pa7	
爹	tia1	
爽	sɔŋ3	
片	biɛn5b	
版	pan3	
牌	bai2	
牘	du6	
牒	diɛ2	
牙	ŋa2	
牛	ȵiu2	
牡	mu3	
牢	lau2	
牧	mu7	
物	uɛ7	
牯	ku1	
牲	seŋ1	
牽	dʑiɛn1	
牸	dzɿ6	
特	dɛ6	
犧	si1	
犀	si1	
犁	di2	
犢	du6	
犍	dziɛn6	
犒	ɡau5b	
犬	ɡuiɛn3	
犯	fan6	
狀	dzɔŋ6	
犹	iu2	
狂	ɡuɔŋ2	
狄	di6	
狍	bau2	
狐	fu2	
狗	kɛu3	
狡	tɕiau3	
獨	du6	
狹	sia7	
獅	sɿ1	
獄	uei7	
狸	di2	
狼	lɔŋ2	
猎	diɛ6	
猛	meŋ3	
猜	dzai1	
豬	tʂu1	
貓	miau1	
猬	uei6	
獻	ɕiɛn5a	
猴	xɛu2	
猾	fa7	
獺	dan5b	
玄	fiɛn2	
率	sai7	～领
率	di5b	功～
玉	ȵiu7	
王	uɔŋ2	
玩	uon2	
環	fan2	
現	ɕiɛn6	
璽	ɕi3	
玻	bo1	
珊	san1	
珍	tʂen1	
珠	tʂu1	
班	pan1	
球	dʑiu2	
理	di3	
琉	diu2	
琢	tso7	
琴	dʑin2	
琵	bi2	
琶	ba1	
瓊	dzin2	
瑕	ɕia2	
瑞	luei6	
瑟	sɛ7	
璃	di2	
璧	pi5a	
瓜	kua1	
瓠	u6	
瓢	biau2	
瓣	bon6	
瓤	lɔŋ2	
瓦	ŋa3	
瓮	ueŋ5a	
甌	ɛu1	
瓶	biŋ2	
瓷	dzɿ2	
甘	kon1	
甚	ʂen3	
甜	diɛn2	
生	saŋ1-	
生	seŋ1=	
甥	seŋ1	
用	iŋ6	
甫	fu3	
甬	iŋ3	
田	diɛn2	
由	iu2	
甲	ka7	
申	ʂen1	
電	diɛn6	
男	non2	
畫	fa6	
暢	dʐɔŋ5b	
界	kai5a	
畏	uei6	
留	diu2	
畜	ɕiu7	
畜	du5b	
略	diɛ5b	
番	fan1	
疆	tɕiɔŋ1	
疏	ʂu1	
疑	ȵi2	
療	diau2	
瘧	ȵiɛ7	
瘍	iɔŋ2	
疤	pa1	
疥	kai5a	
疫	i7	
瘡	dzɔŋ1	
瘋	xeŋ1	
疲	bi2	
疵	dzɿ1	
疹	tʂen3	
疼	deŋ5b	
疾	dʑi7	
病	biaŋ6	
症	tʂeŋ5a	
痒	iɔŋ3	
痔	dʐʅ6	
痕	xen2	
痛	deŋ5b	
痢	di6	
痣	tʂʅ5a	
痰	dan2	
痱	fei5a	
痳	ma7	
痴	dʐʅ1	
痹	pi5a	
瘟	uen1	
瘦	sɛu5a	
瘴	tʂɔŋ5a	
瘸	ɡuɛ2	
癩	lai6	
癬	siɛn3	
癸	kuei2	
登	teŋ1	
白	bɛ6	
百	pɛ7	
皂	tsau5a	
的	ti7	
皆	kai1	
皇	fɔŋ2	
皖	uon3	
皮	bi2	
皺	tʂeu5a	
皿	miŋ3	
盂	uei1	
盅	tʂeŋ1	
盆	ben2	
盈	iŋ2	
益	i7	
盞	tʂɛn3	
鹽	iɛn2	
監	kan1	
監	tɕiɛn5a	
盒	xo6	
盔	ɡuei1	
盖	kai5a	
盜	dau6	
盤	bon2	
盛	dʐeŋ2	
盛	ʂeŋ5a	
盟	meŋ2	
目	mu7	
盲	mɔŋ2	
直	dɛ6	
相	ɕiɔŋ1	
相	ɕiɔŋ5a	
盼	bon5b	
盾	den5a	
省	seŋ3	～长
省	seŋ3	节～
眉	mi2	
看	ɡon1	～守
看	ɡon5b	～见
瞘	ɡɛu1	
真	tʂen1	
眠	miɛn2	
眨	tsa7	
眩	ɕiɛn5a	
眶	ɡuɔŋ1	
眷	kuiɛn5a	
眼	ŋan3	
着	tso7	～衣
着	dʐo7	～火
睜	tsaŋ1	
瞼	tɕiɛn3	
睛	tsiŋ1	
督	tu1	
睬	dzai3	
瞅	dzɛu3	
瞎	xa7	
瞒	mon2	
瞖	ȵi5a	
瞧	dziau2	
瞪	deŋ5a	
瞭	diau2	
瞳	deŋ2	
瞻	tʂɛn1	
瞿	dziɛ2	
矛	mau2	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	kuei3	
矯	tɕiau2	
矬	dzo2	
短	ton3	
矮	ŋai3	
石	ʂa6	
礬	fan2	
礦	kuaŋ5b	
碼	ma3	
砌	dzi5b	
砍	ɡan3	
砑	ŋa6	
研	ȵiɛn2	
磚	tʂɛn1	
硯	ȵiɛn3	
破	bo5a	
硝	siau1	
硫	diu2	
硬	ŋaŋ6-	
硬	iŋ6=	
礙	ŋai6	
碎	si5a	
碑	pi1	
碓	ti6	
碗	uon3	
碟	diɛ6	
碧	bi5a	
鹼	kan3	
碾	ȵiɛn3	
磁	dzɿ2	
磨	mo2	动
磨	mo6	名
磬	dziŋ5a	
磷	din2	
示	ʂʅ6	
禮	di3	
社	ʂa6	
祀	sɿ6	
祁	dʑi2	
祈	dʑi2	
祖	tsu3	
祝	tʂu7	
神	ʂen2	
祠	dzɿ2	
祥	ɕiɔŋ2	
票	biau5b	
祭	tɕi5a	
禱	tau3	
禍	fuo6	
禀	pin3	
禁	tɕin1	～不住
禁	tɕin5a	～止
禄	lu7	
禪	dzɛn2	～房
禪	ʂɛn6	～让
福	fu7	
禹	uei3	
离	di2	
离	iɛ6	
禽	dʑin2	
禾	uo2	
秀	siu5a	
私	sɿ1	
禿	du1	
秉	piaŋ3	
秋	dziu1	
种	tʂeŋ3	～类
种	tʂeŋ5a	～树
科	ɡo1	
秒	miau3	
秕	pi3	
秘	pi5a	
租	tsu1	
秤	deŋ7	一杆～
秦	dzin2	
秧	iɔŋ1	
秩	dʐʅ7	
秫	ʂu7	
积	tsi7	
稱	dʐeŋ1	～呼
稱	dʐeŋ5a	相～
秸	tsiɛ7	
移	i2	
穢	fei5a	
稀	si1	
程	daŋ2-	
程	deŋ2=	
稍	sau1	
稅	fei5a	
稗	bai6	
稚	dʐʅ5a	
稠	dʐeu2	
穩	uen3	
稻	dau6	
稼	ka5a	
稽	tɕi1	
稿	kau3	
穆	mu7	
穗	sei5a	
穴	iɛ7	
究	tɕiu1	
窮	dʑiŋ2	
空	ɡeŋ1	～虚
空	ɡeŋ5b	～缺
穿	dʐɛn1	
突	du7	
窄	tsai3	
竅	dʑiau5b	
窑	iau2	
窖	tɕiau5a	
窗	dzɔŋ1	
竄	dzon5b	
窩	uo1	
窟	ɡu1	
窠	ɡo1	
窺	ɡuei1	
窨	in5a	
立	di5b	
豎	ʂu6	
站	tsan5a	
競	dʑiŋ5a	
竟	tɕiŋ5a	
章	tʂɔŋ1	
童	deŋ2	
端	ton1	
竹	tʂu7	
竿	kon1	
篤	tu3	
笊	tsa3	
笋	sin3	
笑	siau5a	
笔	pi7	
笙	seŋ1	
笛	dia6-	
笛	di6=	
笠	di5b	
符	fu2	
笨	ben5a	
第	di6	
籠	leŋ2	
等	teŋ3	
筋	tɕin1	
筏	fa6	
筐	ɡuɔŋ1	
筑	tʂu7	
筒	deŋ2	
答	ta7	
策	dzɛ5b	
篩	sai1	
箏	tseŋ1	
筵	iɛn3	
筷	ɡuai5b	
籌	dʐeu2	
签	dʑiɛn1	
簡	kan3	
箍	ku1	
算	son5a	
管	kuon3	
籮	lo2	
簫	siau1	
箭	tsiɛn5a	
箱	ɕiɔŋ1	
箸	dʐu2	
篆	dʐɛn2	
篇	biɛn1	
簍	lɛu3	
篙	kau1	
篡	dzon5b	
篦	bi6	
籃	lan2	
篱	di2	
篷	beŋ2	
篾	iɛ6	
簧	fɔŋ2	
簪	tʂan1	
簸	po5a	
簿	bo6	
籍	dʑi7	
米	mi3	
类	di6	
粉	fen3	
粒	di5b	
粗	dzu1	
粘	tʂɛn1	～住
粟	su5a	
粤	uɛ7	
粥	tʂu7	
糞	fen5a	
糧	diɔŋ2	
粱	diɔŋ2	
粳	keŋ1	
粹	tsei5a	
糉	tseŋ5a	
精	tsiŋ1	
糍	dzɿ2	
糕	kau1	
糖	dɔŋ2	
糗	dʑiu3	
糙	dzau2	
糜	mi2	
糟	tsau1	
糠	ɡɔŋ1	
糯	lo6	
系	ɕi5a	
素	su5a	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	di3	～赘
累	di6	连～
絮	sei5a	
繁	fan2	
纂	tson5a	
糾	tɕiu1	
紅	xeŋ2	
紂	dʐeu5a	
約	io7	
級	tɕi7	
紀	tɕi3	
紉	len6	
緯	uei3	
純	ʂen2	
紗	sa1	
綱	kɔŋ1	
納	na5b	
縱	tseŋ5a	
紛	fen1	
紙	tʂʅ3	
紋	uen2	
紡	fɔŋ3	
紐	ȵiu3	
線	siɛn5a	
練	diɛn6	
組	tsu3	
細	si5a	
織	tʂʅ7	
終	tʂeŋ1	
縐	tʂeu1	
絆	pon6	
紹	ʂau5a	
經	tɕiŋ1	
綁	pɔŋ3	
絨	leŋ2	
結	tɕiɛ7	
繞	lɛu3	
繪	fei6	
給	tɕi3	
絡	lo7	
絕	dziɛ6	
絞	tɕiau3	
統	deŋ3	
絹	kuiɛn1	
繡	siu5a	
綏	sei2	
繼	tɕi5a	
績	tɕi6	
緒	sei5a	
續	sei7	
綽	dʐo5b	
繩	ʂeŋ2	
維	uei2	
綿	miɛn2	
綢	dʐeu2	
綜	tseŋ1	
綻	dʐɛn5a	
綠	diu5b	
綴	tʂuei5a	
緬	miɛn3	
纜	lan3	
緞	don5a	
緩	fan6	
縷	di3	
編	piɛn1	
緣	uiɛn2	
縛	fu7	
縫	xeŋ2	～线
縫	xeŋ6	一条～
纏	dɛn2	
纓	iŋ1	
縮	so7	
繮	tɕiɔŋ1	
繳	tɕiau3	
缸	kɔŋ1	
缺	ɡuɛ5b	
罐	kuon5a	
网	uɔŋ3	
罕	xon3	
羅	lo2	
罰	fa6	
罷	ba5a	
罩	tsau5a	
罪	dzi6	
置	tʂʅ5a	
署	ʂu6	
羊	iɔŋ2	
羌	dziɔŋ1	
美	mi3	
羔	kau1	
羞	siu1	
羡	siɛn2	
羣	ɡuin2	
羹	keŋ1	
羽	uei3	
翁	ŋeŋ1	
翅	tʂʅ5a	
翎	diaŋ2	
翠	dzei5b	
翡	fei6	
翰	xon5a	
翻	fan1	
翼	i7	
耀	iau5a	
老	lau3	
考	ɡau3	
者	tsa3	
而	o2	
耍	sa3	
耐	nai6	
耕	keŋ1	
耗	xau5a	
耙	ba2	
耳	o3	
耶	ia2	
恥	dʐʅ3	
耽	tan1	
耿	keŋ3	
聶	ȵiɛ5a	
聊	diau2	
聾	leŋ1	
職	tʂʅ7	
聒	kuo7	
聯	diɛn2	
聘	biŋ5b	
聚	dziɛ6	
聰	dzeŋ1	
肅	su7	
肄	i6	
肆	sɿ5a	
肉	ȵiu7-	
肉	lu7=	
肋	di6	
肌	tɕi1	
肘	tʂeu3	
肚	tu3	
肝	kon1	
腸	dʐɔŋ2	
股	ku3	
肢	tʂʅ1	
肤	fu1	
肥	fei2	
肩	tɕiɛn1	
肪	fɔŋ7	
肫	tsen1	
肮	ŋɔŋ1	
肯	ɡeŋ3	
育	iu7	
肴	iau2	
肺	fei5a	
腎	ʂen3	
腫	tʂeŋ3	
脹	tʂɔŋ5a	
脅	ɕiɛ7	
胃	uei6	
胆	tan3	
背	pi6	
背	bi6	
胎	dai1	
胖	bɔŋ5b	
胚	bi1	
胛	ka7	
胜	ʂeŋ5a	
胞	pau1	
胡	fu2	
胳	ko1	
胶	tɕiau1	
胸	ɕiŋ1	
能	neŋ2	
脂	tʂʅ1	
脆	dzi5b	
脉	mɛ7	
脊	dʑi3	
脏	tsɔŋ1	
臍	dzi2	
腦	nau3	
膿	neŋ2	
腳	tɕio7	
脯	bu2	
脫	do5b	
脾	bi2	
腆	diɛn3	
腊	la7	
腋	iɛ7	
腌	iɛ7	
腐	fu3	
腑	fu3	
腕	uon3	
腡	lo2	
腥	ɕiaŋ1	
腮	sai1	
腰	iau1	
腹	fu5a	
膩	ȵi5a	
騰	deŋ2	
腿	di3	
膏	kau1	
膘	piau3	
膜	mo7	
膝	si1	
膨	beŋ2	
膳	ʂɛn5a	
臀	den2	
臂	pi2	
臊	sau5a	
臣	dʐen2	
自	dzɿ6	
臭	tʂeu5b	
至	tʂʅ5a	
致	tʂʅ5a	
臻	tʂen1	
臼	dʑiu6	
舀	iau3	
舂	tʂeŋ1	
舅	dʑiu6	
舌	ʂɛ6	
舍	ʂa2	～弃
舍	ʂa5a	房～
舒	ʂu1	
舔	diɛn3	
舜	ʂen5a	
舞	u3	
舟	tʂeu1	
航	xɔŋ2	
般	pon1	
艦	tɕiɛn5a	
舵	do6	
船	ʂɛn2	
艇	diŋ3	
良	diɔŋ2	
艱	kan1	
色	sɛ7	
艳	iɛn6	
藝	ȵi6	
艾	ŋai6	
節	tsiɛ7	
芋	uei6	
芍	ʂau7	
芒	mɔŋ2	
芙	fu7	
芝	tʂʅ1	
芥	kai5a	
芦	lu2	
芬	fen1	
芭	pa1	
花	fa1	
芳	fɔŋ1	
芹	dʑin2	
芽	ŋa2	
葦	uei3	
莧	xan6	
蒼	dzɔŋ1	
苏	su1	
苔	dai2	
苗	miau2	
苟	kɛu3	
若	lo7	
苦	ɡu3	
苧	dʐu2	
英	iŋ1	
茂	mau6	
范	fan6	
茄	ɡuia2	
茅	mau2	
莖	dʑiŋ2	
茧	tɕiɛn3	
茫	mɔŋ2	
茬	dza2	
茴	fei2	
茶	dza2	
茸	leŋ2	
荀	fin2	
草	dzau3	
荐	tɕiɛn5a	
荒	fɔŋ1	
荔	di6	
蕎	dʑiau2	
薺	dʑi5a	
蕩	dɔŋ5a	
榮	iŋ2	
葷	fuen1	
滎	iŋ2	
荫	in1	
药	io7	
荷	xo2	
莎	so1	
莠	iu5a	
莫	mo7	
蓮	diɛn2	
获	fo5a	
瑩	iŋ2	
鶯	iŋ1	
莽	mɔŋ3	
菊	tɕiu7	
菌	kuin1	
菖	dʐɔŋ1	
菜	dzai5b	
菠	po1	
菢	bau6	～小鸡
菩	bu2	
菱	leŋ2	
萄	dau2	
萌	meŋ2	
萍	biŋ2	
萎	uei3	
營	iŋ2	
蕭	siau1	
薩	sa7	
落	lo6	
著	tʂu5a	
葚	ʂen3	
葛	kɛ7	
董	teŋ3	
葫	fu2	
葬	tsɔŋ5a	
葱	dzeŋ1	
葵	ɡuei2	
蔣	tsiɔŋ3	
蒙	meŋ1	
蒜	son5a	
蒲	bu2	
蒸	tʂeŋ1	
蒿	xau1	
蓄	ɕiu7	
蓉	iŋ2	
蓑	so1	
蓖	pi1	
藍	lan2	
蓬	beŋ2	
蔓	uan6	
蔗	tsa1	
蔡	dzai5b	
蔫	ŋan1	
蔬	ʂu1	
藹	ŋai5a	
蕉	tɕiau1	
蕊	di3	
薄	bo6	～荷
薄	bo6	形容词
薅	xau1	
薛	siɛ1	
薪	sin1	
薯	ʂu7	
薰	fin1	
藉	dzi6	
藏	dzɔŋ2	隐～
藏	dzɔŋ6	西～
藐	miau3	
藕	ŋɛu3	
藤	deŋ2	
藩	fan1	
藿	fo5b	
蘸	tsan5a	
虎	fu3	
虜	lu3	
虐	ȵiɛ7	
虑	di3	
虔	dʑiɛn2	
虛	fei1	
虞	uei2	
虫	deŋ2	
虱	sɛ7	
虹	xeŋ2	
虻	meŋ3	
雖	sei1	
蝦	xa1	
蝕	ʂɛ6	
蟻	li6	
蚊	men2-	
蚊	uen2=	
蚌	bɔŋ6	
蚕	dzon2	
蚣	keŋ1	
蚤	tsau3	
蛀	tʂu5a	
蛆	dziɛ1	
蛇	ʂa2	
蛋	dan6	
蛙	ua1	
蛛	tʂu1	
蛤	xa2	
蠻	man2	
蟄	dʐɛ7	
蛾	ŋo2	
蜀	ʂu3	
蜂	xeŋ1	
蜇	tʂɛ7	
蜈	u2	
蜓	diŋ2	
蛻	di5a	
蝸	uo1	
蜘	tʂʅ5a	
蜜	mi7	
蜡	la7	
蜻	dziaŋ1	
蟬	dzɛn2	
蝎	ɕiɛ7	
蝗	fɔŋ2	
蝙	piɛn3	
蝠	fu7	
蝶	diɛ2	
螂	lɔŋ2	
螃	bɔŋ2	
融	iŋ2	
螳	dɔŋ2	
螺	lo2	
蟀	sai7	
蟆	ma1	
蟒	mɔŋ3	
蟹	xai3	
蟾	dzɛn2	
蠓	men2	
蠢	dʐen3	
血	iɛ7	
衅	ɕin5a	
行	xɔŋ2	～列
行	ɕiŋ2	～为
銜	xan2	
街	kai1	
衙	ŋa2	
衡	xeŋ2	
衣	i1	
補	pu3	
表	piau3	
衫	san1	
襯	dzen5b	
衰	sai1	
袁	uiɛn2	
襖	ŋau3	
袋	dai6	
袍	bau2	
袖	ɕiu6	
袜	ua7	
被	bi6	
被	bi5a	
襲	si7	
裁	dzai2	
裂	diɛ5b	
裝	tsɔŋ1	
裕	uei5a	
裙	ɡuin2	
褲	ɡu5b	
裳	ʂɔŋ1	
裴	bi2	
裸	lo6	
裹	kuo3	
褒	pau1	
褚	dzu5b	
褥	lu3	
褪	di5a	
褯	dzi6	
褶	tʂɛ7	
襄	ɕiɔŋ1	
襟	tɕin1	
西	si1	
要	iau1	
要	iau5a	
覆	fu5a	
見	tɕiɛn5a	
觀	kuon1	
觀	kuon5a	
規	kuei1	
覓	mi5b	
視	ʂʅ6	
覽	lan3	
覺	kau5a-	睡～
覺	ko7	～得
角	ko7	
解	kai3	
觸	dʐu5b	
言	ȵiɛn2	
註	tʂu3	
譽	uei6	
謄	deŋ2	
誓	ʂʅ5a	
警	tɕiŋ3	
譬	bi5a	
計	tɕi5a	
訂	tiaŋ5a	
訃	fu5a	
認	n6-	
認	ȵin6=	
譏	tɕi1	
討	dau3	
讓	lɔŋ6	
訓	fin5a	
議	ȵi6	
訊	sin5a	
記	tɕi5a	
講	tɕiɔŋ3	
諱	uei2	
許	fi3	
訛	ŋo2	
論	len2	
論	len6	
訟	seŋ5a	
諷	xeŋ3	
設	ʂɛ7	
訪	fɔŋ3	
訣	kuɛ7	
证	tʂeŋ5a	
評	biaŋ2	
識	ʂʅ7	
詐	tsa5a	
訴	su5a	
診	tʂen3	
詞	dzɿ2	
詔	tʂau5a	
譯	i7	
試	ʂʅ5a	
詩	ʂʅ1	
誠	dʐeŋ2	
誅	tʂu1	
話	ua6-	
話	fa6=	
誕	dan6	
詭	kuei3	
該	kai1	
詳	ɕiɔŋ2	
誣	u1	
語	ȵi6-	
語	uei6=	
誤	u5a	
誘	iu5a	
說	ua6	
誦	seŋ5a	
請	dziaŋ3	
諸	tʂu5a	
諾	no7	
讀	dɔ6	
課	ɡuo5b	
調	diau2	～和
調	diau6	～动
諒	diɔŋ3	
談	dan2	
誼	i2	
謀	mɛu2	
諜	diɛ2	
謊	fɔŋ3	
諫	kan3	
諧	ɕia2	
謂	uei6	
讒	dzan2	
諺	ŋan2	
謎	mi2	
謝	sia6	
謠	iau2	
謗	pɔŋ5a	
謙	dʑiɛn1	
謹	tɕin3	
謬	miu3	
譚	dan2	
譜	pu3	
谷	ku7	
豁	xuo7	
豆	dɛu6	
