#漢字	音標	解釋
升	ʂɤŋ1	
午	vu2	
半	pan5	
華	xua1	中华
華	xua2	划船
華	xua1	华山，姓
協	ɕiɤ2	
卑	pei1	
卒	tsu2	兵卒
卓	tʂuo1	
單	tan1	单独
單	ʂan5	姓
賣	mai5	
南	nan2	
博	pɤ2	
卜	pu2	
占	tʂan5	
占	tʂan1	占卜
盧	lu2	
卤	lu2	
卦	kua5	
臥	vuo5	
衛	vei1	
卯	mau2	
印	iŋ5	
危	vei1	
即	tɕi5	
卻	tɕʰyɤ5	
卵	luan2	
卷	tɕyan5	
卷	tɕyan2	卷起
卸	ɕiɤ5	
卿	tɕʰiŋ1	
廠	tʂʰaŋ2	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	ia5	
厭	ian5	
廁	tsʰɤ5	厕所，茅厕
厘	li2	
厚	xou5	
原	yan2	
廂	ɕiaŋ1	
厥	tɕyɤ2	
厦	sa2	偏厦，前廊后厦
厦	ɕia2	厦门
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰy5	来去，去皮
縣	ɕian5	
参	tsʰan1	
参	sɤŋ1	人参
参	tsʰɤŋ1	参差
又	iou5	
叉	tsʰa1	
及	tɕi5	
友	iou2	
雙	ʂuaŋ1	
雙	ʂuaŋ1	双生
反	fan2	
发	fa1	
发	fa5	
叔	ʂu1	
取	tɕʰy2	
受	ʂou5	
變	pian5	
敍	ɕy5	
叛	pʰan5	
叟	sou1	
口	kʰou2	
古	ku2	
句	tɕy5	
另	liŋ5	
叨	tau1	唠叨
叩	kʰou5	叩头
只	tʂʅ1	
只	tʂʅ1	只有
叫	tɕiau5	
召	tʂau1	
可	kʰɤ2	
台	tʰai2	
台	tʰai2	天台，台州
史	sɿ2	
右	iou5	
葉	iɤ5	
號	xau5	号数
號	xau2	呼号
司	sɿ1	
嘆	tʰan5	
吁	y1	
吃	tʂʰʅ5	
各	kɤ5	
吆	iau1	吆喝
合	xɤ2	
合	xɤ2	十合一升
吉	tɕi2	
吊	tiau5	
同	tʰuŋ2	
名	miŋ2	
后	xou5	
吏	li5	
吐	tʰu2	吐痰
吐	tʰu2	呕吐
向	ɕiaŋ5	
嚇	ɕia5	吓一跳
嚇	xɤ5	恐吓
呂	ly5	
君	tɕyŋ1	
吝	liŋ5	吝啬
吞	tʰuŋ1	
吟	iŋ2	
吠	fei5	
否	fɤ2	
含	xan2	
聽	tʰiŋ1	听见，听话
聽	tʰiŋ1	听其自然，听任
啓	tɕʰi2	
吳	vu2	
吵	tsʰau2	
吸	ɕi5	
吹	tʂʰuei1	
吻	vɤŋ1	
吼	xou1	
呆	tai1	
呈	tʂʰɤŋ2	
告	kau5	
嘔	ou2	呕吐
員	yan2	
周	tʂou1	
味	vei5	
呼	xu1	
命	miŋ5	
和	xuo2	和气
和	xuo2	和面
咎	tɕiou1	
詠	yŋ2	
咒	tʂou5	
咨	tsɿ1	
咬	ȵiau2	
咳	kʰɤ5	咳嗽
咸	xan2	
咸	ɕian2	
咽	ian5	
哀	ai1	
品	pʰiŋ2	
哄	xuɤŋ2	哄骗
響	ɕiaŋ2	
啞	ia2	
哥	kɤ1	
哪	na5	哪个
哭	kʰu5	
哲	tʂɤ2	
哽	kɤŋ2	骨哽在喉
唆	suo1	啰唆
脣	tʂʰuŋ2	
唐	tʰaŋ2	
嘮	lau2	唠叨
喚	xuan5	
售	ʂou5	
唯	vei1	
唱	tʂʰaŋ5	
唾	tʰuo5	唾液，唾沫
啄	tʂuo2	
商	ʂaŋ1	
嗇	sɤ5	吝啬
囉	luo2	啰唆
啼	tʰi2	
善	ʂan5	
喉	xou2	
喊	xan2	
喘	tʂʰuan2	
喜	ɕi2	
喝	xɤ5	喝酒
喝	xɤ5	喝采，吆喝
喧	ɕyan1	
噴	pʰɤŋ1	喷水
噴	pʰɤŋ5	喷香，喷嚏
喻	y5	
嗅	ɕiou2	用鼻嗅
嗅	ɕiou5	用鼻子闻
嗉	su5	鸟嗉子
嗓	saŋ2	
嗜	ʂʅ5	
嗣	tsʰɿ2	
嗤	tʂʰʅ2	嗤笑
嗽	sou5	咳嗽
嘉	tɕia1	
嘘	ɕy1	吹嘘
囑	tʂu2	
嘴	tsuei2	
噎	iɤ5	噎住了
器	tɕʰi5	
囂	ɕiau1	
嚷	ʐaŋ1	
嚼	tɕyɤ2	
囊	naŋ2	
囚	tɕʰiou1	
四	sɿ5	
回	xuei2	
因	iŋ1	
团	tʰuan2	
囤	tʰuŋ2	
園	yan2	
困	kʰuɤŋ5	
囱	tsʰuŋ1	烟囱
圍	vei2	
固	ku2	
國	kuo2	
圖	tʰu2	
圓	yan2	
圈	tɕʰyan1	圆圈
圈	tɕyan5	猪圈
土	tʰu2	
聖	ʂɤŋ5	
在	tsai5	
圭	kuei1	
地	ti5	
場	tʂʰaŋ2	
址	tsɿ2	
均	tɕyŋ1	
坍	tʰan1	坍下来
坎	kʰan2	
壞	xuai5	
坐	tsuo5	
坑	kʰɤŋ1	
塊	kʰuai2	
堅	tɕian1	
坛	tʰan2	
壩	pa5	堤
壩	pa5	平川
塢	vu1	
墳	fɤŋ2	
墜	tʂuei5	与堕异
坡	pʰɤ1	
坤	kʰuɤŋ1	
坦	tʰan2	
坪	pʰiŋ2	
坯	pʰi2	土坯
坳	au1	山坳
垂	tʂʰuei2	
壟	luŋ2	
型	ɕiŋ2	
垒	luei2	
垜	tuo5	柴垛
墾	kʰɤŋ2	
墊	tian5	垫钱
垮	kʰua2	
埂	kɤŋ2	田埂
埃	ai1	尘埃
埋	mai2	
城	tʂʰɤŋ2	
域	y5	
埠	pu5	商埠
培	pʰei5	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
堡	pau2	
堤	tʰi2	
堪	kʰan2	
堰	ian1	
堵	tu2	
塌	tʰa5	
塑	su5	塑像
塔	tʰa2	
塘	tʰaŋ2	
塞	sai1	
填	tʰian2	
境	tɕiŋ2	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsɤŋ1	
墟	ɕy1	墟市
