#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。～一脚过来
须	ɕʏ1	
頑	uɑ̃2	
顧	kʊ5	
頓	tẽ5	
頒	pɑ̃1	
頌	soŋ5	
預	ʏ5	
領	niɪ̃3	
頸	tsẽ3	
頻	pʰiɪ̃2	
穎	iɪ̃3	
顆	kʰuo3	
題	tʰɪ2	
顏	iɛ̃2	
額	ŋɛ7	
顛	tiɛ̃1	
顫	tʂʰɑ̃5	
顴	tɕʰyɛ̃2	
風	xoŋ1	
颼	səʊ1	
飄	piʌ1	
飛	xuei1	
食	ʂʅ7	
餐	tsʰɑ̃1	
餧	uei5	
饃	mo2	
饥	tɕɪ1	
飩	tẽ2	
飭	ʂʅ7	
飯	xuɑ̃5	
飲	iɪ̃3	
飲	iɪ̃5	
餞	tɕiɛ̃5	
飾	ʂʅ7	
飽	pʌ3	
飼	sɿ5	
飴	ɪ2	
餌	ɚ5	
饒	ʐʌ2	
餉	ɕiɑŋ3	
餉	ʂɑŋ5	
餃	tɕiʌ7	
餅	piɪ̃3	
餑	po7	
餓	uo5	
餛	xuẽ2	
餡	ɕiɛ̃5	
館	kuɑ̃3	
餿	səʊ1	
饞	tʂʰɑ̃2	
餾	niəʊ3	
餾	niəʊ5	
饅	mɑ̃2	
香	ɕiɑŋ1	
馨	ɕiɪ̃1	
騇	ʂɛ5	
騲	tsʰʌ3	指一种体型较小的鸡
馬	mɑ3	
馱	tʰuo2	～起来
馱	tʰuo5	～子
馳	tʂʰʅ2	
驅	tɕʰʏ1	
駁	po7	
驢	nʏ2	
駒	tɕʏ1	
駐	tʂʊ5	
駝	tʰv2	
駕	tɕiɑ5	
罵	mɑ5	
驕	tɕiʌ1	
駱	nuo7	
駭	xɛ5	
驗	niɛ̃5	
騎	tɕʰɪ2	
騙	pʰiɛ̃5	
騷	sʌ1	
騾	nv2	
驟	tʂəʊ5	
骨	kʊ7	
髈	pʰɑŋ3	指以猪蹄为原料制作的菜肴。吃～
髓	suei3	
髓	suei5	
高	kʌ1	
髻	tɕɪ5	
鬃	tsoŋ1	
鬏	tɕiəʊ1	一种发型，指用头发编的小辫
鬢	piɪ̃5	
鬻	pʰʊ2	指锅碗中汤汁因受热而溢出。汤～出来哒
鬼	kuei3	
魁	kʰuei1	
魁	kʰuei2	
魂	xuẽ2	
魄	pʰo7	
魘	iɛ̃3	
魏	uei5	
魔	mo2	
鮎	niɛ̃2	
魚	ʏ2	
魯	nəʊ3	
鮑	pʌ5	
鮮	ɕiɛ̃1	
鯉	nɪ3	
鰣	ʂʅ2	
鯽	tɕɪ7	
鯨	tɕiɪ̃2	
鰓	sɛ1	
鰭	tɕʰɪ2	
鰥	kuɑ̃1	
鰾	pʰiʌ5	
鱉	piɛ7	
鱖	kuei5	
鱔	ʂɑ̃5	
鱗	niɪ̃2	
鳥	tiʌ3	
鳥	niʌ3	
鳩	tɕiəʊ1	
雞	tɕɪ1	
鳴	miɪ̃2	
鴉	n̩1	
鸕	nəʊ2	
鴨	n̩7	
鴿	kuo7	
鸞	nuɑ̃2	
鴻	xoŋ2	
鵝	uo2	
鵡	vʊ3	
鵲	ɕio7	
鷂	iʌ5	
鶴	xuo7	
鸚	iɪ̃1	
鷺	nəʊ5	
鷹	iɪ̃1	
鹿	nəʊ7	
麝	ʂɛ5	
麥	mɛ7	
麩	fʊ1	
麻	mɑ2	
麾	xuei1	
黃	xuɑŋ2	
黎	nɪ2	
黏	niɛ̃2	
黑	xɛ7	
默	mo7	
黢	tɕʰʏ1	
鼎	tiɪ̃3	
鼓	kʊ3	
鼬	iəʊ5	
鼻	pɪ5	
鼾	xɑ̃1	
齊	tɕʰɪ2	
齒	tʂʰʅ3	
齦	kʰẽ3	
龍	noŋ2	
龕	kʰɑ̃1	
龜	kuei1	
𠞖	koŋ5	指用头钻来钻去。
𢫨	nɑŋ3	指摇晃物体。水要～出来哒。
𢲔	pɑ̃3	指摔跤或摔倒
𢲔	tɕʰiɛ̃3	指摔跤。～一跟头
𥅗	tsʰʌ3	指身体皮肤干燥粗糙的样子
𧷡	nʌ2	指贪吃或吃相不雅。
