#漢字	音標	解釋
欺	tɕʰi1	
正	tsɛx5	
此	tsʰɿ3	
步	bu6	
歪	xua1	
歹	ta3	又
死	sɿ3	
殉	ʑyn6	
母	mɷ3	
毒	doʔ8	
比	pi3	
毛	mʌ2	
民	min2	
气	tɕʰi5	
水	ɕye3	
永	ioŋ3	
氽	tʰɛx3	
求	dʑiɷ2	
漢	xɷx5	
汝	lu3	
池	dzɿ2	
湯	tʰɑŋ2	
汪	uɑŋ1	
汾	fɛx3	
沙	ɕyo1	
沒	məʔ7	
漚	ŋe5	
沫	mɷ6	
沸	vəʔ8	
治	dzɿ6	
泉	ʑyɷx2	
法	fɑʔ7	
波	pɷ1	
洒	sa3	
洞	doŋ6	
活	uoʔ8	白读
派	pʰa6	文
淺	tɕʰiɪx3	
濁	dzoʔ8	
浣	yɷx6	
浪	lɑŋ6	
海	xa3	
浸	tɕin5	
澇	lʌ6	
液	ie6	
淌	tʰɑŋ3	
淡	dæx6	
淤	y1	
混	xuɛx5	～来：瞎来，乱来
混	ɣuɛx6	～日子
淹	ŋæx1	
滲	sɛx5	
溫	uɛx1	
溴	ɕiɷ5	
滑	ɣuɑʔ8	文读
滑	uɑʔ8	
滾	kuɛx3	
滿	mɷx3	
灘	tʰæx1	
演	iɪx3	
潘	pʰɷx1	
火	xɷ3	
灯	tɛx1	
灰	xue1	
灶	tsʌ5	
灾	tsa1	
燦	tsʰæx5	
炒	tsʰʌ3	
炮	pʰʌ5	
炯	tɕioŋ3	
炸	tɕyo5	
點	tiɪx3	
烀	xɷ1	蒸：～馒头
爛	læx6	
烘	ɣoŋ6	暖：～人
烟	iɪx1	
燒	sʌ1	
熱	ȵiʔ8	
煞	sɑ5	迷信说法，指人的灵魂：～走了
煨	ue1	
熬	ŋʌ2	
爬	bo2	
愛	ŋa5	
父	vu6	
爸	pɑ5	文读
爸	ba6	白读
爹	tiɑ1	～～：祖父：老～：泛指老头
爽	ɕyɑŋ3	
爿	bæx2	
牙	iɑ2	
牙	ŋuo2	
牛	ŋe2	白读
牛	ȵiɷ2	文读
犟	dʑiex6	
狂	ɡuɑŋ2	
狼	lɑŋ2	
猛	moŋ3	
猜	tsʰa1	
王	uɑŋ2	
玩	uæx2	
環	ɡuæx2	
現	ʑiɪx6	
班	pæx1	
琴	dʑin2	
瓜	kuo1	
瓦	ŋuo3	
瓷	zɿ2	
用	ioŋ6	
甩	ɕya3	
甫	pʰu3	
田	diɪx2	
甲	tɕiɑʔ7	文读
電	diɪx6	
男	nɷx2	
番	fæx1	
疼	dɛx2	
病	bin6	
痛	tʰoŋ5	
痴	tsʰɿ1	
白	boʔ8	
的	tiʔ7	
皮	bi2	
盆	bɛx2	
盎	ŋɑŋ5	白读
盎	ɑƞ4	白读
盞	tsæx1	
監	kæx1	
盤	bɷx2	
盛	zɛx2	～饭
直	dzəʔ8	
省	sɛx3	
看	kʰɷ5	
真	tsɛx1	
眯	mi1	
眼	ŋæx3	
着	dzɑʔ8	～火
睞	la6	
督	toʔ7	
瞄	miʌ3	
瞎	xɑʔ7	
瞟	piʌ1	
瞿	dʑy2	
矬	zɷ2	锯掉一点
短	tɷx3	
矮	ŋa3	
破	pʰɷ5	
硬	ŋɛx6	
碰	pʰoŋ5	
社	ʑie6	
祖	tsu3	
票	pʰiʌ5	
福	foʔ7	
租	tsu1	
秤	tsʰɛx5	
秦	dʑyn2	
稱	tsʰɛx1	
穩	uɛx3	
究	tɕiɷ5	
窮	dʑioŋ2	
空	kʰoŋ1	天～
穿	tɕʰyɷx1	
突	dəʔ8	
窗	tɕʰyɑŋ1	
窩	kʰɷ1	
立	liʔ8	
端	tɷx1	
笑	ɕiʌ5	
笨	bɛx6	
等	tɛx3	
答	tɑʔ7	
篩	sa1	
算	ɕyɷx5	
管	kuæx3	又读
箭	tɕiɪx5	
篆	dʑyɷx6	
簸	pɷ5	
米	mi3	
类	le6	
粗	tsʰu1	
糞	fɛx5	
糙	tsʰʌ5	
糟	tsʌ1	
累	le3	
縺	liɪx6	
糾	tɕiɷ1	
紅	ɣoŋ2	
約	iɑʔ7	
紡	fɑŋ3	
紐	ȵiɷ3	
線	ɕiɪx5	
絆	pʰæx1	
給	xæx3	白读
绷	poŋ3	
綢	dze1	
綰	uæx5	绕
編	pʰiɪx1	
縲	lɷ1	绞紧
繳	tɕiʌ3	
缺	tɕʰyoʔ7	
网	uɑŋ3	
罰	vɑʔ8	
罷	bo6	
罪	ʑye6	
罱	næx3	～泥
