#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。~一脚过来
括	kʰuo7	
拯	tʂẽ3	
拱	kuŋ3	
拳	tɕʰyɑ̃2	
拴	ʂuɑ̃1	
拸	nɔ2	指书本或碗筷堆叠在一起
拼	pʰiẽ1	
拽	tʂuɛ5	拖~
拾	ʂʅ7	
拿	nɑ2	
持	tʂʰʅ2	
挂	kuɑ5	
指	tʂʅ3	
按	ŋɑ̃5	
挑	tʰiɔ1	
挖	uɑ7	
挾	kɑ7	
撓	nɔ2	
擋	tɑŋ3	
擠	tɕi3	
揮	xue1	
挨	ŋɛ1	
挪	nuo2	
振	tʂẽ5	
挺	tʰiẽ5	
挽	uɑ̃3	
捅	tʰuŋ3	
捆	kʰuẽ3	
捉	tʂuo7	
捋	ny7	
捎	ʂɔ1	
捏	niɛ7	
捐	tɕyɑ̃2	
捕	pu5	
撈	nɔ2	
換	xuɑ̃5	
捧	pʰuŋ3	
捭	pʰɛ3	指两手平伸后的长度。
据	tɕy5	
捱	ŋɛ2	
捷	tɕiɛ7	
捺	nɑ7	
捻	niɑ̃3	
掀	ɕiɑ̃1	
掂	tiɑ̃1	
掇	tuo7	
授	ʂou5	
掉	tiɔ5	
掌	tʂɑŋ3	
掏	tʰɔ1	
掐	kʰɑ3	
掐	tɕʰiɑ7	
排	pʰɛ2	
掘	tɕyɛ7	
掠	nyɛ7	
探	tʰɑ̃5	
接	tɕiɛ7	
控	kʰuŋ5	
推	tʰe1	
掩	iɑ̃3	
措	tsʰou5	
掫	tsou1	
掬	tɕy7	
掭	tʰiɑ̃5	
掮	tɕʰiɑ̃2	
擲	tʂʅ7	
撣	tɑ̃3	
揈	xuŋ1	
揉	ʐou2	
描	miɔ2	
提	tʰi2	
插	tʂʰɑ7	
揖	i7	
握	uo7	
揣	tʂʰuɛ3	
揩	kʰɛ1	
揫	tɕiou1	
揭	tɕiɛ7	
援	yɑ̃2	
攬	nɑ̃3	
攙	tʂʰɑ̃1	
擱	kuo7	
摟	nou2	
摟	nou3	
攪	tɕiɔ3	
搉	kʰɔ7	指敲打、敲击
搊	tʂou3	指用手撑住或扶住
搓	tsʰuo1	
搛	tɕiɑ̃1	
搜	sou1	
搞	tɕiɔ3	
搣	miɛ7	指用手掰开、剥开或掰断物体
搧	ʂɑ̃1	
搨	tʰɑ7	
搬	pɑ̃1	
搭	tɑ7	
攜	ɕiɛ2	
搽	tsʰɑ7	
攝	ʂɛ7	
摆	pɛ3	
搖	iɔ2	
攤	tʰɑ̃1	
摔	ʂuɛ1	
摘	tsɛ7	
摞	nuo5	
摩	mo2	
摸	mo7	
摹	mu2	
摺	tʂɛ7	
撇	pʰiɛ7	
撑	tʂʰẽ1	
撒	sɑ7	
撕	sɿ1	
撙	tsẽ3	
撞	tʂuɑŋ5	
撤	tʂʰɛ7	
撩	niɔ2	
撮	tsʰuo7	
撰	tʂuɑ̃5	
攆	niɑ̃2	
撼	xɑ̃5	
擀	kɑ̃3	
操	tsʰɔ1	
擎	tɕʰiẽ2	
擒	tɕʰiẽ2	
擖	kɑ7	
擘	pɛ7	
擦	tsʰɑ7	
擩	ʐuɑ3	指把某类食材或调料放进菜肴中，或揉制食物。~糍粑
攀	pʰɑ̃1	
攎	nɔ1	
攢	tsɑ̃3	
攘	ʐɑŋ3	
攮	nɑŋ3	
支	tʂʅ1	
收	ʂou1	
改	kɛ3	
攻	kuŋ1	
放	xuɑŋ5	
故	ku5	
效	ɕiɔ5	
敵	ti7	
敏	miẽ3	
救	tɕiou5	
敎	kɔ1	
敎	tɕiɔ5	
斂	niɑ̃3	
斂	niɑ̃5	
敝	pʰi5	
敢	kɑ̃3	
散	sɑ̃5	
敦	tẽ1	
㪗	tʰou3	指把包着或卷着的东西打开
敬	tɕiẽ5	
數	sou5	
敲	kʰɔ1	
整	tʂẽ3	
敷	fu1	
文	uẽ2	
齋	tʂɛ1	
斑	pɑ̃1	
斗	tou3	
斗	tou5	
料	niɔ5	
斛	fu7	
斜	ɕiɛ2	
斟	tʂẽ1	
斢	tʰiɔ3	指交换物品
斤	tɕiẽ1	
斥	tʂʰʅ7	
斧	fu3	
斬	tʂɑ̃3	
斷	tuɑ̃5	
斯	sɿ1	
新	ɕiẽ1	
方	xuɑŋ1	
施	ʂʅ1	
旁	pʰɑŋ2	
旅	ny3	
旋	ɕyɑ̃2	
旋	ɕyɑ̃5	
族	tsou7	
旗	tɕʰi2	
無	vu2	
既	tɕi5	
日	ʐʅ7	
日	ɚ7	
旦	tɑ̃5	
舊	tɕiou5	
旨	tʂʅ3	
早	tsɔ3	
旬	ɕyẽ2	
旱	xɑ̃5	
時	ʂʅ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ŋɑŋ2	
昆	kʰuẽ1	
昌	tʂʰɑŋ1	
明	miẽ2	
昏	xuẽ1	
易	i5	
易	i7	
昔	ɕi7	
星	ɕiẽ1	
映	iẽ5	
春	tʂʰuẽ1	
昧	me5	
昨	tsuo7	
昭	tʂɔ1	
是	ʂʅ5	
晝	tʂou5	
晃	xuɑŋ5	
晉	tɕiẽ5	
晏	iɑ̃5	
曬	ʂɛ5	
暈	yẽ5	
晚	uɑ̃3	
晦	xue5	
晨	tʂʰẽ2	
普	pʰu3	
景	tɕiẽ3	
晴	tɕʰiẽ2	
晶	tɕiẽ1	
智	tʂʅ5	
暫	tsɑ̃5	
暇	ɕiɑ7	
暖	nuɑ̃3	
暗	ɑ̃5	
暝	miẽ2	
暮	mu5	
暴	pɔ5	
曝	pɔ7	
曩	nɑŋ3	
曰	yɛ7	
曲	tɕy7	
曲	tɕʰy7	
更	kẽ5	~加
更	kẽ1	三~半夜
曹	tsʰɔ2	
曾	tsẽ1	
曾	tsẽ2	
替	tʰi5	
最	tsue5	
月	yɛ7	
有	iou3	
朋	pʰuŋ2	
服	fu7	
朔	ʂuo7	
朗	nɑŋ3	
望	uɑŋ5	
朝	tʂɔ1	
朝	tʂʰɔ2	
期	tɕʰi2	
木	mu7	
未	ue5	
末	mo7	
本	pẽ3	
札	tʂɑ7	
术	tʂu7	
术	ʂu7	
朱	tʂʯ1	
朴	pʰu7	
朵	tv3	
機	tɕi1	
雜	tsɑ7	
權	tɕʰyɑ̃2	
杆	kɑ̃3	
杈	tʂʰɑ1	
杉	ʂɑ̃1	
李	ni3	
杏	ɕiẽ5	
材	tsʰɛ2	
村	tsʰẽ1	
杖	tʂɑŋ5	
杜	tou5	
杞	tɕʰi3	
束	ʂʯ7	
杠	kɑŋ5	
條	tʰiɔ2	
來	nɛ2	
楊	iɑŋ2	
杭	xɑŋ2	
杰	tɕiɛ7	
杳	niɔ3	
杴	tɕʰiɑ̃1	
杵	tʂʰu3	
杷	pʰɑ2	
松	suŋ1	
松	suŋ2	
板	pɑ̃3	
極	tɕi7	
構	kou5	
枇	pʰi2	
枉	uɑŋ3	
析	ɕi7	
枕	tʂẽ3	~头
枕	tʂẽ5	~戈待旦
林	niẽ2	
枚	me2	
果	kuo3	
枝	tʂʅ1	
樞	ʂu1	
棗	tsɔ3	
槍	tɕʰiɑŋ1	
楓	xuŋ1	
枯	kʰu1	
枴	kuɛ3	
架	tɕiɑ5	
柄	iẽ5	
柏	pɛ7	
某	mou3	
柑	kɑ̃1	
染	ʐɑ̃3	
柔	ʐou2	
柚	iou5	
櫃	kue5	
査	tʂʰɑ2	
柩	tɕiou5	
柬	tɕiɑ̃3	
柱	tʂu5	
柳	niou3	
柴	tʂʰɛ2	
柿	ʂʅ5	
梔	tʂʅ1	
柵	ʂɑ̃7	
標	piɔ1	
棧	tʂɑ̃5	
棟	tuŋ5	
欄	nɑ̃2	
樹	ʂʯ5	
栖	ɕi1	
栗	ni7	
校	tɕiɔ5	
校	ɕiɔ5	
株	tʂu1	
樣	iɑŋ5	
核	fu7	
核	xuo7	审~，果~
根	kẽ1	
格	kɛ7	
栽	tsɛ1	
栿	fu7	
桂	kue5	
桃	tʰɔ2	
桅	kʰue2	
案	ŋɑ̃5	
桌	tʂuo7	
桐	tʰuŋ2	
桑	sɑŋ1	
桓	xuɑ̃1	
椏	n̩1	
橈	ʐɔ2	
橋	tɕʰiɔ2	
樺	xuɑ5	
檜	xue5	
槳	tɕiɑŋ3	
樁	tʂuɑŋ1	
桶	tʰuŋ3	
梁	niɑŋ2	
梅	me2	
梓	tsɿ3	
梗	kẽ3	
梢	ʂɔ1	
夢	muŋ5	
梧	vu2	
梨	ni2	
梭	suo1	
梯	tʰi1	
梯	tʰiɛ1	
械	kɛ1	
械	ɕiɛ5	
梳	sou1	
檢	tɕiɑ̃3	
棉	miɑ̃2	
棋	tɕʰi2	
棌	tsʰɛ5	
棍	kuẽ5	
棒	pɑŋ5	
棕	tsuŋ1	
棚	pʰuŋ1	
棠	tʰɑŋ2	
森	sẽ1	
棵	kʰuo1	
棺	kuɑ̃1	
椅	i3	
植	tʂʅ7	
椒	tɕiɔ1	
橢	tʰuo3	
椴	tuɑ̃5	
椽	tʂʰuɑ̃2	
椿	tʂʰuẽ1	
楂	tʂʰɑ1	
楔	ɕiɛ7	
楚	tsʰou3	
楝	niɑ̃5	
楞	nẽ2	
楣	me2	
楦	ɕyɑ̃5	
楷	kʰɛ3	
樓	nou2	
概	kɛ5	
欖	nɑ̃3	
楡	y2	
榛	tʂẽ1	
榜	pɑŋ3	
榧	xue3	
榨	tʂɑ5	
榴	niou2	
榻	tʰɑ7	
槌	tʂue2	
槐	xuɛ2	
檳	piẽ1	
槽	tsʰɔ2	
樟	tʂɑŋ1	
模	mo2	~子，~仿
橫	xuẽ2	
橫	xuẽ5	
櫻	iẽ1	
樵	tɕʰiɔ2	
橄	kɑ̃3	
橘	tɕy7	
橙	tʂʰẽ2	1
橙	tʂʰẽ2	~子
橛	tɕyɛ7	
橡	ɕiɑŋ5	
櫓	nou3	
檀	tʰɑ̃2	
檐	iɑ̃2	
檁	niẽ3	
櫂	tʂɔ5	
欠	tɕʰiɑ̃5	不够;缺乏
欠	tɕʰiɑ̃3	指非常羡慕，想要得到。我~他的衣服
次	tsʰɿ5	
歡	xuɑ̃1	
欣	ɕiẽ1	
歐	ou1	
欲	y7	
款	kʰuɑ̃3	
歇	ɕiɛ7	
歉	tɕʰiɑ̃5	
歌	kv1	
止	tʂʅ3	
正	tʂẽ1	
正	tʂẽ5	
此	tsʰɿ3	
步	pu5	
武	vu3	
歪	uɛ1	
死	sɿ3	
殲	tɕiɑ̃1	
殃	iɑŋ1	
殆	tɛ5	
殉	ɕyẽ5	
殊	ʂu2	
殘	tsʰɑ̃2	
殮	niɑ̃5	
殖	tʂʅ7	
殯	piẽ5	
毆	ou3	
段	tuɑ̃5	
殷	iẽ1	
殺	ʂɑ7	
殼	kʰv7	
殿	tiɑ̃5	
毅	i5	
母	mu3	
每	me3	
毒	tou7	
比	pi3	
畢	pi7	
斃	pi5	
毛	mɔ2	
毡	tʂɑ̃1	
毫	xɔ2	
毯	tʰɑ̃3	
氏	ʂʅ5	
民	miẽ2	
气	tɕʰi5	
永	iuŋ3	
汀	tiẽ1	
汁	tʂʅ1	
汁	tʂʅ7	
求	tɕʰiou2	
汆	tsʰuɑ̃1	
汇	xue5	
漢	xɑ̃5	
汗	xɑ̃5	
汝	ʐu3	
汞	kuŋ5	
江	tɕiɑŋ1	
池	tʂʰʅ2	
污	vu1	
湯	tʰɑŋ1	
汪	uɑŋ1	
汴	piɑ̃5	
汽	tɕʰi5	
沂	i2	
沃	uo7	
沉	tʂẽ2	
沌	tẽ5	
沓	tʰɑ7	
沙	ʂɑ1	
沛	pʰe5	
溝	kou1	
沒	mo7	
漚	ou5	
淪	nẽ2	
滬	fu5	
沫	mo7	
河	xuo2	
油	iou2	
治	tʂʅ5	
沼	tʂɔ3	
沾	tʂɑ̃1	
沿	iɑ̃2	
泄	ɕiɛ7	
泅	tɕʰiou2	
泉	tɕʰyɑ̃2	
泊	po7	
泌	mi5	
泔	kɑ̃1	
法	xuɑ7	
泛	xuɑ̃5	
泡	pʰɔ1	
泡	pʰɔ5	
波	po1	
泣	tɕʰi3	
泣	tɕʰi7	
泥	ni2	
注	tʂu5	
淚	ne5	
泰	tʰɛ5	
泳	yẽ5	
泳	iuŋ5	
瀉	ɕiɛ5	
潑	pʰo7	
澤	tsɛ7	
潔	tɕiɛ7	
洇	iẽ1	
洋	iɑŋ2	
洒	sɑ3	
洛	nuo7	
洞	tuŋ5	
津	tɕiẽ1	
洪	xuŋ2	
洲	tʂou1	
活	xuo7	
洼	uɑ1	
洽	tɕʰiɑ7	
派	pʰɛ5	
流	niou2	
淺	tɕʰiɑ̃3	
漿	tɕiɑŋ1	
澆	tɕiɔ1	
濁	tʂuo7	
測	tsɛ7	
濟	tɕi5	
渾	xuẽ2	
濃	nuŋ2	
浙	tʂɛ7	
浚	tɕyẽ5	
浜	piẽ1	
浞	tʂuo7	
浦	pʰu3	
浩	xɔ5	
浪	nɑŋ5	
浮	fu2	
浴	y7	
浸	tɕiẽ5	
涂	tʰou2	
消	ɕiɔ1	
涉	ʂɛ7	
涌	iuŋ3	
涎	ɕiɑ̃2	
涕	tʰi5	
濤	tʰɔ2	
澇	nɔ5	
潤	ʐuẽ5	
澗	tɕiɑ̃5	
漲	tʂɑŋ3	
澀	sɛ7	
涮	ʂuɑ̃5	
涯	n̩2	
液	iɛ7	
涴	uo5	
涿	tʂuo7	
淆	ɕiɔ2	
淋	niẽ2	
淑	ʂʯ7	
淘	tʰɔ2	
淡	tɑ̃5	
淤	y1	
淫	iẽ2	
淮	xuɛ2	
深	ʂẽ1	
混	xuẽ5	
淹	ŋɑ̃1	
添	tʰiɑ̃1	
淸	tɕʰiẽ1	
淵	yɑ̃1	
漸	tɕiɑ̃5	
澠	miɑ̃3	
漁	y2	
渠	tɕʰy2	
渡	tou5	
渣	tʂɑ1	
溫	uẽ1	
港	kɑŋ3	
渴	kʰv7	
游	iou2	
渺	miɔ3	
湖	fu2	
湘	ɕiɑŋ1	
灣	uɑ̃1	
溼	ʂʅ7	
潰	kʰue5	
濺	tɕiɑ̃5	
溉	kɛ5	
源	yɑ̃2	
溜	niou5	
溪	ɕi1	
溺	ni7	
滂	pɑŋ1	
滑	xuɑ7	
滓	tsɿ3	
滔	tʰɔ1	
潷	pi2	指滤出水分。~米汤
滾	kuẽ3	
滯	tʂʅ5	
滿	mɑ̃3	
濾	ny5	
濫	nɑ̃5	
灘	tʰɑ̃1	
滴	ti7	
漂	piɔ3	
漂	pʰiɔ5	
漆	tɕʰi7	
漏	nou5	
演	iɑ̃3	
漫	mɑ̃5	
漱	sou5	
潘	pʰɑ̃1	
潛	tɕʰiɑ̃2	
潭	tʰɑ̃2	
潮	tʂʰɔ2	
潲	sɔ5	
澄	tʂʰẽ2	
澄	tʂʰẽ5	
澡	tsɔ3	
激	tɕi7	
瀑	pʰu7	
灌	kuɑ̃5	
灒	tsɑ̃5	指油汁或汤汁因受热或摇晃溅出
火	xuo3	
滅	miɛ7	
燈	tẽ1	
灰	xue1	
靈	niẽ2	
竈	tsɔ5	
灸	tɕiou3	
災	nɛ1	
燦	tsʰɑ̃5	
爐	nou2	
炊	tʂʰue1	
炎	iɑ̃2	
炒	tʂʰɔ3	
炕	kʰɑŋ5	
炙	tʂʅ7	
炭	tʰɑ̃5	
炮	pʰɔ5	
炸	tʂɑ5	~蛋
炸	tʂɑ7	油~
點	tiɑ̃3	
爛	nɑ̃5	
烈	niɛ7	
烊	iɑŋ2	
烘	xuŋ1	
烙	nuo7	
燭	tʂʯ7	
烟	iɑ̃1	
烤	kʰɔ3	
煩	xuɑ̃2	
燒	ʂɔ1	
燙	tʰɑŋ5	
熱	ʐɛ7	
烹	pʰuŋ1	
焉	iɑ̃2	
焊	xɑ̃5	
焌	tɕʰy7	一种烹调方法，指用微量油热锅后再进行烹饪。给锅~油
煥	xuɑ̃5	
焙	pe5	
焚	xuẽ2	
焦	tɕiɔ1	
焯	tʂʰɔ7	
焰	iɑ̃5	
然	ʐɑ̃2	
煎	tɕiɑ̃1	
煤	me2	
照	tʂɔ5	
煨	ue1	
煮	tʂʯ3	
熄	ɕi7	
熊	ɕiuŋ2	
熏	ɕyẽ1	
煕	ɕi1	
熟	ʂʯ7	
熥	tʰuŋ1	
熨	yẽ5	
熬	ŋɔ2	
燃	ʐɑ̃2	
燎	pʰiɔ2	
燎	niɔ2	
燎	niɔ3	
燐	niẽ2	
燕	iɑ̃1	
燕	iɑ̃5	
爆	pɔ5	
爊	ŋɔ1	在锅中煨熟食物，~排骨
爪	tʂɔ3	
爬	pʰɑ2	
愛	ŋɛ5	
爵	tɕyɛ7	
父	fu5	
爺	iɛ2	
爸	pɑ5	
爹	tiɑ1	
片	pʰiɑ̃5	
版	pɑ̃3	
牌	pʰɛ2	
牘	tou7	
牒	tiɛ7	
牙	n̩2	
牚	tʂʰẽ5	
牛	niou2	
牡	mu3	
牢	nɔ2	
牧	mu7	
物	vu7	
牲	ʂẽ1	
牽	tɕʰiɑ̃1	
特	tʰɛ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犢	tou7	
犍	tɕiɑ̃1	
犍	tɕiɑ̃2	
犒	kʰɔ5	
犬	tɕʰyɑ̃3	
犯	xuɑ̃5	
狀	tʂuɑŋ5	
猶	iou2	
狂	kʰuɑŋ2	
狄	ti7	
狍	pʰɔ2	
狐	fu2	
狗	kou3	
狠	xẽ5	
狡	tɕiɔ3	
獨	tou7	
狹	ɕiɑ7	
獅	sɿ1	
獄	y7	
狸	ni2	
狼	nɑŋ2	
獵	niɛ7	
猛	muŋ3	
猜	tsʰɛ1	
猝	tsʰou5	
豬	tʂʯ1	
貓	mɔ2	
蝟	ue3	
蝟	ue5	
獻	ɕiɑ̃5	
猴	xou2	
猾	xuɑ2	
獺	tʰɑ7	
玄	ɕyɑ̃2	
率	ʂuɛ7	
率	ny7	
玉	y7	
王	uɑŋ2	
玩	uɑ̃2	
環	xuɑ̃2	
現	ɕiɑ̃5	
玻	pʰo1	
珊	ʂɑ̃1	
珍	tʂẽ1	
珠	tʂu1	
班	pɑ̃1	
球	tɕʰiou2	
理	ni3	
琉	niou2	
瑣	suo3	
琢	tʂuo7	
琴	tɕʰiẽ2	
琵	pʰi2	
琶	pʰɑ2	
瓊	tɕʰiuŋ2	
瑕	ɕiɑ2	
瑞	ʂue5	
瑟	sɛ7	
璃	ni1	
璃	ni2	
璧	pi7	
璺	uẽ5	
瓜	kuɑ1	
瓠	fu2	
瓢	pʰiɔ2	
瓣	pɑ̃5	
瓤	ʐɑŋ2	
瓦	uɑ5	~刀
瓦	uɑ3	砖~
瓮	tsʰɿ5	
甌	ou1	
甁	pʰiẽ2	
瓷	tsʰɿ2	
甘	kɑ̃1	
甚	ʂẽ5	
甜	tʰiɑ̃2	
生	ʂẽ1	
甥	ʂẽ1	
用	iuŋ5	
甫	fu3	
甬	iuŋ3	
田	tʰiɑ̃2	
由	iou2	
甲	tɕiɑ7	
申	ʂẽ1	
電	tiɑ̃5	
男	nɑ̃2	
畫	xuɑ5	
暢	tʂʰɑŋ5	
界	kɛ5	
畏	ue5	
留	niou2	
畜	ɕiou2	
畜	tʂʰou7	
略	nyɛ7	
畦	kue2	
番	xuɑ̃1	
疆	tɕiɑŋ1	
疏	sou1	~远
疏	sou5	注~
疑	i2	
疔	tiẽ1	
療	niɔ5	
疝	ʂɑ̃5	
瘧	nyɛ7	
瘍	iɑŋ2	
疤	pɑ1	
疥	kɛ5	
疫	i7	
瘡	tʂʰuɑŋ1	
瘋	xuŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疵	tsʰɿ5	
疹	tʂẽ3	
疼	tʰẽ2	
疾	tɕi7	
疿	xue5	
痂	tɕiɑ1	
病	piẽ5	
症	tʂẽ5	
癰	iuŋ1	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xẽ2	
痛	tʰuŋ5	
痢	ni5	
痣	tʂʅ5	
癆	nɔ2	指毒，毒害
痰	tʰɑ̃2	
痲	mɑ2	
癡	tʂʰʅ1	
痹	pi5	
瘊	xou2	
瘌	nɑ7	
瘟	uẽ1	
瘦	ʂou5	
瘴	tʂɑŋ5	
瘸	tɕʰyɛ2	
癩	nɛ5	
癸	kʰue3	
登	tẽ1	
白	pɛ7	
百	pɛ7	
皂	tsɔ5	
的	ti7	
皆	tɕiɛ1	
皇	xuɑŋ2	
皖	uɑ̃5	
皮	pʰi2	
皺	tʂou5	
皴	tsʰẽ1	
皿	miẽ3	
盂	y2	
盆	pʰẽ2	
盈	iẽ2	
益	i7	
盞	tʂɑ̃3	
鹽	iɑ̃2	
鹽	iɑ̃5	
監	tɕiɑ̃1	
監	tɕiɑ̃5	
盒	xuo7	
盔	kʰue1	
盖	kɛ5	
盜	tɔ5	
盤	pʰɑ̃2	
盛	tʂʰẽ2	~饭
盛	ʂẽ5	~大
盟	muŋ2	
目	mu7	
盲	mɑŋ2	
直	tʂʅ7	
相	ɕiɑŋ1	
相	ɕiɑŋ5	
盼	pʰɑ̃5	
盾	tẽ5	
盾	tuẽ5	
眉	me2	
眉	mi2	
看	kʰɑ̃1	
看	kʰɑ̃5	
瞘	kʰou1	
眞	tʂẽ1	
眠	miɑ̃2	
眨	tʂɑ7	
眩	ɕyɑ̃5	
眵	tʂʰʅ1	
眶	kʰuɑŋ1	
眷	tɕyɑ̃5	
眼	ŋɑ̃3	
着	tʂu5	
着	tʂuo7	
睜	tʂẽ1	
睏	kʰuẽ5	
睛	tɕiẽ1	
睡	ʂue5	
督	tou7	
睬	tsʰɛ3	
瞅	tʂʰou3	
瞎	xŋ7	
瞞	mɑ̃2	
瞖	i5	指白内障，~子
瞧	tɕʰiɔ2	
瞪	tẽ5	
瞭	niɔ3	
瞳	tʰuŋ2	
瞻	tʂɑ̃1	
瞿	tɕʰy2	
矛	mɔ2	
矣	i3	
知	tʂʅ1	
矩	tɕy3	
矯	tɕiɔ3	
矬	tsʰuo2	
短	tuɑ̃3	
矮	ŋɛ3	
石	ʂʅ7	
礬	xuɑ̃2	
礦	kʰuɑŋ5	
碼	mɑ3	
砌	tɕʰi5	
砍	kʰɑ̃3	
砑	n̩5	
硏	niɑ̃2	
硏	iɑ̃2	
磚	tʂuɑ̃1	
硯	iɑ̃3	
破	pʰo5	
礎	tsʰou3	
硃	tʂʯ1	
硝	ɕiɔ1	
硫	niou2	
硬	ŋẽ5	
確	tɕʰio7	
礙	ŋɛ5	
碎	se5	
碑	pe1	
碓	te5	
碗	uɑ̃3	
碟	tiɛ7	
碧	pi7	
鹼	tɕiɑ̃3	
碾	niɑ̃3	
磁	tsʰɿ2	
磅	pɑŋ5	
磑	ŋɛ2	
磕	kʰuo7	
磨	mo5	~刀
磨	mo2	石~
磬	tɕʰiẽ5	
礓	tɕiɑŋ1	
示	ʂʅ5	
禮	ni3	
社	ʂɛ5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祈	tɕʰi3	
祐	iou5	
祖	tsou3	
祝	tʂou7	
神	ʂẽ2	
祠	sɿ2	
祥	ɕiɑŋ2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xuo5	
稟	piẽ3	
禁	tɕiẽ1	
禁	tɕiẽ5	
祿	nou7	
禪	tʂʰɑ̃2	
禪	ʂɑ̃5	
福	fu7	
禹	y3	
离	ni2	
离	ni5	
禽	tɕʰiẽ2	
禾	xuo2	
秀	ɕiou5	
私	sɿ1	
禿	tʰou7	
稈	kɑ̃3	
秉	iẽ3	
秋	tɕʰiou1	
科	kʰuo1	
秒	miɔ3	
秕	pi3	
租	tsou1	
秤	tʂʰẽ5	
秦	tɕʰiẽ2	
秧	iɑŋ1	
秩	tʂʅ5	
秩	tʂʰʅ7	
積	tɕi7	
稱	tʂʰẽ1	
稱	tʂʰẽ5	
移	i2	
穢	xue5	
稀	ɕi1	
稆	ny3	
程	tʂʰẽ2	
稍	ʂɔ1	
稅	ʂue5	
稗	pɛ5	
稚	tʂʅ5	
稠	tʂʰou2	
稭	tɕiɛ1	
穩	uẽ3	
稻	tɔ5	
稼	tɕiɑ5	
稽	tɕi1	
稿	kɔ3	
穄	tɕi5	
穆	mu7	
穗	sue5	
穰	ʐɑŋ2	
穴	ɕyɛ7	
究	tɕiou5	
窮	tɕʰiuŋ2	
空	kʰuŋ1	
空	kʰuŋ3	
空	kʰuŋ5	
穿	tʂʰuɑ̃1	
突	tʰou7	
窄	tʂɛ7	
竅	tɕʰiɔ5	
窖	tɕiɔ5	
窗	tʂʰuɑŋ1	
窘	tɕiuŋ3	
竄	tsʰuɑ̃5	
窩	uo1	
窟	kʰu7	
窠	kʰuo1	
窺	kʰue1	
窰	iɔ2	
立	ni3	
立	ni7	
豎	ʂu5	
站	tʂɑ̃5	~立，车~
競	tɕiẽ5	
竟	tɕiẽ5	
章	tʂɑŋ1	
童	tʰuŋ2	
端	tuɑ̃1	
竹	tʂʯ7	
竿	kɑ̃1	
篤	tou7	
笊	tʂɔ5	
笑	ɕiɔ5	
筆	pi7	
筧	ɕiɑ̃3	
笙	ʂẽ1	
笛	ti7	
笠	ni3	
笠	ni7	
符	fu2	
笨	pẽ5	
第	ti5	
箋	tɕiɑ̃1	
籠	nuŋ2	
等	tẽ3	
筋	tɕiẽ1	
筏	xuɑ7	
筐	kʰuɑŋ1	
筑	tʂu7	
筒	tʰuŋ2	
答	tɑ7	
策	tsʰɛ7	
篩	ʂɛ1	佳韵
篩	ʂɛ1	支韵
箏	tʂẽ1	
筵	iɑ̃2	
筷	kʰuɛ5	
籌	tʂʰou2	
签	tɕʰiɑ̃1	
簡	tɕiɑ̃3	
箄	pʰɛ2	
箅	pi5	
箍	ku1	
箕	tɕi1	
算	suɑ̃5	
管	kuɑ̃3	
籮	nuo2	
簫	ɕiɔ1	
箭	tɕiɑ̃5	
箱	ɕiɑŋ1	
篆	tʂuɑ̃5	
篇	pʰiɑ̃1	
簍	nou3	
篙	kɔ1	
篡	tsʰuɑ̃5	
篦	pi5	
籃	nɑ̃2	
籬	ni2	
篷	pʰuŋ2	
篾	miɛ7	
簧	xuɑŋ2	
簪	tsɑ̃1	
簸	po3	~一~
簸	po5	~箕
簿	pu5	
籍	tɕi7	
米	mi3	
糴	ti7	
類	ne5	
粉	xuẽ3	
粒	ni3	
粒	ni7	
粗	tsʰou1	
粘	tʂɑ̃1	
粟	su7	
粵	yɛ7	
粥	tʂou7	
糞	xuẽ5	
糧	niɑŋ2	
粱	niɑŋ2	
粳	kẽ1	
粹	tsʰe5	
糉	tsuŋ5	
精	tɕiẽ1	
糊	fu2	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰɑŋ2	
糗	ɕiou3	
糙	tsʰɔ5	
糜	mi2	
糟	tsɔ1	
糠	kʰɑŋ1	
糯	nv5	
系	tɕi5	~鞋带
系	ɕi5	~词，联~，~统
紗	ʂɑ1	
素	sou5	
索	suo7	
緊	tɕiẽ3	
紫	tsɿ3	
累	ne5	
累	ne3	~积
絮	ɕy5	
繁	xuɑ̃2	
繮	tɕiɑŋ1	
纂	tsʰuɑ̃3	
纔	tsʰɛ2	
糾	tɕiou1	
糾	tɕiou3	
紅	xuŋ2	
紂	tʂou5	
約	io7	
級	tɕi7	
紀	tɕi3	
紉	ʐẽ5	
緯	ue5	
純	tʂʰuẽ2	
綱	kɑŋ1	
納	nɑ7	
縱	tsuŋ5	~横
縱	tsuŋ5	放~
紛	xuẽ1	
紙	tʂʅ3	
紋	uẽ2	
紡	xuɑŋ3	
紐	niou3	
線	ɕiɑ̃5	
練	niɑ̃5	
組	tsou3	
細	ɕi5	
織	tʂʅ7	
縐	tsou5	
絆	pɑ̃5	
紹	ʂɔ5	
經	tɕiẽ1	
經	tɕiẽ2	
綁	pɑŋ3	
結	tɕiɛ7	
