#漢字	音標	解釋
□	kuɑʔ7	kuɑʔ7開,表示“裂開”
居	cy1	
屈	cʰiøʔ7	
屋	ok1	1屋頂
屋	oʔ7	2
屋	ɒʔ7	3
屍	sɿ1	
屑	siʔ7	
展	tsẽ3	
屏	biŋ2	1屛風
屏	piŋ5	2屛除,當是“摒”字
屜	tʰi5	
屠	du2	
屢	ly4	1屢次
屢	ly6	2屢次
層	zʌŋ2	
履	ly6	
屬	zɒk8	1
屬	zoʔ8	2
屯	dʌŋ2	
山	sæ̃1	
岳	ŋɒk8	
岸	ŋø̃6	1
岸	ø̃5	2
峰	fuŋ1	
島	tɔ3	
崑	kʰuʌn1	
崖	ŋe2	
嶺	liŋ4	
巖	ŋæ̃2	
川	tsʰẽ1	
州	tsɤ1	
巡	ziŋ2	
巢	ziɔ2	1窩巢
巢	ziɔ4	2鳥巢
工	koŋ1	1工人
工	kuŋ1	2工夫
左	tsu3	1
左	tsu5	2
左	tsi3	3
巧	cʰiɔ3	1
巧	tɕʰiɔ3	2
巫	vu2	
差	tsʰɑ1	1差人
差	tsʰo1	2差勿多
己	ci3	
已	i3	
巳	zɿ2	
巴	po1	1巴勿得
巴	po3	2巴總,釋義爲“sergeant”
巴	bo2	3下巴
巷	ɦɒŋ6	
巾	ciʌn1	
市	zɿ4	1
市	zɿ6	2
布	pu5	
帆	væ̃2	
希	ɕi1	
帕	pʰo5	
帖	tʰiʔ7	
帛	bɑʔ8	
帝	ti5	1皇帝
帝	di6	2皇帝
師	sɿ1	
席	ziʌk8	1
席	ziʔ8	2
席	dziʔ8	3
帳	tsɑŋ5	
帶	tɑ5	
常	dzɑŋ2	
帽	mɔ6	1帽子
帽	mɔ2	2帽子
幅	foʔ7	
幍	tʰɔ1	
幕	mu6	
幫	pɒŋ1	1帮助
幫	poŋ1	帮助
干	kø̃1	1相干
干	kʏ̃1	2勿干事
干	kʏ̃1	獨一干
平	biŋ2	
年	ɲiẽ2	
并	piŋ3	
幸	iʌŋ5	
幹	kʏ̃5	1能幹
幹	kʏ̃1	2能幹
幽	iɤ1	
幾	ci3	1幾時
幾	ci5	2幾幾乎
莊	tsɒŋ1	
庇	pi5	
牀	zɒŋ2	1旋床
牀	zɒŋ6	2旋床
序	zʮ6	1次序
序	dʑy6	2
底	ti3	1年底
底	ti1	2眼底無人
店	tiẽ5	1店家
店	tiẽ1	2店家
庚	kɑŋ1	
府	fu3	
度	dɒk8	1測度
度	dɒʔ8	2測度
度	doʔ8	3量度
度	du6	4國度
度	du2	5國度
座	zu6	1
座	dzu6	2
座	zʮ6	3
庫	kʰu5	
庭	diŋ2	
庵	ẽ1	
庶	sʮ5	1
庶	sʮ1	2
廂	siɑŋ1	
廉	liẽ2	
廊	lɒŋ2	
廚	dzʮ2	
厮	sɿ1	
廟	miɔ6	
廢	fi5	
廣	kuɒŋ3	1廣東
廣	kuɒŋ1	2廣東綢
廩	liŋ2	
廳	tʰiŋ1	
延	ɦiẽ2	1
延	iẽ1	2躭延
建	ciẽ5	
廿	ɲiæ̃6	
弄	loŋ6	1
弄	luŋ6	2
弄	luŋ2	3弄直
式	sʌʔ7	
弓	kuŋ1	
引	ɦiʌn4	1引誘
引	ɦiʌŋ4	2引線
弗	vəʔ8	
弘	ɦoŋ2	1
弘	ɦuŋ2	2
弝	po3	
弟	di4	1衆弟兄
弟	di6	2堂弟兄
弦	ɦiẽ2	
弱	zɑʔ8	
張	tsɑŋ1	
強	ɟiɑŋ2	1強盜
強	cʰiɑŋ3	2勉強
强	cʰiɑŋ1	强取
彀	kɤ5	1勿彀
彀	kɤ3	2巴勿能彀
彈	dæ̃2	1彈琵琶
彈	dæ̃6	2鉛彈
彌	mi2	
彎	uæ̃1	
彙	ɦue6	
彝	i1	
形	ɦiʌŋ2	1形狀
形	iʌŋ1	2形像
形	iʌŋ5	3有形有象
彩	tsʰe3	
彰	tsɑŋ1	
影	iʌŋ3	
役	ɦioʔ8	
彼	pe1	1彼此
彼	pe3	2彼此
彼	pi3	3此唱彼和
往	ɦuɒŋ4	1
往	uɒŋ3	2
征	tsʌŋ1	
待	de4	1待別人好
待	de6	2待人接物
律	liʔ8	
後	ɦɤ4	1
後	ɦɤ6	2以後
後	ɦɤ2	3退後
徐	zi2	1舒徐
徐	zʮ2	2舒徐
徑	ciʌŋ5	1半徑
徑	ciʌŋ1	2直徑
徒	du2	
得	tʌk7	1講得出
得	tʌʔ7	2走得動
從	zoŋ2	1
從	zuŋ2	2
從	dzoŋ2	3從前
從	dzuŋ2	4聽從
從	tsʰuŋ1	5從容
徧	piẽ5	1徧地流行
徧	piẽ1	2徧流四方
復	voʔ8	1復原
復	foʔ7	2反反復復
循	ziŋ2	1
循	dziŋ2	2
德	tʌʔ7	
徹	tsʰəʔ7	
心	siŋ1	
必	piʔ7	
忌	ɟi6	
忍	ɲiʌn4	1
忍	ɲiʌn6	2
忍	zʌn6	3
忍	zʌn2	4
忒	tʰʌk7	1
忒	tʰʌʔ7	2
忒	tʰəʔ7	3
志	tsɿ3	1
志	tsɿ5	2
忘	mɒŋ6	1
忘	vɒŋ6	2
忘	vɒŋ2	3
忙	mɒŋ2	
忝	tʰiẽ3	
忠	tsoŋ1	1忠厚
忠	tsuŋ1	2忠厚
忤	ŋ̍3	
快	kʰɑ5	1快活
快	kʰuɑ5	2爽快
快	kʰue5	3
快	kʰuɑ1	4快點
念	ɲiæ̃6	
忽	huəʔ7	
忿	fʌn1	忿怒
怒	nu6	
怕	pʰo5	1
怕	pʰo3	2可怕個
怕	pʰo1	3怕來死
怛	tʰæ̃5	
思	sɿ1	
怠	de4	1怠慢
怠	de6	2懈怠
急	ciʔ7	
性	siŋ5	
怨	iø̃5	
怪	kuɑ5	
怪	kuɑ1	擬聲詞,結怪結怪
恃	zɿ4	
恍	huɒŋ1	
恐	kʰoŋ3	1
恐	kʰuŋ3	2恐怕
恆	ɦʌŋ2	
恕	sʮ5	
恤	siʔ7	
耻	tsʰɿ3	
恨	ŋ̍6	1
恨	ɦʌŋ6	2
恨	ŋ̍5	3可恨
恨	hʌn5	4悔恨
恩	ʌn1	1恩典
恩	ʌŋ1	2恩典
恭	kuŋ1	恭喜恭喜
息	siʔ7	
恰	hæʔ7	1恰好
恰	kʰæʔ7	2恰恰到
恰	ɦæʔ8	3恰得
悁	mɔ6	
悄	tsʰiɔ3	
悦	iøʔ7	
悔	hue5	
悖	be6	
悞	ŋu6	1躭悞
悞	u5	2躭悞;原作û韻
悠	ɦiɤ2	
患	ɦuæ̃6	
悲	pe1	
悴	zʮe6	
悶	mʌn6	1氣悶
悶	mʌn2	2發悶
情	ziŋ2	1
情	dziŋ2	2
情	dziŋ6	3情願
惆	tsɤ1	苦惆惆
惑	ɦuoʔ8	1迷惑
惑	ɦoʔ8	2疑疑惑惑
惛	huʌn1	
惜	siʔ7	
惟	vi2	1惟獨
惟	vi6	2惟獨
惠	ɦue6	1恩惠
惠	ue5	2恩惠
惡	ɒk7	1兇惡
惡	ɒʔ7	2惡事
惡	u5	3可惡
惡	ɦu6	4可惡
惰	du6	
惱	nɔ4	1煩惱
惱	nɔ6	2煩惱
想	siɑŋ3	1
想	siɑŋ5	2
惹	zɑ4	
惻	tsʰʌʔ7	
愁	dzɤ2	
愆	cʰiẽ1	
愈	y3	
意	i5	
愚	ɲy2	
愛	e5	1愛慕
愛	e1	2愛惜
感	kẽ3	
愧	kue5	
慎	zʌn6	1
慎	zʌŋ6	2
慎	zʌn2	3
慄	liʔ8	
慇	iʌn1	
慈	dzɿ2	
慌	huɒŋ1	
慕	mu6	
慘	tsʰẽ3	
慚	zæ̃2	
慟	duŋ6	
慢	mæ̃6	
慣	kuæ̃5	1習慣
慣	kʏ̃5	2作慣
慧	ɦue6	1智慧
慧	ue5	2智慧
慮	ly6	
慰	ɦue6	1
慰	ue5	2
慶	cʰiʌŋ5	1
慶	cʰiʌŋ1	2慶賀
慾	ioʔ7	
憂	iɤ1	
憎	tsʌŋ1	
憐	liẽ2	
憑	biŋ2	
憔	ziɔ2	
憦	lɔ6	
懂	toŋ3	1
懂	tuŋ3	2
懂	tɒŋ3	3
懇	kʰʌn3	1懇切
懇	kʰʌn1	2懇切
懈	ie5	懈怠
應	iʌŋ1	1應該
應	iʌŋ5	2照應
應	ɦiʌŋ6	3呌勿應
懊	ɔ3	
懦	nu2	
懴	tsʰẽ1	
懶	læ̃4	1懶惰
懶	læ̃2	2懶惰
懷	ɦuæ̃2	懷胎
懸	iø̃1	1
懸	yẽ1	2
懺	tsʰæ̃1	
懼	ɟy6	
戈	kʰu1	1干戈
戈	ku5	2干戈
戌	siʔ7	
成	zʌŋ2	1成功
成	zʌn2	2
成	dzʌŋ2	3成功
我	ŋu4	
戒	kɑ5	
或	ɦuoʔ8	1
或	ɦuɒʔ8	2倘或
戚	tsʰiʔ7	1無親無戚
戚	tsʰiʌʔ7	2無親無戚
截	ziʔ8	
戰	tsẽ5	
戲	ɕi5	
戴	tɑ5	1
戴	te5	2不共戴天
户	ɦu6	1鋪戶
户	ɦu2	2戶堂
戾	li6	
房	vɒŋ2	1房子
房	ɦuɒŋ2	2房子
所	su3	1所在
所	so3	2所以
所	sʮ3	3所在
所	sy1	4啥所
所	sʮe1	5啥所
扁	piẽ3	
扇	sẽ5	
手	sɤ3	
才	ze2	1秀才
才	dze2	2口才
打	tɑŋ3	1打開
打	tɑŋ5	2打開
打	tɑ3	3
托	tʰɒk7	1
托	tʰɒʔ7	2
扛	kɒŋ1	
扣	kʰɤ5	
扭	ɲiɤ4	
扮	pæ̃5	
扯	tsʰɑ1	
扳	pæ̃1	
扶	vu2	
找	tsɔ3	
承	zʌŋ2	1承認
承	dzʌŋ2	2奉承
技	ɟi4	1技巧
技	ɟi6	2技藝
抄	tsʰɔ1	
把	po3	1量詞
把	po1	2第把雨傘
抓	tsɔ3	
投	dɤ2	
抖	tɤ3	
抗	kʰɒŋ5	
折	tsəʔ7	1
折	zəʔ8	2
抛	pʰɔ1	
抱	bɔ4	1抱進抱出
抱	bɔ6	2抱住
抱	bɔ2	3抱怨
抵	ti3	
抹	məʔ8	
押	æʔ7	
抽	tsʰɤ1	
拂	fæʔ7	
擔	tæ̃1	1担過來
擔	tæ̃5	2二十担泥
拆	tsʰɑk7	1拆開來
拆	tsʰɑʔ7	2拆開來
拇	mu4	
拈	ɲiẽ2	
拉	lɑ1	
拉	lɑ4	1
拉	lɑ2	2
拍	pʰɑʔ7	
拐	kuɑ3	1拐子
拐	kuɑ5	2拐子
拐	kuɑ1	3釋義爲“kidnap”
拒	ɟy6	
拔	bæʔ8	
拕	tʰu1	
拖	tʰu1	
拗	ɔ5	1拗強
拗	ɔ3	2拗強
拗	ɔ1	3拗强
拘	cy1	
拙	tsəʔ7	
拚	pʰiŋ1	1拚命
拚	pʰiŋ3	2拚命
招	tsɔ1	
拜	pɑ5	1禮拜
拜	pe5	2
括	kuæʔ7	
拭	sʌʔ7	
拮	ɡæʔ8	擠咾拮,釋義爲“press {upon}”
拯	tsʌŋ3	1
拯	tsʌŋ5	2
拱	kuŋ1	
拳	ɟiø̃2	
拷	kʰɔ1	
拾	ziʔ8	
拿	nɔ1	1拿來
拿	no1	2拿去
持	dzɿ2	1
持	zɿ2	2
指	tsɿ3	1
指	tsɿ1	2指甲
按	ø̃5	1按察司
按	ø̃1	2按察
挑	tʰiɔ1	
挖	uæʔ7	
挨	ɑ1	
挪	no2	
挬	bəʔ8	1挬轉
挬	pəʔ7	2挬轉
挽	ɦuæ̃4	1
挽	uæ̃3	2
挾	ɡæʔ8	
捆	kʰʌn3	
捉	tsɒʔ7	
捌	pæʔ7	
捍	hø̃5	
捏	ɲiæʔ8	
捐	ciø̃1	1
捐	ciø̃5	2
捕	bu6	
捧	fuŋ3	
捨	so3	1
捨	so5	2
捺	næʔ8	
捻	ɲiæ̃4	1
捻	ɲiẽ6	2
捻	ɲiẽ2	3
掃	sɔ3	
掇	tøʔ7	
掉	diɔ6	
掌	tsɑŋ3	
排	bɑ2	
掘	ɟiøʔ8	
掛	kuo5	
掠	liɑʔ8	
採	tsʰe3	
探	tʰẽ5	1
探	tʰẽ3	2
探	tʰẽ	3
接	tsiʔ7	
控	kʰuŋ1	
推	tʰe1	1
推	tʰe5	2
掩	ɦiẽ4	
掮	ɟiẽ2	
揀	kæ̃3	
揆	kʰue1	
描	miɔ2	
提	di2	
揖	iʔ7	
揚	ɦiɑŋ2	1
揚	iɑŋ1	2
換	ɦuẽ6	1調換
換	uẽ5	2
揩	kʰɑ1	
揪	tsʰiɤ1	
揮	hue1	
揷	tsʰæʔ7	
搵	uʌn5	
損	sʌn3	1
損	sʌŋ3	2
搓	tsʰo1	
搔	tsɔ1	
摇	ɦiɔ2	1
摇	iɔ1	2
搧	sẽ5	
搨	tʰæʔ7	
搬	pẽ1	
搭	ɗæʔ7	1第搭,表示“這裏”
搭	tæʔ7	2第搭,表示“這裏”
搶	tsʰiɑŋ3	
搶	tsʰiɑŋ1	搶水,表示“混合”義
搿	ɡəʔ8	
摘	tsʌʔ7	
摜	ɡuæ̃6	
摧	tsʰʮe1	
摩	mo2	1
摩	mu2	2
摳	kʰɤ1	
摸	mɑʔ8	1約摸
摸	moʔ8	2摸着
摺	tsəʔ7	
撇	pʰiʔ7	
撑	tsʰɑŋ1	
撒	sæʔ7	1
撒	sɑʔ7	表示“眨眼”
撓	nɔ4	
撕	sɿ1	
撞	zɒŋ6	1
撞	dzɒŋ6	2
撣	tø̃3	1原作“摣”
撣	tø̃1	2原作“摣”
撤	tsʰəʔ7	
撥	pəʔ7	
撫	fu3	
播	pu5	
撲	pʰoʔ7	
撼	hẽ1	搖撼
擁	iuŋ1	
擄	lu4	
擇	dzʌʔ8	
擋	tɒŋ3	1阻擋
擋	tɒŋ5	2抵擋
擋	tɒŋ1	3抵擋
操	tsʰɔ1	
擎	ɟiʌŋ2	
擒	ɟiʌn2	
據	cy5	
擠	tsi3	1
擠	tsi1	2
擡	de2	
擣	dɔ4	1擣米
擣	dɔ2	2
擬	tiŋ1	
擬	toŋ1	
擬	ɲi4	
擬	piʔ7	
擰	ɲiʌŋ2	
擱	kɒʔ7	
擺	pɑ3	
擻	sɤ3	
擾	zɔ4	
攀	pʰæ̃1	
攏	loŋ4	1
攏	luŋ4	2
攏	luŋ2	3盤攏
攔	læ̃2	
攔	læʔ8	
攙	tsʰæ̃1	
攛	tsʰø̃1	
攝	səʔ7	
攢	tsʏ̃1	
攤	tʰæ̃1	
攩	tɒŋ3	
攪	kɔ3	1攪動
攪	ciɔ3	2攪動;另有作“擱”
攪	kɔ5	3攪動
攪	ciɔ5	4攪動
支	tsɿ1	
收	sɤ1	
改	ke3	1改正
改	ke1	2更改
攻	koŋ1	1
攻	kuŋ1	2
放	fɒŋ5	1放心
放	fɒŋ1	2
政	tsʌŋ5	1
政	tsʌŋ1	2
故	ku5	
效	ɦiɔ6	1
效	iɔ5	2
教	ciɔ5	1教訓
教	kɔ5	2敎書
教	ciɔ5	慢慢敎
救	ciɤ5	
敗	bɑ6	1打敗
敗	bɑ2	2敗子,表示“敗家子”
敝	bi6	1敝國
敝	bi2	2敝姓
敢	kẽ3	
散	sæ̃3	1
散	sæ̃5	2
散	sæ̃1	3散開來
敬	ciʌŋ5	
敲	kʰɔ1	
整	tsʌŋ3	1
整	tsʌŋ5	2
敵	diʔ8	
數	su5	
斂	liẽ4	
文	vʌn2	
斑	pæ̃1	
斗	tɤ3	
料	liɔ6	
斜	ziɑ2	1歪斜
斜	ziɑ6	2歪斜
斟	tsʌn1	1
斟	tsʌŋ1	2
斤	ciʌn1	
斧	fu3	
斬	tsæ̃3	兩版n均未斜
斯	sɿ1	
新	sin1	1
新	siŋ1	2
斷	dø̃4	1斷絕
斷	dø̃6	2斷氣
斷	dø̃2	3斷絕
斷	ɗø̃5	4
斷	tø̃5	5決斷
方	fɒŋ1	1地方
方	fɑŋ1	2
於	y1	1
於	ɦy2	2
施	sɿ1	
旁	bɒŋ2	1旁邊
旁	bɑŋ2	2肋旁骨
旅	ly4	
旋	ziẽ2	1旋轉
旋	ziẽ6	2旋轉
旌	tsiŋ1	
族	zok8	1族譜
族	zoʔ8	2族長
族	dzoʔ8	3宗族
旗	ɟi2	1
旗	dʑi2	2
旣	ci5	
日	ɲiʔ8	1
日	zəʔ8	2
旨	tsɿ3	1
旨	tsɿ5	2
早	tsɔ3	
旬	ziŋ2	
旱	ɦø̃6	
旺	ɦiɒŋ6	1
旺	ɦuɒŋ6	2興旺
旺	uɒŋ5	3興旺
昆	kʰuʌn1	
昌	tsʰɑŋ1	
明	miŋ2	
昏	huʌn1	
易	ɦi6	1
易	ɦiʌʔ8	2
易	i5	3
星	siŋ1	
春	tsʰʌn1	1
春	tsʰʌŋ1	2
昧	me6	
昨	zɒk8	1昨日
昨	zɒʔ8	2昨日
昨	dzɒʔ8	3昨日
昨	zoʔ8	4昨日
是	zɿ4	1
是	zɿ6	2
是	zɿ2	3
時	zɿ2	
晃	kuɒŋ3	亮晃晃
曬	so1	
晚	æ̃5	
晝	tsɤ5	
晦	hue5	
普	pʰu3	
景	ciʌŋ3	
晱	ɕiẽ3	㬦晱,表示“閃電”
晴	ziŋ2	
晶	tsiŋ1	
晷	kue3	1
晷	kue5	2
智	tsɿ5	
晾	lɒŋ6	
暈	yn5	
暉	hue1	
暑	sʮ3	
暖	nø̃4	
暗	ẽ5	
暢	tsʰɑŋ5	
暫	dzæ̃6	
暮	mu6	
暴	bɔ6	1暴風
暴	pɔ5	2暴風
曆	liʔ8	
曉	çiɔ3	1
曉	ɕiɔ3	2
曲	cʰioʔ7	1
曲	tɕʰioʔ7	2
更	kɑŋ1	1更改
更	kʌŋ5	2更加
更	kʌŋ1	3更遠
書	sʮ1	
曼	mæ̃6	
曾	zʌŋ2	
替	tʰi5	
最	tsʮe5	
會	ɦue6	1
會	ɦue2	2
會	ue5	3機會
月	ɲiøʔ8	1月亮
月	ɦiøʔ8	2日月星辰
月	iøʔ7	3
月	yəʔ7	4月季花
有	ɦiɤ4	1
有	iɤ3	2
有	iɤ5	3
朋	bɑŋ2	1
朋	bʌŋ2	2
服	vok8	1服毒
服	voʔ8	2服毒
朔	soʔ7	
朗	lɒŋ6	
望	mɒŋ6	1
望	vɒŋ6	2
朝	tsɔ1	1今朝
朝	zɔ2	2周朝
朝	dzɔ2	3朝代
期	ɟi2	
朦	muŋ2	
木	mok8	1木彫
木	moʔ8	2木頭
木	mɒk8	3
未	mi6	1
未	vi6	2
未	vi2	3
未	mi2	4
末	məʔ8	
本	pʌn3	1曆本
本	pʌn1	2翻本
朱	tsʮ1	
朶	tu3	1耳朵
朶	tu1	2耳朵套
朶	to1	3耳朵
朽	ɕiɤ3	
朿	tsəʔ7	
杆	kø̃1	1
杆	kʏ̃1	2
杆	kʏ̃1	孛相杆
李	li4	
杏	ɦɑŋ4	
材	ze2	1棺材
材	dze2	2材料
村	tsʰʌn1	1村莊
村	tsʰʌn5	2村莊
杓	zɑʔ8	1執杓,釋義爲“ladle”
杓	zɒk8	2
杓	zɒʔ8	3執杓,釋義爲“spoon”
杖	dzɑŋ4	1
杖	dzɑŋ6	2
束	sok7	1束脩
束	soʔ7	2束腰帶
杠	kɒŋ1	
杭	ɦɒŋ2	
杯	pe1	
東	toŋ1	1東面
東	tuŋ1	2東方
東	tʌŋ1	3東西南北中
杴	cʰiẽ1	
杵	tsʰʮ3	
杷	bo2	1
杷	po1	2尾杷
杻	ɲiɤ4	
松	soŋ1	1松樹
松	suŋ1	2
板	pæ̃3	1印板
板	pæ̃3	副詞,表示“一定”
板	pæ̃1	推板,表示“相差”
枇	bi2	
枉	uɒŋ3	
枕	tsʌn3	
林	liŋ2	
果	ku3	
枝	tsɿ1	1
枝	sɿ3	2枝條子shoot
枯	kʰu1	1
枯	kʰu5	2枯槁
架	kɑ5	1告假
架	kɑ1	2
枷	kɑ1	
柄	piŋ3	1話柄
柄	piŋ5	2話柄
柏	pɑʔ7	
某	mɤ4	1
某	mɤ2	2
柑	kẽ1	
染	ɲiẽ4	1
染	zẽ4	2
染	zẽ6	3
染	zẽ2	4沾染
柔	zɤ2	
柚	iɤ1	1柚子
柚	ziɤ2	2柚皮
查	dzo2	
柱	dzʮ6	1
柱	zʮ6	2
柳	liɤ4	1柳條
柳	liɤ2	2柳條布
柴	zɑ2	1稻柴
柴	dze2	2柴門
栅	sɑʔ7	1櫊柵
栅	tsʰɑʔ7	2柵欄
柿	zɿ2	
栗	liʔ8	
校	ciɔ5	
栲	kʰɔ3	
核	ɦuoʔ8	釋義爲“seed {stone of fruit}”
根	kʌn1	
格	kɑk7	1格子
格	kɑʔ7	2格子
格	kʌʔ7	3格外
栽	tse1	
桂	kue5	1桂花
桂	kue1	2桂花
桃	dɔ2	
桅	ɦue2	
案	ø̃5	
桌	tsɒʔ7	
桐	doŋ2	1
桐	duŋ2	2
桑	sɒŋ1	
桓	ɦuẽ2	
桕	ɟiɤ4	
桶	doŋ4	1
桶	duŋ4	2
桹	lɒŋ2	
梁	liɑŋ2	
梅	me2	1楊梅
梅	me6	2楊梅瘡
梗	kɑŋ3	
條	diɔ2	
梢	sɔ1	
梧	ŋu2	
梨	li2	
梭	su1	
梯	tʰi1	
梳	sɿ1	1
梳	su1	2
梵	væ̃2	
棄	cʰi5	1
棄	tɕʰi5	2
棄	tɕʰi1	3
棉	miẽ2	
棋	ɟi2	
棍	kuʌn3	1棍子
棍	kuʌn1	2光棍
棒	bɒŋ6	1靠棒,釋義爲“reliance {that on which we rely}”
棒	bɒŋ2	2杖阿棒,釋義爲“staff”
棕	tsoŋ1	
棗	tsɔ3	
棘	ciʌʔ7	
棚	bɑŋ2	
棧	dzæ̃4	
棵	kʰu1	原作“科”
棺	kuẽ1	
棼	ɟiʌn2	
椅	i3	1
椅	y5	2
椏	ɔ1	
椒	tsiɔ1	
楊	iɑŋ1	
楓	fuŋ1	
楚	tsʰu3	
楜	ɦu2	
榆	y1	
楣	me2	
業	ɲiʔ8	
極	ɟiʌʔ8	
榔	lɒŋ2	1檳榔
榔	lɒŋ4	2榔頭
榕	iuŋ1	
榜	pɒŋ3	
榫	tsʌn1	鐵榫,木榫
榮	ɦioŋ2	
榴	liɤ2	
槁	kɔ1	
槨	kuɒk7	
槪	ke5	1大槪
槪	ke1	2大槪
槳	tsiɑŋ3	1
槳	tsiɑŋ5	2
槽	zɔ2	
槾	mæ̃2	
樁	tsɒŋ1	
樂	lɒk8	1
樂	lɒʔ8	2快樂
樂	loʔ8	3同苦同樂
樂	iɑʔ7	4音樂
樑	liɑŋ2	
樓	lɤ2	
標	piɔ1	
樞	cʰy1	1樞紐
樞	tɕʰy1	2樞紐
樟	tsɒŋ1	
模	mu2	
樣	ɦiɑŋ6	1
樣	iɑŋ5	2
樣	iɑŋ1	3
樸	pʰoʔ7	1樸實
樸	poʔ7	2樸實
樹	zʮ6	1
樹	zʮ2	2樹木
橄	kæ̃1	
橋	ɟiɔ2	1
橋	ɟiɔ6	2
橘	ciøʔ7	
機	ci1	1機會
機	ci3	2機會
橡	siɑŋ5	
橫	ɦuɑŋ2	1橫做豎做
橫	ɦuɒŋ2	2橫白豎眼
檀	dæ̃2	
檔	tɒŋ5	
檢	ciẽ3	
檣	dziɑŋ2	1
檣	ziɑŋ2	2
檳	piŋ1	
檻	kʰæ̃3	1機檻
檻	kʰæ̃1	2機檻
櫃	kue5	
櫊	kɒʔ7	
櫓	lu4	
櫥	zʮ2	
櫻	ɑŋ1	1
櫻	iŋ1	2
欄	læ̃2	
權	ɟiø̃2	
欖	læ̃2	
欠	cʰiẽ5	1
欠	cʰiẽ3	2
欠	cʰiẽ1	3
次	tsʰɿ5	
欲	ɦioʔ8	
欵	kʰuẽ3	1欵待
欵	kʰuẽ1	2欵待
欺	cʰi1	
欺	tɕʰi1	2
欽	cʰiʌn1	1
欽	cʰiʌŋ1	2
歇	çiʔ7	1
歇	ɕiʔ7	2
歌	ku1	
歐	ɤ1	
歡	huẽ1	
止	tsɿ3	
正	tsʌŋ5	1
正	tsʌŋ1	2正夫人
此	tsʰɿ3	1此地
此	tsʰɿ5	2此地
步	bu6	
武	vu4	1
武	vu2	2武彝茶
歪	huɑ1	
歲	sʮe5	
歷	liʔ8	來歷
歷	liʔ8	擬聲詞,歷歷碌碌
歸	cy1	1
歸	kue1	2
歸	cy5	3
歹	te3	
死	si3	1
死	si5	2該死
死	sɿ3	3
殀	iɔ1	
殃	iɑŋ1	
殘	dzæ̃2	
殯	piŋ1	
段	dø̃6	1一段
段	dø̃2	2
殺	sæʔ7	
殼	kʰɒʔ7	1
殼	kʰoʔ7	2
殿	diẽ6	
毁	hue3	1毀謗
毁	hue5	2毀謗
母	mu2	1姨母
母	mu4	2母親
每	me4	1
每	me2	2
毒	dok8	1毒瘡
毒	doʔ8	2毒藥
比	pi3	
毛	mɔ2	
毡	tsẽ1	
毫	ɦɔ2	
毬	ɟiɤ2	
毯	tæ̃1	皮毯
氈	tsẽ1	
氏	zɿ4	
氐	ti3	
民	miŋ2	
氣	e1	
氣	ɔ1	
氣	ɲi2	
氣	ɦie4	
氣	cʰi5	
氣	ɔ5	
水	sɿ3	1
水	sɿ5	2水溝
水	sʮe3	3
水	sʮi3	4金木水火土
水	sɿ1	5水漬
永	ɦiuŋ4	1永遠
永	iuŋ3	2永遠
永	iʌŋ3	3永生
氾	fæ̃5	
汁	tsəʔ7	
求	ɟiɤ2	
汆	tʰʌŋ3	
汎	fæ̃5	
汗	ɦø̃6	
江	kɒŋ1	1
江	ciɑŋ1	2江山
江	kɒŋ3	3
江	ciɑŋ3	4
池	dzɿ2	
污	u1	1
污	ɦu2	2
汪	uɒŋ1	
決	ciøʔ7	
沈	sʌn5	
沉	dzʌn2	1沉殺
沉	zʌŋ2	2沉殺
沌	dʌn2	混沌
没	məʔ8	1
没	mʌʔ8	2
沙	so1	
沫	məʔ8	
河	ɦu2	
油	ɦiɤ2	1
油	ɦiɤ6	2
治	dzɿ6	1
治	dzɿ2	2
沾	tsẽ1	
沿	ɦiẽ2	
况	huɒŋ5	1況且
况	huɒŋ3	2況且
泉	ziẽ2	1
泉	dziẽ2	2
法	fæʔ7	
泡	pʰɔ1	1膿泡
泡	pʰɔ5	2
波	pu1	
泥	ɲi2	
注	tsʮ3	1
注	tsʮ5	2
泮	pʰẽ5	
泰	tʰe5	
洋	ɦiɑŋ2	1
洋	iɑŋ1	2
洋	iɑŋ5	3
洒	sɑ3	
洗	si3	1
洗	siẽ3	2洗浴
洞	doŋ4	1洞庭山
洞	duŋ6	2山洞
洞	doŋ2	暗洞洞
洩	siʔ7	
洪	ɦuŋ2	
洲	tsɤ1	
活	ɦuəʔ8	1
活	uəʔ7	2快活
洽	ɦiæʔ8	
派	pʰɑ5	1派出來
派	pʰɑ1	2派出來
流	liɤ2	
浜	pɑŋ1	擬聲詞,兵兵浜浜
浦	pʰu5	
浪	lɒŋ6	1浪費
浪	lɒŋ2	2浪費
浮	vɤ2	
浴	ioʔ7	
海	he3	
浸	tsiŋ5	1
浸	tsiŋ1	2
消	siɔ1	
消	siɔ5	2
涉	zəʔ8	
涎	dzæ̃2	
涼	liɑŋ2	
淋	liŋ2	
淘	dɔ2	
淚	li6	1眼淚
淚	le6	2搨淚
淚	le2	3流淚
淞	soŋ1	
淡	dæ̃4	1淡薄
淡	dæ̃6	2淡薄
淡	dæ̃2	3
淨	ziŋ4	1乾淨
淨	ziŋ6	2乾淨
淨	ziŋ2	3淨浴
淪	lʌn2	
淫	iʌn1	1邪淫
淫	iʌŋ1	2姦淫
深	sʌn1	
混	huʌn3	1混雜
混	ʌn3	2混雜
清	tsʰiŋ1	
淹	ɦiẽ2	
淺	tsʰiẽ3	
添	tʰiẽ1	
