#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪,地名
帽	mou6	
幅	fək7a	
幌	fɔŋ2	
幔	mɑn6	
幕	mɔk8	
幟	tsʰi1	
幢	tsʰɔŋ4	幡幢
幢	təŋ6	一幢樓
幢	hɔŋ4	海幢寺
幣	pɑi6	
幫	pɔŋ1	
干	kun1	
平	pʰiɑŋ4	便宜;平嶺,地名
平	pʰɪŋ4	
年	nin4	
并	pɪŋ6	
幸	hɑŋ6	
幹	kun1	
幻	ʋɑn6	
幼	jɜu1	
幽	jɜu1	
幾	kei1	幾乎
幾	kei2	幾個
广	ŋim2	
庄	tsɔŋ1	
庇	pei1	
牀	tsʰɔŋ4	
序	tsui6	
底	tɑi2	
店	tim1	
庚	kɑŋ1	
府	fu2	
庠	tsʰɔŋ4	
度	tɜu6	度量衡
度	tɔk8	量度
座	tsuɔ6	
庫	fu1	
庭	hɪŋ4	
庵	ʔɑm2	茶庵
庶	si1	
康	hɔŋ1	
庸	jəŋ4	
廁	tsʰi1	
廁	si1	老派
廂	siøŋ1	
厦	hɑ6	
廉	lim4	
廊	lɔŋ4	
廓	kʰɔk7b	
廖	liu6	
廚	tsʰi4	
廚	tsʰui4	
厮	si1	
廟	miu6	
廠	tsʰɔŋ2	
廢	fei2	
廣	kɔŋ2	
廩	lɜm5	
廬	lɜu4	
廳	hiɑŋ1	
延	jin4	
廷	hɪŋ4	
建	kin1	
建	kin2	建行(建設銀行,文盲音)
廿	ŋiɑ6	
弄	nəŋ6	
弇	jim2	
弊	pɑi6	
式	sɪk7a	
弓	kəŋ1	
弔	tiu1	
引	jɜn5	
弗	fɜt7a	
弘	ʋɑŋ4	
弛	tsʰi4	
弟	tɑi6	
弦	jin4	
弧	ʋu4	
弩	nɜu5	
弱	ŋiøk8	
張	tsiøŋ1	
強	kiøŋ6	倔強
強	kʰiøŋ5	勉強
強	kʰiøŋ4	強壯
彆	pit7b	
彈	tɑn6	彈丸
彈	hɑn4	彈劾
彌	mei4	
彌	nei4	
彎	ʋɑn1	
彗	fei6	老派
彗	ʋei6	
彙	ʋui6	
形	jɪŋ4	
彤	həŋ4	
彦	ŋin6	
彩	tsʰui2	
彪	piu1	
彬	pɜn1	
彭	pʰɑŋ4	
彰	tsiøŋ1	
影	jiɑŋ2	人影,白讀
影	jɪŋ2	
彷	fɔŋ2	
彷	pʰɔŋ4	
役	jɪk8	
彼	pei2	
彿	fɜt7a	
往	ʋɔŋ5	
征	tsɪŋ1	
待	tui6	
很	hɑn2	
徉	jiøŋ4	
徊	ʋui4	
律	lɜt8	效率
後	hɑu6	
後	hɑu5	後日
徐	tsʰui4	
徑	kɪŋ1	
徒	hɜu4	
得	tɑk7a	
徘	pʰui4	
徙	sɑi2	
徜	siøŋ4	
從	tsʰəŋ4	
從	səŋ1	
從	tsəŋ6	
御	ŋi6	
徨	ʋɔŋ4	
復	fək8	復原
復	fək7a	回復
循	tsʰɜn4	
徬	pʰɔŋ4	彷徨
微	mei4	
徵	tsi2	古代五音之一
徵	tsɪŋ1	徵求
德	tɑk7a	
徹	tsʰit7b	
徽	fei1	
心	sɜm1	
心	sɜm5	變調
必	pit7a	
忌	kei6	
忍	ŋɜn5	
忐	hɑn2	
忑	hɪk7a	
忒	hɪk7a	
忖	tsʰɜn2	
志	tsi1	
忘	mɔŋ4	
忙	mɔŋ4	
忠	tsəŋ1	
忡	tsʰəŋ1	
忪	səŋ1	惺忪
忪	tsəŋ1	怔忪
快	fɑi1	
快	fɑi2	變調
忱	sɜm4	
念	nim6	
忽	fɜt7a	
忿	fɜn6	
怎	tsɜm2	
怒	nɜu6	
怔	tsɪŋ1	
怕	pʰɑ1	
怖	pɜu1	
思	si1	
思	sui1	于思
怠	tui6	
怡	ji4	
急	kɜp7a	
性	sɪŋ1	
怨	jin1	
怪	kuɑi1	
怯	hip7b	
怵	tsɜt7a	
恁	nɪŋ4	
恁	ŋɜm6	
恃	si6	
恆	hɑŋ4	
恍	fɔŋ2	
恐	həŋ2	
恕	si1	
恢	fui1	
恣	tsi1	恣意
恤	sɜt7a	
耻	tsʰi2	
恨	hɑn6	
恩	jɜn1	
恬	him4	
恭	kəŋ1	
息	sɪk7a	
恰	hɑp7a	
恿	jəŋ2	
悄	tsʰiu2	
悦	jit8	
悉	sɪk7a	
悍	hun6	
悔	fui2	
悖	pui1	
悖	pui6	
悚	səŋ2	
悟	m̩6	
悠	jɜu4	
患	ʋɑn6	
您	nei1	
悱	fei2	
悲	pei1	
悴	sui6	
悵	tsʰiøŋ1	
悶	mun6	
悸	kuei1	
悼	tou6	
悽	tsʰɑi1	
情	tsʰiɑŋ4	情願,白讀
情	tsʰɪŋ4	
惆	tsʰɜu4	
惋	ʋun2	
惑	ʋɑk8	
惕	hɪk7a	
惘	mɔŋ2	
惚	fɜt7a	
惜	tsʰiɑk7b	疼愛,白讀
惜	siɑk7b	疼愛,白讀
惜	sɪk7a	
惟	ʋei4	
惠	fei6	老派
惠	ʋei6	
惡	ʋu1	可惡
惡	ʔɔk7a	
惡	ʔɔk7b	惡毒
惦	tim1	
惰	tuɔ6	
惱	nou2	
想	siøŋ2	
惴	tsui1	
惶	ʋɔŋ4	
惹	ŋiɑ5	
惺	sɪŋ1	
惻	tsʰɑk7b	
愁	sɑu4	
愈	ji6	
愉	ji4	
意	ji1	
愕	ŋɔk8	
愚	ŋi4	
愛	ʔui1	
愜	hip7b	
感	kɑm2	
愣	lɪŋ6	
愧	kʰuei1	
愴	tsʰɔŋ1	
愾	kʰui1	
慄	lɜt8	
慈	tsʰi4	
態	hɑi1	
慌	fɔŋ1	
慎	sɜn6	
慕	mɜu6	
慘	tsʰɑm2	
慚	tsʰɑm4	
慢	mɑn6	
慣	kuɑn1	
慧	fei6	老派
慧	ʋei6	
慨	kʰui1	
慫	səŋ2	
慮	lui6	
慰	ʋei1	
慶	hɪŋ1	
慷	hɔŋ2	
慾	jək8	
憂	jɜu1	
憊	pei6	
憎	tsɑŋ1	
憐	lin4	
憑	pʰɑŋ4	
憔	tsʰiu4	
憚	tɑn6	
憤	fɜn6	
憧	tsʰəŋ2	
憨	hɑm1	
憩	hei1	
憫	mɜn5	
憫	mɜn2	
憬	kɪŋ2	
憲	hin1	
憶	jɪk7a	
憾	hɑm6	
懂	təŋ2	
懇	hɑn2	
懇	kʰɑn2	做事勤懇
懈	hɑi6	
應	jɪŋ1	
懊	ʔou1	
懍	lɜm5	
懦	nuɔ6	
懲	tsʰɪŋ4	
懵	məŋ2	
懶	lɑn5	
懷	ʋɑi4	
懸	jin4	
懼	kui6	
懾	sip7b	
懿	ji1	
戀	lin2	
戈	kuɔ1	
戊	mɜu6	
戌	sɜt7a	
成	siɑŋ4	白讀
成	sɪŋ4	
我	ŋuɔ1	
我	ŋuɔ5	文讀
戒	kɑi1	
戕	tsʰiøŋ4	
或	ʋɑk8	
戚	tsʰɪk7a	
截	tsit8	
戰	tsin1	
戲	hei1	
戳	tsʰɔk7b	
戴	tɑi1	
户	fu6	老派
户	ʋu6	
戾	lui6	
房	fɑŋ5	變調
房	fɔŋ4	
所	suɔ2	
扁	pin2	扁平
扁	pʰin1	一葉扁舟
扇	sin1	
扈	ʋu6	
扉	fei1	
手	sɜu2	
才	tsʰui4	
扎	tsɑt7b	
扒	pʰɑ5	扒飯
扒	pʰɑ4	豬扒
打	tɑ2	
扔	ʋɪŋ2	
托	hɔk7b	
扛	kɔŋ1	遞送、拿
扣	kʰɑu1	
扭	nɑu2	
扮	pɑn6	
扯	tsʰi2	
扯	tsʰiɑ2	
扶	fu4	
批	pʰɑi1	
扼	ʔɑk7a	
找	tsɑu2	
承	sɪŋ4	
技	kei6	
抄	tsʰɑu1	
抄	tsʰɑu2	
抉	kʰit7b	
把	pɑ2	
抑	jɪk7a	
抒	si1	
抓	tsɑu2	
投	hɑu4	
抖	tɑu2	
抗	kʰɔŋ1	
折	sit8	折本
折	tsit7b	
披	pʰei1	
抬	hui4	
抱	pʰou1	擁抱
抱	pʰou2	抱住
抵	tɑi2	
抹	mɑt7b	抹檯
抹	mut7b	
押	ʔɑt7b	
抽	tsʰɑu1	
拂	fɜt7a	
拄	tsi2	
拆	tsʰɑk7b	
拇	mɜu5	
拈	nim1	拈花惹草
拈	nim2	拈線
拉	lɑi1	
抛	pʰɑu1	
拌	pun6	
拍	pʰɑk7b	
拎	lɪŋ1	
拐	kuɑi2	
拑	kʰim4	
拒	kʰui5	
拓	tɑp8	拓本
拓	hɔk7b	
拔	pɑt8	
拖	huɔ1	
拘	kʰui1	
拙	tsit7b	骨折
拚	pʰun1	
招	tsiu1	
拜	pɑi1	
括	kʰut7a	
拭	sɪk7a	
拮	kit7b	
拯	tsʰɪŋ2	
拱	kəŋ2	
拳	kʰin4	
拴	tsʰin4	
拴	sɑn1	
拷	hɑu1	
拼	pʰɪŋ1	
拾	sɜp8	
拿	nɑ4	
持	tsʰi4	
指	tsi2	
按	ʔun1	
挑	hiu1	挑水
挑	hou1	挑達
挖	ʋɑt7b	
挨	ŋɑi4	
挪	nuɔ4	
挫	tsʰuɔ1	
振	tsɜn1	
挺	hɪŋ1	
挽	ʋɑn5	
挾	hip7b	
捆	kʰuɜn2	
捉	tsək7a	
捉	tsɔk7a	
捌	pɑt7b	
捏	nip8	
捐	kin1	
捕	pɜu6	
捧	pʰəŋ2	
捨	siɑ2	
捩	lɑi6	
捩	lit8	捩手
据	kui1	
捱	ŋɑi4	
捲	kin2	
捷	tsit8	
捺	nɑt8	
掀	hin1	
掃	sou1	
掄	lɜn4	
授	sɜu6	
掉	tiu6	
掌	tsiøŋ2	
掏	hou4	
掐	hɑp7b	
排	pʰɑi4	
掘	kuɜt8	
掙	tsɑŋ1	掙脫
掙	tsɑŋ6	掙錢
掛	kuɑ1	
掛	kʰuɑ1	
掠	liøk8	
採	tsʰui2	
探	hɑm1	
掣	tsɑi1	
接	tsip7b	
控	həŋ1	
推	tsʰui1	
掩	jim2	
措	tsʰɜu1	
掬	kək7a	
揀	kɑn2	
揆	kʰuei5	
揉	ŋɜu4	
揍	tsɑu1	
描	miu4	
提	hɑi4	
插	tsʰɑp7b	
揖	jɜp7a	
揚	ŋiøŋ4	
換	ʋun6	
揠	ʔɑt7b	
握	ʔɑk7a	
揣	tsʰin2	
揪	tsɜu1	
揭	kʰit7b	
揮	fei1	
援	ʋun4	
搆	kɑu1	
損	sɜn2	
搏	pɔk7b	
搓	tsʰuɔ1	
搔	sou1	
摇	jiu4	
搗	tou2	
搜	sɑu2	
搞	kɑu2	
搥	tsʰui4	
搧	sin1	
搬	pun1	
搭	tɑp7b	
搶	tsʰiøŋ1	
搶	tsʰiøŋ2	
摀	ʋu2	
摆	pɑi2	
摒	pɪŋ2	
摔	sɜt7a	
摘	tsɑk8	
摟	lɑu2	
摟	lɑu4	摟抱
摧	tsʰui1	
摩	muɔ1	
摯	tsi1	
摳	kʰɑu1	
摸	muɔ2	
摹	mɜu4	
摺	tsip7b	
摻	tsʰɑm1	
撅	kʰit7b	
撇	pʰit7b	
撈	lɑu1	撈麵
撈	lɑu4	打撈
撈	lɑu2	撈頭
撑	tsʰɑŋ1	
撒	sɑt7b	
撓	nɑu4	
撕	si1	
撞	tsɔŋ6	
撞	tsʰɔŋ2	白讀
撢	tɑn6	雞毛撢子
撤	tsʰit7b	
撥	put8	
撩	liu2	撩開
撩	liu4	撩動
撫	fu2	
播	puɔ1	
撮	tsʰut7b	
撰	tsɑn6	
撲	pʰɔk7b	
撼	hɑm6	
撿	kʰim2	
擁	jəŋ2	
擂	lui4	
擄	lɜu5	
擅	sin6	
擇	tsɑk8	
擊	kɪk7a	
擋	tɔŋ1	摒擋
擋	tɔŋ2	阻擋
操	tsʰou1	
擎	kʰɪŋ4	
擒	kʰɜm4	
擔	tɑm1	
據	kui1	
擠	tsɑi1	
擢	tsɔk8	
擣	tou2	
擤	sɑŋ1	
擦	tsʰɑt7b	
擬	ŋi5	
擱	kɔk7b	
擲	tsɑk8	
擴	kʰɔŋ1	
擺	pɑi2	
擻	sɑu1	擻火
擻	sɑu2	抖擻
擾	ŋiu2	
攀	pʰɑn1	
攏	ləŋ5	
攔	lɑn4	
攘	jiøŋ5	擾攘
攘	ŋiøŋ4	攘除
攙	tsʰɑm1	
攜	kʰuei4	
攝	sip7b	
攤	hɑn1	
攪	kɑu2	
攬	lɑm2	
攬	lɑm5	
支	tsi1	
收	sɜu1	
攸	jɜu4	
改	kui2	
攻	kəŋ1	
放	fɔŋ1	
政	tsɪŋ1	
故	ku1	
效	hɑu6	
敏	mɜn5	
救	kɜu1	
敕	tsʰɪk7a	
敖	ŋou4	
敗	pɑi6	
敘	tsui6	
教	kɑu1	教室
敝	pɑi6	
敞	tsʰɔŋ2	
敢	kɑm2	
散	sɑn1	散文
散	sɑn2	散步
敦	tɜn1	
敬	kiɑŋ1	敬惜,白讀
敬	kɪŋ1	尊敬
敲	hɑu1	
敲	kʰɑu1	白讀
整	tsɪŋ2	
敵	tɪk8	
敷	fu1	
數	sɜu1	數字
數	sɜu2	數一下
數	sɔk7b	數見不鮮
斂	lim5	
斃	pɑi6	
文	mɜn4	
斐	fei2	
斑	pɑn1	
斕	lɑn4	
斗	tɑu2	
料	liu6	
斛	fək8	
斜	tsʰiɑ4	
斜	tsʰiɑ5	斜斜轉
斟	tsɜm1	
斤	kɜn1	
斥	tsʰɪk7a	
斧	fu2	
斬	tsɑm2	
斯	si1	
新	sɜn1	
斷	tun6	診斷
斷	tun6	恩斷義絕
斷	hun5	斷了
方	fɔŋ1	
於	ji1	
施	si1	
旁	pʰɔŋ4	
旅	lui5	
旋	sin4	
旋	sin6	
族	tsək8	
旗	kʰei4	
既	kei1	
日	ŋɜt8	
旦	tɑn1	
旨	tsi2	
早	tsou2	
旬	tsʰɜn4	
旭	kək7a	老派
旭	jək7a	
旱	hun5	
旺	ʋɔŋ6	
昂	ŋɔŋ4	
昆	kʰuɜn1	
昇	sɪŋ1	
昌	tsʰiøŋ1	
明	mɪŋ4	
昏	fɜn1	
易	ji6	容易
易	jɪk8	交易
昔	sɪk7a	
星	sɪŋ1	
映	jiɑŋ2	放映,白讀
映	jɪŋ2	
春	tsʰɜn1	
昧	mui6	
昨	tsɔk8	
昭	tsʰiu1	
是	si6	
昱	jək7a	
晁	tsʰiu4	
時	si2	該時、恁時,變調
時	si4	
晃	fɔŋ2	
晉	tsɜn1	
晌	hiøŋ2	
晏	ʔɑn1	
曬	sɑi1	
晚	mɑn5	
晝	tsɜu1	
晤	m̩6	
晦	fui1	
晨	sɜn4	
普	pʰɜu2	
景	kɪŋ2	
晰	sɪk7a	
晴	tsʰiɑŋ4	晴水,白讀,天放晴
晴	tsʰɪŋ4	
晶	tsɪŋ1	
晷	kuei2	
智	tsi1	
晾	lɔŋ6	
暄	hin1	
暇	hɑ6	
暈	ʋɜn4	頭暈
暈	ʋɜn6	日暈
暉	fei1	
暑	si2	
暖	nun5	
暗	ʔɑm1	
暢	tsʰiøŋ1	
暨	kʰei1	
暫	tsɑm6	
暮	mɜu6	
暱	nɑt7b	暱埋,躲藏
暱	nɪk7a	
暱	nɪk7a	暱名
暴	pək8	一暴十寒
暴	pou6	凶暴
曆	lɪk8	
曉	hiu2	
曙	si1	
曜	jiu6	
曝	pək8	
曠	kʰɔŋ1	
曦	hei1	
曰	jiøk7b	
曰	jit8	
曲	kʰək7a	
曳	jɑi6	
更	kɑŋ1	
書	si1	
曹	tsʰou4	
曼	mɑn6	
曾	tsʰɑŋ4	曾經
曾	tsɑŋ1	曾孫
替	hɑi1	
最	tsui1	
會	ʋui5	會游泳
會	ʋui6	會計
月	ŋit8	
月	ŋit9	
有	jɜu5	
有	jɜu6	十有一
朋	pʰɑŋ4	
服	fək8	
朔	sɔk7b	
朕	tsɜm6	
朗	lɔŋ5	
望	mɔŋ6	
朝	tsʰiu4	朝廷
朝	tsiu1	朝夕
朝	tsiu4	朝早
期	kei1	期年
期	kʰei4	日期
朦	məŋ4	
朧	ləŋ4	
木	mək8	
木	mək9	變調
未	mei6	
末	mut8	
本	pun2	
札	tsɑt7b	
朮	sɜt8	
朱	tsi5	
朶	tuɔ2	
朽	nɑu2	
杆	kun1	
杉	tsʰɑm1	
李	lei2	姓氏
杏	hɑŋ6	
材	tsʰui4	
村	tsʰɜn1	
村	tsʰɜn5	
杖	tsiøŋ6	
杜	tɜu6	
杞	kei2	
束	tsʰək7a	
杭	hɔŋ4	
杯	pui1	
杰	kit8	
東	təŋ1	
杳	miu5	
杵	tsʰi5	
杷	pʰɑ4	
杼	tsʰui5	
松	tsʰəŋ4	
板	pɑn2	
枇	pʰei4	
枉	ʋɔŋ2	
析	sɪk7a	
枒	ŋɑ4	
枕	tsɜm1	枕戈待旦
枕	tsɜm2	枕頭
林	lɜm4	
枚	mui4	
果	kuɔ2	
枝	tsi1	
枯	fu1	
枳	tsi2	
枴	kuɑi2	
架	kɑ1	
架	kɑ5	變調
枷	kɑ1	
枸	kɑu2	
柄	piɑŋ1	
柄	pɪŋ2	
柏	pʰɑk7a	柏樹
柏	pʰɑk7b	
某	mɑu5	
柑	kɑm1	
柒	tsʰɜt7a	
染	ŋim5	
柔	ŋɜu4	
柚	jɜu6	
柢	tɑi2	
查	tsʰɑ4	檢查
查	tsɑ1	姓查
柯	kʰuɔ1	
柯	ʔuɔ1	
柱	tsʰi5	
柱	tsʰui5	白讀
柳	lɜu5	
柴	tsʰɑi4	
栅	tsʰɑk7b	木柵
栅	sɑn1	柵極
柿	si5	
柿	si2	柿餅
栓	sɑn1	
栗	lɜt8	
校	kɑu1	校對
校	hɑu6	學校
栩	hui2	
株	tsi5	
核	hɑt8	
核	ʋɜt9	
核	ʋɜt8	
根	kɜn1	
格	kɑk9	
格	kɑk7b	
栽	tsui1	
桁	hɑŋ1	三桁瓦,地名
桁	pʰɑŋ1	三桁瓦,地名,連讀
桂	kuei1	
桃	hou4	
桅	ʋei4	
框	hɔŋ1	
案	ʔun1	
桌	tsʰiøk7a	拜桌
桌	tsʰiøk7b	
桐	həŋ4	
桑	sɔŋ1	
桓	ʋun4	
桔	kɜt7a	桔梗
桔	kʰit7b	桔柣
桕	kʰɜu1	
桶	həŋ2	
桿	kun1	
梁	liøŋ4	
梅	mui4	
梓	tsi2	
梗	kɑŋ2	
梗	kuɑŋ2	
條	hiu4	
梢	sɑu1	
梧	m̩4	
梨	lei4	
梭	suɔ1	
梯	hɑi1	
械	hɑi6	
梳	suɔ1	
梵	fɑn4	
棄	hei1	
棉	min4	
棋	kʰei4	
棍	kuɜn1	
棍	kuɜn5	變調
棒	pʰɑŋ5	
棕	tsəŋ1	
棗	tsou2	
棘	kɪk7a	
棚	pʰɑŋ4	
棟	təŋ6	
棠	hɔŋ4	
棧	tsɑn6	
森	sɜm1	
森	sɜm5	變調
棲	tsʰɑi1	
棵	fuɔ2	
棺	kun1	
椅	ji2	
植	tsɪk8	
椎	tsʰui4	鐵椎
椎	tsui1	脊椎
椏	ʔɑ1	
椒	tsiu1	
椰	jiɑ4	
楊	jiøŋ4	
楓	fəŋ1	
楔	sit7b	
楚	tsʰuɔ2	
楞	lɪŋ4	楞角
楞	lɪŋ6	發楞
楠	nɑm4	
楣	mei4	
楨	tsɪŋ1	
業	ŋip8	
極	kɪk8	
楷	kɑi1	楷書
楷	kʰɑi2	楷模
概	kʰui1	
榆	ji4	
榔	lɔŋ4	
榕	jəŋ4	
榜	pɔŋ2	
榨	tsɑ1	
榭	tsiɑ6	
榮	ʋɪŋ4	
榴	lɜu4	
榻	hɑp7b	
構	kʰɑu1	
槌	tsʰui4	
槍	tsʰiøŋ1	
槎	tsʰɑ4	
槐	ʋɑi4	
杠	kɔŋ1	
杠	kɔŋ5	變調
槳	tsiøŋ2	
槽	tsʰou4	
槿	kɜn2	
樁	tsɔŋ1	
樂	lɔk8	快樂
樂	ŋɑu6	仁者樂山
樂	ŋɔk8	音樂
樅	tsəŋ1	
樊	fɑn4	
樓	lɑu4	
標	piu1	
樞	si1	
樟	tsiøŋ1	
模	mɜu4	
樣	jiøŋ6	
樵	tsʰiu4	
樸	pʰɔk7b	
樹	si6	
樺	ʋɑ4	
橄	kɑm1	
橋	kʰiu4	
橘	kɜt7a	
橙	tsʰɑŋ4	
橛	kit8	兩橛
橛	kʰit7b	木橛子
機	kei1	
橡	tsiøŋ6	
橢	huɔ5	
橫	ʋɑŋ4	
檀	hɑn4	
檔	tɔŋ1	拍檔
檔	tɔŋ2	檔案
檜	kʰui2	
檢	kʰim2	
檬	məŋ1	
檯	hui4	
檳	pɜn1	
檸	nɪŋ5	
檻	kʰɑm5	
櫃	kuei6	
櫓	lɜu5	
櫚	lui5	
櫛	tsit7b	
櫥	tsʰi5	
櫥	tsʰui4	
櫸	kui2	
櫻	jɪŋ1	
欄	lɑn4	
權	kʰin4	
欖	lɑm2	
欖	lɑm5	
欠	him1	
次	tsʰi1	
次	si1	老派
欣	hɜn1	
欲	jək8	
欸	ʔɑi2	
欺	hei1	
欽	hɜm1	
款	fun2	
歇	kʰit7b	
歉	him1	
歌	kuɔ1	
歎	hɑn1	
歐	ʔɑu1	
歡	fun1	
止	tsi2	
正	tsiɑŋ1	好正,白讀
正	tsɪŋ1	正月
此	tsʰi2	
步	pɜu6	
武	mɜu5	
歧	kʰei4	
歪	ʋɑi1	
歲	sui1	
歷	lɪk8	
歸	kuei1	
歹	tɑi2	
死	sei2	
殃	jiøŋ1	
殆	tui6	
殉	sɜn1	
殊	si4	
殖	tsɪk8	
殘	tsʰɑn4	
殫	tɑn1	
殮	lim6	
段	tun6	
殷	jɜn1	
殺	sɑi1	殺哀
殺	sɑt7b	殺敵
殼	hɔk7b	
殿	tin6	
毁	ʋei2	
毅	ŋɑi6	
毋	mɜu4	
母	mɜu2	
母	mɜu5	
每	mui5	
毒	tək8	
比	pei2	比較
毛	mou4	
毫	hou4	
毬	kʰɜu4	
毯	hɑn2	
毽	kin1	
氈	tsin1	
氏	si6	姓氏
氏	tsi1	月氏
民	mɜn4	
氛	fɜn1	
氣	hei1	
氧	jiøŋ5	
氫	hɪŋ1	
氯	lək8	
水	sui2	
永	ʋɪŋ5	
氾	fɑn6	
汀	hɪŋ1	
汁	tsɜp7a	
求	kʰɜu4	
汐	tsɪk8	
汗	hun4	可汗
汗	hun6	流汗
汙	ʋu1	
汝	nei5	老派
汝	ŋi5	
江	kɔŋ1	
池	tsʰi4	
污	ʋu1	
汪	ʋɔŋ1	
汰	hɑi1	
汲	kɜp8	
汲	kʰɜp8	
汲	kʰɜp7a	
汴	pin6	
決	kʰit7b	
汽	hei1	
沁	sɜm1	
沂	ŋi4	
沃	jək7a	
沈	sɜm2	
沉	tsʰɜm4	
沌	tɜn6	
沏	tsʰɑi1	
沐	mək8	
没	mut8	
沓	tɑp8	
沖	tsʰəŋ1	
沙	sɑ1	
沙	sɑ5	變調
沛	pʰui1	
沫	mut8	
沮	tsui1	沮水,水名
沮	tsui1	沮洳
沮	tsui2	沮喪
沱	huɔ4	
河	huɔ4	
沸	fei1	
油	jɜu4	
治	tsi6	
沼	tsiu2	
沽	ku1	
沾	tsim1	
沿	jin4	
况	fɔŋ1	
泄	sit7b	
泉	tsʰin4	
泊	pɔk8	
泌	pei1	
法	fɑt7a	
法	fɑt7b	
泛	fɑn6	
泡	pʰɑu1	燈泡
泡	pʰɑu1	浸泡
泡	pʰou5	好多泡
波	puɔ1	
泣	hɜp7a	
泥	nɑi4	
泥	nei6	拘泥
注	tsi5	
泰	hɑi1	
泳	ʋɪŋ6	
洄	ʋui4	
洋	jiøŋ4	
洗	sɑi2	
洛	lɔk7b	
洞	təŋ6	
津	tsɜn1	
洩	jɑi6	洩洩
洩	sit7b	排洩
洪	həŋ4	
洱	nei2	
洱	nei6	
洲	tsɜu1	
洶	həŋ1	
活	ʋut8	
洽	hɑp7a	
派	pʰɑi1	
派	pʰɑi2	老派新派
流	lɜu4	
浙	tsit7b	
浞	tsɔk8	
浣	ʋun2	
浦	pʰɜu2	
浩	hou6	
浪	lɔŋ4	滄浪
浪	lɔŋ6	波浪
浪	nɔŋ6	波浪(又音)
浮	fɑu4	
浴	jək8	
海	hui2	
浸	tsɜm1	
浹	tsip7b	
涂	hɜu4	
涇	kɪŋ1	
消	siu1	
涉	sip7b	
涓	kin1	
涔	sɜm4	
涕	hɑi1	
涯	ŋɑi4	
液	jɪk8	無射
涴	jin1	
涵	hɑm4	
涸	kʰɔk7b	
涼	liøŋ4	
淅	sɪk7a	
淆	ŋɑu4	
淇	kʰei4	
淋	lɜm4	
淌	hɔŋ2	
淑	sək8	
淒	tsʰɑi1	
淘	hou4	
淙	tsəŋ1	
淚	lui6	
淡	tɑm6	冷淡
淡	hɑm5	好淡
淨	tsiɑŋ6	乾淨,白讀
淨	tsɪŋ6	
淪	lɜn4	
淫	jɜm4	
淬	sui6	
淮	ʋɑi4	
深	sɜm1	
淳	sɜn4	
淵	jin1	
混	ʋɜn6	
淹	jim1	
淺	tsʰin2	
添	him1	
清	tsʰiɑŋ1	水清,白讀
清	tsʰɪŋ1	
渙	ʋun6	
減	kɑm2	
渝	ji4	
渠	kʰui4	
渡	tɜu6	
渣	tsɑ1	
渣	tsɑ5	變調
渤	put8	
渥	ʔɑk7a	
渦	kuɔ1	渦河
渦	ʋɔ1	漩渦
測	tsʰɑk7b	
渭	ʋei6	
港	kʰɔŋ2	
渲	hin1	文盲音
渴	hut7b	
游	jɜu4	
渺	miu5	
渾	ʋɜn4	渾人,雄渾
渾	ʋɜn6	
湃	pɑi1	
湊	tsʰɑu1	
湍	tsʰun2	
湖	ʋu4	
湘	siøŋ1	
湛	tsɑm1	
湧	jəŋ2	
湯	hɔŋ1	
湲	ʋun4	
溉	kʰui1	
源	ŋin4	
準	tsɜn2	
溜	lɜu6	
溝	kʰɑu1	
溢	jɜt8	
溪	kʰɑi1	
溫	ʋɜn1	
溯	sɜu1	
溶	jəŋ4	
溺	nɪk8	溺死
溺	niu6	便溺
溼	sɜp7a	
滂	pʰɔŋ4	
滄	tsʰɔŋ1	
滅	mit8	
滋	tsi1	
滌	tɪk8	
滑	kuɜt7a	滑稽
滑	ʋɑt8	光滑
滔	hou1	
滘	kɑu1	
滬	ʋu6	
滯	tsɑi6	
滲	sɜm1	
滴	tiɑk7b	滴水,白讀
滴	tɪk8	
滷	lɜu5	
滸	ʋu2	
滚	kuɜn2	
滿	mun2	
漁	ŋi4	
漂	pʰiu1	
漆	tsʰɜt7a	
漉	lək7a	
漏	lɑu6	
漓	lei4	
演	jin2	
漠	mɔk8	
漢	hun1	
漣	lin4	
漩	sin4	
漪	ji1	
漫	mɑn6	
漬	tsi1	
漱	sɜu1	
漲	tsiøŋ1	
漳	tsiøŋ1	
漸	tsim1	漸車帷裳
漸	tsim6	逐漸
漾	jiøŋ6	
漿	tsiøŋ1	
潁	ʋɪŋ6	
潑	pʰut7b	
潔	kit7b	
潔	kit7a	
潘	pʰun1	
潛	tsʰim4	
潢	ʋɔŋ4	
潤	ŋɜn6	
潦	liu5	
潭	hɑm4	
潮	tsʰiu4	
潰	kʰui2	
潺	sɑn4	
澀	sɑp7b	
澄	tsʰɪŋ4	
澆	kiu1	
澈	tsʰit7b	
澎	pʰɑŋ4	
澗	kɑn1	
澗	kɑn2	地名,石澗
澡	tsʰou1	
澤	tsɑk8	
澱	tin6	
澳	ʔou1	
澹	tɑm6	
激	kɪk7a	
濁	tsək8	
濃	ŋəŋ4	
濕	sɜp7a	
濘	nɪŋ6	
濛	məŋ4	
濟	tsɑi1	救濟
濤	hou4	
濫	lɑm6	
濯	tsɔk8	
濱	pɜn1	
濺	tsin1	濺濺
濺	tsin6	飛濺
濾	lui6	
瀆	tək8	
瀉	siɑ1	
瀏	lɜu4	
