#漢字	音標	解釋
㞞	ɕyŋ2	(精液)
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	ma1	(~布)
抹	mə3	
抻	tsʰẽ1	
押	ia1	
抽	tsʰo1	
抿	miẽ3	
拂	fu2	
拄	pfu3	
擔	tæ̃1	
擔	tæ̃5	
拆	tsʰe1	
拇	mu3	
拉	la2	(~家常)
拉	la1	
拌	pæ̃5	
拍	pʰe1	
拎	liŋ1	
拐	kuɛ3	
拒	tɕy5	
拓	tʰuə1	
拔	pa2	
拖	tʰuə1	
拗	ɔ5	
拗	nio5	
拙	pfə1	
招	tsɔ1	
拜	pɛ5	
擬	i2	
攏	luŋ3	
揀	tɕiæ̃3	
擁	yŋ1	
攔	læ̃2	
擰	niŋ2	
撥	pə1	
擇	tse2	
括	kua3	(搜~)
括	kuə1	
拭	sɿ5	
拯	tsəŋ3	
拱	kuŋ3	
拳	tɕʰyæ̃2	
拴	fæ̃1	
拷	kʰɔ3	
拼	pʰiẽ1	
拽	pfɛ1	
拽	pfɛ5	
拾	sɿ2	
拿	na2	
持	tsʰɿ3	
挂	kua5	
指	tsɿ3	
按	æ̃5	
挎	kʰua3	
挎	kʰua5	
挑	tʰiɔ3	(~开)
挑	tʰiɔ1	
挖	ua1	
摯	tsɿ1	
撾	uə1	
撓	nɔ2	
擋	taŋ3	
擋	taŋ5	
掙	tsəŋ1	
擠	tɕi3	
揮	xue1	
挨	iɛ1	
挪	nuə2	
挫	tɕʰyə5	
振	tsʰẽ5	
挺	tʰiŋ3	
挽	uæ̃3	
捂	u3	
捅	tʰuŋ3	
捆	kʰuẽ3	
捉	pfə1	
捌	pa1	
捎	sɔ1	
捏	niə1	
捐	tɕyæ̃1	
捕	pʰu1	
撈	lɔ1	
撈	lɔ2	
損	ɕyẽ3	
撿	tɕiæ̃3	
換	xuæ̃5	
搗	tɔ3	
捧	pʰəŋ3	
据	tɕy5	
捱	iɛ2	
捶	pfʰe2	
捷	tɕiə2	
捺	na1	
捻	niæ̃3	
掂	tiæ̃1	
授	so5	
掉	tiɔ5	
掌	tsaŋ3	
掏	tʰɔ1	
掐	tɕʰia1	
排	pʰɛ2	
掖	iə1	
掘	tɕyə1	
掠	luə3	
探	tʰæ̃5	
掣	tsʰə3	
接	tɕiə1	
控	kʰuŋ5	
推	tʰue1	
掩	iæ̃3	
措	tɕʰyə5	
掬	tɕy1	
掰	pe1	
擄	lu3	
擲	tsɿ1	
揉	zo2	
揍	tso5	
描	miɔ2	
提	tʰi2	
插	tsʰa1	
揖	i1	
揞	æ̃3	
握	uə1	
揣	pfʰɛ3	
揩	kʰẽ5	
揪	tɕio1	
揭	tɕiə1	
援	yæ̃2	
攬	læ̃3	
撳	ɕiæ̃1	
攙	tsʰæ̃1	
擱	kə1	
摟	lo3	
攪	tɕiɔ3	
搉	tɕʰyə1	
搋	pfʰɛ1	
搏	pə1	
搓	tɕʰyə1	
搜	so1	
搞	kɔ3	
搡	saŋ3	
搦	nuə1	
搪	tʰaŋ2	
搬	pæ̃1	
搭	ta1	
攜	ɕiə2	
搽	tsʰa2	
摁	ẽ5	
攝	niə1	
摆	pɛ3	
摇	iɔ2	
摔	fɛ1	
摘	tse1	
摘	tse2	
摞	luə5	
摧	tɕʰye1	
摩	mə2	
摸	mə1	
摹	mə2	
撂	liɔ5	
撇	pʰiə1	
撑	tsʰəŋ1	
撒	sa1	(~车)
撒	sa3	(~种)
撕	sɿ1	
撙	tɕyẽ3	
撞	pfaŋ5	
撤	tsʰə1	
撩	liɔ2	
撬	tɕʰiɔ5	
播	pə1	
撮	tɕyə3	
攆	niæ̃3	
撼	xæ̃5	
擂	le2	
擂	le5	
擅	sæ̃5	
操	tsʰɔ1	
擎	tɕʰiŋ2	
擻	so3	
擦	tsʰa1	
攀	pʰæ̃1	
攉	xuə1	
攢	tsæ̃3	
攥	tɕyæ̃5	
攫	tɕyə3	
攮	naŋ3	
支	tsɿ1	
收	so1	
攸	io1	
改	kɛ3	
攻	kuŋ1	
放	faŋ5	
政	tsəŋ5	
故	ku5	
效	ɕiɔ5	
敵	ti2	
敏	miẽ3	
救	tɕio5	
教	tɕiɔ1	
教	tɕiɔ5	
敝	pi5	
敞	tsʰaŋ3	
敢	kæ̃3	
散	sæ̃3	
散	sæ̃5	
敦	tuẽ1	
敬	tɕiŋ5	
數	fu3	
數	fu5	
敲	tɕʰiɔ1	
整	tʰəŋ1	
整	tsəŋ3	
敷	fu1	
文	uẽ2	
齋	tsɛ1	
斌	piẽ1	
斑	pæ̃1	
斗	to3	
斗	to5	
料	liɔ5	
斜	ɕiə2	
斟	tsʰẽ1	
斤	tɕiẽ1	
斥	tsʰɿ5	
斧	fu3	
斬	tsæ̃3	
斷	tuæ̃5	
斯	sɿ1	
新	ɕiẽ1	
方	faŋ1	
施	sɿ1	
旁	pʰaŋ2	
旅	lu3	
旋	ɕyæ̃2	
旌	tɕiŋ1	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	zɿ1	
旦	tæ̃5	
舊	tɕio5	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyẽ2	
旭	ɕy1	
旯	la2	
旱	xæ̃5	
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昆	kʰuẽ1	
昌	tsʰaŋ1	
明	miŋ2	
昏	xuẽ1	
易	i5	
昔	ɕi1	
映	iŋ3	
春	pfʰẽ1	
昧	me5	
昨	tɕyə2	
昭	tsɔ1	
是	sɿ5	
昴	aŋ2	
昵	ni5	
晝	tso5	
顯	ɕiæ̃3	
晁	tsʰɔ2	
晃	xuaŋ3	
晃	xuaŋ5	
晉	tɕiẽ5	
晌	saŋ3	
晏	iæ̃5	
曬	sɛ5	
曉	ɕiɔ3	
暈	yẽ1	
暉	xue1	
晚	uæ̃3	
晨	tsʰẽ2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ5	
智	tsɿ5	
晾	liaŋ5	
暫	tsæ̃5	
暇	ɕia2	
暑	fu2	
暖	nuæ̃3	
暗	æ̃5	
暴	pɔ5	
曰	yə1	
曲	tɕʰy1	
更	kəŋ1	
更	kəŋ5	
曹	tsʰɔ2	
曼	mæ̃5	
曾	tsʰəŋ2	
替	tʰi5	
最	tɕye5	
月	yə1	
有	io3	
朋	pʰəŋ2	
服	fu2	
朗	laŋ3	
望	uaŋ5	
朝	tsɔ1	
朝	tsʰɔ2	
期	tɕʰi1	
朦	məŋ2	
木	mu1	
未	ue5	
末	mə1	
本	pẽ3	
札	tsa1	
术	fu2	
朱	pfu1	
朴	pʰiɔ2	(姓)
朴	pʰu3	
朶	tuə3	
機	tɕi1	
朽	tɕʰio3	
殺	sa1	
雜	tsa2	
權	tɕʰyæ̃2	
杈	tsʰa1	(~子)
杈	tsʰa5	(树~)
杉	sæ̃1	
李	li3	
杏	ɕiŋ5	
材	tsʰɛ2	
村	tɕʰyẽ1	
杓	fə2	
杖	tsaŋ5	
杜	tu5	
束	fu1	
杠	kaŋ5	
條	tʰiɔ2	
來	lɛ2	
楊	iaŋ2	
杭	xaŋ2	
杯	pe1	
杰	tɕiə2	
杷	pa5	
松	ɕyŋ1	
板	pæ̃3	
極	tɕi2	
構	ko5	
枇	pʰi2	
枉	uaŋ1	
析	ɕi1	
枕	tsʰẽ3	
枕	tsʰẽ5	
枚	me2	
果	kuə3	
枝	tsɿ1	
棗	tsɔ3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tɕia5	
枷	tɕia1	
柄	piŋ3	
柏	pe1	
某	mu3	
柑	kæ̃1	
染	zæ̃3	
柔	zo2	
櫃	kue5	
檸	niŋ2	
查	tsʰa2	
柬	tɕiæ̃3	
柱	pfu5	
柳	lio3	
柴	tsʰɛ2	
柿	sɿ5	
標	piɔ1	
棧	tsæ̃5	
棟	tuŋ5	
欄	læ̃2	
樹	fu5	
栓	fæ̃1	
栖	tɕʰi1	
栗	li1	
校	ɕiɔ5	
栩	ɕy2	
株	pfu1	
樣	iaŋ5	
核	xɛ2	
根	kẽ1	
根	kẽ2	
格	ke1	
栽	tsɛ1	
桂	kue5	
桃	tʰɔ2	
框	kʰuaŋ5	
案	æ̃5	
桌	pfə1	
桐	tʰuŋ2	
桑	saŋ1	
桓	xuæ̃2	
檔	taŋ3	
橋	tɕʰiɔ2	
樺	xua2	
槳	tɕiaŋ3	
樁	pfaŋ1	
桶	tʰuŋ3	
梁	liaŋ2	
梃	tʰiŋ3	
梅	me2	
梆	paŋ1	
梗	kəŋ3	
梢	sɔ1	
夢	məŋ5	
梧	u5	
梭	ɕyə1	
梯	tʰi1	
械	tɕiɛ5	
梳	fu1	
梵	fæ̃2	
檢	tɕiæ̃3	
棉	miæ̃2	
棋	tɕʰi2	
棍	kuẽ5	
棒	paŋ5	
棕	tɕyŋ1	
棘	tɕi1	
棚	pʰəŋ2	
棠	tʰaŋ2	
森	sẽ1	
棱	ləŋ5	
棵	kʰuə1	
棺	kuæ̃1	
椅	i3	
植	tsɿ2	
椒	tɕiɔ1	
橢	tʰuə3	
椽	pfʰæ̃2	
椿	pfʰẽ1	
楂	tsa1	
楔	ɕiə1	
楚	pfʰu3	
楞	ləŋ5	
楠	næ̃2	
楣	me2	
楦	ɕyæ̃5	
樓	lo2	
概	kɛ5	
榆	y2	
榔	laŋ2	
榛	tsʰẽ1	
榜	paŋ3	
榜	pʰaŋ3	
榨	tsa5	
榴	lio2	
榷	tɕʰyə1	
榻	tʰa1	
槁	kɔ1	
槌	pfʰe2	
槐	xuɛ2	
檻	kʰæ̃3	
槽	tsʰɔ2	
樊	fæ̃2	
樟	tsaŋ1	
模	mə2	
模	mu2	
橫	xuŋ5	
櫻	iŋ1	
樵	tɕʰiɔ2	
橄	kæ̃3	
橘	tɕy1	
橡	ɕiaŋ5	
櫥	pfʰu2	
櫓	lu3	
檀	tʰæ̃2	
檐	iæ̃2	
欠	tɕʰiæ̃5	
次	tsʰɿ5	
歡	xuæ̃1	
欣	ɕiẽ1	
歐	o1	
欲	y1	
欺	tɕʰi1	
欻	pfʰa2	(~拉:象声词)
款	kʰuæ̃3	
歇	ɕiə1	
歉	tɕʰiæ̃5	
歌	kə1	
止	tsɿ3	
正	tsəŋ5	
此	tsʰɿ2	
步	pu5	
武	u3	
歧	tɕʰi2	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殲	tɕʰiæ̃1	
殃	iaŋ1	
殆	tɛ5	
殤	saŋ1	
殉	ɕyẽ2	
殊	pfʰu2	
殘	tsʰæ̃2	
殮	liæ̃5	
殖	tsɿ2	
殯	piẽ5	
毆	o1	
段	tuæ̃5	
殷	iẽ1	
殿	tiæ̃5	
毁	xue3	
轂	ku3	
母	mu3	
每	me3	
毒	tu2	
比	pi3	
畢	pi1	
毖	pi5	
斃	pi5	
毛	mɔ1	
毡	tsæ̃1	
毫	xɔ2	
毯	tʰæ̃3	
毽	tɕiæ̃5	
氄	vəŋ2	
氅	tsʰaŋ3	
氏	sɿ5	
民	miẽ2	
氓	maŋ2	
气	tɕʰi5	
氛	fẽ1	
氫	tɕʰiŋ1	
氦	xɛ5	
氧	iaŋ3	
氨	æ̃1	
氬	ia5	
氮	tæ̃5	
氯	lu1	
水	fe3	
永	yŋ3	
汀	tʰiŋ1	
汁	tsɿ1	
求	tɕʰio2	
汇	kʰuɛ3	
汇	xue5	
漢	xæ̃5	
汊	tsʰa5	
汗	xæ̃5	
汛	ɕiẽ5	
汝	vu3	
汞	kuŋ3	
江	tɕiaŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汰	tʰɛ5	
汲	tɕi2	
汶	uẽ5	
洶	ɕyŋ1	
汽	tɕʰi5	
汾	fẽ3	
沁	tɕʰiẽ1	
沁	tɕʰiẽ5	
沂	i2	
沃	uə1	
沈	sẽ3	
沉	tsʰẽ2	
沐	mu1	
沙	sa1	
沛	pʰe5	
溝	ko1	
没	me5	
漚	o1	
瀝	li5	
淪	luẽ2	
滄	tsʰaŋ1	
沫	mə1	
沱	tʰuə2	
河	xə2	
沸	fi5	
油	io2	
治	tsɿ5	
沾	tsæ̃1	
沿	iæ̃5	(河~)
沿	iæ̃2	
泄	ɕiə5	
泅	tɕʰio2	
泉	tɕʰyæ̃2	
泊	pə1	
泔	kæ̃1	
法	fa1	
泗	sɿ5	
泛	fæ̃5	
濘	niŋ2	
泡	pʰɔ1	(~沫)
泡	pʰɔ5	
波	pə1	
泣	tɕʰi1	
泥	ni2	
泥	ni5	
注	pfu5	
淚	le5	
泰	tʰɛ5	
泳	yŋ3	
泵	pəŋ5	
瀘	xu5	
瀉	ɕiə5	
潑	pʰə1	
澤	tse2	
涇	tɕiŋ5	
潔	tɕiə1	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	luə1	
洞	tuŋ5	
津	tɕiẽ1	
洪	xuŋ2	
洲	tso1	
活	xuə2	
洼	ua5	
洽	tɕʰia2	
派	pʰɛ5	
流	lio2	
淺	tɕʰiæ̃3	
漿	tɕiaŋ1	
澆	tɕiɔ1	
濁	pfə2	
測	tsʰe1	
濟	tɕi5	
渾	xuẽ3	
滸	xu3	
濃	nuŋ2	
浙	tsə1	
浚	tɕyẽ5	
浜	paŋ1	
浩	xɔ5	
浪	laŋ5	
浮	fu2	
浴	y1	
海	xɛ3	
浸	tɕʰiẽ1=	
涂	tʰu2	
涅	niə1	
消	ɕiɔ1	
涉	sə1	
涌	yŋ3	
涎	ɕiæ̃2	
涓	tɕyæ̃1	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ5	
漣	liæ̃2	
渦	uə1	
渙	xuæ̃5	
滌	ti2	
潤	yẽ5	
澗	tɕiæ̃5	
漲	tsaŋ3	
漲	tsaŋ5	
澀	se1	
涮	fæ̃5	
液	iə5	
涴	uə5	
涵	xæ̃2	
淄	tsɿ1	
淅	ɕi1	
淌	tʰaŋ3	
淑	fu1	
淘	tʰɔ2	
淝	fi2	
淞	ɕyŋ1	
淡	tæ̃5	
淤	y1	
淫	iẽ2	
深	sẽ1	
淳	pfʰẽ2	
混	xuẽ5	
淹	iæ̃1	
添	tʰiæ̃1	
清	tɕʰiŋ1	
淵	yæ̃1	
漸	tɕiæ̃5	
漁	y2	
滲	sẽ5	
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	uẽ1	
渭	ue5	
港	kaŋ3	
渲	ɕyæ̃1	
渴	kʰə1	
游	io2	
渺	miɔ3	
湃	pɛ5	
湖	xu2	
湘	ɕiaŋ1	
灣	uæ̃1	
溼	sɿ1	
潰	kʰue5	
濺	tɕiæ̃5	
溉	kɛ5	
源	yæ̃2	
溜	lio1	
溟	miŋ2	
溢	i1	
溪	ɕi2	
溶	vəŋ2	
溺	ni5	
滋	tsɿ1	
滑	xua2	
滔	tʰɔ1	
滕	tʰəŋ2	
滚	kuẽ3	
滿	mæ̃3	
濾	lu5	
濫	læ̃5	
灤	luæ̃2	
濱	piẽ1	
灘	tʰæ̃1	
滴	ti1	
漂	pʰiɔ1	
漂	pʰiɔ5	
漆	tɕʰi1	
漉	lu1	
漏	lo5	
漓	li2	
演	iæ̃3	
漕	tsʰɔ2	
漠	mə1	
漩	ɕyæ̃2	
漪	i3	
漫	mæ̃5	
漱	fu5	
漾	iaŋ5	
瀟	ɕiɔ1	
濰	ue2	
潘	pʰæ̃1	
潛	tɕʰiæ̃3	
潦	liɔ3	
潭	tʰæ̃2	
潮	tsʰɔ2	
潼	tʰuŋ2	
澄	təŋ5	
澈	tsʰə1	
澎	pʰəŋ2	
瀾	læ̃5	
澡	tsɔ3	
澳	ɔ5	
激	tɕi1	
瀑	pʰu5	
瀚	xæ̃5	
灌	kuæ̃5	
火	xuə3	
滅	miə1	
燈	təŋ1	
灰	xue1	
靈	liŋ2	
竈	tsɔ5	
灸	tɕio3	
灼	pfə2	
災	tsɛ1	
燦	tsʰæ̃1	
爐	lu2	
炊	pfʰe1	
炎	iæ̃2	
炒	tsʰɔ3	
炕	kʰaŋ5	
燉	tuẽ5	
炫	ɕyæ̃2	
炬	tɕy5	
炭	tʰæ̃5	
炮	pʰɔ5	
炯	tɕyŋ3	
炳	piŋ3	
炸	tsa2	(油~)
炸	tsa5	
點	tiæ̃3	
煉	liæ̃5	
爛	læ̃5	
烈	liə1	
烘	xuŋ1	
烙	luə1	
燭	pfu1	
烟	iæ̃1	
烤	kʰɔ3	
煩	fæ̃2	
燒	sɔ1	
燴	xue5	
燙	tʰaŋ5	
燼	tɕiẽ5	
熱	zə1	
烹	pʰəŋ1	
烽	fəŋ2	
焉	iæ̃1	
焊	xæ̃5	
煥	xuæ̃5	
燾	tʰɔ1	
焚	fẽ3	
焦	tɕiɔ1	
焰	iæ̃2	
然	zæ̃2	
煌	xuaŋ2	
煎	tɕiæ̃1	
煞	sa1	(~住)
煤	me2	
煦	ɕy1	
照	tsɔ5	
煨	ue1	
煮	pfu3	
熄	ɕi1	
熊	ɕyŋ2	
熏	ɕyẽ1	
熔	vəŋ2	
熙	ɕi1	
熟	fu2	
熨	yẽ5	
熬	ɔ1	
熬	ɔ2	
燃	zæ̃3	
燎	liɔ2	
燎	liɔ3	
燕	iæ̃5	
燥	tsɔ5	
爆	pɔ5	
爪	pfa3	(~子)
爪	tsɔ3	
爬	pʰa2	
父	fu5	
爺	iə2	
爸	pa2	
爹	tiə1	
爽	faŋ3	
片	pʰiæ̃5	
版	pæ̃3	
牌	pʰɛ2	
牘	tu2	
牒	tiə2	
牙	ia2	
牛	nio2	
牟	mu5	
牡	mu3	
牢	lɔ2	
牤	maŋ1	
牧	mu5	
物	u1	
牽	tɕʰiæ̃1	
特	tʰe2	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu2	
犍	tɕiæ̃1	
犒	kʰɔ5	
犬	tɕʰyæ̃3	
犯	fæ̃5	
狀	pfaŋ5	
猶	io2	
狂	kʰuaŋ2	
狄	ti2	
狽	pe5	
狐	xu3	
狗	ko3	
獰	niŋ2	
狠	xẽ3	
狡	tɕiɔ3	
狩	so3	
獨	tu2	
狹	ɕia2	
獅	sɿ1	
猙	tsəŋ1	
獄	y1	
猻	ɕyẽ1	
狸	li2	
狼	laŋ1	(黄~子)
狼	laŋ2	
獵	liə1	
猖	tsʰaŋ1	
猛	məŋ3	
猜	tsʰɛ1	
猢	xu2	
猩	ɕiŋ1	
豬	pfu1	
猫	mɔ1	
蝟	ue5	
獻	ɕiæ̃5	
猴	xo2	
猾	xua2	
猿	yæ̃2	
獐	tsaŋ1	
獗	tɕyə1	
獠	liɔ2	
獾	xuæ̃1	
玄	ɕyæ̃2	
率	lu1	
率	fɛ5	
玉	y5	
王	uaŋ2	
玍	ka3	
玖	tɕio3	
瑪	ma3	
玩	uæ̃2	
玫	me2	
環	xuæ̃2	
現	ɕiæ̃5	
玲	liŋ2	
玷	tiæ̃5	
玻	pə1	
珊	sæ̃1	
珍	tsʰẽ3	
瓏	luŋ2	
珞	luə1	
珠	pfu1	
班	pæ̃1	
球	tɕʰio2	
琅	laŋ2	
理	li3	
琉	lio2	
璉	liæ̃2	
瑣	ɕyə3	
琢	pfə2	
琥	xu3	
琦	tɕʰi2	
琨	kʰuẽ1	
琪	tɕʰi2	
琴	tɕʰiẽ2	
琵	pʰi2	
琶	pa5	
瓊	tɕʰyŋ2	
瑁	mɔ5	
瑕	ɕia2	
瑚	xu2	
瑛	iŋ1	
瑜	y5	
瑟	se1	
瑰	kue5	
瑶	iɔ2	
瑾	tɕiẽ3	
璀	tɕʰye1	
璃	li2	
璋	tsaŋ1	
瓔	iŋ1	
璧	pi5	
瓚	tsæ̃5	
瓜	kua1	
瓢	pʰiɔ2	
瓣	pæ̃5	
瓤	zaŋ2	
瓦	ua5	(~瓦)
瓦	ua3	
瓮	uŋ5	
甌	o1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甄	tsʰẽ1	
甘	kæ̃1	
甚	sẽ5	
甜	tʰiæ̃2	
生	səŋ1	
甥	səŋ1	
用	yŋ5	
甩	fɛ3	
田	tʰiæ̃2	
由	io2	
甲	tɕia1	
申	sẽ1	
男	næ̃2	
甸	tiæ̃5	
畫	xua5	
暢	tsʰaŋ5	
界	tɕiɛ5	
畏	ue5	
畔	pʰæ̃5	
留	lio2	
畜	pfʰu1	(~打)
略	luə1	
畦	ɕi2	
番	fæ̃1	
疇	tsʰo2	
畸	tɕʰi2	
疆	tɕiaŋ1	
疏	fu1	
疑	i2	
癤	tɕiə1	
療	tiŋ1	
療	liɔ2	
疙	kə1	
疚	tɕio1	
疝	sæ̃1	
瘧	yə1	
疤	pa1	
疥	tɕiɛ5	
疫	i5	
瘡	pfʰaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疹	tsʰẽ3	
疼	tʰəŋ2	
疾	tɕi2	
病	piŋ5	
症	tsəŋ5	
痙	tɕiŋ5	
痊	tɕʰyæ̃2	
痒	iaŋ3	
痔	tsɿ5	
痕	xẽ2	
痘	to5	
痛	tʰuŋ5	
痞	pʰi2	
痣	tsɿ5	
癆	lɔ2	
瘓	xuæ̃5	
痰	tʰæ̃2	
痱	fi5	
癡	tsʰɿ1	
痹	pi5	
瘁	tɕʰye5	
瘻	lo5	
瘟	uẽ1	
瘠	tɕi1	
瘢	pæ̃1	
瘤	lio2	
瘦	so5	
瘩	ta1	
癟	piə1	
癱	tʰæ̃1	
瘴	tsaŋ1	
瘸	tɕʰyə2	
癮	iẽ3	
癌	ɛ3	
癖	pʰi3	
癩	lɛ5	
癬	ɕyæ̃3	
癲	tiæ̃1	
登	təŋ1	
白	pe2	
百	pe1	
皂	tsɔ5	
的	ti2	
皆	tɕiɛ1	
皇	xuaŋ2	
皋	kɔ3	
皎	tɕiɔ1	
皓	xɔ5	
皖	uæ̃3	
皮	pʰi2	
皺	tso5	
皴	tɕʰyẽ1	
皿	miẽ3	
盂	y2	
盅	pfəŋ1	
盆	pʰẽ2	
盈	iŋ2	
益	i1	
盎	aŋ2	
盞	tsæ̃3	
鹽	iæ̃2	
監	tɕiæ̃1	
盒	xə2	
盔	kʰue1	
盖	kɛ5	
盜	tɔ5	
盤	pʰæ̃2	
盛	tsʰəŋ2	
盛	səŋ5	
盟	məŋ2	
盯	tiŋ1	
盲	maŋ2	
直	tsɿ2	
相	ɕiaŋ1	
相	ɕiaŋ5	
盹	tuẽ3	
盼	pʰæ̃5	
盾	tuẽ5	
省	səŋ3	
眇	miɔ3	
眈	tæ̃1	
眉	me2	
看	kʰæ̃1	
看	kʰæ̃5	
真	tsʰẽ1	
眠	miæ̃2	
眨	tsa3	
眨	piæ̃3	
眩	ɕyæ̃2	
眯	mi1	
眯	mi2	
眶	kʰuaŋ5	
眷	tɕyæ̃5	
眸	mu5	
眺	tʰiɔ5	
眼	iæ̃3	
着	pfə2	
睜	tsəŋ1	
睛	tɕiŋ5	
睡	fe5	
督	tu1	
睫	tɕiə2	
睬	tsʰɛ3	
睹	tu3	
睾	kɔ3	
瞀	mɔ5	
瞄	miɔ2	
瞅	tɕʰio1	
瞌	kʰə1	
瞎	ɕia1	
瞞	mæ̃2	
瞟	pʰiɔ3	
瞥	pʰiə3	
瞧	tɕʰiɔ2	
瞩	pfu1	
瞪	təŋ5	
瞬	fẽ5	
瞰	kʰæ̃1	
瞳	tʰuŋ2	
瞻	tsæ̃1	
瞿	tɕʰy2	
矗	pfʰu5	
矛	mɔ1	
矢	sɿ1	
矩	tɕy5	
矯	tɕiɔ3	
短	tuæ̃3	
矮	iɛ3	
石	sɿ2	
石	tæ̃5	
礬	fæ̃2	
礦	kʰuaŋ5	
碼	ma3	
砂	sa1	
砌	tɕʰi5	
砍	kʰæ̃3	
砒	pʰi1	
研	iæ̃2	
磚	pfæ̃1	
硯	iæ̃5	
砣	tʰuə2	
砥	ti3	
砧	tsʰẽ1	
砰	pʰəŋ1	
破	pʰə5	
砸	tsa2	
礫	li5	
礎	pfʰu3	
硅	kue1	
碩	fə2	
硝	ɕiɔ1	
硫	lio2	
硬	iŋ5	
確	tɕʰyə1	
礆	tɕiæ̃3	
硼	pʰəŋ2	
碉	tiɔ1	
碌	lu1	
礙	ɛ5	
碎	ɕye5	
碑	pe1	
碓	tue5	
碗	uæ̃3	
碘	tiæ̃3	
碟	tiə2	
碧	pi5	
碰	pʰəŋ5	
碳	tʰæ̃5	
碾	niæ̃5	
磅	paŋ5	
磊	le3	
磐	pʰæ̃2	
磕	kʰə1	
磨	mə2	
磨	mə5	
磴	təŋ5	
磺	xuaŋ2	
礁	tɕiɔ1	
礴	pə2	
示	sɿ5	
禮	li3	
社	sə3	
祈	tɕʰi2	
祖	tɕy3	
祝	pfu1	
神	sẽ2	
祟	ɕye5	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xuə5	
祺	tɕʰi2	
稟	piŋ3	
禁	tɕiẽ5	
祿	lu1	
福	fu1	
禧	ɕi3	
禹	y3	
禺	y3	
离	li2	
离	li5	
禽	tɕʰiẽ2	
禾	xuə2	
秀	ɕio5	
私	sɿ1	
秃	tʰu1	
稈	kæ̃3	
秉	piŋ3	
秋	tɕʰio1	
種	pfʰəŋ2	(姓)
種	pfəŋ3	
種	pfəŋ5	
科	kʰuə1	
秒	miɔ3	
秕	pi3	
秘	mi1	
租	tɕy1	
秤	tsʰəŋ5	
秦	tɕʰiẽ2	
秧	iaŋ1	
秩	tsɿ5	
秫	fu2	
積	tɕi1	
稱	tsʰəŋ1	
稱	tsʰẽ5	
稱	tsʰəŋ5	
秸	tɕiɛ1	
移	i2	
穢	xue5	
稀	ɕi1	
程	tsʰəŋ2	
稍	sɔ3	
税	fe5	
稚	tsɿ5	
稠	tsʰo2	
穩	uẽ3	
稻	tɔ5	
稽	tɕi1	
稿	kɔ3	
穆	mu1	
穗	ɕye5	
穰	zaŋ2	
穴	ɕyə2	
究	tɕio1	
窮	tɕʰyŋ2	
穹	tɕʰyŋ2	
空	kʰuŋ1	
空	kʰuŋ5	
穿	pfʰæ̃1	
突	tʰu1	
竊	tɕʰiə5	
窄	tse1	
竅	tɕʰiɔ5	
窯	iɔ2	
窖	tɕiɔ5	
窗	pfʰaŋ1	
竄	tɕʰyæ̃5	
窩	uə1	
窟	kʰu1	
窺	kʰue1	
竇	to5	
窨	iẽ5	
窿	luŋ2	
立	li1	
豎	fu5	
站	tsæ̃5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tsaŋ1	
竣	tɕyẽ5	
童	tʰuŋ2	
竭	tɕiə2	
端	tuæ̃1	
竹	pfu1	
竽	y2	
竿	kæ̃1	
笆	pa1	
笊	tsɔ5	
笋	ɕyẽ3	
笑	ɕiɔ5	
筆	pe1	
笙	səŋ1	
笛	ti2	
笠	li1	
笤	tʰiɔ2	
符	fu2	
笨	pẽ5	
第	ti5	
籠	luŋ2	
等	təŋ3	
筋	tɕiẽ1	
筏	fa2	
筐	kʰuaŋ1	
筑	pfu1	
筒	tʰuŋ3	
答	ta1	
策	tsʰe1	
篩	sɛ1	
箏	tsəŋ1	
筠	yẽ2	
筵	iæ̃5	
筷	kʰuɛ5	
籌	tsʰo2	
签	tɕʰiæ̃1	
簡	tɕiæ̃3	
箍	ku2	
算	ɕyæ̃5	
管	kuæ̃3	
籮	luə2	
簫	ɕiɔ1	
箭	tɕiæ̃5	
箱	ɕiaŋ1	
篇	pʰiæ̃1	
簍	lo3	
篙	kɔ1	
篡	tɕʰyæ̃5	
篦	pi5	
籃	læ̃2	
籬	li2	
篷	pʰəŋ2	
簧	xuaŋ2	
簪	tsæ̃1	
簸	pə3	
簸	pə5	
簿	pu5	
籟	lɛ5	
籍	tɕi2	
米	mi3	
類	le5	
