#漢字	音標	解釋
□	tɛ3	无此字,字意为多
蠟	loˀ7	
蜻	ɕin1	
蠅	in1	
蝌	kʰʊ1	
蝗	xuã2	
蝙	piẽ5	
蝠	fuˀ7	
蝴	xu2	
蝶	tʰieˀ7	
螂	lã2	
螃	pʰã2	
螟	min3	
螳	tʰã2	
螺	lʊ2	
蟆	mo1	
蟑	tʂã1	
蟒	mã3	
蟹	ɕie3	
蠢	tʂʰuən3	
血	ɕieˀ7	
行	ɕin2	
行	xã2	~列
衍	iẽ3	
銜	ɕiẽ2	
衙	io2	
衡	xən2	
衣	i1	
補	pu3	
表	piɔ3	
衩	tʂʰo5	
衫	ʂã1	
襯	tsʰən5	
衷	tʂoŋ1	
袁	iẽ2	
襖	ɔ3	
袈	tɕio1	
袋	tɛ5	
袍	pʰɔ2	
袒	tʰã3	
袖	ɕiəɯ5	
袜	uoˀ7	
被	pəi5	
襲	ɕiˀ7	
裁	tsʰɛ2	
裝	tʂuã1	
襠	tã1	
裕	i5	
裘	tɕʰiəɯ2	
裙	tɕʰin2	
裱	piɔ3	
裴	pʰəi2	
裸	lʊ3	
裹	kʊ3	
褂	kuo5	
褓	pɔ3	
褚	tʂʰu2	
褸	li3	
襤	lã2	
襄	ɕiã1	
襟	tɕin1	
襻	pʰã5	
西	ɕi1	
要	iɔ5	
要	iɔ1	~求
覃	tʰã2	
覆	fuˀ7	
見	tɕiẽ5	
觀	kõ1	
觀	kõ5	寺~
覓	miˀ7	
視	sɿ5	
覽	lã3	
解	tɕie3	
觸	tʂʰuˀ7	
言	iẽ2	
譽	i5	
謄	tʰən2	
誓	ʂʅ5	
警	tɕin3	
計	tɕi5	
訂	tin5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐã5	
訓	ɕin5	
議	i5	
訊	ɕin5	
記	tɕi5	
講	tɕiã3	
訝	io5	
許	ɕi3	
訛	ʊ2	
論	lən5	讨~
訟	soŋ5	
諷	fən3	
設	ʂɛˀ7	
訪	fã3	
訣	tɕieˀ7	
證	tʂən5	
評	pʰin2	
詐	tso5	
訴	su5	
診	tʂən3	
詞	tsʰɿ2	
詔	tʂɔ1	
譯	iˀ7	
詩	ʂʅ1	
詰	tɕieˀ7	
誠	tʂʰən2	
誅	tʂu1	
話	xuo5	
誕	tã5	
詣	i5	
該	kɛ1	
詳	tɕʰiã2	
詫	tʂʰo5	
詡	ɕi3	
誡	tɕie5	
誣	u1	
語	i3	
誤	u5	
誘	iəɯ5	
説	ʂʊˀ7	
誦	soŋ5	
請	tɕʰin3	
諸	tʂu1	
諾	lʊˀ7	
誹	fəi3	
課	kʰʊ5	
誰	ʂuəi2	
調	tʰiɔ2	~和
調	tiɔ5	~查
談	tʰã2	
誼	i2	
謀	məi2	
諜	tʰieˀ7	
諫	tɕiẽ5	
謂	uəi5	
讒	tʂʰã2	
諺	iẽ5	
諦	ti5	
謎	mi2	
謝	sie5	
謡	iɔ2	
謗	pã5	
謙	tɕʰiẽ1	
謹	tɕin3	
謾	mõ2	
譚	tʰã2	
譙	tɕʰiɔ2	
譜	pʰu3	
譴	tɕʰiẽ3	
豁	xʊˀ7	
豆	təɯ5	
豇	tɕiã1	
豌	uã1	
豚	tʰən2	
象	ɕiã5	
豪	xɔ2	
豫	i5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pəi5	
貞	tʂən1	
負	fu5	
貢	koŋ5	
財	tsʰɛ2	
責	tsɛˀ7	
賢	ɕiẽ2	
敗	pɛ5	
貨	xʊ5	
質	tʂʅˀ7	
販	fã5	
貪	tʰã1	
貧	pʰin2	
貶	piẽ3	
購	kəɯ5	
貫	kuã5	
貳	ɚ5	
賤	tsiẽ5	
貼	tʰieˀ7	
貸	tɛ5	
費	fəi5	
賀	xʊ5	
貽	i2	
賊	tʂɛˀ7	
賈	tɕio3	
賃	lin5	
賂	lu5	
贓	tsã1	
資	tsɿ1	
賒	ʂe1	
賦	fu5	
賭	tu3	
贖	ʂuˀ7	
賞	ʂã3	
賜	tsʰɿ5	
賡	kən1	
賠	pʰəi2	
賴	lɛ5	
贅	tʂuəi5	
賺	tʂuã5	
賽	sɛ5	
贊	tsã5	
贏	in2	
贛	kã5	
赤	tʂʰʅˀ7	
走	tsəɯ3	
赳	tɕiəɯ1	
赴	fu5	
趙	tʂɔ5	
趕	kã3	
起	tɕʰi3	
超	tʂʰɔ1	
越	ieˀ7	
趨	tɕʰi1	
趟	tʰã5	
足	tsuˀ7	
趴	pʰo1	
趾	tʂʅ3	
躍	iɔ5	
跋	poˀ7	
跌	tieˀ7	
跑	pʰɔ3	
跛	pʊ3	
距	tɕi5	
跟	kən1	
跨	kʰuo5	
路	lu5	
跳	tʰiɔ5	
踐	tsiẽ5	
躊	tʂʰəɯ2	
踏	tʰoˀ7	
踢	tʰiˀ7	
踩	tsʰɛ3	
蹤	tsoŋ1	
踮	tiẽ5	
蹂	iəɯ2	
蹄	tʰi2	
蹈	tɔ5	
躡	lieˀ7	
蹦	pən1	
蹩	pieˀ7	
蹲	tən1	
躁	tsɔ5	
躇	tʂʰu2	
身	ʂən1	
躬	koŋ1	
軀	tɕʰi1	
躱	tʊ3	
車	tʂʰe1	
車	tɕi1	~马炮
軒	ɕiẽ1	
轉	tʂõ5	
轉	tʂõ3	~移
輪	lən2	
軟	ʐõ3	
轟	xoŋ1	
軸	tʂuˀ7	
輕	tɕʰin1	
載	tsɛ3	
輔	pʰu3	
輛	liã3	
輦	liẽ3	
輩	pəi5	
輯	tɕiˀ7	
輸	ʂu1	
轄	ɕioˀ7	
輾	tʂã3	
轆	luˀ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰiˀ7	
辣	loˀ7	
辨	piẽ5	
辯	piẽ5	
辮	piẽ5	
辰	tʂʰən2	
邊	piẽ1	
達	toˀ7	
遷	tsʰiẽ1	
迂	i1	
迅	ɕin5	
過	kʊ5	
邁	mɛ5	
迎	in2	
運	in5	
近	tɕin5	
返	fã3	
還	xuã2	
進	tɕin5	
遠	iẽ3	
違	uəi2	
連	liẽ3	
遲	tʂʰʅ2	
迢	tʰiɔ2	
迪	tiˀ7	
迫	pʰɛˀ7	
迭	tieˀ7	
述	ʂuˀ7	
迷	mi2	
迹	tɕiˀ7	
迹	iˀ7	
追	tʂuəi1	
退	tʰuəi5	
送	soŋ5	
適	ʂʅˀ7	
逃	tʰɔ2	
逆	liˀ7	
選	siẽ3	
遜	ɕin5	
逍	ɕiɔ1	
透	tʰəɯ5	
逐	tʂuˀ7	
遞	ti5	
途	tʰu2	
逗	təɯ5	
通	tʰoŋ1	
逛	kuã5	
逝	ʂʅ5	
逞	tsʰən5	
速	suˀ7	
造	tsɔ5	
逢	fən2	
逮	tɛ3	
逸	iˀ7	
邏	lʊ2	
逼	piˀ7	
逾	i2	
遇	i5	
遍	piẽ5	
遐	ɕio2	
道	tɔ5	
遺	i2	
遛	liəɯ5	
遣	tɕʰiẽ3	
遥	iɔ2	
遭	tsɔ1	
遮	tʂe1	
遵	tsən1	
避	pi5	
邀	iɔ1	
邑	iˀ7	
鄧	tən5	
邗	xã2	
邢	ɕin2	
那	lo5	
邦	pã1	
邪	sie2	
郵	iəɯ2	
邯	xã2	
邱	tɕʰiəɯ1	
邸	ti3	
鄰	lin2	
郎	lã2	
鄭	tʂən5	
郡	tɕin5	
部	pu5	
郭	kuɛˀ7	
鄲	tã1	
都	tu1	
鄂	ʊˀ7	
鄱	pʰʊ2	
酉	iəɯ3	
酋	tɕʰiəɯ2	
酌	tʂʊˀ7	
配	pʰəi5	
酒	tɕiəɯ3	
酗	ɕi5	
酣	xã1	
酬	tʂʰəɯ2	
醬	tɕiã5	
酷	kʰuˀ7	
酸	sõ1	
醇	ʂuən2	
醉	tsuəi5	
醋	tsʰu5	
醮	tɕiɔ5	
醺	ɕin1	
采	tsʰɛ3	
釋	ʂʅˀ7	
里	li3	
重	tʂoŋ5	
重	tʂʰoŋ2	~复
野	ie3	
量	liã2	~米
金	tɕin1	
釜	fu3	
針	tʂən1	
釘	tin1	~子
釘	tin5	~书
釣	tiɔ5	
釵	tʂʰo1	
鈔	tʂʰɔ1	
钟	tʂoŋ1	
鋼	kã1	
鑰	iʊˀ7	
欽	tɕʰin1	
鈞	tɕin1	
鉤	kəɯ1	
錢	tsʰiẽ2	
鉗	tɕʰiẽ2	
鉢	pʊˀ7	
鑽	tsõ1	动词
鑽	tsõ5	名词
鐵	tʰieˀ7	
鈴	lin2	
鉛	tɕʰiẽ1	
鉚	mɔ3	
鐸	tʊˀ7	
銬	kʰɔ5	
鐺	tã1	
銅	tʰoŋ2	
鍘	tʂoˀ7	
銘	min2	
錚	tsən1	
鏟	tʂʰã3	
銀	in2	
鑄	tʂu5	
鋪	pʰu1	动词
鋪	pʰu3	名词
鏈	liẽ5	
鎖	sʊ3	
鋤	tsʰu2	
鍋	kʊ1	
鏽	ɕiəɯ5	
銼	tsʰʊ5	
鋒	fən1	
銳	ʐuəi5	
錯	tsʰʊ5	
錫	ɕiˀ7	
鑼	lʊ2	
錘	tʂʰuəi2	
錐	tʂuəi1	
錦	tɕin3	
鍵	tɕiẽ5	
鋸	tɕi5	
鍛	tõ5	
鍍	tu5	
鎮	tʂən5	
鑷	lieˀ7	
鏢	piɔ1	
鏡	tɕin5	
鐲	tʂuˀ7	
鐮	liẽ3	
鑲	ɕiã1	
長	tʂʰã2	
長	tʂã3	生~
門	mən2	
閂	ʂuã1	
閃	ʂən3	
閉	pi5	
問	uən5	
闖	tʂʰuã3	
閏	ʐuən5	
闲	ɕiẽ2	
間	tɕiẽ1	
間	kã1	房~
閔	min3	
悶	mən5	
閘	tʂoˀ7	
鬧	lɔ5	
聞	uən2	
閩	min3	
閥	foˀ7	
閣	kʊˀ7	
鬮	tɕiəɯ1	
閲	ieˀ7	
閻	iẽ2	
闡	tʂʰã3	
闊	kʰuɛˀ7	
隊	tuəi5	
阮	ʐõ3	
防	fã2	
陽	iã2	
陰	in1	
陣	tʂən5	
階	tɕie1	
阻	tsu3	
阿	oˀ7	
陀	tʰʊ2	
附	fu5	
際	tɕi5	
陸	luˀ7	
隴	loŋ3	
陋	ləɯ5	
陌	mɛˀ7	
降	tɕiã5	下~
限	ɕiẽ5	
陝	ʂã3	
陡	təɯ3	
院	iẽ5	
除	tʂʰu2	
隕	in3	
險	ɕiẽ3	
陪	pʰəi2	
陶	tʰɔ2	
陷	ɕiẽ5	
隆	loŋ2	
隋	ʂuəi2	
隨	ʂuəi2	
隱	in3	
隔	kɛˀ7	
隙	ɕiˀ7	
障	tʂã5	
隧	suəi5	
難	lã2	
雀	tʂʰʊˀ7	
雁	iẽ5	
雄	ɕioŋ2	
雅	io3	
集	tɕiˀ7	
雇	ku5	
雌	tsʰɿ1	
雍	ioŋ1	
雕	tiɔ1	
雨	i3	
雪	ɕieˀ7	
雯	uən2	
零	lin2	
雷	luəi2	
霧	u5	
需	ɕi1	
霄	ɕiɔ1	
震	tʂən5	
黴	məi2	
霍	xʊˀ7	
霖	lin2	
霜	ʂuã1	
霞	ɕio2	
露	lu5	
霸	po5	
霹	pʰiˀ7	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fəi1	
靠	kʰɔ5	
靡	mi2	
面	miẽ5	
革	kɛˀ7	
鞋	ɕie2	
鞍	ã1	
鞘	tɕʰiɔ5	
鞠	tɕiˀ7	
鞧	tɕʰiəɯ1	
鞭	piẽ1	
韋	uəi2	
韌	ʐən5	
韓	xã2	
韭	tɕiəɯ3	
音	in1	
韻	in5	
韶	ʂɔ2	
頁	ieˀ7	
頂	tin3	
頃	tɕʰin3	
順	ʂuən5	
须	ɕi1	
頑	uã2	
顧	ku5	
頒	pã1	
頌	soŋ5	
顱	lu2	
領	lin3	
頗	pʰʊ3	
頸	tɕin3	
頰	tɕioˀ7	
頻	pʰin2	
穎	in3	
題	tʰi2	
顔	iẽ2	
額	ŋɛˀ7	
顛	tiẽ1	
顫	tʂʰã5	
顴	tɕʰiẽ2	
風	fən1	
颼	səɯ1	
飄	pʰiɔ1	
飛	fəi1	
食	ʂʅˀ7	
餐	tsʰã1	
饥	tɕi1	
飪	ʐən5	
飯	fã5	
飲	in3	
餞	tsiẽ5	
飾	ʂʅ5	
飽	pɔ3	
飼	sɿ5	
飴	i2	
饒	ʐɔ2	
餉	ɕiã3	
餅	pin3	
餓	ʊ5	
餛	xuən2	
餡	ɕiẽ5	
館	kõ3	
餿	səɯ1	
饞	tʂʰã2	
饅	mõ2	
首	ʂəɯ3	
香	ɕiã1	
馥	fuˀ7	
馨	ɕin1	
馬	mo3	
馱	tʰʊ2	
馴	ɕin2	
馴	ɕin5	
馳	tʂʰʅ3	
驅	tɕʰi1	
駁	pʊˀ7	
驢	li2	
駛	ʂʅ3	
駟	sɿ5	
駙	fu5	
駒	tɕi1	
駐	tʂu5	
駝	tʰʊ2	
駕	tɕio5	
駡	mo5	
駭	xɛˀ7	
驗	iẽ5	
駿	tɕin5	
騎	tɕʰi2	
騙	pʰiẽ5	
騷	sɔ1	
騾	lʊ2	
驟	tsəɯ5	
骨	kuˀ7	
骼	kɛˀ7	
髓	ʂuəi2	
高	kɔ1	
鬃	tsoŋ1	
鬢	pin1	
魂	xuən2	
魄	pʰɛˀ7	
魏	uəi5	
魔	mʊ2	
魚	i2	
魯	lu3	
鮮	siẽ1	
鯁	kən3	
鰱	liẽ3	
鯉	li3	
鰣	ʂʅ2	
鯊	ʂo1	
鯽	tɕiˀ7	
鰓	sɛ1	
鱷	ʊˀ7	
鰍	tɕʰiəɯ1	
鯿	piẽ1	
鰲	ɔ2	
鰥	kuã1	
鱉	pieˀ7	
鰻	mõ2	
鱗	lin2	
鳥	liɔ3	
鳩	tɕiəɯ1	
雞	tɕi1	
鳴	min2	
鷗	əɯ1	
鴉	io1	
鴨	ioˀ7	
鴦	iã1	
鴛	iẽ1	
鴕	tʰʊ2	
鴿	kʊˀ7	
鴻	xoŋ2	
鵑	tɕiẽ1	
鵝	ʊ2	
鵲	tʂʰʊˀ7	
鵪	ã1	
鵬	pʰən2	
鶴	xʊˀ7	
鸚	in1	
鷲	tɕiəɯ5	
鷹	in1	
鹿	luˀ7	
麋	mi2	
麒	tɕʰi2	
麓	luˀ7	
麝	ʂe5	
麟	lin2	
麥	mɛˀ7	
麩	fu1	
麻	mo2	
黃	xuã2	
黍	tʂʰuˀ7	
黎	li2	
黑	xɛˀ7	
黔	tɕʰiẽ2	
默	mɛˀ7	
黛	tɛ5	
鼎	tin3	
鼓	ku3	
鼠	tʂʰu3	
鼻	piˀ7	
鼾	xã1	
齊	tɕʰi2	
齒	tʂʰʅ3	
齡	lin2	
齦	in2	
龍	loŋ2	
𣝗	xuˀ7	桃~
