#漢字	音標	解釋
㕶	ʔŋ̍5	兒語屎
恥	tʃʰʯ5	
恨	ɦəŋ6	
恩	əŋ1	
恫	doŋ6	
恭	koŋ1	
息	ɕieʔ7	
恰	tɕʰiaʔ7	
恰	tɕʰieʔ7	
恿	yoŋ3	
悅	ɦyeʔ8	
悉	ɕieʔ7	
悍	ɦᴇɪ2	
悔	huᴇɪ5	
悖	bᴇɪ6	悖時
悟	nu6	
悠	iu1	
患	ɦuɛ2	
悅	ɦyeʔ8	
悲	pᴇɪ1	
悶	məŋ6	
悸	tɕi1	
悼	dɔ6	
悽	tɕʰi1	
情	dʑiŋ2	
惋	uø3	
惑	ɦoʔ8	
惕	tʰieʔ7	
惜	ɕieʔ7	
惟	vi2	
惠	ɦuᴇɪ2	
惡	u5	可惡
惡	oʔ7	惡劣
惦	tiɪ1	
惰	daʊ2	
惱	nɔ6	
想	ɕiã6	
惶	ɦuɔ̃2	
惹	zo6	
惺	ɕiŋ1	
愁	zᴇɪ2	
愈	ɦy2	
愉	ɦy2	
愎	bieʔ8	
意	i5	
愚	ȵy2	
愛	ᴇ3	
感	kiɪ3	
愧	kʰuᴇɪ5	
慄	lieʔ8	
慈	dzɿ2	
態	tʰᴇ5	
慌	huɔ̃1	
慎	ʒøŋ2	
慕	maʊ2	
慘	tsʰɛ3	
慚	dzɛ2	
慢	mɛ6	
慣	kuɛ5	
慧	ɦuᴇɪ2	
慨	kʰᴇ5	
慫	tʃʰoŋ1	
慮	li2	
慰	uᴇɪ5	
慶	tɕʰiŋ5	
慷	kʰɔ̃1	
憂	iu1	
憋	pieʔ7	
憎	tsəŋ1	
憐	liɪ2	
憑	biŋ2	
憔	dʑio2	
憤	vəŋ6	
憨	hᴇɪ1	
憫	miŋ6	
憲	ɕiɪ5	
憶	ieʔ7	
憾	ɦᴇɪ2	
懂	toŋ3	
懇	kʰəŋ3	
應	iŋ5	
懊	ɔ5	
懦	naʊ2	
懲	dʑiŋ2	
懵	mɔ̃6	
懶	lɛ6	
懷	ɡua2	白讀
懷	ɦuɛ2	文讀
懸	ɦyø2	
懺	tsʰɛ5	拜懺
懼	dʑy6	
戀	liɪ2	
戇	ɡɔ̃6	戇大
戈	kaʊ1	
戊	vu6	
戌	ʃøʔ7	
戎	ȵyoŋ2	
成	dʑiŋ2	
我	ŋo6	
戒	ka5	
或	ɦoʔ8	
戚	tɕʰieʔ7	
戟	tɕieʔ7	畫戟
戡	kʰɛ1	
戤	ɡᴇ6	斜靠
截	ʑieʔ8	截斷
截	dʑyeʔ8	半截
戮	loʔ8	殺戮
戰	tʃø5	
戲	ɕi5	
戳	tʃʰoʔ7	刺入
戴	ta5	白讀
戴	tᴇ1	文讀
戶	vu6	
戶	vu6	
戶	vu6	
房	vɔ̃2	
所	so3	
扁	piɪ3	
扇	ɕiɪ5	
手	ɕiu3	
才	dzᴇ2	
扎	tsaʔ7	
扒	bo2	
打	tã3	
扛	kɔ̃5	
扣	kʰᴇɪ5	
扭	ȵiu6	
扮	pɛ5	
扯	tsʰo3	
扳	pɛ1	
扶	vu6	
批	pʰi1	
扼	aʔ7	
找	tsɔ3	
承	dʑiŋ2	
技	dʑi6	
抄	tsʰɔ1	
抅	ɡᴇɪ6	頭部伏案臂上
抉	tɕyeʔ7	
把	po3	
抑	ieʔ7	
抒	ʒʯ2	
抓	tso5	
投	dᴇɪ2	
抖	tᴇɪ3	
抗	kʰɔ̃5	
折	tʃøʔ7	
披	pʰi1	
抱	bɔ6	
抲	kʰo5	捉
抵	ti3	
抹	maʔ8	
押	aʔ7	
抽	tɕʰiu1	
抿	miŋ6	
拂	faʔ7	
拄	tʃʯ5	
拆	tsʰaʔ7	
拇	m̩2	
拉	ʔla5	
拋	pʰɔ1	
拌	bø6	
拍	pʰaʔ7	
拐	kua3	
拒	dʑy6	
拓	tʰaʔ7	拓碑
拓	tʰoʔ7	開拓
拔	baʔ8	
拖	tʰaʊ1	
拗	ɔ3	拗斷
拗	ɔ5	拗攪，拗猛江
拘	tɕy1	
拙	tɕyeʔ7	
招	tɕio1	
拜	pa5	
括	kuaʔ7	
拯	dʑiŋ2	
拱	koŋ3	
拳	dʑyø2	
拷	kʰɔ3	
拼	pʰiŋ1	
拾	ʒøʔ8	
拿	no6	
持	dʒʯ2	
指	tsɿ3	
挈	tɕʰieʔ7	挈匣
按	ᴇɪ5	
挑	tʰio1	
挖	uaʔ7	
挨	a1	挨次
挪	no6	
挫	tsʰaʊ1	
振	tʃøŋ5	
挺	tʰiŋ3	
挽	uɛ3	
捅	tʰoŋ3	
捆	kʰuəŋ3	
捉	tʃoʔ7	
捋	laʔ8	
捍	ɦᴇɪ2	
捏	ȵieʔ8	
捐	tɕyø1	
捕	bu6	
捧	pʰoŋ3	
捨	so3	白讀 捨棄
捨	ʃø3	文讀 捨去
捱	ŋa6	捱辰光
捶	dʒʯ2	白讀 捶背
捶	zᴇɪ2	文讀
捷	dʑieʔ8	
捺	naʔ8	
掀	ɕiɪ1	
掂	tiɪ1	
掃	sɔ3	掃地
掃	sɔ5	掃帚
掇	taʔ7	用手端
授	ʑiu6	
掉	dio6	
掌	tʃɔ̃1	
掐	kʰaʔ7	
排	ba2	
掗	o5	掗賣豆腐
掘	dʑyeʔ8	
掙	tsəŋ1	
掛	kuo5	
掠	lieʔ8	
採	tsʰᴇ3	
探	tʰᴇɪ5	
接	tɕieʔ7	
控	kʰoŋ5	
推	tʰᴇɪ1	
掩	iɪ1	
措	tsʰu5	
掭	tʰiɪ3	掭燈芯
掮	dʑiɪ2	
掰	pɛ1	掰開
揀	kɛ3	
揉	ȵyoʔ8	
描	mio2	
提	di6	
插	tsʰaʔ7	
揖	ieʔ7	
揚	ɦiã2	
換	ɦuø6	
揠	iaʔ7	
握	oʔ7	
揩	kʰa1	
揭	tɕieʔ7	
揮	huᴇɪ1	
援	ɦuø2	
援	ɦyø2	
揹	pᴇɪ1	揹負
揾	uəŋ1	揾醬油
損	səŋ3	
搏	poʔ7	
搓	tsʰaʊ1	
搔	tsɔ1	
搖	ɦio2	
搗	tɔ3	
搜	sᴇɪ5	
搧	ɕiɪ5	
搪	dɔ̃6	搪瓷
搬	pø1	
搭	taʔ7	
搵	uəŋ1	搵醬油
搶	tɕʰiã3	
搽	dzo2	
摘	tsaʔ7	
摘	tieʔ7	
摜	ɡuɛ6	
摝	ʔloʔ7	摝鈴
摟	laʊ6	摟錢
摟	ʔlaʊ5	抱嬰兒
摧	tsʰᴇɪ5	
摩	maʊ2	
摯	tsɿ5	
摸	moʔ8	
摺	tɕieʔ7	
撇	pʰieʔ7	
撈	ʔlɔ5	
撐	tsʰã1	
撑	tsʰã1	
撒	dza6	撒尿
撒	saʔ7	撒手
撓	nɔ6	
撕	sɿ1	
撗	ɦuã3	撗蜘網
撙	tsəŋ1	撙節
撞	dʒɔ̃6	
撣	tɛ3	
撤	tʃʰøʔ7	
撥	paʔ7	
撩	lio6	水中撈物
撫	vu6	
撬	dʑio6	
播	paʊ5	
撮	tsʰaʔ7	
撲	pʰoʔ7	
撳	tɕʰiŋ5	
撻	daʔ8	
撼	ɦᴇɪ2	
擁	yoŋ3	
擂	lᴇɪ6	
擄	laʊ6	
擅	ʒø6	
擇	dzaʔ8	
擇	zaʔ8	家擇科
擊	tɕieʔ7	
擋	tɔ̃3	阻擋
擋	tɔ̃5	擋扶
操	tsʰɔ1	
擎	dʑiŋ2	
擒	dʑiŋ2	
擔	tɛ1	擔任
擔	tɛ5	挑擔
據	tɕy5	
擠	tɕi3	
擡	dᴇ2	
擤	ɕiŋ3	擤鼻涕
擦	tsʰaʔ7	
擬	ȵi2	
擯	piŋ1	擯棄
擰	ȵiŋ2	
擱	koʔ7	
擱	ɡoʔ8	
擲	dʑieʔ8	
擴	kʰoʔ7	
擺	pa3	
擾	ʑio6	
攀	pʰɛ1	
攏	loŋ6	
攔	lɛ2	文讀
攔	laʔ8	白讀 攔牢
攘	ȵiã6	
攙	tsʰɛ1	
攝	ɕieʔ7	
攤	tʰɛ1	
攪	ɡɔ6	攪七廿三
攫	dʑy6	
攬	lɛ6	
攮	nɔ̃2	攮一刀
支	tsɿ1	
收	ɕiu1	
改	kᴇ3	
攻	koŋ1	
放	fɔ̃5	
政	tɕiŋ5	
故	ku5	
效	ɦio6	文讀
效	ɦɔ6	白讀 效氣
敏	miŋ6	
救	tɕiu5	
敖	ŋɔ2	
敗	ba6	
敘	ʒʯ6	
教	tɕio5	文讀
教	kɔ5	白讀
敝	bi6	
敞	tɕʰiã1	
敢	kiɪ3	
散	sɛ3	
散	sɛ5	
敦	təŋ1	
敨	tʰᴇɪ3	敨開
敬	tɕiŋ5	
敲	tɕʰio1	文讀
敲	kʰɔ1	白讀
整	tɕiŋ3	
敵	dieʔ8	
敷	fu1	
數	su3	文讀 數一數
數	su5	數目
數	ʃʯ3	白讀 數一數
斂	liɪ6	
斃	bi2	
文	vəŋ2	
斌	piŋ1	
斑	pɛ1	
斗	tᴇɪ3	升斗
斛	ɦoʔ8	
斜	ʑia6	
斟	tɕiŋ1	
斤	tɕiŋ3	
斥	tsʰaʔ7	白讀 斥退
斥	tʃʰøʔ7	白讀 斥退
斥	tɕʰieʔ7	文讀
斧	fu3	
斬	tsɛ5	
斯	sɿ1	
新	ɕiŋ1	
斷	tø5	決斷
斷	dø6	斷開
方	fɔ̃1	
於	y1	
施	sɿ1	
旁	bɔ̃2	
旅	li2	
旋	ʒø6	
族	dʒoʔ8	
旗	dʑi2	
既	tɕi5	
日	ʒøʔ8	文讀
日	ȵieʔ8	白讀
旦	tɛ5	
旨	tsɿ3	
早	tsɔ3	
旬	ʃøŋ1	
旭	ɕyeʔ7	
旱	ɦᴇɪ2	
旺	ɦuɔ̃6	
昂	ɦɔ̃2	
昆	kʰuəŋ1	
昌	tʃʰɔ̃1	
明	məŋ2	白讀 明份
明	miŋ2	文讀
昏	huəŋ1	
易	ɦi2	容易
易	ɦieʔ8	交易
昔	ɕieʔ7	
星	ɕiŋ1	
映	iã1	
春	tʃʰøŋ1	
昧	mᴇɪ6	
昨	dʒoʔ8	文讀 昨天
昨	ʒoʔ8	白讀 昨日
昭	tɕio1	
是	zɿ6	
時	zɿ2	
晃	huã5	晃來晃去
晃	huɔ̃1	
晉	tɕiŋ1	
晉	tʃøŋ5	
晏	ɛ5	遲
晏	iɪ5	姓
晚	mɛ6	白讀 晚娘
晚	vɛ6	文讀
晝	tɕiu5	
晤	nu6	
晦	huᴇɪ5	
晨	ʒøŋ2	
普	pʰu3	
景	tɕiŋ1	
晰	ɕieʔ7	
晴	ʑiŋ2	
晶	tɕiŋ1	
智	tʃʯ1	
暈	ɦyoŋ6	
暑	ʃʯ1	
暖	nø6	
暗	ᴇɪ1	
暗	ᴇɪ5	
暢	tʃʰɔ̃5	
暫	dzɛ6	
暮	maʊ6	
暴	bɔ6	
曉	ɕio3	
曙	ʒʯ2	
曠	huɔ̃5	
曩	nɔ̃2	曩昔
曬	sa1	
曲	tɕʰyeʔ7	
更	kã1	白讀
更	kəŋ1	文讀
書	ʃʯ1	
曹	dzɔ2	
曼	mɛ2	
曾	tsəŋ1	姓
替	tʰi5	
最	tsᴇɪ5	
會	kuᴇɪ5	會計
會	ɦuᴇɪ6	開會
月	ɦyeʔ8	
有	ɦiu6	
朋	bã2	
服	voʔ8	
朔	ʃoʔ7	
朕	dʑiŋ2	
朗	lɔ̃2	
望	mɔ̃6	白讀
望	vɔ̃6	文讀
朝	tɕio1	明朝
朝	dʑio2	朝代
期	dʑi2	
朦	ʔmoŋ1	
朧	loŋ2	
木	moʔ8	
未	mi6	白讀 還早未
未	vi6	文讀
末	maʔ8	
本	pəŋ3	
札	tsaʔ7	
朮	dʑieʔ8	白朮
朱	tʃʯ1	
朵	to3	
机	tɕi1	
朽	ɕiu1	
杆	kiɪ3	
杈	tsʰo1	
杉	sɛ1	
杌	ɦuaʔ8	席子
李	li6	
杏	ɦã6	
材	dzᴇ2	木材
材	zᴇ2	棺材
村	tsʰəŋ1	
杖	dʑiã6	
杜	du6	
杞	tɕʰi5	
束	ʃoʔ7	
杠	kɔ̃5	
杭	ɦɔ̃2	
杯	pᴇɪ1	
東	toŋ1	
杳	io5	
杴	ɕiɪ1	㽘泥杴
杷	bo2	
松	ʃoŋ1	
板	pɛ3	
枇	bi2	
枉	ɦuɔ̃2	冤枉
枉	uɔ̃5	枉然
析	ɕieʔ7	
枕	tɕiŋ3	
林	liŋ2	
枚	mᴇɪ2	
果	kuø3	兒化變讀 祭竈果
果	kaʊ3	
枝	tsɿ1	
枯	kʰu1	
架	ko5	
柄	piŋ3	話柄
柄	piŋ5	把柄
柏	paʔ7	
某	maʊ6	
柑	kiɪ1	
染	ȵiɪ6	
柔	dʑiu2	
柞	tso5	
查	dzo2	
柩	tɕiu5	
柬	kɛ3	白讀
柬	tɕiɪ1	文讀
柱	dʒʯ6	
柳	liu2	
柴	za2	
柴	zɛ2	兒化變讀 草柴
柵	saʔ7	
柿	zɿ6	
栗	lieʔ8	
校	tɕio5	文讀 校對
校	ɦio6	學校
校	kɔ5	白讀 校場
株	tʃʯ1	
核	ɦaʔ8	文讀 核能
核	ɦuaʔ8	白讀 果核
根	kəŋ1	
格	kaʔ7	
栽	tsᴇ1	
桁	ɦã2	桁條
桂	kuᴇɪ5	
桃	dɔ2	
桅	ɦuᴇɪ2	
框	kʰuɔ̃1	
案	ᴇɪ5	
桌	tʃoʔ7	
桐	doŋ2	
桑	ʃɔ̃1	
桓	ɦuø2	
桔	tɕyeʔ7	
桶	doŋ6	
梁	liã2	
梅	mᴇɪ2	
梓	tsɿ3	
梔	tsɿ1	
梗	kã1	白讀
梗	kuã3	白讀
梗	kəŋ1	文讀
條	dio2	
梢	sɔ5	
梧	nu6	
梨	li2	
梭	saʊ1	
梯	tʰi1	
梯	tʰᴇ1	路梯
械	ɦiᴇ2	
梳	sɿ1	
棄	tɕʰi5	
棉	miɪ2	
棋	dʑi2	
棍	kuəŋ5	
棒	bɔ̃6	
棕	tʃoŋ1	
棗	tsɔ3	
棚	bã2	
棟	toŋ5	
棠	dɔ̃2	
棧	dzɛ6	
森	səŋ1	
棱	ləŋ2	
棲	tɕʰi1	
棵	kʰaʊ3	
棺	kuø1	
椅	i3	
椅	u3	
植	dʑieʔ8	
椏	o1	椏杈
椒	tɕio1	
椰	ɦiᴇ6	
椽	dʒø2	
椿	tʃʰøŋ1	
楊	ɦiã2	
楓	foŋ1	
楔	tɕʰi5	
楚	tsʰu1	
楞	ləŋ2	
楣	mᴇɪ2	
楦	ɕyø1	鞋楦
業	ȵieʔ8	
極	dʑieʔ8	
楷	kʰa1	
楹	ʑiŋ6	
榆	ɦy2	
榜	pɔ̃3	
榧	fi1	
榨	tso5	
榫	ʃøŋ3	
榮	ɦyoŋ2	
榴	liu2	
榷	tɕʰyeʔ7	
榻	tʰaʔ7	
構	kᴇɪ5	
槌	dʒʯ6	白讀 甩鑼槌
槌	dzᴇɪ6	文讀
槍	tɕʰiã1	
槐	ɦuɛ2	
槐	ɦuᴇɪ2	
槓	kɔ̃5	
槳	tɕiã3	
槽	zɔ2	
樁	tʃɔ̃1	
樂	ɦyeʔ8	音樂
樂	loʔ8	快樂
樂	ŋoʔ8	姓
樊	vɛ2	
樑	liã2	
樓	lᴇɪ2	
標	pio1	
樟	tʃɔ̃1	
模	maʊ2	
樣	ɦiã6	
樵	ʑio2	
樸	pʰoʔ7	
樹	ʒʯ2	樹立
樹	ʒʯ6	樹木
橄	kɛ3	
橋	dʑio2	
橙	dʑiŋ2	
機	tɕi1	
橡	ʑiã6	
橢	tʰaʊ3	
橫	ɦuã2	橫直
橫	uã5	橫對
檀	dɛ2	
檁	liŋ6	
檎	dʑiŋ2	
檐	ɦiɪ2	
檔	tɔ̃3	
檜	kuᴇɪ5	
檢	tɕiɪ3	
檬	ʔmoŋ1	
檸	ȵiŋ2	
檻	kʰɛ1	門檻
櫃	dʑy6	白讀
櫃	ɡuᴇɪ6	文讀
櫓	lu6	
櫥	dʒʯ2	
櫬	tɕʰiŋ5	
櫻	ã1	白讀 櫻桃
櫻	iŋ1	文讀
欄	lɛ2	文讀
欄	laʔ8	白讀 柵欄
權	dʑyø2	
欖	lɛ2	
欠	tɕʰiɪ5	
次	tsʰɿ5	
欣	ɕiŋ1	
欲	ɦyeʔ8	
欲	ɦyoʔ8	
欺	tɕʰi1	
欺	tɕʰia5	欺詐
欽	tɕʰiŋ5	
款	kʰuø3	
歇	ɕieʔ7	
歉	tɕʰiɪ5	
歌	kaʊ1	
歐	ᴇɪ1	
歡	huø1	
止	tsɿ3	
正	tɕiŋ1	正月
正	tɕiŋ5	公正
此	tsʰɿ1	
步	bu6	
武	vu6	
歧	dʑi6	
歪	hua5	
歪	ua1	
歲	ʃʯ1	白讀
歲	sᴇɪ5	文讀
歷	lieʔ8	
歸	tɕy1	白讀 歸家
歸	kuᴇɪ1	文讀
死	sɿ3	文讀
死	ɕi3	白讀
歿	maʔ8	
殃	iã5	
殆	dᴇ6	
殉	ʃøŋ5	
殊	ʒʯ2	
殕	bu6	白黴
殖	dʑieʔ8	
殘	dzɛ2	
殮	liɪ6	
殯	piŋ5	
殲	tɕʰiɪ1	
段	dø6	
殷	iŋ5	
殺	saʔ7	
殼	kʰɔ̃1	兒化變讀 礱殼（糠）
殼	kʰoʔ7	
殿	diɪ6	
毀	huᴇɪ5	
毅	ȵi6	
毆	ᴇɪ1	
母	mᴇɪ6	
每	mᴇɪ6	
毒	doʔ8	
比	pi3	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰɛ3	
氈	tɕiɪ1	
氏	zɿ6	
民	miŋ2	
氓	mɔ̃2	
氛	vəŋ2	
氣	tɕʰi5	
水	ʃʯ3	白讀
水	sᴇɪ3	文讀
永	yoŋ3	
氽	tʰəŋ3	氽長江
汀	tʰiŋ1	
汁	tɕieʔ7	
求	dʑiu2	
汐	ʑieʔ8	
汗	ɦᴇɪ6	
汛	ɕiŋ5	
汝	ʒʯ2	
汞	koŋ1	
江	kɔ̃3	
池	dʒʯ2	
污	u1	
汪	uɔ̃5	
汰	tʰa1	
汴	biɪ6	
決	tɕyeʔ7	
汽	tɕʰi5	
沁	tɕʰiŋ5	
沃	oʔ7	
沈	ɕiŋ3	
沉	dʑiŋ2	
沌	dəŋ2	
沒	maʔ8	
沒	maʔ8	嘸沒合音
沓	daʔ8	一沓紙
沙	so1	
沛	pʰᴇɪ5	
沫	maʔ8	
河	ɦaʊ2	
沸	fi1	
油	ɦiu2	
治	dʒʯ2	
沼	tɕio1	
沾	tɕiɪ1	
沿	ɦiɪ2	
況	huɔ̃5	
泅	dʑiu2	
泉	dʒø2	
泊	boʔ8	
泌	pi5	
泔	kiɪ1	
法	faʔ7	
泛	fɛ5	
泡	pʰɔ1	
波	paʊ1	
泣	tɕʰieʔ7	
泥	ȵi2	
注	tʃʯ5	
泰	tʰa5	
泳	yoŋ3	
洋	ɦiã2	
洗	ɕi3	
洛	loʔ8	
洞	doŋ6	
津	tɕiŋ1	
洪	ɦoŋ2	
洲	tɕiu1	
洶	ɕyoŋ1	
活	ɦuaʔ8	
洽	ɦieʔ8	
派	pʰa5	
流	liu2	
浙	tʃøʔ7	
浚	ʃøŋ5	
浜	pã1	
浦	pʰu3	
浩	ɦɔ2	
浪	lɔ̃6	
浮	vu2	文讀
浮	vᴇɪ2	文讀
浴	ɦyeʔ8	文讀
浴	ȵyoʔ8	白讀
浴	ɦyoʔ8	文讀
海	hᴇ3	
浸	tɕiŋ5	
涂	du2	
消	ɕio1	
涉	dʑieʔ8	
涌	yoŋ3	
涎	zɛ2	
涓	tɕyø1	
涕	tʰi5	
涯	ɦia2	
液	ɦieʔ8	
涵	ɦᴇɪ2	
涼	liã2	
淅	ɕieʔ7	
淆	ɦio6	
淋	liŋ2	
淌	tʰã3	水淌
淑	ʒoʔ8	
淒	tɕʰi1	
淘	dɔ2	
淚	li2	白讀
淚	lᴇɪ2	文讀
淡	dɛ6	
淤	y5	
淨	ʑiŋ6	
淪	ləŋ2	
淫	ɦiŋ2	
淮	ɦuɛ2	
深	ɕiŋ1	
淳	ʒøŋ2	
淵	yø1	
混	ɦuəŋ2	混水
混	ɦuəŋ6	混合
淹	iɪ1	
淺	tɕʰiɪ3	
添	tʰiɪ1	
清	tɕʰiŋ1	
渕	yø1	
渙	huø1	
減	kɛ3	
渝	ɦy2	
渠	dʑi6	他
渠	dʑy6	水渠
渡	du6	
渣	tso1	
渤	baʔ8	
渦	aʊ1	
溫	uəŋ1	
測	tsʰaʔ7	
港	kɔ̃3	
渴	kʰaʔ7	
渺	mio6	
渾	ɦuəŋ2	
湃	pa5	
湊	tsʰᴇɪ5	
湖	vu2	
湘	ɕiã1	
湫	tɕʰiu1	
湮	iŋ5	
湯	tʰɔ̃1	
溏	dɔ̃2	爛溏
源	ȵyø2	
準	tʃøŋ3	
溜	liu6	
溝	kᴇɪ1	
溢	ieʔ7	
溪	tɕʰi1	
溫	uəŋ1	
溶	ɦyoŋ2	
溺	ȵieʔ8	
溼	ɕieʔ7	
滂	bɔ̃2	
滄	tʃʰɔ̃1	
滅	mieʔ8	
滇	diɪ6	
滋	tsɿ1	
滌	dieʔ8	
滑	ɦuaʔ8	
滓	tsɿ1	
滔	tʰɔ1	
滕	dəŋ2	
滬	vu2	
滯	dʒʯ6	滯底
滰	dʑiã6	洗
滲	səŋ5	
滴	tieʔ7	
滷	lu6	
滸	fu3	
滾	kuəŋ3	
滿	mø6	
漁	ɦy2	
漂	pʰio1	漂浮
漂	pʰio3	漂白
漆	tsʰaʔ7	白讀
漆	tɕʰieʔ7	文讀
漏	lᴇɪ6	
漓	li2	
演	ɦiɪ6	
漕	zɔ6	池塘
漠	moʔ8	
漢	hᴇɪ5	
漫	mɛ2	文讀
漫	mø2	白讀 漫白
漲	tɕiã3	
漸	dʑiɪ6	
漾	ɦiã2	
漿	tɕiã5	
潑	pʰaʔ7	
潔	tɕieʔ7	
潘	pʰø5	姓
潛	dʑiɪ2	
潤	ʒøŋ6	
潭	dɛ2	文讀
潭	dᴇɪ2	白讀 水淌潭
潮	dʑio2	
潰	ɡuᴇɪ6	潰敗
潰	ɡuəŋ2	潰膿
潽	pʰu5	水沸
澀	saʔ7	
澄	dʑiŋ2	
澆	tɕio1	
澇	ʔlɔ5	
澈	tʃʰøʔ7	
澎	bã2	
澗	tɕiɪ5	
澡	tsɔ1	
澤	dzaʔ8	
澱	diɪ2	
澳	ɔ5	
激	tɕieʔ7	
濁	dʒoʔ8	
濃	ȵyoŋ2	
濘	ȵiŋ2	
濟	tɕi5	
濠	ɦɔ2	
濠	ɦɛ2	兒化變讀 濠河頭
濤	dɔ2	
濫	lɛ6	
濱	piŋ1	
濺	tsɛ5	
濾	li6	
瀉	ɕia5	
瀑	boʔ8	
瀛	ɦiŋ2	
瀝	lieʔ8	
瀟	ɕio1	
瀠	ɦiŋ2	
瀾	lɛ2	
灌	kuø5	
灑	sa3	
灘	tʰɛ1	
灣	uɛ1	
灤	lø2	
火	haʊ3	
灰	huᴇɪ1	
灸	tɕiu5	
災	tsᴇ1	
炊	tsʰᴇɪ1	
炎	ɦiɪ2	
炒	tsʰɔ3	
炕	kʰɔ̃1	炕牀
炬	dʑy6	
炭	tʰɛ5	
炮	pʰɔ5	
炯	tɕyŋ1	
炯	tɕyoŋ1	yn韻字又讀yon韻
炳	piŋ3	
炸	tso5	
炸	zaʔ8	油炸檜
爲	ɦuᴇɪ6	
烈	lieʔ8	
烊	ɦiã2	
烏	u1	
烘	hoŋ5	
烙	loʔ8	
烤	kʰɔ5	
烹	pʰã1	
烽	foŋ1	
焊	ɦᴇɪ6	
焐	u5	煨
焙	bᴇɪ6	
焚	vəŋ6	
無	vu6	文讀
無	ʔm̩5	白讀 無賬得算
焦	tɕio1	
焰	ɦiɪ6	
然	ʒø6	
煉	liɪ6	
煎	tɕiɪ1	
煙	iɪ1	
煞	saʔ7	
煠	zaʔ8	油煠檜
煤	mᴇɪ2	
煥	huø5	
照	tɕio5	
煨	uᴇɪ1	
煩	vɛ2	
煮	tsɿ3	
煽	ɕiɪ1	
熄	ɕieʔ7	
熊	ɦyoŋ2	
熒	ɦyoŋ2	
熓	u3	火熄
熔	ɦyoŋ2	
熙	ɕi1	
熟	ʒoʔ8	
熨	iŋ5	
熬	ŋɔ2	
熱	ȵieʔ8	
燂	dɛ2	燒水
燃	ʒø6	
燈	təŋ1	
燉	təŋ5	
燎	lio2	
燒	ɕio1	
燕	iɪ5	
燙	tʰɔ̃5	
燜	məŋ6	
營	ɦiŋ2	
燥	sɔ1	
燦	tsʰɛ5	
燭	tʃoʔ7	
燻	ɕyŋ1	
燻	ɕyoŋ1	yn韻字又讀yon韻
爆	pɔ5	爆裂
爆	bɔ6	爆炸
爐	lu2	
爛	lɛ6	
爪	tsɔ3	
爬	bo2	
爭	tsã1	白讀
爭	tsəŋ1	文讀
爲	ɦuᴇɪ6	
爵	tɕieʔ7	
父	vu6	
爸	paʔ7	阿爸
爹	tia1	白讀
爹	tiᴇ1	文讀
爺	ɦia2	白讀
爺	ɦiᴇ2	文讀
爽	ʃɔ̃3	
爾	l̩2	
爿	bɛ6	
爿	mɛ2	
牀	ʒɔ̃2	
牆	ʑiã2	
片	pʰiɪ5	
版	pɛ3	
牌	ba2	
牌	bɛ2	兒化變讀 麻雀牌
牒	dieʔ8	
牘	doʔ8	
牙	ŋo2	
牛	ŋᴇɪ2	白讀
牛	ȵiu2	文讀
牟	mᴇɪ2	
牡	mᴇɪ6	
牢	lɔ2	
牧	moʔ8	
物	vaʔ8	
牯	ku3	
牲	sã1	白讀
牲	səŋ1	文讀
特	daʔ8	
牽	tɕʰiɪ1	
犀	ɕi1	
犁	li2	
犒	kʰɔ5	
犢	doʔ8	
犧	ɕi1	
犬	tɕʰyø3	
犯	vɛ6	
狀	ʒɔ̃6	
狂	ɡuɔ̃6	
狄	dieʔ8	
狐	vu2	
狗	kᴇɪ3	
狗	kiɪ1	兒化變讀 黃狗
狠	həŋ3	
狡	tɕio1	
狸	li2	
狹	ɦaʔ8	
狺	ȵiŋ2	
狼	lɔ̃6	
狽	pᴇɪ1	
猖	tʃʰɔ̃1	
猙	tsəŋ1	
猛	mã6	
猜	tsʰᴇ1	
猩	ɕiŋ1	
猴	ɦᴇɪ2	
猶	ɦiu2	
猻	səŋ1	
猾	ɦuaʔ8	
猿	ɦyø2	
獅	sɿ1	
獎	tɕiã3	
獨	doʔ8	
獰	ȵiŋ2	
獲	ɦoʔ8	
獵	laʔ8	
獸	ɕiu5	
獺	tʰaʔ7	
獻	ɕiɪ5	
玄	ɦyø2	
率	saʔ7	率領
率	lieʔ8	效率
玉	ȵyoʔ8	
王	ɦuɔ̃2	
玩	ɦuɛ2	
玫	mᴇɪ2	
玲	liŋ2	
玻	paʊ1	
珊	sɛ1	
珍	tʃøŋ1	
珠	tʃʯ1	
班	pɛ1	
現	ɦiɪ6	
球	dʑiu2	
理	li6	
琉	liu2	
琢	tʃoʔ7	
琳	liŋ2	
琴	dʑiŋ2	
琵	bi2	
琶	bo2	
琺	faʔ7	
瑞	zᴇɪ6	
瑟	saʔ7	
瑣	saʊ3	
瑤	ɦio2	
瑩	ɦiŋ2	
瑪	mo6	
瑾	dʑiŋ2	
璃	li2	
璧	pieʔ7	
環	ɦuɛ2	
璽	ɕi1	
瓊	dʑyŋ2	
瓊	dʑyoŋ2	yn韻字又讀yon韻
瓜	kuo1	
瓜	kuø3	兒化變讀 黃金瓜
瓠	vu2	
瓢	bio2	
瓣	bɛ6	
瓤	ȵiã2	瓜瓤
瓦	ŋo6	
瓶	biŋ6	
瓷	dzɿ2	
甌	ᴇɪ1	
甏	bã6	陶盛器
