#漢字	音標	解釋
□	kʰɪŋ2	凝結成凍了
柬	kan3	
柱	tsʰi3	
柳	lɐu3	
柴	tsʰai2	
柺	kwai3	
柿	si2	
栅	tsap7b	
栗	lɪk8	
校	hau2	
校	kau5	~对
株	tsi1	
核	hɐk8	~实
核	hɐk7b	
根	kɐn1	
格	kak7b	
栽	tsɔi1	
桁	hɐŋ2	
桂	kwɐi5	
桃	tʰou2	
桅	wɐi2	
框	kwʰaŋ1	
案	ɔn5/ŋɔn5	
桌	tsɵk7b	
桐	tʰuŋ2	
桑	sɔŋ1	
桶	tʰuŋ3	
桿	kɔn3	
梁	lɵŋ2	
梅	mui2	
梓	tsi3	
梗	kwʰaŋ3	
條	tʰiu2	
梢	sau1	
梧	ŋ̍2	
梨	lei2	
梭	sɔ1	
梯	tʰai1	
械	hai2	
梳	sɔ1	
棄	hei5	
棉	min2	
棋	kʰei2	
棍	kwɐn5	
棒	pʰɔŋ3	
棗	tsou3	
棚	pʰaŋ2	
棟	tuŋ2	
棠	tʰɔŋ2	
棧	tsan2	
森	sɐm1	
棱	lɪŋ2	
棲	sɐi1	
棵	kʰɔ1	
棺	kun1	
椅	ji3	
植	tsɪk8	
椏	ŋa1	
椒	tsiu1	
椰	jɛ2	
椶	tsuŋ1	
楂	tsa1	
楊	jɵŋ2	
楓	fuŋ1	
楔	sip7b	
楚	tsʰɔ3/tsʰu2	
楝	lin2	
楣	mei2	
業	jip8	
極	kɪk8	
概	kʰɔi5	
榆	ji2	
榜	pɔŋ3	
榨	tsa5	
榫	sɐn3	
榮	wɪŋ2/juŋ2	
榴	lɐu2	
構	kʰɐu5	
槌	tsʰui2	
槍	tsʰɵŋ1	
槐	wai2	
杠	kɔŋ5	
槳	tsɛŋ3	
槽	tsʰou2	
樂	lɔk7b	快~
樂	ŋɔk8	音~
樓	lɐu2	
標	piu1	
樞	si1	
樟	tsɵŋ1/tsɔŋ1	
模	mu1	
模	mou2	
樣	jɵŋ2	
橫	waŋ2	
樵	tsiu1	
樸	pʰɔk7b	
樹	si2	
橄	kam3	
橈	jiu2	
橋	kʰiu2	
橘	kɐt7a	
橙	tsʰaŋ3/tsʰɐn2	
機	kei1	
橡	tsɵŋ2	
橢	tʰɔ3	
檀	tʰan2	
檐	jin2	
檔	tɔŋ3	
檜	kʰui3	
檢	kim3	
檳	pɐt7a	~榔
櫂	tsau2	
櫃	kwɐi2	
櫓	lu3	
櫬	tsʰɐn5	
櫻	jɪŋ1	
欄	lan2	
權	kʰin2	
欖	lam3	
欠	him5	
次	tsʰi5	
欣	jɐn1	
欲	juk8	
欺	hei1	
欽	hɐm1	
款	fun3	
歉	him5	
歌	kɔ1	
歎	tʰan5	
歐	ŋɐu1	
歡	fun1	
止	tsi1	
正	tsɪŋ5	
正	tsɪŋ1	
此	tsʰi3	
步	pou2	
武	mou3/mu3	
歪	wai1	
歲	sui5	
歷	lɪk8	
歸	kwɐi1	
死	sei3	
殃	jɵŋ1	
殆	tɔi2	
殊	si2	
殕	mui1	
殖	tsɪk8	
殘	tsʰan2	
殮	lim3	
殯	pɐn1	
殲	tsʰin1	
段	tin2	
殷	jɐn1	
殺	sat7b	
殼	hɔk7b	
殿	tin2	
毁	wɐi3	
毅	ŋɐi2/ɐi2	
毆	ŋɐu1/ɐu1	
母	mu3	
每	mui3	
毒	tuk8	
比	pei3	
毛	mou2	
毫	hou2	
毯	tʰan3	
氈	tsin1	
氏	si2	
民	mɐn2	
氣	hei5	
水	sui3	
永	wɪŋ3	
汀	tʰɛŋ1	
汁	tsɐp7a	
求	kʰɐu2	
汗	hɔn2	
江	kɔŋ1	
池	tsʰi2	
污	wu2	
汪	wɔŋ1	
汴	pin2	
決	kʰit7b	
汽	hei5	
沃	juk7a	
沈	sɐm3	
沉	tsʰɐm2	
沌	tɐn2	
沓	tap8	
沙	sa1	
沛	pʰui5	
没	mut8	
沫	mut8	
河	hɔ2	
油	jɐu2	
治	tsi2	
沼	siu2	
沾	tsim1	
沿	jin2	
泄	sit7b	
泉	tsʰin2	
泊	pɔk7b	~车
泊	pɔk7b/pɔk8	梁山~
泌	pɐi5	
泔	kɐm1	
法	fat7b	
泛	fan2	
泡	pʰau5	
泡	pʰau1	~水
波	pɔ1	
泥	lɐi2	
注	tsi5	
泰	tʰai5	
泳	wɪŋ3	
洋	jɛŋ2	
洗	sɐi3	
洛	lɔk7b	
洞	tʰuŋ2	
津	tsɐn1	
洪	huŋ2	
洲	tsɐu1	
活	wut7b	
洽	hɐp7a	
派	pʰai5	
流	lɐu2	
浙	tsit7b	
浜	pɐn1/pɔŋ1	
浦	pʰu3/pʰou3	
浩	hou5/hou2	
浪	lɔŋ2	
浮	fɐu2	
浴	juk8	
海	hɔi3	
浸	tsɐm5	
消	siu1	
涉	sit7b	
涌	juŋ3	
涕	tʰɐi5	
涯	ŋai2	
液	jɪk8	
淋	lɐm2	
淑	suk8	
淘	tʰou2	
淚	lui2	
淡	tʰam3	
淤	ji1	
淪	lɐn2	
淫	jɐm2	
淮	wai2	
深	sɐm1	
淵	jin1	
混	wɐn3	
淹	jim3	
淺	tsʰin3	
添	tʰim1	
清	tsʰɪŋ1	
渠	kʰei2	
渡	tou2	
渣	tsa1	
溫	wɐn1	
測	tsʰɐk7a	
港	kɔŋ3	
渴	hɔt7b	
游	jɐu2	
渺	miu3	
渾	wɐn2	
湊	tsʰɐu5	
湖	wu2	
湘	sɛŋ1	
湯	tʰɔŋ1	
溉	kʰɔi5	
源	jin2	
溜	lɐu2	
溝	kʰɐu1	
溪	kʰɐi1	
溶	juŋ2	
溺	lɪk8	
滂	pʰɔŋ2	
滅	mit8	
滋	tsi1	
滑	wat8	
滔	tʰou1	
滚	kwɐn3	
滯	tsɐi2	
滲	tsʰɐm5	
滴	tɪk7a	
滷	lou3	
滸	fu3	
滿	mun3	
漁	ji2	
漂	pʰiu5	
漂	pʰiu1	
漆	tsʰɐt7a	
漏	lɐu2	
演	jin3	
漚	ŋɐu5/ɐu5	
漢	hɔn5	
漫	man2	
漱	su5	
漲	tsɵŋ5	
漸	tsim2	
漿	tsɵŋ1	
潑	pʰut7b	
潔	kit7b	
潘	pʰun1	
潛	tsʰim2	
潤	jɐn2	
潭	tʰam2	
潮	tsʰiu2	
潰	kwʰɐi5	
潲	sau5	
潷	pɐt7a	
潺	san2	
澀	kip7b	
澄	kʰɪŋ2	
澄	tsʰɪŋ2	
澆	jiu3	
澇	lɐu2	
澡	tsʰou5	
澤	tsak8	
澳	ou5	
激	kɪk7a	
濁	tsuk8	
濃	luŋ2	
濕	sɐp7a	
濟	tsɐi5	
濤	tʰou2/tʰou1	
濫	lan2	
濱	pɐn1	
濺	tsin2	
濾	lui2/lei2	
瀉	sɛ	
瀑	pou2	
灌	kun5	
灑	sa3	
灒	tsan5	
灘	tʰan1	
灣	wan1	
火	fɔ3	
灰	fui1	
灸	kɐu5	
災	tsɔi1	
炊	tsʰui1	
炎	jim2	
炒	tsʰau3	
炙	tsɛk7b	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
烈	lit7b	
烏	wu1	
烘	hɔŋ5	
烙	lɔk7b	
烤	hau3/hau1	
焉	jin2	
煥	wun2	
焚	fɐn2	
無	mou2	
焦	tsʰiu1	
焯	tsʰɔk7b	
焰	jim2	
然	jin2	
煎	tsin1	
煙	jin1	
煤	mui2	
照	tsiu5	
煨	wui1	
煩	fan2	
煮	tsi3	
熄	sɪk8	
熊	huŋ2	
熏	fɐn1	
熔	juŋ2	
熙	hei1	
熟	suk8	
熨	tʰɔŋ5	
熬	ŋau2	
熱	jit8	
燃	jin2	
燈	tɐŋ1	
燐	lɐn2	
燒	siu1	
燕	jin5	~国
燕	jin5	
燙	tʰɔŋ1	
營	jɪŋ2	
燥	tsʰou5	
燦	tsʰan5	
燭	tsuk7a	
燻	fɐn1	
爆	pou2/pau5	
爐	lu2	
爛	lan2	
爪	tsau3	
爬	pʰa2	
爲	wɐi2	作~
爲	wɐi2	因~
爵	tsɵk7b	
父	fu2	
爸	pa1/pa2	
爹	tɛ1	
爺	jɛ2	
爽	sɔŋ3	
爾	ji3	
牀	tsʰɔŋ2	
牆	tsʰɵŋ2	
片	pʰin5	
版	pan3	
牌	pʰai2	
牒	tip8	
牙	ŋa2	
牚	tsʰaŋ5	
牛	ŋɐu2	
牡	mau3	
牢	lɐu2	
牧	muk8	
物	mɐt8	
牯	ku3	
牲	saŋ1	
特	tɐk7b	
牽	hin1	
犀	sɐi1	
犁	lei2	
犧	hei1	
犬	hin3	
犯	fan2	
狀	tsɔŋ2	
狂	kʰɔŋ2	
狄	tɪk8	
狐	fu2	
狗	kɐu3	
狠	hɐn3	
狡	kau3	
狹	hip8	
狼	lɔŋ2	
狽	pui5	
猛	maŋ3	
猜	tsʰai1	
猝	tsɐt7a	
猩	sɪŋ1	
猴	hɐu2	
猶	jɐu2	
猾	wat8	
猿	jin2	
獃	tai1	
獄	juk8	
獅	si1	
獨	tuk8	
獲	wɔk8	
獵	lit7b	
獸	sɐu5	
獺	tsʰat7b	
獻	hin5	
玄	sin2/jin2	
率	lɐt8	
率	sɐt7a	
玉	juk8	
王	wɔŋ2	
玩	wun2/wan3	
玫	mui2	
玻	pɔ1	
珀	pʰak7b	
珊	san1	
珍	tsɐn1	
珠	tsi1	
班	pan1	
現	jin2	
球	kʰɐu2	
理	lei3	
琉	lɐu2	
琴	kʰɐm2	
琵	pʰei2	
琶	pʰa2	
瑕	ha2	
瑞	sui2	
瑟	sɐt7a	
瑣	sɔ3	
瑰	kwɐi5	
璃	lei1	
璧	pɪk7a	
環	wan2	
璽	sai3	
瓊	kʰɪŋ2	
瓜	kwa1	
瓠	fu2/pʰou2	
瓢	pʰiu1	
瓣	pin2	
瓤	lɔŋ2	
瓦	ŋa3	
瓶	pʰɪŋ2	
瓷	tsʰi2	
甕	uŋ5	
甘	kam1	
甚	sɐm2	
甜	tʰim2	
生	saɐi1	孿~
生	saŋ1	
産	tsʰan3	
甥	saŋ1	
用	juŋ2	
甫	pʰou3	
甬	juŋ3	
田	tʰin2	
由	jɐu2	
甲	kap7b	
申	sɐn1	
男	lam2	
界	kai5	
畏	wɐi5	
留	lɐu2	
畚	fɐn5	
畜	tsʰuk7a	
畝	mau3	
畢	pɪk7a	
略	lɵk5	
番	fan1	
畫	wa3	
異	ji2	
當	tɔŋ5	~作
當	tɔŋ1	應~
疆	kɵŋ1	
疊	tip8/tap8	
疏	sɔ1	
疑	ji2	
疔	tɪŋ1	
疝	san5	
疤	pa1	
疥	kai5	
疫	jɪk8	
疲	pʰei2	
疹	tsʰɐn3	
疾	tsɐt8	
疿	pui2/fɐi3	
痂	la1	
病	pɛŋ2	
痔	tsʰi2	
痕	hɐn2	
痛	tʰuŋ5	
痢	lei2	
痣	tsi5	
痧	sa1	
痰	tʰam2	
痲	ma2	
痹	pei5	
瘋	fuŋ1	
瘌	lat7b	
瘍	jɛŋ2	
瘟	wɐn1	
瘡	tsʰɔŋ1	
瘦	sɐu5	
瘴	tsɵŋ5	
療	liu2	
癡	tsʰi1/tsi1	
癥	tsɪŋ5	
癩	lai5	
癬	sin3	
癮	jɐn3	
癱	tʰan1	
癲	tin1	
癸	kwʰɐi2	
登	tɐŋ1	
發	fat7b	
白	pak8	
百	pɐk7b/pak7b	
皂	tsou2	
的	tɪk7a	
皆	kai1	
皇	wɔŋ2	
皖	wun3	
皮	pʰei2	
皺	tsɐu5/jɐu5	
皿	mɪŋ3	
盅	tsuŋ1	
盆	pʰun2	
盈	jɪŋ2	
益	jɪk7a	
盒	hap8	
盔	kwʰɐi1	
盜	tou2	
盛	sɪŋ2	興~
盛	sɪŋ2	~飯
盞	tsan3	
盟	mɐŋ2	
盡	tsɐn2	
監	kam1	~视
監	kam1	~狱
盤	pʰun2	
盧	lu2	
目	muk7b	
盲	maŋ2	
直	tsɪk7b	
相	sɛŋ5	丞~
相	sɛŋ1	~互
盾	tɐn3/tɐn2	
省	saŋ3	~长
省	saŋ3	節~
省	saŋ3	反~
眉	mei2	
看	hɔn5	
真	tsɐn1	
眠	min2	
眨	tsam3	
眩	jin2	
眶	kwʰaŋ1	
眷	kin5	
眼	ŋan3	
着	tsɵk7b/tsɔk7b	
睜	tsɐŋ1	
睏	fɐn5	
睛	tsɪŋ1	
睡	sui2	
督	tuk7a	
睬	tsʰɔi3	
瞞	mun2	
瞧	tsiu1	
瞪	tɐŋ1	
瞭	liu2	
瞳	tʰuŋ2	
瞻	tsim1	
矛	mau2	
知	tsi1	
矩	kei3	
短	tin3	
矮	ŋɐi3	
石	sɛk8	
砂	sa1	
砌	tsʰɐi5	
砍	hɐm3	
研	jin2	
砧	tsɐm1	
破	pʰɔ5	
硃	tsi1	
硝	siu1	
硫	lɐu2	
硬	ŋaŋ2	
碎	sui5	
碑	pei1	
碓	tui5	
碗	wun3	
碟	tip8	
碧	pɪk7a	
碰	pʰuŋ5	
確	kʰɔk7b	
碼	ma3	
碾	tsin3	
磁	tsʰi2	
磨	mɔ2	石~
磨	mɔ2	研~
磷	lɐn2	
礎	tsʰu3	
礙	ŋɔi2	
礦	kʰɔŋ5	
示	si2	
社	sɛ3	
祀	kei3	
祁	kʰei2	
祈	kʰei2	
祐	jɐu2	
祖	tsu3	
祝	tsuk7a	
神	sɐn2	
祠	tsʰi2	
祥	tsʰɛŋ2	
票	pʰiu5	
祭	tsɐi5	
稟	pɐn3	
禁	kɐm5	
祿	luk8	
禍	wɔ2	
福	fuk7a	
禦	ji2	
禪	sin2	
禮	lɐi3	
禹	ji3	
禽	kʰɐm2	
禾	wɔ2	
秀	sɐu5	
私	si1	
秃	tʰɔt7a	
秉	pɪŋ3	
秋	tsʰɐu1	
科	fɔ1	
秒	miu3	
秘	pɐi5	
租	tsu1/tsou1	
秤	tsʰɪŋ5	
秦	tsʰɐn2	
秧	jɵŋ1	
秩	tit8	
移	ji2	
稀	hei1	
稈	kɔŋ3/kɔn3	
程	tsʰɪŋ2	
稍	sau3	
税	sui5	
稗	pai2	
稙	tsɪk8	
稚	tsi5	
種	tsuŋ3	~子
種	tsuŋ5	~植
稱	tsʰɪŋ5	
稱	tsʰɪŋ1	
稻	tou2	
稼	ka5	
稽	kʰɐi1	
稿	kɐu3	
穀	kuk7a	
穆	muk8	
積	tsɪk7a	
穎	jɐn2/jɐn5	
穗	sui2	
穢	wɐi5	
穩	wɐn3	
穴	hip8	
究	kɐu5	
空	huŋ1	
穿	tsʰin1	
突	tɐt8/tɐk8	
窄	tsak7b	
窯	jiu2	
窗	tsʰɔŋ1	
窟	fɐt7a	
窩	wɔ1	
窪	wa1	
窮	kʰuŋ2	
窺	kwʰɐi1	
竄	tsʰin5	
竅	kʰiu5	
竈	tsou5	
立	lɐp8	
站	tsam2	
竟	kɪŋ5	
章	tsɵŋ1	
童	tʰuŋ2	
竪	si2	
端	tin1	
競	kɪŋ2	
竹	tsuk7a	
竿	kɔn1	
笆	pa1	
笑	siu5	
笛	tɛk8	
笠	lap8	
笡	tsʰɛ2	
符	fu2	
笨	pɐn2	
第	tai2/tɐi2	
筆	pɐt7a	
等	tɐŋ3	
筋	kɐn1	
筍	sɐn3	
筏	fɐt8	
筐	hɔŋ1	
筒	tʰuŋ2	
答	tap7b	
策	tsʰak7b	
箏	tsɐŋ1	
筵	jin2	
筷	fai5	
箅	pei2	
箋	tsʰim1	
箍	kʰu1	
箕	kei1	
算	sin5	
管	kun3	
箭	tsin5	
箱	sɛŋ1	
箸	tsi2	
節	tsit7b	
範	fan2	
篇	pʰin1	
築	tsuk7a	
篙	kou1	
篡	sin5	
篤	tuk7a	
篦	pei2	
篩	sɐi1	
篷	pʰuŋ2	
篾	mit8	
簍	lɐu2	
簟	tʰim3	
簡	kan3	
簧	wɔŋ2	
簪	tsam1/tsɐm1	
簫	siu1	
簸	pɔ5	
簸	pɔk7b	~箕
簽	tsʰim1	
簾	lim2	
簿	pou2	
籃	lam2	
籌	tsʰɐu2	
籍	tsɪk8	
籠	luŋ2	
籤	tsʰim1	
籬	lei2	
籮	lɔ2	
米	mɐi3	
粉	fɐn3	
粒	lɐp7a	
粗	tsʰu1	
粘	lim1	
粟	suk7a	
粤	jit7b	
粥	tsuk7a	
粱	lɵŋ2	
粹	sui5	
精	tsɪŋ1	
糉	tsuŋ5	
糕	kou1	
糖	tʰɔŋ2	
糙	tsʰou1/tsʰou5	
糞	fɐn5	
糟	tsou1	
糠	hɔŋ1	
糧	lɵŋ2	
糯	lɔ2	
糰	tʰin2	
糴	tɛk8	
系	hɐi2	
糾	tou3	
紀	kei3	
紂	tsɐu5	
約	jɛk7b/jɔk7b	
紅	huŋ2	
紋	mɐn2	
納	lap8	
紐	lɐu3	
純	sɐn2	
紗	sa1	
紙	tsi3	
級	kʰɐp7a	
紛	fɐn1	
紝	jɐn2	
素	sou5/su5	
紡	fɔŋ3	
索	sɔk7b	
紫	tsi3	
紮	tsat7b	
累	lui2	劳~
累	lui2	积~
細	sɐi5	
紹	siu2	
終	tsuŋ1	
組	tsu3	
結	kit7b	
絞	kau3	
絡	lɔk7b	
絨	juŋ2	
統	tʰuŋ3	
絲	si1	
絶	tsit8	
絹	kin1	
綁	pɔŋ3	
綑	kwʰɐn3	
經	kɪŋ1	
綜	tsuŋ1	
綢	tsʰɐu2	
維	wɐi2	
綱	kɔŋ1	
網	mɔŋ3	
綽	tsʰɵk7b	
綿	min2	
緊	kɐn3	
綠	luk8	
緖	sou5/su5	
線	sin5	
緝	tsʰɐp7a	
緞	tin2	
緣	jin2	
編	pʰin1	
緩	wun2	
緬	min3	
緯	wɐi3	
練	lin2	
緻	tsi5	
縐	tsɐu5	
縛	fɔk8	
縣	jin2	
縫	fuŋ2	
縮	suk7a	
縱	tsuŋ5	
縱	tsuŋ1/tsuŋ5	
縷	lɐu2	
總	tsuŋ3	
績	tsɪk7a	
繁	fan2	
織	tsʰɛk7b	
繞	jiu3	
繡	sɐu5	
繩	sɪŋ2	
繪	wui2	
繫	hɐi2	
繭	kan3	
繳	kɛu3	
繼	kɐi5	
續	tsuk8	
纏	tsʰan2	
纓	jɪŋ1	
纔	tsʰɔi2	
纖	tsʰim1	
纜	lam2	
繚	lɛu3	
缸	kɔŋ1	
缺	kʰit7b	
罐	kun5	
罕	hɔn3	
罩	tsau5	
罪	tsui2	
置	tsi5	
罰	fɐt8	
署	si5	
罷	pa2	
羅	lɔ2	
羊	jɵŋ2	
羌	kɵŋ1	
美	mei3	
羔	kou1	
羞	sɐu1	
羡	sin2	
群	kwʰɐn2	
義	ji2	
羹	kaŋ1	
羽	ji3	
翁	juŋ1	
翅	tsʰi5	
翎	lɪŋ2	
習	tsap8	
翔	tsʰɛŋ2	
翠	tsʰui5	
翡	fei3	
翰	hɔn2	
翻	fan1	
翼	jɪk8	
耀	jiu2	
老	lou3	
考	hau3	
者	tsɛ3	
而	ji2	
耍	sa3	
耐	lɔi2	
耕	kaŋ1	
耗	hou5	
耘	wɐn2	
耙	pʰa2	
耳	ji3	
耶	jɛ2	
耻	tsʰi3	
耽	tam1	
耿	kɐŋ3	
聊	liu2	
聖	sɪŋ5	
聘	pʰɪŋ5	
聚	tsui2	
聞	mɐn2	
聯	lin2	
聰	tsʰuŋ1	
聲	sɪŋ1	
聶	sip7b	
職	tsɪk7a	
聽	tʰɛŋ1	
聾	luŋ2	
肅	suk7a	
肆	sei5	
肉	juk8	
肋	lak8	
肌	kei1	
肖	siu1	
肚	tʰu3/tʰou3	
肝	kɔn1	
股	ku3	
肢	tsi1	
肥	fei2	
肩	kin1	
肪	fɔŋ1	
肯	hɐn3/hɐŋ3	
育	juk8	
肺	fɐi5	
胃	wɐi2	
背	pui2	
背	pui5	
胎	tʰɔi1	
胖	pʰun3	
胚	pʰei1	
胞	pau1	
胡	fu2	
胭	jin1	
胸	huŋ1	
能	lɐŋ2	
脂	tsi1	
脅	hip8	
脆	tsʰui5	
脉	mɐk8	
脊	tsɛk7b	
脖	put8	
脚	kɛk7b/kɔk7b	
脯	pʰou3	
脱	tʰit7b	
脹	tsɵŋ5	
脾	pʰei2	
腋	jɪk8	
腎	sɐn3	
腐	fu2	
腑	fu3	
腔	huŋ1	
腕	wun3	
腡	lɔ2	
腥	sɪŋ1/sɛŋ1	
腦	lou3	
腫	tsuŋ3	
腮	sui1	
腰	jiu1	
腱	kin2	
腸	tsʰɵŋ2	
腹	fuk7a	
腿	tʰui3	
膏	kou1	
膚	fu1	
膜	mɔk7b	
膝	sɐt7a	
膠	kau1	
膨	pʰaŋ2	
膩	lɐi5	
膳	sin2	
膽	tam3	
臀	tʰɐn2/tʰɐŋ2	
臂	pei5	
臃	juŋ1	
臉	lim3	
臊	sou1	
臍	tsʰi2	
臘	lap8	
臟	tsɔŋ2	
臣	tsʰɐn2	
臨	lɐm2	
自	tsi2	
臭	tsʰɐu5	
至	tsi5	
致	tsi5	
臺	tʰɔi2	
臻	tsɐn1	
臼	kau5	
舀	jiu3	
舂	tsuŋ1	
舅	kʰɐu3	
與	ji3	
興	hɪŋ5	~旺
興	hɪŋ1	高~
舉	kei3	
舊	kɐu2	
舌	sit8	
舍	sɛ5	
舒	si1	
舔	lɛm3	訓
舞	mu3	
舟	tsɐu1	
航	hɔŋ2	
般	pun1	
舵	tʰɔ2/tʰai3	
船	sin2	
艇	tʰɛŋ3	
艙	tsʰɔŋ1	
艦	lam2	
良	lɵŋ2	
艱	kan1	
色	sɪk7a	
艾	ai5	
艾	ŋai2	
芋	fu2/wu2	
芍	tsɵk7b	
芒	mɔŋ2	
芒	mɔŋ1	
芙	fu2	
芝	tsi1	
芥	kai5	
芬	fɐn1	
芭	pa1	
芯	sɐm1	
花	fa1	
芳	fɔŋ1	
芹	kʰɐn2	
芽	ŋa2	
苔	tʰɔi2	
苗	miu2	
若	jɛk8	
苦	fu3	
苧	tsi5	
英	jɪŋ1	
茂	mau2	
范	fan2	
茄	kʰɛ2	
茅	mau2	
茫	mɔŋ2	
茴	wui2	
茶	tsʰa2	
茸	juŋ2	
荆	kɪŋ1	
草	tsʰou3	
荒	fɔŋ1	
荔	lɐi2	
荷	hɔ2	~花
荷	hɔ2	薄~
荷	hɔ2	负~
莉	lei2	
莎	sa1	
莓	mui2	
莖	kɪŋ5	
莫	mɔk8	
莽	mɔŋ3	
菊	kuk7a	
菌	kwʰɐn3	
菖	tsʰɵŋ1	
菜	tsʰɔi5	
菠	pɔ1	
菢	pou2/pɔ2	
菩	pʰɔ2	
華	wa2	
菱	lɪŋ2	
菲	fei1	
萁	kei1	
萄	tʰou2	
萍	pʰɪŋ2	
萎	ŋɐi3/wɐi3	
萬	man2	
落	lɔk8	
葉	jip8	
著	tsi5	
著	tsɛk7b/tsɔk7b	穿~
葚	tsʰɐm2	
葛	kʰɔk7b	诸~亮
葡	pʰou2	
董	tuŋ3	
葦	wɐi3	
葫	fu2	
葬	tsɔŋ5	
葱	tsʰuŋ1	
葵	kwʰɐi2	
葷	fɐn1	
蒂	tɐi5	
蒐	sɐu3	
蒙	muŋ2	
蒜	sin5	
蒲	pʰou2	
蒸	tsɪŋ1	
蒼	tsʰɔŋ1	
蒿	hɐu1	
蓄	tsʰuk7a	
蓆	tsɪk8	
蓉	juŋ2	
蓋	kɔi5	
蓑	sɔ1	
蓖	pei1	
蓬	pʰuŋ2	
蓮	lin2	
蔑	mit8	
蔓	man2	
蔗	tsɛ5	
蔡	tsʰɔi5	
蔣	tsɛŋ3	
蔬	sɔ1	
蔭	jɐm1	
蔽	pɐi5	
蕉	tsiu1	
蕊	jui3/jui2	
蕎	kʰiu2	
蕩	tɔŋ2	
蕭	siu1	
薄	pɔk8	
薄	pɔk7b/pɔ2	~荷
薅	hɐu1	
薇	mei2	
薑	kɔŋ1	
薛	sit7b	
薦	tsin5	
薩	sat7b	
薪	sɐn1	
薯	si2	
薰	fɐn1	
藉	tsɪk8	
藍	lam2	
藏	tsɔŋ2	西~
藏	tsʰɔŋ2	收~
藐	miu3	
藕	ŋɐu3	
藝	ŋɐi2	
藤	tʰɐŋ2	
藥	jɛk8/jɔk8	
藩	fan2	
藩	fan1/fan2	
藹	ɔi3	
藿	kʰɔk7b	
蘆	lu2	
蘇	su1	
蘭	lan2	
蘿	lɔ2	
虎	fu3	
虐	jɛk7b	
處	tsʰi5	
處	tsi5	
虚	hei1	
虜	lou3	
虞	ji2	
號	hou2	
虧	kwʰɐi1	
虹	huŋ2	
蚊	mɐn1	
蚣	kuŋ1	
蚶	hɐm1	
蛆	tsi1	
蛇	sɛ2	
蛋	tan2	
蛙	wa1	
蛛	tsi1	
蛤	kɐp7a	
蛾	ɔ2	
蜀	suk8	
蜂	fuŋ1	
蜈	ŋ̍2	
蜓	tʰɪŋ2	
蜕	tʰui5	
蜘	tsi1	
蜜	mɐt8	
蜻	tsʰɪŋ1	
蝕	sɪk8	
蝗	wɔŋ2	
蝙	pʰin1	
蝠	fuk7a	
蝦	ha1	
虱	sɐt7a	
蝴	fu2	
蝶	tip8	
蝸	wɔ1	
螂	lɔŋ2	
螃	pʰɔŋ2	
融	juŋ2	
螢	jɪŋ2	
螳	tʰɔŋ2	
螺	lɔ2	
蟀	sɐt7a	
蟄	tsɪk8	
蟆	mou1	
蟋	sɪk7a	
蟒	mɔŋ3	
蟥	wɔŋ2	
蟬	sin2	
蟲	tsʰuŋ2	
蟹	hai3	
蟻	ŋɐi3	
蟾	sim2	
蠅	jɪŋ1/jɪŋ2	
蠍	kʰit7b	
蠟	lap8	
蠢	tsʰɐn3	
蠶	tsʰam2	
蠻	man2	
衆	tsuŋ5	
行	haŋ2	~为
行	hɐŋ2	品~
行	hɔŋ2	银~
術	sɐt8	
街	kai1	
衙	a2	
衛	wɐi2	
衝	tsʰuŋ1	
衡	hɐŋ2	
衣	ji1	
表	piu3	
衫	sam1	
衰	sui1	
衷	tsuŋ1	
袁	jin2	
袋	tɔi2	
袍	pʰou2	
袖	tsɐu2	
被	pei3/pei2	~打
被	pʰei3	~子
袱	fuk8	
裁	tsʰɔi2	
裂	lit7b	
裏	lei3	
裕	ji2	
裙	kwʰɐn2	
補	pou3	
裝	tsɔŋ1	
裳	sɛŋ2	
裴	pʰui2	
裸	lɔ3	
裹	kɔ3	
製	tsɐi5	
褂	kwa5	
複	fuk7a	
褒	pau1	
褥	juk8	
褪	tʰui5	
褯	tsɛk8	
褲	fu5	
褶	tsip7b	
襄	sɛŋ1	
襖	ou5	
襟	kʰɐm1	
襪	mɐt7b	
襯	tsʰɐn5	
襲	tsap8	
襻	pan5	
西	sɐi1	
要	jiu5	
要	jiu1/jiu5	
覆	fuk7a	
覈	hɐk8	
見	kin5	
規	kwʰɐi1	
視	si2	
親	tsʰɐn1	
覺	kau5	睡~
覺	kʰɔk7b	
覽	lam3	
觀	kun1	~看
觀	kun1	寺~
角	kɔk7b	
解	kai3	
觸	tsʰuk7a	
言	jin2	
訂	tɪŋ5	
計	kɐi5	
訊	sɐn5	
討	tʰou3	
訓	fɐn5	
託	tʰɔk7b	
記	kei5	
訟	tsuŋ2	
訣	kʰit7b	
訪	fɔŋ3	
設	sit7b	
許	hei1	
訴	su5	
診	tsʰɐn3	
詐	tsa5	
詔	tsiu2	
評	pʰɪŋ2	
詞	tsʰi2	
詠	wɪŋ3	
詢	sɐn5	
試	si5	
詩	si1	
詭	kwɐi3	
話	wa2	
該	kɔi1	
詳	tsʰɛŋ2	
誅	tsi1	
誇	kwʰa1	
誌	tsi5	
認	jɪŋ2	
誓	sɐi2	
誕	tan5	
誘	jɐu3	
語	ji3	
誠	sɪŋ2	
誣	mu1	
誤	ŋ̍2	
誦	tsuŋ2	
説	sit7b	
誰	sui2	
課	fɔ5	
誼	ji2	
調	tʰiu2	
調	tiu2	
談	tʰam2	
請	tsʰɪŋ3	
