#漢字	音標	解釋
㪗	hɛu3	~气
掉	tiɛu5	
掌	tɔŋ3	
掏	tʰau2	
掐	kʰaʔ7	
排	pʰai2	
掘	tɕyɔt7	
掠	iɔʔ7	
探	tʰuɔn5	
接	tɕiɛt7	
控	kʰuŋ5	
推	tʰuɘi1	
掩	iɛn3	
措	tsʰɔ3	
掫	tsʰau1	
擲	tʂʰɘn5	投~
撣	tan3	
揉	lɛu2	
描	miɛu2	
提	tʰi2	
插	tsʰat7	
揖	it7	
揞	ŋɔt7	~住
握	ŋɔ5	
揢	kʰa1	
揩	kʰai1	
揪	tɕiu1	
揭	tɕiɛt7	
援	yɔn2	
攬	lan3	
攙	tsʰan1	
擱	kɔʔ7	
摟	lɛu2	
摟	lɛu3	
攪	tɕiau3	
搓	tsʰɔ1	
搜	sɛu1	
搞	kau3	
搡	sɔŋ3	
搬	pɛn1	
搭	tat7	
攜	ɕi2	
搽	tsʰa2	~药
攝	sɛt7	
摆	pai3	
摇	iɛu2	
攤	tʰan1	
摔	suɘi1	
摘	tsaʔ7	
摞	lɔ3	
摧	tsʰuɘi1	
摩	mɔ2	
摸	mɔ1	
摹	mu2	
撇	pʰiɛt7	
撑	tsʰaŋ1	
撑	aŋ2	
撒	saʔ7	
撕	su1	
撞	tsʰɔŋ5	
撤	tʰɛt7	
撩	liɛu2	
撬	tɕʰiɛu5	
播	pɔ5	
撮	tsɔt7	
撰	tsʰuɔn5	
撼	hɔn3	
擀	kɔn3	
擂	luɘi2	
操	tsʰau1	
擎	tɕʰin2	
擒	tɕʰin2	
擘	pɔʔ7	
擦	tsʰat7	
擩	lɘt7	~进去
攀	pʰan1	
攢	tsʰan5	
攘	lɔŋ3	
支	tʂᴇ1	
收	sɘu1	
改	kɔi3	
攻	kuŋ1	
放	fɔŋ5	
政	tɘn5	
故	ku5	
效	ɕiau5	
敵	tʰit7	
敏	mɘn3	
救	tɕiu5	
教	kau5	
斂	liɛn5	
敝	pi7	
敢	kɔn3	
散	san5	~会
散	san3	松~
敦	tɘn1	
敬	tɕin5	
數	su5	动
數	su5	名
敲	tɕʰiau1	
整	tɘn3	
敷	fu1	
文	uɘn2	
齋	tsai1	
斑	pan1	
斗	tɛu3	
斗	tɛu5	
料	liɛu5	
斜	tɕʰia2	
斟	tɘn1	~酒
斤	tɕin1	
斥	tʂʰɘt7	~责
斧	fu3	
斬	tsan3	
斷	tʰuɔn5	绳~了
斯	su1	
新	ɕin1	
方	fɔŋ1	
施	sᴇ1	
旁	pʰɔŋ2	
旅	li3	
旋	ɕiɛn2	
族	tsʰu5	
旗	ɕi2	
無	u2	
既	tɕi5	
日	lɘt7	文
日	ȵit7	白
旦	tʰan5	
舊	tɕʰiu5	
旨	tʂᴇ3	
早	tsau3	
旬	ɕin2	
旱	hɔn5	
時	sᴇ2	
曠	kʰɔŋ5	
旺	uɔŋ5	
昂	ŋɔŋ2	
昆	kʰuɘn1	
昌	tɔŋ1	
明	mɘn2	
昏	fɘn1	
易	i5	
昔	ɕit7	
星	ɕin1	文
星	ɕiaŋ1	白
映	in5	
春	tʰɘn1	
昧	mɛt7	
昨	tsʰɔʔ7	
昭	tɛu1	~雪
是	sᴇ5	
晝	tɘu5	
顯	ɕiɛn3	
晃	fɔŋ3	
晉	tɕin5	
晌	ɕiɔŋ3	~午
晏	ŋan5	
曬	sai5	
曉	ɕiɛu3	
暈	in1	
晚	uan3	
晦	fi3	
晨	sɘn2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	文
晴	tɕʰiaŋ2	白
晶	tɕin1	
智	tʂᴇ5	
暫	tsʰan5	
暇	ɕia5	
暑	hø3	
暖	luɔn3	
暗	ŋɔn5	
暝	mɘn2	
暮	mu7	
暴	pʰau5	
曝	pʰau5	
曰	iɔʔ7	
曲	tɕʰiuʔ7	~折，歌~
更	kiɛn1	三~，打~
曹	tsʰau2	
曾	tsɛn1	
替	tʰi5	
最	tsuɘi5	
月	ȵyɔt7	
有	iu3	
朋	puŋ2	
服	fu7	
朔	sɔʔ7	~月
朗	lɔŋ3	
望	uɔŋ5	
朝	tʰɛu2	~代
朝	tʰɛu1	今~
期	ɕi2	
木	muʔ7	
未	ui5	
末	mɛt7	
本	pɘn3	
札	tsaʔ7	
术	sɘt7	
朱	tʂø1	
朴	pʰuʔ7	
機	tɕi1	
朽	tɕʰiu3	
殺	sat7	
雜	tsʰat7	
雜	tsʰɔt7	
權	tɕʰyɔn2	
杆	kɔn1	
杈	tsʰa1	
杉	sa1	~木
李	li3	
杏	ɕin5	
材	tsʰɔi2	
村	tsʰɘn1	
杖	tʰɔŋ5	
杜	tʰu5	
杞	tɕi3	
束	tʂʰøʔ7	~缚
杠	kɔŋ5	
條	tʰiɛu2	
來	lai2	
楊	iɔŋ2	
杭	hɔŋ2	
杯	pi1	
杰	ɕiɛt7	
杵	tʰø3	~仗
杷	pa1	
松	suŋ1	~紧
松	ɕiuŋ1	~树
板	pan3	
極	tɕit7	
構	kiɛu5	
枇	pʰi2	
枉	uɔŋ1	
析	ɕit7	
枕	tɘn3	~头
枕	tɘn3	动
林	lɘn2	
枚	mi2	
果	kuɔ3	
枝	tʂᴇ1	
樞	ʂø1	~纽
棗	tsau3	
槍	tɕʰiɔŋ1	
楓	fuŋ1	
枯	kʰu1	
架	ka5	
柄	pɘn3	
柏	paʔ7	
某	mɛu3	
柑	kɔn1	
染	lɛn3	
柔	lɛu2	
柚	iu5	
櫃	kʰui5	
查	tsa1	
查	tsʰa2	
柩	tɕiu1	
柬	kan3	
柱	tʂʰø5	
柳	liu3	
柴	tsʰai2	
柿	tsʰu5	
梔	tʂᴇ1	
栅	tsaʔ7	
標	piɛu1	
棧	tsan5	
棟	tuŋ5	
欄	lan2	
樹	hø5	
栖	tɕʰit7	
栗	li5	
校	ɕiau5	
校	ɕiau5	上~
校	ɕiau5	学~
株	tʂø1	
樣	iɔŋ5	
核	hɛt7	
根	kiɛn1	
格	kat7	
栽	tsɔi1	
桂	kui5	
桃	tʰau2	
框	kʰuaŋ1	
案	ŋɔn5	
桌	tsɔʔ7	
桐	tʰuŋ2	
桑	sɔŋ1	
桓	fan2	
椏	ia5	
檔	tɔŋ3	
橋	tɕʰiɛu2	
樺	fa5	
槳	tɕiɔŋ3	
樁	tsuɔŋ1	
桶	tʰuŋ3	
梁	liɔŋ2	
梅	mi2	
梗	kiɛn3	
梢	sau1	
夢	muŋ5	
梧	u2	
梨	li2	
梭	sɔ1	
梯	tʰi1	
械	kai5	
梳	su1	
檢	tɕiɛn3	
棉	miɛn2	
棋	ɕi2	
棍	kuɘn5	
棒	pɔŋ5	
棕	tsuŋ1	
棘	tɕit7	
棚	pʰuŋ2	
棠	sɔŋ2	
森	sɛn1	
棱	lɘn2	
棵	kʰɔ1	
棺	kuɛn1	
椅	i3	
植	tʂʰɘt7	
椒	tɕiɛu1	
橢	tʰɔ5	
椰	iɛt7	
楚	tsʰu3	
楣	mi2	
楷	kʰɔi3	
樓	lɛu2	
概	kʰɔi5	
欖	lan3	
榆	i2	
榜	pɔŋ3	
榨	tsa5	
榫	sɘn3	
榴	liu2	
榻	tʰat7	
槌	tʂʰø2	棒~
槐	fai2	
檻	kʰan7	
檳	pɘn1	
槽	tsʰau2	
樟	tɔŋ1	
模	mu2	
橫	uaŋ2	~竖
櫻	in1	
樵	tɕʰiɛu2	
橄	kɔn3	
橘	tɕit7	
橙	tsʰɘn2	
橙	tsʰɘn2	~子
櫓	lu3	
檀	tʰan2	
檐	iɛn2	
欠	ɕiɛn5	
次	tsʰu5	
歡	fɛn1	
欣	ɕin1	
歐	ŋiɛu1	
欲	ȵiuʔ7	~望
欺	ɕi1	
款	kʰuɛn3	
歇	ɕiɛt7	
歉	tɕʰiɛn5	
歌	kɔ1	
止	tʂᴇ3	
正	tɘn5	
正	tɘn5	~月
此	tsʰu3	
步	pʰu5	
武	u3	
歪	uai1	
死	su3	
殲	tɕʰiɛn1	
殃	iɔŋ1	
殆	tʰɔi5	
殉	ɕin2	
殘	tsʰan2	
殮	liɛn5	
殖	tʂʰɘt7	
殯	pɘn1	
毆	ŋiɛu1	
段	tʰuɔn5	
殷	in1	
殿	tiɛn5	
毁	fi3	
毅	i5	
母	mu3	丈~，舅~
每	mi3	
毒	tʰuʔ7	
比	pi3	
畢	pɘt7	
斃	pʰi5	
毛	mau2	
毫	hau2	
毯	tʰan3	
毽	tɕiɛn5	
氏	sᴇ5	
民	mɘn2	
氓	mɔŋ2	
气	ɕi5	
水	hø3	
永	in3	
汁	tɘt7	
求	ɕiu2	
汇	fi5	
漢	hɔn5	
汗	hɔn5	
汝	lu3	
汞	kuŋ5	
江	tɕiɔŋ1	
池	tʂʰᴇ2	
污	u1	
湯	tʰɔŋ1	
汪	uɔŋ1	
汽	ɕi5	
沃	uɔ5	
沈	sɘn3	
沉	tʰɘn1	
沌	tɘn5	
沐	muʔ7	
沓	tat7	
沙	sa1	
沛	pʰi5	
溝	kiɛu1	
没	mɘt7	
漚	ŋiɛu5	
淪	lɘn2	
滬	fu5	
沫	mɛt7	
河	hɔ2	
沸	fɘt7	
油	iu2	
治	tʂʰᴇ5	
沼	tʰɛu1	~泽
沾	tɛn1	~水
沿	yɔn2	
泄	ɕiɛt7	
泉	tɕʰiɛn2	
泊	pʰɛt7	
泌	pi7	
泔	kɔn1	
法	fat7	
泛	fan5	
泡	pʰau5	
波	pɔ1	
泣	tɕʰi5	
泥	ȵi2	
注	tø5	~释
注	tø5	~意
淚	li5	
泰	tʰai5	
泳	iuŋ3	
瀉	ɕia5	
潑	pʰɛt7	
澤	tsʰɛt7	
潔	tɕiɛt7	
洋	iɔŋ2	
洒	sa3	
洗	ɕi3	
洛	lɔʔ7	
洞	tʰuŋ5	
津	tɕin1	
洪	fuŋ2	
洲	tɘu1	
活	fɛt7	
洼	ua1	
洽	tɕʰiaʔ7	
派	pʰai3	~出所
流	liu2	
淺	tɕʰiɛn3	
漿	tɕiɔŋ1	
澆	tɕiɛu1	
濁	tʂʰøʔ7	浑~
測	tsʰɛt7	
濟	tɕit7	
渾	fɘn5	
滸	fu3	
濃	luŋ2	
浙	tɛt7	
浞	tsʰɔt7	~雨
浦	pʰu3	
浩	hau5	
浪	lɔŋ5	
浮	fɛu2	
浴	ȵiuʔ7	
海	hɔi3	
浸	tɕin5	
涂	tʰu2	
消	ɕiɛu1	
涉	sɛt7	~及
涌	iuŋ3	
涎	ɕiɛn2	
涕	tʰit7	
濤	tʰau1	
澇	lau1	
滌	tʰit7	
潤	lɘn5	
澗	kan1	
漲	tɔŋ3	~价
澀	sɛt7	
涮	sɔt7	
液	it7	
淀	tʰin5	
淆	ɕiau2	
淋	lɘn2	
淑	ʂøʔ7	
淘	tʰau2	
淡	tʰan5	
淤	i1	
淫	in2	
淮	fai2	
深	sɘn1	
混	fɘn5	
淹	iɛn1	
添	tʰiɛn1	
清	tɕʰin1	文
清	tɕʰiaŋ1	白
淵	yɔn1	
漸	tɕʰiɛn5	
漁	ȵi2	
滲	sɛn5	
渠	tɕʰi2	~道
渡	tʰu5	
渣	tsa1	
溫	uɘn1	
港	kɔŋ3	
渴	kʰɔ3	
游	iu2	
渺	miɛu3	
湖	fu2	
湘	ɕiɔŋ1	
灣	uan1	
溼	sɘt7	
潰	kʰui1	
濺	tɕʰiɛn3	
溉	kʰɔi5	
源	ȵyɔn2	
溜	liu1	
溪	ɕi1	
溶	luŋ2	
溺	ȵit7	
溻	tʰat7	
滂	pʰɔŋ2	
滋	tsu1	
滑	uat7	
滔	tʰau1	
滚	kuɘn3	
滿	mɛn3	
濾	li5	
濫	lan5	
濱	pɘn1	
灘	tʰan1	
滴	tit7	
漂	pʰiɛu3	
漂	pʰiɛu5	
漆	tɕʰit7	
漏	lɛu5	
演	iɛn3	
漫	man5	
漱	su7	
潘	pʰan1	
潛	tɕʰiɛn2	
潭	tʰan2	
潮	tʰɛu2	
潲	sau5	
澄	tʰɛn2	
澄	tʰɛn2	~清
澡	tsau3	
澳	ŋau5	
激	tɕit7	
瀑	pʰuʔ7	
灌	kuɛn5	
火	fɔ3	
滅	miɛt7	
燈	tɛn1	
灰	fi1	
靈	lɘn2	
竈	tsau5	
灸	tɕiu1	
災	tsɔi1	
燦	tsʰan5	
爐	lu2	
炎	iɛn2	
炒	tsʰau3	
炕	kʰɔŋ5	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
點	tiɛn3	
煉	liɛn5	
爛	lan5	
烈	liɛt7	
烘	fuŋ1	~干
烙	lɔʔ7	
燭	tʰøʔ7	
烟	iɛn1	
烤	kʰau3	
煩	fan2	
燒	sɛu1	
燙	tʰɔŋ5	
熱	lɛt7	
烹	pʰuŋ1	
焉	iɛn1	
焊	hɔn5	
煥	fɛn5	
焚	fɘn2	
焦	tɕiɛu1	
焰	iɛn5	
然	lɛn2	
煎	tɕiɛn1	
煠	tsʰat7	
煤	mi2	
照	tʰɛu5	
煨	uai1	
煮	tʂø3	
熄	ɕit7	
熊	ɕiuŋ2	
熏	ɕin1	
熔	iuŋ2	
熙	ɕi1	
熟	høʔ7	~悉
熨	in5	
熬	ŋau2	
燃	lɛn2	
燎	liɛu2	
燕	iɛn5	
燥	tsʰau5	
燻	ɕin1	
爆	pʰau5	
爪	tsau3	
爬	pʰa2	
愛	ŋɔi5	
爵	tɕyɔt7	
父	fu5	
爺	ia2	
爸	pa7	
爹	tiɛ2	
爽	sɔŋ3	
片	pʰiɛn5	
版	pan3	
牌	pʰai2	
牘	tʰuʔ7	
牒	tiɛt7	
牙	ŋa2	
牛	iu2	
牡	mɛu3	
牢	lau2	
物	uɘt7	
牯	ku3	
牲	sɛn1	
牽	ɕiɛn1	
特	tʰɛt7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tʰuʔ7	
犒	hau5	
犬	tɕʰyɔn3	
犯	fan5	
狀	tsʰɔŋ5	
猶	iu2	
狂	kʰɔŋ2	
狄	tʰit7	
狽	pi5	
狐	fu2	
狗	kiɛu3	
狡	tɕiau3	
獨	tʰuʔ7	
狹	hat7	
獅	su1	
獄	ȵiuʔ7	
狸	li3	
狼	lɔŋ2	
獵	liɛt7	
猛	muŋ3	
猜	tsʰai1	
猝	tsʰuʔ7	
猩	ɕin1	
豬	tʂø1	
猫	mau1	
蝟	ui5	
獻	ɕiɛn5	
猴	hɛu2	
猾	uat7	
猿	yɔn2	
玄	ɕyɔn2	
率	suɘi5	
玉	ȵi5	
王	uɔŋ2	
玩	uan2	
玫	mi2	
環	fan2	
現	ɕiɛn5	
璽	ɕi3	
玻	pɔ1	
珀	pɛt7	
珊	san1	
珍	tɘn1	
珠	tʂø1	
班	pan1	
球	ɕiu2	
理	li3	
琉	liu2	
瑣	sɔ3	
琢	tʂʰøʔ7	雕~
琴	ɕin2	
琵	pʰi2	
琶	pa1	
瓊	tɕʰiuŋ2	
瑕	ɕia1	
瑞	luɘi5	~雪
瑟	sɛt7	
瑰	kui5	
璃	li2	
璧	pit7	
瓜	kua1	
瓠	fu2	
瓠	fu5	
瓢	pʰiɛu2	
瓣	pʰan5	
瓤	lɔŋ2	
瓦	ŋa3	动
瓦	ŋa3	名
瓮	uŋ5	
瓶	pʰin2	文
瓶	pʰɘn2	白
瓷	tsʰu2	
甑	tsɛn7	
甘	kɔn1	
甚	sɘn3	
甜	tʰiɛn2	
生	sɛn1	文
生	saŋ1	白
甥	sɛn1	
用	iuŋ5	
甫	pʰu3	
甬	iuŋ3	
田	tʰiɛn2	
由	iu2	
甲	kat7	
申	sɘn1	
電	tʰiɛn5	
男	luɔn2	
畫	fa5	
暢	tʂʰɔŋ5	
界	kai5	
畏	ui5	
畔	pʰɛn5	
留	liu2	
畜	tʂʰøʔ7	~牲
略	iɔʔ7	
番	fan1	
疆	tɕiɔŋ1	
疏	su1	
疑	ȵi2	
療	liɛu2	
瘧	iɔʔ7	
瘍	iɔŋ2	
疤	pa1	
疥	kai5	
疫	it7	
瘡	tsʰɔŋ1	
瘋	fuŋ1	
疲	pʰi2	
疵	tsʰu1	
疸	tan3	
疹	tsɘn3	荨麻~
疾	tɕʰit7	
痂	tɕia1	
病	pʰiaŋ5	
症	tɘn5	
痒	iɔŋ3	
痔	tʂʰᴇ5	~疮
痕	hɛn2	
痘	tʰɛu5	
痛	tʰuŋ5	
痞	pʰi3	
痢	li5	
痣	tʂᴇ5	
痧	sa1	
癆	lau2	
痰	tʰan2	
癡	tʂᴇ1	
痹	pi5	
瘟	uɘn1	
瘦	sɛu5	
癱	tʰan1	
瘴	tɔŋ5	~气
瘸	tɕʰiɔ2	
癮	in3	
癖	pʰi5	
癩	lai5	
癲	tiɛn1	
登	tɛn1	
白	pʰaʔ7	
百	pɛt7	
皂	tsʰau5	
的	tit7	
皆	kai1	
皇	fɔŋ2	
皖	uɛn3	
皮	pʰi2	
皺	tsɛu5	
皿	mɘn3	
盂	i2	
盆	pʰɘn2	
盈	in2	
益	it7	
盞	tsan3	
鹽	iɛn2	
監	kan1	
盒	hɔt7	
盔	fi1	
盖	kɔi5	动
盜	tʰau5	
盤	pʰɛn2	
盛	sɘn2	~饭
盛	sɘn5	兴~
盟	muŋ2	
目	muʔ7	
盲	mɔŋ2	
直	tʂʰɘt7	
相	ɕiɔŋ5	
盼	pʰan5	
盾	tɘn3	矛~
省	sɛn3	文:~长
省	aŋ3	白:~长
眉	mi2	
看	kʰɔn1	~守
看	kʰɔn5	~见
真	tɘn1	
眠	mɘn2	
眨	tsat7	
眩	ɕyɔn2	
眶	kʰuaŋ1	
眷	tɕyɔn5	
眼	ŋan3	
着	tɔʔ7	~衣
着	tʰɔʔ7	睡~
睜	tsɛn1	
睛	tɕin1	
睡	suɘi5	
督	tuʔ7	
睬	tsʰɔi3	
瞎	hat7	
瞞	mɛn2	
瞧	tɕʰiɛu2	
瞳	tʰuŋ2	
瞻	tɛn1	
瞿	tɕʰi2	
矁	tɕʰiɛu2	
矛	mau2	
矣	i3	
知	tʂᴇ1	
矩	tɕi3	
矯	tɕiɛu5	
矬	tsʰɔ7	
短	tuɔn3	
矮	ŋai3	
石	saʔ7	
礦	kʰɔŋ5	
碼	ma3	
砂	sa1	
砌	tɕʰi5	
砍	kʰɔn3	
砑	ŋa5	
研	ȵiɛn1	
磚	tuɔn1	
硯	ȵyɔn5	
破	pʰɔ5	
礫	lit7	
礎	tsʰu3	
碩	suɔ7	
硝	ɕiɛu1	
硫	liu2	
硬	ŋaŋ5	
確	kʰɔʔ7	
礙	ŋɔi5	
碎	suɔi5	
碑	pi1	
碗	uɛn3	
碟	tiɛt7	
碧	pit7	
碰	pʰuŋ5	
鹼	kan3	
碾	ȵiɛn3	
磁	tsʰu2	
磕	kʰɔt7	
磨	mɔ2	~刀:动
磨	mɔ5	名
磷	lɘn2	
示	sɘt7	
禮	li3	
社	sa5	
祀	su5	
祁	tɕʰi2	
祈	tɕʰi3	
祖	tsu3	
祝	tʂøʔ7	~贺
神	sɘn2	
祠	tsʰu2	
祥	ɕiɔŋ2	
票	pʰiɛu5	
祭	tɕi5	
禱	tʰau5	
禍	fɔ5	
稟	pin3	
禁	tɕin5	
祿	luʔ7	
禪	sɛn2	~宗
禪	sɛn5	~让
福	fuʔ7	
禧	ɕi3	
禹	i3	
离	li2	
禽	ɕin2	
禾	uɔ2	
秀	ɕiu5	
私	su1	
秃	tʰɘt7	
稈	kɔn5	
秉	pɘn3	
秋	tɕʰiu1	~天
秋	tɕʰiu1	~千
種	tuŋ3	~类
種	tuŋ5	~树
科	kʰɔ1	
秒	miɛu3	
秘	mit7	
租	tsu1	
秤	tʰɘn5	一杆~
秦	tɕʰin2	
秧	iɔŋ1	
秩	tʂʰɘt7	~序
積	tɕit7	
稱	tʂʰɘn1	~呼
稱	tʰɘn1	相~
移	i2	
穢	fi5	
稀	ɕi1	
程	tʰɘn2	
稍	sau1	
税	hø5	
稚	tʂʰᴇ5	
稠	tʰɘu2	
穩	uɘn3	
稷	tɕi1	
稻	tʰau5	
稼	tɕia1	
稽	tɕi1	
稿	kau3	
穗	suɘi5	
穴	tɕʰyɔt7	
究	tɕiu1	
窮	ɕiuŋ2	
空	kʰuŋ1	
穿	tʂʰuɔn1	
突	tʰɘt7	
竊	tɕʰiɛt7	
窄	tsɛt7	
竅	tɕʰiɛu3	
窯	iɛu2	
窖	kau5	
窗	tsʰɔŋ1	
竄	tsʰuɔn5	
窩	uɔ1	
窟	kʰuɘt7	
窠	kʰɔ1	
窺	kʰui1	
窿	luŋ2	
立	lɘt7	
豎	sø5	
站	tsan5	~立
站	tsan5	车~
競	tɕin5	
竟	tɕin5	
章	tɔŋ1	
童	tʰuŋ2	
竭	tɕiɛt7	
端	tuɔn1	~午
竹	tʂøʔ7	
竿	kɔn1	
篤	tuʔ7	
笆	pa1	
笋	ɕin3	
笑	ɕiɛu5	
筆	pɘt7	
笙	sɛn1	
笛	tʰit7	
笠	lɘt7	
符	fu2	
笨	pɘn5	
第	tʰi5	
箋	tɕʰiɛn1	
籠	luŋ2	
等	tɛn3	
筋	tɕin1	
筏	faʔ7	
筐	kʰuaŋ1	
筑	tʂøʔ7	~巢
筒	tʰuŋ2	
答	tat7	
策	tsʰɛt7	
篩	sai1	
箏	tsɛn1	
筵	iɛn5	
筷	kʰuai5	
籌	tʂʰɘu2	
签	tɕʰiɛn1	
签	tɕʰiɛn1	~名
簡	kan3	
箍	ku1	~桶
算	suɔn5	
管	kuɛn3	
籮	lɔ2	
簫	ɕiɛu1	
箭	tɕiɛn5	
箱	ɕiɔŋ1	
篇	pʰiɛn1	
簍	lɛu3	
篙	kau1	
篡	tsʰuɔn5	
篦	pʰi7	
籃	lan2	
籬	li2	
篷	pʰuŋ2	
篾	miɛt7	
簧	fɔŋ2	
簪	tsan1	
簰	pʰai2	竹排
簸	pɔ5	
簿	pʰu5	
籍	tɕʰit7	
米	mi3	
類	li5	
粉	fɘn3	
粒	lɘt7	
粗	tsʰu1	
粘	tɛn1	~贴
糶	tʰiɛu5	
粤	iɔʔ7	
粥	tʂøʔ7	
糞	fɘn5	
糧	liɔŋ2	
粱	liɔŋ2	
粹	tsʰuɘi5	
糉	tsuŋ5	
精	tɕin1	
糊	fu2	
糍	tsʰu2	
糕	kau1	
糖	hɔŋ2	
糙	tsʰau5	
糜	mi2	
糟	tsau1	
糠	kʰɔŋ1	
糯	lɔ5	
系	ɕi5	
系	ɕi5	~统
系	ɕi5	关~
系	ɕi5	联~
素	suʔ7	
索	sɔʔ7	
緊	tɕin3	
紫	tsu3	
累	luɘi5	拖~
累	luɘi5	极困
累	luɘi3	积~
絮	ɕi5	
絶	tɕʰiɛt7	
綑	kʰuɘn3	
繁	fan2	
纂	tsuɔn5	
糾	tɕiu1	
紅	fuŋ2	
紂	tʰɘu5	
纤	tɕʰiɛn1	
約	iɔʔ7	
級	tɕit7	
紈	uan2	
紀	tɕi3	
緯	ui3	
純	sɘn2	
紗	sa1	
綱	kɔŋ1	
納	lat7	
縱	tsuŋ5	
紛	fɘn1	
紙	tʂᴇ3	
紋	uɘn2	
紡	fɔŋ3	
紐	ȵiu3	
線	ɕiɛn5	
練	liɛn5	
組	tsu3	
細	ɕi5	
織	tɘt7	
終	tuŋ1	
縐	tsɛu5	
絆	pʰɛn5	
紹	sɛu5	
經	tɕin1	
綁	pɔŋ3	
絨	luŋ2	
結	tɕiɛt7	
繞	lɛu3	~线
繞	lɛu3	围~
繪	fi5	
給	kiɛt7	
絡	lɔʔ7	
絶	tɕʰiɛt7	
絞	tɕiau3	
統	tʰuŋ3	
絹	tɕyɔn1	
繡	ɕiu5	
繼	tɕi5	
績	tɕit7	
緒	ɕit7	
續	ɕiuʔ7	
綽	tsʰɔʔ7	~号
繩	sɘn2	
維	ui2	
綿	miɛn2	
繃	puŋ1	
綢	tʂʰɘu2	
綻	tɛn5	
綠	liuʔ7	
緬	miɛn3	
纜	lan3	
緝	tɕʰit7	
緞	tʰuɔn5	
緩	fɛn5	
縷	li3	
編	piɛn1	
緣	yɔn2	
縛	fuʔ7	
縫	fuŋ5	一条~
纏	tʰɛn1	
縊	it7	
纓	in1	
縮	sɔʔ7	
繮	tɕiɔŋ1	
繰	tɕiɛu3	
繳	tɕiɛu3	
缸	kɔŋ1	
缺	tɕʰyɔt7	
罐	kuɛn5	
网	uɔŋ3	
罕	hɔn3	
羅	lɔ2	
罰	fat7	
罷	pa5	
罩	tsau5	
罪	tsʰuɘi5	
置	tʂᴇ5	
署	sø3	~名
羈	tɕi1	
羊	iɔŋ2	
羌	tɕʰiɔŋ1	
美	mi3	
羔	kau1	
羞	ɕiu1	
羡	ɕiɛn5	
群	tɕʰin2	
羹	kiɛn1	
羽	i3	
翁	uŋ1	
翅	tʂʰᴇ5	
翎	lɘn2	
翔	ɕiɔŋ2	
翹	tɕʰiɛu5	
翠	tsʰuɘi5	
翡	fi3	
翰	hɔn5	
翻	fan1	
翼	i5	
耀	iɛu5	
老	lau3	
考	kʰau3	
者	ta3	
而	ɘ2	
耍	sa3	
耐	lai5	
耕	kiɛn1	
耗	hau2	
耙	pʰa5	
耳	ɘ3	
耶	iɛt7	
耻	tʂʰᴇ3	
耽	tan1	
耿	kiɛn3	
聶	ȵiɛt7	
聊	liɛu2	
聾	luŋ1	
職	tɘt7	
聯	liɛn2	
聘	pʰɘn5	
聚	tɕʰit7	
聰	tsʰuŋ1	
肅	ɕiuʔ7	
肆	su5	
肉	ȵiuʔ7	
肋	lɛt7	
肌	tɕi1	
肖	ɕiɛu1	
肘	tʂɘu3	手~
肚	tu3	~子
肚	tʰu5	猪~
肛	kɔŋ1	
肝	kɔn1	
腸	tʰɔŋ2	
股	ku3	
肢	tʂᴇ1	
膚	fu1	
肥	fi2	
肩	tɕiɛn1	
肪	fɔŋ2	
骯	ŋɔŋ1	
肯	kʰiɛn3	
育	ȵiuʔ7	
肴	iau2	
肺	fɘi5	
腎	sɘn5	
腫	tuŋ3	
脹	tɔŋ5	
脅	ɕiɛt7	
胃	ui5	
膽	tan3	
背	pai5	
背	pʰai5	~诵
胎	tʰɔi1	
胖	pʰɔŋ5	
胚	pʰai1	
胛	kat7	
勝	sɘn5	~任
勝	sɘn5	~败
胞	pau1	
胡	fu2	
朧	luŋ3	
胭	iɛn1	
胳	kɔʔ7	
膠	kau1	
胸	ɕiuŋ1	
能	lɛn2	
脂	tʂᴇ3	
脆	tsʰuɘi5	
脉	mɛt7	
脊	tɕiaʔ7	
脏	tsʰɔŋ5	内~
脏	tsɔŋ1	肮~
臍	tɕʰi2	
腦	lau3	
膿	luŋ2	
脖	pɔʔ7	
脚	tɕiɔʔ7	
脯	pʰu3	
脯	pʰuʔ7	
脱	tʰɔt7	
臉	liɛn3	
脾	pʰi2	
臘	lat7	
腋	kat7	
腌	iɛn1	
腐	fu5	
腑	fu3	
腔	tɕʰiɔŋ1	
腕	uɛn3	
腥	ɕiaŋ1	
腭	ŋɔʔ7	
腮	suɔi1	
腰	iau1	
腹	fuʔ7	
膩	ȵit7	
騰	tʰɛn2	
腿	tʰuɘi3	
膏	kau1	
膘	piɛu1	
膜	mɔʔ7	
膝	tɕʰit7	
膨	pʰaŋ2	
膳	sɛn5	
臀	tʰɘn2	
臂	pi5	
臃	iuŋ1	
臊	sau1	
臣	tʂʰɘn2	
自	tsʰu5	
臭	tʂʰɘu5	香~
至	tʂᴇ5	
致	tʂᴇ5	
臻	tsɛn1	
臼	tɕiu1	
舀	iɛu3	
舅	tɕʰiu5	
舌	sɛt7	
舍	sa3	~弃
舍	sa5	宿~
舐	ʂᴇ5	
舒	hø1	
舔	tʰiɛn2	
舜	sɘn5	尧~禹
舞	u3	
舟	tɘu1	
航	hɔŋ2	
般	pɛn1	
艦	tɕiɛn5	
艙	tsʰɔŋ1	
舵	tʰɔ5	
