#漢字	音標	解釋
㩁	tɕʰio	~蒜
隘	ie5	
隨	suei2	
隻	tɕia5	
雜	tsa2	
雕	tiəu1	
雙	suaŋ1	
雞	tɕi1	
離	li2	
難	nom2	~易
雨	u3	
雪	ɕie2	
雲	yn2	
零	lin2	
雷	lei2	
雹	pau5	
電	tei5	
霜	som1	
霧	u5	
露	lu5	
靈	lin2	
青	tsʰei1	
靠	kʰəu5	
面	mei5	
鞋	xɛ2	
鞭	piɛ1	
韭	tɕiəu3	
音	in1	
響	ɕiom3	
頂	tin3	
順	ɕyn2	
須	ɕi1	
頓	tən1	借官
領	lei4	陽上
頭	tau2	
頸	kei1	
題	tʰi2	
額	ŋɛ2	
顔	ŋaŋ2	
願	uei5	
風	faŋ1	
颳	kue2	
飄	pʰiəu1	
飛	fi1	
食	sɛ2	
飯	fiɛ5	
飽	pau5	
餅	pin3	
餈	tsʰɿ2	
餉	ɕiom5	
養	iom4	陽上
餐	tsʰom1	
餓	ŋo5	
餿	sau1	
香	ɕiom1	
馬	ma3	陰上
駝	to4	陽上
騎	tɕʰi2	
騙	pʰei	
騾	lo2	
驚	kai1	
驢	lu2	
骨	kue2	
髓	sən3	
體	tʰi3	
高	kəu1	
鬆	sən1	
鬍	u2	
鬥	tau5	
鬧	nau5	
鬼	tɕy3	
魂	xuən2	
魄	pʰɛ2	
魚	ən4	陽上
鮮	sei1	
鯽	tɕie2	
鰓	so1	
鱉	piɛ2	
鱗	lin2	
鳥	tie3	
鳩	kɛ	存疑
鴉	ŋa1	
鴨	a5	
鴿	ko2	借官
鵝	ŋo2	
鵲	tɕʰio2	或借官
鹵	lu5	
鹽	ei2	
鹿	lu2	
麥	ma5	
麵	mei5	~粉
麻	ma2	
黃	xom1	
黑	xɛ2	
默	mɛ2	
點	tei3	
鼎	tie5	
鼓	ku3	
鼠	ɕy3	
鼻	pi5	
齊	tɕi2	
齋	tɕie1	
齒	tsʰɿ3	
龍	lən2	
龜	kuei4	陽上,調存疑
