#漢字	音標	解釋
□	uɑi3	不舒服
慈	tsʰɿ2	
慌	xuɑŋ1	
慎	ʃiɛ̃6	
慕	mu6	
慢	mæ̃5	
慧	xuei5	
慨	kʰɑi5	
慰	uei5	
慷	kʰɑŋ3	
憋	piəʔ7	
憎	tsəŋ5	
憨	xæ̃1	
憾	xæ̃6	
懂	tuŋ3	
懈	ɕiə5	
懊	ɔ5	
懶	lɑi3	
懶	læ̃3	
懦	nuo6	
懵	məŋ3	
戈	kuo1	
戊	u6	
戌	ʃyəʔ7	
戍	ʃy5	
戎	yŋ2	
戲	ɕi5	
成	tʃʰiŋ2	
我	uo3	文
戒	tɕiə5	
或	xuəʔ7	
戰	tʃiæ̃5	
戚	tʃʰiəʔ7	
戟	tɕiəʔ7	
戥	təŋ3	
截	tʃiəʔ8	
戳	tsʰuəʔ7	
戴	tɑi5	
戶	xu6	
房	fɑŋ2	
所	suo3	
扁	piæ̃3	
扇	ʃiæ̃5	
手	ʃiəu3	
才	tsʰɑi2	
扎	tsʌʔ7	
扑	pʰuəʔ7	
打	tɑ3	
扔	ləŋ3	
托	tʰuəʔ7	
扛	kʰɑŋ2	
扣	kʰəu5	
扣	kʰəu6	
執	tsəʔ7	
擴	kʰuəʔ7	
掃	sɔ3	
掃	sɔ5	
揚	iɑŋ2	
扭	niəu3	
扮	pæ̃5	
扯	tʃʰiə3	
擾	iɔ3	
扳	pæ̃1	
扶	fu2	
批	pʰi1	
扼	ɣəʔ7	
扽	tɛ̃5	
找	tʃiɔ3	
承	tʃʰiŋ2	
技	tɕi5	
抄	tsʰɔ1	
把	pɑ3	
抑	i6	
抓	tsuɑ1	
投	tʰəu2	
抖	təu3	
抗	kʰɑŋ5	
折	tʃiəʔ7	
折	ʃiəʔ7	
撫	fu1	
抛	pʰɔ1	
摳	kʰəu1	
搶	tʃʰiɑŋ3	
護	xu6	
報	pɔ5	
披	pʰi1	
抬	tʰɑi2	
抱	pɔ6	
抵	ti3	
抹	mʌʔ7	
抹	muəʔ8	
押	iʌʔ7	
抽	tʃʰiəu1	
抿	miɛ̃3	
拃	tsɑ3	
拄	tʃy3	
擔	tæ̃5	~子
擔	tæ̃1	动词
拆	tsʰəʔ7	
拇	mu3	
拈	niæ̃2	
拉	lɑ1	
拉	lʌʔ8	
拌	pæ̃6	
拍	pʰiəʔ7	
拎	liŋ1	
拐	kuɑi3	
拒	tɕy6	
拔	pʌʔ8	
拖	tʰuo1	
拘	tɕy1	
拙	tʃyəʔ7	
招	tʃiɔ1	
拜	pɑi5	
擬	ni3	
攏	luŋ3	
揀	tɕiæ̃3	
拤	tɕʰiɑ1	
擁	yŋ1	
撥	puəʔ7	
擇	tsəʔ7	
擇	tsəʔ8	
括	kʰuəʔ7	
拯	tʃiŋ3	
拱	kuŋ3	
拳	tɕʰyæ̃2	
拴	suæ̃1	
拷	kʰɔ3	
拼	pʰiŋ1	
拽	tsuɑi6	
拽	iəʔ8	
拾	ʃiəʔ8	
拿	nɑ2	
持	tʃʰi2	
挂	kuɑ5	
指	tsɿ3	
按	~ɣæ̃5	
挑	tʰiɔ1	
挑	tʰiɔ3	
挖	uʌʔ7	
挾	tɕiʌʔ7	
挾	ɕiəʔ8	
撓	nɔ2	
擋	tɑŋ3	
擠	tɕi3	
揮	xuei1	
挨	ɑi1	
挨	ɑi2	
挪	nuo2	
挫	tsʰuo5	
振	tʃiɛ̃5	
挺	tʰiŋ3	
挽	uæ̃3	
捅	tʰuŋ3	
捆	kʰuɛ̃3	
捉	tsuəʔ7	
捋	nyəʔ8	
捍	kæ̃3	
捎	ʃiɔ1	
捏	niəʔ8	
捐	tɕyæ̃1	
捕	pu3	
撈	lɔ1	~钱
撈	lɔ2	~面
損	suɛ̃3	
換	xuæ̃6	
搗	tɔ3	
捧	pʰəŋ3	
据	tɕy5	
捱	ɑi2	
捷	ʃiəʔ8	
捺	nʌʔ7	
掀	ɕiæ̃1	
掂	tiæ̃1	
掇	tuəʔ7	
授	ʃiəu6	
掉	tiɔ6	
掌	tʃiɑŋ3	
掏	tʰɔ1	
掐	tɕʰiʌʔ7	
排	pʰɑi2	
掖	iəʔ8	
掘	tɕyəʔ7	
掘	tɕyəʔ8	
掠	nyəʔ8	
探	tʰæ̃5	
接	tʃiəʔ7	
控	kʰuŋ5	
推	tʰuei1	
掩	iæ̃3	
措	tsʰuo5	
掮	tɕʰiæ̃2	
掰	piəʔ7	
擲	tʃiəʔ8	
撣	tæ̃3	
揈	xuŋ1	
揉	iəu2	
描	miɔ2	
提	tʰi2	
插	tsʰʌʔ7	
揖	i1	
揞	~ɣæ̃3	
揠	iʌʔ7	
握	uəʔ7	
揢	tɕʰiɑ1	
揣	tsʰuɑi3	
揩	kʰɑi1	
揪	tʃiəu1	
揭	tɕiəʔ7	
援	yæ̃2	
揶	tsəu1	
揹	pei1	
攬	læ̃3	
撳	tɕʰiɛ̃5	
攙	tsʰæ̃1	
擱	kəʔ7	
摟	ləu1	
摟	ləu3	
攪	tɕiɔ3	
搉	tɕʰyəʔ7	
搊	tsʰəu1	
搓	tsʰuo1	
搔	sɔ1	
搜	səu1	
搞	kɔ3	
搡	sɑŋ3	
搧	ʃiæ̃1	
搬	pæ̃1	
搭	tʌʔ7	
攜	ɕiə2	
搽	tsʰɑ2	
攝	ʃiəʔ7	
摆	pɑi3	
摇	iɔ2	
攤	tʰæ̃1	
摔	suɑi1	
摘	tsəʔ7	
摞	luo6	
摩	mu2	
摩	muo2	
摸	muəʔ8	
摺	tʃiəʔ7	
撇	pʰiəʔ7	
撑	tsʰəŋ1	
撒	sʌʔ7	
撕	sɿ1	
撙	tsuɛ̃3	
撞	tsuɑŋ6	
撤	tsʰəʔ7	
撩	liɔ2	
播	puo1	
撮	tsuəʔ7	
撰	tsuæ̃6	
攆	niæ̃3	
撼	xæ̃6	
擀	kæ̃3	
擂	luei2	
擂	luei6	
擊	tɕi5	
操	tsʰɔ1	
操	tsʰɔ5	
擎	tɕʰiŋ2	
擒	tɕʰiɛ̃2	
擦	tsʰʌʔ7	
攀	pʰæ̃1	
攢	tsuæ̃2	
攔	læ̃2	
攘	nɑŋ3	
攘	iɑŋ3	
支	tsɿ1	
收	ʃiəu1	
改	kɑi2	
攻	kuŋ1	
放	fɑŋ5	
政	tʃiŋ1	
故	ku5	
效	ɕiɔ6	
敵	tiəʔ8	
敏	miɛ̃3	
救	tɕiəu5	
敖	ɔ2	
教	tɕiɔ1	
教	tɕiɔ5	
斂	liæ̃3	
斂	liæ̃6	
敝	pi6	
敞	tʃʰiɑŋ3	
敢	kæ̃3	
散	sæ̃3	
散	sæ̃5	
敦	tuɛ̃1	
敬	tɕiŋ5	
數	suo5	~字
數	suo3	动词
敲	tɕʰiɔ1	
整	tʃiŋ3	
敷	fu1	
文	uɛ̃2	
齋	tsɑi1	
斑	pæ̃1	
斗	təu3	
斗	təu5	
料	liɔ6	
斛	xuəʔ7	
斜	ʃiə2	
斟	tʃiɛ̃1	
斡	uəʔ7	
斤	tɕiɛ̃1	
斥	tʃʰiəʔ7	
斧	fu3	
斬	tsæ̃3	
斷	tuæ̃6	
斯	sɿ1	
新	ʃiɛ̃1	
方	fɑŋ1	
於	y2	
施	sɿ1	
旁	pʰɑŋ2	
旅	ly3	
旋	ʃyæ̃2	
旋	ʃyæ̃6	
族	tsuəʔ8	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	iəʔ8	
日	i6	白~
旦	tæ̃5	
舊	tɕiəu6	
旨	tsɿ3	
早	tsɔ3	
旬	ʃyɛ̃2	
旭	ɕyəʔ7	
旯	lɑ5	
旱	xæ̃6	
時	sɿ2	
旺	uɑŋ6	
昂	ɣɑŋ2	
昆	kʰuɛ̃1	
昌	tɕʰiɑŋ1	
明	miŋ2	
昏	xuɛ̃1	
易	i6	
昔	ʃiəʔ7	
星	ʃiŋ1	
映	iŋ6	
春	tʃʰyɛ̃1	
昧	mei6	
昨	tsuəʔ8	
昭	tʃiɔ1	
是	sɿ6	
晝	tʃiəu5	
顯	ɕiæ̃3	
晃	xuɑŋ3	~眼
晃	xuɑŋ6	~动
晉	tʃiɛ̃5	
晌	ʃiɑŋ3	
晏	iæ̃5	
曬	sɑi5	
曉	ɕiɔ3	
暈	yɛ̃1	
暈	yɛ̃6	
晚	uæ̃3	
晦	xuei5	
晨	tʃʰiɛ̃5	
普	pʰu3	
景	tɕiŋ3	
晴	tʃʰiŋ2	
晶	tʃiŋ1	
智	tʃi5	
暫	tsæ̃6	
暇	ɕiɑ2	
暑	ʃy3	
暖	nuæ̃3	
暗	~ɣæ̃5	
暮	mu6	
暴	pɔ6	
曝	pʰuəʔ8	
曩	nɑŋ2	
曰	yəʔ8	
曲	tɕʰyəʔ7	
更	kəŋ1	~换
更	kəŋ5	副词
曹	tsʰɔ2	
曾	tsəŋ1	
曾	tsʰəŋ2	
替	tʰi5	
最	tsuei5	
月	yəʔ8	
有	iəu3	
朋	pʰəŋ2	
服	fuəʔ7	
朔	suəʔ7	
朗	lɑŋ3	
望	uɑŋ6	
朝	tʃiɔ1	
朝	tʃʰiɔ2	
期	tɕʰi1	
木	muəʔ8	
未	uei6	
末	muəʔ8	
本	pɛ̃3	
札	tsʌʔ7	
术	ʃyəʔ8	
朱	tʃy1	
朴	pʰuəʔ7	
朶	tuo3	
機	tɕi1	
朽	ɕiəu3	
殺	sʌʔ7	
雜	tsʌʔ8	
權	tɕʰyæ̃2	
杆	kæ̃1	
杈	tsʰɑ1	
杈	tsʰɑ5	
杉	sæ̃1	
杌	uəʔ8	
李	li3	
杏	ɕiŋ2	
材	tsʰɑi2	
村	tsʰuɛ̃1	
杖	tʃiɑŋ6	
杜	tu6	
杞	tɕʰi3	
束	suəʔ7	
杠	kɑŋ5	
條	tʰiɔ2	
來	lɑi2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pei1	
杰	tɕiəʔ8	
杳	iɔ3	
杴	ɕiæ̃1	
杵	tʃʰy3	
杷	pʰɑ1	
松	suŋ1	
板	pæ̃3	
極	tɕiəʔ8	
構	kəu5	
枇	pʰi2	
枉	uɑŋ3	
析	ʃiəʔ7	
枕	tʃiɛ̃3	
枕	tʃiɛ̃5	
林	tʃʰiɛ̃1	
林	liɛ̃2	
枚	mei2	
果	kuo3	
枝	tsɿ1	
樞	ʃy1	
棗	tsɔ3	
槍	tʃʰiɑŋ1	
楓	fəŋ1	
枯	kʰu1	
枵	ɕiɔ1	
架	tɕiɑ5	
柄	piŋ3	
柏	piəʔ7	
某	mu3	
柑	kæ̃1	
染	iæ̃3	
柔	iəu2	
柚	iəu6	
櫃	kuei6	
柞	tsuəʔ8	
查	tsʰɑ2	
柩	tɕiəu6	
柬	tɕiæ̃3	
柱	tʃy6	
柳	liəu3	
柴	tsʰɑi2	
柿	sɿ6	
梔	tsɿ1	
栅	tsʌʔ7	
標	piɔ1	
棧	tsæ̃6	
棟	tuŋ5	
欄	læ̃2	
樹	ʃy6	
栓	suæ̃1	
栖	ʃi1	
栗	liəʔ8	
校	tɕiɔ5	
校	ɕiɔ6	
株	tʃy1	
樣	iɑŋ6	
核	xʌʔ7	
核	xuəʔ8	
根	kɛ̃1	
格	kʌʔ7	
栽	tsɑi1	
栿	fuəʔ7	
桂	kuei5	
桃	tʰɔ2	
桅	uei2	
框	kʰuɑŋ1	
案	~ɣæ̃5	
桉	~ɣæ̃1	
桌	tsuəʔ7	
桐	tʰuŋ2	
桑	sɑŋ1	
桓	xuæ̃2	
桔	tɕiəʔ8	
椏	iɑ2	
橈	iɔ2	
檔	tɑŋ5	
橋	tɕʰiɔ2	
樺	xuɑ6	
檜	kʰuɑi5	
槳	tʃiɑŋ3	
樁	tsuɑŋ1	
桶	tʰuŋ3	
梁	liɑŋ2	
梅	mei2	
梓	tsɿ3	
梗	kəŋ3	
梢	ʃiɔ1	
夢	məŋ6	
梧	u2	
梨	li2	
梭	suo1	
梯	tʰi1	
械	tɕiə6	
梳	suo1	
檢	tɕiæ̃3	
棉	miæ̃2	
棋	tɕy1	
棋	tɕʰi2	
棍	kuɛ̃5	
棒	pɑŋ6	
棕	tsuŋ1	
棚	pʰəŋ2	
棠	tʰɑŋ2	
森	ʃiɛ̃1	
棲	tɕʰi1	
棵	kʰuo1	
棺	kuæ̃1	
椅	i3	
植	tʃiəʔ8	
椒	tʃiɔ1	
橢	tʰuo3	
椰	iə1	
椽	tʃʰyæ̃2	
椿	tʃʰyɛ̃1	
楂	tsɑ1	
楔	ʃiəʔ8	
楚	tsʰuo3	
楝	lyæ̃6	
楞	ləŋ2	
楣	mei2	
楦	ɕyæ̃1	
楷	kʰɑi1	
樓	ləu2	
概	kɑi5	
欖	læ̃3	
榆	y2	
榔	lɑŋ3	
榕	yŋ2	
榛	tsɛ̃1	
榜	pɑŋ3	
榧	fei3	
榨	tsʌʔ7	
榫	ʃyɛ̃3	
榴	liəu2	
榻	tʰʌʔ7	
槌	tsʰuei2	
槐	xuɑi2	
檳	piɛ̃1	
槽	tsʰɔ2	
樟	tʃiɑŋ1	
模	mu2	
模	muo2	
橫	xuŋ2	纵~
橫	xuŋ6	蛮~
櫻	iŋ1	
樵	tʃʰiɔ2	
橄	kæ̃3	
橘	tɕyəʔ7	
橙	tsʰəŋ2	
橙	tʃʰiŋ2	
橡	ʃiɑŋ6	
櫥	tʃʰy2	
櫓	lu3	
檀	tʰæ̃2	
檐	iæ̃2	
檁	liɛ̃3	
欠	tɕʰiæ̃5	
次	tsʰɿ5	
歡	xuæ̃1	
欣	ɕiɛ̃1	
欣	tʃʰiɛ̃1	
歐	ɣəu1	
欲	y6	
欺	tɕʰi1	
款	kʰuæ̃3	
歇	ɕiəʔ7	
歉	tɕʰiæ̃5	
歌	kə1	
歘	tsʰuɑ1	拟声词
止	tsɿ3	
正	tʃiŋ1	
正	tʃiŋ5	
此	tsʰɿ3	
步	pu6	
武	u3	
歧	tɕʰi2	
歪	uɑi1	
死	sɿ3	
殲	tʃiæ̃1	
殃	iɑŋ1	
殆	tɑi6	
殉	ɕyɛ̃6	
殊	ʃy1	
殘	tsʰæ̃2	
殮	liæ̃6	
殖	tʃiəʔ8	
殯	piɛ̃5	
殨	xuei6	
毆	ɣəu3	
段	tuæ̃6	
殷	iɛ̃1	
殿	tiæ̃6	
毁	xuei3	
毅	i6	
母	mu3	
每	mei3	
毒	tuəʔ8	
比	pi3	
畢	piəʔ7	
斃	pi6	
毛	mɔ2	
毡	tʃiæ̃1	
毫	xɔ2	
毯	tʰæ̃3	
氏	sɿ6	
民	miɛ̃2	
氓	məŋ2	
气	tɕʰi5	
水	suei3	
永	yŋ3	
汀	tʰiŋ1	
汁	tsəʔ7	
求	tɕʰiəu2	
汆	tsʰuæ̃1	
汇	xuei6	
漢	xæ̃5	
汊	tsʰɑ5	
汗	xæ̃6	
汝	y3	
汞	kuŋ3	
江	tɕiɑŋ1	
池	tʃʰi2	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ1	
汴	piæ̃6	
汽	tɕʰi5	
沁	tɕʰiɛ̃5	
沂	i2	
沃	uəʔ7	
沈	ʃiɛ̃3	
沉	tɕʰiɛ̃2	
沌	tuɛ̃6	
沓	tʰʌʔ7	
沙	sɑ1	
沛	pʰei5	
溝	kəu1	
没	muəʔ8	
漚	ɣəu5	
淪	luɛ̃2	
滬	xu6	
沫	muəʔ8	
河	xə2	
油	iəu2	
治	tʃi6	
沼	tʃiɔ3	
沾	tʃiæ̃1	
沿	iæ̃2	
泄	ʃiə5	
泅	tʃʰiəu2	
泉	tʃʰyæ̃2	
泊	pʰuəʔ7	
泊	puəʔ8	
泌	miəʔ8	
泔	kæ̃1	
法	fʌʔ7	
泛	fæ̃5	
泡	pʰɔ5	
泡	pʰɔ1	量词
波	puo1	
泣	tɕʰiəʔ7	
泥	ni1	
泥	mi2	
注	tʃy5	
淚	luei6	
泰	tʰɑi5	
泳	yŋ3	
瀉	ʃiə5	
澤	tsəʔ8	
潔	tʃiəʔ7	
洇	iɛ̃1	
洋	iɑŋ2	
洒	sɑ3	
洗	ʃi3	
洛	luəʔ8	
洞	tuŋ6	
津	tʃiɛ̃1	
津	tʃʰiɛ̃1	
洪	xuŋ2	
洲	tʃiəu1	
活	xuəʔ8	
洼	uɑ1	
洽	tɕʰiʌʔ8	
派	pʰɑi5	
流	liəu2	
淺	tʃʰiæ̃3	
漿	tʃiɑŋ1	
澆	tɕiɔ1	
濁	tsuəʔ8	
測	tsʰəʔ7	
濟	tɕi5	
渾	xuɛ̃2	
滸	xu3	
濃	nuŋ2	
浙	tʃiəʔ7	
浚	tʃyɛ̃5	
浜	pɑŋ1	
浞	tsuəʔ8	
浦	pʰu3	
浩	xɔ6	
浪	lɑŋ6	
浮	fu2	
浴	y6	
海	xɑi3	
浸	tʃiɛ̃5	
涂	tʰu2	
消	ʃiɔ1	
涉	ʃiəʔ8	
涌	yŋ3	
涎	xæ̃1	
涎	ʃiæ̃2	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ6	
渦	uo1	
滌	tiəʔ7	
潤	yɛ̃6	
澗	tɕiæ̃5	
漲	tʃiɑŋ3	
澀	ʃiəʔ7	
涮	suæ̃5	
涯	iɑ2	
液	iə6	
涿	tsuəʔ7	
淀	tiæ̃6	
淄	tsɿ1	
淆	iɔ2	
淋	liɛ̃2	
淑	suəʔ7	
淒	tɕʰi1	
淘	tʰɔ2	
淡	tæ̃6	
淤	y1	
淫	iɛ̃2	
淬	tsʰuei5	
淮	xuɑi2	
深	tʃiɛ̃1	
混	xuɛ̃3	
混	xuɛ̃6	
淹	iæ̃1	
添	tʰiæ̃1	
添	tʰiæ̃5	
清	tʃʰiŋ1	
淵	yæ̃1	
漸	tʃiæ̃6	
澠	miæ̃3	
漁	y2	
滲	ʃiɛ̃5	
渠	tɕʰy2	
渡	tu6	
渣	tsɑ1	
渥	uəʔ7	
溫	uɛ̃1	
渭	uei6	
港	kɑŋ3	
渴	kʰəʔ7	
游	iəu2	
渺	miɔ3	
湖	xu2	
湘	ʃiɑŋ1	
灣	uæ̃1	
溼	səʔ7	
潰	kʰuei6	
濺	tʃiæ̃5	
溉	kɑi5	
源	yæ̃2	
溜	liəu1	
溢	i6	
溪	ɕi1	
溶	yŋ2	
溺	niəʔ8	
溻	tʰʌʔ7	
滂	pʰɑŋ2	
滋	tsɿ1	
滑	xuʌʔ8	
滓	tsɿ3	
滓	tsəʔ8	
滔	tʰɔ1	
滚	kuɛ̃3	
滯	tʃi1	
滿	mæ̃3	
濾	ly6	
濫	læ̃5	
灘	tʰæ̃1	
滴	tiəʔ7	
漂	pʰiɔ1	
漂	pʰiɔ3	
漂	pʰiɔ5	
漆	tʃʰiəʔ7	
漏	ləu5	
演	iæ̃3	
漠	muəʔ8	
漤	læ̃2	
漫	mæ̃5	
漱	səu5	
潘	pʰæ̃1	
潛	tʃʰiæ̃2	
潭	tʰæ̃2	
潮	tʃʰiɔ2	
澄	tʃʰiŋ2	
澄	təŋ6	
澡	tsɔ3	
激	tɕiəʔ8	
瀑	pʰuəʔ8	
灌	kuæ̃5	
灒	tsæ̃5	
火	xuo3	
滅	miəʔ8	
燈	təŋ1	
灰	xuei1	
靈	liŋ2	
竈	tsɔ5	
灸	tɕiəu3	
灼	tsuəʔ7	
災	tsɑi1	
燦	tsʰæ̃5	
爐	lu2	
炊	tsʰuei1	
炎	iæ̃2	
炒	tsʰɔ3	
炕	kʰɑŋ5	
炙	tʃiəʔ7	
炭	tʰæ̃5	
炮	pʰɔ5	
炮	pʰɔ2	~制
炸	tsɑ5	
炸	tsʌʔ8	
點	tiæ̃3	
煉	lyæ̃6	
爛	læ̃5	
烈	liəʔ8	
烊	iɑŋ2	
烘	xuŋ1	
烙	luəʔ8	
燭	tsuəʔ7	
烟	iæ̃1	
烤	kʰɔ3	
煩	fæ̃2	
燒	ʃiɔ1	
燙	tʰɑŋ5	
熱	iəʔ8	
烹	pʰəŋ1	
焉	iæ̃1	
焊	xæ̃6	
煥	xuæ̃5	
焙	pei6	
焚	fɛ̃2	
焦	tʃiɔ1	
焮	ɕiɛ̃5	
焯	tsʰuəʔ7	
焰	iæ̃6	
然	iæ̃2	
煎	tʃiæ̃1	
煞	sʌʔ7	
煠	tsʌʔ8	
煤	mei2	
照	tʃiɔ5	
煨	uei1	
煮	tʃy3	
熄	ʃiəʔ7	
熊	ɕyŋ2	
熏	ɕyɛ̃1	
熔	yŋ2	
熙	ɕi1	
熟	ʃyəʔ7	
熨	yɛ̃5	
熬	pɔ1	
熬	ɔ1	~菜
熬	ɔ2	苦~
燃	iæ̃2	
燃	niæ̃3	
燎	liɔ2	
燎	liɔ3	
燕	iæ̃1	
燕	iæ̃5	
燥	tʃʰiɔ1	
燥	tsɔ5	
爆	pɔ5	
爪	tsɔ3	
爬	pʰɑ2	
愛	ɑi5	
爵	tɕyəʔ7	
父	fu5	
爺	iə2	
爸	pɑ5	
爹	tiə1	
爽	suɑŋ3	
爿	pʰæ̃2	
片	pʰiæ̃5	
版	pæ̃3	
牌	pʰɑi2	
牘	tuəʔ8	
牙	iɑ2	
牚	tsʰəŋ5	
牛	iəu2	
牡	mu3	
牢	lɔ2	
牧	mu6	
物	uəʔ8	
牯	ku3	
牲	səŋ1	
牴	ti3	
牽	tɕʰiæ̃1	
牸	tsɿ6	
特	tʰiəʔ8	
犧	ɕi1	
犀	ʃi1	
犁	li2	
犢	tuəʔ8	
犍	tɕiæ̃5	
犒	kʰɔ5	
犟	tɕiɑŋ6	
犬	tɕʰyæ̃3	
犯	fæ̃6	
狀	tsuɑŋ6	
猶	iəu2	
狂	kʰuɑŋ2	
狄	tiəʔ8	
狐	xu2	
狗	kəu3	
狡	tɕiɔ3	
獨	tuəʔ8	
狹	ɕiʌʔ8	
獅	sɿ1	
獄	y6	
狸	li2	
狼	lɑŋ2	
獵	liəʔ8	
猛	məŋ3	
猜	tsʰɑi1	
猝	tsʰuəʔ7	
猩	ɕiŋ1	
豬	tʃy1	
猫	mɔ2	
蝟	uei3	
蝟	uei6	
獻	ɕiæ̃5	
猴	xəu2	
猾	xuʌʔ8	
猿	yæ̃2	
獃	tɑi1	
獒	ɔ2	
獖	fɛ̃2	
獺	tʰʌʔ7	
玄	ɕyæ̃2	
率	suɑi5	
率	nyəʔ8	
玉	y6	
王	uɑŋ2	
玍	kɑ3	
玩	uæ̃2	
玫	mei2	
環	xuæ̃2	
現	ɕiæ̃6	
璽	ɕi3	
玻	puo1	
珊	sæ̃1	
珍	tʃiɛ̃1	
珠	tʃy1	
班	pæ̃1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	
瑣	suo3	
琢	tsuəʔ7	
琴	tɕʰiɛ̃2	
琵	pʰi2	
琶	pʰɑ1	
瓊	tɕʰyŋ2	
瑞	luei6	
瑟	səʔ7	
璃	li2	
璧	pi6	
璧	piəʔ7	
璺	uɛ̃6	
瓜	kuɑ1	
瓠	xu6	
瓢	pʰiɔ2	
瓣	pæ̃5	
瓤	iɑŋ2	
瓦	uɑ6	~工
瓦	uɑ3	砖~
瓮	uŋ5	
甌	ɣəu1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甘	kæ̃1	
甚	ʃiɛ̃6	
甜	tʰiæ̃2	
生	səŋ1	
甥	səŋ1	
用	yŋ6	
甫	fu3	
田	tiæ̃2	
由	iəu2	
甲	tɕiʌʔ7	
申	ʃiɛ̃1	
電	tiæ̃6	
男	næ̃2	
畫	xuɑ6	
畀	pi5	
暢	tʃʰiɑŋ5	
界	tɕiə5	
畏	uei5	
留	liəu2	
畜	ɕyəʔ7	
畜	tʃʰyəʔ7	
略	nyəʔ8	
畦	tɕʰi2	
番	fæ̃1	
疃	tsʰuæ̃5	
疆	tɕiɑŋ1	
疏	suo1	
疑	i2	
癤	tɕiəʔ7	
療	tiŋ1	
療	liɔ2	
疝	sæ̃5	
瘧	nyəʔ8	
瘍	iɑŋ2	
疤	pɑ1	
疥	tɕiə5	
疫	i6	
癧	liəʔ8	
瘡	tsʰuɑŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疸	tæ̃3	
疹	tʃiɛ̃3	
疼	tʰəŋ2	
疾	tʃiəʔ8	
痂	tɕiɑ1	
病	piŋ6	
症	tʃiŋ5	
癰	yŋ1	
痒	iɑŋ3	
痔	tʃi6	
痕	xɛ̃2	
痘	təu5	
痛	tʰuŋ5	
痞	pʰi3	
痢	li6	
痣	tsɿ5	
癆	lɔ6	
痰	tʰæ̃2	
痱	fei5	
痳	mɑ2	
癡	tʃʰi1	
痹	pʰi5	
瘟	uɛ̃1	
瘢	pæ̃1	
瘦	səu5	
癟	piəʔ7	
癱	tʰæ̃1	
瘰	luo3	
瘴	tɕiɑŋ5	
瘸	tɕʰyə2	
癌	ɑi2	
癌	iæ̃2	
癩	lɑi6	
癬	ʃyæ̃3	
癲	tiæ̃1	
癸	kuei3	
登	təŋ1	
白	piəʔ7	
百	piəʔ7	
皂	tsɔ6	
的	tiəʔ7	
皆	tɕiə1	
皇	xuɑŋ2	
皖	uæ̃3	
皮	pʰi2	
皺	tsəu5	
皴	tʃʰyɛ̃1	
皿	miŋ3	
盂	y2	
盅	tsuŋ1	
盆	pʰɛ̃2	
盈	iŋ2	
益	i6	
盞	tsæ̃3	
鹽	iæ̃2	
監	tɕiæ̃1	
盒	xəʔ8	
盔	kʰuei1	
盖	kɑi1	
盜	tɔ6	
盤	pʰæ̃2	
盛	tʃʰiŋ2	
盛	ʃiŋ6	
盟	məŋ2	
目	muəʔ8	
盲	mɑŋ2	
直	tʃiəʔ8	
相	ʃiɑŋ1	
相	ʃiɑŋ5	
盹	tʃyɛ̃1	
盼	pʰæ̃5	
盾	tuɛ̃6	
省	səŋ3	
省	ʃiŋ3	
眉	mi2	
看	kʰæ̃1	~门
看	kʰæ̃5	~见
真	tʃiɛ̃1	
眠	miæ̃2	
眨	tsʌʔ7	
眩	ɕyæ̃5	
眵	tsʰɿ1	
眶	kʰuɑŋ1	
眷	tɕyæ̃5	
眼	iæ̃3	
着	tɕiəʔ7	
着	tsuəʔ7	
着	tɕiəʔ8	
睜	tsəŋ1	
睏	kʰuɛ̃5	
睛	tʃiŋ1	
睡	suei6	
督	tuəʔ7	
睦	puəʔ7	
睬	tsʰɑi3	
瞅	tʃiəu3	
瞌	kʰʌʔ7	
瞎	ɕiʌʔ7	
瞞	mæ̃2	
瞖	i6	
瞧	tʃʰiɔ2	
瞧	tʃiɔ6	
瞪	təŋ6	
瞭	liɔ3	
瞳	tʰuŋ2	
瞻	tʃiæ̃1	
瞿	tɕʰy2	
矛	mɔ2	
矢	sɿ5	
矣	i3	
知	tʃi1	
矩	tɕy3	
矯	tɕiɔ3	
矬	tsʰuo2	
短	tuæ̃3	
矮	ɑi3	
石	ʃiəʔ8	
礬	fæ̃2	
碼	mɑ3	
砌	tɕʰi5	
砍	kʰæ̃3	
砑	iɑ2	
研	iæ̃2	
研	iɑ5	
磚	tʃyæ̃1	
硯	iæ̃6	
砧	tʃiɛ̃1	
破	pʰuo5	
砸	tsʌʔ7	
礎	tsʰuo3	
碩	suəʔ8	
硝	ʃiɔ1	
硫	liəu2	
硬	iŋ6	
確	tɕʰyəʔ7	
礙	ɑi6	
碎	suei5	
碑	pei3	
碓	tuei5	
碗	uæ̃3	
碟	tiəʔ8	
碧	piəʔ8	
碰	pʰəŋ5	
鹼	tɕiæ̃3	
碾	iæ̃3	
碾	iæ̃6	
磁	tsʰɿ2	
磑	ɑi2	
磕	kʰəʔ7	
磨	muo5	
磨	muo2	~刀
磬	tɕʰiŋ5	
磷	liɛ̃2	
示	sɿ6	
禮	li3	
社	ʃiə6	
祀	sɿ6	
祁	tɕʰi2	
祈	tɕʰi2	
祐	iəu6	
祖	tsu3	
