#漢字	音標	解釋
□	ɦiɔ2	折疊衣裳
援	ɦyɛ2	
損	sʌŋ3	
搓	tsʰou1	
摇	ɦiɔ2	
搜	ɕiu1	
搞	kɔ3	
搡	sɔ̃5	
搧	ɕyɛ5	
搨	tʰaʔ8	
搬	pɛ1	
搬	bɛ2	~屋
搭	taʔ7	
搶	tɕʰiã3	
搽	dzɑ2	
摔	sɛ1	
摘	taʔ7	~絲瓜
摘	tsaʔ7	報刊文~
摩	mou2	
摭	iaʔ7	常記爲"拾"
摸	mou1	
摹	mou2	
摺	tsəʔ7	
撇	pʰieʔ7	
撈	lɔ1	
撑	tɕʰiɛ1	
撑	diŋ2	
撕	sɿ1	
撕	tsʰɿ1	
撞	dʑiɔ̃6	
撤	tɕʰiaʔ7	
撤	tɕʰyøʔ7	
撥	pəʔ7	
撩	liɔ2	
撫	vu6	
撮	tsʰəʔ7	
撰	tɕyɛ5	
撲	pʰəʔ7	
撳	kʰɛ5	
撼	hã5	
擁	ioŋ5	
擇	dzəʔ8	
擊	tɕieʔ7	
擋	tɔ̃3	
操	tsʰɔ1	
擒	dʑiŋ2	
擔	nã1	
擔	tã5	
據	tsʮ5	
擠	tsɿ3	
擦	tsʰaʔ7	
擬	ȵi5	
擱	kəʔ7	
擲	tɕiaʔ7	
擴	kʰəʔ7	
擺	pa3	
攀	pʰã1	
攏	ləŋ2	
攔	lã2	
攙	tsʰã1	
攝	səʔ7	
攤	tʰã1	
攪	tɕiɔ3	
攬	lã5	
支	tsɿ1	
收	ɕiu1	
改	kəi3	
攻	kəŋ1	
放	fɔ̃5	
政	tɕiŋ5	
故	ku5	
效	ʑiɔ2	
敏	miŋ2	
救	kɤu5	
救	tɕiu5	
敗	ba6	
敗	bɛ6	
敘	zʮ6	
教	kɔ5	
教	tɕiɔ5	
敝	bi6	
敢	kɛ3	
敢	kã3	
散	sã3	
散	sã5	
敦	təŋ1	
㪗	tʰɤu3	
敬	tɕiŋ5	
敲	kʰɔ1	
敲	tɕʰiɔ1	
整	tɕiŋ5	
敵	dieʔ8	
敷	fu1	
數	ɕyø3	動詞
數	sou5	名詞
斂	lie2	
斃	bi6	
文	vʌŋ2	
斑	pã1	
斗	tɤu3	
斗	tɤu5	
料	liɔ6	
斜	ʑie2	
斟	tɕiŋ1	
斤	tɕiŋ1	
斥	tɕʰyøʔ7	
斧	fu3	
斬	tsɛ3	
斯	sɿ1	
新	ɕiŋ1	
斷	dɛ2	
斷	dəŋ2	
方	fɔ̃1	
於	ɦy2	
施	sɿ5	
旁	bɔ̃2	
旅	li5	
旋	ʑyɛ6	
族	dzəʔ8	
旗	dzɿ2	
既	tɕi5	
日	nəʔ8	~頭;一~
日	ʑyøʔ8	~本;~歷
旦	tã5	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyʌŋ5	
旱	ɦã2	
旺	ɦɔ̃2	
旺	uɔ̃5	
昂	ŋɔ̃6	
昆	kʰuʌŋ3	
昌	tɕʰiã1	
明	miŋ2	~朝
明	məʔ8	~日
昏	huɛ1	
易	ɦieʔ8	
昔	ɕieʔ7	
星	ɕiŋ1	
映	iŋ5	
春	tɕʰioŋ1	
昧	məi6	
昨	zəʔ8	
昭	tɕiɔ1	
是	zɿ2	
時	ʑyø2	~景
時	zɿ2	小~
晃	hɔ̃5	
晉	tɕiŋ5	
晚	uã5	文讀
晚	uɛ5	白讀
晝	tɕiu5	
晦	huəi5	
晨	ʑiŋ2	
普	pʰu5	
景	tɕiŋ5	
晴	dʑiŋ2	
晴	ʑiŋ2	
晶	tɕiŋ1	
智	tsʮ5	
暈	ɦyʌŋ6	
暑	sʮ3	
暖	nɛ2	
暗	ɛ5	
暗	ã5	
暢	tɕʰiã5	
暫	dzã6	
暮	mou2	
暴	bɔ6	
暾	tʰʌŋ1	
曆	lieʔ8	
曉	ɕiɔ3	
曝	bɔ2	
曠	kʰuɔ̃5	
曬	so5	
曬	sɔ5	
曰	ɦyøʔ8	
曲	tɕʰyøʔ7	
更	kɛ1	
更	kəŋ1	
更	kəŋ5	
書	sʮ1	
書	ɕyø1	
曹	dzɔ2	
曾	tsəŋ1	
曾	zəŋ2	
替	tʰi5	
最	tsəi5	
會	kuəi5	
會	ɦuəi6	
月	dʑyøʔ8	
月	ȵyøʔ8	又讀
有	ɦiu2	
朋	bəŋ2	
服	vəʔ8	
朔	su5	
朗	lɔ̃2	
望	uɔ̃5	
朝	tɕiɔ1	
朝	dʑiɔ2	
木	məʔ8	
未	vi2	
末	məʔ8	
本	pɛ3	
本	pəŋ3	
朱	tsʮ1	
朶	tou3	
朽	ɕiu5	
杆	kuɛ3	
杆	kã3	
杈	tsʰɑ1	
杈	tsʰuɔ1	
杉	sã1	
李	li5	姓~
李	li2	指水果
杏	ʑiŋ2	
材	dza2	
材	zəi2	
村	tsʰɛ1	
杖	dʑiã2	
杜	du2	
杜	dəʔ8	~澤(地名)
杜	dou2	姓~
杞	tsɿ5	
束	səʔ7	
杠	kɔ̃5	
杭	ɦɔ̃2	
杯	pəi1	
東	təŋ1	
杳	iɔ1	
杷	bɑ2	
松	səŋ1	
松	zəŋ2	
板	pã3	
枇	bi2	
枉	ɦuɔ̃2	
析	ɕieʔ7	
枕	tɕiŋ3	
林	liŋ2	
枚	məi2	
果	kuɤ3	水~
果	ku3	蘋~
枝	tsɿ1	
枝	tsʮ1	
枯	kʰu1	
枯	kʰuɤ1	
架	tɕiɑ5	
架	kuɔ5	
柄	piŋ5	把~
柄	mɛ5	鋤頭~;鑊鏟~
柏	paʔ7	
某	məi2	
柑	kã1	
染	dʑie2	
染	ȵie2	又讀
查	dzɑ2	
柬	tɕie1	
柱	dʑyø2	
柳	lɤu5	
柴	zɑ2	
栅	saʔ7	
柿	zɿ2	
柿	ʑyø2	
栓	ɕyɛ1	
栗	lieʔ8	
校	ʑiɔ2	
校	tɕiɔ5	
校	ɕiɔ5	
株	tsʮ1	
株	tɤu1	訓讀字,本字爲"蔸"
核	ŋəʔ8	
核	ɦuəʔ8	
根	kɛ1	
格	kaʔ7	
格	kəʔ7	
栽	dzɛ2	
桂	kuəi5	
桃	dɔ2	
桅	uəi1	
案	ɛ5	
案	ã5	
桌	tɕyøʔ7	
桐	dəŋ2	
桑	sɔ̃1	
桶	dəŋ2	
梁	liã2	
梅	məi2	
梔	tsɿ1	
梗	kuɛ3	
條	diɔ2	
梢	ɕiɔ1	
梧	ɦu2	
梨	li2	
梯	tʰəi1	
械	tɕiɛ5	
梳	sou1	
梳	suɔ1	
棄	tsʰɿ5	
棉	mie2	
棋	dzɿ2	
棍	kuɛ3	
棍	kuʌŋ3	
棒	bɔ̃2	
棕	tsəŋ1	
棗	tsɔ3	
棚	bəŋ2	
棟	təŋ5	
棠	dɔ̃2	
森	səŋ1	
棵	kʰu1	
棺	kuã1	
椅	i3	
椅	y3	
植	dʑyøʔ8	
椏	iɑ1	
椏	uɔ1	
椒	tɕiɔ1	
椴	dɛ6	
椽	dʑyɛ2	
椿	tɕʰioŋ1	
楂	tsuɔ1	
楊	ɦiã2	
楓	fəŋ1	
楚	tsʰou5	
楝	lie6	
楣	mi2	
楦	ɕyɛ5	
業	dʑieʔ8	
業	ȵieʔ8	又讀
極	dʑieʔ8	
楷	kʰa3	
楷	tɕiɛ3	
概	kɛ5	
榆	ɦy2	
榛	dʑiŋ2	
榜	pɔ̃3	
榧	fi5	
榨	tsɑ5	
榫	sʌŋ3	
榮	ɦioŋ2	
榴	lɤu2	
榻	tʰaʔ8	
構	kɤu5	
槌	dzʮ6	
槍	tɕʰiã1	
槐	ɦuɛ2	
槳	tɕiã3	
槽	zɔ2	
樁	tɔ̃1	
樁	tɕiɔ̃1	
樂	ŋɔ6	
樂	ləʔ8	
樂	ɦiaʔ8	
樓	lɤu2	
標	piɔ1	
樞	tsʰʮ1	
樟	tɕiã1	
模	mou2	
樣	ɦiã6	
樵	dʑiɔ2	
樸	pʰəʔ7	
樹	dʑiu6	
樺	ɦuɔ2	
橄	kã3	
橋	dʑiɔ2	
橘	tɕyøʔ7	
橙	dzəŋ2	
機	tsɿ1	
橡	ʑiã2	
橫	ɦuɛ2	
檀	dã2	
檜	kuəi5	
檢	tɕie3	
檳	piŋ1	
櫃	dzʮ6	
櫃	ɡuəi6	
櫓	lou2	
櫻	iŋ1	
欄	lã2	
權	dʑyɛ2	
權	dʑiɛ2	又讀
欖	lã5	
欛	pɑ5	
欠	tɕʰie5	
次	tsʰɿ5	
欣	ɕiŋ1	
欲	ɦyøʔ8	
欺	tsʰɿ1	
欽	tɕʰiŋ5	
款	kʰuã3	
歇	ɕieʔ7	
歉	tɕʰie5	
歌	ku1	
歌	kou1	
歎	tʰã5	
歐	ɤu1	
歡	huɛ1	
止	tsɿ3	
正	tɕiŋ5	
正	tɕioŋ5	
此	tsʰɿ5	
步	bu6	
武	vu2	
武	ɦu2	
歪	uɑ1	
歲	ɕie5	一~
歲	səi5	萬~
歸	kuəi1	
死	sɿ3	
死	sɿə3	
殃	iã1	
殆	dɛ2	
殉	ɕiŋ5	
殊	sʮ1	
殖	dʑyøʔ8	
殘	dzã2	
殮	lie2	
殯	piŋ1	
殲	tɕie1	
段	dɛ6	
殷	iŋ1	
殺	saʔ7	
殼	kʰəʔ7	
殿	die6	
毁	huəi5	
毅	ȵi2	
毆	ɤu1	
母	məŋ2	
母	mou5	
每	məi5	
毒	dəʔ8	
比	pi3	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰã3	
氏	zɿ2	
民	miŋ2	
氣	tsʰɿ5	
水	səi3	~利局
水	sʮ3	食~
永	ioŋ3	
汀	tʰiŋ1	
汁	tɕyøʔ7	
求	dʑiu2	
汗	ɡuɛ6	
汗	ɦã6	
汙	u1	
汝	sʮ5	
汞	kəŋ5	
江	tɕiã1	~山
江	kɔ̃1	錢塘~
池	dzʮ2	
池	dʑyø2	
汪	uɔ̃1	
決	tɕyøʔ7	
汽	tsʰɿ5	
沂	ɦi2	
沈	ɕioŋ3	
沈	ɕiŋ5	
沉	dʑiŋ2	
沌	təŋ5	
没	məʔ8	
沖	tɕʰioŋ1	
沙	sɑ1	
沫	məʔ8	
河	ɦu2	
河	ɦou2	
油	ɦiu2	
治	dzʮ2	
治	dzʮ6	
沼	tɕiɔ1	
沾	tsã5	
沿	ɦie2	
况	hɔ̃5	
况	kʰuɔ̃5	
泄	ɕieʔ7	
泅	dʑiu2	
泉	dʑyɛ2	
泊	bəʔ8	
泌	pi5	
泔	kɛ1	
泔	kã1	
法	faʔ7	
泛	fã5	
泡	pʰɔ5	
波	pou1	
泣	tɕʰieʔ7	
泥	ȵi2	
泥	dʑie2	
泥	ȵie2	又讀
注	tsʮ5	
泰	tʰa3	
泳	ioŋ3	
洋	ɦiã2	
洗	ɕie3	
洛	ləʔ8	
洞	dəŋ6	
津	tɕiŋ1	
洪	ɦəŋ2	
洲	tɕiu1	
活	ɦuaʔ8	
洽	tɕʰiaʔ7	
派	pʰa5	
派	pʰɛ5	
流	lɤu2	
浙	tɕyøʔ7	
浦	pʰu3	
浩	ɦɔ2	
浪	lɔ̃2	
浪	lɔ̃6	
浮	vu2	
浴	ɦyøʔ8	
海	həi3	
浸	tɕiŋ5	
消	ɕiɔ1	
涉	ʑieʔ8	
涎	ɦie2	
涕	tʰie5	
涯	ɦie2	
液	ɦieʔ8	
涼	liã2	
涿	tɕyøʔ7	
淆	ʑiɔ2	
淋	liŋ2	
淑	ɕyøʔ7	
淘	dɔ2	
淚	ləi6	
淡	dã2	
淤	ɦy2	
淨	dʑiŋ6	
淩	liŋ2	
淪	lʌŋ2	
淫	ɦiŋ2	
淮	ɦuɛ2	
深	ɕiŋ1	
深	ɕioŋ1	
混	ɦuɛ2	
淹	ie5	
淺	tɕʰie3	
添	tʰie1	
清	tɕʰiŋ1	
減	tɕie3	文讀
減	kã3	白讀
渠	dzʮ2	
渡	dou2	
渡	du6	
渣	tsuɔ1	
渧	ti5	
測	tsʰəʔ7	
港	kɔ̃3	
渴	kʰəʔ7	
渺	miɔ5	
渾	ɦuɛ2	
湊	tsʰɤu5	
湊	tsʰɿ5	
湖	ɦou2	
湘	ɕiã1	
湧	ioŋ5	
湯	tʰɔ̃1	
溉	kɛ5	
源	dʑyɛ2	
準	tɕioŋ3	
溜	lɤu5	
溝	kɤu1	
溪	tɕʰie1	
溫	uɛ1	
溺	dʑiaʔ8	
溻	tʰaʔ8	
滅	mieʔ8	
滋	tsɿ5	
滎	ɦioŋ2	
滑	ɦuaʔ8	
滔	tʰɔ1	
滬	hu5	
滯	dzɿ2	
滲	ɕiɛ5	
滲	səŋ5	
滴	tieʔ7	
滸	hu3	
滚	kuɛ3	
滚	kʌŋ3	
滿	mɛ2	
滿	mɛ5	
漁	ɦy2	
漂	pʰiɔ1	
漆	tɕʰieʔ7	
漏	lɤu6	
演	ie5	
漢	hã5	~奸;~族
漢	hɛ3	男子~;懶~
漫	mɛ2	
漲	tɕiã3	
漸	tɕie5	
漿	tɕiã1	
潑	pʰəʔ7	
潔	tɕieʔ7	
潘	pʰɛ1	
潛	tɕʰie1	
潭	dɛ2	
潮	dʑiɔ2	
潰	ɡuəi2	
澀	səʔ7	
澄	diŋ2	
澆	tɕiɔ1	
澇	lɔ2	
澗	tɕie3	
澡	tsɔ3	
澤	dzəʔ8	
澤	dʑiaʔ8	杜~(地名)
激	tɕieʔ7	
濃	nəŋ2	
濃	dʑioŋ2	
濃	ɦioŋ2	又讀
濕	ɕyøʔ7	
濕	tɕʰiaʔ7	訓讀字,本字不明
濫	lã5	
濺	tɕie5	
濾	li6	
濾	lou6	
瀙	tsʰɛ5	
灌	kuã5	
灑	sa5	
灒	tsã5	
灘	tʰã1	
灣	uã1	
火	huɤ3	
灰	huəi1	
灶	tsɔ5	
灸	tɕiu3	
災	tsɛ1	
炊	tsʰəi1	
炊	tsʰʮ1	
炎	ɦie2	
炒	tsʰɔ3	
炕	kʰɔ̃5	
炭	tʰã5	
炮	pʰɔ5	
炸	tsɑ5	
烈	lieʔ8	
烊	ɦiã2	
烏	u1	~龜
烏	uɤ1	~龙塘;漆~;~皮
烘	həŋ1	
烙	ləʔ8	
烤	kʰɔ5	
焉	ie5	
焊	ɦɛ6	
焊	ɦã6	
焚	vʌŋ2	
無	vu2	
無	mu2	
焦	tɕiɔ1	
焰	ɦie2	
然	ʑyɛ2	
煉	lie6	
煎	tɕie1	
煙	ie1	
煙	iŋ1	
煠	zaʔ8	
煤	məi2	
煥	huã5	
照	tɕiɔ5	
煩	vã2	
熄	ɕieʔ7	
熊	ʑioŋ2	
熏	ɕyʌŋ1	
熏	kʌŋ5	
熔	ɦioŋ2	
熟	ʑyøʔ8	
熬	ŋɔ2	
熱	dʑieʔ8	
熱	ȵieʔ8	又讀
燃	ʑyɛ2	
燈	tiŋ1	
燎	liɔ2	
燒	ɕiɔ1	
燕	ie5	
燙	tʰɔ̃5	
燜	məŋ2	
營	ɦiŋ2	
燦	tsʰã5	
燭	tɕyøʔ7	
爆	bɔ6	
爐	lu2	
爐	lou2	
爛	lã6	
爪	tsɔ3	
爬	buɔ2	
爭	tɕiɛ1	
爭	tsəŋ1	
爲	ɦuəi2	
爵	tɕiaʔ7	
父	vu2	
爸	pa1	
爹	tie1	
爺	ɦiɑ2	
爽	ɕiɔ̃3	
爾	l̩3	
牆	dʑiã2	
牆	ʑiã2	
片	pʰie5	
版	pã3	
牌	ba2	
牒	dieʔ8	
牘	dəʔ8	
牙	ɦiɑ2	
牙	ŋuɔ2	
牛	ŋɤu2	
牛	dʑiu2	
牡	məi2	
牢	lɔ2	
牧	məʔ8	
物	vəʔ8	
牯	ku5	
牲	ɕiɛ1	
牲	səŋ1	
特	dəʔ8	
牽	tɕʰie1	
犀	sɿ1	
犁	li2	
犁	lie2	
犢	dəʔ8	
犧	sɿ1	
犬	tɕʰyɛ5	
犯	vã2	
犯	vã6	
狀	dʑiɔ̃6	
狀	ʑiɔ̃6	
狂	ɡuɔ̃2	
狄	dieʔ8	
狐	uɤ1	
狐	ɦou2	
狗	ku3	
狗	kɤu3	
狡	tɕiɔ3	
狸	li2	
狹	ɦaʔ8	
狼	lɔ̃2	
猛	məŋ5	
猜	tsʰəi1	
猝	tsʰəʔ7	
猴	ɦɤu2	
猶	ɦiu2	
猾	ɦuaʔ8	
獄	ɦyøʔ8	
獅	sɿ1	
獎	tɕiã3	
獨	dəʔ8	
獲	ɦuəʔ8	
獵	lieʔ8	
獸	ɕiu5	
獻	ɕie5	
玄	ʑyɛ2	
率	lieʔ8	
玉	dʑyøʔ8	
玉	ȵyøʔ8	又讀
王	ɦuɔ̃2	
玩	ɦuã2	
玻	pu1	
珊	sã1	
珍	tɕiŋ1	
珠	tsʮ1	
班	pã1	
現	ʑie6	
球	dʑiu2	
理	li2	
琉	lɤu2	
琢	tɕyøʔ7	
琴	dʑiŋ2	
琵	bi2	
琶	buɔ2	
瑞	zəi2	
瑟	səʔ7	
瑣	sou1	
璃	li2	
璧	pieʔ7	
環	ɦuã2	
環	ɡuã6	
璽	ɕi3	
瓊	dʑioŋ2	
瓖	ɕiã1	
瓜	kuɔ1	
瓠	ɦou2	
瓢	biɔ2	
瓣	pʰã5	
瓦	ŋou2	
瓶	biŋ2	
瓷	dzɿ2	
甌	ɤu1	
甕	əŋ5	
甘	kɛ1	
甘	kã1	
甚	ʑiŋ2	
甜	die2	
生	ɕiɛ1	~意;~活;學~
生	səŋ1	~產隊
産	tsʰã3	
産	sã3	做~母
甥	ɕiɛ1	
甥	səŋ1	
用	ɦioŋ6	
甫	pʰu3	
甬	ioŋ5	
田	die2	
由	ɦiu2	
甲	kaʔ7	
申	ɕiŋ1	
男	nɛ2	
界	ka5	
界	tɕiɛ5	
畏	uəi5	
留	lɤu2	
畜	ɕyøʔ7	
畜	tɕʰyøʔ7	
畝	məi2	
畢	pieʔ7	
略	liaʔ8	
番	fã1	
畫	ɦuɔ6	
異	ɦi2	
當	tɔ̃1	
當	tɔ̃5	
疆	tɕiã1	
疊	dieʔ8	
疏	sou1	
疑	ɦn̩2	
疔	tiŋ1	
疤	puɔ1	
疫	ɦyøʔ8	
疲	bi2	
疵	tsʰɿ5	
疾	dʑieʔ8	
疿	pi5	
疿	fi5	
病	bɛ6	
病	biŋ6	
症	tɕiŋ5	
痔	dzʮ2	
痕	ɦəŋ2	
痛	tʰəŋ5	
痢	li6	
痣	tsɿ5	
痰	dã2	
痲	mɑ2	
痲	mɔ2	
痹	pi5	
瘋	fəŋ1	
瘌	laʔ8	
瘍	ɦiã2	
瘟	uɛ1	
瘡	tsʰɔ̃1	
瘡	tɕʰiɔ̃1	
瘦	ɕiɔ5	訓讀,本字不明
瘦	ɕiu5	讀字
瘧	dʑiaʔ8	
瘴	tɕiã1	
療	liɔ2	
癡	tsʮ1	
癢	ɦiã2	
癢	ʑiɔ̃2	~农
癩	la6	
癬	ɕie3	
癸	kuəi1	
登	təŋ1	
發	faʔ7	
白	baʔ8	
百	paʔ7	
皂	zɔ2	
的	tieʔ7	
皆	tɕiɛ1	
皇	ɦɔ̃2	
皇	ɦuɔ̃2	
皖	ɦuã2	
皮	bi2	
皺	tɕiu5	
皿	miŋ2	
盂	ɦy2	
盅	tɕioŋ1	
盆	bɛ2	
盈	ɦiŋ2	
益	ieʔ7	
盒	ɦaʔ8	
盔	huəi1	
盛	ɕiŋ5	
盜	tɔ5	
盞	tsã3	
盟	miŋ2	
盡	dʑiŋ6	
監	tɕie1	文讀
監	kã1	白讀
盤	bɛ2	
盧	lou2	
目	məʔ8	
盲	mɔ̃2	
直	dʑyøʔ8	
相	ɕiã1	
盼	pʰã5	
盾	dəŋ6	
盾	dʌŋ6	
省	ɕiɛ3	
省	səŋ3	
眉	mi2	
看	kʰã5	
真	tɕiŋ1	
眠	miŋ2	
眨	tsaʔ7	
眩	ʑyɛ2	
眶	kʰuɔ̃1	
眷	tɕyɛ5	
眼	ŋã2	
眼	ie5	
睏	kʰuɛ5	
睛	tɕiŋ1	
睜	tsəŋ1	
睡	zəi2	
督	təʔ7	
睬	tsʰɛ3	
瞎	haʔ7	
瞎	ɕiaʔ7	
瞞	mɛ5	
瞧	dʑiɔ2	
瞪	tiŋ1	
瞳	dəŋ2	
瞻	tsã1	
瞿	dzʮ2	
矛	mɔ2	
矢	sɿ5	
矣	i5	
知	tsʮ1	
矩	tsʮ3	
短	tɛ3	
矮	a3	
矮	ɛ3	
矯	tɕiɔ1	
石	ʑiaʔ8	~頭
石	ʑyøʔ8	~榴
砌	tɕʰyø5	
砌	tɕʰieʔ7	
砍	kʰã5	
研	dʑie1	
破	pʰa5	
破	pʰou5	
硃	tsʮ1	
硝	ɕiɔ1	
硫	lɤu2	
硬	ŋɛ6	
硯	mie2	
碎	səi3	
碑	pəi1	
碓	təi5	
碗	uã3	
碟	dieʔ8	
碧	pieʔ7	
確	tɕʰyøʔ7	
碼	mɑ5	
碾	tɕyɛ1	
磉	sɔ̃3	
磕	kʰəʔ7	
磚	tɕyɛ1	
磚	tɕiɛ1	又讀
磨	mou2	~豆腐
磨	mou6	石~
磷	liŋ2	
礎	tsʰou5	
礙	ŋɛ6	
礦	kʰɔ̃5	
示	sɿ5	
社	ʑyø2	
祖	tsu1	
祖	tsu3	
祝	tɕyøʔ7	
神	ʑiŋ2	~經
神	ʑioŋ2	~仙
祠	zɿ2	
祠	zɿə2	
祥	dʑiã2	
票	pʰiɔ3	
祭	tsɿ5	
祿	ləʔ8	
禁	tɕiŋ5	
禍	ɦu6	
福	fəʔ7	
禦	ɦy2	
禪	ʑyɛ2	
禮	li5	
禹	y5	
禽	dʑiŋ2	
禾	ɦou2	
秃	tʰəʔ7	
秀	ɕiu5	
私	sɿ1	
秉	piŋ1	
秋	tɕʰiu1	
科	kʰu1	
秒	miɔ5	
秘	mieʔ8	
租	tsu1	
秤	tɕʰiŋ5	
秤	tɕʰioŋ5	又讀
秦	dʑiŋ2	
秧	iã1	
秩	dʑyøʔ8	
移	ɦi2	
稀	ɕi1	
税	səi5	
程	dʑiŋ2	
稍	ɕiɔ1	
稗	bo6	
稗	bɑ6	
稚	zɿə6	
稠	dʑiu2	
種	tɕioŋ5	
種	ioŋ5	又讀
稱	tɕʰiŋ1	
稻	dɔ2	
稻	dɤu2	訓讀字,本字爲"粙"
稼	tɕiɑ5	
稽	tɕi1	
稿	kɔ3	
穀	kuəʔ7	
穄	tsɿ5	
穆	məʔ8	
積	tɕieʔ7	
穎	iŋ1	
穗	ɕyø3	
穩	uɛ3	
穴	ʑyøʔ8	
穴	ɦyøʔ8	
究	tɕiu5	
空	kʰəŋ1	
空	kʰəŋ5	
穿	tɕʰyɛ1	
突	tʰəʔ7	
窄	dzaʔ8	
窖	tɕiɔ5	
窗	tɕʰiɔ̃1	
窟	kʰuəʔ7	
窨	iŋ1	
窪	uɑ1	
窮	dʑioŋ2	
窰	ɦiɔ2	
竄	tɕʰyɛ5	
竅	tɕʰiɔ5	
立	lieʔ8	
站	dzã2	
竟	tɕiŋ5	
章	tɕiã1	
童	dəŋ2	
端	tɛ1	
競	tɕiŋ5	
竹	təʔ7	
竿	kã1	
竿	kuɛ3	
笊	tsɔ5	
笑	ɕiɔ5	
笑	tɕʰiɔ5	
笙	səŋ1	
笛	dieʔ8	
笠	ɦiaʔ8	
笠	lieʔ8	
笡	tɕʰie5	
符	fu5	
笨	bəŋ6	
第	di6	
筆	pieʔ7	
等	təŋ3	
筋	tɕiŋ1	
筍	sʌŋ3	
筏	vaʔ8	
筐	kʰuɔ̃1	
筒	dəŋ2	
答	taʔ7	
策	tsʰəʔ7	
筧	tɕie3	
筵	ɦie2	
筷	kʰuɛ5	
箍	kʰuɤ1	
箏	tsəŋ1	
箕	tsɿ1	
算	sɛ5	
箚	tsaʔ7	
管	kuã3	
箭	tɕie5	
箱	ɕiã1	
箸	dʑyø6	
節	tɕieʔ7	
範	vã2	
篆	dʑie2	
篇	pʰie1	
築	tɕyøʔ7	
篙	kɔ1	
篡	tɕʰyɛ5	
篤	təʔ7	
篦	bi6	
篩	ɕyø1	
篷	bəŋ6	
篾	mieʔ8	
簍	lɤu2	
簟	die2	
簡	tɕie1	
簧	ɦuɔ̃2	
簪	tsɛ1	
簫	ɕiɔ1	
簰	ba2	
簷	ɦie2	
簽	tɕʰie1	
簾	lie2	
簿	bu2	
籃	lã5	
籌	dʑiu2	
籍	ʑieʔ8	
籠	ləŋ2	
籬	li2	
籮	la2	
籮	lou2	
米	mi2	
米	mi5	
粉	fɛ3	
粒	ləʔ8	
粗	tsʰu1	
粗	tsʰou1	
粘	tɕyɛ1	
粙	dɤu2	常記爲"稻"
粟	səʔ7	
粥	tɕyøʔ7	
粱	liã2	
粳	kəŋ1	
粤	ɦyøʔ8	
粹	səi3	
糉	tsəŋ5	
精	tɕiŋ1	
糕	kɔ1	
糖	dɔ̃2	
糙	tsʰɔ1	
糙	tsʰɔ5	
糜	mi2	
糞	pɛ5	
糟	tsɔ1	
糠	kʰɔ̃1	
糧	liã2	
糯	nou2	
糴	dieʔ8	
糶	tʰiɔ5	
系	sɿ1	
系	sɿ5	
系	ie5	
糾	tɕiu1	
紀	tsɿ5	
紂	dʑiu2	
約	iaʔ7	
紅	həŋ2	~太陽
紅	ɦəŋ2	~棗
紋	vʌŋ2	
納	naʔ8	
紐	dʑiu3	
純	ʑyʌŋ2	
純	ʑiŋ6	又讀
紗	sɑ1	
紙	tsɿ3	
紙	tɕyø3	
級	tɕieʔ7	
紛	fɛ1	
紝	ʑiŋ2	
素	su5	
素	sou5	
紡	fɔ̃3	
索	səʔ7	
紫	tsɿə3	
紫	tsɿ5	
紮	tsaʔ7	
累	ləi5	
細	sɿ5	
紹	ʑiɔ2	
終	tɕioŋ1	
組	tsu3	
絆	pɛ5	
結	tɕieʔ7	
絶	dʑieʔ8	
絶	dʑyøʔ8	
絞	kɔ3	
絞	tɕiɔ3	
絡	ləʔ8	
給	tɕieʔ7	
絨	ɦioŋ2	
絮	sʮ5	
絮	ɕie5	
統	tʰəŋ3	
絲	sɿ1	
絲	sɿə1	
絹	tɕʰyɛ1	
綁	pɔ̃3	
綏	səi1	
經	tɕiŋ1	
綜	tsəŋ1	
綢	dʑiu2	
維	vi2	
綱	kɔ̃1	
網	məŋ2	圓形帶柄網兜
網	mɔ̃2	長的網
綴	tsəi5	
綻	tsã5	
綿	mie2	
緊	tɕiŋ3	
綠	ləʔ8	
緖	zʮ2	
線	ɕie5	
緝	tɕʰieʔ7	
緞	dɛ6	
緣	ɦyɛ2	
編	pie1	
緩	ɦuã2	
緬	mie2	
緯	ɦuəi2	
練	lie6	
縊	ieʔ7	
縐	tɕiu5	
縛	bəʔ8	
縛	vəʔ8	
縣	ʑiɛ2	
縣	ʑie6	
縫	vəŋ2	
縮	səʔ7	
縱	tsəŋ1	
縱	dzəŋ2	
總	tsəŋ3	
績	tɕieʔ7	
繁	vã2	
繫	sɿ1	
織	tɕyøʔ7	
繞	dʑiɔ6	
繞	ȵiɔ6	又讀
繡	ɕiu5	
繩	ʑiŋ2	
繪	ɦuəi6	
繭	tɕie3	
繰	tɕʰiɔ1	
繳	tɕiɔ1	
繼	tsɿ5	
續	dzəʔ8	
纏	ʑyɛ2	
纓	iŋ1	
纔	dza2	
纜	lã5	
缸	kɔ̃1	
缺	tɕʰyøʔ7	
缽	pəʔ7	
罐	kuã5	
罕	ɦã2	
罩	tsɔ5	
罪	dzəi2	
罪	zəi2	
置	tsʮ5	
罰	vaʔ8	
署	sʮ5	
罵	mɑ5	
罵	muɔ5	
罵	muɔ6	
罷	ba2	
羅	lou2	
羊	ɦiã2	
羌	tɕʰiã1	
美	məi5	
羔	kɔ1	
羞	ɕiu1	
群	dʑyʌŋ2	
羨	dʑie6	
義	ȵi2	
義	ȵi5	
