#漢字	音標	解釋
尊	tsuən1	
小	ɕiɔ1	
少	ʂɔ5	~年
少	ʂɔ1	多~
尔	ɚ1	
尖	tɕian1	
塵	tʂʰən1	
尚	ʂaŋ5	
嘗	tʂʰaŋ1	
尤	iou1	
尥	liɔ5	马~蹶子
堯	iɔ1	
就	tɕiou5	
屍	ʂʅ1	
尺	tʂʰʅ1	
尼	ni1	
尽	tɕiən5	
尾	ueⁱ1	
尿	niɔ5	
局	tɕy1	
屁	pʰi5	
層	tsʰəŋ1	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	tɕiə5	
屋	u1	
屎	ʂʅ1	
屏	pʰiŋ1	
屑	ɕiə5	
展	tʂan1	
屬	ʂu1	
屠	tʰu1	
屢	ly1	
履	ly1	
屯	tʰuən1	
山	ʂan1	
歲	sueⁱ5	
豈	tɕʰi1	
岐	tɕʰi1	
岔	tʂʰa5	
崗	kaŋ1	
島	tɔ1	
巖	ian1	
嶺	liŋ1	
岳	yə5	
岸	ian5	
峽	ɕia1	
峰	fəŋ1	
崔	tsʰueⁱ1	
崖	ia1	
崩	pəŋ1	
川	tʂʰuan1	
州	tʂou1	
巡	ɕyən1	
巢	tʂʰɔ1	
工	kuŋ1	
左	tsuo5	
巧	tɕʰiɔ1	
巨	tɕy5	
鞏	kuŋ1	
巫	u1	
差	tʂʰa1	~别
差	tʂʰa5	出~
差	tʂʰa1	参~
己	tɕi1	
已	i1	
巳	sɿ5	辰~
巴	pa1	
巾	tɕiən1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuɛ5	
帆	fan1	
師	ʂʅ1	
希	ɕi1	
帳	tʂaŋ5	
帖	tʰiə1	
帘	lian1	
帚	tʂou1	
帝	ti5	
帶	tɛ5	
席	ɕi1	
幫	paŋ1	
常	tʂʰaŋ1	
帽	mɔ5	
幅	fu1	
幔	man5	
幕	mu5	
干	kan5	
干	kan1	~湿
平	pʰiŋ1	
年	nian1	
并	piŋ5	
幸	ɕiŋ5	
幻	xuan5	
幼	iou1	
幽	iou1	
廣	kuaŋ1	
莊	tʂuaŋ1	
慶	tɕʰiŋ5	
庇	pʰi5	
牀	tʂʰuaŋ1	
序	ɕy5	
廬	lu1	
庫	kʰu5	
應	iŋ1	
應	iŋ5	~对
底	ti1	
店	tian5	
廟	miɔ5	
府	fu1	
龐	pʰaŋ1	
廢	feⁱ5	
度	tu5	
座	tsuo5	
庭	tʰiŋ1	
庵	an1	
庶	ʂu5	
康	kʰaŋ1	
廊	laŋ1	
延	ian1	
廷	tʰiŋ1	
建	tɕian5	
開	kʰɛ1	
弃	tɕʰi5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ5	
弓	kuŋ1	
引	iən1	
弘	xuŋ1	
弟	ti5	
張	tʂaŋ1	
弥	mi1	
弦	ɕian1	
彎	uan1	
弱	ʐuo5	
彈	tʰan1	~琴
彈	tan5	子~
强	tɕʰiaŋ1	
强	tɕiaŋ5	倔~
彀	kou5	往上~
歸	kueⁱ1	
當	taŋ1	
當	taŋ5	典~
录	lu5	
形	ɕiŋ1	
彩	tsʰɛ1	
彪	piɔ1	
彭	pʰəŋ1	
影	iŋ1	
徹	tʂʰə5	
彼	pi1	
往	uaŋ1	
征	tʂəŋ1	
待	tɛ5	
很	xən1	
律	ly5	
徐	ɕy1	
徒	tʰu1	
得	tə1	
御	y5	
循	ɕyən1	
微	ueⁱ1	
徵	tʂəŋ1	~求
德	tə1	
徽	xueⁱ1	
心	ɕiən1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐən1	
忒	tʰə5	
志	tʂʅ5	
忘	uaŋ5	
忙	maŋ1	
忠	tʂuŋ1	
憂	iou1	
快	kʰuɛ5	
念	nian5	
忽	xu1	
忿	fən5	
懷	xuɛ1	
態	tʰɛ5	
慫	suŋ1	
慪	ŋou5	
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	lian1	
思	sɿ1	
怠	tɛ5	
急	tɕi1	
性	ɕiŋ5	
怨	yan5	
怪	kuɛ5	
怯	tɕʰiə5	
總	tsuŋ1	
戀	lian5	
恐	kʰuŋ1	
恆	xəŋ1	
恕	ʂu5	
恢	xueⁱ1	
恨	xən5	
恩	ən1	
恭	kuŋ1	
息	ɕi1	
恰	tɕʰia5	
懇	kʰən1	
恶	ŋə1	可~
恶	ŋə5	善~
惱	nɔ1	
悄	tɕʰiɔ1	
悉	ɕi1	
悔	xueⁱ1	
悟	u5	
悠	iou1	
患	xuan5	
悦	yə5	
懸	ɕyan1	
悲	peⁱ1	
情	tɕʰiŋ1	
驚	tɕiŋ1	
惜	ɕi1	
惟	ueⁱ1	
惠	xueⁱ5	
懼	tɕy5	
慘	tsʰan1	
懲	tʂʰəŋ1	
慚	tsʰan1	
慣	kuan5	
惰	tuo5	
想	ɕiaŋ1	
惹	ʐə1	
愁	tʂʰou1	
愈	y5	
愉	y1	
意	i5	
愚	y1	
感	kan1	
憤	fən5	
愧	kʰueⁱ5	
願	yan5	
慈	tsʰɿ1	
慌	xuaŋ1	
慎	ʂən5	
慕	mu5	
慢	man5	
慧	xueⁱ5	
慨	kʰɛ1	
慰	ueⁱ5	
慷	kʰaŋ1	
憋	piə1	
憨	xan1	
憾	xan5	
懂	tuŋ1	
懈	ɕiə5	
懊	ɔ5	
懶	lan1	
懵	məŋ1	
戊	u5	
戌	ɕy1	
戍	ʂu5	
戲	ɕi5	
成	tʂʰəŋ1	
我	uo1	
戒	tɕiə5	
或	xuo5	
戰	tʂan5	
戚	tɕʰi1	
截	tɕiə1	
戳	tʂʰuo1	
戴	tɛ5	
戶	xu5	
所	suo1	
扁	pian1	
扇	ʂan1	
扇	ʂan5	~子
手	ʂou1	
才	tsʰɛ1	
扎	tʂa1	
扎	tʂa1	驻~
扑	pʰu1	
打	ta1	
扔	ʐəŋ1	
托	tʰuo1	
扛	kʰaŋ1	
扣	kʰou5	
執	tʂʅ1	
擴	kʰuo5	
掃	sɔ1	
揚	iaŋ1	
扭	niou1	
扮	pan5	
扯	tʂʰə1	
擾	ʐɔ1	
扳	pan1	
扶	fu1	
批	pʰi1	
扽	tən5	
找	tʂɔ1	
承	tʂʰəŋ1	
技	tɕi5	
抄	tʂʰɔ1	
把	pa5	(柄)
把	pa1	~握
抑	i5	
抓	tʂua1	
投	tʰou1	
抖	tou1	
抗	kʰaŋ5	
折	tʂə1	
折	tʂə1	1
折	ʂə1	2
撫	fu1	
抛	pʰɔ1	
摳	kʰou1	
搶	tɕʰiaŋ1	
護	xu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ1	
抱	pɔ5	
抵	ti1	
抹	mo1	
押	ia1	
抽	tʂʰou1	
抿	miən1	
拄	tʂu1	
擔	tan1	~任
拆	tʂʰɛ1	
拇	mu1	
拈	nian1	
拉	la1	
拌	pan5	
拍	pʰɛ1	
拎	liŋ1	
拐	kuɛ1	
拒	tɕy5	
拔	pa1	
拖	tʰuo1	
拘	tɕy1	
拙	tʂuo1	
招	tʂɔ1	
拜	pɛ5	
攏	luŋ1	
揀	tɕian1	
擁	yŋ1	
攔	lan1	
撥	po1	
擇	tsə1	
括	kʰuo5	
拯	tʂəŋ1	
拱	kuŋ1	
拳	tɕʰyan1	
拴	ʂuan1	
拼	pʰiən1	
拽	tʂuɛ5	
拾	ʂʅ1	
拿	na1	
持	tʂʰʅ1	
挂	kua5	
指	tʂʅ1	
按	ŋan5	
挑	tʰiɔ1	
挖	ua1	
撓	nɔ1	1
撓	kʰuɛ1	2
擋	taŋ1	
擠	tɕi1	
揮	xueⁱ1	
挨	ŋɛ1	
挪	nuo1	
振	tʂən5	
挺	tʰiŋ1	
挽	uan1	
捅	tʰuŋ1	
捆	kʰuən1	
捉	tʂuo1	
捋	ly1	
捎	ʂɔ1	
捏	niə1	
捐	tɕyan1	
捕	pʰu1	
撈	lɔ1	
損	suən1	
換	xuan5	
捧	pʰəŋ1	
据	tɕy5	
捱	ŋɛ1	~打
捺	na5	
捻	nian1	
掀	ɕian1	
掂	tian1	
掇	tuo5	
授	ʂou5	
掉	tiɔ5	
掌	tʂaŋ1	
掏	tʰɔ1	
掐	tɕʰia1	
排	pʰɛ1	
掘	tɕyə1	
探	tʰan5	
接	tɕiə1	
控	kʰuŋ5	
推	tʰueⁱ1	
掩	ian1	
措	tsʰuo5	
掫	tʂʰou1	
