#漢字	音標	解釋
□	nɑ1	大拇指到中指的距离
泡	pʰɔ1	~沫
波	pə1	
泣	tɕʰi1	
泥	mi1	
注	tʃu5	
淚	lei5	
泰	tʰɛ1	
泳	yŋ3	
瀉	siə5	
潑	pʰə3	
潔	tɕiə5	
洒	θɑ3	
洗	si3	
洞	tuŋ5	
津	tsyẽ1	
洪	xuŋ5	
活	xue5	
洼	uɑ1	
派	pʰɛ5	
流	liou5	
淺	tsʰiã3	
漿	tsiɑŋ1	
澆	tɕiɔ1	
濁	tʂuə5	
測	tʂʰə3	
測	tθʰə5=	
濟	tsi5	
濟	tsi3	~南
濃	nu5	
浩	xɔ1	
浪	lɑŋ5	
浮	fu5	
浴	y5	
海	xɛ3	
浸	tsiẽ1	
涂	tʰu5	~抹
消	siɔ1	
涉	ʃə5	
涌	yŋ3	
涕	tʰi5	
濤	tʰɔ1	
漲	tʃɑŋ1	
澀	ʂei3	
涮	suã1	
涯	iɛ5	
淋	liẽ5	
淘	tʰɔ5	
淡	tã5	
深	ʃẽ1	
淳	tʃʰuẽ5	
混	xuẽ5	
淹	iã1	
添	tʰiã1	
清	tsʰiŋ1	
淵	yã1	
漸	tsiã1	
漁	y5	
滲	ʂẽ3	
渠	tɕʰy5	
渡	tu5	
渣	tʂɑ1	
渤	pə5=	
溫	uẽ1	
港	kɑŋ3	
渴	kʰɑ3	
游	iou5	
湖	xu5	
灣	uã1	
溼	ʃɿ3	
潰	kʰuei1	
濺	tsiã5	
溉	kɛ5	
源	yã1	
溜	liou5	
溪	ɕi1	
滋	tθɿ1	
滑	xuɑ5	
滔	tʰɔ1	
滚	kuẽ3	
滿	mã5	
濫	lǎ5	
灘	tʰã1	
滴	ti3	
漂	pʰiɔ1	~白
漏	lou5	
演	iã3	
漫	mã5	
潘	pʰã1	
潛	tsʰiã1	
潭	tʰã5	
潮	tʃʰɔ5	
澡	tθɔ3	
激	tɕi1	
瀑	pʰu5	~布
火	xue3	
滅	miə1	
燈	təŋ1	
灰	xuei1	
靈	liŋ5	
竈	tθɔ5	
災	tθɛ1	
燦	tθʰã3	
爐	lu5	
炊	tʂʰuei1	
炎	iã5	
炒	tʂʰɔ3	
炕	kʰɑŋ1	
炭	tʰã5	
炮	pʰɔ1	
炸	tʂɑ5	爆~
炸	tʂɑ5	用油~
點	tiã3	
爛	lǎ5	
烘	xuŋ1	~干
烙	luə5	
燭	tʂu3	
烟	ã1	
煩	fã1	
燒	ʃɔ1	
燙	tʰɑŋ5	
熱	iə1	
烹	pʰəŋ1	
焉	iã5	
煥	xuã5	
焦	tsiɔ1	
焰	iã1	
煎	tsiã1	
煤	mei5	
照	tʃɔ5	
煨	uei1	
煮	tʃu3	
熊	ɕyŋ5	
熏	ɕyẽ1	
熟	ʃu5	
熨	yẽ1	
熬	ɔ5	
熬	ɔ5	~白菜
燃	ã5	
燎	liɔ5	
燕	ã5	
爆	pɔ5	
爪	tʂuɑ3	
爬	pʰɑ5	
愛	ɛ5	
父	fu5	
爺	iə5	
爸	pɑ5	
爹	tiə1	
爽	ʂuɑŋ3	
片	pʰiã1	
牌	pʰɛ5	
牙	iɑ5	
牛	niou5	
牡	mu3	
牢	lɔ5	
牧	mu5	
物	u5	
牲	ʂəŋ1	
牽	tɕʰiã1	
特	tʰə3	
犧	ɕi3	
犂	li5	
犬	tɕʰyã3	
犯	fã5	
狀	tʂuɑŋ5	
狂	kʰuɑŋ5	
狐	xu5	
狗	kou5	
獨	tu5	
狹	ɕiɑ5	
獅	ʂʅ1	
獄	y5	
狼	lɑŋ5	
獵	liə1	
猛	məŋ3	
猜	tθʰɛ1	
豬	tʃu1	
猫	mɔ5	
獻	ɕiã5	
猴	xou5	
玄	ɕyã5	
率	ʂue1	~领
率	ly5	速~
玉	y1	
王	uɑŋ5	
環	xuã5	
現	ɕiã3	
玻	pə1	
珍	tʃẽ3	
珠	tʃu1	
班	pã1	
球	tɕʰiou5	
理	ər1	
理	li3	
瑣	θuə3	
琴	tɕʰiẽ5	
琵	pʰi5	
瓊	tɕʰyŋ5	
瑞	ʂuei1	
瑰	kuei5	
璧	pi5	
瓜	kuɑ1	
瓢	pʰiɔ5	
瓣	pã5	
瓦	uɑ3	
瓶	pʰiŋ5	
瓷	tθʰɿ5	
甘	kã1	
甚	ʃẽ5	
甜	tʰiã5	
生	ʂəŋ1	
甥	ʂəŋ1	
用	yŋ5	
田	tʰiã5	
甲	tɕiɑ3	
申	ʃẽ1	
電	tiã5	
男	nã5	
畫	xuɑ5	
暢	tʃʰɑŋ5	
界	tɕiɛ5	
留	liou5	
畜	tʂʰu5	~牲
略	lyə5	
疆	tɕiɑŋ1	
疏	ʂu1	
疑	i5	
療	liɔ5	
疝	ʂã3	~气
瘧	yə5	
疤	pɑ1	
疫	i5	
瘡	tʂʰɑŋ1	
瘋	fəŋ1	
疹	tʃẽ5	
疼	tʰəŋ5	
病	piŋ5	
症	tʃəŋ5	
痊	tsʰyã5	
痔	tʃʰɿ5	
痕	xẽ5	
痛	tʰuŋ5	
痣	tʂʅ5	
痰	tʰã5	
痱	fei1	
癡	tʃʰɿ1	
痹	pʰi5	
瘟	uẽ1	
瘦	ʂou1	又
瘦	ʂou5	又
瘸	tɕʰyə5	
癬	syã3	
癸	kuei1	
登	təŋ1	
白	pei5	
百	pei3	
皂	tθɔ5	
皇	xuɑŋ5	
皮	pʰi5	
皺	tʂou1	
皴	tsʰyẽ1	
盅	tʂuŋ1	
盆	pʰẽ5	
益	i5	
盞	tʂã3	
鹽	iã5	
監	tɕiã1	
盒	xue5	
盖	kɛ5	
盜	tɔ5	
盤	pʰã5	
盛	ʃəŋ5	兴~
盟	məŋ5	
目	mu5	
盲	mɑŋ3	
直	tʃɿ5	
相	siɑŋ5	~貌
盼	pʰã5	
盾	tẽ5	
省	ʂəŋ3	
眉	mei5	
看	kʰã1	又
看	kʰã5	又
真	tʃẽ1	
眠	miã1	
眨	tʂɑ3	
眼	iã3	
着	tʃuə5	睡~
睜	tʂəŋ1	
睛	tsiŋ1	
睡	ʂuei5	
睬	tθʰɛ3	
瞎	ɕiɑ3	
瞞	mã5	
瞧	tsʰiɔ3	
瞪	təŋ5	
瞻	tʃã3	
瞿	tɕʰy3	
矛	mɔ5	
知	tʃɿ1	
矩	tɕy5	
矬	tθʰuə5	矮
短	tã3	
矮	iɛ3-	
矮	ɛ3=	
石	ʃɿ5	
礦	kʰuɑŋ5	
碼	mɑ3	
砌	tsʰi5	
砍	kʰã3	
研	iã5	
磚	tʃuã1	
硯	iã5	
破	pʰə1	又
破	pʰə5	又
砸	tθɑ5	
硬	iŋ5	
確	tɕʰyə3	
礙	ɛ3	
碎	θei1	
碑	pei1	
碗	uã3	
碾	niã3	
磁	tθʰɿ5	
磕	kʰɑ3	
磨	mə5	~刀
磨	mə5	石~
示	ʂʅ5	
禮	li3	
社	ʃə5	
祖	tθu3	
祝	tʂu5	
神	ʃẽ5	
祠	tθʰɿ5	
票	pʰiɔ1	
祭	tsi5	
禍	xue1	
稟	piŋ3	
禁	tɕiẽ3	
福	fu3	
离	li5	
禾	xue5	
秀	siou1	
私	θɿ1	
秃	tʰu3	
秋	tsʰiou1	
種	tʂuŋ3	~类
種	tʂuŋ5	~树
科	kʰuə1	
秒	miɔ3	
租	tθu1	
秤	tʃʰəŋ1	
秧	iɑŋ1	
積	tsi5	
稱	tʃʰəŋ1	~呼
秸	tɕiɛ1	秫~
移	i1	
穢	xuei5	
稀	ɕi1	
程	tʃʰəŋ5	
稍	ʂɔ1	
税	ʂuei1	
稠	tʃʰou5	
穩	uẽ3	
稿	kɔ3	
穗	θei5	
穴	ɕyə5	
究	tɕiou3	
窮	tɕʰyŋ5	
穹	tɕʰyŋ5	
空	kʰuŋ1	~虚
空	kʰuŋ5	~缺
穿	tʃʰuã1	
突	tʰu5	
窄	tʂei3	
竅	tɕʰiɔ3	
窯	iɔ5	
窖	tɕiɔ5	
窗	tʂʰuɑŋ1	
竄	tθʰã1	
窩	ue1	
窟	kʰu3	
立	li1	又
立	li5	又
豎	ʃu5	
站	tʂã1	
競	tɕiŋ3	
章	tʃɑŋ1	
竭	tɕiə3	
端	tã1	
竹	tʂu3	
竿	kã1	
笑	siɔ5	
筆	pi3	
笛	ti5	
符	fu5	
笨	pẽ5	
第	ti5	
箋	tsiã1	
籠	luŋ5	
等	təŋ3	
筋	tɕiẽ1	
筐	kʰuɑŋ1	
答	tɑ5	
策	tʂʰei3-	
策	tθʰə5=	
篩	ʂɛ1	
筵	iã5	
籌	tʃʰou5	
签	tsʰiã1	
簡	tɕiã3	
箅	pi5	~子
箍	ku1	
算	θã1	又
算	θã5	又
管	kuã3	
箭	tsiã1	
箱	siɑŋ1	
篆	tʃuã5	
篇	pʰiã1	
簍	lou3	
篡	tθʰã1	
篦	pi5	
籃	lǎ5	
籬	li5	
篷	pʰəŋ5	
篾	mi5	
簪	tθã1	
簸	pə3	~一~
簸	pə5	~箕
簾	liã5	
簿	pu5	
籍	tsi5	
米	mi3	
類	lei5	
粉	fẽ3	
粒	li1	
粗	tθʰu1	
粘	niã1	
粟	θu1	
糞	fẽ1	
糧	liɑŋ5	
糉	tθuŋ1	
精	tsiŋ1	
糕	kɔ1	
糖	tʰɑŋ5	
糜	mi1	
糟	tθɔ1	
糯	nuə5	
系	ɕi5	
系	tɕi5	~鞋带
素	θu1	
索	θuə3	
緊	tɕiẽ3	
紫	tθɿ3	
累	lei5	
絮	sy1	又
絮	sy5	又
糾	tɕiou1	
紅	xuŋ5	
纤	siã1	
約	yə3	
級	tɕi1	
紀	tɕi5	
緯	uei3	
純	tʃʰuẽ5	
紗	ʂɑ1	
納	nɑ5	
縱	tθuŋ3	~横
縱	tθʰuŋ3	放~
紛	fẽ1	
紙	tʂʅ3	
紡	fɑŋ3	
紐	niou3	
線	siã1	
練	liã5	
組	tθu1	
細	si1	
細	si5	
織	tʃɿ3	
終	tʂuŋ1	
絆	pã1	
紹	ʃɔ5	
經	tɕiŋ1	
綁	pɑŋ3	
絨	yŋ5	
結	tɕiə3	
繞	iɔ5	围~
給	tɕi3	
絡	luə5	
絶	tsyə5	
絞	tɕiɔ3	
統	tʰuŋ3	
絹	tɕyã5	
繡	siou1	
繼	tɕi5	
績	tsi5	
緒	sy1	
續	sy5	
繩	ʃəŋ5	
綢	tʃʰou5	
綻	tʂã3	
綠	ly1	
緞	tã5	
緩	xuã5	
縷	liou3	
編	piã1	
緣	yã5	
縫	fəŋ5	~衣服
縫	fəŋ5	一条~
纏	tʃʰã5	
縊	i5	
縮	θuə3	
繳	tɕiɔ1	
缸	kɑŋ1	
缺	tɕʰyə3	
罐	kuã5	
网	uɑŋ3	
罕	xã5	
羅	luə5	
罰	fɑ5	
罩	tʂɔ5	
罪	tθei5	
置	tʃɿ5	
羊	iɑŋ5	
美	mei3	
羞	siou1	
羡	syã5	
群	tɕʰyẽ5	
羶	ʃã1	
羹	kəŋ3	
羽	y3	
翁	uŋ1	
翅	tʂʰʅ5	
翠	tθʰei1	
翻	fã1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʃə3	
耍	ʂuɑ3	
耐	nɛ5	
耕	tɕiŋ1	
耗	xɔ5	
耙	pʰɑ5	
耨	nou5	
耩	tɕiɑŋ3	~地
耳	ər3	
耻	tʃʰɿ5	
耽	tã1	
耿	kəŋ3	
聊	liɔ5	
聾	luŋ5	
職	tʃɿ3	
聯	liã5	
聘	pʰiẽ5	
聚	tsy5	
聰	tθʰuŋ1	
肅	θu5	
肉	iou1	
肘	tʃou5	
肚	tu3	猪~
肚	tu5	腹~
肛	kɑŋ1	
肝	kã1	
股	ku3	
膚	fu5	
肥	fei5	
肩	tɕiã1	
骯	ɑŋ1	
肯	kʰẽ3	
育	y5	
肴	iɔ5	
肺	fei1	
腎	ʃẽ3	
腫	tʂuŋ1	
脅	ɕiə3	
胃	uei3	
膽	tã3	
背	pei5	
胎	tɛ1	
胖	pʰɑŋ5	
勝	ʃəŋ1	
勝	ʃəŋ5	
胡	xu5	
胳	kɑ3	
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ5	
脂	tʂʅ3	
脆	tθʰei5	
脉	mei1	
脊	tsi3	
臍	tsʰi5	
腦	nɔ3	
脖	pə5	
脚	tɕyə3	
脱	tʰuə3	
腡	luə5	手指纹
臉	liã3	
脾	pʰi3	
臘	lɑ1	
腋	iə5	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	uã1	
腚	tiŋ5	
腥	siŋ1	
腮	θɛ1	
腰	iɔ1	
膩	ni1	
騰	tʰəŋ5	
腿	tʰei3	
膝	si3	
膳	ʃã5	
臂	pei1	
臊	θɔ1	腥~
臟	tθɑŋ5	心~
自	tθɿ3	
臭	tʃʰou1	
至	tʂʅ3	
致	tʃɿ5	
舀	iɔ3	
舂	tʂʰuŋ1	
舅	tɕiou5	
舌	ʃə5	
舍	ʃə3	~不得
舍	ʃə5	宿~
舒	ʃu1	
舔	tʰiã3	
航	xɑŋ5	
艦	tɕiã5	
舵	tuə5	
船	tʃʰuã5	
良	liɑŋ1	
艱	tɕiã1	
色	ʂei3	
豔	iã5	
藝	i5	
艾	ɛ1	
節	tsiə3	
芋	y5	
芒	mɑŋ5	
芥	tɕiɛ5	
花	xuɑ1	
芳	fɑŋ1	
芹	tɕʰiẽ5	
芽	iɑ5	
苏	θu1	
苔	tʰɛ1	
苗	miɔ5	
苛	kʰə3	
苦	kʰu3	
英	iŋ1	
茂	mɔ5	
范	fã5	
茄	tɕʰiə5	~子
莖	tɕiŋ3	
茶	tʂʰɑ5	
草	tθʰɔ3	
薦	tsiã5	
荒	xuɑŋ1	
蕩	tɑŋ5	
榮	yŋ3	
葷	xuẽ1	
蔭	iẽ1	
藥	yə1	
荷	xue5	~花
蓮	liã5	
获	xu5	
鶯	iŋ1	
菊	tɕy3	
菌	tɕyẽ5	
菜	tθʰɛ1	
菩	pʰu5	
萌	məŋ5	
螢	iŋ5	
營	iŋ5	
蕭	siɔ1	
著	tʃu5	
董	tuŋ3	
葬	tθɑŋ1	
葱	tθʰuŋ1	
葵	kʰuei5	
蒙	məŋ3	
蒜	θã1	
蒲	pʰu5	
蒸	tʃəŋ1	
蓄	ɕy3	储~
蓑	θuə1	
蓬	pʰəŋ5	
蔡	tθʰɛ5	
蔫	iã1	
蔬	ʂu1	
蔽	pi5	
薄	pə5	
薅	xɔ1	
薛	syə3	
藏	tθʰɑŋ5	
藕	ou3	
藩	fã5	
蘸	tʂã5	
虎	xu3	
虐	yə5	
慮	ly5	
虚	ɕy1	
蟲	tʂʰuŋ5	
虱	ʂʅ3	
虹	tsiɑŋ1	
虹	xuŋ5	
雖	θei1	
蝦	ɕiɑ1	
蝦	xɑ5	~蟆
蟻	i5	
蚊	uẽ5	
蛆	tsʰy1	
蛇	ʃə5	
蛋	tã5	
蛙	uɑ5	
蛤	xɑ3	
蠻	mã5	
蟄	tʃə5	惊~
蛾	ue5	
蜂	fəŋ1	
蜓	tʰiŋ5	
蠟	lɑ1	
蜻	tsʰiŋ1	
蠅	iŋ5	
蟬	ʃã3	
蝠	fu3	
融	yŋ3	
蟹	siɛ5	
蠍	ɕiə3	
蠢	tʃʰuẽ5	
血	ɕiə3	
衅	ɕiẽ1	挑~
行	ɕiŋ5	~为
行	xɑŋ5	银~
街	tɕiɛ1	
衡	xəŋ5	
衣	i1	
補	pu3	
表	piɔ3	
衫	ʂã1	
襯	tʂʰẽ5	
袁	yã1	
襖	ɔ3	
袋	tɛ5	
袍	pʰɔ5	
袖	siou5	
袜	uɑ5	
被	pei5	
裁	tθʰɛ5	
裂	liə1	
裝	tʂuɑŋ1	
裕	y5	
裙	tɕʰyẽ5	
褲	kʰu5	
裸	luə5	
裹	kuə3	
褥	y5	
襟	tɕiẽ1	
西	si1	
要	iɔ1	又
要	iɔ5	重~
覆	fu5	
見	tɕiã5	
觀	kuã1	
規	kuei1	
視	ʂʅ5	
覽	lǎ5	
覺	tɕyə3	直~
覺	tɕiɔ1	睡~
角	tɕyə3	
解	tɕiɛ3	
解	siɛ5	姓~
觸	tʂʰu3	
言	iã5	
譽	y5	
誓	ʃɿ5	
計	tɕi5	
訂	tiŋ1	
認	iẽ5	
譏	tɕi1	
討	tʰɔ5	
讓	iɑŋ1	
訓	ɕyẽ5	
議	i5	
訊	syẽ5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei5	
訝	iɑ5	
許	ɕy3	
論	lẽ5	
諷	fəŋ3	
設	ʃə5	
訪	fɑŋ3	
訣	tɕyə1	口~
证	tʃəŋ5	
評	pʰiŋ5	
識	ʃɿ3	
訴	θu5	
診	tʃẽ3	
詞	tθʰɿ5	
試	ʂʅ5	
詩	ʂʅ1	
話	xuɑ5	
誕	tã5	
該	kɛ1	
詳	siɑŋ5	
語	y3	
誤	u5	
誘	iou3	
説	ʃuə3	
請	tsʰiŋ3	
諸	tʃu1	
諾	nuə3	
讀	tu5	
課	kʰuə5-	
誰	ʂuei5	
調	tʂʰɑ5	~察
調	tiɔ5	音~
談	tʰã5	
謀	mu5	
謊	xuɑŋ3	
諫	tɕiã3	
諧	siɛ3	
諺	iã5	
謎	mi1	
謝	siə5	
謗	pɑŋ5	
謙	tɕʰiã1	
謹	tɕiẽ3	
謬	niou5	
譜	pʰu3	
谷	ku3	
豁	xue1	
豆	tou5	
豌	uã1	
象	siɑŋ5	
豺	tʂʰɛ5	
貌	mɔ5	
貝	pei5	
貞	tʃəŋ1-	
負	fu5	
貢	kuŋ5	
財	tθʰɛ5	
責	tʂei5	
賢	ɕiã5	
敗	pɛ5	
賬	tʃɑŋ1	
貨	xue1	
質	tʃɿ3	
販	fã5	
貪	tʰã1	
貧	pʰiẽ5	
貶	piã3	
貫	kuã5	
賤	tsiã5	
貼	tʰiə3	
貴	kuei1	
貸	tɛ1	
費	fei5	
賀	xue5	
賊	tθei5	
賈	tɕiɑ3	
賄	xuei5	
資	tθɿ1	
賒	ʃə1	
賭	tu3	
贖	ʃu5	
賞	ʃɑŋ3	
賜	tθʰɿ5	
賠	pʰei5	
賴	lɛ5	
贅	tʂuei1	
賺	tʂuã5	
賽	θɛ5	
贊	tθã5	
贈	tθəŋ1	
贍	ʃã5	
贏	iŋ5	
赤	tʃʰɿ5	
赦	ʃə3	
走	tθou3	
赴	fu5	
趙	tʃɔ5	
趕	kã3	
起	tɕʰi3	
趁	tʃẽ5	
超	tʃʰɔ1	
越	yə3	
趟	tʰɑŋ1	
趣	tsʰy5	
足	tθu3=	
跌	tiə3	
跑	pʰɔ3	
距	tɕy5	
跟	kẽ1	
跨	kʰuɑ5	
跪	kuei5	
路	lu5	
跳	tʰiɔ5	
踏	tʂɑ1	又
踏	tʰɑ3	又
踒	ue1	~了脚
踢	tʰi5	
蹤	tθuŋ1	
蹄	tʰi5	
蹲	tẽ1	
身	ʃẽ1	
躱	tuə3	
躺	tʰɑŋ3	
車	tʃʰə1	
車	tɕy1	~马炮
軌	kuei1	
轉	tʃuã5	
輪	luẽ5	
軟	yã3	
轟	xuŋ1	
軸	tʃou5	
輕	tɕʰiŋ1	
載	tθɛ1	三年五~
轎	tɕiɔ5	
輩	pei5	
輝	xuei1	
輸	ʃu1	
辛	siẽ1	
辣	lɑ1	
辯	piã5	
辮	piã5	
辰	tʃʰẽ5	
邊	piã1	
遼	liɔ5	
達	tɑ5	
遷	tsʰiã1	
迅	syẽ5	
過	kuə1	又
過	kuə5	又
迎	iŋ5	
運	yẽ1	又
運	yẽ5	又
近	tɕiẽ3	
還	xuã5	
還	xã5	~是
這	tʃə1	又
這	tʃə5	又
進	tsiẽ1	
遠	yã3	
違	uei3	
連	liã5	
遲	tʃʰɿ5	
迫	pʰə3	
述	ʃu5	
迷	mi5	
追	tʂuei1	
退	tʰei5	
送	θuŋ1	
逃	tʰɔ5	
逆	i5	
選	syã3	
透	tʰou5	
遞	ti5	
途	tʰu5	
逗	tou5	
通	tʰuŋ1	
逛	kuɑŋ5	
逞	tʃʰəŋ5	~能
速	θu5	
造	tθɔ5	
逢	fəŋ1	
逸	i5	
逼	pi5	
遇	y5	
遍	piã1	
道	tɔ5	
遮	tʃə1	
遵	tθẽ1	
避	pi3	
鄧	təŋ5	
那	nɑ1	
邦	pɑŋ1	
邪	siə5	
郵	iou5	
邵	ʃɔ5	
鄒	tʂou1	
鄰	liẽ5	
郁	y5	
鄭	tʃəŋ5	
部	pu5	
郭	kuə3	
都	tu1	~城
都	tou1	~是
鄙	pi3	
酉	iou3	
配	pʰei5	
酒	tsiou3	
酥	θu1	
酬	tʃʰou5	
醬	tsiɑŋ1	
酵	tɕiɔ5	
酷	kʰu5	
酸	θã1	
釀	niɑŋ1	
醇	tʃʰuẽ5	
醉	tθei5	
醋	tθʰu1	
醒	siŋ3	
采	tθʰɛ3	
里	li3	
重	tʂuŋ5	~量
重	tʂʰuŋ5	~复
野	iə3	
量	liɑŋ5	数~
金	tɕiẽ1	
針	tʃẽ1	
釘	tiŋ1	
釣	tiɔ5	
釵	tʂʰɛ1	
鈍	tẽ5	
钟	tʂuŋ1	
鋼	kɑŋ1	
欽	tɕʰiẽ1	
錢	tsʰiã5	
鉗	tɕʰiã5	
鑽	tθã1	
鐵	tʰiə3	
鈴	liŋ5	
鉛	tɕʰiã1	
銅	tʰuŋ5	
銘	miŋ5	
鏟	tʂʰã3	
銀	iẽ5	
鑄	tʃu1	
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	siɔ1	
鎖	θuə3	
鋤	tʂʰu5	
鍋	kuə1	
鏽	siou1	
銼	tθʰuə1	
銳	lei3	
鋦	tɕy1	~锅
錯	tθʰuə1	
錯	tθʰuə5	
錫	si3	
鑼	luə5	
錘	tʂʰuei5	
錐	tʂuei1	
錦	tɕiẽ1	
鍁	ɕiã1	
鍵	tɕiã5	
鋸	tɕy5	
鍬	tsʰiɔ1	
鍛	tã5	
鎮	tʃẽ5	
鑷	niə5	
鏡	tɕiŋ1	又
鏡	tɕiŋ5	又
镢	tɕyə3	
鐲	tʂuə5	
鐮	liã5	
長	tʃʰɑŋ5	~短
長	tʃɑŋ3	生~
門	suã1	
門	mẽ5	
閃	ʃã3	
閉	pi5	
問	uẽ5	
闖	tʂʰuɑŋ1	
閏	yẽ1	
闲	ɕiã5	
間	tɕiã1	中~
悶	mẽ5	
閘	tʂɑ3	
鬧	nɔ1	
閨	kuei1	
聞	uẽ5	
閲	yə3	
闊	kʰuə3	
隊	tei5	
阮	yã5	
防	fɑŋ3	
陽	iɑŋ5	
陰	iẽ1	
陣	tʃẽ5	
階	tɕiɛ1	
阻	tʂu1	
阿	ɑ1	
附	fu5	
際	tsi5	
陸	lu5	
陳	tʃʰẽ5	
降	tɕiɑŋ5	下~
降	ɕiɑŋ5	投~
限	ɕiã5	
院	yã5	
除	tʃʰu5	
險	ɕiã3	
陪	pʰei5	
陷	ɕiã3	
隆	luŋ5	
隨	θei5	
隱	iẽ3	
隔	kei3	
障	tʃɑŋ1	
隶	li5	
難	nã5	~易
難	nã5	患~
雀	tsʰyə3	
雁	iã1	
雄	ɕyŋ5	
雅	iɑ3	
集	tsi5	
雇	ku1	
雌	tθʰɿ5	
雍	yŋ1	
雛	tʂʰu5	
雕	tiɔ1	
雨	y3	
雪	syə3	
零	liŋ1	
雷	lei5	
雹	pɑ5	
雹	pɔ5	
需	sy5	
震	tʃẽ5	
黴	mei3	
霜	ʂuɑŋ1	
霞	ɕiɑ1	
露	lu5	
霸	pɑ1	又
霸	pɑ5	又
青	tsʰiŋ1	
靜	tsiŋ5	
非	fei1	
靠	kʰɔ1	
面	miã5	
革	kə3	
靴	ɕyə1	
鞋	siɛ5	
鞭	piã1	
韭	tɕiou3	
音	iẽ1	
韻	yẽ1	
頂	tiŋ3	
項	ɕiɑŋ5	
順	ʃuẽ1	
须	sy5	
頑	uã5	
顧	ku5	
頓	tẽ5	
頒	pã5	
頌	θuŋ1	
預	y5	
領	liŋ3	
頸	kəŋ3	又
頸	tɕiŋ3	又
頻	pʰiẽ5	
顆	kʰuə1	
題	tʰi5	
顔	iã5	
額	ə5=	
顛	tiã1	
顫	tʃã5	
風	fəŋ1	
飄	pʰiɔ1	
飛	fei1	
食	ʃɿ5	
飽	pɔ5	
餐	tθʰã1	
饥	tɕi1	
飩	tẽ5	
飯	fã5	
飲	iẽ3	
飾	ʃɿ5	
飽	pɔ3	
飼	tθʰɿ5	
饒	iɔ5	
餉	ɕiɑŋ3	
餃	tɕiɔ3	
餅	piŋ3	
餓	ue5	
餛	xuẽ5	
餡	ɕiã5	
饞	tʂʰã5	
饅	mã5	
香	ɕiɑŋ1	
馬	mɑ3	
馱	tʰuə5	
驅	tɕʰy1	
驢	ly5	
駒	tɕy1	
駐	tʃu5	
駕	tɕiɑ5	
駡	mɑ5	
驕	tɕiɔ3	
駱	luə5	
驗	iã3	
騎	tɕʰi5	
騙	pʰiã1	又
騙	pʰiã5	又
騾	luə5	
驟	tʂou5	
骨	ku3	
髒	tθɑŋ1	
髓	θei3	
高	kɔ1	
鬃	tθuŋ1	
鬢	piẽ1	
鬼	kuei3	
魁	kʰuei5	
魂	xuẽ5	
魏	uei5	
魔	mə5	
魚	y5	
魯	lu5	
鮮	syã1	
鰥	kuã1	
鱗	liẽ3	
鳥	niɔ3	
雞	tɕi1	
鴉	iɑ3	
鴨	iɑ3	
鴿	kə3	
鵝	ue5	
鵲	tsʰyə3	
鶴	xue5	
鷹	iŋ1	
鹿	lu1	
麥	mei5	
麻	mɑ5	
黃	xuɑŋ5	
黍	ʃu3	~子
黑	xei3	
鼓	ku3	
鼠	ʃu3	
鼻	pi5	
鼾	xã5	
齊	tsʰi5	
齒	tʂʰʅ3	
龍	luŋ5	
龜	kuei1	
