#漢字	音標	解釋#('wuu_tz_xj', '仙居話', '仙居', '#8B0000', None, None, '來源：<u>落橙</u>', '334 1 1a 陰平 ꜀,312 2 1b 陽平 ꜁,423 3 2 上 ꜂,,55 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
撮	tsʰɤʔ7	一～米
撰	dzø2	
撲	pʰoʔ7	
撳	tɕʰiɪŋ5	
撼	ɦø6	
擀	kie3	
擁	yoŋ5	
擇	dzaʔ8	
擊	tɕiɪʔ7	
擋	ʔdɔ̃3	
操	tsʰao1	
擎	dʑiɪŋ2	
擒	dʑiɪŋ2	
擔	ʔda5	
據	ky5	
擠	tɕi5	
擦	tsʰɔʔ7	
擬	ʔȵi3	
擱	kɔʔ7	
擲	dʑiɪʔ8	
擴	kʰuɔʔ7	
擺	ʔba3	
擾	ʑiao2	
攀	pʰa1	
攆	ʔȵie3	
攏	ʔloŋ3	
攔	la2	
攘	ʑia2	
攙	tsʰɛ1	
攜	ɦi2	
攝	ʑiaʔ8	
攤	tʰa1	
攪	kao3	
攬	ʔla3	
支	tsɿ1	
收	ɕiɤu1	
改	kɛ3	
攻	koŋ5	
放	fɔ̃5	
政	tɕiɪŋ5	
故	ku5	
效	ɦao6	
敏	ʔmiɪŋ3	
救	tɕiɤu5	
敗	ba6	
敘	ʑy2	
教	kao5	
敝	bi6	
敢	kie3	
散	sa3	鞋帶～了
散	sa5	分～
敦	ʔdɤŋ1	
敨	tʰɤu3	展開，透氣
敬	tɕiɪŋ5	
敲	kʰao1	
整	tɕiɪŋ3	
敵	diɪʔ8	
敷	fu1	
數	su3	動詞
數	su5	名詞
斂	lie6	
斃	bi6	
文	vɤŋ2	
斑	ʔba1	
料	liao6	
斜	ʑya2	
斟	tsiɪŋ1	
斤	tɕiɪŋ1	
斥	tɕʰiɪʔ7	
斧	fu3	
斬	tsa3	
斯	sɿ1	
新	siɪŋ1	
斷	dø2	～絶
斷	ʔdø5	决～
方	fɔ̃1	
於	ɦy2	
施	sɿ1	
旁	bɔ̃2	
旅	ʔly3	
旋	zø6	
族	zoʔ8	
旗	dʑi2	
既	tɕi5	
日	ȵiɪʔ8	
旦	ʔda5	
旨	tsɿ3	
早	tsao3	
旬	ɕyøŋ1	
旱	ø3	
旺	ɦuɔ̃6	
昂	ŋɔ̃2	
昆	kʰuɤŋ1	
昌	tɕʰia1	
明	miɪŋ2	
昏	huɤŋ1	
易	ɦi6	
易	ɦiɪʔ8	交～
昔	ɕiɪʔ7	
星	ɕiɪŋ1	
映	iɪŋ5	
春	tɕʰyøŋ1	
昧	mɛ6	
昨	zɔʔ8	
昭	tɕiao1	
是	zɿ2	
晃	huɔ̃3	
晉	tsiɪŋ5	
晌	ɕia3	
晏	a5	晚
晚	va6	文
晚	ʔma3	白
晝	tɕiɤu5	
晦	huɛ5	
晨	ziɪŋ2	
普	pʰu3	
景	tɕiɪŋ3	
晴	ʑiɪŋ2	
晶	tɕiɪŋ1	
智	tsɿ5	
暇	ɦo6	
暈	ɦyøŋ6	
暑	ɕy3	
暖	ʔnɤŋ3	熱
暗	ø5	
暢	tɕʰia5	
暫	dza2	
暮	m6	
暴	bao6	
曆	liɪʔ8	
曉	ɕiao3	
曝	bao6	
曠	kʰɔ̃5	
曬	so5	
曰	ɦyɔʔ8	
曲	tɕʰyoʔ7	
更	kã1	～换，五～
更	kã3	～加
書	ɕy1	
曹	zao2	
曾	tsiɪŋ1	姓
曾	ziɪŋ2	～經
替	tʰi5	
最	tsɛ5	
會	ɦuɛ6	
會	kuɛ5	～計
月	ȵyɔʔ8	
有	iɤu3	
朋	bɤŋ2	
服	voʔ8	
朔	ɕyɔʔ7	
朗	ʔlɔ̃3	
望	vɔ̃6	文
望	mɔ̃6	白，看
朝	tɕiao1	今～
朝	dʑiao2	～代
期	dʑi2	
木	moʔ8	
未	vi6	文
未	mi6	白
末	maʔ8	
本	ʔbɤŋ3	
朮	dʑyoʔ8	白～，蒼～
朱	tɕy1	
朵	ʔdo3	
朽	ɕiɤu3	
杆	kie3	
杈	tsʰo1	
杉	sa1	
李	ʔli3	
杏	ã3	
材	zɛ2	
村	tsʰiɪŋ1	
杖	dʑia2	
杜	du2	
杞	tɕʰi3	
束	soʔ7	
束	ɕyoʔ7	
杠	kɔ̃5	
杭	ɦɔ̃2	
杯	ʔbɛ1	
東	ʔdoŋ1	
杳	iao3	
杴	ɕie1	
杵	tsʰu3	
杷	bo2	
松	soŋ1	
松	ɕyoŋ1	文
松	ʑyoŋ2	白
板	ʔba3	
枇	bi2	
枉	uɔ̃3	
析	ɕiɪʔ7	
枕	tsiɪŋ3	
林	liɪŋ2	
枚	mɛ2	
果	ko3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiao1	
架	ko5	
柄	ʔbiɪŋ5	
柏	ʔbaʔ7	
某	ʔm3	
柑	kie1	
染	ʔȵie3	
柔	ʑiɤu2	
柚	ɦiɤu6	
查	tso1	山～
查	dzo2	調～
柩	dʑiɤu6	
柬	za3	
柱	dʑy2	
柴	za2	
柵	saʔ7	～欄
柿	zɿ2	
栗	liɪʔ8	
校	ɦao6	學～；上～
校	kao5	～對
株	tɕy1	
核	ɦaʔ8	審～
核	ɦuoʔ8	果～
根	kiɪŋ1	
格	kaʔ7	
栽	tsɛ1	
桂	ky5	
桃	dao2	
桅	ɦuɛ2	
案	ø5	
桌	tɕyɔʔ7	
桐	doŋ2	
桑	sɔ̃1	
桓	ɦua2	
桔	kyøʔ7	
桶	doŋ2	
梁	lia2	
梅	mɛ2	
梓	tsɿ3	
梔	tsɿ1	
梗	kuã3	莖
條	diao2	
梢	sao1	
梧	ɦu2	
梨	li2	
梭	so1	
梯	tʰi1	
械	ɦa6	
梳	sɿ1	
棄	tɕʰi5	
棉	mie2	
棋	dʑi2	
棍	kuɤŋ5	
棒	bɔ̃2	
棕	tsoŋ1	
棗	tsao3	
棚	bã2	
棟	ʔdoŋ5	
棠	dɔ̃2	
棧	dza6	
森	siɪŋ1	
棲	tɕʰi1	
棵	kʰo1	
棺	kua1	
椅	y3	
植	dʑiɪʔ8	
椏	o1	
椒	tɕiao1	
椴	dø6	
椽	dzø2	
楊	ɦia2	
楓	foŋ1	
楚	tsʰu3	
楝	lie6	
楣	mi2	
楦	hyø5	
業	ȵiaʔ8	
極	dʑiɪʔ8	
楷	kʰa3	
概	kɛ5	
榆	ɦy2	
榜	ʔmɔ̃3	
榧	fi3	
榨	tso5	
榫	ɕyøŋ3	
榮	ɦyoŋ2	
榴	lɤu2	
榷	kʰɔʔ7	
構	kɤu5	
槌	dʑy2	
槍	tɕʰia1	
槐	ɦua2	
槳	tɕia3	
槽	zao2	
樁	tɕyɔ̃1	
樂	ŋɔʔ8	音～
樂	lɔʔ8	
樓	lɤu2	
標	ʔbiao1	
樞	kʰy1	
樟	tsɔ̃1	
模	m2	
樣	ɦia6	
樵	dʑiao2	
樸	pʰɔʔ7	
樹	ʑy6	
樺	ɦo6	
橄	kie3	
橋	dʑiao2	
橙	dʑiɪŋ2	
機	tɕi1	
橡	ʑia2	
橢	tʰo3	
橫	ɦuã2	
檀	da2	
檗	ʔbaʔ7	
檜	kuɛ5	
檢	tɕie3	
檳	ʔbiɪŋ1	
櫃	ɡy6	
櫓	ʔlu3	
櫻	ã1	
欄	la2	
權	ɡyø2	
欖	ʔla3	
欛	ʔbo5	
欠	tɕʰie5	
次	tsʰɿ5	
欣	ɕiɪŋ1	
欲	ɦyoʔ8	
欺	tɕʰi1	
欽	tɕʰiɪŋ1	
款	kʰua3	
歇	tɕʰiaʔ7	
歇	ɕiaʔ7	
歉	tɕʰie5	
歌	ko1	
歎	tʰa5	
歐	ɤu1	
歡	hua1	
止	tsɿ3	
正	tɕiɪŋ1	～月
正	tɕiɪŋ5	
此	tsʰɿ3	
步	bu6	
武	vu2	
歪	ua1	
歲	ɕy5	
歸	ky1	
死	sɿ3	
殃	ia1	
殆	dɛ2	
殉	ɕyøŋ5	
殊	ʑy2	
殕	fu3	食上生白毛
殖	dʑiɪʔ8	
殘	za2	
殮	lie6	
殯	ʔbiɪŋ5	
殲	tɕʰie1	
段	dø6	
殷	iɪŋ1	
殺	sɔʔ7	
殼	kʰɔʔ7	
殿	die6	
毀	huɛ3	
毅	ȵi6	
毆	ɤu3	
母	ʔmɤu3	文
母	ʔm3	白
每	ʔmɛ3	
毒	doʔ8	
比	ʔbi3	
毛	mao2	
毫	ɦao2	
毯	tʰa3	
毽	tɕie1	
氈	tɕie1	
氏	zɿ2	
民	miɪŋ2	
氣	tɕʰi5	
水	ɕy3	
永	yøŋ3	
汀	tʰiɪŋ1	
汁	tsɤʔ7	
求	dʑiɤu2	
汆	tsʰø1	
汗	ɦø6	
汙	u1	
汝	ʑy2	
汞	koŋ5	
江	kɔ̃1	
池	dzɿ2	
汪	uɔ̃1	
汴	bie2	
決	kyaʔ7	
汽	tɕʰi5	
沂	ȵi2	
沃	uaʔ7	
沈	siɪŋ3	
沉	dziɪŋ2	
沌	dɤŋ2	
沒	mɤʔ8	
沖	tɕʰyoŋ1	
沙	so1	
沛	pʰɛ5	
沫	maʔ8	
河	ɦo2	
油	ɦiɤu2	
治	dzɿ6	
沼	tɕiao1	
沾	ʔȵie1	
沿	ɦie2	
況	ɕyɔ̃5	
泄	ɕiaʔ7	～露
泅	dʑiɤu2	
泉	zø2	
泊	bɔʔ8	
泌	ʔbi5	
泔	kie1	
法	fɔʔ7	
泛	fa5	
泡	pʰao1	
泡	pʰao5	～在水裏
波	ʔbo1	
泣	tɕʰiɪʔ7	
注	tɕy5	
泰	tʰa5	
泳	ɦyøŋ6	
洇	iɪŋ1	
洋	ɦia2	
洗	ɕi3	
洛	lɔʔ8	
洞	doŋ6	
津	tsiɪŋ1	
洪	ɦoŋ2	
洲	tɕiɤu1	
活	ɦuɔʔ8	
洽	ɦaʔ8	
派	pʰa5	
流	lɤu2	
浙	tɕiaʔ7	
浜	ʔbã1	
浦	pʰu3	
浩	ao3	
浪	lɔ̃6	
浮	vu2	白
浮	vɤu2	文
浴	ɦyoʔ8	
海	hɛ3	
浸	tsiɪŋ5	
消	ɕiao1	
涉	ʑiaʔ8	
涎	ɦie2	
涕	tʰi5	
涯	ŋa2	
液	ɦiɪʔ8	
涼	lia2	
淆	ɦao2	
淋	liɪŋ2	
淑	ʑyoʔ8	
淘	dao2	
淚	li6	
淡	da2	
淤	ɦy2	
淨	ʑiɪŋ6	
淩	liɪŋ2	
淪	lɤŋ2	
淫	ɦiɪŋ2	
淮	ɦua2	
深	siɪŋ1	
淵	yø1	
混	uɤŋ3	
淹	ie1	
淺	tɕʰie3	
添	tʰie1	
清	tɕʰiɪŋ1	
減	za3	
渠	ɡy2	
渠	ɡɛ2	他
渡	du6	
渣	tso1	
測	tsʰɤʔ7	
港	ɡɔ̃2	
渴	kʰaʔ7	
渺	ʔmiao3	
渾	uɤŋ3	
湊	tsʰɤu5	
湖	ɦu2	
湘	ɕia1	
湧	yoŋ3	
湯	tʰɔ̃1	
溉	kɛ5	
源	ȵyø2	
溜	lɤu6	
溝	kɤu1	
溪	tɕʰi1	
溫	uɤŋ1	
溺	ȵiɪʔ8	
滂	bɔ̃2	
滅	miaʔ8	
滋	tsɿ1	
滎	ɦiɪŋ2	
滑	uaʔ7	
滓	tsɿ3	
滔	tʰao1	
滬	u3	
滯	dʑi6	
滲	siɪŋ5	
滴	ʔdiɪʔ7	
滸	hu3	
滾	kuɤŋ3	
滿	ʔmø3	
漁	ȵy2	
漂	pʰiao1	
漂	pʰiao5	～亮
漆	tsʰɤʔ7	
漏	lɤu6	
演	ie3	
漢	hø5	
漫	ma6	
漱	sɤu5	
漲	tɕia3	
漸	ʑie2	
漿	tɕia1	
潑	pʰaʔ7	
潔	tɕiaʔ7	
潘	pʰø1	
潛	ʑie2	
潤	ȵyøŋ6	
潭	dø2	
潮	dʑiao2	
潰	ɡuɛ6	～膿
澀	sɤʔ7	
澄	dʑiɪŋ2	
澄	ʔdiɪŋ5	水渾，～一～
澆	tɕiao1	
澇	lao6	
澗	za5	
澠	ʔmie3	
澡	tsao3	
澤	dzaʔ8	
激	tɕiɪʔ7	
濁	dʑyɔʔ8	
濃	ȵyoŋ2	
濕	sɤʔ7	
濟	tɕi5	
濤	dao2	
濫	la6	
濺	tɕie5	
濾	ly6	
瀉	ɕya5	
瀑	pʰoʔ7	～布
灌	kua5	
灑	sa3	
灒	tsa5	濺
灘	tʰa1	
灣	ua1	
火	ho3	
灰	huɛ1	
灶	tsao5	
灸	tɕiɤu5	
災	tsɛ1	
炊	tɕʰy3	
炎	ɦie2	
炒	tsʰao3	
炕	kʰã5	
炭	tʰa5	
炮	pʰao5	
炸	tso5	～彈
炸	zɔʔ8	用水～
烈	liaʔ8	
烊	ɦia2	
烏	u1	
烘	hoŋ1	
烙	lɔʔ8	
烤	kʰao5	
烹	pʰã1	
焉	ie1	
焊	ɦø6	
焙	bɛ6	
焚	vɤŋ2	
無	vu2	文
無	m2	白
焦	tɕiao1	
焰	ɦie6	
煉	lie6	
煎	tɕie1	
煙	ie1	
煤	mɛ2	
煥	hua5	
照	tɕiao5	
煨	uɛ1	
煩	va2	
煮	tsɿ3	
熄	ɕiɪʔ7	
熊	ɦyoŋ2	
熏	hyøŋ1	
熔	ɦyoŋ2	
熙	ɕi1	
熟	ʑyoʔ8	
熨	ɦyøŋ6	
熬	ŋao2	
熱	ȵiaʔ8	
燈	ʔdiɪŋ1	
燎	liao2	
燒	ɕiao1	
燕	ie5	
燙	tʰɔ̃5	
營	ɦiɪŋ2	
燦	tsʰa5	
燭	tɕyoʔ7	
爆	bao6	
爐	lu2	
爛	la6	
爪	tsao3	
爬	bo2	
爭	tsã1	
爲	ɦuɛ2	文，作～
爲	ɦy2	白，作～
爲	ɦuɛ6	文，～什么
爲	ɦy6	白，～什么
父	vu2	
爸	ʔba5	
爹	ʔdi1	
爺	ɦya2	
爽	sɔ̃3	
爾	ʔŋ3	
爿	ba2	
牆	ʑia2	
片	pʰie5	
版	ʔba3	
牌	ba2	
牒	diaʔ8	
牘	doʔ8	
牙	ŋo2	
牚	tsʰã5	椅子～兒
牛	ŋɤu2	
牡	ʔmɤu3	
牢	lao2	
牧	moʔ8	
物	vɤʔ8	
牯	ku3	
牲	sã1	
特	diɪʔ8	
牽	tɕʰie1	
犀	ɕi1	
犁	li2	
犒	kʰao5	
犢	doʔ8	
犧	ɕi1	
犬	kʰyø3	
犯	va2	
狀	zɔ̃6	
狂	ɡyɔ̃2	
狄	diɪʔ8	
狐	ɦu2	
狗	kɤu3	
狸	li2	
狹	ɦɔʔ8	
狼	lɔ̃2	
猛	ʔmã3	
猜	tsʰɛ1	
猝	tsʰɤʔ7	
猴	ɦɤu2	
猶	ɦiɤu2	
猾	uaʔ7	
獄	ȵyoʔ8	
獅	sɿ1	
獎	tɕia3	
獨	doʔ8	
獲	ɦuaʔ8	
獵	liaʔ8	
獸	ɕiɤu5	
獺	tʰɔʔ7	
獻	ɕie5	
玄	ɦyø2	
率	sɤʔ7	～領
率	loʔ8	
玉	ȵyoʔ8	
王	ɦuɔ̃2	
玩	ɦua6	
玻	ʔbo1	
珊	sa1	
珍	tsiɪŋ1	
珠	tɕy1	
班	ʔba1	
現	ɦie6	
球	dʑiɤu2	
理	ʔli3	
琉	lɤu2	
琢	tɕyɔʔ7	
琴	dʑiɪŋ2	
琵	bi2	
琶	bo2	
瑕	ɦo2	
瑞	ʑy6	
瑟	sɤʔ7	
瑣	so3	
璃	li2	
璧	ʔbiɪʔ7	
環	ɦua2	
璽	ɕi3	
瓊	dʑyoŋ2	
瓖	ɕia1	
瓜	ko1	
瓢	biao2	
瓣	bɛ6	
瓦	ʔŋo3	
瓶	biɪŋ2	
瓷	zɿ2	
甌	ɤu1	
甕	oŋ5	
甘	kie1	
甚	ziɪŋ2	
甜	die2	
生	sã1	
產	sa3	
甥	sã1	
用	ɦyoŋ6	
甫	pʰu3	
甬	yoŋ3	
田	die2	
由	ɦiɤu2	
甲	kɔʔ7	
申	siɪŋ1	
男	nø2	
界	za5	
畏	uɛ5	
留	lɤu2	
畝	ʔm3	
畢	ʔbiɪʔ7	
略	lɔʔ8	
番	fa1	
畫	ɦo6	
異	ɦi6	
當	ʔdɔ̃1	～時，應～
當	ʔdɔ̃5	～作，典～
疃	tʰɛ5	
疆	tɕia1	
疊	diaʔ8	
疏	su1	
疑	ȵi2	
疔	ʔdiɪŋ1	
疝	sa5	
疤	ʔbo1	
疥	za5	
疫	ɦyoʔ8	
疲	bi2	
疵	tsʰɿ1	
疹	tsiɪŋ3	
疼	dɤŋ2	
疾	zɤʔ8	
病	biɪŋ6	
症	tɕiɪŋ5	
痔	dzɿ2	
痕	ɦɤŋ2	
痛	tʰoŋ5	
痢	li6	
痣	tsɿ5	
痰	da2	
痱	fi5	
痲	mo2	
痹	ʔbi5	
瘋	foŋ1	
瘌	la6	
瘌	laʔ8	
瘍	ɦia2	
瘟	uɤŋ1	
瘡	tsʰɔ̃1	
瘦	sɤu5	
瘧	ȵyɔʔ8	～疾
瘴	tsɔ̃5	
療	liao6	
癡	tsʰɿ1	
癢	ia3	
癬	ɕie3	
癸	ky3	
登	ʔdiɪŋ1	
發	fɔʔ7	
白	baʔ8	
百	ʔbaʔ7	
皂	zao2	
的	ʔdiɪʔ7	目～
皇	ɦuɔ̃2	
皖	ua3	
皮	bi2	
皺	tsɤu5	
皿	ʔmiɪŋ3	
盂	ɦy2	
盅	tɕyoŋ1	
盆	bɤŋ2	
盈	ɦiɪŋ2	
益	iɪʔ7	
盒	ɦaʔ8	
盔	kʰuɛ1	
盛	ʑiɪŋ6	
盜	dao6	
盞	tsa3	
盟	miɪŋ2	
盡	ziɪŋ2	
盤	bø2	
盧	lu2	
目	moʔ8	
盲	mã2	
直	dʑiɪʔ8	
相	ɕia5	
盼	pʰa5	
盾	dɤŋ2	
省	sã3	
省	ɕiɪŋ3	反～
眉	mi2	
看	kʰø5	
真	tsiɪŋ1	
眠	mie2	
眨	tsaʔ7	～眼
眩	ɦyø6	
眶	tɕʰyɔ̃1	
眷	kyø5	
眼	ʔŋa3	
睛	tɕiɪŋ1	
睜	tsã1	
睡	ʑy6	
督	ʔdoʔ7	
睬	tsʰɛ3	
瞎	hɔʔ7	
瞞	mø2	
瞪	ʔdiɪŋ5	
瞳	doŋ2	
瞻	tɕie1	
瞿	ɡy2	
矛	mɤu2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	ky3	
短	ʔdø3	
矮	a3	
矯	tɕiao1	
石	ʑiɪʔ8	
砌	tɕʰi5	
砍	kʰø3	
砑	ŋo6	
研	ʔȵie1	
破	pʰa5	白
破	pʰo5	文
硃	tɕy1	
硝	ɕiao1	
硫	lɤu2	
硬	ŋã6	
硯	ɦie6	
碎	sɛ5	
碑	ʔbɛ1	
碓	ʔdɛ5	
碗	ua3	
碟	diaʔ8	
碧	ʔbiɪʔ7	
確	kʰɔʔ7	
碼	ʔmo3	
碾	ʔȵie3	
磁	zɿ2	
磉	sɔ̃3	柱下石
磕	kʰaʔ7	
磚	tsø1	
磨	mo6	
磷	liɪŋ2	
礎	tsɿ3	柱下石
礓	tɕia1	
礙	ŋɛ6	
礦	kʰɔ̃5	
示	zɿ6	
社	zo2	
祀	zɿ2	
祁	dʑi2	
祈	dʑi2	
祖	tsu3	
祝	tɕyoʔ7	
神	ziɪŋ2	
祥	ʑia2	
票	pʰiao5	
祭	tɕi5	
祿	loʔ8	
禁	tɕiɪŋ5	
禍	o3	
福	foʔ7	
禦	ȵy6	
禪	ʑie2	～宗
禪	ʑie6	～讓
禮	ʔli3	
禱	ʔdao3	
禹	y3	
禽	dʑiɪŋ2	
禾	ɦo2	
禿	tʰoʔ7	
秀	ɕiɤu5	
私	sɿ1	
秉	ʔbiɪŋ3	
秋	tɕʰiɤu1	
科	kʰo1	
秒	ʔmiao3	
秘	ʔbi5	
租	tsu1	
秤	tɕʰiɪŋ5	
秦	ziɪŋ2	
秧	ia1	
秩	dzɤʔ8	
秸	kie3	麥～
移	ɦi2	
稀	ɕi1	
稅	ɕy5	
稈	kie3	
程	dʑiɪŋ2	
稍	sao3	
稗	ba6	
稚	dzɿ6	
稟	ʔbiɪŋ3	
稠	dʑiɤu2	
種	tɕyoŋ3	～類
種	tɕyoŋ5	～樹
稱	tɕʰiɪŋ1	
稻	dao2	
稼	ko5	
稽	tɕi5	
稿	kao3	
穀	kuoʔ7	
穆	moʔ8	
積	tɕiɪʔ7	
穎	iɪŋ3	
穗	ʑy6	
穢	uɛ5	
穩	uɤŋ3	
穴	ɦyaʔ8	
究	tɕiɤu5	
空	kʰoŋ1	
穿	tsʰø1	
突	doʔ8	
窄	tsɔʔ7	
窖	kao5	
窗	tɕʰyɔ̃1	
窟	kʰuoʔ7	～窿
窠	kʰo1	
窩	o1	
窪	ua1	
窮	dʑyoŋ2	
窰	ɦiao2	
窺	ɡuɛ2	
竄	tsʰø5	
竅	tɕʰiao5	
立	liɪʔ8	
站	dza6	
竟	tɕiɪŋ3	
章	tsɔ̃1	
童	doŋ2	
端	ʔdø1	
競	dʑiɪŋ6	
竹	tɕyoʔ7	
竿	kie3	
笊	tsao5	
笑	ɕiao5	
笙	sã1	
笛	diɪʔ8	
笠	liɪʔ8	
笡	tɕʰya5	斜
符	vu2	
笨	bɤŋ2	
第	di6	
筆	ʔbiɪʔ7	
等	ʔdiɪŋ3	
筋	tɕiɪŋ1	
筍	ɕyøŋ3	
筏	vɔʔ8	
筐	tɕʰyɔ̃1	
筒	doŋ2	
答	ʔdɔʔ7	
策	tsʰaʔ7	
筵	ɦie2	
筷	kʰua5	
箋	tɕʰie1	
箍	kʰu1	
箏	tsã1	
算	sø5	
管	kua3	
箭	tɕie5	
箱	ɕia1	
箸	dzɿ6	筷子
節	tɕiaʔ7	
範	va2	
篆	dzø2	
篇	pʰie1	
築	tɕyoʔ7	
篙	kao1	
篡	tsʰø5	
篤	ʔdɔʔ7	
篦	bi6	
篩	sɿ1	
篷	boŋ2	
篾	miaʔ8	
簍	ʔlɤu3	
簡	za3	
簧	ɦuɔ̃2	
簪	tsø1	
簫	ɕiao1	
簰	ba2	筏
簷	ɦie2	
簸	ʔbɛ3	動詞
簸	ʔbɛ5	米～
簽	tɕʰie1	
簾	lie2	
簿	bu2	
籃	la2	
籌	dʑiɤu2	
籍	ʑiɪʔ8	
籠	loŋ2	
籬	li2	
籮	lo2	
籲	y1	
米	ʔmi3	
粉	fɤŋ3	
粒	ʔloʔ7	
粗	tsʰu1	
粘	ʔȵie1	
粟	ɕyoʔ7	
粥	tɕyoʔ7	
粱	lia2	
粳	kã1	
粵	ɦyɔʔ8	
粹	zɛ6	
糉	tsoŋ5	
精	tɕiɪŋ1	
糍	zɿ2	
糕	kao1	
糖	dɔ̃2	
糙	tsʰao5	
糞	fɤŋ5	
糟	tsao1	
糠	kʰɔ̃1	
糧	lia2	
糯	no6	
糴	diɪʔ8	
糶	tʰiao5	
系	tɕi5	～鞋帶
系	i5	
系	i5	連～
糾	tɕiɤu1	～纏
糾	tɕiɤu3	～正
紀	tɕi3	
紂	dʑiɤu2	
約	yɔʔ7	
紅	ɦoŋ2	
紉	ȵiɪŋ6	
紋	vɤŋ2	
納	naʔ8	
紐	ʔȵiɤu3	
純	ʑyøŋ2	
紗	so1	
紙	tsɿ3	
級	tɕiɪʔ7	
紛	fɤŋ1	
素	su5	
紡	fɔ̃3	
索	saʔ7	繩～
紫	tsɿ3	
紮	tsaʔ7	
累	lɛ6	～積；連～
累	ʔlɛ3	勞～
細	ɕi5	
紹	ʑiao2	
終	tɕyoŋ1	
組	tsu3	
絆	bø6	
結	tɕiaʔ7	
絞	kao3	
絡	lɔʔ8	
給	tɕiɪʔ7	供～
絨	ʑyoŋ2	
絮	sɿ5	白，被～
絮	ɕy5	文
統	tʰoŋ3	
絲	sɿ1	
絕	ʑyɔʔ8	
絹	kyø5	
綁	ʔmɔ̃3	
綏	ɕy1	
經	tɕiɪŋ1	
綜	tsoŋ3	織布機上的～
綢	dʑiɤu2	
維	ɦy2	
綱	kɔ̃1	
網	ʔmɔ̃3	
綴	tɕyɔʔ7	點～
綻	dza6	
綽	tɕʰyɔʔ7	寛～
綿	mie2	
緊	tɕiɪŋ3	
綠	loʔ8	
緖	ʑy2	
線	ɕie5	
緝	tɕʰiɪʔ7	
緞	dø6	
緣	ɦyø2	
編	ʔbie1	
緩	ua3	
緬	ʔmie3	
緯	ɦuɛ6	
練	lie6	
縊	i5	
縐	tsɤu5	
縛	vɔʔ8	
縣	ɦyø6	
縫	voŋ2	～衣服
縫	voŋ6	一條～
縮	ɕyoʔ7	
縱	tsoŋ5	
縷	ʔlɤu3	
總	tsoŋ3	
績	tɕiɪʔ7	
繁	va2	
織	tɕiɪʔ7	
繞	ʑiao2	圍～
繞	ȵiao6	～綫
繡	ɕiɤu5	
繩	ʑiɪŋ2	
繪	kuɛ5	
繭	tɕie3	
繰	kʰiao1	用機器
繰	tɕʰiao1	用手工
繳	tɕiao3	
繼	tɕi5	
續	ʑyoʔ8	
纓	iɪŋ1	
纔	zɛ2	
纜	la6	
缸	kɔ̃1	
缺	kʰyaʔ7	
缽	ʔbɤʔ7	
罐	kua5	
罕	hø5	
罩	tsao5	
罪	zɛ2	
置	tsɿ5	
罰	vɔʔ8	
署	dʑy6	
罵	ma6	
罷	ba2	
羅	lo2	
羊	ɦia2	
羌	tɕʰia1	
美	ʔmi3	
羔	kao1	
羞	ɕiɤu1	
羣	ɡyøŋ6	
羨	ʑie6	
義	ȵi6	
羹	kã1	
羽	y3	
翁	oŋ1	
翅	tsʰɿ5	
翎	liɪŋ2	
習	zɤʔ8	
翠	tsʰɛ5	
翡	fi5	
翰	ɦø6	
翻	fa1	
翼	ɦiɪʔ8	
耀	ɦiao6	
老	ʔlao3	
考	kʰao3	
者	tɕia3	
而	zɿ2	
耍	sa3	
耐	ʔnɛ3	
耕	kã1	
耗	hao5	
耙	bo6	
耩	ɡɔ̃2	～地
耳	zɿ2	文
耳	ʔŋ3	白
耶	ɦia2	
耽	ʔda1	
耿	kã3	
聊	liao2	
聒	kuaʔ7	～耳光
聖	ɕiɪŋ5	
聘	pʰiɪŋ5	
聚	ʑy2	
聞	vɤŋ2	
聯	lie2	
聰	tsʰoŋ1	
聲	ɕiɪŋ1	
聶	ȵiaʔ8	
職	tɕiɪʔ7	
聽	tʰiɪŋ1	
聾	loŋ2	
肄	ɦi6	
肅	ɕyoʔ7	
肆	sɿ5	
肉	ȵyoʔ8	
肋	liɪʔ8	
肌	tɕi1	
肘	tɕiɤu3	
肚	du2	腹～
肚	ʔdu3	豬～
肝	kie1	
股	ku3	
肢	tsɿ1	
肥	bi2	白
肥	vi2	文
肩	tɕie1	
肪	fɔ̃1	
肫	tɕyøŋ1	文
肫	ʔdɤŋ1	白
肮	ɔ̃1	
肯	kʰiɪŋ3	
育	yoʔ7	
肴	ɦao2	
肺	fi5	
胃	ɦy6	
背	bɛ6	～誦
背	ʔbɛ5	
胎	tʰɛ1	
胖	pʰɔ̃5	
胚	pʰɛ1	
胛	kɔʔ7	肩～
胞	ʔbao1	
胡	ɦu2	
胳	kɔʔ7	～膊
胸	ɕyoŋ1	
能	nɤŋ2	
脂	tsɿ1	
脅	ɕiaʔ7	
脆	tɕʰy5	
脈	maʔ8	
脊	tɕiɪʔ7	
脫	tʰoʔ7	
脯	bu2	
脹	tɕia5	
脾	bi2	
腋	ɦiɪʔ8	
腎	ziɪŋ2	
腐	vu6	文，～敗
腐	ɦu6	白，豆～
腑	fu3	
腔	tɕʰia1	
腕	ua3	
腡	lo2	手指文
腥	ɕiɪŋ1	
