#漢字	音標	解釋
#簡稱	/	冷水江錫礦山
#全稱	/	冷水江錫礦山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-06
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（錫礦山）方言語音研究》
#說明	/	
屏	ɓin2	
屑	ɕiɛ̃1	木～
展	tɕiɛ̃3	
屙	o1	排泄大小便
屠	ɗəu2	
屢	lɤ3	
屯	ɗən2	
山	sã1	
歲	sɤ5	
豈	tɕʰi3	
岔	tsʰa7	
崗	kɔ̃1	
嵐	lã2	
島	tɔ3	
岩	æ2	
岭	lin3	
岳	yo7	
岸	ã5	
峽	ɕia7	
峯	fən1	
崇	zən2	
崐	kʰuən1	
崑	kʰuən1	
崔	tsʰɤ1	
崖	æ2	
崛	tɕyɛ7	
崩	pin1	
嶄	tsã3	
崴	uæ3	～脚，折
崽	tsæ3	
嵌	kʰã1	
嵩	sən1	
嶽	yo7	
川	tɕʰyɛ̃1	
州	tɕiəu1	
巡	ʑyən2	
巢	zɔ2	
工	kən1	
左	tso3	
巧	tɕʰiɤ3	
巨	tɕy5	
鞏	kən3	
巫	u1	
差	tsʰɿ1	参～
差	tsʰa1	～别
差	tsʰæ1	出～
已	tɕi3	
已	i3	
巳	zɿ5	～时
巴	pa1	
巷	ɕiã5	
巾	tɕin1	
幣	ɓi5	
市	sɿ5	
布	pu5	
帥	sæ5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	tɕyɔ̃5	
帕	pʰa5	
帖	tʰiɛ7	请～
帘	liɛ̃2	
帚	tɕiəu5	
帝	ti5	
帶	tæ5	
席	ɕi7	
幫	pɔ̃1	
常	ʑyɔ̃2	
帽	mɔ1-	
帽	mɔ5=	
幅	fu5	
幕	mo5	
干	kã1	～湿
干	kã5	～部
平	ɓiã2-	
平	tsʰɿ1	
平	lɔ̃2	
平	ɓin2=	
年	iɛ̃2	
并	pin5	
幸	ɕin5	
幻	xɔ̃5	
幼	iəu5	
幽	iəu1	
廣	tsʰɿ1	
廣	lɔ̃2	
廣	kɔ̃3	
廣	tɕʰiã5	
莊	tsɔ̃1	
慶	tɕʰin5	
庇	ɓi5	
牀	zɔ̃2	
序	ɕy5	
序	ʑiəu5	
廬	ləu2	
庫	kʰu5	
應	iɛ̃5-	
應	in1	～该
應	in5=	～对
底	ti7-	
底	ti3=	
店	tiɛ̃5	
廟	miɤ1-	
廟	miɤ5=	
庚	tsiɛ̃1	
府	fu3	
龐	ɓɔ̃2	
廢	fɤ5	
度	lɔ̃2	
度	ɗəu5	
座	zo5	
庭	ɗin2	
庵	ã1	
庶	ɕy5	
康	kʰɔ̃1	
庸	yən1	
廉	liɛ̃2	
廊	lɔ̃2	
廓	kʰo5	
延	iɛ̃2	
廷	ɗin2	
建	tɕiɛ̃5	
開	kʰɤ1	
异	i5	
弃	tɕʰi5	
弄	lən5	
弊	ɓi5	
式	sɿ5	
弓	kən1	
引	in3	
弘	ɣən2	
弟	li3-	
弟	ɗi5=	
張	tɕyɔ̃1	
弦	ʑiɛ̃2	
彎	uã1	
弱	yo7	
彈	ɗã7-	～起来
彈	ɗà2	子～
彈	ɗà2=	～琴
强	ʑiã2	
歸	kuɤ1	
當	tɔ̃1	～作
當	to5	～真
當	tɔ̃5	～铺
录	ləu7	
形	lo2	
形	ʑin2	
彩	tsʰæ3	
彪	piɤ1	
彬	pin1	
彭	ɓən2	
影	iã3-	～子
影	in3=	～响
役	y7	
徹	tsʰɤ7	
彼	pʰi3	
往	ɔ̃3	
征	tɕin1-	
征	tsən1=	
徑	tɕin5	
待	ɗæ5	
很	xən3	
律	liəu5	
後	ɣɤ5	
徐	ʑy2	
徒	ɗəu2	
得	tɤ7	
徛	ʑi3	站,《广韵》上声纸韵，集徛切:立也
御	y5	
循	ʑyən2	
微	uɤ1	
德	tɤ7	
徽	fɤ1	
心	ɕin1	
必	ɓi5	
憶	i5	
忌	tɕi5	
忍	ʑin3-	
忍	zən3=	
志	tsɿ5	
忘	mɔ̃1-	
忘	ɔ̃5=	
忙	mɔ̃2	
忠	tɕyən1	
憂	iəu1	
快	kʰuæ5	
念	iɛ̃5	
忽	fu7	
懷	væ2	
態	tʰæ5	
慫	zən2	～相:长得丑陋
慫	sən3	
慪	o5	～气
慪	ɔ5	～气
怒	ləu5	
怕	pʰa5	
怖	pu5	
憐	liɛ̃2	
思	sɿ1	
怠	ɗæ5	
怡	i2	
急	tɕi7	
性	ɕin5	
怨	̃yɛ̃5	
怪	kuæ5	
總	tsən3	
戀	liɛ̃5	
恐	kʰən3	
恆	ɣən2	
恕	ɕy5	
恢	fɤ1	
恤	ɕy5	
恤	ɕyɛ5	
恨	ɣən5	
恩	ən1	
恬	ɗiɛ̃2	
恭	kən1	
息	ɕi7	
恰	tɕʰia7	
懇	kʰən3	
恶	ɤ3	～死了:脏死了
恶	ɤ3	～心
恶	u7	可～
恶	o7	善～
惱	lɔ3	
悄	tɕʰiɤ1	
悉	ɕi5	
悍	ɣã5	
悔	fɤ3	
悟	u5	
悠	iəu1	
患	xɔ̃5	
悅	yɛ7	
懸	ʑyɛ̃2	
憫	min3	
悲	pɤ1	
情	ʑin2	
驚	tɕin1	
惋	uã3	
惑	væ7	
惜	tɕi1-	伤心
惜	ɕi7=	
惟	uɤ2	
惠	fɤ5	
懼	ʑy5	
慘	tsʰã3	
懲	ʑin2-	
懲	zən2=	
慚	zã2	
慣	kuã5	
惰	to5	
想	ɕiã3	
惶	ɣɔ̃2	
惹	zɤ3	
愁	ʑiɤ2	
愈	y2	
愉	y2	
意	i5	
愚	y2	
感	kã3	
愣	lən5	
憤	fən5	
愧	kʰuɤ5	
願	̃yɛ̃1-	
願	̃yɛ̃5=	
慈	zɿ2	
慌	xɔ̃1	
慎	ɕin5-	
慎	sən5=	
慕	mo5	
慢	mã1-	
慢	mã5=	
慧	fɤ5	
慨	kʰæ5	
慰	uɤ5	
慷	kʰɔ̃1	
憋	pi1	～气
憨	xã1	
憾	ɣã5	
懂	tən3	
懈	ɕiɛ5	
懊	ɔ5	～恼
懶	lã3	
懵	mən3	～懂
戈	ko7	
戊	u7	
戌	ɕiəu1	
戌	ɕy5	
戎	yən2	
戲	ɕi5	
成	ʑin2-	
成	ʑiã2-	
成	zən2=	
我	o3	
戒	kæ5	
或	væ7	
戰	tsã5	
戚	tɕʰi5	
截	tɕiɛ7	
戳	tsʰo5	
戴	tæ5	
戶	vu5	
房	ɣɔ̃2	
所	so3	
扁	piɛ̃7-	
扁	piɛ̃3=	
扇	ɕyɛ̃5	
手	ɕiəu3	
才	zæ2	
扎	tsa1	～手
扎	tsa3	～头发
扎	tsa3	一～:一捆
扎	tsa7	结～
扑	pʰu1	
扒	ɓa2	
打	ta3	
托	tʰo1	
扚	tiɤ3	踹，《广韵》上声都了切:～去
扛	kʰɔ̃2	
扛	tsɤ7	
扣	tɕʰiɤ5-	～子
扣	kʰɤ5=	
扦	tɕʰiɛ̃1	～子，用来插在蔬菜旁边让其攀爬的有枝桠的树干
執	sɿ7	
擴	kʰo5	
掃	sɔ3	～地
掃	sɔ5	～把
揚	yɔ̃2	
扭	iəu3	
扮	pã5	
扯	tɕʰya3	
擾	ʑiɤ3	
扳	pã1	
扶	vu2	
扷	ɔ1-	量，《集韵》去声号韵於到切：量也
扷	ɔ5=	
批	pʰi1	
找	tsɔ3	
承	ʑin2-	
承	zən2=	
技	ʑi5	
抄	tsʰɔ1	
抈	yɛ3	～嘴:嘟着嘴
把	pa3	
把	pa5	刀～
抑	i5	
抒	ɕy1	
抓	ya3-	
抓	ya7	～痒：挠痒
抓	tsa1=	
投	ɗiɤ2	
抖	tiɤ3	
抗	kʰɔ̃5	
折	tsɤ1	～纸
折	sɤ5	～本
折	tsɤ7	打～
撫	vu3	
抛	pʰɔ1	
搶	tɕʰiã3	
護	vu5-	
護	fu5=	
報	pɔ5	
披	pʰi1	
抬	ɗɤ2-	
抬	ɗæ2=	
抱	pən7-	
抱	pɔ7	
抵	ti3	
抹	ma1	～布
押	ia7	
抽	tɕʰiəu1	
抿	min3	
拄	tɕy3	
擔	tã1	～任
擔	tã5	挑～
拆	tsʰa1	～开
拇	mo3	
拈	lã1	
拉	la1	
拌	ɓɔ̃1-	
拌	pɔ̃5=	
拍	pʰa1-	
拐	kuæ7-	扭动身体
拐	kuæ3	
拐	kuæ3=	～弯
拒	tɕy5	
拔	pa7	
拖	tʰo1	
拗	ɔ5	山～
拘	tɕy1	
拙	tso7	
招	tɕiɤ1	
拜	pæ5	
擬	li3	
擬	i3	
攏	lən3	
擁	yən3	
攔	lã2	
撥	po7	
擇	tsʰa5-	挑选,～菜
擇	tɕʰiɛ7-	
擇	tsʰɤ5=	选～
括	kua7-	
括	kʰo5	
拯	tɕin3-	
拯	tsən3	
拱	kən3	
拳	ʑyɛ̃2	
拴	sɔ̃1	
拼	pʰin1	
拾	sɿ7	
拿	la2	
持	zɿ2	
挂	kua5	
指	lo2	
指	tsɿ3	
按	iɛ̃3-	
按	ã5	
挏	ɗən2	套，《集韵》平声东韵徒东切:推复引也
挑	tʰiɤ1	
挖	ua1	
掗	ia7	强迫
挾	ʑiɛ2	要～
擋	tɔ̃5-	
擋	tɔ̃3=	
擠	tɕi3	
揮	fɤ1	
挨	æ1	～近
挪	lo2	
挫	tsʰo2	
振	tɕin5-	
振	tsən5=	
挺	tʰiã3-	
挺	tʰin3=	
挽	uã3	
捅	tʰən3	
捆	kʰuən3	
捉	tso1	
捋	la5-	～袖子
捍	ɣã5	
捎	ɕiɤ1	
捏	lia5	～白:撒谎
捐	tɕyɛ̃1	
捕	pʰu3	
撈	lɔ1	
損	ɕin3-	
損	sən3=	
撿	tɕiɛ̃3	
換	ɣɔ̃1-	
換	xɔ̃5=	
捧	pʰən3	
据	tɕy5	
捱	æ2	～打
捶	ʑy2-	
捶	zɤ2=	
捷	tɕiɛ7	
捺	la7	
掀	ɕiɛ̃1	
掇	to1	
授	ʑiəu5	
掉	tiɤ5	
掌	tɕyɔ̃3	
掏	tʰɔ1	
掐	kʰa1	
排	ɓæ2	
掘	tɕyɛ7	
掠	liɤ5	
探	tʰã5	
接	tɕi1-	
接	tɕiɛ7=	
控	kʰən5	
推	tʰɤ1	
掩	iɛ̃3	
措	tsʰəu7-	～施
措	tsʰo7=	
掰	miɛ̃1	
摻	tsʰã1	
揉	ʑiəu2	
揍	tsəu5	
描	miɤ2	
提	ɗia2-	
提	ɗi2=	
插	tsʰa1	
握	u7-	
握	o5=	
揢	kʰɤ7	夹住
揩	kʰæ1	
揭	tɕiɛ7-	
揭	kɤ1-	
揭	tɕiɛ1=	
援	̃yɛ̃7-	攀～
援	̃yɛ̃2=	救～
揾	uən5	淹,《集韵》去声慁韵乌困切,《说文》没也
撳	tsʰən3-	按
撳	ɕyɛ̃5	扔掉
撳	tɕʰin3=	按
攙	tsʰã1	
摟	liɤ3	
攪	kɔ1-	
攪	tɕiɤ3=	
搏	po7	
搓	tsʰo1	
搜	ɕiɤ1	
搞	kɔ3	
搡	sən3	猛推
搣	miɛ̃1	用手指捻搓;拧，《广韵》入声韵之列切:拔也，又摩也，批也，摔也
搧	sã1	
搬	pɔ̃1	
搭	ta1	
搲	uã3	用勺瓢等取物
携	ʑiɛ2	
攝	sɤ5	
摆	pæ3	
摇	iɤ2	
攤	tʰã1	
摒	pin3	
摔	sæ1	
摘	tsa1	
摛	tsʰɿ1	伸;～手～脚[动手动脚
摣	tsa1	用手取物:～牌《集韵》平声,麻韵,庄加切。《说文》又取也
摧	tsʰɤ1	
摩	mo2	
摸	mɔ̃7-	
摸	mo7=	
摺	tsɤ1	～叠
撅	kʰuæ3	～断:折断
撇	piɛ7	
撑	tsʰən1	
撒	sa3	
撕	sɿ1	
撚	iɛ̃3	
撞	tsʰɔ̃3	
撤	tsʰɤ7	
撩	liɤ1	
撩	liɤ2	开玩笑
撬	tɕʰiɤ1	～开
播	po7	
撮	tsʰo1	
撼	ɣã5	
擀	kã3	～面
擂	lɤ2	～碎:碾碎
操	tsʰɔ1	
擎	ʑin2	
擒	ʑin2	
擘	ɓa3	～开:把脚跨开
擤	ɕiɛ̃5	
擦	tsʰa1	
攀	pʰã1	
攎	ləu2	收到一起;抱
攢	tsã3	
支	tsɿ1	
支	tsʰɿ1	
收	ɕiəu1	
改	kæ3	
攻	kən1	
放	xɔ̃5	
政	tɕin5-	
政	tsən5	
故	ku5	
效	ʑiɤ5	
敵	ti7	
敏	min3	
救	tɕiəu5	
教	kɔ5-	～书
教	tɕiɤ5	～育
斂	liɛ̃3	
敞	tɕʰyɔ̃3	
敢	kã3	
散	sã3	分～
散	sã5	施舍
敥	i1	撒:～灰，《集韵》去声艳韵，以赡切:以手散物
敦	tin1	～固
敦	tin5	竖：～起放
敬	ʑin5	
數	səu3	动词
數	səu5	名词
敲	kʰɔ1-	
敲	tɕʰiɤ1=	
整	lɔ̃2	
整	tsən3	
敷	fu1	
文	vən2-	
文	uən2=	
斋	tsæ1	
斌	pin1	
斑	pã1	
斗	tiɤ3	量词
斗	tiɤ5	决～
料	liɤ1-	
料	liɤ5=	
斜	ʑia2	
斤	tɕin1	
斥	tsʰɿ5	
斧	fu3	
斬	tsã3	
斫	tɕyo5	
斷	ɗɔ̃3-	～了
斷	ɗɔ̃5=	～绝
斯	sɿ1	
新	ɕin1	
方	xɔ̃1	
施	sɿ1	
旁	ɓɔ̃2	
旅	liəu3	
旋	ʑyɛ̃2	
族	tsʰəu7	
旗	ʑi2	
无	u2	
既	tɕi5	
日	n1	～头:太阳
日	zɿ7=	～子，～期
旦	tã5	
舊	ʑiəu1-	
舊	ʑiəu5=	
旨	tsɿ3	
早	tsɔ3	
旬	ʑyən2	
旱	ɣã5	
時	zɿ2	
曠	kʰɔ̃5	
旺	ɔ̃5	
昂	ɔ̃2	
昆	kʰuən1	
昌	tɕʰyɔ̃1	
明	miã2-	
明	min2=	
昏	fən1	
易	i1-	～得
易	i5	交～
易	i5=	难～
昔	ɕi1	
星	ɕiã1-	
星	ɕin1=	
映	in5	
春	tɕʰyən1	
昧	mɤ5	
昨	tsʰo5	
昭	tɕiɤ1	
是	zɿ3	
晝	tɕiəu5	
顯	ɕiɛ̃3	
晃	xɔ̃3	～眼
晉	tɕin5	
晌	ɕyɔ̃3	
晏	ã5	
曬	sæ5	
曉	ɕiɤ3	
暈	uən1	
晚	mã3-	～饭
晚	mã3	排行最末的，最小的,～崽
晚	uã3	
晦	vɤ5	
晨	ʑin2-	
晨	zən2=	
普	pʰia1	
普	pʰu3	
景	tɕin3	
晶	tɕin1	
智	tsɿ5	
晾	liã5	
暫	zã5	
暇	ʑia2	
暑	ɕy3	
暖	lɔ̃3	
暗	ã5	
暮	mo5	
暴	pʰɔ5	
曆	li5	
曝	pʰɔ5	
曰	yɛ7	
曲	tɕʰin3	
曲	tɕʰiəu7	歌～
曲	tɕʰy3=	～折
更	kən1	～正
更	tsiɛ̃1	五～
更	kən5	～加
曹	zɔ2	
曾	tsiɛ̃1	姓
曾	zən2	～经
替	tʰi5	
最	tsɤ5	
月	miɛ̃5-	～光
月	yɛ7=	
有	iəu3	
朋	ɓən2	
服	fu7	
朔	so7	
朗	lɔ̃3	
望	mɔ̃1-	
望	ɔ̃5=	
朝	tɕiɤ1	今～
朝	ʑiɤ2	～代
期	ʑi2	时～
朥	lɔ1	～气
朦	mən2	
木	mo1-	
木	mo7=	
未	uɤ1	
末	mo7	
本	pin3-	
本	pən3=	
札	tsa7	
术	ɕy5	
朱	tɕy1	
朴	pʰu3	
朵	to7-	
朵	to3=	
機	tɕi1	
朽	ɕiəu3	
殺	sa7-	～手
殺	sa1=	
雜	tsa7	
權	ʑyɛ̃2	
杆	kã3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	ɕin5	
材	zæ2	
村	tsʰən1	
杖	tɕyɔ̃5	
杜	ɗəu5	
杞	tɕi3	
束	tɕʰiəu7	
杠	kɔ̃5	
條	ɗiɤ2	
來	lɤ2-	
來	læ2=	
楊	yɔ̃2	
杭	ɣɔ̃2	
杯	pɤ1	
杰	tɕʰiɛ7	
杳	iɤ3	
杷	pʰa1	
松	zən2-	～树
松	sən1	～动
松	sən1=	～柏树:松树
板	pã7-	
板	pã3=	黑～
極	tɕi7	
構	kɤ5	
枇	ɓi2	
枉	ɔ̃3	
析	ɕi7	
枕	tɕin3-	
枕	tsən3=	
林	lin2	
枚	mɤ2	
果	ko3	
枝	tsɿ1	
樞	tɕʰy1	
棗	tsɔ3	
槍	tɕʰiã1	
楓	fən1	
枯	kʰu1	
架	ka5-	
架	tɕia5=	
枸	tɕiɤ3	
柄	pin3	
某	miɤ3-	
某	mo3=	
柑	kã1	
染	ʑyɛ̃3	
柔	ʑiəu2	
柚	iəu5	
櫃	kʰuɤ5-	
櫃	kuɤ5=	
柞	tsa5	
查	za2	
柩	tɕiəu5	
柱	ʑy3	
柳	liəu3	
柴	zæ2	
柿	sɿ5	
梔	tsɿ1	
柵	tsa5	～栏
標	piɤ1	
棧	tsã5	
棟	tən5	
欄	lã2	
樹	ʑy1-	
樹	ʑy5=	
栗	li5	
校	ʑiɤ5	
株	tɕy1	
樣	yɔ̃1	模～
樣	yɔ̃5=	～子
核	xɤ7	审～
核	xɤ7	～桃
根	tsiɛ̃1-	
根	kən1	
格	tɕiɛ7-	
格	kɤ7=	
栽	tsɤ1	
桂	kuɤ5	
桃	ɗɔ7-	单独用
桃	ɗɔ2=	～子
框	tɕʰiã1	
框	kʰɔ̃1=	
案	ã5	
桌	tso1	
桑	sɔ̃1	
桓	lɔ̃2	
桔	tɕy7	
橋	ʑiɤ2	
槳	tɕiã3	
樁	tsɔ̃1	
桶	tʰən3	
梁	liã2	
梅	mɤ2	
梓	tsɿ3	
梢	ɕiɤ1	
夢	mən1-	
夢	mən5=	
梧	u2	
梨	li2	
梭	so1	织布～
梯	tʰi1	
械	kæ5	
梳	səu1	
檢	tɕiɛ̃3	
棉	miɛ̃2	
棋	ʑi2	
棍	kuən5	
棒	pɔ̃7-	
棒	pɔ̃5=	
棕	tsən1	
棚	ɓən2	
棠	ɗɔ̃2	
森	ɕiɛ̃1-	
森	sən1=	
棺	kɔ̃1	
椅	i3	
植	tsʰɿ7	
椒	tɕiɤ1	
橢	tʰo3	
椰	iɛ1	
椽	ʑyɛ̃2	
椿	tɕʰyən1	
楂	tsa1	～袖子
楚	tsʰəu3	
楷	kʰæ3	
樓	liɤ2	
概	kʰæ5	
欖	lã3	
榆	y2	
榖	ku1	
榜	pɔ̃3	
榨	tsa5	
榴	liəu3	石～
榷	tɕʰyo7	
槐	væ2	
檻	kʰã3	
檳	pin1	
槽	zɔ2	
樟	tɕyɔ̃1	
模	mo2	～子
模	mo2	～范
橫	vən2-	
橫	ɣən2=	
櫻	in1	
樵	ʑiɤ2	
橄	kã3	
橘	tɕy7	
橙	ʑin2-	
橙	zən2=	
橡	ɕiã5	
櫓	ləu3	
檀	ɗà2	
檐	iɛ̃2	
檬	mən2	
欛	pa5	
欠	tɕʰiɛ̃5	
次	tsʰɿ5	
歡	xɔ̃1	
欣	ɕin1	
歐	o1	
欲	iəu7-	
欲	y5=	
欺	tɕʰi1	
欽	tɕʰin3	
款	kʰɔ̃3	
歉	tɕʰiɛ̃5	
歌	ko1	
止	tsɿ3	
正	tɕin5-	
正	tɕiã1	～月
正	tsən5	
正	tɕʰiã5	
此	tsʰɿ3	
步	vu1-	
步	ɓu1=	
武	vu3-	
武	u3=	
歧	ʑi2	
歪	uæ1	
死	sɿ3	
殲	tɕʰiɛ̃1	
殃	yɔ̃1	
殆	ɗæ5	
殊	ʑy2	
殘	zã2	
殖	tsʰɿ7	
殯	pin1	
毆	o1	
段	ɗɔ̃2-	姓
段	ɗɔ̃5=	
殷	in1	
殿	ɗiɛ̃5	
毁	fɤ3	
毅	i5	
母	mo3	
每	mɤ3	
毒	təu5-	
毒	təu7=	
比	pi3	～较
畢	pi7	
斃	ɓi5-	
斃	pi5=	
毛	mɔ7-	
毛	mɔ2=	
毫	ɣɔ2	
毯	tʰã3	
毽	tɕiɛ̃5	
氏	sɿ5	
民	min2	
气	tɕʰi5	
氫	tɕʰin1	
氧	yɔ̃3	
氨	ã1	
氮	ɗã3	
水	ɕy3-	
水	sɤ3=	
永	yən3	
氹	ɗɔ̃3	水～;水坑
汁	tsɿ1	
求	ʑiəu2	
汇	vɤ5	
漢	xã5	
汗	ɣã1-	
汗	ɣã5=	
汞	kən3	
江	tɕiã1	
池	zɿ2	
污	u1	
湯	tʰɔ̃1	
汪	ɔ̃1	
汲	tɕi7	
汹	ɕyən1	
汽	tɕʰi5	
沃	u5-	
沃	o5=	
沈	ɕin3-	
沈	sən3=	
沉	ʑin2-	
沉	zən2=	
沓	tʰa7	一～纸
沙	sa1	
沛	pʰɤ5	
溝	tɕiɤ1	
沒	mɤ7	～有
淪	lin2-	
淪	lan2=	
滬	vu5	
沫	mo5	
沰	ɗo7	用于指糊状体或成团的量词《集韵》入声铎韵当各切:滴也
河	ɣo2	
油	iəu7-	
油	iəu2=	
治	zɿ5	
沼	tsɔ3	
沾	tsã1	
沿	̃yɛ̃2	
泄	ɕiɛ5	
泅	ʑiəu2	
泉	ʑyɛ̃2	
泊	po7	梁山～
泌	ɓi5	
法	fa7-	方～
法	fa3=	方～
泛	fã5	
泡	pʰɔ3	灯～
泡	pʰɔ7	～在水里
波	po1	
泣	tɕʰi5	
泥	lin2-	
泥	li2=	
注	tɕy5	
淚	li5-	
淚	lɤ5=	
泰	tʰæ5	
泳	yən3	
瀉	ɕiɛ5	
潑	pʰo1	
澤	tɕʰiɛ7-	
澤	tsʰɤ7=	
潔	tɕiɛ7	
洋	yɔ̃2	
洒	sa3	
洗	ɕi3	
洛	lo7	
洞	ɗən5	
津	tɕin1	
洪	ɣən2	
洲	tɕiəu1	
活	xo7	
洼	ua1	
洽	tɕʰia7	
派	ɓæ5	
流	liəu2	
淺	tɕʰiɛ̃7-	
淺	tɕʰiɛ̃3=	
漿	tɕiã1	
澆	tɕiɤ1	
濁	tsʰo5	瓜～:浑浊
測	tɕʰiɛ7-	
測	tsʰɤ7=	
濟	tɕi3	～南
濟	tɕi5	数～
滸	fu3	水～
濃	yən2-	
濃	lan2=	
浙	tsɤ7	
浦	pʰu3	
浩	ɣɔ5	
浪	lɔ̃5	
浮	ɓɔ2-	
浮	vu2=	
浴	iəu7-	
浴	y5=	
海	xæ3	
浸	tɕin5	
涂	ɗəu2	
消	ɕiɤ1	
涉	sɤ5	
涌	yən3	
涕	ɗiɤ5	鼻～
濤	tʰɔ1	
澇	lɔ5	旱～
漣	liɛ̃2	
渙	xɔ̃5	
潤	ʑyən5	
潤	yən5=	
漲	tɕyɔ̃3	
澀	sɤ5	
涯	ia2	
液	iɛ7	
涵	ɣã2	
淆	ʑiɤ2	
淋	lin2	
淑	ɕiəu7	
淘	ɗɔ2	
淡	ɗã3	
淤	y1	
淫	in2	
淮	væ2	
深	ɕin1-	
深	sən1=	
混	vən5	
淹	iɛ̃1	
添	tʰiɛ̃1	
清	tɕʰiã1-	
清	tɕʰin7	水冷
清	tɕʰin1=	
淵	̃yɛ̃1	
漸	tɕiɛ̃5	
漁	y2	
滲	tɕʰiã3	水～透
渠	ʑy2	
渠	tɕi3	第三人称他她
渡	ɗəu5	
渣	tsa1	
渤	po7	
溫	uən1	
港	kɔ̃3	
渴	kʰo3	
游	iəu2	
渺	miɤ3	
湉	ɗiɛ̃2	
湖	vu2	
湘	ɕiã1	
灣	uã1	
溼	sɿ1	
潰	kʰuɤ5	
濺	tɕiɛ̃5	
溉	kʰæ5	
源	̃yɛ̃2	
溜	liəu1	
溪	ɕi1	
溶	yən2	
滂	ɓɔ̃2	
滋	tsɿ1	
滑	ua7	
滓	tsɿ3	
滔	tʰɔ1	
滗	pi5	～米汤,《广韵》入声韵，鄙密切:去滓
滾	kuən3	
滯	tsɿ5	
滿	mɔ̃3	
濾	liəu5	
濫	lã5	
濱	pin1	
灘	tʰã1	
滴	tia5-	动词
滴	ti1=	量词
漂	pʰiɤ1	～流
漂	pʰiɤ3	～白
漂	pʰiɤ5	～亮
漆	tɕʰi1	
漏	liɤ1-	
漏	liɤ5=	
演	iɛ̃3	
漫	mã5	
漱	səu5	～口
漾	tɕʰiã5	
漾	iã5	～脑壳:摇头
潘	pʰɔ̃1	
潛	ʑiɛ̃2	
潦	liɤ2	
潭	ɗà2	
潮	ʑiɤ2	
潲	sɔ5	猪～,猪食
澄	ʑin2-	
澄	zən2=	
澈	tsʰɤ5	
瀾	lã2	
澡	tsɔ3	
澳	ɔ5	
激	tɕi1	
瀑	pʰu5	～布
瀚	xã5	
灌	kɔ̃5	
火	xo3	
滅	mɤ7	
燈	tiɛ̃1-	
燈	tən1=	
灰	fɤ1	
靈	lin2	
竈	tsɔ5	
灸	tɕiəu3	
災	tsɤ1-	
災	tsæ1=	
燦	tsʰã5	
爐	ləu2	
炊	tsʰɤ1	
炎	iɛ̃2	
炒	tsʰɔ3	
炕	kʰɔ̃5	
炖	tən5	
炙	tɕya1-	～火:烤火
炙	tsɿ5=	快～人口
熗	tsʰən5	～水
炭	tʰã5	
炮	pʰɔ5	
炯	tɕyən3	
炸	tsa5	
點	tiɛ̃3	
炼	liɛ̃5	
爍	ɕyo7	
爛	lã1-	
爛	lã5=	
烈	lɤ7-	
烈	liɛ7=	
烘	xən1	
烙	lo1	
燭	tɕiəu5	
烟	iɛ̃1	
烤	kʰɔ3	
煩	fã1-	
煩	vã2=	
燒	ɕiɤ1	
燙	tʰɔ̃5	
熱	iɛ̃5-	
熱	zɤ7=	～闹
烹	pʰən1	
焉	iɛ̃1	
焊	ɣã5	
煥	xɔ̃5	
燜	mən1	
焙	ɓɤ2	
焚	vən2	
焦	tɕiɤ1	
焮	ɕin5	重新加热饭菜
焯	tɕʰyo1	把菜放在开水里烫
焰	iɛ̃5	
然	iɛ̃2	
煎	tɕiɛ̃5-	～药
煎	tsiɛ̃1	
煎	tsiɛ̃1=	
煔	xã1	用小火焖食物，《广韵》平声谈韵胡甘切;火上行貌
煞	sa1	～尾
煤	mɤ2	
照	tɕiɤ5	
煨	uɤ1	
煮	tɕy3	
熄	ɕi7	
熊	ʑyən2	
熏	ɕyən1	
熔	yən2	
熙	ɕi1	
熟	ɕiəu5	
熨	yən5	
熬	ɔ2	
燃	iɛ̃2	
燎	liɤ2	
燐	lin2	
燕	ɤ5-	
燕	iɛ̃5=	
燥	tsʰɔ5	
爆	pʰɔ5	
爊	ɔ1	～白菜
爪	tsɔ7-	～子
爪	tsɔ3=	～子
爬	la2-	
爬	ɓa2=	
愛	æ5	
父	vu5	
爺	ia2-	
爺	iɛ2=	
爸	pa1	
爹	ti1	
片	piɛ̃5	
版	pã3	
牌	ɓæ2	
牙	a2-	
牙	ia2=	
牛	in2-	
牛	iəu2=	
牡	miɤ3-	
牡	mo3=	
牢	lɔ2	
牧	mo5	
物	u5	
牲	ɕiɛ̃1-	
牲	sən1=	
牽	tɕʰiɛ̃1	
特	tʰɤ7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犒	kʰɔ5	
犟	tɕiã5	
犬	tɕʰyɛ̃3	
犯	vã5	
狀	zɔ̃1-	告～
狀	zɔ̃5=	～况
猶	iəu2	
狂	ɣɔ̃2	
狄	ti7	
狐	vu2	
狗	tɕiɤ3-	
狗	kɤ3=	
狠	xən3	
狡	tɕiɤ3	
獨	tʰəu5-	
獨	təu7=	
狹	xa5-	
狹	ɕia7=	
獅	sɿ1	
獄	iəu7-	
獄	y5=	
狸	li2	
狼	lɔ̃2	
獵	lɤ7	
猛	mən3	
猜	tsʰæ1	
猝	tsʰəu7	仓～
猥	uɤ3	
豬	tɕy1	
貓	mɔ̃1-	
