#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
善	ʑiẽ6	(文)]膳縣[(文)]鱔[(文)
喇	la3	～叭
喉	ɣau2	(白)
喉	ɣəu2	(文)
喊	xa3	(白)
喊	xan3	(文)
喘	tsʰuai3	
喚	fe5	(白)
喚	fan5	(文)]煥[(文)]販[(文)
喜	ʃi3	
喝	xo1	(文)
喝	fu7	(白)]勿[(白)]蠚[(白)蜂子～人
喧	ɕyẽ1	
喪	saŋ5	(白)婚～；～失
喪	suaŋ5	(文)婚～；～失
喫	tʃʰi1	
單	tan1	(文)
喻	y5	
嗅	ɕyŋ5	(白)～一～：聞一聞
嗇	sai7	(白)～家婆：吝嗇鬼
嗉	ɕiəu5	～袋：鳥嗉子
嗓	suaŋ3	
嗜	zɿ6	
嗝	ke2	(文)
嗣	zɿ2	
嗤	tsʰɿ1	
嗤	tʃʰi1	
嘔	ŋau3	(白)
嘔	ŋəu3	(文)
嘗	dʑiũ2	(白)
嘗	ʑiũ2	(白)
嘗	dʑiaŋ2	(文)
嘮	lau2	
嘴	tsuei3	(文)
噓	ɕy1	
噴	pʰən5	(白)～香
噴	fən5	～水
噴	pʰaŋ5	(白)～香
噴	faŋ5	(白)]糞[(白)]放[(文)
嚇	xe2	(文)
嚇	xo7	～一跳
嚥	iẽ5	
嚨	luŋ2	
嚴	ȵiẽ2	
嚷	ɕiaŋ3	
嚼	ʑiau6	(白)
囂	ɕiau1	
囑	tsu1	
囚	dʑiəu2	
四	sɿ5	
回	ue2	(白)
回	uei2	(文)]茴危爲[作～；～麼个：爲什麼]維[(文)
因	in1	
囤	dən2	
囪	tsʰuŋ1	
困	kʰuən5	
圈	tɕʰye1	(白)
圈	tɕʰyẽ1	
國	kue2	
圍	y2	(白)～裙
圍	uei2	(文)
園	yẽ2	(文)
團	due2	
團	duan2	(文)
圞	lue2	糾～：很圓
土	tʰu3	(文)
土	tʰəu3	(白)
在	dza3	(白)
在	dzai6	(文)
圭	kuei1	
地	die6	
地	dio6	(白)
址	tsɿ3	
均	tɕyn1	(文)
均	tɕyŋ1	(白)]中[(白)]弓[(白)～起腰子
坍	tʰan1	
坎	kʰan1	
坐	dzu3	(白)
坐	dzo6	(文)
坑	kʰən1	(文)
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坯	pʰei1	
坳	ŋau5	山～
型	in2	
垮	kʰua3	
埃	ŋai2	
埋	ma2	(白)
埋	mai2	(文)
城	dʑin2	
域	y2	
埠	bəu6	
執	tʃi1	
培	bei2	
基	tɕie1	(白)]焦[(白)]蕉[(白)
堂	duŋ2	(白)]唐[(白)]糖[(白)
堂	daŋ2	(文)]棠螳唐[(文)]糖[(文)
堅	tɕiẽ1	
堆	tuei1	
堤	di2	
堪	kʰan1	
堯	ȵiau2	
堰	iẽ3	
報	pei5	(白)]簸[～箕]掭[(訓讀)～(筆)
報	pau5	(文)]豹[(文)]凸[(訓讀)
場	dʑiaŋ2	
堵	tu3	(文)]賭[(文)]肚[(文)
塊	kʰuai3	(文)
塊	kʰua5	(白)量詞：一～磚]快[(白)]胯[(文)～骨
塋	yn2	
塌	tʰo7	(白)
塍	dʑyn2	
塑	su5	
塔	tʰa1	(文)]塌[(文)]榻灘[(白)
塘	duŋ2	(白)]同銅桐[(文)]筒[(文)
塘	daŋ2	(文)]藤[(白)]桐[(白)
塞	se2	(文)]色[(文)]嗇[(文)
塢	u1	
填	diẽ2	
境	tɕin5	
墊	diẽ6	(文)
墓	mu5	
墓	m̩5	
墜	zuei6	
墟	ɕy1	
墨	mai7	(白)]篾[(白)]那[(訓讀)～個，～隻
墩	tən1	
墳	vən2	
墻	dʑiũ2	(白)
墻	dʑiaŋ2	(文)]詳祥長[(文)]腸[(文)
墾	kʰən3	
壁	pi1	(文)
壁	pio7	(白)
壋	tuŋ5	地方
壓	ʑia1	(文)
壓	ʑia7	(白)
壕	ɣau2	
壘	luei3	
壞	ua5	(白)]畫[(文)]話[(文)
壞	uai5	(文)
壠	luŋ3	
壤	ɕiaŋ3	
士	zɿ6	
壬	ʑin2	
壯	tsuŋ5	(白)
壯	tsuaŋ5	(文)
壺	vu2	
壻	ɕy5	
壽	ʑiəu6	
夏	ʑia6	姓
夕	ʃi1	
外	uai5	(文)
外	uei5	(白)～婆
多	tu1	(白)
多	to1	(文)]擔[(白)挑]掇[拿：～不動；把：～門關上；用：～鉛筆寫
夜	ie5	(文)
夜	io5	(白)
夠	kəu5	
夢	maŋ2	～夢：做夢
夢	muŋ5	(文)
夢	maŋ5	(白)
夥	fu3	
大	da6	
天	tʰiẽ1	(文)
太	tʰai5	
夫	fu1	
夯	xan1	
夷	i2	
夾	ka7	(白)～倒：夾著
奈	na5	
奈	lai5	(文)
奉	buŋ6	
奎	kuei1	
奏	tsəu5	
奔	pən1	
套	tʰau5	
奠	diẽ6	
奢	ɕie1	
奧	ŋau5	
奩	liẽ2	
奮	fən5	
女	ȵy3	(文)
女	ȵiəu3	(白)
奶	nan1	～～：祖母
奶	na3	～水
奶	lai3	(文)
奸	kan1	
好	xei3	(白)
好	xau3	(文)
好	xau5	愛好]號[～數]孝[帶～
妃	fei1	
妄	baŋ6	
妒	tu5	
妓	dʒi6	
妖	iau1	
妙	miau5	
妝	tsuaŋ1	
妥	tʰo3	
妨	faŋ1	
妹	mei5	
妻	tʃʰi1	
姊	tsɿ3	
始	sɿ3	
姐	tɕio3	(白)]井[(白)]整[(白)
姓	ɕin5	(文)
委	uei3	
姘	pʰin5	
姚	iau2	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
娛	y2	
娠	ʑin2	
娭	ŋa1	～毑：母親
娶	dʑy6	
婆	bu2	
婚	fən1	
婦	vu6	
媒	mei2	
媽	ma1	
嫁	ko5	
嫂	sau3	
嫌	dʑiẽ2	(文)]乾[～坤]虔單[姓
嫖	biau2	
嫩	lən5	(文)
嫩	nuŋ5	(白)
嬉	ʃi3	
嬌	tɕiau1	
嬰	in1	
嬸	ʃi3	(白)～～
嬸	ɕin3	(文)
孀	suaŋ1	
孃	ȵiũ2	(白)
孃	ȵiaŋ2	(文)
子	tsɿ3	
子	tsai3	(訓讀)別～：簪子
孔	kʰuŋ3	
孕	yn5	
字	dzɿ6	
存	zən2	
孝	ɕiau5	(文)]酵[(文)]笑[(文)
孟	muŋ5	
孩	ɣai2	
孫	so1	外～
孫	sən1	(文)]生[(文)]牲[(文)
