#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
蹤	tsuŋ5	
蹲	tsau1	(訓讀)
蹲	tsəu1	(訓讀)
蹲	tsən1	(文)]遵曾[(文)姓]增僧爭[(文)
蹺	tiau1	(訓讀)～二馬腳：蹺二郎腿
躁	tsau5	
躡	ȵie2	
身	ɕin1	
躲	tu3	
躺	tʰaŋ3	
車	tɕʰie1	(文)]繰[(白)]籤[(白)
車	tɕʰio1	(白)]卿[(白)姓]清[(白)
車	tiəu1	～馬炮
軋	tsa5	(文)
軋	ŋa7	(白)～棉花
軌	kuei3	
軍	tɕyn1	
軒	ɕyẽ1	
軛	o1	
軟	ȵye3	(白)
軟	ʑyẽ3	(文)
軸	tsʰu5	
載	tsai5	年～；～重；滿～
輔	pʰu3	
輕	tɕʰio1	(白)
輕	tɕʰin1	(文)
輛	liũ3	(白)
輛	liaŋ3	(文)
輜	tsɿ1	
輝	fei1	
輦	liẽ3	
輩	pei5	
輪	lən2	
輯	tʃi1	
輸	ɕy1	
轄	ɕia1	
轅	yẽ2	
轉	tɕye3	(白)掉～來
轉	tɕyẽ3	(文)
轉	tye5	(白)眼珠子亂～
轉	tɕyẽ5	(文)
轎	dʑie6	
轎	dʑiau6	(文)
轟	xuŋ1	
轡	pʰei5	
辛	ɕin1	
辣	la7	
辦	ban6	
辨	biẽ6	
辭	zɿ2	
辮	piẽ1	(白)
辮	biẽ6	(文)
辯	biẽ6	
辰	ʑin2	
辱	zu2	
農	luŋ2	
迂	y2	
迄	tʃʰi2	
迅	ɕin5	
迎	ȵin2	
近	dʑin3	(白)
近	dʑin6	(文)
迥	ɕyn3	
迫	pʰe2	
迷	mi2	
迸	pən5	
追	tsuei1	
退	tʰuei5	
送	suŋ5	(文)
送	saŋ5	(白)
逆	ȵi5	
透	tʰau5	(白)
透	tʰəu5	(文)
逐	dzu2	
逐	zu2	
途	du2	(文)]塗[(文)]圖[(文)
逗	təu1	(文)
這	e1	(訓讀)～個
通	tʰuŋ1	
逛	ɡuaŋ2	
逝	dzɿ6	
逝	dʒi6	(文)
造	tsʰau5	
逢	buŋ2	
進	tɕin5	
逵	ɡuei2	
逸	i2	
逾	y5	
遁	dən6	
遂	suei5	
遇	y5	
運	yn5	(文)
運	yŋ5	(白)
遍	pʰie5	(白)
遍	pʰiẽ5	(文)
道	dau6	
達	ta1	
遜	sən5	
遠	ye3	
遠	yẽ3	
遢	tʰa7	邋～
遣	tɕʰiẽ3	
適	ʃi1	
遭	tsau1	
遮	tɕie1	(文)]雞[(白)]箕[(白)
遮	tɕio1	(白)]精[(白)]睛[(白)
遲	di2	(白)
選	ɕye3	(白)
選	ɕyẽ3	(文)
遼	liau2	
邀	iau1	
邁	mai5	
還	ua2	(白)]環[(白)]華鏵樺懷[(白)
還	uan2	(文)
邊	pie1	(白)]逼[(文)]憋[(文)
邋	la7	～遢
那	la5	
邦	paŋ1	
邵	ɕiau5	
郁	y2	
郊	tɕiau1	
郎	luŋ2	(白)]籠[(文)]聾[(文)
郎	laŋ2	(文)]狼螂囊籠[(白)]聾[(白)
郝	xo1	
郡	dʑyn6	
部	bu6	
郭	ko1	(文)]江[(白)]角[(文)
郵	iəu2	
都	tu1	
鄂	ŋo2	
鄉	ɕiũ1	(白)
鄉	ɕiaŋ1	(文)]香[(文)]鮮[(白)新～
鄒	tsəu1	
鄙	pʰi3	
鄧	dən6	(文)
鄧	daŋ6	(白)
鄭	dʑin6	
鄰	lin2	
酉	iəu3	
酌	tɕiu7	(白)]腳[(白)]角[(白)一～錢
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酥	su1	(文)]梳[(文)]疏蔬筲速[(文)
酪	lo2	
酬	dʑiəu2	
酷	kʰu1	
酸	sue1	
醇	dʑyn2	
醉	tɕy5	(白)
醉	tsuei5	(文)
醋	tsʰu5	
醋	tsʰəu5	(白)
醒	ɕin3	(文)
醜	tɕʰiəu3	
醫	i1	
醬	tɕiũ5	(白)
釀	ȵiũ5	(白)
釀	ȵiaŋ5	(文)
釁	ɕin5	
釅	ȵiẽ5	
釉	iəu5	
釋	ʃi1	
里	li3	
重	dzuŋ2	～複
重	din3	(白)輕～
重	dzuŋ6	(文)輕～
野	io3	(白)]影[(白)]也[(白)
量	liaŋ5	
金	tɕin1	
釘	tio1	(白)
釘	tin1	(文)]靪疔[(文)]汀中[(白)～間
釘	tio5	(白)
釘	tin5	(文)～住
釜	fu3	
針	tɕin1	
釣	tie5	(白)]吊[(白)]店[(白)
釣	tiau5	(文)]吊[(文)]掉[(文)
釵	tsʰai1	
鈀	ba2	(文)]排[(白)]牌[(白)
鈍	dən6	
鈔	tsʰau1	
鈞	tɕyn1	
鈴	lio2	(白)
鈴	lin2	(文)
鉋	bau6	
鉗	dʑiẽ2	
鉛	yẽ2	
鉢	pa7	(白)
鉸	tɕiau3	
銀	lin2	(訓讀)～丫子：銀杏
銀	in2	
銃	tɕʰyŋ5	(白)
銘	min2	
銜	ɣan2	
銬	kʰau5	
銲	ɣan6	
銳	duei6	
銷	ɕiau1	
銼	tsʰu5	
鋁	ly3	
鋤	dzəu2	
鋤	zəu2	
鋪	pʰu1	～路]朴樸卜撲醭仆[(文)]僕曝瀑泡[(白)～雪：鵝毛雪
鋪	pʰu5	店～]破[(白)]赴訃[(文)
鋸	ke5	
鋼	kaŋ1	
鋼	kaŋ5	
錄	lu2	
錐	tsuei1	(文)
錘	dy2	
錘	dʑy2	
錢	ʑiẽ2	(文)]纏[(文)]蟬禪然燃[(文)
錦	tɕin3	
錨	miau2	
錫	ʃi1	(文)
錫	ɕio7	(白)
錯	zu5	(白)
錶	piau3	
鍊	liẽ5	
鍛	tuan5	
鍵	tɕiẽ6	
鍾	tsuŋ1	
鎔	yŋ2	
鎖	su3	(白)
鎖	so3	(文)
鎮	tɕin5	
鏟	tsʰa3	(白)
鏟	tsʰan3	(文)
鏡	tɕin5	
鏨	dzan6	
鐘	tsuŋ1	
鐮	lie2	(白)]獵連[(白)]蓮[(白)
鐮	liẽ2	(文)]簾連[(文)]聯憐蓮[(文)
鐸	to2	(文)
鐸	tu7	(白)
鑄	tɕy5	
鑒	kan5	～定
鑥	lu3	
鑷	ȵie2	
鑽	tsue1	(白)
鑽	tsuan1	(文)動詞
鑽	tsue5	(白)木工用具
鑽	tsuan5	(文)木工用具
鑿	zo2	(文)]查[(白)]茶[(白)
鑿	zu7	(白)]濁[(白)]鐲[(白)
長	diũ2	(白)～短
長	tiũ3	(白)生～
門	mən2	(文)
門	maŋ2	(白)]蚊[(白)～子]忙芒茫虻[(文)
閂	ɕya1	(白)
閃	ɕiẽ3	(文)]染[(文)]冉險鮮[少
閉	pai5	(白)睡：朝天～(朝天睡)；～不牢(睡不着)
開	kʰai1	(文)
開	kʰuei1	(白)
閏	ʑyŋ6	(白)
閑	ɣan2	(文)
間	ka1	(白)中～
間	kan1	(文)
間	ka5	(白)～子：單間屋子
閘	tsa7	(文)]鍘[(白)]扎[(白)
関	kua1	(白)
閣	ko1	
閨	kuei1	
閩	min2	
閱	ye2	(文)]園[(白)]月[(文)
閱	ye7	(白)]月[(白)]越[(白)
閹	ie1	～割]拽煙[(白)]噎[(文)
閹	iẽ1	(文)
闊	kʰo1	(文)]豁擴搉殼[(文)]坑[(白)
闊	kʰo7	(白)]確[(白)]客[(白)
闖	tsʰuŋ3	(白)
闖	tsʰuaŋ3	(文)
關	kuan1	(文)
阜	bəu6	
阮	ɕyẽ3	
防	baŋ2	
阻	tsu3	
阻	tsəu3	
阿	o1	
附	fu5	
陌	pe2	
降	tɕiaŋ5	
限	ɣan6	
陛	bei6	～下]暴[(白)]鐾[～刀布
陝	ɕiẽ3	
陡	təu3	(文)
院	yẽ1	～子(村子)
院	ye5	(白)
院	yẽ5	(文)
陣	dʑin6	(文)
陪	bei2	
陰	in1	
陵	lin2	
陷	ɣan6	
陸	lu2	
隄	di2	
隆	luŋ2	
隊	duei6	
階	kai1	
隘	ŋai5	
際	tʃi5	
隧	suei5	
隨	zuei2	
隱	in3	
隴	luŋ3	
隻	tʃi1	(文)
雀	tɕʰiu1	
雁	ŋai5	
雁	ŋan5	
雄	yŋ2	
雅	ia3	
雌	tsɿ1	
雍	yŋ1	
雕	tie1	(白)]跌[(文)]顛[(白)
雕	tiau1	(文)
雖	suei1	
雙	suaŋ1	(文)
雜	dza1	(文)
雜	za1	(文)
雜	dzo7	(白)
雜	zo7	(白)
雞	tʃi1	(文)]稽知蜘飢饑肌機譏基[(文)]箕[(文)
難	na2	(白)
難	lan5	患～
雨	y3	
雷	luei2	
雹	pʰau5	
電	diẽ6	
需	ɕy1	
霄	ɕiau1	
震	tɕin3	
霉	mei2	
霍	xo1	
霜	suaŋ1	(文)
霞	ʑia2	
霧	vu5	
霸	pa5	
青	tɕʰio1	(白)
青	tɕʰin1	(文)
靖	ʑin6	
靜	ʑin6	
非	fei1	
靠	kʰei5	
靠	kʰau5	(文)
靡	mi3	
面	miẽ5	(文)
靥	iẽ5	
靱	ʑin6	
靴	ɕye1	(文)
鞋	ɣai2	(文)
鞍	ŋan1	(文)
鞏	kuŋ3	
鞘	tɕʰiau5	
鞭	piẽ1	(文)]編[(文)]邊[(文)
韓	ɣan2	
韭	tɕiəu3	
音	in1	
韻	yn5	(文)
韻	yŋ5	(白)
頂	tio3	(白)
頂	tin3	(文)
頃	tɕʰyn3	
項	ɣaŋ6	
順	ʑyn2	(文)]潤[(文)]閏[(文)
順	ʑyŋ6	(白)
須	ɕy1	
頌	zuŋ6	
預	y5	
頑	uan2	
頓	tən5	
頗	pʰo3	
領	lio3	(白)
領	lin3	(文)
頭	dau2	
頭	dəu2	(文)
頸	tɕio3	(白)
頻	bin2	
顆	kʰo3	
題	di2	
額	mo7	(白)～頭]麥[(白)]脈[(白)
顏	ŋan2	
願	ye5	(白)
願	yẽ5	(文)
顛	tiẽ1	(文)
類	luei5	
顯	ɕiẽ3	
顴	dʑye2	(白)]絕[(文)]穴[(文)
顴	dʑyẽ2	(文)
風	fuŋ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	(文)
食	ie7	(白)～飯
飩	dən2	
飯	va6	(白)
飲	in3	
飴	i2	
飼	zɿ2	
飽	pu3	(白)
飽	pau3	(文)
飾	ʃi1	
餃	tɕiau3	
餅	pin3	
餉	ɕiũ3	(白)
餉	ɕiaŋ3	(文)
養	iũ3	(白)
餌	ɣe3	
餐	tsʰa1	(白)
餐	tsʰan1	(文)
餓	mu5	(白)
餓	ŋu5	(白)
餓	ŋo5	(文)
餓	m̩5	(白)
餘	y2	
餚	ʑiau2	
餛	uən5	
餡	ɣan6	
館	kuan3	
餾	liəu2	
餿	sau1	(白)
餿	səu1	(文)
饅	man5	
饒	ʑiau2	
饞	dzan2	
首	ɕiəu3	
香	ɕiũ1	(白)
馬	ma3	(文)]碼[(文)]買[(白)
馬	mo3	(白)
馮	buŋ2	
駁	po1	(文)
駐	tɕy5	
駒	tɕy5	
駛	sɿ3	
駝	do2	(文)
駭	ɣai6	
駱	lo2	
騙	pʰie5	(白)
騙	pʰiẽ5	(文)
騰	dən2	
騷	sei1	(白)
騷	sau1	(文)]臊[(文)]梢捎搜[(白)
騾	lo2	
驅	tɕʰy1	
驕	tɕiau1	
驗	ȵiẽ5	
驟	zəu6	
骨	tɕy7	(白)～頭
骯	ŋaŋ1	
髒	tsaŋ1	不乾淨
髓	ɕy3	
體	tʰi3	
高	kei1	(白)
高	kau1	(文)]膏[(文)]篙羔糕膠[(白)
鬃	tsuŋ1	
鬆	suŋ1	(文)
鬆	saŋ1	(白)～手
鬏	tɕiəu1	～子：中老年婦女盤在腦後的髮結
鬚	ɕy1	
鬢	pin1	
鬥	təu5	(文)～爭
鬧	lau5	～熱：熱鬧
鬱	y2	
鬼	kuei3	(文)
魁	kʰuei1	
魂	uən2	
魄	pʰe2	
魏	y5	(白)～家村：地名
魏	uei5	(文)
魔	mo2	
魚	y2	(文)
魚	ŋe2	(白)]漁額[(文)]扼軛[(文)
魯	lu3	
鮎	ȵiẽ2	(文)
鮑	bau6	
鮮	ɕyẽ1	(文)
鯉	li3	
鯽	tʃi1	(文)]織[(文)]職戟屐[(文)
鯿	piẽ1	(文)
鰍	tɕʰiəu1	
鰓	sai1	
鰥	kuan1	
鱉	pai7	(白)]逼[(白)]憋[(白)
鱔	ʑie6	
鱔	ʑye6	
鱖	kuei5	
鱗	lin2	
鳥	tie3	(白)
鳥	ȵiau3	(文)
鳩	tɕiəu1	
鳳	vuŋ6	
鳴	min2	
鴉	ia1	(文)]丫[(文)～頭]鴨[(文)
鴉	o1	(白)
鴕	du2	(白)]徒[(文)]屠[(文)
鴨	o7	(白)
鴻	ɣuŋ2	
鴿	ku7	(白)]各[(白)]郭[(白)
鵝	m̩2	(白)]蛾[(白)]蜈[(白)
鵡	u3	
鵲	tɕʰio2	(文)]雀[(文)]卻確[(文)
鵲	tɕʰio7	(白)]赤[(白)]尺[(白)
鶯	yn2	
鶴	xo1	
鷂	iau5	
鷥	sɿ1	鷺～
鷹	in1	
鸚	in1	
鸞	luan2	
鹹	ɣo2	(白)]行[(白)走]橫[(白)～放起；～得很
鹹	ɣan2	(文)
鹽	iẽ2	(文)]閆簷[(文)]涎延[(文)
麗	li5	
麩	fu1	
麵	miẽ5	(文)
麻	ma2	(文)]痳[(文)]蟆[蛤～：青蛙
麼	mu3	～個：什麼；爲～個：爲什麼
麾	fei1	
黃	uaŋ2	
黍	ɕy3	
黑	xe1	(文)
黑	xai7	(白)
點	tie3	(白)
點	tiẽ3	(文)
黨	taŋ3	
鼎	tio3	～鍋
鼎	tin3	
鼓	ku3	
鼠	ɕy3	(文)
鼠	ɕiəu3	(白)
鼻	bi2	(文)]維[(白)]唯[(白)
鼾	xan1	
齆	uŋ5	
齈	luŋ2	(文)
齈	naŋ2	(白)～鼻子
齊	dzai2	大～家：大家
齒	tsɿ3	
龍	luŋ2	
龐	baŋ2	
龕	kʰan1	
龜	kuei1	(文)
𣭲	ɕyŋ3	
𥉻	tʃʰi5	近～眼
𥽰	mei1	～爛：(食物煮得)很爛；(衣服)很破爛
𨃅	pai1	～子：瘸子
𪐀	ȵia1	挨著：緊相～
𪐀	ȵia2	～起來
𰫏	tsʰa3	～子：穀子，子實是小米
