#漢字	音標	解釋
□	kiu3	绕线
望	muŋ5	
朝	tsʰiu2	~代
朝	tsiu1	今~
期	kʰi2	时~
木	muk7a	
未	mi5	
末	mut7b	
本	pun3	
札	tsat7b	
术	ɬɐt8	
朱	tsu1	
朴	puk7b	
朶	to3	
機	ki1	
朽	kʰiu3	
殺	sat7b	
雜	tsʰap7b	
權	kʰun2	
杆	kan3	
杈	tsʰa1	
杉	tsʰam2	
李	li3	
杏	haŋ2	
材	tsʰai2	
村	tsʰun1	
杖	tsʰiŋ5	
杜	tʰu5	
杞	ki3	
束	tsʰuk7a	
杠	kaŋ3	
條	tʰiu2	
來	lɐi2	
楊	jiŋ2	
杭	haŋ2	
杯	pui1	
杰	kʰit8	
杳	miu3	
杵	tsʰu3	
杷	pa2	
松	tsʰuŋ2	
松	ɬuŋ1	轻~
板	pan3	
極	kʰik2	
枇	pʰi2	
枇	pi3	
枉	wuŋ3	
析	ɬik7a	
枕	tsɐm3	
林	ɐm2	
枚	mui2	
果	ko3	
枝	tsi1	
樞	kʰi1	
棗	tsau3	
槍	tsʰiŋ1	
楓	fuŋ1	
枯	hu1	
架	ka3	
柄	piŋ3	
柏	pʰɛk7b	
某	mɐu3	
柑	kam1	
染	ŋim3	
柔	jɐu2	
柚	jɐu5	
櫃	kʰʷɐi5	
查	tsʰa2	
柩	kɐu5	
柬	kan3	
柱	tsʰu5	
柳	lɐu3	
柴	sai2	
柿	si5	
梔	tsi1	
栅	tsʰɛk7b	
標	piu1	
棧	tsʰin3	
棟	tuŋ3	
欄	lan2	
樹	su5	
栗	lɐt7a	
校	kau3	~对
校	kau3	上~
校	kau3	学~
株	tsu1	
樣	jiŋ5	
核	hɐt8	审~
核	wɐt8	果子~
根	kɐn1	
格	kɛk7b	
栽	tsai1	
桂	kʷɐi3	
桃	tʰau2	
桅	wɐi2	
案	an3	
桌	tsak7b	
桐	tʰuŋ2	
桑	ɬaŋ1	
桔	kɐt7a	
桔	kʷɐt7a	
椏	a1	
橈	jiu1	
橋	kʰiu2	
檜	kʰʷɐi3	
槳	tsiŋ3	
桶	tʰuŋ3	
梁	liŋ2	
梅	mui2	
梗	kʰɛŋ3	
梢	sau1	
夢	muŋ5	
梧	ŋ̍2	
梨	lɐi2	
梭	ɬo1	
梯	tʰɐi1	
械	hai5	
梳	sa1	
檢	kim3	
棉	min2	
棋	kʰi2	
棍	kʷɐn3	
棒	puŋ3	
棕	tsuŋ1	
棚	pʰɛŋ2	
棠	tʰaŋ2	
森	sɐm1	
棲	ɬɐi1	
棵	kʰo1	
棹	tsʰau5	
棺	kun1	
椅	ji3	
植	tsʰik8	
椒	tsiu1	
橢	tʰo5	
椴	tʰun5	
椽	tsʰun2	
椿	tsʰɐn1	
楂	tsa1	
楔	ɬit7b	
楚	tsʰu3	
楝	lin5	
楞	hiu1	
楞	laŋ5	
楣	mi2	
楦	ɬun1	
楷	kai1	
樓	lɐu5	
概	kʰai3	
欖	lam3	
榆	ji2	
榛	tsɐn1	
榜	poŋ3	
榨	tsa3	
榫	ɬɐn3	
榴	lɐu2	
榻	tʰap8	
槌	tsʰui1	
槐	wai2	
檳	pɐn1	
槽	tsʰau1	
樟	tsiŋ1	
模	mo1	~范
模	mu2	~子
橫	wɛŋ2	
櫻	iŋ1	
樵	tsiu1	
橄	kam3	
橙	tsʰɐn2	
橡	tsʰiŋ5	
櫓	lu3	
檀	tʰan2	
欠	him3	
次	tsʰi3	
歡	fun1	
欣	hɐm1	
歐	ou1	
欲	juk7a	
欺	hi1	
款	fun3	
歇	hit7a	
歉	him3	
歌	ko1	
止	tsi3	
正	tsiŋ3	
正	tsiŋ1	~月
此	tsʰi3	
步	pʰu5	
武	mu3	
歧	kʰi1	
歪	wai2	
死	ɬi3	
殲	tsʰim1	
殃	iŋ1	
殆	tʰai5	
殉	ɬun5	
殊	si5	
殘	tsʰan5	
殮	lim3	
殖	tsʰik8	
殯	pɐn1	
毆	ou1	
段	tʰun5	
殷	ɐn1	
殿	tʰun5	
毁	fui3	
毅	ŋɐi5	
母	mu3	
每	mui3	
毒	tʰuk8	
比	pi3	
畢	pɛk7a	
毛	mau2	
毯	tʰam3	
毯	tʰan3	
氈	tsin1	
氏	si5	
民	mɐn2	
气	hi3	
水	sui3	
永	juŋ3	
汀	tʰiŋ1	
汁	tsɐp7b	
求	kʰɐu2	
汇	hui5	
漢	han5	
汗	han5	
汞	kuŋ3	
江	koŋ1	
池	tsʰi3	
污	wu1	
湯	tʰaŋ1	
汪	wuŋ1	
汽	hi3	
沃	juk7a	
沈	sɐm3	
沉	tsʰɐm2	
沓	tʰap8	
沙	sa1	
沛	pʰui3	
溝	kɐu1	
没	mut8	
漚	ɐu3	
淪	lɐn2	
滬	fu5	
沫	mut7b	
河	ho2	
油	jɐu2	
治	tsʰi5	
沼	tsʰiu5	
沾	tsim1	
沿	jun2	
泄	ɬit8	
泅	tsʰɐu5	
泉	tsʰun2	
泊	pʰɛk7b	
泌	pei1	
法	fat7b	
泛	fan5	
泡	pʰau1	
波	po1	
泣	lɐp7a	
泥	nɐi2	
注	tsu3	
淚	lui5	
泰	tʰai3	
瀉	ɬɛ5	
潑	pʰut8	
澤	tsʰɛk8	
潔	kit7a	
洋	jiŋ2	
洒	sa3	
洗	ɬɐi3	
洛	lak7b	
洞	tʰuŋ5	
津	tsɐn1	
洪	huŋ2	
洲	tsɐu1	
活	wut8	
洼	wa1	
洽	hɐp7b	
派	pʰai3	
流	lɐu2	
淺	tsʰin3	
漿	tsiŋ1	
澆	hiu1	
濁	tsuk7b	
測	tsʰak7a	
濟	tsɐi3	
渾	wɐn5	~浊
滸	fu3	
濃	nuŋ2	
浙	tsit7a	
浦	pʰu3	
浪	laŋ5	
浮	fu2	
浴	juk7a	
海	hai3	
浸	tsɐm3	
涂	tʰu2	
消	ɬiu1	
涉	sip8	
涌	juŋ3	
涎	san2-	
涕	tʰɐi5	
濤	tʰau2	
澇	lau1	
潤	ŋiɐn5	
澗	kan3	
漲	tsiŋ3	
澀	kip8	
涯	ŋan2	
液	jɛ5	
淆	ŋau5	
淋	ɐm2	
淑	suk7b	
淘	tʰau2	
淡	tʰam5	
淤	ji1	
淫	jɐm2	
淮	wai2	
深	sɐm1	
混	kʰʷɐn3	相~
淹	ŋim3	
添	tʰim1	
清	tsʰiŋ1	
淵	jin1	
漸	tsʰim5	
漁	ŋiu5	
渠	kʰi1	
渡	tʰu5	
渣	tsa1	
溫	wɐn1	
港	kaŋ3	
渴	hat7b	
游	jɐu2	
渺	miu3	
湎	min3	
湖	fu2	
湘	ɬiŋ1	
灣	wan1	
溼	sɐp7b	
潰	kʰʷɐi3	
濺	tsʰan5	
溉	kʰai3	
源	jun2	
溜	lɐu2	
溪	kʰei1	
溺	nɛk7b	
溻	tʰap8	
滂	pʰoŋ2	
滋	tsi1	
滑	wat8	
滓	tsai1	
滔	tʰau1	
滚	kʷɐn3	
滯	tsɐi5	
滿	mun3	
濾	lui5	
濫	lam5	
濱	pɐn1	
灘	tʰan1	
滴	tik7a	
滷	lu3	
漂	pʰiu1	
漆	tsʰɐt7a	
漏	lɐu5	
演	jin3	
漫	man5	
漱	ɬu3	~口
潘	pʰun1	
潛	tsʰim3	
潭	tʰam2	
潮	tsʰiu2	
潲	sau3	
澄	tsʰiŋ1	
澡	tsau3	
激	kik3	
瀑	pʰau5	
灌	kun3	
火	wo3	
滅	mit7a	
燈	taŋ1	
灰	hui1	
靈	liŋ2	
竈	tsau3	
灸	kɐu3	
災	tsai1	
爐	lu2	
炊	tsʰui1	
炎	ŋim2	
炒	tsʰau3	
炕	haŋ1	
炙	tsɛk7a	
炭	tʰan3	
炮	pʰau3	
炸	tsa3	~弹
炸	tsa3	用油~
點	tim3	
爛	lan5	
烈	lit7a	
烘	haŋ3	
烙	lak7b	
燭	tsuk7a	
烟	in1	
烤	hau3	
煩	fan2	
燒	siu1	
燙	tʰaŋ3	
熱	ŋit7a	
烹	pʰaŋ1	
焉	in1	
焊	han5	
煥	wun5	
焙	pʰui5	
焚	fɐn1	
焦	tsiu1	
焯	tsʰiak7b	
焰	ŋim3	
然	jin2	
煎	tsin1	
煤	mui2	
煨	ui1	
煮	tsu2	
熄	ɬik7a	
熊	huŋ2	
熏	fɐn1	
熙	hi1	
熟	suk7b	
熬	ŋau5	
燃	jin2	
燎	liu5	
燐	lɐn2	
燕	in3	~京
燕	in3	~子
爆	pʰau5	
爪	tsau3	
爬	pa2	
愛	ai3	
爵	tsiak7b	
父	fu5	
爺	jɛ2	
爸	pa2	
爹	tɛ2	
爽	saŋ3	
片	pʰin3	
版	pan3	
牌	pʰai2	
牘	tʰuk8	
牒	tʰip7b	
牙	ŋa2	
牚	tsʰɛŋ3	椅子~儿
牛	ŋɐu2	
牡	mau3	
牢	lau2	
牧	muk7a	
物	mɐt8	
牯	ku3	
牲	sɛŋ1	
牽	hin1	
特	tʰak7b	
犧	hi1	
犀	ɬɐi1	
犁	lɐi2	
犢	tʰuk8	
犍	kin3	
犒	kʰau3	
犬	hin3	
犯	fan5	
狀	tsʰaŋ5	
猶	jɐu2	
狂	kʰuŋ2	
狄	tʰik8	
狐	fu2	
狗	kɐu3	
狡	kau3	
獨	tʰuk8	
狹	hip7b	
獅	ɬi1	
獄	juk7a	
狸	li2	
狼	laŋ2	
獵	lap8	
猛	mɛŋ3	
猜	tsʰai1	
猝	tsʰɐt7a	
猫	miau2	
獻	hin3	
猴	hɐu2	
猾	wat8	
玄	hin2	
玉	ŋiuk7a	
王	wuŋ2	
玩	wan2	
環	wan2	
現	jin5	
璽	si3	
玻	po1	
珊	san1	
珍	tsɐn1	
珠	tsu1	
班	pan1	
球	kʰɐu2	
理	li3	
琉	lɐu2	
瑣	ɬo3	
琢	tsɛk7b	
琴	kɐm2	
琵	pʰi2	
琶	pa2	
瓊	kʰiŋ2	
瑞	ɬui5	
瑟	sɐt7a	
璃	li1	
璧	pik7a	
瓜	kʷa1	
瓢	pʰiu2	
瓣	pan1	
瓤	naŋ2	
瓦	ŋa3	
瓮	juŋ1	
甌	ou1	
瓶	pʰiŋ2	
瓷	tsʰi2	
甕	ɛŋ1	
甘	kam1	
甚	sɐm5	
甜	tʰim1	
生	sɛŋ1	
甥	sɛŋ1	
用	juŋ5	
甫	fu5	
甬	juŋ3	
田	tʰin2	
由	jɐu2	
甲	kap7b	
申	sɐn1	
電	tʰin5	
男	nam2	
畫	wak7b	
暢	tsʰiŋ2	
界	kai3	
畏	wɐi5	
留	lɐu2	
畜	tsʰuk7a	~牲
畜	tsʰuk7a	~牧
略	liak7b	
畦	kʰʷɐi3	
番	fan1	
疆	kiŋ1	
疏	so1	
疑	ŋi2	
療	tiŋ1	
療	liu5	
疝	san3	
瘧	nɛk7b	
瘍	jiŋ2	
疤	pa1	
疥	kai3	
疫	jik7a	
瘡	tsʰaŋ1	
瘋	fuŋ1	
疲	pʰi2	
疵	tsʰi1	
疵	tsʰi3	
疹	tsʰɐn3	
疼	tʰaŋ2	
疾	tsɐt7b	
疿	fi1	
痂	ka1	
病	pʰiŋ5	
痒	jiŋ3	
痔	tsʰi5	
痕	hɐn5	
痛	tʰuŋ3	
痢	li5	
痰	tʰam2	
癡	tsʰi1	
痹	pɐi3	
瘟	wɐn1	
瘦	sɐu3	
瘴	tsiŋ3	
癩	lai5	
癬	sin3	
癸	kʷɐi3	
登	taŋ1	
白	pʰɛk8	
百	pɛk7b	
皂	tsʰau5	
的	tik7a	目~
皆	kai1	
皇	wuŋ2	
皖	wun3	
皮	pʰi2	
皺	tsɐu3	
皿	mɐn3	
盂	ji1	
盅	tsuŋ1	
盆	pʰun2	
盈	ŋiŋ2	
益	ik7a	
盞	tsan3	
鹽	jim2	
監	kam1	
監	kam3	国子~
盒	hɐp7b	
盔	kʰʷɐi1	
盜	tʰau5	
盤	pʰun2	
盛	siŋ2	~满
盛	siŋ5	兴~
盟	miŋ2	
目	muk7a	
盲	mɛŋ2	
直	tsʰik8	
相	ɬiŋ1	~互
相	ɬiŋ5	~貌
盼	pʰan3	
盾	tɐn3	矛~
省	sɛŋ3	~长
省	sɛŋ3	反~
省	sɛŋ3	节~
眉	mi2	
看	kʰan3	~见
看	han3	~守
真	tsɐn1	
眠	min2	
眨	tsam3	
眩	jun5	
眶	kʰʷaŋ1	
眷	kin3	
眼	ŋan3	
着	tsʰiak8	~衣
着	tsʰiak8	睡~
睜	tsaŋ1	
睛	tsiŋ1	
睡	sui5	
督	tuk7a	
睬	tsʰai3	
瞞	mun2	
瞪	taŋ1	
瞭	liu5	
瞳	tʰuŋ2	
瞻	tsim1	
矛	mau2	
矢	si3	
矣	ji3	
知	tsi1	
矩	kʰi5	
矯	kau3	
短	tʰun3	
矮	ai3	
石	sɛk8	
礦	kʰaŋ3	
碼	ma3	
砌	sɐi3	
砍	hɐm3	
研	ŋan2	
磚	tsun1	
硯	ŋan2	
破	pʰo5	
硃	tsu1	
硝	ɬiu1	
硫	lɐu2	
硬	ŋɛŋ5	
確	kʰak7b	
礙	ŋai5	
碎	ɬui3	
碑	pi1	
碓	tui1	
碗	wun3	
碟	tʰip7b	
碧	pik7a	
碾	ŋan2	
磁	tsʰi5	
磨	mo5	~刀
磨	mo5	石~
磬	hiŋ3	
礓	kiŋ1	
示	si5	
禮	lɐi3	
社	sɛ5	
祀	tsʰi3	
祁	kʰi2	
祈	kʰi2	
祐	jɐu5	
祖	tsu3	
祝	tsuk7a	
神	sɐn2	
祠	tsʰi2	
祥	tsʰiŋ2	
票	pʰiu3	
祭	tsɐi3	
禱	tau3	
禍	wo5	
稟	piŋ3	
禁	kɐm1	~不住
禁	kɐm3	~止
祿	luk7a	
禪	tsʰan2	~宗
禪	tsʰan5	~让
福	fuk7a	
禹	ji2	
离	li2	~别
离	li2	~开半寸
禽	kɐm2	
秀	ɬɐu3	
私	ɬi1	
秃	tʰuk7a	
稈	kan3	
秉	piŋ3	
秋	tsʰɐu1	
種	tsuŋ3	
科	kʰo1	
秒	miu3	
秘	pei1	
租	tsu1	
秤	tsʰiŋ2	
秦	tsʰɐn2	
秧	iŋ1	
秩	tʰit8	
積	tsik7a	
稱	tsʰiŋ1	~呼
稱	tsʰiŋ1	相~
移	ji2	
穢	wɐi3	
稀	hi1	
程	tsʰiŋ2	
稍	sau1	
税	sui3	
稗	pai1	
稚	tsi3	
稠	tsʰɐu2	
稭	kai1	
穩	wɐn3	
稻	tʰau5	
稼	ka3	
稽	kʰɐi1	
稿	kau3	
穄	tsɐi3	
穆	muk7a	
穗	wui5	
穴	hit8	
究	kɐu3	
窮	kʰuŋ2	
空	huŋ1	~虚
空	huŋ1	~缺
穿	tsʰun1	
突	tʰɐt7b	
窄	tsak7b	
竅	kʰiu3	
窯	jiu1	
窖	kau5	
窗	tsʰuŋ1	
窘	kʰʷɐn3	
窩	wo1	
窟	kʰʷɐt7a	
窺	kʰʷɐi1	
立	lɐp7a	
豎	su5	
站	tsʰam5	
競	kiŋ3	
章	tsiŋ1	
童	tʰuŋ2	
端	tun1	
竹	tsuk7a	
竿	kan3	
篤	tuk7a	
笊	tsau3	
笑	ɬiu3	
筆	pɐt7a	
笙	sɛŋ1	
笛	tʰik8	
笠	lɐp7a	
笡	tsʰɛ2	
符	fu2	
笨	pɐn5	
第	tʰɐi5	
箋	tsim1	
籠	luŋ2	
等	taŋ3	
筋	kɐn1	
筍	ɬɐn3	
筏	fat8	
筐	kʰʷaŋ1	
筑	tsuk7a	
筒	tʰuŋ2	
答	tap7b	
策	tsʰɛk7b	
篩	sɐi1	
箏	tsaŋ1	
筵	jun2	
筷	kʰʷai3	
籌	tsʰɐu2	
签	tsʰim1	
簡	kan3	
箅	pʰɐi5	
箍	kʰu1	
算	ɬun3	
管	kun3	
籮	lo2	
簫	ɬiu1	
箭	tsin3	
箱	ɬiŋ1	
箸	tsi3	
篇	pʰin1	
簍	lɐu3	
篙	kau1	
篡	tsan3	
篦	pi1	
籃	lam2	
籬	li2	
篷	fuŋ2	
篾	mit8	
簧	wuŋ2	
簪	tsam1	
簷	jim2	
簸	po2	~一~
簸	po2	~箕
簿	pʰai2	
簿	pʰu5	
籍	tsʰik8	
米	mɐi3	
類	lui5	
粉	fɐn3	
粒	lɐp8	
粗	tsʰu1	
粟	ɬuk7a	
粤	jut8	
粥	tsuk7a	
糞	fɐn3	
糧	liŋ2	
粱	liŋ2	
粳	kɛŋ1	
粹	tsʰui3	
糉	tsuŋ3	
精	tsiŋ1	
糍	tsʰi3	
糕	kau1	
糖	tʰaŋ2	
糙	tsʰau5	
糟	tsau1	
糠	haŋ1	
糯	no5	
系	hɐi5	
系	kɐi3	~鞋带
系	hɐi5	连~
素	ɬu3	
索	ɬak7b	
緊	kɐn3	
紫	tsi3	
累	lui5	~积
累	lui5	极困
累	lui5	连~
絮	ɬu3	
綑	kʰʷɐn3	
繁	fan2	
糾	kiu1	
紅	huŋ2	
紂	tsɐu3	
約	ŋɛk7b	
級	kɐp8	
紀	ki3	
紉	ŋiɐm5	
緯	wɐi5	
純	ɬun5	
紗	sa1	
綱	kaŋ1	
納	nap8	
縱	tsuŋ3	~横
縱	tsuŋ3	放~
紛	fɐn1	
紙	tsi3	
紋	mɐn2	
紡	fuŋ3	
紐	nɐu3	
線	ɬin3	
練	lin5	
組	tsu3	
細	ɬɐi3	
織	tsik7a	
終	tsuŋ1	
縐	tsɐu3	
絆	pun3	
紹	siu5	
經	kiŋ1	
綁	puŋ3	
絨	juŋ2	
結	kit7a	
繞	jiu3	围~
繪	wui5	
給	kɐp8	
絡	lak7b	
絶	tsʰit8	
絞	kau3	
統	tʰuŋ3	
絹	kin1	
繡	ɬɐu3	
綏	ɬui1	
繼	kɐi3	
績	tsik7a	
緒	ɬui3	
續	ɬuk8	
綽	tsʰiak7b	
繩	siŋ2	
維	wɐi5	
綿	min2	
綢	tsʰɐu2	
綠	luk7a	
綴	tsʰui5	
緬	min3	
纜	lam5	
緝	tsʰɐp7a	
緞	tʰun5	
緩	wun3	
縷	lɐu3	
編	pʰin1	
緣	jun2	
縛	fuk7b	
縫	fuŋ2	
縫	fuŋ5	一条~
纓	iŋ1	
縮	ɬuk7a	
繮	kiŋ1	
繳	kiu3	
缸	kaŋ1	
缺	kʰut8	
罐	kun3	
网	muŋ3	
罕	han3	
羅	lo2	
罰	fat8	
罷	pʰa5	
罩	tsau3	
罪	tsʰui5	
置	tsi3	
署	su3	
羊	jiŋ2	
羌	kiŋ1	
美	mui3	
羔	kau1	
羡	ɬun5	
群	kʰʷɐn2	
羹	kɛŋ1	
羽	ji3	
翅	tsʰi3	
翎	liŋ2	
翠	tsʰui3	
翡	fi1	
翰	han5	
翻	fan1	
翼	jik7a	
耀	jiu1	
老	lau5	
考	hau3	
者	tsɛ3	
而	ŋi5	
耍	sa3	
耐	nai5	
耕	kɛŋ1	
耗	hau5	
耙	pʰa2	
耳	ŋi3	
耶	jɛ2	
耻	tsʰi3	
耽	tam1	
耿	kaŋ3	
聶	nip7b	
聊	liu5	
聾	luŋ2	
職	tsik7a	
聒	kʰʷa3	~耳朵
聯	lun2	
聘	pʰiŋ3	
聚	tsʰui5	
聰	tsʰuŋ1	
肅	ɬuk7a	
肄	ji2	
肉	ŋiuk7a	
肋	lak7a	
肌	ki1	
肚	tʰu5	
肝	kan1	
腸	tsʰiŋ2	
肢	tsi1	
膚	fu1	
肥	fi2	
肩	kin1	
肪	fuŋ1	
骯	aŋ1	
肯	haŋ3	
育	juk8	
肴	ŋau5	
肺	fi3	
腎	sɐn5	
腫	tsuŋ3	
脹	tsiŋ3	
脅	hip3	
胃	wɐi5	
膽	tam3	
背	pʰui5	
背	pʰui5	~诵
胎	tʰai1	
胖	pʰun3	
胚	pʰui1	
胛	kap7b	
勝	siŋ2	~任
勝	siŋ2	~败
胞	pau1	
胡	fu2	
胳	lak7b	
膠	kau1	
胸	huŋ1	
能	naŋ5	
脂	tsi1	
脆	tsʰui3	
脉	mɛk7b	
脊	tsik7a	
脏	tsʰaŋ3	内~
臍	tsʰɐi2	
腦	nau5	
膿	nuŋ2	
脚	kɛk7b	
脯	fu5	杏~
脯	pʰu5	胸~
脱	tʰut7a	
臉	lim3	
脾	pi1	
臘	lap8	
腋	jɛ5	
腌	ip7a	
腐	fu5	
腑	fu3	
腔	huŋ1	
腕	wun3	
腥	ɬiŋ1	
腰	iu1	
腱	kin3	
腹	fuk7a	
膩	nɐi5	
騰	tʰaŋ2	
腿	tʰui3	
膏	kau1	
膘	piu1	
膜	mok8	
膝	ɬɐt7a	
膨	pʰaŋ2	
膳	sun5	
臀	tʰun5	
臂	pɐi3	
臊	tsʰau2	
臣	tsʰɐn2	
自	tsʰi5	
臭	tsʰɐu3	
至	tsi3	
致	tsi3	
臺	tʰai2	
臻	tsɐn1	
臼	kʰɐu5	
舀	iu3	
舅	kʰɐu5	
舌	sit8	不~
舍	sɛ2	
舍	sɛ3	
舒	su1	
舔	tʰim1	
舜	sɐn5	
舞	mu3	
舟	tsɐu1	
航	haŋ2	
般	pun1	
艦	lam5	
舵	tʰo5	
船	sun2	
艇	tʰɛŋ3	
良	liŋ2	
艱	kan1	
色	sik7a	
豔	ŋim3	
藝	ŋɐi5	
艾	ŋai5	
節	tsit8	
芋	wu5	
芍	siak7b	
芒	moŋ2	
芙	fu1	
芝	tsi1	
芥	kai3	
蘆	lu2	
芬	fɐn1	
芭	pa1	
芮	jui5	
花	wa1	
芳	fuŋ1	
芹	kʰɐn2	
芽	ŋa2	
葦	wɐi3	
莧	han5	
蒼	tsʰaŋ1	
苧	tsu3	
苏	ɬu1	
苔	tʰai2	
苗	miu2	
苟	kɐu3	
若	jok7a	
苦	fu3	
英	iŋ1	
茂	mau5	
范	fan5	
茄	kʰɛ2	~子
茅	mau5	
莖	kiŋ3	
塋	jiŋ2	
繭	kan1	
茫	moŋ2	
茴	hui2	
茶	tsʰa2	
茸	juŋ2	
荀	ɬun2	
荆	kiŋ1	
草	tsʰau3	
薦	tsin3	
荒	fuŋ1	
荔	lɐi5	
莊	tsaŋ1	
蕎	kʰiu2	
蕩	taŋ5	
榮	juŋ2	
葷	fɐn1	
蔭	jɐm1	
藥	jɛk7b	
荷	ho2	~花
荷	ho5	薄~
莎	sa2	
莠	jɐu5	
莫	mok7b	
蓮	lin2	
获	wak8	
鶯	iŋ1	
莽	miaŋ3	
菊	kuk7a	
菌	kʰʷɐn3	
菖	tsʰiŋ1	
菜	tsʰai3	
菠	po1	
菢	pʰau5	
菩	pʰo2	
菱	liŋ2	
萄	tʰau2	
萌	miŋ2	
萍	pʰiŋ2	
萎	wɐi3	
螢	jiŋ2	
營	jiŋ2	
蕭	ɬiu1	
薩	ɬat7b	
落	lak7b	
著	tsu3	
葛	kat7b	
董	tuŋ3	
葬	tsaŋ3	
葱	tsʰuŋ1	
葵	kʰʷɐi2	
蔣	tsiŋ3	
蒙	muŋ2	
蒲	pʰo2	
蒸	tsiŋ1	
蒿	hau1	
蓄	tsʰuk7a	
蓉	juŋ2	
蓑	ɬo1	
蓖	pi1	
藍	lam2	
蓬	fuŋ2	
蔓	man5	
蔗	tsɛ3	
蔡	tsʰai3	
蔫	in1	花萎
蔫	in1	食物不新鲜
蔬	su1	
蔽	pɐi3	
蕉	tsiu1	
蕊	jui5	
薄	pʰok7b	
薛	ɬut8	
薪	ɬɐn1	
薯	su5	
薰	fɐn1	
藉	tsʰik7b	~故
藉	tsʰik8	狼~
藏	tsʰaŋ3	西~
藏	tsʰaŋ2	隐~
藐	miu3	
藕	ŋɐu3	
藤	tʰaŋ2	
藩	pʰun1	
藿	kʰɛk8	
蘸	tsan3	
虎	fu3	
虜	lu3	
虐	nɛk7b	
虐	ŋɛk7b	
慮	lui5	
虔	kʰun3	
虚	hi1	
虞	ju2	
蟲	tsʰuŋ2	
虱	sɐt7a	
虹	huŋ2	
虹	kʰuŋ3	天上的~
虻	muŋ1	
雖	ɬui1	
蝦	ha1	
蝕	sik8	
蟻	ŋi3	
蚊	mɐn2	
蚌	puŋ3	
蠶	tsʰam2	
蚣	kuŋ1	
蚤	tsau3	
蛀	tsu3	
蛆	tsʰu1	
蛇	sɛ2	
蛋	tʰan5	
蛙	wa1	
蛛	tsu1	
蛤	kɐp7b	
蠻	man2	
蟄	tsɐp8	
蛾	ŋo5	
蜀	suk7b	
蜂	fuŋ1	
蜇	tsit7a	
蜈	ŋ̍2	
蜋	laŋ2	
蜓	tʰiŋ2	
蝸	wo1	
蜘	tsi1	
蜜	mɐt7a	
蠟	lap7b	
蜻	tsʰiŋ1	
蠅	jiŋ2	
蟬	tsʰan2	
蠍	hit7a	
蝗	wuŋ2	
蝙	pʰin1	
蝟	wɐi5	
蝠	fuk7a	
蝶	tʰip7b	
螃	pʰoŋ2	
融	juŋ2	
螳	tʰaŋ2	
螺	lo2	
蟆	mo2	
蟒	miaŋ3	
蟹	hai5	
蟾	sim5	
蠓	muŋ3	
蠢	tsʰɐn3	
血	hut7a	
衅	pʰun3	
行	hɛŋ2	~列
行	hɛŋ2	~为
行	hɛŋ2	品~
行	haŋ2	银~
銜	hɐm2	
街	kai1	
衙	ŋa2	
衡	hɛŋ2	
衣	i1	
補	pu3	
表	piu3	~扬
表	piu1	手~
衫	ɬam1	
襯	tsʰɐn3	
袁	jun2	
袋	tʰai5	
袍	pʰau2	
袖	tsʰɐu5	
袜	wat7b	
被	pʰi5	~子
被	pʰi5	~打
襲	tsʰɐp7b	
袱	fuk7b	
裁	tsʰai2	
裂	lit7a	
裝	tsaŋ1	
裌	kap8	
裕	ji2	
裙	kʰʷɐn2	
褲	hu3	
襇	kan3	
裳	siŋ2	
裸	kʰo1	
複	fuk7a	
褒	pau1	
褚	tsu1	姓
褥	juk7a	
褯	tsʰik7b	~子
襄	ɬiŋ1	
襟	kɐm1	
西	ɬɐi1	
要	iu1	~求
要	iu3	重~
覆	fuk7a	
見	kin3	
觀	kun1	参~
觀	kun3	寺~
規	kʰʷɐi1	
覓	mɐt8	
視	si5	
覽	lam3	
覺	kau5	睡~
覺	kʰɛk8	知~
角	kak7b	
解	kai3	~开
解	kai3	姓
解	kai3	晓也
觸	tsʰuk7a	
言	ŋin2	
託	tʰak7b	
註	tsʰu5	
詠	juŋ3	
譽	ji5	
誌	tsi3	
誓	sɐi5	
謄	tʰaŋ2	
警	kiŋ3	
譬	pi3	
計	kɐi3	
訂	tʰiŋ5	
訃	fu5	
認	ŋiɐn5	
譏	ki1	
討	tʰau3	
讓	ŋiŋ5	
訓	fɐn3	
議	ŋi5	
訊	ɬɐn3	
記	ki3	
講	kaŋ3	
諱	wɐi3	
許	hi3	
論	lɐn5	~语
論	lɐn5	议~
訟	tsʰuŋ5	
諷	fuŋ1	
設	sit7a	
訪	fuŋ3	
訣	kʰit8	
證	tsiŋ3	
評	pʰiŋ2	
識	sik7a	
詐	tsa3	
訴	ɬu3	
診	tsʰɐn3	
詞	tsʰi2	
譯	ik2	
試	si3	
詩	si1	
誠	siŋ2	
誅	tsu1	
話	wa5	
誕	tan3	
詭	kʷɐi3	
該	kai1	
詳	tsʰiŋ2	
誣	wu1	
語	ŋi3	
誤	ŋ̍5	
誘	jɐu5	
説	sut7a	
誦	tsʰuŋ5	
請	tsʰiŋ3	
諸	tsu1	
諾	nok7a	
讀	tʰuk8	
課	kʰo2	
誰	sui5	
調	tʰiu5	~和
調	tʰiu5	~动
調	tʰiu5	音~
諒	liŋ5	
談	tʰam2	
誼	ji2	
謀	mou2	
諜	tʰip7b	
謊	fuŋ1	
諫	kan3	
諧	hai2	
謂	wɐi5	
讒	sam2	
諺	ŋin5	
謎	mɐi2	
謝	tsʰɛ5	
謡	jiu1	
謗	poŋ3	
謙	him1	
謹	kɐn3	
謬	mɐu5	
譚	tʰam2	
譜	pʰu3	
