#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
嗯	ŋ̍6	叹词,表示应诺
嗵	tʰoŋ1	象声词
嗽	sau5	咳嗽
嗾	sau3	嗾使
嘀	ti7	嘀嗒嘀咕
嘈	zə2	嘈杂水鸡嘈烂田
嘉	ko1	永嘉
嘌	pʰyə1	嘌呤
嘎	ɡa8	象声词嘎嘎抖
嘎	ka7	鸟鸣声
嘘	ɕʮ1	慢慢地吐气
嘛	mo2	喇嘛
嘣	poŋ5	内胎打嘣爻
嘣	poŋ1	拟声词打嘣:接吻
嘧	myə8	译音用字
嘭	bɛ2	象声词
囑	tɕyo7	叮嘱
嘲	dʑyə1	嘲笑
嘴	tɕʮ3	嘴巴
嘶	sɿ1	声嘶力竭
嘹	lyə2	嘹亮
嘻	sɿ1	喜笑
嘿	he7	笑声
噌	ʑiəŋ2	泓噌:声量宏大
噎	ʰji7	噎下
噗	pʰo7	象声词
噘	tɕy7	翘起嘴巴
噙	dʑiaŋ2	嘴或眼里含着
嚕	ʰlo1	言语絮叨
噢	ə1	叹词,表示领悟
噤	dʑiaŋ6	噤若寒蝉
器	tsʰɿ5	电器
噩	ŋo8	噩梦
噪	sə5	噪音
噬	zɿ6	吞噬
噱	ɕy7	噱头
噱	dʑia8	噱噱:大笑
噼	pʰi7	噼里啪啦
嚅	ʑʮ2	嗫嚅
嚎	ɦə2	~叫
嚏	tʰi5	打喷嚏
囂	ɕyə1	嚣张
嚷	ȵiɛ4	叫嚷
嚷	ȵiɛ2	嚷嚷:吵闹
嚼	ʑia8	咬文嚼字
囊	nuɔ2	胆囊
囔	ʰnuɔ1	鼻噗囔:声音轻微而含混地说话
囚	dʑiəu2	囚犯
四	sɿ5	数词
回	wai2	回来
回	wai2	迥迂回
囟	saŋ5	囱门
因	ʰjiaŋ1	因为
囡	ʰnø1	小孩
团	dø2	團集团
团	dø2	糊汤团
囤	dø2	积存囤积
園	jy2	公园
園	kʰuɔ5	藏
困	kʰaŋ5	困难
囱	tɕʰyoŋ1-	烟囱
囱	tsʰoŋ1=	烟囱
圍	jʮ2	包围
圇	laŋ2	囫囵吞枣
囹	ləŋ2	囹圄:监狱
固	ku5	巩固
國	kai7	中国
國	ji2	姓氏
圖	du2	图画
囿	jiau6	园囿
圃	pʰu3	苗圃花圃
圄	ȵy4	监狱
圓	jy2	团圆
圈	tɕʰy1	圆圈
圈	tɕy5	猪圈
圜	wa2	环绕
土	tʰu3	土地
聖	ɕiəŋ5	神圣
在	dze4	存在
圭	tɕy1	玉制礼器
圮	bi4	毁坏
圯	ji2	桥
地	di6	地方
圳	tsaŋ5	深圳
壙	kʰuɔ5	圹野
場	dʑiɛ2	场地
場	ʑiəŋ2	场糖:用麦芽或谷芽熬成的饴糖
圾	dʑiai8	垃圾
址	tsɿ3	地址
均	tɕyoŋ1	平均
坊	huɔ1	街坊
坌	baŋ6	坌尘
坍	tʰa1	坍方
坎	kʰø3	坎坷
壞	wa6	坏蛋
坐	zo4	静坐
坑	kʰɛ1	泥坑
坒	bi6	量词,一~砖
塊	kʰai5	土块
堅	tɕi1	坚定
坛	da4-	壇永嘉岩坛
坛	da2=	壇花坛
坛	da2	酒坛
壩	po5	堤坝
塢	ʰwu3	船坞
墳	vaŋ2	坟墓
墜	dʑʮ6	坠落
坡	pʰu1	山坡苏东坡
坤	kʰaŋ1	乾坤
坦	tʰa3	坦白
坦	da6	道坦
坩	kø1	坩埚:熔化金属的器皿
坪	bəŋ2	草坪
坯	pʰai1	土坯
坳	uɔ5	山曲间的平地
坷	kʰu3	坎坷不平
垂	dʑʮ2	垂直
垃	ʰla7	垃圾
壟	lyə4-	两垄芥菜
壟	loŋ4=	垄断
型	jiaŋ2	类型
垒	lai4	堡垒
垜	do4	城垛
垟	jiɛ2	田野
垠	ȵiaŋ2	一望无垠
垢	kau3	污垢
垣	jy2	矮墙
垤	di8	蚁冢
墾	kʰaŋ3	开垦
垧	ɕiɛ3	土地面积单位
墊	diɛ6	坐垫
垮	kʰo3	垮台
垸	jy2	用漆掺和骨灰涂抹器物
埂	kɛ3	田塍
埃	a1	埃及
埃	e1	尘埃
埋	mɛ2	埋怨
城	ʑiəŋ2	城市
埒	le8	由田间的土埂引申指排列上下埒
埔	bu6	地名
埔	pʰu3	黄埔军校
埕	dʑiəŋ2	酒埕
堝	ku1	坩埚
域	jy8	地域
埠	bu6	埠头
埭	dɛ6-	一埭路两埭屋几埭字眼
埭	de6=	河埭
埲	boŋ4	棒塕:灰尘扬起貌火~起
埸	jiai8	田畔,田界
培	bai2	培养
基	tsɿ1	基本
堂	duɔ2	公堂
堆	tai1	堆积
塹	tɕʰi5	沟濠
墮	du4	堕落
堡	pə3	碉堡
堤	di2	堤坝
堪	kʰø1	难堪
堰	ʰji5	挡水的低坝都江堰
堵	tu3	堵塞
塌	tʰa7	倒坍
塍	ʑiəŋ2	田塍
塑	ɕʮ5	塑料
塔	tʰa7	灯塔
塘	duɔ2	塘河
塘	duɔ2	搪塞
塞	se7	堵塞塞车
塞	se5	要塞
填	di2	填充
塳	boŋ2	尘
塸	au5	埋葬
塾	ʑiəu8	私塾
境	tɕiaŋ5	国境
墅	ʑʮ4	别墅
墉	jyoŋ2	城墙
墓	mu6	坟墓
牆	ʑiɛ2	墙壁
增	tsaŋ1	增加
墟	ɕʮ1	废墟
墨	me8	墨迹
墩	tø1	土堆蒲墩
壁	pi7	墙壁
壅	ʰjyɔ1	在植物根部施肥或培土
壅	ʰjyɔ5	粪肥
壑	ho7	壑谷
壕	ɦə2	战壕
壤	ȵiɛ4	土壤
士	zɿ4	战士
壬	ȵiaŋ2	天干第九位
壯	tsuɔ5=	强壮
壯	tɕyɔ5	肥胖人怕出名猪怕壮
聲	ɕiəŋ1	声音
殼	kʰo7	外壳
壺	wu2	酒壶
壹	ʰjiai7	一的大写
處	tɕʰʮ3	处理
處	tɕʰʮ5	相处
備	bi6	预备
复	və6	复兴
复	fu7	復返回
复	fu7	複重复
夏	ɦo6	春夏
夔	dʑʮ2	传说中的兽名
夕	zɿ8	夕阳
外	ŋɛ6	外面
夙	ɕiəu7	夙愿
多	tu1	多少
夜	ji6	夜晚
够	kau5	能够
大	da6	大师
大	da6	大夫
大	du6=	大小
天	tʰi1	天堂
天	ʰjyə3	夭折
太	tʰa5	太平
夫	fu1	丈夫
夫	fu1	人名
夫	vu2	助词
夬	kɛ5	六十四卦之一
央	ʰjiɛ1	中央
夯	haŋ1-	夯实
夯	huɔ1=	打夯
失	sai7	丧失
頭	diəu2	头脑
夷	ji2	夷蛮
夸	kʰo1	誇夸张
夾	ka7	从左右相持或相对双层的夹杂
奪	dø8=	抢夺
奪	dai8-	赌抢赌夺
奩	li2	盛梳妆用品的器具
奐	hø5	众多
奄	ʰji1	奄奄一息
奇	tsɿ1	奇数
奇	dzɿ2	奇怪
奈	na6	无奈
奉	ɦoŋ4	奉献
奮	faŋ5	奋斗
奎	kʰai1	二十八宿之一
奏	tsau5	演奏
契	tsʰɿ5	契约
奔	paŋ1	奔跑
奔	paŋ5	直趋投奔
奕	jiai8	大
獎	tɕiɛ3	颁奖
套	tʰə5	圈套
奘	zuɔ6	健壮唐僧玄奘
奚	ji2	奚落
奠	di6	奠基
奢	sɿ1	奢侈
奣	ʰwɛ3	天明亮
奧	ə5	奥秘
女	nɛ4-	女儿女儿宝授女儿
女	ȵy4	男女
奴	no2	奴隶
奶	nɛ4=	老奶奶
奸	ka1	强奸
奸	ka1	汉奸
她	tʰa1	新读
好	hə5	喜好
好	hə3	爱好
妁	ʑia8	媒妁
如	ʑʮ2	如果
妃	fi1	王妃
妄	ɦuɔ6	狂妄妄自菲薄
妝	tsuɔ1	化妆
妝	tɕyɔ1	妆灵清
婦	vu4	妇女
媽	ʰma3-	对母亲的面称
媽	ʰma1	对母亲的面称
媽	ʰma5	对母亲的面称
妊	ȵiaŋ6	妊娠
妊	zaŋ6=	怀孕
妍	ȵi2	美丽
妒	tu5	妒忌
妓	dzɿ4	妓女
妖	ʰjyə1	妖魔
妗	dʑiaŋ6	舅母
妙	myə6	巧妙
妞	ʰȵiau1	女孩
妥	tʰu3	妥当
妨	huɔ1	妨碍
嫵	vu4	妩媚
嫗	ʰjy5	老年妇女
妮	ʰȵi1	女孩
妯	dʑiəu8	妯娌
妲	ta7	妲己
妹	me6	姊妹
妻	tsʰɿ1	夫妻
妾	tɕʰi7	小妻
姆	mu4	保姆
姆	ʰmu1	大姆师姆
姆	ʰme1	小孩
姊	tsɿ3	姊妹
始	sɿ3	始终
姐	tsɿ3	姐姐
姑	ku1	姑娘
姓	ɕiəŋ5	姓名
委	jʰʮ3	委员
姗	sa1	美好貌
姚	jyə2	姓氏
姜	tɕiɛ1	姓氏
姜	tɕiɛ1	班生姜
姣	kuɔ3	姣好
姥	mu4	太姥山
姥	lə4	姥爷
姥	ʰmu1	老姥
姨	ji2	姨父
姬	tsɿ1	姓氏
姹	tsʰa5	姹紫嫣红
姹	tsa1	娑姹
姻	ʰjiaŋ1	婚姻
姿	tsɿ1	姿态
威	jʰʮ1	权威
娃	o1	娃娃
婁	lau2	姓氏
婭	o5	人名用字
嬈	ʑyə2	妖娆
嬌	tɕyə1	娇惯
孌	lø2	娈童
娉	pʰəŋ5	男方遣媒向女方求婚谓之娉
娌	li4	妯娌
娑	so1	婆娑
娓	mi4	娓娓动听
娘	ȵiɛ2=	姑娘
娘	ȵiɛ2	母亲
娘	ʰȵiɛ1	阿娘细娘
娜	ʰna3	人名用字
娜	no4	婀娜
娟	tɕy1	美好
娠	zaŋ2	妊娠
娠	zaŋ6	妊娠
娥	ŋ̍2	美好貌
娩	mi4	分娩
娛	ŋ̍6	娱乐
娛	ȵy2	文娱
媧	ko1	女娲
娴	ɦa2	娴雅
娶	tɕʰʮ3	娶妻
娼	tɕʰiɛ1	娼妓
婀	ʰwu1	婀娜
婆	bu2	媒婆
婉	ʰjy3	婉约
婊	pyə3	婊子
婕	tɕi7	婕妤:宫中女官名
婚	hø1	婚姻
婢	bi4	婢女
婧	ʑiəŋ4	苗条美好貌
婪	lø2	贪婪
嬰	ʰjiaŋ1	婴儿
嬋	ʑi2	蝉娟
嬸	saŋ3	大婶
婷	dəŋ2	婷婷玉立
婺	vu6	婺州
婿	sɿ5	女婿
媒	me2	媒体
媚	mi6	妩媚
媛	jy6	美女
媼	ə3	媪妪:上年纪的妇女
媲	pʰi5	媲美
媳	sɿ7	同“蟋”
媳	sɿ7	媳妇
媾	kau5	媾和
嫁	ko5	嫁妆
嫂	sə3	嫂子
嫉	zai8	嫉妒
嫌	ji2	嫌疑
嬪	bəŋ2	嫔妃
嫖	byə2	嫖客
嫡	ti7	嫡系
嫣	ʰji1	嫣然一笑
嫦	ʑiɛ2	嫦娥
嫩	nø6	幼嫩
嬉	sɿ1	游玩
嬉	sɿ3	田培儿
嬖	pi5	宠爱
嬗	ʑi6	蜕变
嬡	e5	令~
嬲	ȵyə4	烦扰
嬷	ʰmo1	阿嬷
孀	ɕyɔ1	寡妇
子	tsɿ3	子女地支第一位
孑	tɕi7	无右臂
孓	tɕy7	无左臂
孔	kʰoŋ3	孔隙
孕	jiaŋ6	孕妇
字	zɿ6	文字
存	zø2	存在
孫	sø1	子孙
孚	fu1	信用
孜	tsɿ1	孜孜不倦
孝	huɔ5	孝敬
孟	mɛ6	孟子
季	tɕʮ5	季节
孤	ku1	孤单
學	ɦo8	学问
孩	ɦe2	小孩
孿	lø2	孪生
孬	ʰnuɔ1=	孬种
孰	ʑiəu8	审慎
孵	bu2-	孵鸡儿孵坊
孵	fu1	孵化
孺	ʑʮ6	孺子牛
孽	ȵi8	造孽
寧	ȵiaŋ2	宁波
寧	ȵiaŋ6	宁可
它	tʰa1	新读
宅	dzɛ8	住宅
宇	jʮ4	宇宙
守	ɕiəu3	守卫
安	ø1	平安
宋	soŋ5	唐宋
完	jy2	完全
宏	ɦoŋ2	宏大
宓	myə8	安静姓氏
宕	duɔ6	宕地屋宕
宗	tsoŋ1	祖宗
官	kø1	官僚
宙	dʑiəu6	宇宙
定	dəŋ6	肯定
宛	ʰjy3	宛然
宜	ȵi2	适宜
寶	pə3	宝贝
實	zai8	现实
寵	tɕʰyoŋ3	宠爱
審	saŋ3	审判
客	kʰa7	客人
宣	ɕy1	宣传
室	sai7	教室
宥	jiau6	宽宥
宦	wa6	宦官
宪	ɕi5	宪法
宮	tɕyoŋ1	宫殿
宮	koŋ1	新读
宰	tse3	屠宰
害	ɦe6	害怕
宴	ʰji5	宴会
宵	ɕyə1	良宵
家	ko1	家庭
宸	zaŋ2	天地交会之处
容	jyoŋ2	容易
寬	kʰa1	宽阔
賓	pəŋ1	贵宾
宿	ɕyo7	一宿觉
宿	ɕyo7	宿舍
宿	ɕiəu5	星宿
寂	zɿ8	寂寞
寄	tsɿ5	寄托
寅	jiaŋ2	地支第三位
密	myə8	秘密
寇	kʰau5	贼寇
富	fu5	富贵
寐	mi6	梦寐以求
寒	ɦø2	寒冷
寓	ȵy6	公寓
寢	tsʰaŋ3	寝室
寞	mo8	寂寞
察	tsʰa7	观察
寡	ko3	寡妇
寤	ɕy7	睡一觉
寤	ŋ̍6	醒寤
寥	lyə2	寥廓
寨	dzɛ6	山寨
寮	lyə2	寺院寮
寰	wa2	寰球
寸	tsʰø5	尺寸
對	tai5	对象
寺	zɿ6	寺庙
尋	zaŋ2	寻找
導	də6	引导
壽	ʑiəu6	长寿
封	hoŋ1	封存
射	zɿ8	射击
將	tɕiɛ5	大将
將	tɕiɛ1	将来
尉	jʰʮ5	上尉
尊	tsø1	尊敬
小	ɕyə3=	小朋友
少	ɕyə3	多少少年
少	ɕyə5	少将
尔	zɿ4	保尔
尖	tɕi1	尖锐
塵	dzaŋ2	灰尘
尚	ʑiɛ6	高尚
尜	ɡa8	尜淼:一种两头尖、中间大的玩具
嘗	ʑiɛ2	尝试
尤	jiau2	尤其
堯	ȵia2	尧舜
尬	kɛ5	尴尬
就	ʑiəu6	成就
尷	ka1	尴尬
屍	sɿ1	尸体
尹	jyoŋ4	古代官的通称
尺	tsʰɿ7	尺寸
尻	kʰə1	臀部
尼	ȵi2	尼姑
尽	zaŋ4	债副词
尽	zaŋ4	尽量
尾	mi4	尾巴
尿	ɕʮ1	拉尿
尿	ȵia6	输尿管
局	dʑyo8	当局
屁	pʰi5	放屁
層	zaŋ2	层次
屄	pi1	女性外生殖器
居	tɕʮ1	居住
居	ke7	居个:这个
屈	tɕʰy7	屈服
屉	tʰi5	抽屉
屆	kɛ5	届数
屋	ʰwu7	房屋
屎	sɿ3	粪便
屏	bəŋ2	屏幕
屏	pəŋ3	屏墙
屐	dʑiai8	木屐
屑	ɕia7	木屑不屑
展	tɕi3	展览
屬	dʑyo8	属于
屠	du2	屠夫
屢	lu4	屡次
履	li4	履鞋拖
屯	dø2	屯兵
山	sa1	山峰
屹	ȵiai8	高耸直立貌
嶼	ʑʮ4	岛屿
歲	ɕʮ5	岁数
豈	tsʰɿ1	岂有此理
岐	dzɿ2	岐山
岑	dzaŋ2	小而高的山
岑	ȵiaŋ2	岑山寺巷
岔	tsʰo5	岔路口
嶇	tɕʰʮ1	崎岖
崗	kuɔ3	岗子:高起的土坡
岙	ə5	山岙
嵐	la2	山林中的雾气
島	tə3	海岛
巖	ŋa2	岩石
嶺	ləŋ4	山岭
岱	de6	山名,即泰山
岳	ŋo8	姓氏
岷	məŋ2	岷山
岸	ɦø6	海岸
巋	tɕʰʮ1	岿然不动
嶨	ɦo8	地名
峋	ɕyoŋ1	嶙峋:重叠幽深
峙	dzɿ4	峙立
峽	ɦa8	两山夹水处
峽	ɡa8-	河峡儿角落峡儿
峽	ka7-	长江三峡
崢	tsɛ1	峥嵘
巒	lø2	山峦
峨	ŋ̍2	峨眉
峪	jyo8	山谷
峭	tɕʰyə5	悬崖峭壁
峰	hoŋ1	山峰
峻	ɕyoŋ5	陡峻
崆	kʰoŋ1	崆峒
崇	zoŋ2	崇拜
崎	tsɿ7	山脊
崎	dzɿ2	崎岖
崔	tsʰai1	姓氏
崖	ŋa2	山崖
崛	dʑy8	崛起
崩	poŋ5	一崩香烟
崩	poŋ1	崩溃地板崩起
嶄	tsa3	崭新
崽	tsɛ1	卵崽
嵇	ȵi2	地名
嵊	ʑiəŋ6	嵊州
嵋	mi2	峨眉山
嵌	kʰa5	镶嵌
嶸	jyoŋ2	峥嵘
嵩	soŋ1	山高
嵬	wai2	嵬嵬:高耸貌
嶙	ləŋ2	嶙峋
巔	ti1	山巅
巉	za2	险峻陡峭
巍	ŋai2	巍然不动
川	tɕʰy1	山川
州	tɕiəu1	温州
巡	ʑyoŋ2	巡逻
巢	zuɔ2	巢穴卵巢
工	koŋ1	工作
左	tso3	左右
巧	kʰuɔ3	巧妙
巨	dʑʮ4	巨大
鞏	koŋ3	巩固
巫	vu2	巫师
差	tsʰa5	不好
差	tsʰɛ1	出差
差	tsʰɿ1	参差
差	tsʰɛ1	差错
己	tsɿ3	自己天干第六位
已	zɿ4	地支第六位
已	ji4	已经
巴	bo2	下巴
巴	po1	巴西
巷	ɦuɔ6	巷弄
巽	sø5	八卦之一巽山
巾	tɕiaŋ1	毛巾
幣	bi6	钱币
市	zɿ4	城市
布	pu5	棉布
帥	sa5	元帅
帆	va2	船帆
師	sɿ1	师范
希	sɿ1	希望
幃	jʮ2	帷帐
帳	tɕiɛ5	床帐
帕	pʰa5	手帕
帖	tʰiɛ7	官府文书
帖	tʰiɛ7	贴,粘
帘	li2	窗帘
帙	dzai8	书套
帚	tɕiəu3	扫帚
帛	bɛ8	布帛
幟	tsɿ5	旗帜
帝	ti5	皇帝
帶	tɛ5	带领
幀	tɕiəŋ1	装帧
席	zɿ8	主席
幫	puɔ1	帮助
帷	jʮ2	帷幕
常	dʑiɛ2-	常常
常	ʑiɛ2	经常
帽	mə6	帽子
幂	mi8	巾幂覆盖
幄	o7	帷幄
幅	fu7	篇幅
幌	huɔ3	幌子
幔	mø6	帷幔幔帐
幕	mo8	屏幕
幛	tɕiɛ5	寿幛
幢	dʑyɔ2	经幢
幢	dʑyɔ6	量词,用于建筑物
干	ky1	乾干燥
干	ky1	干犯
干	ky5	干活
干	ky5	幹干部
平	bəŋ2	生平
年	ȵi2	年成
并	bəŋ4	並,并且
并	pəŋ1	并州
并	pəŋ5	饼合并
幸	ɦɛ2	幸福
幺	ʰjyə1	~二三
幺	ʰjyə1	幺二
幻	wa6	幻灯
幼	ʰjiau5	幼稚男女老幼
幽	ʰjiau1	幽默
幾	tsɿ1	
廣	kuɔ3	广阔
莊	tɕyɔ1	坐庄
莊	tsuɔ1	庄严
慶	tɕʰiaŋ5	庆祝
庇	pi5	庇护
牀	ʑyɔ2	床铺
庎	kɛ5	~厨
序	ʑʮ4	秩序
廬	lu2	房舍
庫	fu5	屏水库斗
庫	kʰu5	车库
應	ʰjiaŋ5	/响应
應	ʰjiaŋ1	应该
底	ti3	彻底
庖	buɔ2	庖丁
店	tiɛ5	商店
廟	myə6	寺庙
庚	kɛ1	天干第七位
府	fu3	政府
龐	buɔ2	庞大
廢	fi5	报废
度	du6	欢度
座	dzo6-	座右铭
座	zo6	座位
庭	dəŋ2	庭院
庵	ø1	庵堂
庶	ɕʮ5	平民
庶	tsɿ7	拾取
康	kʰuɔ1	健康
庸	jyoŋ2	中庸庸俗
廉	li2	清廉
廊	luɔ2	走廊
廓	kʰo7	轮廓
廖	lyə6	姓氏
廨	kɛ5	公懈
廩	ləŋ4	谷仓仓库
延	ji2	延长
廷	dəŋ2	朝廷
建	tɕi5	建设
廿	ȵi8	二十的合体
開	kʰe1	开始
弁	bi6	帽子
异	ji6	奇异
弃	tsʰɿ5	放弃
弄	loŋ6	巷弄
弄	loŋ6	玩弄
弈	jiai8	下棋
弊	bi6	利弊
弋	jiai8	木桩
式	sɿ7	形式
弑	sɿ5	弑君
弓	tɕyoŋ1	弓箭
弓	koŋ1	新读
引	jiaŋ4	引导
弗	fai7	表示否定之词
弘	ɦoŋ2	弘扬
弛	dzɿ2	松弛
弟	di4	兄弟
張	tɕiɛ1	纸张
弢	tʰə1	弓袋
弥	mi2	弥天大谎
弥	mi4	弥合
弦	ji2	弓弦
弧	wu2	圆弧
弩	no4	用机械发箭的弓
彎	ʰwa1	弯曲
弱	ʑia8	软弱
彈	da6	子弹
彈	da2	弹琴
强	dʑiɛ2	强壮
强	dʑiɛ4	强迫倔强牛犟
弼	byə8	矫正弓弩的器具
彀	hu7	呕吐彀口
彀	kau5-	这里“居屋”的合音
歸	kai1	回归
歸	tɕʮ1	当归
當	tuɔ5	典当
當	tuɔ1	嘴金属器物撞击声
當	tuɔ1	应当
录	lo8	录音
彗	jʮ6	彗星
彙	wai4	汇报
彝	ji2	彝族
形	jiaŋ2	形状
彤	doŋ2	赤色
彦	ȵi6	贤士
彩	tsʰe3	彩色
彪	pyə1	林彪
彬	pəŋ1	彬彬有礼
彭	bɛ2	姓氏
彰	tɕiɛ1	表彰
影	ʰjiaŋ3	电影
彷	huɔ3	仿佛
彷	buɔ2	彷徨
役	jy8	兵役
徹	tɕʰi7	彻茶,用开水冲泡
徹	dʑi8	彻底
彼	pi3	彼此
往	jyɔ4	来往向往
征	tɕiəŋ1	出征特征
征	tɕiəŋ1	徵预兆;迹象
徑	tɕiaŋ5	路径
待	de4	等待
徇	ʑyoŋ2	徇私舞弊
很	haŋ3	甚
徉	jiɛ2	徜徉
徊	wai2	徘徊
律	li8	纪律
後	ɦau4	前后
徐	ʑʮ2	姓氏
徒	du2=	徒弟
徒	do2	门徒
徠	le2	借字,表复数
徠	le2	招徕
得	te7	得到
徘	bai2	徘徊
徙	sɿ3	迁移
徜	ʑiɛ2	倘徉
御	ȵy6	御用
御	ȵy6	禦防絮
徨	ɦuɔ2	彷徨
循	ʑyoŋ2	循环
徭	jyə2	徭役
微	vi2	微弱
徵	tɕiəŋ1	“征”的繁体字徵兆
德	te7	道德
徽	fai1	徽章安徽
心	saŋ1	心脏
必	pyə7	必须
憶	ʰji7	记忆
忌	dzɿ6	顾忌
忍	ȵiaŋ4	忍耐容忍
忏	tsʰa5	忏悔
忐	tʰø3	忐忑
忑	tʰe7	忐忑
忒	tʰu7	忒不识相
忒	tʰe7	过于
忖	tsʰø3	揣度忖测
志	tsɿ5	意志
忘	ɦuɔ6	健忘
忙	muɔ2	匆忙
忠	tɕyoŋ1	忠心
忡	tɕʰyoŋ1	忧心忡忡
忤	ŋ̍6	悖逆
憂	ʰjiau1	忧虑
忪	soŋ1	睡眼惺忪
快	kʰɛ5	快慢
忱	zaŋ2	真诚
念	ȵiɛ6	纪念
忻	ɕiaŋ1	启发
忽	ɕy7	忽然
忾	kʰe5	同仇敌忾
忿	vaŋ4	气忿
懷	ɡa2-	怀闷
懷	wa2=	怀念
態	tʰe5	态度
慫	ɕyɔ3	怂恿
慫	soŋ1	惊惧
悵	tɕʰiɛ5	失望,失意
怍	zo8	怍愕:惊骇变色
怎	tso3-	怎么
怎	tsaŋ3=	怎样
怏	ʰjiɛ5	郁郁不乐
怒	no6	愤怒
怔	tɕiəŋ1	怔忡:心脏剧跳
怕	pʰo5	害怕
怖	pu5	恐怖
怛	ta7	愁苦
憐	ləŋ2	怜俐:机灵
憐	li2	憐怜悯
思	sɿ1	思想
怠	de4	怠慢
怡	ji2	心旷神怡
急	tɕiai7	紧急
怦	pʰɛ1	怦怦:心急貌
性	ɕiəŋ5	性命
怨	ʰjy5	埋怨
怩	ȵi2	扭怩
怪	ka5	奇怪
怯	tɕʰi7=	懦弱
怯	tɕʰia7	胆怯
怵	tɕʰy7	发怵
總	tsoŋ3	总结
恁	naŋ4	后缀词,表示程度等
恁	ȵiaŋ4	这么,那么
恃	zɿ4	恃才傲物
戀	li6	初恋
恍	huɔ3	恍然
恐	tɕʰyɔ3	恐惧惊恐
恆	ɦaŋ2	永恒
恕	ɕʮ5	宽恕
恙	jiɛ6	疾病
恢	kʰai1	恢复
恣	tsɿ5	恣意
恤	ɕy7	抚恤
恨	ɦaŋ6	仇恨
恩	ø1	恩典
恫	doŋ6	恫吓
恬	diɛ2	恬静
恭	tɕyɔ1	恭敬
恭	koŋ1	恭候
息	sɿ7	休息
恰	kʰa7	恰当
懇	kʰaŋ3	诚恳
恶	ʰwu5	可恶
恶	o7	善恶恶心
慟	doŋ4	恸哭
懨	ʰji1	精神委靡
愷	kʰe3	安乐
惻	tsʰe7	恻隐
惱	nə4	烦恼
惲	ʰjyoŋ3	姓氏
恿	jyɔ4	怂恿
悄	ɕyə1	影悄悄
悄	tɕʰyə3	静悄悄
悉	sɿ7	熟悉
悌	di4	亲近孝悌
悍	ɦø6	勇敢
悔	fai3	悔改后悔
悖	bø8	悖论
悚	ɕyɔ3	恐惧
悟	ŋ̍6	觉悟
悠	ʰjiau1	悠然
患	wa6	患难
悦	jy8	喜悦
您	ȵiaŋ4	“你”的敬称
懸	jy2	悬殊
慳	kʰa1	节约
憫	məŋ4	怜悯
悲	pai1	悲惨
悴	zai6	憔悴
悸	tɕʮ5	余悸
悼	də6	悼念
情	ʑiəŋ2	情绪
惆	dʑiəu2	惆怅
惇	tø1	敦厚
驚	tɕiaŋ1	惊动
惋	ʰjy5	惋惜
惑	wa8	迷惑
惕	tʰi7	警惕
惘	muɔ4	惘然
惚	ɕy7	恍惚
惜	sɿ7	可惜
惟	jʮ2	惟物
惠	jʮ6	恩惠
惦	tiɛ5	惦记
懼	dʑʮ6	惧怕
慘	tsʰø3	悲惨
懲	dʑiəŋ2	惩罚
憊	bɛ6	力惫爻
愜	tɕʰi7	惬快
慚	dza2	惭愧
憚	da6	肆无忌惮
慣	ka5	习惯
惰	du4	懒惰
想	ɕiɛ3	想象
惴	tsai5	恐惧惴怯惴惴不安
惶	ɦuɔ2	惶恐
惹	zɿ4	惹火烧身
惺	ɕiəŋ1	忪惺
愁	zau2	忧愁
愆	tɕʰi1	罪过
愈	jʮ4	愈加
愉	jʮ2	愉快
愎	bi8	刚愎自用
意	ʰji5	意志
愕	ŋo8	惊愕
愚	ȵy2	愚蠢
感	kø3	感激
愣	laŋ6	失神,发呆
憤	vaŋ4	愤怒
愧	tɕʮ5	惭愧
愧	kʰai5	愧对
愫	so5	情愫:真情
願	ȵy6	愿望
慈	zɿ2	慈悲
慌	huɔ1	慌忙
慎	zaŋ6	谨慎
懾	sɿ7	威慑
慕	mu6	羡慕
慢	ma6	快慢
慧	jʮ6	智慧
慨	kʰe5	慷慨感慨
慪	au5	~气
慰	jʰʮ5	慰问
慷	kʰuɔ1	慷慨
憋	pi7	闷气
憎	tsaŋ1	憎恶
憔	dʑyə1	憔悴
憧	tɕʰyoŋ1	心神不定
憨	hø1	憨里憨气
憩	tɕʰi5	休息
憾	ɦø4	遗憾
懂	toŋ3	懂事
懂	dʑiaŋ6	饥馑
懈	ɦɛ2	松懈
懊	ə5	懊恼
懋	mə6	勤勉,盛大
懣	mø4	愤懑
懶	la4	懒惰
懶	lɛ4	懶学
懞	moŋ4	昏昧无知
懦	no6	懦夫
懵	moŋ4	懵懂
懵	moŋ2	晦暗无光貌
懿	ʰji5	司马懿
戇	tɕyɔ5	迁愚而刚直
戈	ku1	兵戈
戊	mu6	天干第五位
戌	ɕy7	地支第十一位
戍	ɕʮ5	守边卫戍
戎	zoŋ2	兵戎相见
戲	sɿ5	京戏
成	ʑiəŋ2	成功
我	ŋ̍4	我们
戒	kɛ5	戒备
戕	ʑiɛ2	残害
或	wa8	或者
戰	tɕi5	战斗
戚	tsʰɿ7	亲戚
戛	ka7	长矛
戟	tɕiai7	古兵器
戡	kʰø1	战乱
戢	tsai7	收藏兵器
截	ʑi8	割断
戮	liəu8	杀
戳	tɕʰyo7	以尖端触物邮戳
戴	te5=	姓氏
戴	tɛ5-	戴帽
