#漢字	音標	解釋#('wuu_sl_sy', '松陽話', '松陽', '#8B0000', None, None, '來源：<u>落橙</u>', '51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
#簡稱	/	松陽#與文件名一致
#全稱	/	松陽話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	51 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,214 3 2a 陰上 ꜂,22 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：<u>落橙</u>#HTML格式，僅允許一行，用<br>換行
扔	niŋ2	
托	tʰoʔ7	
扛	koŋ1	
扡	tɕʰiɛ̃5	
扣	kʰei5	
扭	ȵiəɯ4	
扮	pɔ̃5	
扳	pɔ̃3	
扶	fuə6	
批	pʰiɛ1	
扼	aʔ7	
找	tsɔ3	
承	ɕiŋ2	
技	tsɿ6	
抄	tsʰɔ1	
把	pu5	
抑	iʔ7	
抓	tsɔ1	
投	dei2	
抖	tei3	
抗	kʰoŋ5	
折	tɕiɛʔ7	
折	ɕiɛʔ8	
披	pʰi1	
抬	dɛ2	
抱	buə4	
抵	tiɛ3	
抹	mɛʔ8	
押	ɔʔ7	
抽	tɕʰiəɯ1	
拂	fɛʔ7	
拆	tsʰaʔ7	
拇	m4	
拈	ȵiɛ̃1	
拉	la1	
拋	pʰɔ1	
拌	bɛ̃4	
拍	pʰaʔ7	
拐	kua3	
拒	dʑyɛ4	
拔	bɔʔ8	
拖	tʰa1	
拖	tʰu1	
拗	ŋɔ3	
拗	ŋaʔ8	
拘	tɕyɛ1	
拙	tɕyɛʔ7	
招	tɕiɜ1	
拜	pa5	
括	kuaʔ7	
拯	tɕiŋ3	
拱	kəŋ3	
拳	dʑyɛ̃2	
拴	ɕyɛ̃1	
拼	pʰiŋ1	
拾	ɕyɛʔ8	
拿	nɔ1	
持	dzɿ2	
指	tɕiʔ7	
指	tsɿ3	
按	uɛ̃5	
挑	tʰiɔ1	
挖	uɔʔ7	
挨	a1	
振	tɕiŋ5	
挺	tʰiŋ3	
挽	uɔ̃4	
挾	iɛʔ8	
捅	tʰəŋ3	
捆	kʰuɛ̃i3	
捉	tɕyoʔ7	
捋	lɛʔ8	
捎	sɔ1	
捏	ȵiaʔ8	
捐	tɕyɛ̃1	
捕	buə6	
捧	pʰəŋ3	
捩	lɛ6	
捷	dʑiɛʔ8	
捺	nɔʔ8	
掀	ɕiɛ̃1	
掂	tiɛ̃1	
掃	sɜ5	
掇	tɛʔ7	
授	ɕiəɯ4	
掉	diɔ6	
掌	tɕiaŋ3	
掏	tʰɜ1	
掐	kʰɔʔ7	
排	ba2	
掘	ɡuɛʔ8	
掘	dʑyɛʔ8	
掛	kuə5	
掠	liaʔ8	
探	tʰɛ̃5	
接	tɕiɛʔ7	
控	kʰəŋ5	
推	tʰei1	
掩	iɛ̃1	
措	tsʰu5	
掭	tʰiɛ̃5	
掮	dʑiɛ̃2	
揀	kɔ̃3	
揆	dʑy2	
揉	ȵyoʔ8	
描	miɜ2	
提	diɛ2	
插	tsʰɔʔ7	
揖	iʔ7	
揚	iaŋ2	
換	uɔ̃6	
握	ɤʔ7	
揢	kʰuə5	
揩	kʰa1	
揪	tɕʰiəɯ1	
揭	tɕiɛʔ7	
揮	fei1	
援	yɛ̃2	
損	sɛ̃3	
搓	tsʰu1	
搖	iɜ2	
搜	sei1	
搝	tɕʰiəɯ3	
搞	kɔ3	
搨	tʰɔʔ7	
搬	bɛ̃2	
搭	tɔʔ7	
搶	tɕʰiaŋ3	
搽	duə2	
摔	ɕyʔ7	
摘	tsaʔ7	
摜	ɡuɔ̃4	
摞	lu4	
摟	lei2	
摩	mu2	
摳	kʰei3	
摸	moʔ7	
摹	muə6	
摺	tɕiɛʔ7	
撇	pʰiɛʔ7	
撈	lɜ2	
撐	tsʰaŋ1	
撒	sɔʔ7	
撓	ȵiɔ2	
撕	tsʰɿ1	
撞	dʑioŋ6	
撤	tɕʰiɛʔ7	
撥	pɛʔ7	
撩	liɔ2	
撫	fuə3	
播	pu1	
撮	tsʰɛʔ7	
撰	dzɔ̃4	
撲	pʰoʔ7	
撲	pʰɤʔ7	
撼	uɛ̃4	
擁	ioŋ5	
擅	ɕiɛ̃6	
擇	dzaʔ8	
擊	tɕiʔ7	
擋	toŋ3	
操	tsʰɜ5	
擎	dʑiŋ2	
擒	dʑiŋ2	
擔	tɔ̃1	
擔	tɔ̃5	
據	tɕyɛ5	
擦	tsʰɔʔ7	
擬	ȵi4	
擱	koʔ7	
擲	dʑiʔ8	
擴	kʰoʔ7	
擺	pa3	
擾	ȵiɔ6	
攀	pʰɔ̃1	
攆	ȵiɛ̃4	
攏	ləŋ4	
攔	lɔ̃2	
攘	ȵiaŋ4	
攙	tsʰɔ̃1	
攝	ɕiɛʔ7	
攤	tʰɔ̃1	
攪	kɔ3	
攬	lɔ̃4	
支	tsɿɛ1	
收	ɕiəɯ1	
改	kɛ3	
攻	kəŋ5	
放	foŋ5	
政	tɕiŋ5	
故	kuə5	
效	ɔ6	
敏	miŋ4	
救	kei5	
敗	ba6	
敘	ɕyɛ4	
教	kɔ5	
敝	biɛ6	
敢	kɛ̃3	
散	sɔ̃3	
散	sɔ̃5	
敦	tɛ̃1	
敨	tʰei3	
敬	tɕiŋ5	
敲	kʰɔ1	
整	tɕiŋ3	
敵	diʔ8	
敷	fuə1	
數	suə5	
斂	liɛ̃4	
斃	pi5	
文	mɛ̃i2	
斑	pɔ̃1	
料	liɔ6	
斜	ɕyə2	
斟	tɕiŋ1	
斡	uɔʔ7	
斤	tɕiŋ1	
斥	tɕʰiʔ7	
斧	fuə3	
斬	tsɔ̃3	
斯	sɯə1	
新	ɕiŋ1	
斲	yoʔ7	
斷	dɛ̃i4	
斷	tɛ̃i5	
方	foŋ1	
於	yɛ1	
於	yɛ2	
施	sɯə1	
旁	boŋ2	
旅	lyɛ4	
旋	ɕyɛ̃6	
旋	ɕyɛ̃2	
旌	tɕiŋ1	
族	sɤʔ8	
旗	dzɿ2	
既	tsɿ5	
日	nɛʔ8	
日	ȵiʔ8	
旦	tɔ̃5	
旨	tsɿ3	
早	tsɜ3	
旬	ɕyeŋ5	
旭	ɕyoʔ7	
旱	uɛ̃4	
旺	oŋ6	
昂	ŋɔ̃2	
昆	kʰuɛ̃1	
昌	tɕʰiaŋ1	
明	miŋ2	
昏	fɛ̃1	
易	iɛ6	
易	iɛʔ8	
昔	ɕiʔ7	
星	ɕiŋ1	
映	iŋ5	
春	tɕʰyeŋ1	
昧	mɛʔ8	
昨	saʔ8	
昭	tɕiɜ1	
是	sɿɛ4	
時	sɿ2	
晃	hoŋ3	
晉	tɕiŋ5	
晏	uɛ̃5	
晚	mɔ̃4	
晝	tsei5	
晦	fei5	
晨	ɕiŋ2	
普	pʰuə3	
景	tɕiŋ3	
晴	ɕiŋ2	
晶	tɕiŋ1	
晷	kuei3	
智	tsɿɛ1	
暈	yeŋ6	
暑	ɕyɛ3	
暖	nɛ̃i4	
暗	ɛ̃5	
暝	maŋ6	
暢	tɕʰiaŋ5	
暫	dzɔ̃4	
暮	muə6	
暱	ȵiʔ8	
暴	bɜ4	
暹	ɕiɛ̃1	
曆	liʔ8	
曉	ɕiɜ3	
曝	bɜ4	
曠	kʰoŋ5	
曩	noŋ4	
曬	sa5	
曰	iaʔ8	
曲	tɕʰyoʔ7	
更	kaŋ1	
更	kaŋ5	
曷	ŋuɛʔ8	
書	ɕyɛ1	
曹	sɜ4	
曾	tsɛ̃1	
曾	sɛ̃2	
替	tʰiɛ5	
最	tsei5	
會	uei6	
會	kuei5	
月	ȵyɛʔ8	
有	iəɯ4	
有	uə4	
朋	bɛ̃2	
服	fɤʔ8	
朔	ɕyoʔ7	
朕	dʑiŋ2	
朗	loŋ6	
望	moŋ6	
朝	tɕiɜ1	
朝	dʑiɜ2	
期	dzɿ2	
木	mɤʔ8	
未	mi6	
末	mɛʔ8	
本	pɛ̃3	
朮	dʑyiʔ5	
朱	tɕyɛ1	
朵	tu3	
朽	ɕiəɯ3	
杆	kuɛ̃i1	
杆	kuɛ̃3	
杈	tsʰuə1	
杉	sɔ̃1	
李	li4	
杏	aŋ4	
材	sɛ2	
村	tsʰɛ̃1	
杖	dʑiaŋ4	
杜	duə4	
杞	tsʰɿ3	
束	ɕyoʔ7	
杠	koŋ1	
杠	koŋ5	
杭	oŋ2	
杯	pei1	
東	təŋ1	
杳	iɜ3	
杷	bɔ2	
松	səŋ1	
松	səŋ5	
松	sɛ̃2	
板	pɔ̃3	
枇	bi2	
枉	ioŋ3	
析	ɕiʔ7	
枕	tɕiŋ3	
林	lɛ̃i2	
枚	mei2	
果	ku3	
枝	tsɿɛ1	
枯	kʰuə1	
枵	ɕiɜ1	
架	kuə5	
柄	piŋ3	
柏	paʔ7	
某	mei4	
柑	kɛ̃1	
染	ȵiɛ̃4	
柔	ȵiəɯ2	
柚	iəɯ6	
查	dzuə2	
柩	ɡei4	
柬	kɔ̃3	
柱	dʑyɛ4	
柳	liəɯ4	
柴	sa2	
柵	tsaʔ7	
柿	sɯə4	
栗	liʔ8	
校	ɔ6	
株	tɕyɛ1	
核	ŋuɛʔ8	
根	kɛ̃1	
格	kaʔ7	
栽	tsɛ1	
桂	tɕyɛ5	
桃	dɜ2	
桅	uei2	
案	uɛ̃5	
桌	tyoʔ7	
桐	dəŋ2	
桑	soŋ1	
桓	uɛ̃2	
桶	dəŋ4	
梁	liaŋ2	
梅	mei2	
梓	tsɯə1	
梗	kuaŋ3	
條	diɔ2	
梢	sɔ1	
梧	ŋuə2	
梨	li2	
梭	su1	
梯	tʰiɛ1	
梯	tʰɛ1	
械	a6	
梳	suə1	
梵	fɔ̃2	
棄	tsʰɿ5	
棉	miɛ̃2	
棋	dzɿ2	
棍	kuɛ̃5	
棒	boŋ4	
棕	tsəŋ1	
棗	tsɜ3	
棘	tɕiʔ7	
棚	bəŋ2	
棟	təŋ5	
棠	doŋ2	
棧	dzɔ̃6	
森	sɛ̃i1	
棲	tsʰɿɛ1	
棵	kʰu1	
棺	kuɔ̃1	
椅	y3	
植	dʑiʔ8	
椏	uə1	
椒	tɕiɜ1	
椰	yə2	
椽	dʑyɛ̃2	
楂	tsuə1	
楊	iaŋ2	
楓	fəŋ1	
楚	tsʰuə3	
楝	liɛ̃2	
楣	mei2	
楦	ɕyɛ̃5	
業	ȵiɛʔ8	
極	dʑiʔ8	
楷	kʰa3	
概	kɛ5	
榆	yɛ2	
榛	tɕiŋ1	
榜	poŋ3	
榨	tsɔʔ7	
榫	sɛ̃i3	
榮	iəŋ2	
榴	lei2	
榻	tʰɔʔ7	
構	kei5	
槌	dʑy2	
槍	tɕʰiaŋ1	
槐	ua2	
槳	tɕiaŋ3	
槽	sɜ2	
樁	tioŋ1	
樂	ŋɔ6	
樂	ŋoʔ8	
樂	loʔ8	
樓	lei2	
標	piɜ1	
樞	ɕyɛ1	
樟	tɕiaŋ1	
模	mɤʔ7	
樣	iaŋ6	
樵	dʑiɜ2	
樸	pʰoʔ7	
樸	pʰɤʔ7	
樹	ɕyɛ6	
樹	dʑiəɯ6	
橄	kɛ̃3	
橋	dʑiɜ2	
橘	tɕiʔ7	
橙	dʑiŋ2	
橛	ɡuɛʔ8	
橛	dʑyɛʔ8	
機	tsɿ1	
橡	ɕiaŋ4	
橫	uaŋ2	
檀	dɔ̃2	
檔	toŋ5	
檜	kuei5	
檢	tɕiɛ̃3	
檳	piŋ1	
櫃	dʑy6	
櫓	luə4	
櫥	dʑyɛ2	
櫻	iŋ1	
欄	lɔ̃2	
權	dʑyɛ̃2	
欖	lɔ̃4	
欛	puə5	
欠	tɕʰiɛ̃5	
次	tsʰɯə5	
欣	ɕiŋ1	
欲	yoʔ8	
欺	tɕʰy1	
欽	tɕʰiŋ1	
款	kʰuɔ̃3	
歇	ɕiɛʔ7	
歉	tɕʰiɛ̃5	
歌	ku1	
歎	tʰɔ̃5	
歐	ei1	
歡	fɔ̃1	
止	tsɿ3	
正	tɕiŋ1	
正	tɕiŋ5	
此	tsʰɯə3	
步	buə6	
武	muə4	
歪	ua1	
歲	ɕyɛ5	
歸	kuei1	
死	sɯə3	
殃	iaŋ1	
殆	dɛ4	
殉	ɕyeŋ2	
殊	ɕyɛ2	
殖	dʑiʔ8	
殘	sɔ̃2	
殮	liɛ̃6	
殯	piŋ1	
殲	tɕʰiɛ̃1	
段	dɛ̃i6	
殷	iŋ1	
殺	sɔʔ7	
殼	kʰoʔ7	
殿	diɛ̃6	
毀	fei3	
毅	ȵi6	
毆	ei1	
母	m4	
每	mei4	
毒	dɤʔ8	
比	pi3	
毛	mɜ2	
毛	m2	
毫	ɜ2	
毯	tʰɔ̃3	
氈	tɕiɛ̃5	
氏	sɿɛ4	
民	miŋ2	
氓	moŋ2	
氣	tsʰɿ5	
水	ɕy3	
永	yeŋ4	
汀	tʰiŋ1	
汁	tɕiʔ7	
求	ɡei2	
汊	tsʰuə1	
汏	da6	
汗	uɛ̃6	
汙	uə1	
汝	ȵyɛ4	
汞	kəŋ5	
江	koŋ1	
池	dzɿ2	
汪	oŋ1	
汲	tɕiʔ7	
汴	biɛ̃6	
決	tɕyɛʔ7	
汽	tsʰɿ5	
沂	ȵi2	
沃	ɤʔ7	
沈	ɕiŋ3	
沉	diŋ6	
沉	dʑiŋ2	
沌	dɛ̃2	
沐	mɤʔ8	
沒	mɛʔ8	
沖	tɕʰiəŋ1	
沙	sa1	
沙	suə1	
沛	pʰei5	
沫	mɛʔ8	
河	u2	
沸	pei3	
油	iəɯ2	
治	dzɿ6	
沼	dʑiɜ2	
沾	ȵiɛ̃1	
沿	iɛ̃2	
況	ɕioŋ5	
泄	ɕiɛʔ7	
泅	dʑiəɯ2	
泉	ɕyɛ̃2	
泊	boʔ8	
泌	piʔ7	
泔	kɛ̃1	
法	fɔʔ7	
泗	sɿ5	
泛	fɔ̃4	
泡	pʰɔ5	
波	pu1	
泣	tɕʰiʔ7	
泥	ȵiɛ2	
注	tɕyɛ5	
泯	miŋ2	
泰	tʰa5	
泳	yeŋ4	
洋	iaŋ2	
洗	sɿɛ3	
洛	loʔ8	
洞	dəŋ6	
津	tɕyeŋ1	
洪	ŋ2	
洲	tɕiəɯ1	
活	uɔʔ8	
洽	iɛʔ8	
派	pʰa5	
流	lei2	
浙	tɕiɛʔ7	
浚	ɕyeŋ5	
浜	piŋ1	
浦	pʰuə3	
浩	ɜ4	
浪	loŋ6	
浮	fuə2	
浴	yoʔ8	
海	hɛ3	
浸	tɕiŋ5	
消	ɕiɜ1	
涉	ɕiɛʔ8	
涎	ɕiɛ̃2	
涓	tɕyɛ̃1	
涕	tʰiɛ5	
涯	a2	
液	iɛʔ8	
涼	liaŋ2	
淆	ɔ2	
淋	lɛ̃i2	
淑	ɕyoʔ7	
淒	tsʰɿɛ1	
淚	lei6	
淡	dɔ̃4	
淤	yɛ1	
淩	lɛ̃i2	
淪	lɛ̃i2	
淫	iŋ2	
淮	ua2	
深	ɕiŋ1	
淵	yɛ̃1	
混	uɛ̃4	
淹	iɛ̃1	
淺	tɕʰiɛ̃3	
添	tʰiɛ̃1	
清	tɕʰiŋ1	
減	kɔ̃3	
渠	dʑyɛ2	
渠	ɡɛʔ8	
渡	duə6	
渣	tsuə1	
渧	tiɛ5	
測	tsʰɛʔ7	
港	koŋ3	
渴	kʰuɛʔ7	
渺	miɜ4	
渾	uɛ̃i2	
湊	tsʰei5	
湖	uə2	
湧	ioŋ4	
湯	tʰoŋ1	
溉	kɛ5	
源	ȵyɛ̃2	
溜	lei1	
溝	kei1	
溪	tsʰɿɛ1	
溫	uɛ̃1	
溺	ȵiʔ8	
滂	boŋ2	
滅	miɛʔ8	
滋	tsɯə1	
滑	uɔʔ8	
滔	tʰɜ1	
滬	uə4	
滯	dzɿɛ6	
滲	tsʰɛ̃i5	
滲	sɛ̃i5	
滴	tiʔ7	
滸	fuə3	
滾	kuɛ̃i3	
滿	mɛ̃4	
漁	ŋɯə2	
漂	pʰiɜ1	
漆	tɕʰiʔ7	
漏	lei6	
演	iɛ̃4	
漚	ei3	
漢	fɛ̃5	
漫	mɛ̃4	
漱	sɜ5	
漲	tɕiaŋ3	
漸	ɕiɛ̃4	
漿	tɕiaŋ5	
潑	pʰɛʔ7	
潔	tɕiɛʔ7	
潘	pʰɛ̃1	
潛	ɕiɛ̃2	
潤	yeŋ6	
潭	dɛ̃2	
潮	dʑiɜ2	
潰	kʰuei5	
潲	sɔ5	
潷	piʔ7	
潺	sɔ̃2	
澀	sɛʔ7	
澄	diŋ6	
澆	tɕiɜ1	
澡	tsɜ3	
澤	dzaʔ8	
澱	diŋ6	
澳	ɜ5	
激	tɕiʔ7	
濁	dʑyoʔ8	
濃	ȵioŋ2	
濕	tɕʰiaʔ7	
濕	ɕiʔ7	
濟	tsɿɛ5	
濤	dɜ2	
濫	lɔ̃6	
濯	dʑyoʔ8	
濺	tɕiɛ̃5	
濾	liɛ6	
瀉	ɕyə5	
瀋	ɕiŋ3	
瀑	bɤʔ8	
瀙	tsʰɛ̃i5	
灌	kuɔ̃5	
灑	sa3	
灘	tʰɔ̃1	
灠	lɔ̃4	
灣	uɔ̃1	
火	fu3	
灰	fei1	
灶	tsɜ5	
灸	kei5	
災	tsɛ1	
炊	tɕʰy1	
炎	iɛ̃2	
炒	tsʰɔ3	
炕	kʰoŋ5	
炙	tɕiʔ7	
炭	tʰɔ̃5	
炮	pʰɔ5	
炸	tsɔʔ7	
爲	y6	
烈	liɛʔ8	
烊	iaŋ2	
烏	uə1	
烘	həŋ1	
烙	loʔ8	
烤	kʰɜ3	
烹	pʰaŋ1	
焉	iɛ̃2	
焊	uɛ̃4	
焙	bɛ6	
焚	fɛ̃i2	
無	muə2	
焦	tɕiɜ1	
焰	iɛ̃6	
然	ȵiɛ̃2	
煉	liɛ̃6	
煎	tɕiɛ̃1	
煙	iɛ̃1	
煞	sɔʔ7	
煠	sɔʔ8	
煤	mei2	
煥	fɔ̃5	
照	tɕiɜ5	
煨	uei1	
煩	fɔ̃2	
煮	tɕyɛ3	
煮	iɛ3	
熄	ɕiʔ7	
熊	iəŋ2	
熔	ioŋ2	
熙	sɿɛ1	
熟	ɕyoʔ8	
熨	yeŋ4	
熬	ŋɜ2	
熯	hɛ̃5	
熱	ȵiɛʔ8	
燃	ȵiɛ̃2	
燈	tɛ̃1	
燎	liɔ4	
燎	liɔ2	
燒	ɕiɜ1	
燕	iɛ̃1	
燕	iɛ̃5	
燙	tʰoŋ5	
營	iŋ2	
燥	sɜ5	
燦	tsʰɔ̃5	
燭	tɕyoʔ7	
燻	ɕiəŋ1	
燻	ɕyeŋ1	
爆	pɔ5	
爊	ɜ1	
爐	luə2	
爛	lɔ̃6	
爪	tsɔ3	
爬	buə2	
爭	tsaŋ1	
爵	tɕiaʔ7	
父	fuə4	
爸	paʔ7	
爺	yə2	
爽	soŋ3	
爾	ȵi4	
爿	bɔ̃2	
牆	ɕiaŋ2	
片	pʰiɛ̃5	
版	pɔ̃3	
牌	ba2	
牒	diɛʔ8	
牘	dɤʔ8	
牙	ŋuə2	
牚	tsʰaŋ5	
牛	ŋei2	
牡	m4	
牢	lɔ1	
牧	mɤʔ8	
物	mɛʔ8	
牯	kuə3	
牲	saŋ1	
特	dɛʔ8	
牽	tɕʰiɛ̃1	
犀	sɿɛ1	
犁	liɛ2	
犒	kʰɜ5	
犧	sɿ1	
犬	tɕʰiɛ̃3	
犯	fɔ̃4	
狀	ɕioŋ6	
狂	ɡoŋ2	
狄	diʔ8	
狎	ɔʔ8	
狐	uə2	
狗	kei3	
狡	kɔ3	
狸	li2	
狹	ɔʔ8	
狼	loŋ2	
猛	maŋ4	
猜	tsʰɛ1	
猝	tsɛʔ7	
猴	ei2	
猶	iəɯ2	
猾	uɔʔ8	
獃	ŋɛ2	
獄	yoʔ8	
獅	sɯə1	
獎	tɕiaŋ5	
獐	tɕiaŋ1	
獨	dɤʔ8	
獲	uɔʔ8	
獵	liɛʔ8	
獸	ɕiəɯ5	
獺	tʰɔʔ7	
獻	ɕiɛ̃5	
玄	yɛ̃2	
率	sa5	
率	liʔ8	
玉	ȵyoʔ8	
王	ioŋ2	
玩	uɔ̃2	
玫	mei2	
玻	pu1	
珀	pʰaʔ7	
珊	sɔ̃1	
珍	tɕiŋ1	
珠	tɕyɛ1	
班	pɔ̃1	
現	iɛ̃6	
球	ɡei2	
理	li4	
琉	lei2	
琛	ɕiŋ1	
琢	tyoʔ7	
琴	dʑiŋ2	
琵	bi2	
琶	bɔ2	
瑕	uə2	
瑞	ɕyɛ6	
瑟	sɛʔ7	
瑣	su3	
瑰	kuei5	
璃	li2	
璞	pʰoʔ7	
璧	piʔ7	
環	ɡuɔ̃2	
環	uɔ̃2	
瓊	dʑyeŋ2	
瓜	kuə1	
瓢	biɜ2	
瓣	bɔ̃6	
瓤	ȵiaŋ2	
瓦	ŋuə4	
瓶	biŋ2	
瓷	tsɯə1	
甌	ei1	
甕	iəŋ3	
甘	kɛ̃1	
甚	ɕiŋ4	
甜	diɛ̃2	
生	saŋ1	
生	ɕiŋ1	
產	tsʰɔ̃3	
甥	saŋ1	
用	ioŋ6	
甫	fuə3	
甬	ioŋ4	
田	diɛ̃2	
由	iəɯ2	
甲	kɔʔ7	
申	ɕiŋ1	
男	nɛ̃2	
界	ka5	
畏	uei5	
畔	bɛ̃4	
留	lei2	
畜	tɕʰyoʔ7	
畝	m6	
畢	piʔ7	
略	liaʔ8	
番	fɔ̃7	
番	fɔ̃1	
畫	uə6	
異	iɛ6	
當	toŋ1	
當	toŋ5	
疆	tɕiaŋ1	
疊	diɛʔ8	
疏	suə1	
疑	ȵi2	
疔	tiŋ1	
疝	sɔ̃5	
疤	pu1	
疥	ka3	
疫	yɛʔ8	
疲	bi2	
疵	tsʰɯə3	
疹	tɕiŋ5	
疾	dʑiʔ8	
病	biŋ6	
症	tɕiŋ5	
痊	ɕyɛ̃2	
痔	dzɿ4	
痕	ɛ̃2	
痘	dei6	
痛	tʰəŋ5	
痞	pʰi2	
痢	li2	
痣	tsɿ5	
痧	suə1	
痰	dɔ̃2	
痱	pei3	
痲	m2	
痹	bi6	
瘋	fəŋ1	
瘍	iaŋ2	
瘟	uɛ̃1	
瘡	tɕʰioŋ1	
瘦	sɜ5	
瘧	ȵiaʔ8	
瘴	tɕiaŋ5	
瘸	dʑyə2	
療	liɔ2	
癆	lɜ2	
癖	pʰiʔ7	
癟	piɛʔ7	
癡	tsʰɿ1	
癢	ɕioŋ4	
癩	lɔʔ8	
癬	ɕyɛ̃3	
癲	tiɛ̃1	
癸	kuei3	
癸	tɕy3	
登	tɛ̃1	
發	fɔʔ7	
白	baʔ8	
百	paʔ7	
皂	sɜ4	
的	tiʔ7	
皆	ka1	
皇	oŋ2	
皖	uɔ̃4	
皮	bi2	
皴	tɕyeŋ5	
皺	tsei5	
皿	miŋ4	
盂	yɛ2	
盆	bɛ̃2	
盈	iŋ2	
益	iʔ7	
盍	ɛʔ8	
盒	ɛʔ8	
盔	kʰuei1	
盛	ɕiŋ6	
盜	dɜ6	
盞	tsɔ̃5	
盟	miŋ2	
盡	ɕiŋ4	
監	kɔ̃1	
監	kɔ̃5	
盤	bɛ̃2	
盧	luə2	
目	mɤʔ8	
盲	maŋ2	
直	dʑiʔ8	
相	ɕiaŋ1	
相	ɕiaŋ5	
盼	pʰɔ̃5	
盾	dɛ̃6	
省	saŋ3	
省	ɕiŋ3	
眉	mi2	
看	kʰɔ̃5	
真	tɕiŋ1	
眠	miɛ̃2	
眨	tsɔʔ7	
眩	ɕyɛ̃6	
眶	kʰoŋ1	
眷	tɕyɛ̃5	
眼	ŋɔ̃4	
眾	tɕiəŋ5	
睏	kʰuɛ̃5	
睛	tɕiŋ1	
睜	tsaŋ1	
睡	sei6	
督	tɤʔ7	
睬	tsʰɛ3	
瞎	hɔʔ7	
瞖	i1	
瞞	mɛ̃2	
瞧	dʑiɜ2	
瞪	tɛ̃i1	
瞬	ɕyeŋ5	
瞰	kʰɛ̃5	
瞳	dəŋ2	
瞻	tɕiɛ̃1	
瞿	dʑyɛ2	
矛	mɜ2	
矢	sɿ3	
矣	i4	
知	tsɿɛ1	
矩	tɕyɛ3	
短	tei3	
矮	a3	
矯	tɕiɜ3	
石	ɕiʔ8	
砂	suə1	
砌	tsʰɿɛ5	
砍	kʰɔ̃3	
研	ȵiɛ̃2	
砧	tiŋ1	
破	pʰa5	
破	pʰu5	
硃	tɕyɛ1	
硝	ɕiɜ1	
硫	lei2	
硬	ŋaŋ6	
硯	ȵiɛ̃4	
碎	sei3	
碑	pei1	
碓	tei5	
碗	uɔ̃3	
碟	diɛʔ8	
碧	piʔ7	
碩	ɕyoʔ8	
確	kʰoʔ7	
碼	muə4	
碾	ȵiɛ̃3	
磁	sɯə2	
磉	soŋ3	
磕	kʰɛʔ7	
磚	tɕyɛ̃1	
磨	m6	
磨	m2	
磬	tɕʰiŋ5	
磷	lɛ̃i2	
礎	tsʰɯə3	
礙	ŋɛ6	
礦	kʰoŋ5	
礫	liʔ8	
礬	fɔ̃2	
礱	ləŋ2	
示	sɿ3	
社	ɕyə4	
祀	sɯə4	
祁	dzɿ2	
祈	dzɿ2	
祐	iəɯ6	
祖	tsuə3	
祝	tɕyoʔ7	
神	ɕiŋ2	
祠	sɯə2	
祥	ɕiaŋ2	
票	pʰiɜ5	
祭	tsɿɛ5	
祿	lɤʔ8	
禁	tɕiŋ5	
禍	u4	
福	fɤʔ7	
禦	yɛ6	
禧	sɿ1	
禪	ɕiɛ̃6	
禪	sɛ̃2	
禮	liɛ4	
禱	tɜ3	
禹	yɛ4	
禽	dʑiŋ2	
禾	u2	
禿	tʰɤʔ7	
秀	ɕiəɯ5	
私	sɯə1	
秉	piŋ3	
秋	tɕʰiəɯ1	
科	kʰu1	
秒	miɜ6	
秘	piʔ7	
秘	miʔ8	
租	tsɯə1	
秤	tɕʰiŋ5	
秦	dʑiŋ2	
秧	iaŋ1	
秧	ɛ̃1	
秩	dʑiʔ8	
秫	ɕyɛʔ8	
移	iɛ2	
稀	sɿ1	
稅	ɕyɛ5	
稈	kuɛ̃3	
程	dʑiŋ2	
稍	sɔ1	
稗	buə6	
稚	dzɿ6	
稟	piŋ3	
稠	dʑiəɯ2	
種	iəŋ3	
種	iəŋ5	
稱	tɕʰiŋ1	
稷	tɕiʔ7	
稻	dɜ4	
稼	kuə1	
稽	tsɿɛ5	
稿	kɜ3	
穀	kɤʔ7	
穄	tsɿɛ5	
穆	mɤʔ8	
積	tɕiʔ7	
穎	iŋ3	
穗	ɕy6	
穢	yɛ5	
穩	uɛ̃3	
穴	iaʔ8	
究	kei5	
空	kʰəŋ1	
空	kʰəŋ5	
穿	tɕʰyeŋ1	
穿	tɕʰyɛ̃1	
突	dɤʔ8	
窄	tsɔʔ7	
窒	ɕiʔ7	
窖	kɔ5	
窗	tɕʰioŋ1	
窘	tɕyeŋ1	
窘	tɕyeŋ3	
窟	kʰuɛʔ7	
窠	kʰu1	
窨	iŋ1	
窩	u1	
窪	uə1	
窮	dʑiəŋ2	
窯	iɜ2	
窰	iɜ2	
