#漢字	音標	解釋
㪗	tʰɐu3	展開
敲	hau1	
整	tʃeŋ3	
敷	fu1	
數	ʃou3	動詞
數	ʃou5	數目
斂	tin4	
斃	pɐi8	
文	mɐn6	
斑	pan1	
斗	tɐu3	一斗米
料	liu8	預料
斛	hok8	
斜	tʃʰɛ6	
斝	ka3	玉製的盛酒器具
斟	tʃɐm1	
斠	kau5	
斡	wat7b	
斥	tʃek7a	
斥	tʃʰek7a	
斧	fu3	
斬	tʃam3	
斬	tʃan3	
斯	ʃi1	
新	ʃɐn1	
斷	tyn8	斷絕
斷	tyn5	決斷
方	fɔŋ1	
於	jy1	
施	ʃi1	
旁	pʰɔŋ6	
旅	lui4	
旋	ʃyn6	
族	tʃok8	
旗	kʰei6	
既	kei5	
日	jɐt8	
旦	tan5	元旦
旦	tan3	花旦
旨	tʃi3	
早	tʃou3	
旬	tʃʰɵn6	
旱	hɔn4	
旺	wɔŋ8	
昂	ɔŋ6	
昆	kwʰɐn1	
昌	tʃʰɔŋ1	
明	meŋ6	
昏	fɐn1	
易	jek8	交易
易	ji8	難易
昔	ʃek7a	
星	ʃɛŋ1-	
星	ʃeŋ1	星空
映	jeŋ3	
春	tʃʰɵn1	
昧	mui8	
昨	tʃɔk8	
昭	tʃiu1	昭雪
是	ʃi8	
時	ʃi6	
晃	fɔŋ3	
晉	tʃɵn5	
晌	hɔŋ3	
晏	an5	
曬	ʃai5	
晚	man4	
晝	tʃɐu5	
晦	fui5	
晨	ʃɐn6	
普	pʰou3	
景	keŋ3	
晴	tʃʰeŋ6	
晶	tʃeŋ1	
智	tʃi5	
暇	ha8	分身不暇
暈	wɐn6	
暉	fɐi1	
暑	ʃy3	
暖	lyn4	
暗	ɐm5	
暢	tʃʰɔŋ5	
暫	tʃam8	
暮	mou8	
暴	pou8	
曆	lek8	
曉	hiu3	
曝	pok8	
曠	kwʰɔŋ5	
曬	ʃai5	晒之異體字
曰	jyt8	
曲	kʰok7a	曲折
曳	jɐi4	
更	kaŋ1	
更	kɐŋ1	更換
更	kɐŋ5	更加
書	ʃy1	
曹	tʃʰou6	
曾	tʃɐŋ1	
曾	tʃʰɐŋ6	曾經
替	tʰɐi5	
最	tʃui5	
會	wui4	懂得
會	wui8	會計
月	jyt8	
有	jɐu4	
朋	pʰɐŋ6	
服	fok8	
朔	ʃɔk7b	
朗	lɔŋ4	
望	mɔŋ8	
朝	tʃiu1	今朝
朝	tʃʰiu6	朝代
期	kʰei6	
木	mok8	
未	mei8	
末	mut8	
本	pun3	
札	tʃat7b	
朮	ʃɵt8	
朱	tʃy1	
朴	pʰɔk7b	
朶	tɔ3	
朽	lɐu3	
杈	tʃʰa1	
杉	pɐn1	
杉	tʃʰam5	
李	lei4	
材	tʃʰɔi6	
村	tʃʰyn1	
杖	tʃɔŋ8	
杜	tou8	
杞	kei3	
束	tʃʰok7a	
杠	kɔŋ5	
杭	hɔŋ6	
杯	pui1	
東	toŋ1	
杳	miu4	
杵	tʃʰy3	
杷	pʰa6	
松	tʃʰoŋ6	
板	pan3	
枇	pʰei6	
枉	wɔŋ3	
析	ʃek7a	
枕	tʃɐm3	
枕	tʃɐm5	
林	lɐm6	
枚	mui6	
果	kwɔ3	
枝	tʃi1	
枯	fu1	
架	ka5	
枷	ka1	
柄	pɛŋ5	
柄	peŋ5	
柏	pak7b	
某	mɐu4	
柑	kɐm1	
染	jin4	
柔	jɐu6	
柚	jɐu8	
柜	kwɐi8	
查	tʃa1	山查
查	tʃʰa6	調查
柩	kɐu8	
柬	kan3	
柱	tʃʰy4	
柳	lɐu4	
柴	tʃʰai6	
栅	tʃʰak7b	
柿	tʃʰi3	
栗	lɵt8	
校	kau5	上校
校	hau8	學校
校	kau5	校對
株	tʃy1	
核	hɐt8	審核
核	wɐt8	核桃
根	kɐn1	
格	kak7b	
栽	tʃɔi1	
桁	haŋ6	
桂	kwɐi5	
桃	tʰou6	
桅	wɐi6	
框	kwʰaŋ1	
案	ɔn5	
桌	tʃʰɔk7b	
桐	tʰoŋ6	
桑	ʃɔŋ1	
桓	wun6	春秋時代齊桓公
桶	tʰoŋ3	
桿	kɔn1	
梅	mui6	
梓	tʃi3	
梔	tʃi1	
梗	kaŋ3	
梗	kɐŋ3	
條	tʰiu6	
梢	ʃau1	樹梢
梧	m̩6	
梨	lei6	
梭	ʃɔ1	
梯	tʰɐi1	
梯	tʰɐi3	
械	hai8	
梳	ʃɔ1	
棄	hei5	
棉	min6	
棋	kʰei6	
棍	kɐn5	
棒	pʰaŋ4	
棕	tʃoŋ1	
棗	tʃou3	
棚	pʰaŋ6	
棟	toŋ8	
棠	tʰɔŋ6	
棣	tɐi8	
棧	tʃan8	
森	ʃɐm1	
棲	tʃʰɐi1	
棵	fɔ3	
棹	tʃau8	
棺	kun1	
椅	ji3	
椏	a1	
椒	tʃiu1	
椴	tyn8	
椽	tʃʰyn6	
椿	tʃʰɵn1	
楊	jɔŋ6	姓
楓	foŋ1	
楔	ʃit7b	
楚	tʃʰɔ3	
楝	lin8	
楞	leŋ6	
楣	mei6	
業	jit8	
極	kek8	
楷	kʰai3	
概	kʰɔi5	
榆	jy6	
榛	tʃɵn1	
榜	pɔŋ3	
榧	fei3	
榨	tʃa5	
榫	ʃɵn3	榫頭
榮	weŋ6	
榴	lɐu6	
榻	tʰap7b	
構	kʰɐu5	
槌	tʃʰui6	
槍	tʃʰɔŋ1	
槐	wai6	
槳	tʃɔŋ3	
槽	tʃʰou6	
樁	tʃɔŋ1	打樁
樂	lɔk8	快樂
樂	ɔk8	音樂
樓	lɐu6	
標	piu1	
樞	ʃy1	
樟	tʃɔŋ1	
模	mou6	
樣	jɔŋ8	
樵	tʃʰiu6	
樸	pʰɔk7b	
樹	ʃy8	
樺	wa8	
樺	wa6	又
橄	kɐm3	
橈	jiu6	
橋	kʰiu6	
橙	tʃʰaŋ3	
機	kei1	
橡	tʃɔŋ8	
橢	tʰɔ4	
橫	waŋ6	
檀	tʰan6	
檁	lɐm4	正樑
檗	pʰak7b	
檜	kʰui3	
檢	kin3	
檳	pɐn1	
櫂	tʃau8	櫂槳湖上
櫃	kwɐi8	
櫓	lou4	
櫻	jeŋ1	
欄	lan6	
權	kʰyn6	
欖	lam3	
欠	hin5	
次	tʃʰi5	
欣	jɐn1	
欲	jok8	搖搖欲墜
欺	hei1	
欽	jɐm1	
款	fun3	
歇	hit7b	
歉	hit7b	
歌	kɔ1	
歎	tʰan5	
歐	ɐu1	
歡	fun1	
止	tʃi3	
正	tʃɛŋ5-	
正	tʃeŋ1	正月
正	tʃeŋ5	正常
此	tʃʰi3	
步	pou8	
武	mou4	
歪	wai1	
歲	ʃui5	
歷	lek8	
歸	kwɐi1	
歹	tai3	
殃	jɔŋ1	
殆	tɔi8	
殉	ʃɵn1	
殊	ʃy6	
殘	tʃʰan6	
殮	tin4	
殯	pɐn5	
殲	tʃʰin1	
段	tyn8	
殷	jɐn1	
殺	ʃat7b	
殼	hɔk7b	
殿	tin8	
毁	wɐi3	
毅	ɐi8	
毆	ɐu3	
母	mou4	
每	mui4	
毒	tok8	
比	pei3	
毛	mou6	
毫	hou6	
毯	tʰan3	
氈	tʃin1	
氏	ʃi8	
民	mɐn6	
氣	hei5	
水	ʃui3	
永	weŋ4	
氾	fan5	
氾	fan6	姓
汀	tʰeŋ1	水泥
求	kʰɐu6	
汗	hɔn8	
汝	jy4	
汞	hoŋ5	
江	kɔŋ1	
池	tʃʰi6	
污	wu1	
汪	wɔŋ1	
汰	tʰai5	汰弱留強
汴	pin8	
決	kʰyt7b	
汽	hei5	
沂	ji6	
沃	jok7a	
沈	ʃɐm3	
沉	tʃʰɐm6	
没	mut8	
沓	tap8	
沙	ʃa1	
沛	pʰui5	
沫	mut8	
河	hɔ6	
沸	fɐi5	
油	jɐu6	
治	tʃi8	
沼	tʃiu3	沼氣
沾	tʃin1	
沿	jyn6	
况	fɔŋ5	
泄	ʃit7b	
泅	tʃʰɐu6	
泉	tʃʰyn6	
泊	pak7b	
泊	pɔk8	澹泊名利
泌	pei5	
泔	kɐm1	
法	fat7b	
泛	fan5	廣泛,泛泛之交
泡	pʰau1	一泡尿
泡	pʰau5	泡茶
波	pɔ1	
泥	lɐi6	
注	tʃy5	
泰	tʰai5	
泳	weŋ8	
洋	jɔŋ6	
洗	ʃɐi3	
洛	lɔk8	
洞	toŋ8	
津	tʃɵn1	
洪	hoŋ6	
洲	tʃɐu1	
活	wut8	
洽	hɐp8	
派	pʰai5	
派	pʰai1	派頭
流	lɐu6	
浞	tʃok7a	
浦	pʰou3	
浩	hou8	
浪	lɔŋ8	
浮	fɐu6	
浴	jok8	
海	hɔi3	
浸	tʃɐm5	
消	ʃiu1	
涉	ʃit7b	
涎	jin6	
涕	tʰɐi5	
涮	ʃan5	
涯	ai6	
液	jek8	
涿	tɔk7b	深
淆	au6	
淋	lɐm6	
淑	ʃok8	
淒	tʃʰɐi1	
淘	tʰou6	
淚	lui8	
淡	tam8	冷淡
淡	tam8	地名:淡水
淡	tʰam4	鹹淡
淤	jy1	
淨	tʃɛŋ8-	
淨	tʃeŋ8	
淪	lɵn6	
淫	jɐm6	
淮	wai6	
深	ʃɐm1	
淵	jyn1	
混	wɐn8	
淹	jin1	
淺	tʃʰin3	
添	tʰin1	
清	tʃʰeŋ1	
減	kam3	
渠	kui6	
渡	tou8	
渣	tʃa1	
港	kɔŋ3	
渴	hɔt7b	
游	jɐu6	
渺	miu4	
渾	wɐn8	
湃	pai5	
湃	pʰai5	又
湊	tʃʰɐu5	
湖	wu6	
湘	ʃɔŋ1	
湧	joŋ3	
湯	tʰɔŋ1	
溉	kʰɔi5	
源	jyn6	
準	tʃɵn3	
溜	lɐu8	
溝	kʰɐu1	
溪	kʰɐi1	
溫	wɐn1	
溺	lek8	
滂	pʰɔŋ6	
滅	mit8	
滋	tʃi1	
滑	wat8	
滓	tʃi3	
滔	tʰou1	
滘	kau5	
滬	wu8	
滯	tʃɐi8	
滲	ʃɐm5	
滴	tek8	
滷	lou4	
滸	wu3	
滿	mun4	
漁	jy6	
漂	pʰiu1	漂浮
漂	pʰiu5	漂亮
漏	lɐu8	
演	jin3	
漚	ɐu5	
漢	hɔn5	
漫	man8	
漱	ʃɐu5	
漲	tʃɔŋ5	
漸	tʃin8	
漿	tʃɔŋ1	
潁	weŋ8	
潑	pʰut7b	
潔	kit7b	
潘	pʰun1	
潛	tʃʰin6	
潭	tʰam6	
潮	tʃʰiu6	
潰	kʰui3	
潲	ʃau5	豬潲,豬食物
潺	ʃan6	
澀	kit7b	
澄	tʃʰeŋ6	
澄	tʃʰeŋ6	水清
澄	tɐŋ8	澄粉、澄麵
澇	lou8	
澗	kan5	
澠	mɐn4	
澡	tʃou3	
澤	tʃak8	
激	kek7a	
濁	tʃok8	
濃	loŋ6	
濟	tʃɐi3	
濟	tʃɐi5	
濤	tʰou6	
濫	lam8	泛濫
濬	tʃɵn5	
濺	tʃin5	
濾	lui8	
瀉	ʃɛ5	
瀏	lɐu6	
瀑	pok8	
瀨	lai8*	瀨尿
瀨	lai3	連讀音,實際音值爲21,瀨粉
灌	kun5	
灑	ʃa3	
灘	tʰan1	
灣	wan1	
灣	wan6	銅鑼灣、長沙灣、土瓜灣
火	fɔ3	
灰	fui1	
灶	tʃou5	
灸	kɐu5	
災	tʃɔi1	
炊	tʃʰui1	
炎	jin6	
炕	kʰɔŋ5	
炙	tʃɛk7b	
炭	tʰan5	
炸	tʃa5	
爲	wɐi6	
爲	wɐi8	
烈	lit8	
烊	jɔŋ6	
烏	wu1	
烘	hoŋ5	
烙	lɔk8	
烤	hau1	
烤	hau3	
烹	pʰaŋ1	
焉	jin6	
焙	pui8	焙乾
焚	fɐn6	
無	mou6	
焦	tʃiu1	
焯	tʃʰɔk7b	
焰	jin8	
然	jin6	
煎	tʃin1	
煙	jin1	
煞	ʃat7b	
煤	mui6	
煥	wun8	
照	tʃiu5	
煨	wui1	
煩	fan6	
煮	tʃy3	
熄	ʃek7a	
熊	hoŋ6	
熏	fɐn1	
熙	hei1	
熟	ʃok8	
熥	tʰoŋ1	以火暖物
熨	wɐn5	
熬	au6	
熱	jit8	
燃	jin6	
燈	tɐŋ1	
燎	liu6	
燐	lɵn6	
燒	ʃiu1	
燕	jin1	燕京
燕	jin5	燕子
燙	tʰɔŋ5	
燦	tʃʰan5	
燭	tʃok7a	
爆	pʰau5	
爐	lou6	
爛	lan8	
爪	tʃau3	
爬	pʰa6	
爭	tʃaŋ1	
爭	tʃɐŋ1	
爵	tʃɔk7b	
父	fu8	
爸	pa1	
爸	pa6	連讀音,實際音值爲55
爹	tɛ1	
爺	jɛ6	
爽	ʃɔŋ3	
爾	ji4	
牆	tʃʰɔŋ6	
片	pʰin5	
版	pan3	
牌	pʰai6	
牌	pʰai3	連讀音,實際音值爲21,打牌
牒	tit8	
牘	tok8	
牙	a6	
牚	tʃʰaŋ5	
牛	ɐu6	
牟	mɐu6	
牠	tʰa1	
牡	mau4	
牡	mɐu4	
牢	lou6	
牧	mok8	
物	mɐt8	
物	mɐk8	
牯	ku3	
牲	ʃaŋ1	
特	tɐk8	
牽	hin1	
犀	ʃɐi1	
犁	lɐi6	
犒	hou5	
犢	tok8	
犧	hei1	
犬	hyn3	
犯	fan8	
狀	tʃɔŋ8	
狂	kwʰɔŋ6	
狐	wu6	
狒	fɐi5	
狗	kɐu3	
狡	kau3	
狸	lei6	
狹	hap8	
猙	tʃaŋ1	
猛	maŋ4	
猜	tʃʰai1	
猝	tʃʰyt7b	
猴	hɐu6	
猶	jɐu6	
猾	wat8	
獃	tai1	書獃子
獄	jok8	
獅	ʃi1	
獎	tʃɔŋ3	
獨	tok8	
獲	wɔk8	
獵	lit8	
獸	ʃɐu5	
獺	tʰat7b	
獺	tʃʰat7b	
獻	hin5	
玄	jyn6	
率	ʃɵt7a	半領
率	lɵt8	效率
玉	jok8	
王	wɔŋ6	
玩	wun3	玩味
玩	wun8	玩味
玻	pɔ1	
珈	ka1	
珊	ʃan1	
珍	tʃɐn1	
珠	tʃy1	
班	pan1	
現	jin8	
球	kʰɐu6	
理	lei4	
琉	lɐu6	
琢	tɔk7b	
琴	kʰɐm6	
琶	pʰa6	
琶	pʰei6	
琺	fat7b	
瑕	ha6	
瑞	ʃui8	
瑣	ʃɔ3	
瑶	jiu6	
瑰	kwɐi5	
璃	lei1	
璧	pek7a	
環	wan6	
璺	mɐn8	
璽	ʃai3	
瓊	kʰeŋ6	
瓜	ka1	
瓜	kwa1	
瓠	wu6	
瓢	pʰiu6	
瓣	fan8	
瓤	lɔŋ6	
瓦	a4	瓦片
瓶	pʰeŋ6	
瓷	tʃʰi6	
甌	ɐu1	
甕	oŋ5	
甖	aŋ1	
甘	kɐm1	
甚	ʃɐm8	
甜	tʰin6	
生	ʃaŋ1	
生	ʃɐŋ1	出生
産	tʃʰan3	
甥	ʃaŋ1	
用	joŋ8	
甫	pʰou3	幾甫路
甬	joŋ3	
田	tʰin6	
由	jɐu6	
甲	kap7b	
申	ʃɐn1	
男	lam6	
界	kai5	
畏	wɐi5	
留	lɐu6	
畜	tʃʰok7a	
畝	mɐu4	
略	lɔk8	
畦	kwʰɐi6	
番	fan1	番幾番
畫	wa3	名
異	ji8	
當	tɔŋ5	典當
當	tɔŋ1	當時
疆	kɔn1	
疆	kɔŋ1	
疊	tit8	
疏	ʃɔ1	
疐	tɐi5	
疑	ji6	
疔	teŋ1	
疝	ʃan5	疝氣
疤	pa1	
疥	kai5	
疫	jek8	
疲	pʰei6	
疵	tʃʰi1	
疹	tʃʰɐn3	
疼	tʰɐŋ6	
疾	tʃɐt8	
疿	fɐi3	
疿	fɐi5	
痂	ka1	
病	pɛŋ8	
症	tʃeŋ5	
痔	tʃi8	
痕	hɐn6	
痘	tɐu8	
痛	tʰoŋ5	
痞	mɐu1	
痣	tʃi5	
痧	ʃa1	刮痧
痰	tʰam6	
痱	fɐi3	
痱	fɐi8	
痲	ma6	
痺	pei5	
瘊	hɐu6	皮膚所生的小贅肉
瘋	foŋ1	
瘌	lat7b	
瘍	jɔŋ6	
瘟	wɐn1	
瘡	tʃʰɔŋ1	
瘤	lɐu6	
瘦	ʃɐu5	
瘧	jɔk8	
瘴	tʃɔŋ5	
瘸	kʰɛ6	
療	liu6	
癌	am6	
癡	tʃʰi1	
癢	jɔŋ4	
癩	lai8	異
癩	lai5	癩瘡
癬	ʃin3	
癰	joŋ1	生背癰
癸	kwɐi5	
登	tɐŋ1	
發	fat7b	
白	pak8	
百	pak7b	
皂	tʃou8	
的	tek7a	
皆	kai1	
皇	wɔŋ6	
皖	wun4	
皮	pʰei6	
皺	tʃɐu5	
皿	meŋ4	
盂	jy6	
盅	tʃoŋ1	
盆	pʰun6	
盈	jeŋ6	
益	jek7a	
盒	hɐp8	
盔	kwʰɐi1	
盛	ʃeŋ8	
盜	tou8	
盞	tʃan3	
盟	mɐŋ6	
盡	tʃɵn8	
監	kam5	太監
監	kam1	監獄
盤	pʰun6	
盧	lou6	
目	mok8	
相	ʃɔŋ1	互相
相	ʃɔŋ5	相貌
盼	pʰan5	
盾	tʰɵn4	
省	ʃaŋ3	
省	ʃeŋ3	
眉	mei6	
看	hɔn1	看守
看	hɔn5	看見
真	tʃɐn1	
眠	min6	
眨	tʃap7b	
眩	jyn8	
眯	mɐi4	
眯	mɐi6	
眵	tʃʰi1	
眶	kwʰaŋ1	
眶	hɔŋ1	
眷	kyn5	
眸	mɐu6	
眼	an4	
眾	tʃoŋ5	
睇	tʰɐi3	
睚	ai6	
睛	tʃeŋ1	
睜	tʃaŋ1	
睜	tʃɐŋ1	
睡	ʃui8	
督	tok7a	
睥	pʰɐi4	
睬	tʃʰɔi3	
瞎	hɐt8	
瞘	kʰɐu1	眼瞘
瞞	mun6	
瞧	tʃʰiu6	
瞪	tɐŋ1	
瞪	tʃʰaŋ6	
瞭	liu6	
瞳	tʰoŋ6	
瞻	tʃin1	
瞿	kui6	
矛	mau6	
矣	ji4	
知	tʃi1	
短	tyn3	
矮	ɐi3	
矯	kiu3	
石	ʃɛk8	
砂	ʃa1	
砌	tʃʰɐi5	
砍	hɐm3	
砑	a8	砑平:碾壓成偏平
研	jin6	
砝	fat7b	
砥	tɐi3	
砲	pʰau5	砲趵
破	pʰɔ5	
砸	tʃap7b	
硃	tʃy1	
硝	ʃiu1	
硫	lɐu6	
硬	aŋ8	
硯	jin8	
碎	ʃui5	
碑	pei1	
碓	tui5	
碗	wun3	
碟	tit8	
碧	pek7a	
碳	tʰan5	
確	tʃa1	
確	kʰɔk7b	
碼	ma4	
碾	lin4	
磁	tʃʰi6	
磕	hɐp8	
磨	mɔ6	動詞
磨	mɔ8	石磨
磬	heŋ5	
礎	tʃʰɔ3	
礓	kɔŋ1	磁石
礙	ɔi8	
礦	kwʰɔŋ5	
礬	fan6	
礬	fan8	異
示	ʃi8	
社	ʃɛ4	
祀	tʃi8	
祁	kʰei6	
祂	tʰa1	
祈	kʰei6	
祐	jɐu8	
祕	pei5	
祖	tʃou3	
祝	tʃok7a	
神	ʃɐn6	
祠	tʃʰi6	
祥	tʃʰɔŋ6	
票	pʰiu5	
祭	tʃɐi5	
祿	lok8	
禁	kɐm5	
禍	wɔ8	
福	fok7a	
禦	jy8	
禪	ʃin6	
禮	lɐi4	
禱	tʰou3	
禹	jy4	
禽	kʰɐm6	
禾	wɔ6	
秃	tʰok7a	
秀	ʃɐu5	
私	ʃi1	
秉	peŋ3	
秋	tʃʰɐu1	
科	fɔ1	
秒	miu4	
秕	pei3	
租	tʃou1	
秤	tʃʰeŋ5	
秧	jɔŋ1	
秫	ʃɵt8	
移	ji6	
稀	hei1	
税	ʃui5	
稈	kɔn3	
程	tʃʰeŋ6	
稍	ʃau3	
稗	pɐi8	
稚	tʃi8	
稟	pɐn3	
稠	tʃʰɐu6	
稭	kai1	
種	tʃoŋ5	植樹
種	tʃoŋ3	種類
稱	tʃʰeŋ5	相稱
稱	tʃʰeŋ1	稱呼
稻	tou8	
稼	ka5	
稿	kou3	
穀	kok7a	
穆	mok8	
積	tʃek7a	
穗	ʃui8	
穢	wɐi5	
穩	wɐn3	
穴	jyt8	
究	kɐu5	
空	hoŋ1	
穿	tʃʰyn1	
窄	tʃak7b	
窖	kau5	
窗	tʃʰɔŋ1	
窘	kwʰɐn5	
窩	wɔ1	
窪	wa1	
窮	kʰoŋ6	
窺	kwʰɐi1	
竄	tʃʰyn5	
竅	kʰiu5	
竇	tɐu8	
立	lɐp8	
站	tʃam8	
竟	keŋ3	
章	tʃɔŋ1	
童	tʰoŋ6	
端	tyn1	
競	keŋ8	
竹	tʃok7a	
竿	kɔn1	
笊	tʃau5	笊籬
笑	ʃiu5	
笛	tɛk8-	
符	fu6	
笨	pɐn8	
第	tɐi8	
笳	ka1	
等	tɐŋ3	
筋	kɐn1	
筍	ʃɵn3	
筏	fɐt8	
筐	kwʰaŋ1	
筐	hɔŋ1	
筒	tʰoŋ6	
答	tap7b	
策	tʃʰak7b	
筲	ʃau1	
筵	jin6	
筷	fai5	
箅	pɐi5	蒸食物的竹箅子
箋	tʃin1	
箍	kʰu1	
箏	tʃɐŋ1	
算	ʃyn5	
管	kun3	
箭	tʃin5	
箱	ʃɔŋ1	
箸	tʃy8	
節	tʃit8	
範	fan8	
篆	ʃyn8	
篇	pʰin1	
築	tʃok7a	
篙	kou1	
篡	ʃan5	
篤	tok7a	
篦	pei1	
篩	ʃɐi1	
篷	pʰoŋ6	
篾	mit8	
簋	kwɐi3	
簍	lɐu4	
簟	tin4	
簡	kan3	
簧	wɔŋ6	
簪	tʃam1	
簫	ʃiu1	
簰	pʰai6	竹筏
簷	ʃin6	
簸	pɔ5	
簿	pou8	簿記
籃	lam6	
籌	tʃʰɐu6	
籟	lai8	萬籟無聲
籠	loŋ6	
米	mɐi4	
米	tɛk8	
粉	fɐn3	
粗	tʃʰou1	
粘	tʃin1	
粟	ʃok7a	
粥	tʃok7a	
粳	kaŋ1	
粳	kɐŋ1	
粤	jyt8	
粹	ʃui8	
糉	tʃoŋ3	
精	tʃɛŋ1-	
精	tʃeŋ1	
糕	kou1	
糖	tʰɔŋ6	
糗	tʃʰɐu5	
糙	tʃʰou5	
糜	mɐi6	
糜	mei6	
糞	fɐn5	
糟	tʃou1	
糠	hɔŋ1	
糯	lɔ8	
糴	tɛk8	
糶	tʰiu5	
系	hɐi8	中文系
糾	tɐu3	
紀	kei3	
紂	tʃɐu8	
約	jɔk7b	公約
紅	hoŋ6	
紋	mɐn6	
紐	lɐu3	
純	ʃɵn6	
紗	ʃa1	
紙	tʃi3	
紛	fɐn1	
紝	jɐm8	
素	ʃou5	
紡	fɔŋ3	
索	ʃak7b	
索	ʃɔk7b	
紫	tʃi3	
紮	tʃat7b	
累	lei4	
累	lui4	
累	lui8	連累
細	ʃɐi5	
紹	ʃiu8	
終	tʃoŋ1	
組	tʃou3	
絆	pun8	
結	kit7b	
絞	kau3	
絡	lɔk8	
絨	joŋ6	
絮	ʃui4	
統	tʰoŋ3	
絲	ʃi1	
絹	kyn5	
綁	pɔŋ3	
綏	ʃui1	
綑	kwʰɐn3	
經	keŋ1	
綜	tʃoŋ5	
綠	lok8	
綢	tʃʰɐu6	
維	wɐi6	
綱	kɔŋ1	
網	mɔŋ4	
綻	tʃan8	破綻
綽	tʃʰɔk7b	
綿	min6	
緊	kɐn3	
緖	ʃui4	
線	ʃin5	
緞	tyn8	
締	tɐi5	
締	tɐi8	
緣	jyn6	
編	pʰin1	
緩	wun8	
緬	min4	
緯	wɐi4	
練	lin8	
縊	ɐi5	
縐	tʃɐu5	
縛	pɔk7b	
縣	jyn8	
縫	foŋ8	一條縫
縫	foŋ6	縫衣
縮	ʃok7a	
縱	tʃoŋ1	
縱	tʃoŋ5	
縷	lui4	
總	tʃoŋ3	
績	tʃek7a	
繁	fan6	
繆	mɐu8	
織	tʃek7a	
繞	jiu4	
繩	ʃeŋ6	
繪	kʰui3	
繫	hɐi8	
繭	kan3	
繳	kiu3	
繼	kɐi5	
纂	tʃyn3	
續	tʃok8	
纏	tʃʰin6	
纓	jeŋ1	
纔	tʃʰɔi6	方纔
纜	lam8	
缸	kɔŋ1	
缺	kʰyt7b	
罌	aŋ1	
罐	kun5	
罕	hɔn3	
罩	tʃau5	
罪	tʃui8	
置	tʃi5	
罰	fɐt8	
署	tʃʰy4	
罵	ma8	
罷	pa8	
羅	lɔ6	
羊	jɔŋ6	
羌	kɔŋ1	
美	mei4	
羔	kou1	
羞	ʃɐu1	
群	kwʰɐn6	
羨	ʃin8	
義	ji8	義務
羶	tʃin1	
羹	kɐŋ1	
羽	jy4	
翁	joŋ1	
翅	tʃʰi5	
翎	leŋ6	
習	tʃap8	
翠	tʃʰui5	
翡	fei3	
翰	hɔn8	
翳	ɐi5	
翻	fan1	
翼	jek8	
耀	jiu8	
老	lou4	
考	hau3	
者	tʃɛ3	
而	ji6	
耍	ʃa3	
耐	lɔi8	
耕	kaŋ1	
耕	kɐŋ1	
耗	hou5	
耙	pʰa6	
耦	ɐu4	
耬	lɐu6	
耳	ji4	
耶	jɛ6	
耽	tam1	
耿	kɐŋ3	
聊	liu6	
聒	kʰak7b	聒耳
聖	ʃeŋ5	
聘	pʰeŋ5	
聚	tʃui8	
聞	mɐn6	
聯	lin6	
聰	tʃʰoŋ1	
聲	ʃɛŋ1-	
聲	ʃeŋ1=	
聶	lit8	
職	tʃek7a	
聽	tʰɛŋ1-	
聽	tʰeŋ1=	
聽	tʰeŋ5	聽其自然
聾	loŋ6	
肄	ji8	
肅	ʃok7a	
肆	ʃi5	
肉	jok8	
肋	lɐk8	
肘	tʃau3	
肘	tʃɐu3	
肚	tʰou4	
肝	kɔn1	
股	ku3	
肢	tʃi1	
肥	fei6	
肩	kin1	
肪	fɔŋ1	
育	jok8	
肴	au6	
肺	fɐi5	
胃	wɐi8	
背	pui5	
背	pui8	背誦
胎	tʰɔi1	
胖	pun8	
胚	pʰui1	
胛	kap7b	
胞	pau1	
胡	wu6	
胳	kak7b	
胸	hoŋ1	
能	lɐŋ6	
脂	tʃi1	
脅	hit7b	
脆	tʃʰui5	
脊	tʃɛk7b	
脱	tʰyt7b	
脯	pʰou3	
脯	pʰou3	杏脯
脹	tʃɔŋ5	
脾	pʰei6	
腆	tʰin3	
腋	jek8	
腌	jin1	
腎	ʃɐn8	
腐	fu8	
腑	fu3	
腔	hɔŋ1	
腕	wun3	
腡	lɔ6	
腥	ʃɛŋ1-	
腥	ʃeŋ1=	
腦	lou4	
腫	tʃoŋ3	
腮	ʃɔi1	
腰	jiu1	
脚	kɔk7b	
腸	tʃʰɔŋ6	
腹	fok7a	
腿	tʰui3	
膏	kou5	動詞,把毛筆蘸上墨,再在硯臺邊上掭:膏筆
膏	kou1	膏腴
膚	fu1	
膜	mɔk8	
膠	kau1	
膨	pʰaŋ6	
膩	lei8	
膳	ʃin8	
膽	tam3	
膿	loŋ6	
臀	tʰyn6	
臂	pei5	
臉	tin4	
臕	piu1	
臟	tʃɔŋ8	
臣	ʃɐn6	
臥	ɔ8	
臨	lɐm6	
自	tʃi8	
臭	tʃʰɐu5	
至	tʃi5	
致	tʃi5	
臺	tʰɔi6	
臻	tʃɵn1	
臼	kʰɐu4	
臾	ʃɐu3	
舀	jiu4	
舂	tʃoŋ1	
舅	kʰɐu4	
與	jy4	
興	heŋ1	興旺
興	heŋ5	高興
舊	kɐu8	
舌	ʃit8	
舍	ʃɛ5	
舐	ʃai3	舐犢情深
舒	ʃy1	
舔	tʰin3	
舜	ʃɵn8	
舞	mou4	
舟	tʃɐu1	
舦	tʰai5	舦盤
航	hɔŋ6	
般	pun1	
舵	tʰɔ6	
舵	tʰai5	異
舶	pak7b	
船	ʃyn6	
