#漢字	音標	解釋
㐄	kʰa2	指抬脚越过沟渠。～一脚过来
筧	ɕiɛɪ̃3	
笙	ʂẽ1	
笛	tɪ7	
笠	nɪ3	
笠	nɪ7	
符	fʊ2	
笨	pẽ5	
第	tɪ5	
箋	tɕiɛɪ̃1	
籠	noŋ2	
等	tẽ3	
筋	tɕɪ̃1	
筏	xua7	
筐	kʰuɑŋ1	
筑	tʂʊ7	
筒	tʰoŋ2	
答	ta7	
策	tsʰɛ7	
篩	ʂai1	佳韵
篩	ʂai1	支韵
箏	tẽ1	
筵	iɛɪ̃2	
筷	kʰuai5	
籌	tʂʰɵ2	
签	tɕʰiɛɪ̃1	
簡	tɕiɛɪ̃3	
箄	pʰai2	
箅	pɪ5	
箍	kʊ1	
箕	tɕɪ1	
算	suaɪ̃5	
管	kuaɪ̃3	
籮	no2	
簫	ɕiʌ1	
箭	tɕiɛɪ̃5	
箱	ɕiɑŋ1	
篆	tʂuaɪ̃5	
篇	pʰiɛɪ̃1	
簍	nɵ3	
篙	kʌ1	
篡	tsʰuaɪ̃5	
篦	pɪ5	
籃	naɪ̃2	
篱	nɪ2	
篷	pʰoŋ2	
篾	miɛ7	
簧	xuɑŋ2	
簪	tsaɪ̃1	
簸	po3	～一～
簸	po5	～箕
簿	pʊ5	
籍	tɕɪ7	
米	mɪ3	
籴	tɪ7	
类	nei5	
粉	xuẽ3	
粒	nɪ3	
粒	nɪ7	
粗	tsʰɵ1	
粘	tʂaɪ̃1	
粟	sɵ7	
粤	yɛ7	
粥	tʂɵ7	
糞	xuẽ5	
糧	niɑŋ2	
粱	niɑŋ2	
粳	kẽ1	
粹	tsʰei5	
糉	tsoŋ5	
精	tɕɪ̃1	
糊	fʊ2	
糍	tsʰɿ2	
糕	kʌ1	
糖	tʰɑŋ2	
糗	ɕiɵ3	
糙	tsʰʌ5	
糜	mɪ2	
糟	tsʌ1	
糠	kʰɑŋ1	
糯	nv5	
系	tɕɪ5	
系	ɕɪ5	～词，联～，～统
紗	ʂa1	
素	sɵ5	
索	so7	
緊	tɕɪ̃3	
紫	tsɿ3	
累	nei3	
累	nei5	
絮	ɕʏ5	
繁	xuaɪ̃2	
繮	tɕiɑŋ1	
纂	tsʰuaɪ̃3	
纔	tsʰai2	
糾	tɕiɵ1	
糾	tɕiɵ3	
紅	xoŋ2	
紂	tʂɵ5	
約	io7	
級	tɕɪ7	
紀	tɕɪ3	
紉	ʐẽ5	
緯	uei5	
純	tʂʰuẽ2	
綱	kɑŋ1	
納	na7	
縱	tsoŋ5	～横
縱	tsoŋ5	放～
紛	xuẽ1	
紙	tʂʅ3	
紋	uẽ2	
紡	xuɑŋ3	
紐	niɵ3	
線	ɕiɛɪ̃5	
練	niɛɪ̃5	
組	tsɵ3	
細	ɕɪ5	
織	tʂʅ7	
縐	tsɵ5	
絆	paɪ̃5	
紹	ʂʌ5	
經	tɕɪ̃1	
經	tɕɪ̃2	
綁	pɑŋ3	
結	tɕiɛ7	
繞	ʐʌ3	
繞	ʐʌ5	
繪	xuei5	
給	ko7	
絡	no7	
絕	tɕyɛ7	
絞	tɕiʌ3	
統	tʰoŋ5	
絹	tɕyɛɪ̃5	
繡	ɕiɵ5	
綏	suei1	
繼	tɕɪ5	
績	tɕɪ7	
緒	ɕʏ5	
續	ɕiɵ2	烛韵
續	ɕʏ5	遇韵
綽	tʂʰo7	
繩	ʂẽ2	
維	uei2	
綿	miɛɪ̃2	
綢	tʂʰɵ2	
綜	tsoŋ5	
綻	tʂaɪ̃5	
綠	nɵ7	
綴	tʂuei5	
緬	miɛɪ̃3	
纜	naɪ̃5	
緝	tɕɪ7	
緞	tuaɪ̃5	
緩	xuaɪ̃5	
縷	nʏ3	
編	piɛɪ̃1	
緣	yɛɪ̃2	
縛	fʊ7	
縫	xoŋ2	
縫	xoŋ5	
纏	tʂʰaɪ̃2	
縊	ɪ5	
纓	ɪ̃1	
縮	so7	
繰	tɕʰiʌ1	指一种缝纫方法，把布往里折后顺着裤脚缝
繳	tɕiʌ3	
缸	kɑŋ1	
缺	tɕʰyɛ7	
罐	kuaɪ̃5	
网	uɑŋ3	
羅	no2	
罰	xua7	
罷	pa5	
罩	tʂʌ5	
罪	tsei5	
置	tʂʅ5	
署	ʂʊ5	
羊	iɑŋ2	
羌	tɕʰiɑŋ1	
美	mei3	
羔	kʌ1	
羞	ɕiɵ1	
羡	ɕiɛɪ̃5	
羣	tɕʰyɪ̃2	
羶	ʂaɪ̃1	
羹	kẽ1	
羽	ʏ3	
翁	oŋ1	
翅	tʂʰʅ5	
翎	nɪ̃2	
翠	tsʰei5	
翡	xuei5	
翰	xaɪ̃5	
翻	xuaɪ̃1	
翼	ɪ7	
耀	iʌ5	
老	nʌ3	
考	kʰʌ3	
者	tʂai3	
而	ɚ2	
耐	nɛ5	
耐	nai5	
耕	kẽ1	
耗	xʌ5	
耙	pʰa5	指用来破碎土块平整土地的农具，也叫钉～
耬	nɵ2	
耳	ɚ3	
耶	iɛ2	
恥	tʂʰʅ3	
耽	taɪ̃1	
耿	kẽ3	
聶	niɛ7	
聊	niʌ2	
聾	noŋ2	
職	tʂʅ7	
聒	ko7	
聯	niɛɪ̃2	
聘	pʰɪ̃5	
聚	tɕʏ5	
聰	tsʰoŋ1	
肅	sɵ7	
肄	ɪ5	
肆	sɿ5	
肉	ʐʊ7	
肋	nei7	
肌	tɕɪ1	
肘	tʂɵ3	
肚	tɵ3	鱼～
肝	kaɪ̃1	
腸	tʂʰɑŋ2	
股	kʊ3	
肢	tʂʅ1	
肤	fʊ1	
肥	xuei2	
肨	pɑŋ1	程度副词，形容味道极浓或极臭。这儿硬是～汗臭
肩	tɕiɛɪ̃1	
肪	xuɑŋ1	
肫	tʂuẽ1	
骯	ŋɑŋ1	
肯	kʰẽ3	
育	iɵ7	
肴	ɕiʌ2	
肺	xuei5	
腎	ʂẽ5	
脹	tʂɑŋ5	
脅	ɕiɛ7	
胃	uei5	
膽	taɪ̃3	
背	pei1	～起
背	pei5	～诵，～部
胎	tʰai1	
胖	pʰɑŋ5	
胚	pʰai1	
胛	tɕia7	
勝	ʂẽ1	
勝	ʂẽ5	
胞	pʌ1	
胡	fʊ2	
胩	kʰa3	
胳	kv7	
膠	tɕiʌ1	
胸	ɕioŋ1	
能	nẽ2	
脂	tʂʅ1	
脆	tsʰuei5	
脉	mɛ7	
脊	tɕɪ7	
脏	tsɑŋ1	
脏	tsɑŋ5	
臍	tɕʰɪ2	
腦	nʌ3	
膿	noŋ2	
脖	po7	
腳	tɕio7	
脣	tʂʰuẽ2	
脯	pʰʊ2	杏～
脯	fʊ3	胸～
脫	tʰo7	
腡	nv2	
腡	no2	～～儿，指手指上的指纹，
臉	niɛɪ̃3	
脾	pʰɪ2	
腆	tʰiɛɪ̃3	
臘	na7	
腋	iɛ7	
腌	iɛɪ̃1	
腌	aɪ̃7	
腐	fʊ5	
腑	fʊ3	
腔	tɕʰiɑŋ1	
腕	uaɪ̃5	
腥	ɕɪ̃1	
腮	sai1	
腰	iʌ1	
腱	tɕiɛɪ̃5	
腹	fʊ7	
膩	nɪ5	
騰	tʰẽ2	
腿	tʰei3	
膏	kʌ1	药～
膏	kʌ5	～油
膜	mo7	
膝	ɕɪ7	
膨	pʰoŋ2	
膳	ʂaɪ̃5	
臀	tʰẽ2	
臂	pɪ5	
臊	sʌ1	
臕	piʌ1	
臣	tʂʰẽ2	
自	tsɿ5	
臭	tʂʰɵ5	
至	tʂʅ5	
致	tʂʅ5	
臻	tsẽ1	
臼	tɕiɵ5	
舀	iʌ3	
舅	tɕiɵ5	
舌	ʂɛ7	
舍	ʂai5	
舐	tʂʰʅ5	
舒	ʂʊ1	
舔	tʰiɛɪ̃3	
舜	ʂuẽ5	
舞	vʊ3	
舟	tʂɵ1	
航	xɑŋ2	
般	paɪ̃1	
艦	tɕiɛɪ̃5	
舵	tv5	
船	tʂʰuaɪ̃2	
艇	tʰɪ̃5	
良	niɑŋ2	
艱	tɕiɛɪ̃1	
色	sɛ7	
艳	iɛɪ̃5	
藝	ɪ5	
艾	ŋai5	
節	tɕiɛ7	
芋	ʏ5	
芍	ʂʌ7	
芒	mɑŋ2	～果，麦～
芙	fʊ2	
芝	tʂʅ1	
芥	kai5	
蘆	nɵ2	
芬	xuẽ1	
芭	pa1	
芮	ʐuei5	
花	xua1	
芳	xuɑŋ1	
芹	tɕʰɪ̃2	
芽	n̩2	
葦	uei3	
莧	ɕiɛɪ̃5	
蒼	tsʰɑŋ1	
苧	tʂʊ5	
苏	sɵ1	
苔	tʰai2	
苗	miʌ2	
苟	kɵ3	
若	ʐo7	
苦	kᶠʊ3	
英	ɪ̃1	
茂	mʌ5	
范	xuaɪ̃5	
茄	tɕyɛ2	
茅	mʌ2	
莖	tɕɪ̃2	
塋	ɪ̃2	
繭	tɕiɛɪ̃3	
茫	mɑŋ2	
茬	tʂʰa2	
茴	xuei2	
茶	tʂʰa2	
荀	ɕyɪ̃1	
荆	tɕɪ̃1	
草	tsʰʌ3	
薦	tɕiɛɪ̃5	
荒	xuɑŋ1	
荔	nɪ5	
蕎	tɕʰiʌ2	
薺	tɕɪ5	
蕩	tɑŋ5	
葷	xuẽ1	
滎	ɪ̃2	
荫	ɪ̃5	
藥	io7	
荷	xo2	～花
荷	xo5	薄～
莎	ʂa1	
莝	tsʰʊ7	指除掉杂草，～草；也称薅草
莠	iɵ3	
莫	mo7	
蓮	niɛɪ̃2	
获	xo7	
鶯	ɪ̃1	
莽	mɑŋ3	
菊	tɕʏ7	
菌	tɕyɪ̃1	
菌	tɕyɪ̃3	
菖	tʂʰɑŋ1	
菜	tsʰai5	
菠	po1	
菢	pʌ5	指禽鸟类动物孵卵
菩	pʰʊ2	
菱	nɪ̃2	
萄	tʰʌ2	
萌	moŋ2	
萍	pʰɪ̃2	
萎	uei1	
螢	ɪ̃2	
營	yɪ̃2	
蕭	ɕiʌ1	
薩	sa5	
薩	sa7	
落	no7	
葚	ʂẽ5	
葛	kv7	
董	toŋ3	
葬	tsɑŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiɑŋ3	
蒓	tʂʰuẽ2	
蒙	moŋ2	
蒜	suaɪ̃5	
蒯	kʰuai5	
蒲	pʰʊ2	
蒲	pʰʊ3	
蒸	tʂẽ1	
蒸	tʂʰẽ2	
蒿	xʌ1	
蓄	ɕiɵ2	
蓑	so1	
蓖	pɪ1	
藍	naɪ̃2	
蓬	pʰoŋ2	
蔓	maɪ̃5	
蔗	tʂa5	
蔡	tsʰai5	
蔫	iɛɪ̃1	
蔬	sɵ1	
藹	ŋai5	
蔽	pɪ5	
蕉	tɕiʌ1	
蕻	xoŋ5	指白菜或油菜抽出来的菜心。
薄	po5	
薄	po7	
薅	xʌ1	
薛	ɕyɛ7	
薪	ɕɪ̃1	
薯	ʂʊ5	
薰	ɕyɪ̃1	
薸	pʰiʌ2	
藉	tɕiɛ5	
藉	tɕɪ7	
藋	tiʌ5	
藏	tsʰɑŋ2	隐～
藏	tsɑŋ5	西～
藐	miʌ3	
藕	ŋɵ3	
藟	nei1	～子，指农村用来去掉稻壳的器具
藤	tʰẽ2	
藩	paɪ̃1	
藩	xuaɪ̃2	
藿	xo7	
蘂	ʐuei3	
蘸	tʂaɪ̃1	
蘸	tʂaɪ̃5	
虜	nɵ3	
虐	nyɛ7	
虑	nʏ5	
虔	tɕʰiɛɪ̃2	
虛	ɕʏ1	
虞	ʏ2	
虢	ko7	
虱	sɛ7	
虹	xoŋ2	
虹	xoŋ5	
虻	mɑŋ2	
雖	sei1	
蝦	ɕia1	
蝦	ɕia2	
蝕	ʂʅ7	
蟻	ɪ3	
蚊	uẽ2	
蚌	pɑŋ5	鹬～相争
蚌	poŋ5	～埠
蠶	tsʰaɪ̃2	
蚣	koŋ1	
蚤	tsʌ3	
蛀	tʂʊ5	
蛆	tɕʰʏ1	
蛇	ʂai2	
蛋	taɪ̃5	
蟶	ʂẽ1	
蛙	ua1	麻韵，佳韵
蛛	tʂʊ1	
蛤	kʰɛ7	～蟆
蠻	maɪ̃2	
蟄	tʂɛ7	
蛾	o2	
蜀	ʂʊ7	
蜂	xoŋ1	
蜇	tʂɛ7	
蜈	vʊ2	
蜓	tʰɪ̃2	
蛻	tʰuei5	
蝸	o1	
蜘	tʂʅ1	
蜜	mɪ7	
蠟	na7	
蜻	tɕʰɪ̃1	
蠅	ɪ̃2	
蟬	tʂʰaɪ̃2	
蝎	ɕiɛ7	
蝗	xuɑŋ2	
蝙	piɛɪ̃1	
蝠	fʊ7	
蝶	tiɛ7	
螂	nɑŋ2	
螃	pʰɑŋ2	
融	ioŋ2	
螳	tʰɑŋ2	
螺	nv2	
蟀	ʂuɛ7	
蟆	ma2	
蟒	mɑŋ3	
蟹	ɕiɛ5	
蟾	tʂʰaɪ̃2	
蠓	moŋ3	
蠢	tʂʰuẽ3	
血	ɕyɛ7	
衅	ɕɪ̃5	
行	ɕɪ̃1	～为
行	xɑŋ2	銀～
行	ɕɪ̃5	品～
銜	xaɪ̃2	
街	kai1	
衙	n̩2	
衡	xẽ2	
衣	ɪ1	
補	pʊ3	
表	piʌ3	～面，手～
衫	ʂaɪ̃1	
襯	tʂʰẽ5	
衰	ʂuai1	
袁	yɛɪ̃2	
襖	ŋʌ3	
袋	tai5	
袍	pʰʌ2	
袐	mɪ5	
袖	ɕiɵ5	
袜	ua7	
被	pei5	
被	pɪ5	
襲	ɕɪ7	
裁	tsʰai2	
裂	niɛ7	
裝	tʂuɑŋ1	
裌	ka7	
裕	ʏ5	
裙	tɕʰyɪ̃2	
褲	kᶠʊ5	
裥	tɕiɛɪ̃3	
裳	ʂɑŋ2	
裴	pʰai2	
裸	no3	
裹	ko3	
褒	pʌ1	
褚	tʂʰʊ3	
褥	ʐʊ7	
褪	tʰuai5	
褶	tʂɛ7	
襄	ɕiɑŋ1	
襟	tɕɪ̃1	
襻	paɪ̃5	指衣服上用以系住纽扣的环
西	ɕɪ1	
要	iʌ1	
要	iʌ5	
覆	fʊ7	
見	tɕiɛɪ̃5	
觀	kuaɪ̃1	
觀	kuaɪ̃5	
規	kuei1	
覓	mɪ7	
視	ʂʅ5	
覘	tʰaɪ̃1	指抬起头的样子。脑壳～～起
覽	naɪ̃3	
覺	tɕiʌ5	
覺	tɕio7	
角	kv7	
解	kai3	～放
解	kai3	了～
解	ɕiɛ5	姓～
觸	tʂʰɵ7	
言	iɛɪ̃2	
誂	tiʌ5	指挑逗、吸引异性。
譽	ʏ5	
謄	tʰẽ2	
誓	ʂʅ5	
謠	iʌ2	
警	tɕɪ̃3	
譬	pʰɪ5	
計	tɕɪ5	
訂	tɪ̃5	
訃	fʊ5	
認	ʐẽ5	
譏	tɕɪ1	
討	tʰʌ3	
讓	ʐɑŋ5	
訖	tɕʰɪ7	
訓	ɕyɪ̃5	
議	ɪ5	
訊	ɕyɪ̃5	
記	tɕɪ5	
講	tɕiɑŋ3	
諱	xuei5	
訛	o2	
論	nẽ2	
論	nẽ5	
訟	soŋ5	
諷	xoŋ5	
設	ʂɛ7	
訪	xuɑŋ5	
訣	tɕyɛ7	
证	tʂẽ5	
評	pʰɪ̃2	
識	ʂʅ7	
詐	tʂa5	
訴	sɵ5	
診	tʂẽ3	
詞	tsʰɿ2	
詔	tʂʌ5	
譯	ɪ7	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰẽ2	
誅	tʂʊ1	
話	xua5	
誕	taɪ̃5	
詭	kuei3	
該	kai1	
詳	ɕiɑŋ2	
誣	vʊ2	
語	ʏ3	
誤	vʊ5	
誘	iɵ3	
說	ʂuɛ7	
誦	soŋ5	
請	tɕʰɪ̃3	
諸	tʂʊ1	
諾	no7	
讀	tɵ7	
課	kʰo5	
誰	ʂuei2	
調	tiʌ2	
調	tiʌ5	
諒	niɑŋ5	
談	tʰaɪ̃2	
誼	ɪ2	
誼	ɪ5	
謀	mɵ2	
諜	tiɛ7	
諫	tɕiɛɪ̃5	
諧	ɕiɛ2	
謂	uei5	
讒	tʂʰaɪ̃2	
諺	iɛɪ̃5	
謎	mɪ5	
謝	ɕiɛ5	
謗	pɑŋ5	
謙	tɕʰiɛɪ̃1	
謹	tɕɪ̃3	
謬	miʌ5	
譚	tʰaɪ̃2	
譜	pʰʊ3	
谷	kʊ7	稻～，峡～
豁	xo7	
豆	tɵ5	
豇	kɑŋ1	
豉	ʂʅ5	
豌	uaɪ̃1	
豚	tʰẽ2	
象	ɕiɑŋ5	
豪	xʌ2	
豫	ʏ5	
豹	pʌ5	
豺	tʂʰai2	
貂	tiʌ1	
貌	mʌ5	
貝	pei5	
貞	tʂẽ1	
負	fʊ5	
貢	koŋ5	
財	tsʰai2	
責	tsɛ7	
賢	ɕiɛɪ̃2	
敗	pai5	
賬	tʂɑŋ5	
貨	xo5	
質	tʂʅ7	
販	xuaɪ̃5	
貪	tʰaɪ̃1	
貧	pʰɪ̃2	
貶	piɛɪ̃3	
購	kɵ5	
貫	kuaɪ̃5	
貳	ɚ5	
賤	tɕiɛɪ̃5	
貼	tʰiɛ7	
貴	kuei5	
貸	tai5	
貿	mʌ5	
費	xuei5	
賀	xo5	
賊	tsei7	
賃	nɪ̃5	
賂	nɵ5	
贓	tsɑŋ1	
賒	ʂai1	
賦	fʊ5	
賭	tɵ3	
贖	ʂʊ7	
賜	tsʰɿ5	
賠	pʰai2	
賴	nɛ5	
賴	nai5	
贅	tʂuei5	
賺	tʂuaɪ̃5	
賽	sai5	
赞	tsaɪ̃5	
贈	tsẽ5	
贏	ɪ̃2	
赤	tʂʰʅ7	
赦	ʂai5	
赫	xɛ7	
走	tsɵ3	
赴	fʊ5	
趙	tʂʌ5	
趕	kaɪ̃3	
起	tɕʰɪ3	
趁	tʂʰẽ5	
超	tʂʰʌ1	
越	yɛ7	
趨	tɕʰʏ1	
趟	tʰɑŋ5	
趣	tɕʰʏ5	
足	tsɵ7	
趼	tɕiɛɪ̃3	
趾	tʂʅ3	
趿	sa7	指把鞋踩在脚后跟，不好好穿鞋。
躍	io7	
跌	tiɛ7	
跑	pʰʌ2	
跗	fʊ1	
跛	pai1	
跛	po3	
距	tɕʏ5	
跟	kẽ1	
跨	kʰua5	
跪	kuei5	
路	nɵ5	
跳	tʰiʌ5	
踐	tɕiɛɪ̃5	
踏	tʰa7	
踢	tʰɪ7	
蹤	tsoŋ1	
踱	to7	
蹄	tʰɪ2	
蹑	niɛ7	
蹭	tsʰẽ5	
蹲	tẽ2	
躁	tsʌ5	
身	ʂẽ1	
躬	koŋ1	
躲	tv3	
躺	tʰɑŋ3	
車	tʂʰai1	～子
車	tɕʏ1	～马
軋	n̩7	
軌	kuei3	
軒	ɕyɛɪ̃1	
轉	tʂuaɪ̃3	
轉	tʂuaɪ̃5	
軛	ŋɛ7	
軛	o7	
輪	nẽ2	
軟	ʐuaɪ̃3	
轟	xoŋ1	
轟	xoŋ5	
軸	tʂɵ7	
輕	tɕʰɪ̃1	
載	tsai3	年～
載	tsai5	满～，～重
轎	tɕiʌ5	
較	tɕiʌ5	
輔	fʊ5	
輛	niɑŋ5	
輦	niɛɪ̃3	
輩	pei5	
輝	xuei1	
輞	uɑŋ3	
輟	tʂuɛ7	
輯	tɕɪ7	
輸	ʂʊ1	～赢，运～
轡	pʰei5	
轅	yɛɪ̃2	
轄	ɕia7	
轍	tʂɛ7	
辛	ɕɪ̃1	
辭	tsʰɿ2	
辟	pʰɪ7	
辣	na7	
辨	piɛɪ̃5	
辯	piɛɪ̃5	
辮	piɛɪ̃5	
辰	tʂʰẽ2	
辱	ʐʊ3	
邊	piɛɪ̃1	
遼	niʌ2	
达	ta7	
迁	tɕʰiɛɪ̃1	
迂	ʏ1	
迅	ɕyɪ̃5	
過	ko1	姓～
過	ko5	～去
邁	mai5	
迎	ɪ̃2	
運	yɪ̃5	
近	tɕɪ̃5	
還	xuaɪ̃2	
進	tɕɪ̃5	
遠	yɛɪ̃3	
違	uei2	
連	niɛɪ̃2	
遲	tʂʰʅ2	
迥	tɕioŋ5	
迫	pʰɛ7	
述	ʂʊ7	
迷	mɪ2	
迸	pẽ5	
迹	tɕɪ7	
追	tʂuei1	
退	tʰei5	
送	soŋ5	
適	ʂʅ7	
逃	tʰʌ2	
逆	nɪ7	
遜	ɕyɪ̃5	
透	tʰɵ5	
逐	tʂʊ7	
遞	tɪ5	
途	tʰɵ2	
逗	tɵ5	
通	tʰoŋ1	
逛	kuɑŋ5	
逝	ʂʅ5	
逞	tʂʰẽ3	
速	sɵ7	
造	tsʌ5	
造	tsʰʌ5	
逢	xoŋ2	
逵	kʰuei2	
逸	ɪ7	
逼	pɪ7	
逾	ʏ2	
遁	tẽ5	
遂	suei5	
遇	ʏ5	
遍	piɛɪ̃5	
遐	ɕia2	
道	tʌ5	
遺	ɪ2	
遣	tɕʰiɛɪ̃3	
遭	tsʌ1	
遮	tʂai1	
遵	tsẽ1	
避	pɪ5	
邀	iʌ1	
邓	tẽ5	
那	na5	
邦	pɑŋ1	
邪	ɕiɛ2	
郵	iɵ2	
邵	ʂʌ5	
鄒	tsɵ1	
鄰	nɪ̃2	
郁	ʏ7	
郊	tɕiʌ1	
郎	nɑŋ2	
鄭	tʂẽ5	
郝	xʌ7	
郡	tɕyɪ̃5	
部	pʊ5	
郭	ko7	
都	tɵ1	～城
都	tɵ1	～是
鄂	ŋɛ7	
鄂	o7	
鄙	pɪ3	
酉	iɵ3	
酌	tʂo7	
配	pʰai5	
酒	tɕiɵ3	
酣	xaɪ̃1	
酥	sɵ1	
酪	no7	
酬	tʂʰɵ2	
醬	tɕiɑŋ5	
酵	tɕiʌ5	
酷	kᶠʊ7	
酸	suaɪ̃1	
釅	iɛɪ̃5	
釀	niɑŋ5	
醇	tʂʰuẽ2	
醉	tsei5	
醋	tsʰɵ5	
醮	tɕiʌ5	
采	tsʰai3	
釉	iɵ5	
釋	ʂʅ7	
里	nɪ3	
野	iɛ3	
量	niɑŋ2	
量	niɑŋ5	
金	tɕɪ̃1	
釜	fʊ5	
鉴	tɕiɛɪ̃5	
鋭	ʐuei5	
鏨	tsaɪ̃5	
鍊	niɛɪ̃5	
鏊	ŋʌ5	
鐾	pɪ5	
针	tʂẽ1	
釘	tɪ̃1	
釘	tɪ̃5	
釤	ʂaɪ̃5	
釣	tiʌ5	
釵	tʂʰai1	
鈍	tẽ5	
鈔	tʂʰʌ1	
鋼	kɑŋ1	
鑰	io7	
欽	tɕʰɪ̃1	
鈞	tɕyɪ̃1	
鉤	kɵ1	
鈀	pʰa2	指用来晾晒粮食和抓取柴草的农具，也叫抓～儿
錢	tɕʰiɛɪ̃2	
鉗	tɕʰiɛɪ̃2	
鉢	po7	
鈸	pʰo7	
鑽	tsuaɪ̃1	～研
鑽	tsuaɪ̃5	电～
鐵	tʰiɛ7	
鈴	nɪ̃2	
鉛	tɕʰiɛɪ̃2	
鐸	to7	
鐃	nʌ2	
鐺	tɑŋ1	
銅	tʰoŋ2	
鍘	tʂa7	
鏵	xua2	用以翻土的三角形的铁质尖锐农具，也称“贯土尖儿”
銘	mɪ̃2	
鉸	tɕiʌ3	
铲	tʂʰaɪ̃3	
銀	ɪ̃2	
鑄	tʂʊ5	
鋪	pʰʊ1	～设
鋪	pʰʊ5	店～
銷	ɕiʌ1	
鎖	so3	
鋥	tʂʰẽ5	
鋤	tʂʰʊ2	
鍋	ko1	
鏽	ɕiɵ5	
銼	tsʰo5	
鋒	xoŋ1	
鐧	tɕiɛɪ̃5	
鋦	tɕʏ7	
錯	tsʰo5	～误
錯	tsʰo7	～杂
錨	mʌ2	
錫	ɕɪ7	
錮	kʊ5	
鑼	no2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕyɪ̃3	
錠	tɪ̃5	
鍵	tɕiɛɪ̃5	
鋸	tɕʏ5	
鍬	tɕʰiʌ1	
鍛	tuaɪ̃5	
鍍	tɵ5	
鎮	tʂẽ5	
鑷	niɛ7	
鏡	tɕɪ̃5	
鏇	ɕyɛɪ̃5	
鐙	tẽ5	
鑊	xo7	
鐲	tʂo7	
镰	niɛɪ̃2	
鑞	na7	
鑲	ɕiɑŋ1	
長	tʂʰɑŋ2	
長	tʂɑŋ3	
閘	tʂa7	
閧	xoŋ5	
閱	yɛ7	
門	mẽ2	
閂	ʂuaɪ̃1	
閉	pɪ5	
問	uẽ5	
闖	tʂʰuɑŋ3	
閏	ʐuẽ5	
闲	ɕiɛɪ̃2	
間	tɕiɛɪ̃1	
間	tɕiɛɪ̃5	
悶	mẽ5	
鬧	nʌ5	
閨	kuei1	
聞	uẽ2	
閩	mɪ̃2	
閣	ko7	
鬮	tɕiɵ1	
閹	iɛɪ̃1	
閻	iɛɪ̃2	
闊	kʰo7	
阜	fʊ5	
隊	tei5	
隊	tuei5	
阮	ʐuaɪ̃3	
防	xuɑŋ2	
陽	iɑŋ2	
陰	ɪ̃1	
陣	tʂẽ5	
階	kai1	
階	tɕiɛ1	
阻	tsɵ3	
附	fʊ5	
際	tɕɪ5	
陸	nɵ7	
隴	noŋ3	
陳	tʂʰẽ2	
陘	tɕɪ̃2	
陋	nɵ5	
陌	mo7	
降	ɕiɑŋ2	
降	tɕiɑŋ5	
限	ɕiɛɪ̃5	
陛	pɪ5	
陡	tɵ3	
院	yɛɪ̃5	
除	tʂʰʊ2	
陪	pʰai2	
陵	nɪ̃2	
陶	tʰʌ2	
陷	ɕiɛɪ̃5	
隆	noŋ2	
隨	suei2	
隱	ɪ̃3	
隔	kɛ7	
隘	ŋai5	
障	tʂɑŋ5	
隧	suei5	
隶	nɪ5	
難	naɪ̃2	
難	naɪ̃5	
雀	ɕio7	
雁	iɛɪ̃5	
雄	ɕioŋ2	
雅	n̩3	
集	tɕɪ7	
雇	kʊ5	
雉	tʂʅ5	
雌	tsʰɿ1	
雍	ioŋ1	
雛	tʂʰʊ2	
雕	tiʌ1	
雨	ʏ3	
雪	ɕyɛ7	
零	nɪ̃2	
雷	nei2	
雹	pʌ7	
霧	vʊ5	
需	ɕʏ1	
霄	ɕiʌ1	
震	tʂẽ5	
霉	mei2	
霍	xo7	
霜	ʂuɑŋ1	
霞	ɕia2	
露	nɵ5	
霸	pa5	
靑	tɕʰɪ̃1	
靖	tɕɪ̃5	
靜	tɕɪ̃5	
非	xuei1	
靠	kʰʌ5	
靡	mɪ3	
面	miɛɪ̃5	～孔，～粉
靨	iɛɪ̃7	
革	kɛ7	
靪	tɪ̃1	
靭	ʐẽ5	
靴	ɕyɛ1	
鞋	xai2	
鞋	ɕiɛ2	
鞋	tɕɪ5	
鞍	ŋaɪ̃1	
鞘	ɕiʌ5	
鞦	tɕʰiɵ1	
鞭	piɛɪ̃1	
韓	xaɪ̃2	
韭	tɕiɵ3	
音	ɪ̃1	
韵	tʂʰẽ2	
韵	yɪ̃5	
韶	ʂʌ2	
頗	pʰo1	
頁	iɛ7	
頂	tɪ̃3	
頃	tɕʰɪ̃3	
項	ɕiɑŋ5	
順	ʂuẽ5	
须	ɕʏ1	
頑	uaɪ̃2	
顧	kʊ5	
頓	tẽ5	
頒	paɪ̃1	
頌	soŋ5	
預	ʏ5	
領	nɪ̃3	
頸	tsẽ3	
頻	pʰɪ̃2	
穎	ɪ̃3	
顆	kʰo3	
題	tʰɪ2	
顏	iɛɪ̃2	
額	ŋɛ7	
顛	iɛɪ̃1	
顫	tʂʰaɪ̃5	
顴	tɕʰyɛɪ̃2	
風	xoŋ1	
颼	sɵ1	
飄	piʌ1	
飛	xuei1	
食	ʂʅ7	
餐	tsʰaɪ̃1	
餧	uei5	
饃	mo2	
饥	tɕɪ1	
飩	tẽ2	
飭	ʂʅ7	
飯	xuaɪ̃5	
飲	ɪ̃3	
飲	ɪ̃5	
餞	tɕiɛɪ̃5	
