#漢字	音標	解釋
#簡稱	/	淸末蘇州讀書音
#全稱	/	《鄉音字類》所載的淸末蘇州讀書音
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-03-25
#錄入人	/	樛木
#參考資料	/	《一百年前的蘇州話》《蘇州同音字匯1892》《鄉音字類》
#說明	/	符號說明：IPA後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。<br><br>聲調：[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23<br>關於調值：Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。<br><br>來源：樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》<br>	<br>說明1：《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入。並且韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]。<br>此外，《鄉音字彙》聲調不分陰陽，則聲母爲次濁者除有資料支持者外，本人一般作歸入陽調處理。<br><br>說明2：	本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。<br><br>說明3：	本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修。<br><br>說明4：	本表採用的擬音主要出自蔡佞《19世紀末的蘇州話》，但沒有採用ɒ、iɒ、uɒ，ɒʔ、iɒʔ、uɒʔ，依舊採用ɑ、iɑ、uɑ，ɑʔ、iɑʔ、uɑʔ<br>	<br>說明5：《蘇州同音字彙1892》中in韻分[iən][iɪn]，但分法存疑，一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]。其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；<br>該時期的蘇州話語音特點：<br>① 仍有字分[o][uo]，但也在合併階段；<br>② 今e韻分[-e]和[-æ̃]，ie韻分[-ie]和[-iæ̃]，大部分[əu]讀作[u]，還有少數讀[uo]。<br>③ [yn]都讀[yən]， [øʏ]都讀[əʏ]；<br>④ [iø]有人擬作[yø]，[io]有人擬作[yo]，[ioŋ]有人擬作[yoŋ]，[ioʔ]有人擬作[yoʔ]，[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]），這是是因爲介音i受主元音影響而變圓唇。<br><br>說明6：發音盡量以其資料中記載爲准。記音以蔡佞《19世紀末的蘇州話》中的擬音爲基準。但擬聲字的讀音以資料記載爲準，不類推。<br><br>說明7：	部分元音從19世紀末至今的演變路徑（可能）：<br>ʯ→ʮ <br>ɔ→ɒ→o/ɑ→o/a（新派） <br>部分u→ᵊu→əu 部分u→β̩/v̩ 部分u→o <br>大部分uo→o 少部分uo→o→u→ᵊu→əu <br>i→iⱼ→ɨ̻ y→yⱼ <br>e→ᴇ ie→iᴇ→iɪ→i ue→uᴇ <br>ɐɵ→ɐə→ɐ→æ <br>iɐɵ→iɐə→iɐ→iæ <br>əʏ→øʏ→eɪ（新派） iʏ→y <br>æ̃→ɛ→ᴇ iɛ̃→iɛ→iᴇ→iɪ→i uæ̃→uɛ→uᴇ <br>œ̃→ø iœ̃→iø uœ̃→uø <br>iən→iɪn→in iɪn→in yən→yn <br>aŋ→ã iaŋ→iã uaŋ→uã <br>ɔŋ→ɒ̃→ɑ̃→ã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） uɔŋ→uɒ̃→uɑ̃→uã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） <br>部分iɪʔ→iəʔ yɪʔ→yəʔ uoʔ→oʔ<br>	<br>說明8：在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]，爲本表所採用的翹舌音擬音。陸基的翹舌音記爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話資料記音相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]。其實在《鄉音字類》時代，[dz][z]、[dʐ][ʐ]就已出現相混的現象了，且之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。
攔	læ̃2	文讀：～頭～面（夾頭夾腦）
攖	iɪn1	
攘	ʒaŋ4	
攙	tsʰæ̃1	～～手
攙	tsʰe1	
攛	tsʰœ̃1	
攜	ɦi2	提～
攝	ʃəʔ7	～影
攟	dʑyən4	
攢	dzœ̃2	聚，湊集，拼湊。《洪武正韻》：徂官切
攢	zœ̃6	理論上聲母應讀[dz]。《洪武正韻》：在玩切
攢	tsœ̃1	《洪武正韻》：祖官切
攣	lœ̃2	
攤	tʰæ̃1	風～：癱瘓
攪	kɐɵ3	白讀：①攪拌：伸進去一～；②瘋鬧：覅～哉、瞎～
攪	tɕiɐɵ3	文讀
攫	tɕioʔ7	
支	tʃʯ1	～持
攲	tɕʰi1	
收	ʃəʏ1	～割
攷	kʰɐɵ3	
攸	iʏ1	
改	ke3	～良
攻	koŋ1	
攽	pæ̃1	～發
放	fɔŋ5	
政	tʃən5	～治
敂	kʰəʏ5	
敄	vu6	
故	ku5	啥個緣～
效	ɦiɐɵ6	～驗
敉	mi4	
敊	zɿ4	
敏	miɪn3	
救	tɕiʏ5	
敔	ȵy4	
敕	tʃʰəʔ7	
敕	tsʰəʔ7	
敖	ŋɐɵ2	
敗	be6	文讀
敗	bɑ6	
敘	dzi6	
教	kɐɵ5	白讀
教	tɕiɐɵ5	
敜	ȵiɪʔ8	
敝	bi6	
敞	tʃʰaŋ3	
敢	kœ̃3	
散	sæ̃3	平安～
散	sæ̃5	～神：注意力不集中
敦	tən1	
敬	tɕiɪn5	～酒：拿一杯酒來請喝完
敭	ɦiaŋ2	
敱	kʰe1	
敲	tɕʰiɐɵ1	
敲	kʰɐɵ1	白讀：～詐
整	tʃən3	～齊
敵	diɪʔ8	
敷	fu1	
數	su3	～數：點數字；數一下
數	su5	～目
敹	liɐɵ2	
敺	tɕʰy1	
敻	tɕioŋ3	
敽	tɕiɐɵ3	
斁	ɦiɪʔ8	
斂	liɛ̃4	～財：收集錢財
斃	bi6	
斅	ɦiɐɵ6	
文	vən2	
斌	piɪn1	
斐	fi3	
斒	pæ̃1	
斕	læ̃2	斑～
斗	təʏ3	
料	liɐɵ6	木～
斚	tɕiɑ3	
斛	ɦoʔ8	～子
斜	dziɑ2	
斜	ziɑ2	白讀：～對過，斜對面
斞	y3	
斟	tʃən1	
斡	uaʔ7	
斢	tʰəʏ3	
斤	tɕiən1	講～頭：指談論交換條件
斥	tʃʰəʔ7	
斧	fu3	～頭
斨	tsʰiaŋ1	
斫	tʃɑʔ7	
斬	tsæ̃3	～斷俚
斮	tʃɑʔ7	
斯	sɿ1	
新	siən1	～官人：新郎
斲	tʃoʔ7	
斷	tœ̃5	決～
斷	dœ̃6	
斸	tʃoʔ7	
方	fɔŋ1	
於	y1	
於	ɦy2	
施	ʃʯ1	～藥
斾	pʰe5	
斿	ɦiʏ2	
旁	bɔŋ2	～邊
旂	dʑi2	
旃	tʃœ̃1	
旄	mɐɵ2	
旅	li4	
旈	ləʏ2	
旉	fu1	
旋	dziɛ̃2	
旋	ziɛ̃2	周～
旌	tsiɪn1	～旗
族	dzoʔ8	～門：同一父系的家族或宗族
族	zoʔ8	
旐	ʒɐɵ6	
旓	sɐɵ1	
旗	dʑi2	國～
旛	fæ̃1	
旜	tʃœ̃1	
旝	kʰue5	
旞	ze6	
旟	ɦy2	
既	tɕi5	
旣	tɕi5	
旤	ɦu4	
日	ʒəʔ8	文讀
日	ȵiɪʔ8	白讀：～頭
旦	tæ̃5	元～
旨	tʃʯ3	宗～
早	tsɐɵ3	起～起
旬	ziɪn2	上～：指每個月的一號到十號
旭	ɕioʔ7	～日
旰	kœ̃5	
旰	ɦœ̃6	
旱	ɦœ̃6	
旱	ɦœ̃4	
旺	ɦyɔŋ6	白讀
旺	ɦiɔŋ6	白讀：火旺得[laʔ]
旺	ɦuɔŋ4	
旺	ɦuɔŋ6	文讀：興～
昂	ŋɔŋ2	～頭
昃	tsəʔ7	
昆	kʰuən1	～弟
昇	ʃən1	
昉	fɔŋ3	
昊	ɦɐɵ4	
昊	ɦɐɵ6	
昌	tʃʰaŋ1	
明	miɪn2	清～斷雪，谷雨斷霜
昏	huən1	黄～時候
易	ɦi6	容～
易	ɦiɪʔ8	交～
昔	siɪʔ7	
昕	ɕiən1	
昚	ʒən6	
星	siɪn1	天浪～～跳，有雨像水倒
映	iaŋ5	
映	iɪn5	
春	tʃʰən1	
昧	me3	
昧	məʔ8	
昨	zo2	聲調據《中州音韻》：慈搔切
昨	zoʔ8	白讀：～日
昬	huən1	俗字
昭	tʃɐɵ1	
昭	ɐɵ5	
是	zɿ6	
是	zɿ4	
昱	ioʔ7	
昳	diɪʔ8	
昴	mɐɵ4	
昵	ȵiɪʔ8	
時	ʒʯ2	
晃	huɔŋ3	
晉	tsiən5	～升
晏	iɛ̃5	姓
曬	so5	
晚	æ̃3	可能爲“晏”
晚	væ̃4	
晝	tʃəʏ5	～夜
晞	ɕi1	
晟	dʒən2	
晡	bu2	
晢	tʃʯ5	
晤	ŋu4	理論應讀陽去。①見面：會～。②聰明
晦	hue3	
晦	hue5	
晨	ʒən2	朝～
晬	ze6	
普	pʰu3	～及教育
景	tɕiɪn3	～致：風景；比喩能引起濃厚興趣的東西
晰	siɪʔ7	
晴	dziɪn2	
晴	ziɪn2	
晶	tsiɪn1	水～
晷	kue3	
晸	tʃən3	
智	tʃʯ5	
晻	iɛ̃1	
晻	iɛ̃3	～～：昏暗不明，如“日晻晻以西邁”
晻	œ̃5	
晾	lɔŋ6	白讀：～衣裳
暀	uɔŋ3	
暄	ɕiœ̃1	
暇	io3	
暈	ɦyən6	頭～
暉	hue1	
暋	miɪn4	聲調的陰陽存疑
暌	ɡue2	
暍	iɪʔ7	
暑	ʃʯ3	處～
暓	moŋ2	
暖	nœ̃4	
暗	œ̃5	
暘	ɦiaŋ2	
暢	tʃʰaŋ5	
暨	tɕi5	
暫	dzæ̃6	～時去一歇歇
暫	zæ̃6	
暬	siɪʔ7	
暮	mo6	
暱	ȵiɪʔ8	親～
暴	bɐɵ6	
暵	hœ̃1	
暵	hœ̃5	
暹	siɛ̃1	日光升起
暼	pʰiɪʔ7	一～
暾	tʰən1	温～水
曀	i5	
曄	ɦiɪʔ8	
曆	liɪʔ8	～本
曇	dœ̃2	
曉	ɕiɐɵ3	
曏	ɕiaŋ3	
曏	ɕiaŋ5	
曖	e3	
曚	moŋ2	
曛	ɕyən1	①黃昏時。②日落的餘暉。③昏暗
曜	ɦiɐɵ6	
曝	boʔ8	～光
曠	kʰuɔŋ5	
曦	ɕi1	
曨	loŋ2	
曩	nɔŋ4	
曬	so5	白讀：日～夜露
曬	se5	文讀
曰	ɦyɪʔ8	
曰	ɦyaʔ8	子～子～葛老先生
曲	tɕʰioʔ7	唱～子
曳	ɦi6	
更	kaŋ1	白讀：敲～葛
更	kən1	
更	kən5	
曷	əʔ7	
書	ʃʯ1	讀～
曹	dzɐɵ2	心～：覺得稍稍有點餓而胃裏微感不舒服。|姓
曹	zɐɵ2	
曼	mæ̃6	①柔美。②長，廣
曾	dzən2	～經
曾	zən2	
曾	tsən1	～孫
替	tʰi5	
最	tse5	～好
會	kue5	白讀：～計
會	ɦue6	開～
會	ue5	說～話
朅	tɕiɪʔ7	
朆	fən1	～吃飯唻
月	ŋəʔ8	白讀：～亮
月	ȵyɪʔ8	白讀：～日
月	ɦyɪʔ8	文讀
有	iʏ3	
有	ɦiʏ4	
朋	bən2	
朋	baŋ2	～友
朌	pæ̃1	①頒賜；賦予。②發佈
服	voʔ8	
朏	fi3	
朐	dʑy2	
朒	ʒoʔ8	
朒	ȵioʔ8	縮～
朓	tʰiɐɵ5	
朓	diɐɵ4	
朔	ʃoʔ7	～望
朔	soʔ7	
朕	dʒən4	
朗	lɔŋ4	
望	mɔŋ6	
望	vɔŋ6	
朝	tʃɐɵ1	今～
朝	dʒɐɵ2	～代
朞	tɕi1	
期	dʑi2	
朦	moŋ2	～藥
朧	loŋ2	
木	moʔ8	
未	vi6	
末	məʔ8	著～
本	pən3	
札	tsɑʔ7	
札	tsaʔ7	信～
朮	dʒəʔ8	
朱	tʃʯ1	姓
朴	pʰoʔ7	厚～
朵	tu3	耳～勒浪陸稿薦
朹	dʑiʏ2	
机	tɕi3	
朻	tɕiɐɵ3	
朽	ɕiʏ3	～腐
杅	y1	
杆	kœ̃1	
杇	u1	
杈	tsʰo5	
杈	tsʰo1	
杉	sæ̃1	～木
杉	se1	
杌	ŋəʔ8	～子
李	li4	～子
杏	ɦiɪn4	
杏	ɦaŋ4	白讀：～子
杏	ɦaŋ6	
材	dze2	城頭浪出棺～——遠兜遠轉：在城墻上走，當然要兜圈子。意爲不直截了當
材	ze2	
村	tsʰən1	～荘
杓	piɐɵ1	
杕	di6	
杖	dʒaŋ4	
杗	mɔŋ2	
杙	ɦiɪʔ8	
杜	du4	姓
杝	ɦi2	
杞	tɕʰi3	
束	tʃʰoʔ7	一～柴
束	ʃoʔ7	
杠	kɔŋ1	
杪	miɐɵ4	
杬	ȵiœ̃2	
杭	ɦɔŋ2	～州
杯	pe1	
東	toŋ1	
杲	kɐɵ3	
杳	iɐɵ3	
杳	iɐɵ5	～～冥冥
杵	tʃʰʯ3	
杶	tʃən1	
杶	tʃʰən1	
杷	bo2	枇～
杻	ȵiʏ4	
松	soŋ1	
板	pæ̃3	砧墩～：切菜切肉時墊在下面的厚木板
枇	bi2	
枇	biɪʔ8	白讀
枉	uɔŋ3	冤～
枋	piɪn5	
枌	vən2	
枏	nœ̃2	
析	siɪʔ7	分～
枑	ŋu4	理論應讀陽去。古時官府門前所設阻擋通行的木製障礙物。也稱行馬
枒	iɑ1	
枓	təʏ3	
枕	tʃən3	
林	liɪn2	樹～
枘	ze6	
枚	me2	
枝	tʃʯ1	
枯	kʰu1	～樹浪剝皮：形容對貧困者剝削
枰	biɪn2	棋盤
枰	biɪn2	
枲	si3	
枳	tʃʯ3	～實
枵	ɕiɐɵ1	空虛；布的絲縷稀而薄
架	kɑ5	白讀
架	tɕiɑ5	文讀
枷	kɑ1	白讀
枸	tɕy3	
枹	fu1	
枻	ɦi6	
枿	ȵiɪʔ8	
柂	ɦi2	
柄	piɪn5	器具上便於用手拿的部分：陽傘～
柄	piɪn5	
柅	ȵi2	
柅	ȵi4	
柈	bœ̃2	
柎	vu6	
柏	pɑʔ7	～樹
柏	pəʔ7	
某	məʏ4	
柑	kœ̃1	金～
柒	tsʰiɪʔ7	
染	ȵiɛ̃4	～坊
染	ʒœ̃4	
柔	dʒəʏ2	
柘	tʃɑ5	讀書音
柙	ɦiaʔ8	
柚	zəʏ6	～子。該讀音來源不明
柚	ɦiʏ6	
柛	ʃən1	
柜	dʑy4	白讀：～枱
柜	tɕy3	
柝	tʰoʔ7	
柞	tsəʔ7	
柟	nœ̃2	
柢	ti3	
柤	tʃɑ1	讀書音
查	dzo2	調～
查	zo2	
柧	ku1	棱角
柩	dʑiʏ6	
柩	dʑiʏ4	
柩	dʑiʏ6	靈～
柬	kæ̃3	白讀
柬	tɕiɛ̃3	書～
柮	tʃəʔ7	
柰	ne6	卽蘋果
柱	dʒʯ4	
柱	dʒʯ6	
柲	pi5	
柳	ləʏ1	楊～
柳	ləʏ4	
柴	zɑ2	①席～，指亂七八糟，忙乱。②姓
柴	ze2	
柵	saʔ7	
柶	sɿ5	
柷	tʃoʔ7	
柺	kuɑ3	
柿	zɿ4	～子
柵	sɑʔ7	開～
栔	siɪʔ7	
栖	si1	
栗	liɪʔ8	～子
栘	ɦi2	
栝	kuaʔ7	
栞	kʰœ̃1	
栟	piɪn1	
校	tɕiɐɵ5	
校	ɦiɐɵ6	學～
栩	ɕy3	
株	tʃʯ1	
栱	koŋ3	
栲	kʰəʔ7	～栳
栲	kʰɐɵ3	
栳	lɐɵ4	
核	ŋəʔ8	
核	ɦuəʔ8	白讀：桃～
根	kən1	
格	kɑʔ7	白讀：～子
格	kəʔ7	
栽	tse1	～培
桀	dʑiɪʔ8	
桁	ɦən2	
桂	kue5	～花
桃	dɐɵ2	～子
桄	kuɔŋ1	
桅	ɦue2	
桅	ŋue2	～竿
框	kʰuɔŋ1	鏡～子
案	œ̃5	
桋	ɦi2	
桌	tʃoʔ7	半～
桎	tʃəʔ7	
桐	doŋ2	梧～
桑	sɔŋ1	～葉
桓	ɦuœ̃2	
桔	tɕiɪʔ7	
桕	dʑiʏ4	～油
槳	tsiaŋ3	
桯	tʰiɪn1	
桴	fu1	
桶	tʰoŋ3	
桶	doŋ4	飯～
桷	tɕioʔ7	
桹	lɔŋ2	
桼	tsʰiɪʔ7	
桿	kœ̃1	
桿	kœ̃3	槍～子
梁	liaŋ2	
梃	tʰiɪn3	棍棒：箠～
梃	tʰiɪn3	
梄	ɦiʏ4	
梅	me2	
梆	pɔŋ1	敲～
梏	koʔ7	
梓	tsɿ3	
梔	tʃʯ1	
梗	kaŋ3	白讀：桔～
梗	kən3	
梜	tɕiaʔ7	
條	tʰɐɵ1	
條	diɐɵ2	
梟	ɕiɐɵ1	鹽～
梡	kʰuœ̃3	
梢	sɐɵ1	掮木～
梧	ŋu2	～桐
梨	li2	～膏
梩	li2	
梭	su1	～子
梮	tɕioʔ7	
梯	tʰi1	
械	ɦiɛ̃6	軍～
械	ɦiɑ6	
梱	kʰuən3	
梳	su1	～妝台：裝有鏡子的化妝台
梳	sɿ1	～頭
梵	væ̃6	～啞鈴
梲	tʃəʔ7	
棄	tɕʰi5	
棉	miɛ̃2	～花
棊	dʑi2	
棋	dʑi2	着～
棍	kuən1	
棐	fi3	
棒	bɔŋ6	
棕	tsoŋ1	～墊
棖	zən2	
棗	tsɐɵ3	～子
棘	tɕiɪʔ7	
棚	poŋ1	
棚	bən2	
棚	baŋ2	白讀：牛～
棜	y5	
棟	toŋ5	
棠	dɔŋ2	海～
棣	di6	
棦	tsən1	
棧	dzæ̃6	客～：旅館
棧	zæ̃4	
棨	tɕʰi3	
棫	ɦyɪʔ8	
棬	tɕʰiœ̃1	
森	sən1	
棱	lən2	
棱	liɪn2	
棲	tsʰi1	
棵	kʰu1	塌～菜
棺	kuœ̃1	～材
棼	vən2	
椁	kuoʔ7	
椅	i3	
椅	i1	
椇	dʑy4	
植	dʒəʔ8	種～
椎	tse1	
椏	uo1	～杈，用來擱置晾衣竹竿的椏
椐	tɕy1	
椑	bi2	
椒	tsiɐɵ1	花～
椓	tʃoʔ7	
椔	tsɿ1	
樿	ʒœ̃6	
椰	iɑ1	
椶	tsoŋ1	
椷	tɕiɛ̃1	
椸	ɦi2	
椽	dʒœ̃2	～子
椿	tʃʰən1	香～頭
楂	tso1	～糕
楂	zo2	
楄	biɛ̃4	
楅	foʔ7	
楅	piɪʔ7	
楊	ɦiaŋ2	姓
楎	hue1	
楓	foŋ1	
楔	siɪʔ7	
楖	tsiɪʔ7	
楗	dʑiɛ̃4	門上關插的木條，橫的叫“關”，豎的叫“楗”
楘	moʔ8	
楙	məʏ4	
楚	tsʰu3	清～
楛	ɦu4	一種似荊而色紅的植物
楝	liɛ̃6	木名，高丈餘，複葉，春末開淡紫花，實橢圓如小鈴，熟則色黃
楞	lən2	
楠	nœ̃2	
楣	me2	
楦	ɕiœ̃1	
楦	ɕiœ̃5	～頭
楨	tʃən1	
楩	biɛ̃4	
楫	tsʰiɪʔ7	
楬	tɕiɪʔ7	
業	ȵiɪʔ8	
楮	tʃʰʯ3	
楯	dən4	
楰	ɦy2	
楳	me2	
楴	tʰi5	
極	dʑiɪʔ8	發～
楷	tɕʰiɑ1	
楷	kʰɑ3	白讀：小～
楷	tɕʰiɑ3	
楸	tsʰəʏ1	
楹	ɦiɪn2	
概	ke5	
榆	ɦy2	～樹
榎	tɕiɑ3	
榑	vu2	
榔	lɔŋ2	
榕	ɦioŋ2	
榘	tɕy3	
榛	tsən1	～子
榜	pɔŋ3	
榤	dʑiɪʔ8	木樁
榦	kœ̃5	
榧	fi3	
榨	tsɑʔ7	
榨	tso5	～床
榫	ʃən3	鑲～头
榭	dziɑ6	亭～樓閣。理論上聲母爲[z]
榮	ɦioŋ2	
榰	tʃʯ1	
榱	tsʰe1	
榴	ləʏ2	石～
榷	tɕʰioʔ7	
榹	sɿ1	
榻	tʰɑʔ7	
榻	tʰaʔ7	竹～
榼	ɦəʔ8	
榾	kuəʔ7	
榿	tɕʰi1	
槀	kɐɵ3	
槁	kɐɵ3	
槃	bœ̃2	
槄	tʰɐɵ1	
槅	kɑʔ7	～子
構	kəʏ5	～造
槌	te1	《洪武正韻》：都回切
槍	tsʰiaŋ1	
槎	zo2	
槐	ɦuɑ2	白讀：～樹
槐	ɦue2	
槓	kɔŋ5	～棒
槔	kɐɵ1	
槧	zæ̃6	
槨	kuoʔ7	棺～
槩	ke5	
槱	ɦiʏ4	
槲	ɦoʔ8	
槳	tsiaŋ3	划～
槷	ȵiɪʔ8	
槸	ȵi6	
槹	kɐɵ1	
槽	dzɐɵ2	屁股～：屁股溝兒。|馬～
槽	zɐɵ2	
槿	dʑiən4	木～
樁	tʃʰoŋ1	
樁	tʃɔŋ1	打～
樂	loʔ8	快～
樂	ɦioʔ8	文讀：音～
樊	væ̃2	姓
樏	le2	
樑	liaŋ2	
樓	ləʏ2	～房
樔	zɐɵ2	
樕	soʔ7	
樗	tʃʰʯ1	
標	piɐɵ5	
標	piɐɵ1	
樛	tɕiʏ1	
樜	tso5	
樝	tʃɑ1	讀書音
樞	tʃʰʯ1	
樞	tɕʰy1	
樟	tʃaŋ1	文讀
樟	tsɔŋ1	白讀
樠	mən2	
模	mo2	
樣	ɦiaŋ6	
樨	si1	木～
橫	ɦuən2	縱～
橫	ɦuaŋ2	强～覇道
樲	əl6	
樴	tʃəʔ7	
樵	dziɐɵ2	～夫
樵	ziɐɵ2	漁～耕讀
樸	boʔ8	
樸	pʰoʔ7	簡～
樹	ʒʯ6	
樽	tsən1	
樾	ɦyɪʔ8	
橄	kæ̃3	～欖核墊台脚——活里活絡
橅	mo2	
橇	tɕʰiɐɵ1	
橈	nɐɵ2	
橋	dʑiɐɵ2	
橐	tʰoʔ7	
橑	liɐɵ2	
橕	tsʰən1	
橘	tɕyɪʔ7	福～
橙	dzaŋ2	白讀：～子
橙	zaŋ2	白讀
橙	zən2	文讀
橛	tɕyɪʔ7	
橛	dʑyɪʔ8	一～～
機	tɕi1	織～
橡	ziaŋ4	～皮
橢	du6	堛鼓
橭	kʰu1	①古書上說的一種樹，卽山榆。②樹枝四佈
檀	dæ̃2	～香
檄	ɦiɪʔ8	
檇	tse1	
檉	tʃʰən1	
檍	iɪʔ7	
檎	dʑiən2	
檔	tɔŋ5	
檗	pəʔ7	
檛	tsuo1	①鞭，杖。②擊，敲
檜	kue5	
檝	tsʰiɪʔ7	
檞	ziɑ6	
檟	tɕiɑ3	
檠	dʑiɪn2	
檢	tɕiɛ̃3	～點
檣	dziaŋ2	～子：桅桿
檣	ziaŋ2	
檬	moŋ2	檸～
檮	dɐɵ2	
檯	de2	～子
檳	piɪn1	～榔
檴	ɦoʔ8	
檻	kʰæ̃3	門～
檻	tɕʰiɛ̃3	
檿	iɛ̃3	～桑
櫂	zɐɵ6	
櫃	ɡue6	文讀
櫋	piɛ̃3	屋檐板
櫌	iʏ3	
櫐	le4	
櫓	lu4	搖～
櫖	tʃʰʯ1	
櫚	li2	
櫛	tʃəʔ7	
櫛	tsiɪʔ7	
櫜	kɐɵ1	
櫝	doʔ8	
櫞	ɦiœ̃2	香～
櫟	liɪʔ8	
櫥	dʒʯ2	
櫨	lu2	①柱上方木，卽斗拱。②木名，卽黃櫨
櫪	liɪʔ8	
櫬	tsʰən5	
櫱	ȵiɪʔ8	
櫳	loŋ2	
櫸	tɕy3	
櫻	iən1	
櫻	aŋ1	白讀：～桃
櫽	iən3	
欃	zæ̃2	
欄	læ̃2	～幹
欇	ʃəʔ7	
權	dʑiœ̃2	～力
欑	zœ̃2	
欒	lœ̃2	
欖	læ̃4	橄～
欙	le2	
欛	po5	～柄
欞	liɪn2	
欠	tɕʰiɛ̃5	～債
次	tsʰɿ5	
欣	ɕiən1	～喜
欬	kʰəʔ7	
欬	kʰe5	
欲	ɦioʔ8	
欳	kʰue5	
欵	kʰuœ̃3	
欷	ɕi1	
欸	e1	
欺	tɕʰi1	～瞞
欽	tɕʰiən1	～佩
款	kʰuœ̃3	～子
欿	kʰœ̃3	
歂	dʒœ̃2	
歃	tsʰaʔ7	
歅	iɪn1	
歆	ɕiən1	
歇	ɕiɪʔ7	等一～～
歈	ɦy2	
歉	tɕʰiɛ̃3	吃不飽
歉	tɕʰiɪʔ7	白讀：抱～
歊	ɕiɐɵ1	
歌	ku1	唱山～
歎	tʰæ̃5	
歐	əʏ1	
歔	ɕy1	
歗	siɐɵ5	
歙	ɕiɪʔ7	
歜	tʃʰoʔ7	
歝	ɦiɪʔ8	
歟	ɦy2	
歠	tʃʰəʔ7	
歡	huœ̃1	～喜
止	tʃʯ3	
正	tʃən5	
此	tsʰɿ3	
步	bu6	
武	vu4	
歧	dʑi2	
歪	huɑ1	～有理
歪	uɑ1	～嬲。聲調類推
歲	se5	
歷	liɪʔ8	
歸	kue1	
歸	tɕy1	接大～
歹	te3	弗得知好～
死	si3	白讀
死	sɿ3	
歾	məʔ8	
歿	məʔ8	
殀	iɐɵ3	
殀	iɐɵ1	
殁	məʔ8	
殃	iaŋ1	遭～
殄	diɛ̃4	①盡、滅絕；②浪費，糟蹋
殆	de6	
殆	de4	
殈	siɪʔ7	
殉	siɪn5	
殊	dʒʯ2	
殍	pʰiɐɵ3	餓～
殖	dʒəʔ8	
殘	dzæ̃2	吃～：已經吃過而剩下的食物，如飯、粥、菜餚
殘	zæ̃2	
殛	tɕiɪʔ7	
殞	yən3	
殞	yən5	
殤	ʃaŋ1	
殪	i5	
殫	tæ̃1	竭盡：～思竭慮
殮	liɛ̃6	爲死者易衣入棺
殯	piɪn5	出～
殰	doʔ8	
殲	siɛ̃1	《集韻》：思廉切
殳	ʒʯ2	
殳	dʒʯ2	
段	dœ̃6	姓
殷	æ̃3	紫青綠～
殺	saʔ7	
殼	kʰoʔ7	
殼	kʰoʔ7	
殽	ɦiɐɵ2	
殿	diɛ̃6	宮～
毁	hue3	
轂	koʔ7	
毄	tɕiɪʔ7	
毅	ȵi6	
毆	əʏ3	
毋	vu2	
母	mu3	中州韻
母	mo1	～親
母	mo4	伯～
每	me3	
毒	doʔ8	
毓	ioʔ7	
比	pi1	
毖	pi5	
毗	bi2	
毘	bi2	
毚	zæ̃2	
毛	mɐɵ2	
毡	tʃœ̃1	～帽
