#漢字	音標	解釋
#簡稱	/	冷水江鐸山
#全稱	/	冷水江鐸山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-02-05
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（鐸山）方言音系》
#說明	/	
恩	ɪ̃1	
恭	kən1	
息	si15	
恰	tʃʰɔ15	
懇	kʰɪ̃3	
恶	ʊ15	～人
惱	lɑ3	
悄	tʃʰø3	
悉	si15	
悔	fε3	
悔	fε5	～想:后悔
悟	u5	
患	xõ5	
悅	ue15	
懸	fɪ̃2	
悲	pε1	
情	sin2	
驚	tɕin1	
惜	si15	
惟	ui2	
惠	fε5	
懼	fy15	
慘	tsʰã3	
慚	sã2	
慣	kuã5	
惰	dʊ15	
想	siã3	
惹	ʃɔ4	
愁	sø15	
愈	y2	
愉	y2	
意	i5	
愚	y2	
感	kã3	
憤	fin5	
愧	kʰui15	
願	uɪ̃5	
慈	sɿ2	
慌	xõ1	
慎	ɕin5	
慕	mu5	
慢	mã1	
慧	fε5	
慨	kʰε15	
慰	ui5	
慷	kʰõ1	
慾	y5	
憨	xã1	
憾	xã5	
懂	tən3	
懊	ɑ5	
懶	lã3	
懵	mən3	
戈	kʊ1	
戌	siəu15	
戲	ɕi5	
我	ʊ3	
戒	ka5	猪八～
戒	kã5	猪八～
或	fε5	
戰	kɪ̃5	
戚	tsʰi5	亲～
截	tse15	
戳	tsʰʊ15	
戴	ta5	
戶	fu15	
戽	fu5	
戾	le1	歪
房	xõ2	
所	sɔ3	
扁	pɪ̃3	
扇	xɪ̃5	
手	ɕiəu3	
手	ɕi4	
才	sε2	
扎	tsa1-	～袖子:把袖子挽起来
扎	tsɔ3	一～;～头发
扎	tsɔ5	一～:一沓
扎	tsa5=	结～
扎	tsa15=	～过:结扎了
扑	pʰu15	
扒	bɔ2	～手;～算盘:拨算盘
打	ta3	
托	tʰʊ15	
扣	tʃʰø15	
扦	tsʰɪ̃1	～子:插在藤类植物旁边用来攀爬的棍子
執	tɕi2	
擴	kʰʊ15	
掃	sɑ5	～地;～帚
揚	iõ2	
扭	liəu3	
扮	pã5	
扯	tʃʰɔ3	
擾	ʃø4	打～
扳	pã1	～手
扶	fu2	
批	pʰi1	
找	tsɑ3	
承	ɕin2	
技	ɕi15	
抄	tsʰɑ1	
把	pɔ3	～握;一～刀;～食:喂家禽家畜吃食
抑	i5	
抓	tsɔ1	
投	dø2	
抖	tø3	
抗	kʰõ15	
折	ke15	七～
折	xe5	～本
撫	fu4	
抛	pʰɑ1	
搶	tsʰiã3	
報	pɑ5	
披	pʰi1	
抬	dε2	
抱	pɑ15	
抵	ti3	
抹	mɔ1	～布
押	iɔ15	
抽	tɕʰiəu1	
拄	tɕiəu15	掏
擔	tã1	扁～
擔	tã5	～子
拆	tsʰɔ1	
拈	lã1	
拉	la1	
拌	bõ4	
拍	pʰɔ1-	打;～满:很满
拍	pʰε1	
拐	kua3	
拒	tɕiəu5	
拔	pʰa15	
拖	tʰʊ1	
拗	ɑ3	～断:折断
拘	tɕiəu1	
招	tʃø1	
拜	pã5	～年
攏	lən3	
攔	lã2	
擇	tsʰɔ15-	～日子:选日子
擇	tsʰe15=	选～
括	kʰɔ15	
拱	kən3	
拳	fɪ̃2	
拴	sõ1	
拼	pʰən15	～命
拿	lε1	
拿	lɔ1	
持	sɿ2	
挂	kɔ5	
指	tsɿ3	
按	ã5	
挑	tʰø1	
挖	ua1	
挾	ka1	～菜
擋	tõ5	
擠	tsi1	
揮	fε1	
撏	sɪ̃2	～毛:拔毛
挨	a1	
振	tɕin5	
挺	tʰin3	
挽	mã3	
捂	u3	
捅	tʰən3	
捆	kʰuen3	
捉	tsʊ1	
捋	lε5	～草:拔草
捏	li1	用两只大拇指挤压死虱子类的动作
捏	lia5	～白：撒谎
捐	kuɪ̃1	
捕	pʰu1	
撈	lɑ1	
損	sin3	
換	tʰø3	
換	xõ4	
捧	pən3	一～
据	tɕiəu5	
捱	a2	拖延时间
捲	kuɪ̃3	
捺	la15	
捼	lʊ2	揉搓
掀	xɪ̃1	
授	ɕiəu15	
掉	dø6	
掌	tʃõ3	
掐	kʰɔ1	
排	fa2	
掘	kue15	
探	tʰã15	
接	tse1	
控	kʰən15	
推	tʰε1	
掩	ɪ̃3	
措	tsʰʊ15	
揉	ɕiəu2	
描	mø2	
提	dia2-	
提	ɕi4	
提	di2=	～要求
插	tsʰa1	
握	u5	把～
握	u15	～手
揩	kʰa1	
揭	ke1	
援	uɪ̃2	
攬	lã3	
擱	kʊ15	
摟	ləu2	
攪	kɑ1	～动
攪	tʃø3	
搊	tsʰø1	端持动作，～尿:把尿
搓	tsʰʊ1	
搜	sø1	
搡	tsʰən3	推
搣	mɪ̃1	～开:掰开
搬	põ1	
搭	ta1	
搲	uã3	舀
搽	sɔ2	～药:抹药
摆	pa3	打～子
摇	iø2	～动
摇	iø15	～篮
攤	tʰã1	
摘	tsɔ1	
摛	tsʰɿ1	～手:伸手
摩	mʊ2	
摸	mʊ15	
摹	mʊ2	
摺	ke1	
撅	kʰua3	～断:折断
撇	pʰe15	～开
撕	sɿ1	
撞	tsʰõ3	
撤	kʰe15	～销
撩	lø1	动物用嘴拱东西
撬	ʃø4	
撬	ʃø6	
撮	tsɔ1	一～:一小撮
擀	kã3	
操	tsʰɑ1	
擒	ɕin2	
擤	xən3	
擦	tsʰa1	
攀	pʰã1	
攎	ləu2	
攢	tsã3	～劲
支	tsɿ1	
收	ɕiəu1	
改	kε3	
攻	kən1	
放	xõ5	
政	tɕin5	
故	ku5	
效	ʃø15	
敵	ti15	
敏	min3	
救	tɕiəu5	
教	tʃø5	～育
教	kɑ5	～书
敝	pi15	
敢	kã3	
散	sã5	分～;施舍
敥	e1	撒
敦	tin1	
敦	tin5	立起来
敬	tɕin5	
數	səu3	动词
數	səu5	名词
敲	kʰɑ1	
整	tʃõ3-	～田
整	tɕin3=	～齐
敷	fu1	
文	fin2	
斋	tsa1	
斑	pã1	
斗	tø3	一～
斗	tø5	～架:两头牛相斗
料	lø1-	单说
料	lø5=	材～
斜	sia2	
斟	tɕin1	
斢	tʰø3	
斤	tɕin1	
斧	fu3	
斬	tsã3	
斫	tʃʊ5	砍
斷	dõ4	kua～:折断
斯	sɿ1	
新	sin1	
方	xõ1	
施	sɿ1	
旁	bõ2	
旅	liəu3	
旋	sɪ̃4	头旋儿
族	tsʰəu15	
旗	ɕi2	
无	fu2	
既	tɕi5	
日	in1-	～头
日	n1-	～子
日	ɕi15=	～本
旦	tã5	
舊	ɕiəu4	
舊	tɕʰiəu15	～年子:去年
舊	ɕiəu6	
旨	tsɿ3	
早	tsɑ3	
旱	xã15	
時	sɿ2	
曠	kʰõ15	
旺	õ5	
昂	ɑ2	
昆	kʰuen1	
昌	tʃʰõ1	
明	tsin1	
明	miã2	
昏	fin1	
易	i1	～得:容易
易	i5	姓;容～
昔	si15	
星	siã1	
映	in5	
春	kʰuen1	
昨	tsʰʊ15	
昭	tʃø1	
是	sɿ4	
晝	tɕiəu15	
顯	xɪ̃3	
晃	xõ3	
晉	tsin5	
晌	ʃõ3	
晏	ã5	
曬	sɔ5	
曉	ʃø3	
暈	min1	头～
晚	mã3	～～:叔叔
晨	ɕin2	
普	pʰu3	
景	tɕin3	
晴	siã2	
智	tsɿ5	
晾	lõ1	～衣衫
暫	sã15	
暑	fy3	
暖	lõ3	
暗	ã5	
暮	mu5	
暴	pʰɑ15	～乱
曝	pʰɑ15	
曰	ue15	
曲	tɕʰiəu15	酒～
更	kɪ̃1	五～
更	kɪ̃5	～加
曹	sɑ2	
曾	tsɪ̃1	姓
替	tʰi15	
最	tsi5	
月	ue1-	正～
月	ue5-	坐～子
月	ue15=	～假
有	iəu3	
朋	bən2	
服	fu5-	～侍:照顾
服	fu15=	～气
朗	lõ2	
望	mõ1-	看
望	õ5=	希～
朝	tʃø1	～阳
朝	ʃø2	～代
期	ɕi2	
木	bʊ1-	～坨公:木头
木	mʊ15=	～材
未	fi15	～时
末	mε15	期～
末	mʊ15	期～
本	pin3	
札	tsa15	
术	fy5	
朱	tɕiəu1	
朴	pʰu15	
機	tɕi1	
朽	ɕiəu3	
殺	sa1	～猪
殺	sa15	～虫:打农药
雜	tsa15	
權	fɪ̃2	
杈	tsʰɔ1	
杉	sɔ1	～树
李	li3	
材	sε2	
村	tsʰin1	
杖	tʃõ5	
杜	dəu15	
杞	tɕi1	
束	tɕʰiəu15	
條	dø2	
來	lε2	
楊	iõ2	
杭	xõ2	
杯	pε1	
杰	ke15	
杳	iø3	
松	sən1	～紧
松	sən2	～树
板	pã3	黑～
板	pã15	～子
極	tɕʰi15	
構	ke5	
構	tʃø5	结～:结冰
枇	fi2	
枉	õ3	
析	sõ3	一～:一截
析	si15	
枕	tɕin3	
林	lin2	
枚	mε2	
果	kʊ3	
枝	tsɿ1	
棗	tsɑ3	
槍	tsʰiã1	
楓	xən1	
枯	kʰu1	
枱	dε2	～子板:桌子板
架	kɔ5	～公:架子
柄	pin3	
柏	pε15	
某	mø3	～～
柑	kã1	
染	xɪ̃4	
柔	liəu15	～软
柚	iəu5	
櫃	fi15	
查	sɔ2	调～
柩	tɕiəu5	
柱	fy4	
柳	liəu3	
柴	sa2	
柿	sɿ5	
標	pø1	
棧	sã4	
棟	tən5	
欄	lã2	
樹	pʰɑ1	
樹	fy6	
栗	li5	
校	kɑ5-	～秤
校	ʃø5	上～
校	ʃø15	～长
校	tʃø5=	～对
株	tɕiəu1	～洲
樣	iõ5	
核	xε15	审～;～桃
根	kɪ̃1	
格	ke15	
栽	tsε1	
桂	kui5	
桂	kɪ̃5	～圆
桃	dɑ2	
桄	kõ3	一～线
框	tʃʰõ1	门～
案	ã5	
桊	kuɪ̃5	
桌	tsʊ1	
桐	dən2	
桑	sõ1	
橋	ʃø2	
檜	fε15	
樁	tsõ1	
桶	tʰən3	
桶	ɕi4	
梁	liã15	
梅	mε2	
梓	tsɿ3	
梗	kõ15	
夢	mən1	
梧	u2	
梨	li2	
梭	sʊ1	
梯	tʰi1	
械	ka5	机～厂
梳	səu1	
檢	kɪ̃3	
棉	mɪ̃2	
棋	ɕi2	
棍	kuen5	
棒	põ15	
棕	tsən1	
棚	bən2	
棠	dõ2	
森	sɪ̃1	
棵	kʰʊ1	
棺	kõ1	
椅	i3	
橢	dʊ4	
椰	iø1	
椽	fɪ̃2	～皮
椿	kʰuen1	
楂	sɔ2	山～
楔	sø1	
楚	tsʰəu3	
楝	lɪ̃3	
楝	lia5	
楦	fin5	
楷	kʰa3	
樓	lø2	
概	kʰε15	
欖	lã3	
榆	y2	
榜	põ3	
榧	fi3	
榨	tsɔ5	
榫	sin3	
榴	liəu2	
榻	tʰa15	
槌	fy15	
槐	fε2	
檳	pin1	
槽	sɑ2	
樟	tʃõ1	
模	mən2	～子
橫	õ2	～桶:用来盛放谷物的大圆木桶
橫	fin2	一～
櫻	in1	
橄	kã3	
橡	siã5	
櫥	fy2	
檀	dã2	
欛	pɔ5	～公:柄
欠	kʰɪ̃15	
次	tsʰɿ15	
歡	xõ1	
欣	ɕin1	
歐	iø1	
欲	y5	
欺	tɕʰi1	
款	kʰõ3	
歇	xe1	
歉	kʰɪ̃15	
歌	kʊ1	
止	tsɿ3	
正	tʃõ1	～月
正	tɕin5	～式
此	tsʰɿ3	
步	fu6	一～
武	fu4	
歪	uε1	
死	sɿ3	
殲	tsʰɪ̃1	
殃	iõ1	
殊	fy2	
殘	sã2	
毆	iø1	
段	dõ15	
殷	in1	
殿	dɪ̃15	
毅	i5	
每	mε3	
毒	təu5	
毒	təu15	
比	pi3	
畢	pi15	
斃	pi15	
毛	mɑ2	
毫	xɑ2	
毯	tʰã3	
氏	sɿ5	
民	min2	
气	tɕʰi15	
水	ɕin2	
水	fy3	
水	si3=	～泥
永	min3	
汁	tɕi1	出～:流脓
求	ɕiəu2	
汆	tsʰõ1	
汇	fε15	
漢	xã5	
汗	xõ6	
汝	fy4	
汞	kən3	
江	tʃõ1	
池	sɿ2	
污	u5	经～:耐脏
湯	tʰõ1	
汪	õ1	
汰	tʰε15	～衣衫:漂洗衣服
汽	tɕʰi15	
沃	u5	
沈	ɕin3	
沉	ɕin2	
沓	tʰa15	
沙	sɔ1	
沛	pʰε15	
沒	mε15	
漚	e5	～粪
淪	lin2	
沫	mʊ5	泡～
沫	mʊ15=	
河	xʊ2	
油	iəu2	
治	sɿ15	
沼	tʃø1	
沽	ku3	鱼～鸟:翠鸟
沾	tsã1	
沿	ɪ̃2	
泄	se15	
泉	sɪ̃2	
泊	pʊ15	
泌	mi15	
法	fa1	没～:没有办法
法	fa5=	办～
泛	fã5	
泠	lin1	～光:形容什么也没有
泡	pʰɑ1	灯～
泡	pʰɑ15	水～
波	pʊ1	
泣	tɕʰi15	
泥	li2-	～巴
泥	li15	～鳅
泥	i2=	水～
注	tɕiəu5	
泰	tʰa15	
泳	min5	
瀉	sia5	
潑	pʰε1	～水
潑	pʊ15=	活～
澤	tsʰe15	
潔	ke15	
洋	iõ2	
洒	sε3	
洗	si3	
洛	lʊ5	
洞	dən6	
津	tsin1	
洪	xən2	
洲	tɕiəu1	
活	xʊ15	
洼	ua1	～眼睛:眼睛下陷
洽	tʃʰɔ15	
派	pʰã15	～出所
流	liəu2	
漿	tsiã1	
澆	tʃø1	
濁	tsʰʊ15	
測	tsʰe15	
濟	tsi5	
渾	fin2	
滸	fu3	
濃	in2	～茶
浙	ke15	～江
浩	xɑ15	
浪	lõ5	
浮	bɑ2	
浴	y5	
海	xε3	
浸	tsin5	～湿
涂	dəu15	
消	sø1	
涉	se15	
涌	in15	带～:呕心想吐
涕	tʰi15	
濤	tʰɑ1	
澇	lɑ2	
潤	fin15	
漲	tʃõ3	
澀	se1	
涫	kõ5	～浓:溃脓
涯	a2	
液	e5	
淆	ʃø4	
淋	lin2	
淑	ɕiəu15	
淘	dɑ2	～汤:把菜汤浇饭上
淡	dã4	
淤	y1	
淫	in2	
淮	fa2	
深	ɕin1	
混	fin15	～账
淹	ɪ̃1	
添	tʰɪ̃1	
清	tsʰiã1	
淵	uɪ̃1	
漸	tsã5	
漁	y2	
滲	ɕin5	～透
渠	fy2	
渠	tɕi3	他
渡	dəu6	～船
渣	tsɔ1	油～子:油渣
渨	ui5	～湿:打湿
溫	min1	
港	kõ3	
渴	kʰʊ15	
游	iəu2	
渺	mø3	
湖	fu2	
湘	siã1	
湴	fa4	
灣	uã1	
溼	ɕi1	
溉	kʰε15	
源	uɪ̃2	
溜	liəu1	
溪	tɕʰi1	梁～:地名
滋	tsɿ1	
滑	ua5	
滓	tsɿ3	
滔	tʰɑ1	
滗	pʰi1	挡住渣滓或泡着的东西把液体倒出的动作
滗	pi5	挡住渣滓或泡着的东西把液体倒出的动作
滾	kuen3	
滯	tsʰɿ15	吃～了:因难吃再也不愿吃
滿	mõ3	
濾	liəu5-	～过:滤掉
濾	lε5=	过～嘴
濫	lã5	
灘	tʰã1	
滴	tia5	～油
漂	pʰø3	～白
漂	pʰø15	～亮
漆	tsʰi1	
漉	ləu5	捞
漏	lø1	
演	ɪ̃3	
漕	sɑ2	
漫	mã5	
潘	pʰõ1	
潛	sɪ̃2	
潭	dã2	
潮	ʃø2	涨～
潲	sɑ5	
澄	ɕin2	～清
澡	tsɑ3	
激	tɕi2	
濽	tsã5	
瀑	pʰu15	～
灌	kõ5	
火	xʊ3	
滅	mε5	～绝
燈	tɪ̃1	
灰	fε1	
靈	lin2	
竈	tsɑ5	
灸	tɕiəu3	
災	tsε1	
燦	tsʰã15	
炆	min2	小火炖
爐	ləu2	
爐	ləu15	～铛:铁锅
炊	tɕʰi1	～事员
炎	ɪ̃2	
炒	tsʰɑ3	
炕	kʰõ15	
炖	tin5	
炙	tʃɔ1	
炩	lɪ̃1	很脆
炭	tʰã15	
炮	pʰɑ15	开～
炸	tsɔ5	
點	tɪ̃3	
炼	lɪ̃5	
爛	lã1	
烈	le15	
烊	iõ15	
烘	xən1	
烘	kʰõ15	
烙	lʊ1	～铁
燭	tɕiəu1	一对～
烟	ɪ̃1	
烤	kʰɑ3	
煩	fã1	～死了
煩	fã2	～燥
燒	ʃø1	
熱	i5	闹～:热闹
熱	ɪ̃5	
焉	ɪ̃1	
焊	xã6	
煥	xõ5	
焦	tsø1	
焮	ɕin5	～菜:热菜
焰	ɪ̃5	
煎	tsɪ̃1	～药
煎	tsɪ̃5	～油:用肥肉炸油
煞	sa15	
煠	tsʰa15	油～豆腐:油炸过的豆腐
煤	mε2	
照	tʃɔ5-	～样:学样;～渠去:跟着他去
照	tʃø5=	～相
煨	mε1	～红薯:烤红薯
煨	uε1	～红薯:烤红薯
煮	tɕiəu3	
熄	si15	
熊	ɕin2	
熏	fin1	
熙	ɕi1	
熟	ɕiəu5	
熨	min5	
熬	ɑ2	
燎	lø2	
燕	ɪ̃5	～子
爆	pʰɑ15	
爪	tsɑ15	～子
愛	ε5	
父	fu15	
爺	iɔ2-	父亲的背称
爺	e2=	～～
爸	pɔ1	
爹	tia1	
爽	sõ3	
片	pʰɪ̃15	
版	pã3	
牌	fa2	
牒	tʰe15	
牙	kɑ1	～糕
牙	ɔ2	
牚	tsʰõ15	
牛	iəu2	
牡	mø3	
牢	lɑ2	
牧	mʊ15	
物	u15	
牯	ku3	～子:公羊
牯	ku5	黄～:黄牛
牲	sɪ̃1	
牽	kʰɪ̃1	～电:闪电
牸	sɿ4	～牛:母黄牛
特	tʰe15	
犧	ɕi1	
犀	si1	
犁	li2	
犬	kʰuɪ̃3	
犯	fã15	
狀	sõ6-	告～
狀	sõ15=	奖～
狄	tʰi15	
狐	fu2	
狗	tʃø3	
狡	tʃø3	
獨	tʰəu15	
狹	xa5	
獅	sɿ1	
獄	iəu15	
狸	li2	
狼	lõ2	
猋	pø1	
猛	mən3	
猜	tsʰa1	
豬	tɕiəu1	
貓	mɑ1	
獻	xɪ̃5	炫耀
猴	xe2	
猶	iəu2	
猾	ua5	
玄	fɪ̃2	
率	liəu15	
玉	y5	
玉	m5	～mɪ̃:玉米
王	õ2	
玩	xε1	
玩	uã2	
環	fã2	
現	xɪ̃2	～子:现在
現	xɪ̃6	～饭
璽	ɕi3	
玻	pʊ1	
珊	sã1	
珍	tɕin1	
珠	tɕiəu1	
班	pã1	
球	ɕiəu2	
琉	liəu2	
瑣	sʊ3	
琢	tsʊ15	
琴	ɕin2	
瑕	ʃɔ2	
瑞	si5	
璃	li2	玻～
璧	pʰi15	
瓜	kɔ1	
瓢	bø15	水～
瓢	fø15	～公:水瓢
瓣	bã15	
瓦	ɔ3	
瓶	fin2	
瓷	sɿ2	
甑	tsɪ̃5	
甘	kã1	
甚	ɕin5	
甜	dɪ̃2	
生	sõ1-	～人
生	sõ5-	
生	sã1=	好～:好好的
生	sɪ̃1=	学～
甥	sã1	外～
用	in5	
田	dɪ̃2	
由	iəu2	
甲	ka1	手指～子:指甲
甲	tʃɔ15=	～乙丙
申	ɕin1	
電	dɪ̃15	
男	lã2	
畫	xɔ15	
畀	pε1	给
暢	tʃʰõ15	
界	ka5	世～
界	kã5	～子:界线
畏	ui5	
留	liəu2	
畜	tɕʰiəu15	～牲
畜	ɕiəu15	～牧
番	fã1	
畲	ʃɔ1	旱地
疆	tʃõ1	
疏	səu1	
疑	i2	
療	lø2	
瘧	iʊ15	
疤	pɔ1	
疥	ka5	
疫	y5	
瘡	tsʰõ1	
瘋	xən1	
疲	fi2	
疹	tɕin3	
疾	tsʰi15	
痂	ka1	
病	biã6	
症	tɕin5	
痒	iõ3	
痔	sɿ6	
痛	tʰən15	
痢	li5	
痣	tsɿ5	
痧	sɔ1	
癆	lɑ1	～药:毒药
癆	lɑ2	很馋
痰	dã2	
痱	fi1	
痹	pi5	
瘊	xe2	～子
瘟	min1	
瘦	sø5	
癩	la5	
癩	lã5	～子:痘痘
癬	sɪ̃3	
癲	tɪ̃1	
癸	kui5	
登	tɪ̃1	
白	pʰɔ15	～色
百	pε15	
皂	sɑ4	
的	ɕi4	
的	ti5	目～
皆	kε1	
皇	xõ2	
皖	uã3	
皮	fi2	
皺	tsø15	～纹
皿	min3	
盂	y1	
盅	tɕin1	
盆	fin2	
盈	in2	
益	i5	
盞	tsã5	
鹽	ɪ̃2	
監	kã5	国子～
監	kã5	～督
盒	xʊ15	
盔	kʰui1	
盖	kε5	～公:盖子
盖	kuε5	～公:盖子
盜	dɑ15	
盤	bõ2	
盛	ɕin5	兴～
盟	min2	
目	mʊ15	
盲	mõ2	
直	tɕʰi15	
相	siã1	～信
相	siã5	～貌
盼	pʰã15	
盾	tin5	
省	sõ3-	～钱
省	sɪ̃3=	～长
看	kʰã15	～守所;～见
真	tɕin1	
眠	min2	
眨	tsa1	
眶	tʃʰõ1	
眷	kuɪ̃5	
眼	ã3	～珠:眼睛
眼	ã5	格子～:窗户
着	tsɑ3	～急
着	tʃʊ15	～神:专注认真
着	tʃʰʊ15	困～:睡着;～吓:受惊
睏	kʰuen15	
睡	fy6	
督	təu1	
睬	tsʰε3	理～
瞎	xa1	
瞒	mõ2	
瞿	fy2	
矛	mɑ2	
矢	sɿ3	
知	tɕi1	
矩	tɕiəu3	
短	tõ15	
矮	ã3	
石	ʃɔ5	～牯:石头
石	ɕi15=	～湾:地名的新读法
矺	tsɔ15	压
礦	kʰõ15	
碼	mɔ3	
砌	tsʰi15	
砍	kʰã3	
研	ɪ̃1	～究
研	ɪ̃2	
磚	kuɪ̃1	
硯	ɪ̃5	
砧	tin1	～板
破	pʰu15-	～鱼：治鱼
破	pʰʊ15=	～除
砸	tsa1	头部撞击
硃	tɕiəu1	
硝	sø1	
硫	liəu2	
硬	õ1	
確	kʰʊ15-	～实
確	tʃʰʊ15=	～实
碎	sε5	
碑	pε1	
碗	õ3	
碟	tʰe15	
碧	pi15	
碰	pʰən15	～运气
碾	ɪ̃3	
磁	sɿ2	
磉	sõ3	
磑	a2	～烂:磨碎
磡	kʰõ15	崖
磨	mʊ2	～刀
磨	mõ5	石～
磷	lin2	
礎	tsʰəu3	
礓	tʃõ1	
示	sɿ5	
禮	li3	
社	xe5	
祀	sɿ5	
祁	ɕi2	
祖	tsəu3	
祝	tɕiəu15	
神	ɕin2	
神	ɕin15	土～仙
祠	sɿ2	
祥	siã2	
票	pʰø15	
祭	tsi5	
禱	tɑ3	
禍	xʊ4	
禀	pin3	
禁	tɕin1	～不住
禁	tɕin5	～止
禄	ləu1	
福	fu15	
禦	y5	
禹	y3	
离	li2	
禽	ɕin2	
禾	u2	
秀	siəu5	
私	sɿ1	
禿	tʰəu1	
秆	kõ3	
秋	tsʰiəu1	～天;～千
種	tɕin3	～子
種	tɕin5	～菜
科	kʰʊ1	
秒	mø3	
租	tsəu1	
秤	tɕʰin15	
秦	sin2	
秧	iõ1	～种:撒种;～子:秧苗
秩	tsʰɿ15	
積	tsʰi15	疳～
積	tsi15=	～极
稱	tɕʰin1	～呼;～重量
移	i2	
稀	ɕi1	
稆	liəu3	
程	ɕin2	
稅	si5	
稗	fa4	
稚	tsɿ5	
稠	ɕiəu2	
穩	min3	
稻	dɑ15	
稼	tʃɔ5	
稽	tsi1	
稿	kɑ3	
穆	mʊ15	
穡	xɪ̃3	小气
穴	xe15	
究	tɕiəu5	
窮	ɕin2	
空	kʰən1	～的
空	kʰən15	没～
穿	kʰuɪ̃1	
突	tʰəu15	
窑	iø2	
窖	kɑ5	～凼:地窖
窗	tsʰõ1	
竄	tsʰõ1	
窩	ʊ1	
窠	kʰʊ1	
窺	kʰui1	
立	li5	
豎	fy4	～起来
站	tsã5	车～
競	tɕin5	
竟	tɕin5	
章	tʃõ1	
童	dən2	
端	tõ1	
端	tõ5	～头:东西的两头
竹	tiəu1	
竿	kã1	
笋	sin3	
笑	sø5	
笔	pi15	
筧	kɪ̃3	
笛	tʰi15	
笠	li5	
符	fu2	
笨	pin3	
第	di15	
笱	kõ5	捕鱼器具
籠	lən2	蒸～
籠	lən15	进～
筅	sɪ̃3	用竹子做的刷洗锅灶的用具
等	tɪ̃3	
等	ɕi4	
筋	tɕin1	
筐	kʰõ1	
筑	tiəu1	
筒	dən2	
筒	dən15	笔～公:笔壳
答	ta15	
策	tsʰe15	
篩	sa1	～子
箏	tsɪ̃5	
筵	ɪ̃2	
筷	kʰua15	
籌	ɕiəu2	
签	tsʰɪ̃1	
簡	kã3	
箍	ku1	
算	sõ5	
管	kõ3	
箢	mɪ̃1	～箕
箢	uɪ̃1	～箕
籮	lʊ15	～子:箩筐
簫	sø1	
箭	tsɪ̃5	
箱	siã1	
篇	pʰɪ̃1	
簍	lø3	
篡	tsʰõ15	
篦	fi4	
籃	lã2	
籃	ɕi4	
籃	lã5	背～:单肩背的篮子
籃	lã15	～子
篷	bən2	
篾	mɪ̃5	竹～
簟	lɪ̃3	晒～:晒谷子用的篾席
簧	xõ2	
簪	tsã1	
簸	bõ2	～箕:有四方桌大的浅口筲箕
簸	pu5	～一～
簾	lɪ̃2	
簿	pʰu3	账～
籍	tsʰi15	
籰	iʊ5	织布时的缠线工具
米	mi3	
米	min3	
类	lε5	
粑	pɔ1	
粒	li1	一～米
粒	li5	一～米
粗	tsʰəu1	
粘	tiã1	
糶	tʰø15	～米:买米
粟	siəu1	～米:小米
粟	səu15	
粤	ue15	
粥	tɕiəu1	
糞	fin5	
糧	liã15	
粱	liã15	
粳	kɪ̃1	
粹	tsʰi15	
糉	tsən5	
糊	u15-	涂抹
糊	fu2=	～涂
糍	sɿ2	
糖	dõ2	
糙	tsʰɑ15	
糜	mi1	～～唧:一点儿
糜	mε1	烂
糟	tsɑ1	
糠	kʰõ1	
糯	lʊ1	
糰	dõ2	
系	tɕi5	～鞋带
系	ɕi5	关～;联～
素	səu15	
索	sʊ1	
緊	tɕin3	
紫	tsɿ3	
累	lε1	疲惫
累	lε3	～积
累	lε5	连～
絮	siəu5	
繁	fã2	
繫	ɕi4	
糾	tɕiəu1	
紅	xən2	
紂	tɕʰiəu15	
約	iʊ1-	～好
約	iʊ15=	～等于
級	tɕi2	
紀	tɕi1	年～
紀	tɕi3	
紉	in5	
緯	ui3	
純	fin2	
紗	sɔ1	
綱	kõ1	
納	la5	出～
納	la15=	
縱	tsən5	～容
紛	fin1	
紙	tsɿ3	
紋	fin2	
紡	xõ3	
紐	liəu3	
線	sɪ̃5	
練	lɪ̃5	
組	tsəu3	
細	si5	
織	tɕi1	～布
終	tɕin1	
絆	pã5	～倒:摔倒
紹	ʃø5	
經	tɕin1	
絨	in15	～毛
結	ke1-	～桃子
結	ke15=	～婚
繪	fε15	
絡	lʊ3	哄、讨好
絡	lʊ5	
絕	tsʰe15-	～种
絕	tse15=	～对
絞	tʃø3	
統	tʰən3	
繡	siəu5	
綏	siəu1	
繼	tɕi5	
績	tsi5	
績	tsi15	
緒	siəu15	
繩	ɕin2	
維	ui2	
綿	mɪ̃2	
綢	ɕiəu2	
綯	dɑ2	
綠	liəu1-	～色
綠	liəu5=	～豆崽:绿豆
緬	mɪ̃3	
緞	dõ15	
緩	xõ3	
縷	liəu3	
編	pɪ̃1	
緣	mɪ̃15-	～上去:爬上去
緣	uɪ̃2=	无～
縫	xən2	～纫机
縫	xən4	一条～
縫	in5	～刃
纏	xɪ̃2	
縊	i5	
縮	sʊ1	
繮	tʃõ1	
缸	kõ1	
缺	kʰue1-	～钱
缺	kʰue15=	～点
罐	kõ5	
网	mõ3	鱼～
罕	xã3	
羅	lʊ2	
罰	fa15	
罷	pʰɔ15	
罩	tsɑ5	
罪	sε6-	受～
罪	sε15=	犯～
置	tsɿ5	
罾	tsɪ̃1	捞鱼的网
羊	iõ2	
美	mε3	
羔	kɑ1	
羞	siəu1	
羡	sɪ̃5	
羡	kʰɪ̃15	馋东西吃
羣	fin2	
羽	y3	
翅	tsʰɿ15	
