#漢字	音標	解釋
㐄	kʰᴀ2	跨
婪	lɐ̃3	贪~
婿	ɕi4	
媎	tɕiɛ3	
媒	mᵇɘi2	
媘	kɐɛ1	
媚	mᵇɘi4	
媛	ʑɛ̃2	
媧	wᴀ1	
媲	pʰi3	
媳	ɕi2	
媽	mᵇᴀ1	
媾	kiɘu4	
嫁	tɕiᴀ4	
嫂	sᴀɔ3	
嫉	tɕi4	
嫌	ɕiɛ̃2	
嫐	nᵈiᴀ1	黏人
嫐	zᴀɔ3	
嫑	piᴀɔ4	“不要”的合音
嫖	pʰiᴀɔ2	
嫡	ti2	
嫪	lᴀɔ4	
嬈	zᴀɔ2	
嬉	ɕi1	
嬌	tɕiᴀɔ1	
嬲	tiᴀɔ3	白读
嬲	tʰiᴀɔ3	~戏
嬲	nᵈiᴀɔ3	文读
子	tsɿᵊ3	
字	tsɿᵊ4	
孚	fu1	
孜	tsɿᵊ1	
孝	ɕiᴀɔ4	
孢	pᴀɔ1	
季	tɕi1	四~豆
季	tɕi4	
孤	ku1	
孩	xɐɛ2	
孬	pʰiɛ4	
孬	ʑᴀɔ1	
孱	tsʰɐ̃4	
學	ɕiɔ2	
孹	pʰi2	
孺	zu3	
孽	nᵈiɛ2	
它	tʰᴀ1	文读
它	lᴀ1	白读
宅	tsɛ2	~吉
宅	tsʰɛ2	
宇	ʑi3	
守	sɘu3	
安	ŋᶢɐ̃1	
完	ʑɛ̃2	~范
宙	tsɘu4	
宜	nᵈi2	
宜	nᵈi4	便~，指方便
客	kʰɛ2	
宣	ɕiɛ̃1	
室	sɿᵊ2	
宰	tsɐɛ3	
害	xɐɛ1	~怕
害	xɐɛ4	
宴	ʑɛ̃4	
宵	ɕiᴀɔ1	
家	kᴀ1	推粑粑，请~~。~~指外婆，仅在童谣里出现。
家	nᵈiᴀ1	“人家”合音;“你家”合音
家	tɕiᴀ1	
宿	ɕi̹u2	
宿	ɕiɘu4	星~
寀	tsʰɐɛ3	
寂	tɕi2	
密	mᵇi2	
寇	kʰiɘu4	
富	fu4	
寐	mᵇɘi4	
寒	xɐ̃2	
寓	ʑi4	
寞	mᵇɔ2	
察	tsʰᴀ2	
寡	kuᴀ3	
實	sɿᵊ2	
寨	tsɐɛ4	
寫	ɕiɛ3	
寮	lᴀɔ2	老挝
寮	nᵈiᴀɔ2	
寶	pᴀɔ3	
寺	sɿᵊ4	
射	sɛ4	
尅	kʰɛ1	老~
尉	ʑi4	姓氏
尉	wɘi4	
對	tuɘi4	文读
對	tɘu4	白读，即“斗”
導	tᴀɔ4	
小	ɕiᴀɔ3	
少	sᴀɔ3	
少	sᴀɔ4	
尖	tɕiɛ̃1	
尛	mᵇɔ2	
尜	kɛ2	同“蛤”
尤	ʑu2	蚩~
尤	ʑɘu2	
尬	kᴀ3	
就	tɘu4	白读
就	tɕiɘu4	文读
尷	kɐ̃1	
尸	sɿᵊ1	
尺	tsʰɿᵊ2	
尻	kʰᴀɔ1	
尼	nᵈi2	
尾	wɘi3	
尿	sʮ1	催尿声
尿	ɕi1	~~，指小便
尿	suɘi1	~脬眼，指眼睛脬肿不堪;淌猫~，对轻易哭泣的嘲讽
尿	nᵈiᴀɔ4	
局	tɕi̹u2	
屁	pʰi4	
屄	pʰi1	
居	tɕi1	
屆	kɐɛ4	
屈	kʰu1	矮~~
屈	tɕʰi̹u2	
屋	vu1	祧~，即堂屋
屋	vu2	
屌	tiᴀɔ3	
屌	nᵈiᴀɔ3	憨屄入~
屍	sɿᵊ1	
屎	sɿᵊ3	
屐	tɕi2	
屑	ɕiɛ2	
屑	ɕiᴀɔ1	“需要”合音:何~，即何必;不~，即没必要
展	tsɐ̃3	
屙	ɣɔ1	
屠	tʰu2	
屢	luɘi3	
履	nᵈi3	
屬	su2	
山	sᴀ1	~药
山	sɐ̃1	
屹	ʑi2	
豈	tɕʰi3	
岔	tsʰᴀ4	
岜	piᴀ	~沙族，一个苗族部落
岣	kiɘu3	
岥	pʰɔ1	
巖	ŋᶢɐɛ2	
岯	pʰɘi1	
岳	ʑɔ2	
岸	ŋᶢɐ̃4	
峨	ɣɔ2	
島	tᴀɔ3	
峽	xᴀ2	麻~，即今麻江
峽	ɕiᴀ2	
崔	tsʰuɘi1	
崖	ŋᶢɐɛ2	
崛	tɕʰi̹u2	
崴	wɐɛ3	
崽	tsɐɛ2	~哦，语气词，相当于“天哪”
崽	tsɐɛ3	
嵌	kʰᴀ1	白读
嵌	kʰɐ̃1	文读
嵌	tɕʰiɛ̃4	倒~，即倒刺
嶁	lɘu3	
嶄	tsɐ̃3	
嶲	suɘi3	
嶽	ʑɔ2	
巂	ɕi1	
巋	kʰuɘi1	
巍	wɘi1	
巍	wɘi3	~然;~峨
巓	tiɛ̃1	
州	tsɘu1	
巢	tsʰᴀɔ2	
左	tsɔ3	
巧	tɕʰiᴀɔ3	
巨	tɕi4	
巫	vu1	
差	tsʰɿᵊ1	参~
差	tsʰᴀ1	
差	tsʰɐɛ1	出~
己	tɕi2	妲~
己	tɕi3	
已	ʑi3	
巳	tsɿᵊ4	
巴	pᴀ1	
巴	pʰᴀ1	下~;哈~狗
市	sɿᵊ4	
布	pu4	
帆	fɐ̃2	
希	ɕi1	
帔	pʰɘi1	
帕	pʰᴀ4	
帖	tʰiɛ2	
帚	tsɘu3	
帛	pɛ2	
帝	ti4	
帥	suɐɛ4	
師	sɿᵊ1	
席	ɕi2	
帶	tɐɛ4	
帷	wɘi2	
帽	mᵇᴀɔ4	
幅	fu2	
幔	mᵇɐ̃4	
幕	mᵇu4	
幟	tsɿᵊ3	
幡	fɐ̃1	
幣	pi4	文读
幣	pɘi4	白读
干	kɐ̃1	
年	nᵈiɛ̃2	
幹	kɐ̃4	
幺	ʑᴀɔ1	
幼	ʑɘu4	
幽	ʑɘu1	
幾	tɕi1	
幾	tɕi3	
庇	pʰi3	
庇	pʰi4	~护
序	ɕi4	
底	ti1	即“的”
底	ti3	
店	tiɛ̃4	
府	fu3	
度	tu4	
度	tɔ2	揣~
座	tsɔ4	
庫	kʰu4	
庵	ŋᶢɐ̃1	
庶	su4	
廁	tsʰɛ2	
廄	tɕiɘu4	
廈	ɕiᴀ4	~门
廈	suᴀ3	
廉	nᵈiɛ̃2	
廓	kʰuᴀ2	
廖	nᵈiᴀɔ4	
廚	tsʰu2	
廝	sɿᵊ1	
廟	mᵇiᴀɔ4	
廢	fɘi4	
廨	sɐɛ4	
廬	lu2	
延	ʑɛ̃2	
建	tɕiɛ̃4	
弊	pi4	
弋	ʑi4	
式	sɿᵊ2	~子;各~各样
式	sɿᵊ4	
弔	tiᴀɔ4	
弗	fu2	
弟	ti4	
弦	ɕiɛ̃2	
弱	zɔ2	
弼	pʰi2	
彆	piɛ2	
彈	tɐ̃4	
彈	tʰɐ̃2	
彌	mᵇi2	
彌	mᵇɘi2	~补
彗	xuɘi4	
彙	xuɘi4	
彝	ʑi2	
彥	ʑɛ̃4	
彧	ʑu2	
彩	tsʰɐɛ3	
彪	piᴀɔ1	
役	ʑi2	徭~
役	ʑu2	
彼	pʰi3	
彿	fu2	
徂	tsʰu2	
待	tɐɛ4	
徊	xuɘi2	
律	nᵈi2	
後	xiɘu4	
徐	ɕi2	
徒	tʰu2	
得	tɛ2	
得	tiɛ2	没~
徘	pʰɐɛ2	
徙	ɕi3	
復	fu2	
微	mᵇi1	小~~点
微	wɘi2	
德	tɛ2	
徹	tsʰɛ2	
徹	tɕʰiɛ2	曼~斯特
徽	xuɘi1	
必	pi2	
忌	tɕi4	
忑	tʰɛ2	
忒	tʰiɛ2	
志	tsɿᵊ4	
忤	vu3	
快	kʰuɐɛ4	
念	nᵈiɛ̃4	
忽	fu2	
怒	lu4	
怕	pʰᴀ4	
怖	pu4	
思	sɿᵊ1	
怠	tɐɛ4	
怡	ʑi2	
怨	ʑɛ̃4	
怪	kuɐɛ4	
怭	pi2	
怯	tɕʰiɛ2	
怵	tsʰu2	
怵	tsʰu4	~心，即恶心想吐
恃	sɿᵊ4	
恔	tɕiᴀɔ2	
恕	su4	
恣	tsɿᵊ4	
恤	ɕi2	
恥	tsʰɿᵊ3	
恪	kʰɔ2	
恬	tʰiɛ̃2	
息	ɕi2	
恰	tɕʰiᴀ2	
悄	tɕʰiɔ1	~~眯眯;喑~~;~起，指不吭声
悄	tɕʰiᴀɔ1	
悅	ʑɛ2	
悉	ɕi2	
悌	ti4	
悔	xuɘi3	
悖	pʰu2	
悟	vu3	孙~空
悟	vu4	
悠	ʑɘu1	
悲	pɘi1	
悴	tsʰuɘi4	
悼	tiᴀɔ4	
惑	xuɛ2	
惑	xuɐɛ2	疑~
惕	tʰi2	
惙	tsuɛ2	
惜	ɕi2	
惟	wɘi2	
惠	xuɘi4	
惡	vu4	厌~;可~
惡	ŋᶢɔ2	
惡	ɣɔ2	~心
惰	tɔ4	
惱	lᴀɔ3	
惹	zɛ3	
惻	tsʰɛ2	
惼	piɛ̃3	
愁	tsʰɘu2	
愈	ʑi2	
愉	ʑi2	
意	ʑi4	
愚	ʑi2	
愛	ŋᶢɐɛ4	
感	kɐ̃3	
愧	kʰuɘi4	
愫	su4	
愷	kʰɐɛ3	
慈	tsʰɿᵊ2	
態	tʰɐɛ4	
慕	mᵇu4	
慘	tsʰɐ̃3	
慚	tsʰɐ̃2	
慢	mᵇɐ̃4	
慧	xuɘi4	
慨	kʰɐɛ4	
慪	ŋᶢiɘu4	
慮	luɘi4	
慰	ʑi4	劳~
慰	wɘi4	
慾	ʑu2	
憂	ʑɘu1	
憊	pi4	
憋	piɛ1	
憐	nᵈiɛ̃2	
憨	xɐ̃1	
憲	ɕiɛ̃3	~法
憲	ɕiɛ̃4	
憶	ʑi4	
憷	tsʰu3	
憾	xɐ̃4	
懈	sɐɛ4	
懊	ŋᶢᴀɔ4	
懋	mᵇɘu4	
懟	tuɘi4	
懶	lɐ̃3	
懷	xuɐɛ2	
懷	wɐɛ2	很大
懸	ɕiɛ̃2	
懺	tsʰɐ̃4	
懼	tɕi4	
懿	ʑi2	
戀	nᵈiɛ̃4	
戈	kɔ1	
戊	vu4	
戌	ɕi̹u2	
戍	su2	
戍	ɕi̹u2	~守
我	ŋᶢɔ3	
戒	kɐɛ4	
或	xuɛ2	
或	xuɐɛ2	~者
戚	tɕʰi2	
戛	kᴀ2	
戟	tɕi2	
截	tɕiɛ2	
截	tɕʰiɛ2	拦~;~断
戮	lu3	
戰	tsɐ̃4	
戲	ɕi4	
戳	tɔ2	白读
戳	tsʰɔ2	文读
戴	tɐɛ4	
戶	fu4	
戾	tʰi4	
戽	fu3	
戾	nᵈi4	
扁	piɛ̃3	
扇	sɐ̃1	
扇	sɐ̃4	
扉	fɘi1	
手	sɘu3	
才	tʰɐɛ2	白读
才	tsʰɐɛ2	文读
扎	tsᴀ2	
扒	pᴀ1	
扒	pᴀ2	~皮
扒	pʰᴀ1	一~拉，指一连串
打	tᴀ2	量词，一打即十二个
打	tᴀ3	白读
托	tʰɔ2	
扚	ti2	文读
扚	tiᴀ1	白读，指勾或提
扠	tsʰᴀ1	
扣	kʰiɘu1	皮帶~~
扣	kʰiɘu4	
扭	nᵈiɘu3	文读
扭	nᵈiɘu4	白读
扮	pɐ̃4	
扯	tsʰɛ3	
扳	pɐ̃1	
扶	fu2	
批	pʰɘi1	
扼	kʰɛ2	
找	tsᴀɔ3	
技	tɕi4	
抄	tsʰᴀɔ1	
抈	ʑɛ1	
把	pᴀ3	
把	pᴀ4	即“欛”，刀~;即“𢺞”，~单;即“耙”，木~
抑	ʑi2	
抓	tsuᴀ1	
抓	tsᴀɔ1	狗刨~
抓	tsᴀɔ3	~袖子，即挽起袖子
抔	pʰɘi3	
投	ɕiɔ3	白读，投篮时的语气词
投	tʰɘu2	
抖	tʰɘu3	
折	tsɛ2	
折	sɛ2	
披	pʰɘi1	
抬	tʰɐɛ1	~乒乓球
抬	tʰɐɛ2	
抱	pᴀɔ4	
抲	kʰᴀ1	
抳	nᵈi1	研磨
抵	ti3	
抹	mᵇᴀ2	
抹	mᵇɔ3	
押	ʑᴀ2	
抽	tsʰɘu1	
拆	tsʰɛ2	
拇	mᵇu3	
拈	nᵈiɛ̃1	夹菜
拉	lᴀ1	
拉	lᴀ2	鼻涕~脓，指鼻涕喷出鼻孔
拋	pʰᴀɔ1	
拌	pɐ̃4	
拍	pʰɛ2	
拐	kuᴀ3	左~~，指左撇子;~走
拐	kuɐɛ3	
拒	tɕi4	
拔	pᴀ2	
拖	tʰɔ1	
拗	ŋᶢᴀɔ3	~口
拗	ŋᶢᴀɔ4	撬
拘	tɕi1	
拙	tsʰɔ2	~笨
拙	tsuɛ2	
拙	tsuɐɛ2	笨~
拚	pɐ̃3	~命，指挣扎
招	tsᴀɔ1	
拜	pɐɛ1	~~，再见
拜	pɐɛ4	
括	kuᴀ2	
拭	sɿᵊ2	
拮	tɕi2	
拳	tɕʰiɛ̃2	
拷	kʰᴀɔ3	
拸	tɔ4	
拽	tsuɐɛ4	
拾	sɿᵊ2	
拿	lᴀ2	
持	tsʰɿᵊ2	
指	tsɿᵊ2	~头;~甲
指	tsɿᵊ3	
按	ŋᶢɐ̃4	
挍	kᴀɔ4	即“校”
挑	tiᴀɔ1	~剔;~拨;~意，即故意;嘴巴~，指挑食
挑	tʰiᴀɔ1	
挓	tsᴀ1	
挖	wᴀ1	
撏	tɕʰiɛ̃2	
挨	ŋᶢɐɛ1	~着
挨	ŋᶢɐɛ2	~打
挪	lɔ1	~动
挪	lɔ2	
挫	tsʰɔ3	~折
挫	tsʰɔ4	
挲	sᴀ1	摩挲，即纳西族
挼	zuᴀ2	搓揉
挾	tɕiᴀ2	~持
挾	ɕiᴀ2	
捂	vu3	
捉	tsɔ2	
捌	pᴀ2	
捎	sᴀɔ1	
捏	nᵈiɛ2	
捐	tɕiɛ̃1	
捕	pu4	文读
捕	pʰu3	白读
捛	luɘi3	
捨	sᴀ4	~丢
捨	sɛ3	
捱	ŋᶢɐɛ2	~时间
捲	tɕiɛ̃1	白读
捲	tɕiɛ̃3	文读
捶	tɕʰi2	锤锤~，划拳游戏用语
捶	tsʰuɘi2	
捷	tɕʰiɛ2	
捸	tɐɛ3	即“逮”
捺	lᴀ2	
捽	tsu2	~拐杖，指抓住;捅
捽	tɕʰi̹u2	用力擦拭
掀	ɕiɛ̃1	
掃	sᴀɔ3	
掃	sᴀɔ4	
掇	sɔ1	撺~，指唆使
掇	tsuɛ2	
授	sɘu4	
掉	tiᴀɔ4	
掊	pɘu3	
掏	tʰᴀɔ1	
掏	tʰᴀɔ3	~手
掐	kʰᴀ2	白读
掐	tɕʰiᴀ2	文读
排	pʰɐɛ2	
掖	ʑi2	
掘	tɕʰi̹u2	
掛	kuᴀ4	
掛	kʰuᴀ3	~裤子
掜	nᵈi2	
掠	nᵈiɔ2	
採	tsʰɐɛ3	
探	tʰɐ̃1	
探	tʰɐ̃4	~花
掣	tsʰɿᵊ4	
接	tɕiɛ2	
推	tʰuɘi1	
掩	ʑɛ̃1	~盖
掩	ʑɛ̃3	
措	tsʰɔ4	
掫	tsʰɘu1	扶
掰	pɐ̃1	
揀	kɐ̃3	白读
揀	tɕiɛ̃3	文读
揉	zɘu2	
揍	tsɘu4	
揎	ɕiɛ̃1	
描	mᵇᴀɔ2	~字帖
描	mᵇiᴀɔ2	
提	tʰi2	
插	tsʰᴀ1	~嘴
插	tsʰᴀ2	
插	tsʰᴀ4	~队
揖	ʑi2	
揙	piɛ̃3	殴打;蹭
握	ɣɔ2	
揢	kʰᴀ1	~拿，指刁难
揣	tsʰuɐɛ1	~荷包;特指小偷小摸
揣	tsʰuɐɛ3	
揩	kʰᴀ1	~油，占便宜
揩	kʰɐɛ1	
揪	nᵈiɘu1	白读
揪	tɕiɘu1	文读
揭	tɕiɛ2	
揮	xuɘi1	
援	ʑɛ̃2	
搉	kʰɔ2	
搊	tsʰɘu1	推
搋	tsʰɐɛ1	
搐	tsʰu2	
搓	tsʰɔ1	
搔	sᴀɔ1	
搖	ʑᴀɔ2	
搙	lɔ1	睡~~
搛	nᵈiɛ̃1	
搜	sɘu1	
搞	kᴀɔ3	
搠	tɔ2	即“戳”
搣	mᵇiɛ3	
搤	ŋᶢɛ2	
搧	sɐ̃1	
搬	pɐ̃1	
搭	tᴀ2	
搲	wᴀ3	
搳	xᴀ2	用手挠敏感部位导致瘙痒并大笑
搳	xuᴀ2	~拳
搹	ŋᶢɛ2	
摌	tsʰɐ̃3	
摔	suɐɛ1	
摘	tsɛ2	
摛	tsʰɿᵊ1	
摞	lɔ1	一窝~，指一大堆
摞	lɔ4	
摟	lɘu1	向上兜住;过滤
摟	lɘu3	
摩	mᵇɔ1	
摯	tsɿᵊ2	
摯	tsɿᵊ4	
摳	kʰiɘu1	
摳	ŋᶢiɘu1	~心挖肚
摷	tsʰᴀɔ4	掀翻
摸	mᵇɔ1	
摹	mᵇɔ1	
摺	tsɛ2	
摻	tsʰɐ̃1	
撆	pʰiɛ2	
撇	pʰiɛ2	
撈	lᴀɔ1	白读
撈	lᴀɔ2	
撒	sᴀ2	~尿
撒	sᴀ3	
撓	zᴀɔ2	
撕	tsɿᵊ1	白读
撕	sɿᵊ1	文读
撚	nᵈiɛ̃3	
撟	tɕiᴀɔ1	
撣	tɐ̃3	
撣	sɐ̃4	~邦
撤	tsʰɛ2	
撥	pɔ2	
撥	pɔ4	~款
撩	nᵈiᴀɔ2	
撩	nᵈiᴀɔ4	花眉~眼;花屄~嘴
撫	fu3	
播	pɔ4	
撮	tsʰɔ2	
撮	tsuɐɛ3	一小~
撲	pʰu2	
撼	xɐ̃4	
撾	tsuᴀ2	外~，即外加、连带
撾	ɣɔ1	老~
擂	luɘi2	
擄	lu3	
擅	sɐ̃4	
擇	tsʰɛ2	
擊	tɕi2	
操	tsʰᴀɔ1	
操	tsʰᴀɔ4	~蛋
擔	tɐ̃1	
擔	tɐ̃4	
擗	pʰi2	
擘	pʰiᴀ3	白读
擘	pʰiɛ3	文读
據	tɕi4	
擠	tɕi1	衣物尺码过小;强行穿尺码过小的衣物
擠	tɕi3	
擦	tsʰᴀ2	
擩	zu1	
擬	nᵈi3	
擱	kɔ2	
擱	kʰɔ1	放下
擱	kʰɔ4	长时间放置
擱	kɛ3	表示“在”
擲	tsɿᵊ2	
擴	kʰuɛ2	
擸	lᴀ2	~𢶍，不修边幅的样子
擺	pɐɛ3	
擾	zᴀɔ3	
攀	pʰɐ̃1	
攆	nᵈiɛ̃3	
攔	lɐ̃2	文读
攝	sɛ2	
攡	tsʰɿᵊ1	
攤	tʰɐ̃1	
攪	tɕiɔ2	王大妈裹~又臭又长，形容说话或行文啰嗦，通“裹脚”
攪	kᴀɔ2	~捞捞，表示吃相邋遢或迫切得到的样子
攪	tɕiᴀɔ2	~屎棒
攪	tɕiᴀɔ3	文读
攫	tɕiɔ2	
攬	lɐ̃3	
支	tsɿᵊ1	
收	sɘu1	
攸	ʑɘu1	
改	kɐɛ3	
故	ku4	
效	ɕiᴀɔ4	
救	tɕiɘu4	
敖	ŋᶢᴀɔ2	
敗	pɐɛ4	
敘	ɕi4	
敎	tɕiᴀɔ1	~书
敎	tɕiᴀɔ4	
敝	pʰiᴀ3	旧~~;黄~~
敝	pʰiɛ4	差劲
敝	pɘi4	
敢	kɐ̃3	
散	sɐ̃3	
散	sɐ̃4	
敥	ʑɛ̃4	撒
㪗	tʰɘu3	
敬	kiɘu4	姓氏
敲	kʰᴀɔ1	
敵	ti2	
敷	fu1	
數	su3	
數	su4	
敹	nᵈiᴀɔ1	~自，即故意;縫
斂	nᵈiɛ̃4	
斃	pi4	
斐	fɘi1	姓氏
斐	fɘi3	
斑	pɐ̃1	
斗	tɘu3	
料	nᵈiᴀɔ4	
斛	fu2	
斜	ɕiᴀ2	~斗门
斜	ɕiɛ2	
斡	ɣɔ2	
斢	tʰiᴀɔ3	
斥	tsʰɿᵊ2	
斧	fu3	
斬	tsɐ̃3	
斯	sɿᵊ1	
斷	tuɐ̃3	白读，表示拦截
斷	tuɐ̃4	文读
於	ʑi2	
施	sɿᵊ1	
旅	nᵈi3	
旋	ɕiɛ̃2	
旋	ɕiɛ̃4	~风;~做，表示现成
旎	nᵈi3	
族	tɕʰi̹u2	
旖	ʑi1	
旗	tɕʰi2	
无	vu2	
既	tɕi4	
日	zɿᵊ2	
日	nᵈiᴀ2	~白
日	ɛ4	昨~;今~;明~;后~
旦	tɐ̃4	
旨	tsɿᵊ3	
早	tsᴀɔ3	
旭	ɕi̹u2	
旮	kʰᴀ1	~~角角
旯	lᴀ1	
旱	xɐ̃4	
易	ʑi2	姓氏;表示交换或改变
易	ʑi4	表示简单
昔	ɕi2	
星	ɕiɛ̃1	~宿
昧	mᵇi4	
昨	tsɔ2	
昨	tsʰɔ2	~天
昭	tsᴀɔ1	
是	sɿᵊ4	
昱	ʑi2	
晁	zᴀɔ2	
時	sɿᵊ2	
晏	ŋᶢɐ̃4	迟
晏	ʑɛ̃4	姓氏
晝	tsɘu4	
晦	xuɘi3	
普	pʰu3	
晰	ɕi2	
晷	kuɘi1	
智	tsɿᵊ4	
暇	ɕiᴀ2	
暑	su3	
暗	ŋᶢɐ̃4	
暨	tɕi4	
暫	tsɐ̃3	白读
暫	tsɐ̃4	文读
暮	mᵇu4	
暱	nᵈi2	
暴	pᴀɔ4	
曄	ʑɛ2	
曆	nᵈi2	
曉	ɕiᴀɔ3	
曙	su3	
曝	pʰu2	
曦	ɕi1	
曬	sɐɛ4	
曰	ʑɛ2	
曲	tɕʰi̹u2	
曳	ʑi4	
書	su1	
曹	tsʰᴀɔ2	
曼	mᵇɐ̃4	
替	tʰi4	
最	tsuɘi4	
會	kʰuɐɛ4	~计
會	xuɘi4	
朆	mᵇɛ3	即“没得”
月	zu2	大~氏
月	ʑɛ2	
有	ʑɘu3	
服	fu2	
朒	kᴀ3	
朔	sɔ2	
朝	tsᴀɔ1	
朝	tsʰᴀɔ2	
期	tɕʰi1	
木	mᵇu2	
未	mᵇɘi1	即“没”
未	mᵇɘi3	即“没”
未	wɘi4	
末	mᵇɔ2	
札	tsᴀ2	
朱	tsu1	
朵	tɔ1	耳~
朵	tɔ3	量词
朽	ɕiɘu3	
杆	kɐ̃1	
杉	sᴀ1	
李	nᵈi3	
杞	tɕi2	枸~
杞	tɕʰi3	
束	ɕi̹u2	
杯	pɘi1	
杰	tɕiɛ2	
杳	mᵇiᴀɔ3	
杵	tsʰu3	
杷	pʰᴀ1	
杹	xuᴀ4	
板	pɐ̃3	
枇	pʰi2	
析	ɕi2	
枚	mᵇɘi2	
果	kɔ2	毛辣~，即番茄
果	kɔ3	
枝	tsɿᵊ1	
枯	kʰu1	
架	tɕiᴀ4	
枷	tɕiᴀ1	
枸	tɕi3	~橼酸
枸	kiɘu3	~杞
枼	ʑɛ2	
柏	pɛ2	
某	mᵇu3	文读
柑	kɐ̃1	
柒	tɕʰi2	
染	zɐ̃3	
柔	zɘu2	
柚	ʑɘu4	
柜	tɕi4	~柳
査	tsᴀ1	姓氏
査	tsʰᴀ2	
柩	tɕiɘu4	
柬	tɕiɛ̃3	
柯	kʰɔ1	
柱	tsu4	
柲	pɘi4	
柳	nᵈiɘu3	
柴	tsʰɐɛ2	
柸	pʰɘi1	
柿	sɿᵊ4	
栗	nᵈi1	毛~
栗	nᵈi2	
校	kᴀɔ4	尝试
校	ɕiᴀɔ4	
栩	ɕi3	
株	tsu1	
核	fu2	~~，指果核
核	xɛ2	
格	kɛ2	
栽	tsɐɛ1	文读
栽	tsuɐɛ1	白读
桂	kuɘi4	
桃	tʰᴀɔ1	核~;樱~;杨~
桃	tʰᴀɔ2	
桅	wɘi2	
案	ŋᶢɐ̃4	
桊	tɕiɛ̃4	
桌	tsɔ2	
桔	tɕi2	
桔	tɕi̹u2	~子
桫	sᴀ1	
桮	pɘi1	
桼	tɕʰi2	
桿	kɐ̃3	
梅	mᵇi1	杨~
梅	mᵇɘi2	
梓	tsɿᵊ3	
條	tʰiᴀɔ1	舌~
條	tʰiᴀɔ2	
梠	luɘi3	
梢	sᴀɔ1	
梧	vu2	
梨	nᵈi2	
梭	sɔ1	
梯	tʰi1	
械	kɐɛ4	
梳	su1	
梵	fɐ̃2	
梵	fɐ̃4	~净山
棄	tɕʰi4	
棉	mᵇiɛ̃2	
棋	tɕʰi2	
棗	tsᴀɔ3	
棘	tɕi2	
棧	tsɐ̃4	
棲	tɕʰi1	
棵	kʰɔ1	
棵	kʰɔ3	草~
椁	kɔ2	
椂	lu2	
椅	ʑi1	桌~板凳
椅	ʑi3	
植	tsɿᵊ2	
椎	tsuɘi1	
椎	tsʰuɘi2	
椏	ʑᴀ1	
椒	tɕiᴀɔ1	
椰	ʑɛ1	
楂	tsᴀ4	
楉	zɔ2	
楔	tɕʰi4	
楔	ɕiɛ2	
楙	mᵇɘu4	
楚	tsʰu3	
楠	lɐ̃2	
楦	xɐ̃4	塞进空腔使之膨大
楦	ɕiɛ̃4	
業	nᵈiᴀ2	~障儿，指脑瘫儿
業	nᵈiɛ2	
極	tɕi2	
楷	kʰɐɛ3	
概	kʰɐɛ4	
楡	ʑi2	
榨	tsᴀ4	
榭	ɕiɛ4	
榴	nᵈiɘu2	
榷	kʰɔ2	
榻	tʰᴀ2	
構	kiɘu4	
槌	tsʰuɘi2	
槐	xuɐɛ2	
槨	kɔ2	
槭	tɕi̹u2	
槽	tsʰᴀɔ2	
樂	lɔ2	
樂	ʑɔ2	
樓	lɘu2	
標	piᴀɔ1	
樞	su1	
模	mᵇu2	白读
模	mᵇɔ1	~特
模	mᵇɔ2	文读
樵	tɕʰiᴀɔ2	
樸	pʰu2	
樹	su4	
樺	xuᴀ2	
橄	kɐ̃3	
橋	tɕʰiᴀɔ2	
橘	tɕi̹u2	
機	tɕi1	
檀	tʰɐ̃2	
檄	ɕi2	
檜	kʰuɐɛ4	
檢	tɕiɛ̃3	
櫃	kuɘi4	
櫓	lu3	
櫚	lu2	
櫨	lu2	
欄	lɐ̃2	
權	tɕʰiɛ̃2	
欛	pᴀ4	
欠	tɕʰiɛ̃4	
次	tsʰɿᵊ4	
欸	ɛ1	语气词惊呼，表示感到不可思议
欸	ŋᶢɐɛ3	文读
欺	tɕʰi1	
歇	ɕiɛ2	
歉	tɕʰiɛ̃4	
歌	kɔ1	
歎	tʰɐ̃4	
歐	ŋᶢiɘu1	
歡	xuɐɛ1	~喜，指高兴
止	tsɿᵊ3	
此	tsʰɿᵊ3	
步	pu4	
武	vu3	
歧	tɕʰi2	
歪	wɐɛ1	
歪	wɐɛ3	~货
歮	sɛ2	
歰	sɛ2	
歲	suɘi4	
歷	nᵈi2	
歸	kuɘi1	
歸	kuɘi4	~~也，即杜鹃鸟
歹	tɐɛ3	
歺	ŋᶢɔ2	及“歹”
歺	tsʰɐ̃1	及“餐”
死	sɿᵊ3	
殂	tsʰu2	
殆	tɐɛ4	
殊	su1	
殍	pʰiᴀɔ3	
殖	tsɿᵊ2	
殘	tsʰɐ̃2	
殮	nᵈiɛ̃4	
殲	tɕʰiɛ̃1	
段	tuɐ̃4	
殺	sᴀ2	
殼	kʰɔ2	
殿	tiɛ̃4	
毀	xuɘi3	
毃	kʰɔ1	白读
毃	kʰɔ2	文读
毅	ʑi4	
毆	ŋᶢiɘu1	
毆	ŋᶢiɘu3	~打
毋	vu2	
母	mᵇu3	
每	mᵇɘi3	
毐	ŋᶢɐɛ3	
毒	tu2	
毓	ʑu2	
毓	ʑɘu2	~秀路
比	pi3	
比	pʰɘi3	~个较;~一下
毗	pi2	~那，即织金
毗	pʰi2	
毗	pʰi3	
毘	pʰi2	
毛	mᵇᴀɔ1	眉~
毛	mᵇᴀɔ2	
毫	xᴀɔ1	~子，指散钱、散票或硬币
毫	xᴀɔ2	
