#漢字	音標	解釋#('wuu_th_yj_ds', '岱山話', '岱山', '#0000FF', None, None, '版本：2021-12-25<br>來源：<a href=https://github.com/ionkaon/dictionary>甬江話字詞表</a><br>說明：岱山城區字表整理自岱山縣誌編纂委員會：《岱山縣誌·方言》，浙江人民出版社，2006', '53 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,433 3 2 上 ꜂,,44 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,12 8 4b 陽入 ꜇')
拘	tɕy1	
拙	tsœəʔ7	
招	tɕiɔ1	
拜	pa5	
括	kuaʔ7	包〜
拱	koŋ3	～手
拳	dʑye2	
拴	sø1	
拼	pʰiŋ1	
拽	ɦiəʔ8	
拿	na2	文
拿	nuo2	
指	tsɿ3	
挈	tɕʰiəʔ7	
按	ai5	
挑	tʰiɔ1	
挑	tʰiɔ3	
挖	uaʔ7	
挨	a1	〜近
挪	na6	
振	tsoŋ5	
挺	tʰiŋ3	
挽	uɛ3	
挾	tɕiəʔ7	〜菜
捅	tʰoŋ3	〜破
捆	kʰuəŋ3	
捉	tsoʔ7	
捎	sɔ1	
捏	dʑiəʔ8	
捐	tɕye1	
捕	bu6	
捧	pʰəŋ3	
捧	pʰoŋ3	
捲	tɕye3	
捺	naʔ8	
捻	ȵi2	
捼	nau2	
掀	ɕi1	
掂	ti1	
掃	sɔ3	〜地
掃	sɔ5	〜帚
掇	taʔ7	
掉	diɔ6	
掌	tsɔ̃3	
掏	dɔ2	
掏	tɕyəʔ7	
掐	kʰaʔ7	
掐	tɕʰiəʔ7	文
排	ba2	
掗	oo5	〜把侬
掘	dʑyəʔ8	
掛	kuo5	
掠	liəʔ8	
探	tʰai5	
接	tɕiəʔ7	
推	tʰai1	
掩	i3	
措	tɕʰy5	
掽	bã2	碰着
揀	kɛ3	
揉	dʑiʏ2	
描	miɔ2	
提	di2	
插	tsʰaʔ7	
揖	iəʔ7	作〜
揚	ɦiã2	
換	ɦuø6	
揞	ai3	
握	oʔ7	
揢	kʰo5	
揣	tsʰai3	
揩	kʰa1	
揭	tɕiəʔ7	
揮	huai1	
援	ɦye2	
搃	da6	一〜路
損	səŋ1	
損	səŋ3	
搓	tsʰau1	
搖	ɦiɔ2	
搖	dʑiŋ2	
搗	tɔ3	
搛	tɕi1	
搜	sœø1	
搞	kɔ3	
搡	sɔ̃1	
搣	miəʔ8	
搨	tʰaʔ7	
搬	pø1	
搬	puø1	
搭	taʔ7	
搵	uəŋ5	〜酱油
搶	tɕʰiã1	
搽	dza2	文
搽	dzo2	
摘	tsaʔ7	
摜	ɡuɛ6	
摞	lau6	
摟	lœø2	
摩	mau2	
摳	kʰœø1	
摸	moʔ8	
摹	mau2	
摺	tɕiəʔ7	
撇	pʰiəʔ7	
撈	ʔlɔ1	
撐	tsʰã1	
撒	saʔ7	
撓	nɔ2	
撓	ȵiɔ2	
撕	sɿ1	
撙	tsəŋ1	
撞	dzɔ̃6	
撣	tɛ3	〜尘
撤	tsʰœəʔ7	
撥	paʔ7	
撫	ɦu2	
撮	tsʰaʔ7	
撰	dzø2	
撳	tɕʰiŋ5	
撼	hai3	
擁	yoŋ3	
擁	yoŋ5	施肥
擇	dzaʔ8	
擊	tɕiəʔ7	
操	tsʰɔ1	
擎	dʑiŋ2	
擔	tɛ1	动
擔	tɛ5	名
擖	kuaʔ7	用力～
擘	pʰaʔ7	〜开
據	tɕy5	
擠	tɕi5	
擡	de2	
擤	ɕiŋ1	
擦	tsʰaʔ7	
擬	ȵi2	
擱	koʔ7	
擴	kʰoʔ7	
擺	pa3	
攀	pʰɛ1	
攆	ȵi2	
攏	loŋ2	
攔	lɛ2	
攘	dʑiã2	
攙	tsʰɛ1	
攜	ɦi2	
攝	ɕiəʔ7	
攢	tsø1	
攤	tʰɛ1	
攪	kɔ3	
攪	tɕiɔ3	文
攬	lɛ2	
支	tsɿ1	
支	tsɿ3	
收	ɕiʏ1	
改	ke3	
攻	koŋ1	
放	fɔ̃5	
政	tɕiŋ5	
故	ku5	
效	ɦiɔ6	
敏	miŋ2	
救	tɕiʏ5	
敔	tɕʰia5	
敗	ba6	
敗	bɛ6	
敘	zʮ2	
教	kɔ1	
教	tɕiɔ1	
教	tɕiɔ5	〜育
敝	bi6	
敢	ki3	
散	sɛ3	
散	sɛ5	
敦	təŋ1	
敬	tɕiŋ5	
敲	kʰɔ1	
敲	tɕʰiɔ1	文
整	tɕiŋ3	
敵	diəʔ8	
敷	fu1	
數	sʮ3	文
數	su5	名
數	ɕy3	
文	vəŋ2	
斑	pɛ1	
斗	tœø3	
料	liɔ6	
斛	ɦoʔ8	
斜	ɦia2	
斟	tɕiŋ1	
斤	tɕiŋ1	
斧	fu3	
斫	tsoʔ7	〜柴
斬	tsɛ1	
斯	sɿ1	
新	ɕiŋ1	
斷	tø5	
斷	dø2	〜绝
斷	dø6	决〜
方	fɔ̃1	
於	y1	
施	sɿ1	
旁	bɔ̃2	
旅	li2	
旋	zø2	
族	dzœəʔ8	
旗	dʑi2	
既	tɕi5	
日	zœəʔ8	文
日	dʑiəʔ8	
旦	tɛ1	
旦	tɛ5	
旨	tsɿ3	
早	tsɔ3	
旬	soŋ1	
旱	ɦai2	
旺	ɦuɔ̃6	兴〜
昆	kuəŋ1	
昌	tsʰɔ̃1	
明	miŋ2	
昏	huəŋ1	
易	ɦi6	难〜
易	ɦiəʔ8	
昔	ɕiəʔ7	
星	ɕiŋ1	
映	iã5	
映	iŋ5	文
春	tsʰoŋ1	
昧	mai6	
昭	tɕiɔ1	
是	zɿ2	
時	zɿ2	
晃	huɔ̃1	
晃	ɦuɔ̃2	文
晉	tɕiŋ5	
晏	ɛ5	晚也
晏	i5	
晚	mɛ2	
晚	vɛ2	文
晝	tɕiʏ5	
晦	huai5	
晨	zoŋ2	
普	pʰu3	
景	tɕiŋ3	
晴	ɦiŋ2	
晶	tɕiŋ1	
智	tsʮ5	
暇	ia5	文
暇	yo5	
暈	ɦyoŋ6	
暑	sʮ3	
暗	ai5	
暢	tsʰɔ̃5	
暫	dzɛ6	
暮	mau6	
暴	pɔ5	打〜
暴	bɔ6	
曉	ɕiɔ3	
曝	bɔ6	
曠	kʰuɔ̃5	
曩	nɔ̃2	
曬	sa5	
曰	ɦyəʔ8	
曲	tɕʰyəʔ7	
更	kã1	
更	kəŋ1	文
更	kəŋ5	～加
書	sʮ1	
曹	dzɔ2	
曾	tsəŋ1	
曾	dzəŋ2	〜经
替	tʰi5	
最	tsai5	
會	kuai5	〜计
會	ɦuai6	开〜
月	ȵyəʔ8	
有	ɦiʏ2	
朋	bã2	
朋	boŋ2	
服	voʔ8	
朔	soʔ7	
朗	lɔ̃2	
望	mɔ̃6	
望	vɔ̃6	文
朝	tɕiɔ1	今〜
朝	dʑiɔ2	〜代
期	dʑi2	
木	moʔ8	
未	mi6	
未	vi6	文
末	maʔ8	
本	pəŋ3	
札	tsaʔ7	
朱	tsʮ1	
朵	tuo1	
朽	ɕiʏ3	
朽	ɕiʏ5	
杆	ki3	
杈	tsʰa1	文
杈	tsʰo1	
杉	sɛ1	
杌	y3	〜子
李	li2	
杏	ɦã2	
材	dze2	
村	tsʰəŋ1	
杜	du2	
杞	tɕʰi3	
束	soʔ7	
杭	ɦɔ̃2	
杯	pai1	
東	toŋ1	
杳	iɔ3	
杵	tsʰʮ3	
杷	pa5	
杷	ba2	文
杷	buo2	
松	soŋ1	
板	pɛ3	
枇	bi2	
枉	ɦuɔ̃2	
析	ɕiəʔ7	
枕	tɕiŋ3	
枕	tɕiŋ5	
林	liŋ2	
枚	mai2	
枚	ɕi1	
枝	tsɿ1	
枝	tsɿ3	
枯	kʰu1	
枵	ɕiɔ1	
架	ko5	
架	tɕia5	文
柄	piŋ5	
柏	paʔ7	
某	mau2	
柑	ki1	
染	zø2	传〜
柔	dʑiʏ2	
查	dza2	文
柩	dʑiʏ6	
柬	tɕi3	
柱	dzʮ2	
柳	liʏ2	
柵	sɛ5	
柵	saʔ7	栏〜
柵	ɦuaʔ8	
查	dzo2	
柿	zɿ2	
校	tɕiɔ5	〜对
校	ɦiɔ6	学〜
株	tsʮ1	
核	ɦaʔ8	审〜
核	ɦuaʔ8	
根	kəŋ1	
格	kaʔ7	
栽	tse1	
桂	kuai5	
桃	dɔ2	
桄	kuã5	一～线
案	ai5	
桌	tsoʔ7	
桌	tɕyəʔ7	
桐	doŋ2	
桑	sɔ̃1	
桓	ɦuø2	
桕	dʑiʏ2	〜子
桶	doŋ2	
梅	mai2	
梓	tsɿ3	
梔	tsɿ1	
梔	tsɿ3	
梗	kã1	
條	diɔ2	
梢	sɔ1	
梧	ɦu2	
梨	li2	
梭	sø3	
梭	sau3	文
梯	tsʰe5	
梯	tʰi1	文
械	ɦie6	
梳	sɿ1	〜頭
梳	ɕy1	
棄	tɕʰi5	
棉	mi2	
棋	dʑi2	
棍	kuəŋ5	
棒	bɔ̃2	
棕	tsoŋ1	
棗	tsɔ3	
棚	bã2	
棟	toŋ5	
棠	dɔ̃2	
棦	tsã3	树〜
棧	dzɛ6	
森	səŋ1	
棲	tɕʰi1	
棵	kʰau1	
棺	kuø1	
椅	i3	
椏	oo1	
椏	ia1	文
椴	dø6	
椽	dzø2	
椿	tsʰoŋ1	
楊	ɦiã2	
楓	fəŋ1	
楓	foŋ1	
楔	tɕʰiəʔ7	
楔	ɕiəʔ7	
楚	tsʰʮ5	文
楚	tsu5	文
楚	tɕʰy5	
楝	tɕi3	
楣	mai2	
楦	ɕye1	鞋〜
業	dʑiəʔ8	
楷	kʰa3	
概	ke5	
榆	ɦy2	
榛	tsəŋ1	
榜	pɔ̃3	
榧	fi3	
榨	tsa5	文
榨	tso5	
榫	soŋ3	〜头
榮	ɦyoŋ2	
榴	liʏ2	
榻	tʰaʔ7	
構	kœø5	
槌	dzʮ2	
槍	tɕʰiã1	
槐	ɦuɛ2	
槓	kɔ̃5	
槨	kʰɔ̃5	藏
槽	dzɔ2	
槽	zɔ2	
樂	ŋoʔ8	
樑	liã2	
樓	lœø2	
標	piɔ1	
樛	i3	
樟	tsɔ̃1	
模	mau2	
樣	ɦiã6	
樵	dʑiɔ2	
樸	pʰoʔ7	
樹	zʮ6	
樺	ɦuo6	〜树
橄	ki3	
橈	ȵiɔ2	
橋	dʑiɔ2	
橘	tɕyəʔ7	
橙	dzã2	〜子
橙	dʑiŋ2	
橛	dʑyəʔ8	
機	tɕi1	
橡	ɦiã2	
橢	tʰau1	
橫	uã3	
橫	ɦuã2	〜直,蛮〜
檀	dɛ2	
檁	liŋ2	
檔	tɔ̃3	
檗	paʔ7	黄〜
檜	kuai5	
檢	tɕi3	
檳	piŋ1	
櫃	ɡuai6	文
櫃	dʑy6	
櫓	lu2	
櫻	iŋ1	文
欄	lɛ2	
權	dʑye2	
欖	lɛ2	
欠	tɕʰi5	
次	tsʰɿ5	
欣	ɕiŋ1	
欲	ɦyəʔ8	
欺	tɕʰi1	
欽	tɕʰiŋ1	
款	kʰuø3	
歇	ɕiəʔ7	
歉	tɕʰi1	
歉	tɕʰi5	
歐	œø1	
歡	huø1	
止	tsɿ3	
正	tɕiŋ1	〜月
正	tɕiŋ5	
此	tsʰɿ3	
步	bu6	
武	ɦu2	
歪	hua1	
歲	sʮ5	
歲	sai5	文
歷	liəʔ8	
歸	kuai1	文
歸	tɕy1	
死	sɿ3	文
死	ɕi3	
殃	iã1	
殆	de2	
殉	soŋ1	
殉	soŋ5	
殊	zʮ2	
殮	li6	
殲	tɕʰi1	
段	dø6	
殷	iŋ1	
殺	saʔ7	
殿	di6	
毀	huai3	
毅	ȵi6	
毆	œø1	
毆	œø3	
母	mœø2	
每	mai2	
毒	doʔ8	
比	pi3	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰɛ3	
氏	zɿ2	
民	miŋ2	
氣	tɕʰi5	
水	sʮ3	
水	sai3	文
永	yoŋ3	
氽	tʰəŋ3	〜去
汀	tʰiŋ1	
汁	tɕiəʔ7	
求	dʑiʏ2	
汆	tsʰø1	〜一〜
汏	da6	
汗	ɦai6	
汝	zʮ2	
汞	koŋ5	
江	kɔ̃1	
江	tɕiã1	文
池	dzʮ2	
池	dʑi2	
污	u1	
汪	uɔ̃1	
汰	tʰa5	〜潢头
汴	bi6	
決	tɕyəʔ7	
汽	tɕʰi5	
沂	ȵi2	
沃	oʔ7	
沈	ɕiŋ3	
沉	dʑiŋ2	
沌	dəŋ2	
沒	maʔ8	
沓	daʔ8	
沙	sa1	文
沙	so1	
沛	pʰai5	
沫	maʔ8	
河	ɦau2	
油	ɦiʏ2	
沼	tɕiɔ5	〜气
沾	tɕi5	
況	huɔ̃5	
泄	ɕiəʔ7	
泅	dʑiʏ2	〜水
泉	dzø2	
泊	pʰoʔ7	
泊	boʔ8	
泔	ki1	〜水
法	faʔ7	方〜
泛	fɛ5	
泡	pʰɔ1	
泡	pʰɔ5	〜在水里
波	pau1	
泣	tɕʰiəʔ7	
泥	ȵi2	
注	tsʮ5	
泮	pʰø1	
泮	pʰuø1	
泰	tʰa5	
泰	tʰe5	文
泳	yoŋ3	游〜
泳	ɦyoŋ6	
洇	iŋ1	
洋	ɦiã2	
洗	ɕi3	
洛	loʔ8	
洞	doŋ6	
津	tɕiŋ1	
洪	ɦoŋ2	
洲	tɕiʏ1	
活	ɦuaʔ8	
洽	ɦiəʔ8	
派	pʰa5	
流	liʏ2	
浙	tsœəʔ7	
浜	pã1	
浦	pʰu3	
浩	ɦɔ2	
浪	lɔ̃6	
浮	vœø2	文
浮	vu2	
浴	ɦyəʔ8	
海	he3	
浸	tɕiŋ5	
消	ɕiɔ1	
消	ɕiəʔ7	
涌	yoŋ3	
涕	tʰi5	
涮	sœəʔ7	
涯	ɦia2	天〜
液	ɦiəʔ8	
涼	liã2	
淆	ɦiɔ2	
淋	liŋ2	
淑	zœəʔ8	
淘	dɔ2	
淚	lai6	
淚	li6	
淡	dɛ2	
淤	y1	
淨	ɦiŋ6	
淪	ləŋ2	
淫	ɦiŋ2	
淮	ɦua2	文
淮	ɦuɛ2	
深	ɕiŋ1	
混	ɦuəŋ2	
淹	i1	
淺	tɕʰi3	
清	tɕʰiŋ1	
減	kɛ3	
減	ke3	
渠	dʑy2	
渡	du6	
渣	tsa1	文
渣	tso1	
測	tsʰaʔ7	
港	kɔ̃3	
渴	kʰaʔ7	
游	ɦiʏ2	
渺	miɔ2	
渾	ɦuəŋ2	
湊	tsʰœø5	
湖	ɦu2	
湘	ɕiã1	
湯	tʰɔ̃1	
溉	ke5	
源	ȵye2	
準	tsoŋ3	
溚	taʔ7	
溜	ʔliʏ5	
溜	liʏ6	
溪	tɕʰi1	
溫	uəŋ1	
溺	dʑiəʔ8	
溻	tʰaʔ7	
溼	ɕiəʔ7	
滂	bɔ̃2	
滅	miəʔ8	
滎	ɦiŋ2	
滑	ɦuaʔ8	
滓	tsɿ3	
滔	tʰɔ1	
滬	ɦu2	
滯	dzʮ6	
滲	səŋ5	水〜
滴	tiəʔ7	
滷	lu2	
滸	fu3	
滾	kuəŋ3	
滿	mø2	
滿	muø2	
漁	ɦy2	
漂	pʰiɔ1	
漂	pʰiɔ3	
漆	tɕʰiəʔ7	
漏	lœø6	
演	ɦi2	
漚	œø5	久漫水中
漢	hai5	
漫	mø6	
漫	muø6	
漱	sœø5	〜口
漲	tɕiã3	
漸	dʑi2	
漿	tɕiã1	
漿	tɕiã3	
潑	pʰaʔ7	
潔	tɕiəʔ7	
潛	dʑi2	
潢	ɦuã6	汰～头
潤	zoŋ6	
潭	dai2	
潮	dʑiɔ2	
潰	ɡuai6	
澀	saʔ7	
澄	dəŋ6	
澄	tiŋ5	
澄	dʑiŋ2	
澆	tɕiɔ1	
澇	lɔ2	
澗	tɕi5	
澡	tsɔ3	
澤	dzaʔ8	
激	tɕiəʔ7	
濁	dzoʔ8	
濃	ȵyoŋ2	
濟	tɕi5	
濟	tɕie5	文
濤	dɔ2	
濫	lɛ6	
濺	tɕi5	
濾	li6	
瀉	ɕia5	
瀑	bɔ6	
灌	kuø5	
灑	sa5	文
灘	tʰɛ1	
灣	uɛ1	
火	hau3	
灰	huai1	
灸	tɕiʏ3	针〜
災	tse1	
炊	tsʰai1	
炎	ɦi2	文
炒	tsʰɔ3	
炕	kʰɔ̃5	
炙	tɕiəʔ7	
炭	tʰɛ5	
炮	pʰɔ5	
炸	tsa5	文，〜弹
炸	tso5	〜弹
烈	liəʔ8	
烊	ɦiã2	
烏	u1	
烘	hoŋ1	
烙	loʔ8	
烤	kʰɔ5	
烹	pʰã1	
烹	pʰəŋ1	文
焉	ɦi2	心不在〜
焊	ɦai6	
焙	bai6	
焚	vəŋ2	
無	ɦu2	
無	ʔm̩5	
焦	tɕiɔ1	
焰	ɦi6	
然	zø2	
煎	tɕi1	
煎	tɕi3	
煙	i1	
煠	zaʔ8	
煤	mai2	
煥	huø5	
照	tɕiɔ5	
煨	uai1	
煨	y5	
煩	vɛ2	
熄	ɕiəʔ7	
熊	ɦyoŋ2	
熙	ɕi1	
熟	zœəʔ8	
熨	iŋ5	
熬	ŋɔ2	
熱	dʑiəʔ8	
燃	zø2	
燈	təŋ1	
燒	ɕiɔ1	
燕	i1	
燕	i5	〜子
燙	tʰɔ̃5	
營	ɦiŋ2	
燦	tsʰɛ5	
燭	tsoʔ7	
燭	tɕyəʔ7	
爍	sœəʔ7	
爐	lu2	
爛	lɛ6	
爪	tsɔ3	
爬	ba2	文
爬	buo2	
爭	tsã1	
爭	tsəŋ1	文
爲	ɦuai2	作〜
爲	ɦuai6	〜什么
爵	tɕiəʔ7	
父	ɦu2	
爸	pa5	
爹	tie1	
爺	ɦia2	
爺	ɦie2	文
爽	sɔ̃3	
爾	əl2	
爿	bɛ2	
牀	zɔ̃2	
牆	ɦiã2	
片	pʰi5	
版	pɛ3	
牌	ba2	
牘	doʔ8	
牙	ŋo2	
牙	ɦia2	文
牛	ŋœø2	
牛	ȵiʏ2	文
牠	uɔ̃1	
牡	mœø2	
牢	lɔ2	
牧	moʔ8	
物	vaʔ8	
牮	tɕi5	
牯	ku3	
牲	sã1	
牲	səŋ1	文
牸	zɿ6	
特	daʔ8	
牽	tɕʰi1	
犀	ɕi1	
犁	li2	
犍	dʑi2	
犒	kʰɔ1	
犢	doʔ8	
犧	ɕi1	
犬	tɕʰye3	
犯	vɛ2	
狀	zɔ̃6	
狂	ɡuɔ̃2	
狄	diəʔ8	
狐	ɦu2	
狗	kœø3	
狗	ki3	
狠	həŋ3	
狡	tɕiɔ3	
狸	li2	
狹	ɦaʔ8	
狼	lɔ̃2	
猛	mã2	
猜	tsʰe1	
猝	tsʰaʔ7	
猴	ɦœø2	
猶	ɦiʏ2	
猻	səŋ1	
猾	ɦuaʔ8	
獄	ɦyəʔ8	
獅	sɿ1	
獎	tɕiã3	
獨	doʔ8	
獵	laʔ8	
獺	tʰaʔ7	
獻	ɕi5	
玄	ɦye2	
率	saʔ7	〜领
率	liəʔ8	
玉	ȵyəʔ8	
王	ɦuɔ̃2	
玩	ɦuɛ6	
玩	ɦuø6	
玻	pau1	
珊	sɛ1	
珍	tsoŋ1	
班	pɛ1	
現	ɦi6	
球	dʑiʏ2	
理	li2	
琉	liʏ2	
琢	tsoʔ7	
琵	bi2	
琶	ba2	文
琶	buo2	
瑕	ia1	文
瑕	yo1	
瑞	zai6	
瑟	saʔ7	
瑢	zœəʔ8	
瑣	sau1	〜碎
瑩	ɦiŋ2	
璃	li2	
璧	piəʔ7	
環	ɡuɛ2	耳朵〜
環	ɦuɛ2	
璽	ɕi3	
瓊	dʑyoŋ2	
瓚	tsɛ5	
瓜	kuo1	
瓠	ɦu2	
瓢	biɔ2	
瓤	dʑiã2	
瓦	ŋo2	
瓮	oŋ5	
瓶	biŋ2	
瓷	dzɿ2	
甌	œø1	
甑	tɕiŋ1	
甘	ki1	
甚	ɦiŋ2	
甜	di2	
生	sã1	
生	səŋ1	文
產	tsʰɛ3	
甥	sã1	
甥	səŋ1	文
用	ɦyoŋ6	
甫	fu1	
甫	fu3	
甬	yoŋ3	
田	di2	
由	ɦiʏ2	
甲	kaʔ7	
男	nai2	
界	ka5	
界	tɕie5	文
畏	uai5	
留	liʏ2	
畚	pəŋ1	
畜	tsʰoʔ7	〜牲
畜	tɕʰyəʔ7	〜牲
畝	mœø2	
畢	piəʔ7	
略	liəʔ8	
番	fɛ1	
畫	ɦua6	
畫	ɦuo6	
異	ɦi6	
當	tɔ̃1	〜时
當	tɔ̃5	典〜
疆	tɕiã1	
疊	diəʔ8	
疏	ɕy1	
疏	ɕy5	
疑	ȵi2	
疔	tiŋ1	
疝	sɛ5	～气
疤	pa5	文
疤	puo5	
疥	ka5	
疫	ɦyəʔ8	
疲	bi2	
疵	tsʰɿ1	
疹	tsoŋ3	
疼	dəŋ2	
痂	tɕia1	文
病	biŋ6	
症	tɕiŋ5	
痔	dʑi2	
痕	ɦəŋ2	
痛	tʰoŋ5	
痢	li6	
痣	tsɿ5	
痰	dɛ2	
痱	fi5	
痹	bi6	麻〜
瘊	ɦœø2	
瘋	foŋ1	
瘌	laʔ8	
瘍	ɦiã2	
瘟	uəŋ1	
瘡	tsʰɔ̃1	
瘦	sœø5	
瘰	lœø6	
瘴	tsɔ̃5	
癩	la6	
癩	lɛ6	文
癬	ɕi3	
癰	yoŋ1	
癸	kuai3	
登	təŋ1	
發	faʔ7	
白	baʔ8	
百	paʔ7	
皁	zɔ2	
的	tiəʔ7	
皆	tɕie1	
皇	ɦuɔ̃2	
皖	uø1	
皮	bi2	
皴	tsʰoŋ1	〜㿭
皿	miŋ2	
盂	mã6	
盂	y1	
盆	bəŋ2	
盈	ɦiŋ2	
益	iəʔ7	
盒	ɦaʔ8	
盔	kʰuai1	
盛	ɦiŋ2	
盜	dɔ6	
盞	tsɛ3	
盟	məŋ2	文
盡	dʑiŋ2	
監	kɛ1	〜视
盤	bø2	
盤	buø2	
目	moʔ8	
盯	tiŋ5	
盲	mɔ̃2	
相	ɕiã1	
相	ɕiã5	〜貌
盼	pʰɛ5	
盾	dəŋ2	
省	sã3	〜长,节〜
省	ɕiŋ3	反〜
眉	mai2	文
眉	mi2	
看	kʰi3	
看	kʰi5	
真	tsoŋ1	
眠	mi2	
眨	tsaʔ7	〜眼
眨	saʔ7	
眩	ɦye6	
眶	kʰuɔ̃1	
眷	tɕye5	
眼	ŋɛ2	
眾	tsoŋ5	
着	tɕiəʔ7	〜衣
睏	kʰuəŋ5	
睛	tɕiŋ1	
睜	tsəŋ1	
睡	zai2	
督	toʔ7	
瞎	haʔ7	
瞞	mø2	
瞞	muø2	
瞧	tɕiɔ1	
瞧	dʑiɔ2	
瞪	təŋ5	
瞳	doŋ2	
瞿	dʑy2	
矢	sɿ1	
矣	ɦi2	
知	tsʮ1	
矩	tɕy3	规〜
矬	zau2	
短	tø3	
矮	a3	
矯	tɕiɔ3	
石	zaʔ8	
砍	kʰɛ3	
砑	ŋo6	〜平
研	ȵi2	
砧	tɕiŋ1	
破	pʰau5	
破	tsʰaʔ7	
硝	ɕiɔ1	
硫	liʏ2	
硬	ŋã6	
硯	ȵi6	
碎	sai5	
碑	pai1	
碓	tai5	
碗	uø3	
碟	diəʔ8	
碧	piəʔ7	
碰	pʰã5	硬〜硬
碰	pʰoŋ5	
確	kʰoʔ7	
確	tɕʰyəʔ7	文
碼	ma2	文
碼	muo2	
碾	ȵi2	
磁	dzɿ2	
磉	sɔ̃1	
磉	sɔ̃3	
磕	kʰaʔ7	
磚	tsø1	
磨	mau2	
磨	vau6	石〜
磬	tɕʰiŋ5	钟〜
礆	kɛ3	
礎	tɕʰy5	
礓	tɕiã1	
礙	ŋe6	
礦	kʰuɔ̃3	
礬	vɛ2	
示	zɿ6	
祀	zɿ2	
祇	tsɿ3	〜有
祈	dʑi2	
祐	ɦiʏ6	
祕	pi5	
祖	tsu3	
祖	tɕy3	
祝	tsœəʔ7	
神	zoŋ2	
祠	zɿ2	
票	pʰiɔ5	
祭	tɕi5	
祿	loʔ8	
禁	tɕiŋ5	
禍	ɦau2	
福	foʔ7	
禪	zø2	
禮	li2	
禱	tɔ3	
禹	ɦy2	
禾	ɦau2	
禿	tʰaʔ7	
秀	ɕiʏ5	
私	sɿ1	
秉	piŋ3	
秋	tɕʰiʏ1	
科	kʰau1	
秒	miɔ2	
秕	pʰi3	
租	tɕy1	
秤	tɕʰiŋ5	
秦	dʑiŋ2	
秧	iã1	
秩	diəʔ8	
移	ɦi2	
稀	ɕi1	
稅	sai5	
稈	ki3	
程	dʑiŋ2	
稍	sɔ5	
稗	buo6	
稚	dzʮ6	幼〜
稟	piŋ3	
稠	dʑiʏ2	
種	tsoŋ3	〜类
種	tsoŋ5	〜树
種	tɕyoŋ5	〜树（少）
稱	tɕʰiŋ1	〜呼
稱	tɕʰiŋ5	
稻	dɔ2	
稼	tɕia5	文
稽	tɕi1	
稿	kɔ3	
穄	tɕi5	
穆	moʔ8	
積	tɕiəʔ7	
穎	iŋ3	
穗	zai6	
穢	uai5	
穩	uəŋ3	
穭	li2	
穴	ɦyəʔ8	
究	tɕiʏ5	
空	kʰoŋ1	〜缺
穿	tsʰø1	
突	daʔ8	
窄	tsaʔ7	
窖	tɕiɔ5	
窗	tsʰɔ̃1	
窘	tɕyoŋ3	
窟	kʰoʔ7	〜窿
窟	kʰuaʔ7	
窩	au1	
窮	dʑyoŋ2	
窯	ɦiɔ2	
窺	kʰuai1	
竅	tɕʰiɔ5	
竃	tsɔ5	
立	liəʔ8	
站	dzɛ6	
竟	tɕiŋ5	
章	tsɔ̃1	
童	doŋ2	
端	tø1	
端	toŋ1	〜午
竵	hua3	〜敔，不正
競	dʑiŋ6	
竹	tsoʔ7	
竹	tɕyəʔ7	
竿	ki1	
笊	tsɔ5	
笋	soŋ3	
笑	ɕiɔ5	
笙	səŋ1	文
笛	diəʔ8	
笠	liəʔ8	
符	ɦu2	
笨	bəŋ6	
第	di6	
筆	piəʔ7	
等	təŋ3	
筋	tɕiŋ1	
筍	soŋ3	
筏	vaʔ8	
筐	kʰuɔ̃1	
答	taʔ7	
策	tsʰaʔ7	
筧	tɕi3	水〜
筵	ɦi2	
筷	kʰuɛ5	
箅	pi5	〜子
箋	tɕʰi1	
箍	kʰu1	
箏	tsəŋ1	
箕	tɕi1	
算	sø5	
管	kuø3	
箭	tɕi5	
箱	ɕiã1	
箸	dzʮ6	〜笼
箸	dʑy6	
節	tɕiəʔ7	
範	vɛ2	
篆	dzø2	
篇	pʰi1	
築	tsoʔ7	
篙	kɔ1	
篡	tsʰø1	
篤	toʔ7	
篩	sɿ1	
篷	boŋ2	
簍	lœø2	
簍	ly2	
簟	di2	
簡	tɕi3	
簧	uɔ̃5	弹〜
簧	ɦuɔ̃2	文
簪	tsai1	
簫	ɕiɔ1	
簰	ba2	
簸	pau5	〜一～
簿	bu2	
籃	lɛ2	
籌	dʑiʏ2	
籍	ɦiəʔ8	
籠	loŋ2	
籤	tɕʰi1	
籬	li2	
籮	lau2	
米	mi2	
粉	fəŋ3	
粒	liəʔ8	
粗	tsu1	文
粗	tɕʰy1	
粟	soʔ7	
粟	liəʔ8	
粥	tsœəʔ7	
粱	liã2	
粳	kəŋ1	文
粵	yəʔ7	
粹	zai6	
粼	liŋ2	
精	tɕiŋ1	
糊	ɦu6	
糕	kɔ1	
糖	dɔ̃2	
糙	tsʰɔ5	
糜	mi2	
糞	fəŋ5	
糟	tsɔ1	
糠	kʰɔ̃1	
糧	liã2	
糯	nau6	
糰	dø2	
糴	diəʔ8	
糶	tʰiɔ5	
系	ɕi5	文
系	ɦi6	
糾	tɕiʏ1	
糾	tɕiʏ3	〜正
紀	tɕi5	
紂	dʑiʏ2	
約	iəʔ7	
紅	ɦoŋ2	
