#漢字	音標	解釋
#簡稱	/	西安
#全稱	/	西安話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,53 3 2 上 ꜂,,44 5 3 去 ꜄
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A>漢語多功能字庫</a>
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
宮	kuŋ1	
宰	tsai3	
害	xai5	
宴	iã5	
宵	ɕiau1	
家	tɕia1	
容	yŋ2	
宿	ɕy1	
寄	tɕi5	
寅	iẽ2	
密	mi1	
富	fu5	
寒	xã2	
寓	y5	
察	tsʰa1	
寡	kua3	
寢	tɕʰiẽ3	
實	ʂʅ2	
寧	niŋ2	
寧	niŋ5	
寨	tsai5	
審	ʂẽ3	
寫	ɕiɛ3	
寬	kʰuã1	
寵	pfʰəŋ3	
寶	pau3	
寸	tsʰuẽ5	
寺	sɿ5	
封	fəŋ1	
射	ʂʅ2	
射	ʂɤ5	
將	tɕiaŋ1	
將	tɕiaŋ5	
專	pfã1	
尊	tsuẽ1	
尋	ɕiẽ2	
對	tuei5	
導	tau3	
小	ɕiau3	
少	ʂau3	
少	ʂau5	
尖	tɕiã1	
尚	ʂaŋ5	
尜	ka5	
尤	iou2	
尥	liau5	
就	tsou5	
就	tɕiou5	
尸	sɿ1	
尹	iẽ3	
尺	tʂʰʅ1	
尼	ni2	
尾	i3	
尿	niau5	
局	tɕy2	
屁	pʰi5	
居	tɕy1	
屆	tɕiɛ5	
屈	tɕʰy1	
屋	u1	
屍	sɿ1	
屎	sɿ3	
屏	pʰiŋ2	
展	tʂã3	
屠	tʰu2	
層	tsʰəŋ2	
屬	fu3	
屬	sou2	
屯	tʰuẽ2	
山	sã1	
岔	tsʰa5	
岡	kaŋ1	
岳	yo1	
岸	ŋã5	
峯	fəŋ2	
島	tau3	
峽	ɕia2	
崇	pfʰəŋ2	
崑	kʰuẽ1	
崔	tsʰuei1	
崖	nai2	
崗	kaŋ1	
崙	lyẽ2	
崩	pəŋ1	
崽	tsai1	
嶺	liŋ3	
嶽	yo1	
川	pfʰã1	
州	tʂou1	
巡	ɕyẽ2	
工	kuŋ1	
左	tsuo3	
巧	tɕʰiau3	
巨	tɕy5	
差	tsʰa1	
差	tsʰai1	
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xaŋ1	
巷	xaŋ5	
巾	tɕiẽ1	
市	sɿ5	
布	pu5	
帆	fã1	
希	ɕi1	
帖	tʰiɛ1	
帝	ti5	
帥	fai5	
師	sɿ1	
席	ɕi2	
帳	tʂaŋ5	
帶	tai5	
常	tʂʰaŋ2	
帽	mau5	
幅	fu1	
幅	fu5	
幕	mu5	
幣	pi5	
幫	paŋ1	
干	kã1	
平	pʰiŋ2	
年	niã2	
幸	ɕiŋ5	
幹	kã3	
幹	kã5	
幻	xuã5	
幼	iou5	
幽	iou1	
幾	tɕi1	
幾	tɕi3	
序	ɕy5	
底	ti3	
店	tiã5	
庚	kəŋ1	
府	fu3	
度	tu5	
座	tsuo5	
庫	kʰu5	
庭	tʰiŋ1	
庵	ŋã1	
康	kʰaŋ1	
庸	yŋ1	
庹	tʰuo1	
廁	tsʰei1	
廂	ɕiaŋ1	
廈	sa3	
廉	liã2	
廊	laŋ2	
廓	kʰuo1	
廚	pfʰu2	
廟	miau5	
廠	tʂʰaŋ3	
廢	fi5	
廣	kuaŋ3	
廬	lu2	
廳	tʰiŋ1	
延	iã2	
廷	tʰiŋ1	
建	tɕiã5	
弄	nuŋ5	
式	ʂʅ1	
弓	kuŋ1	
弔	tiau5	
引	iẽ3	
引	iẽ5	
弘	xuŋ2	
弟	ti5	
弦	ɕiã2	
弱	vo2	
張	tʂaŋ1	
強	tɕiaŋ5	
強	tɕʰiaŋ2	
強	tɕʰiaŋ3	
彀	kou5	
彈	tã5	
彈	tʰã2	
彌	mi2	
彎	uã1	
彗	xuei5	
彙	xuei5	
形	ɕiŋ2	
彩	tsʰai3	
彪	piau1	
彬	piẽ1	
彭	pʰəŋ2	
彰	tʂaŋ1	
影	iŋ3	
彷	faŋ3	
役	i2	
彿	fo2	
往	vaŋ3	
往	vaŋ5	
征	tʂəŋ1	
待	tai5	
很	xẽ3	
律	ly1	
後	xou5	
徐	ɕy2	
徑	tɕiŋ5	
徒	tʰu2	
得	tei1	
得	tei2	
從	tsʰuŋ2	
御	y5	
復	fu1	
循	ɕyẽ2	
微	vi2	
徵	tʂəŋ1	
德	tei1	
徹	tʂʰɤ2	
徽	xuei1	
心	ɕiẽ1	
必	pi1	
忌	tɕi5	
忍	ʐẽ3	
志	tsɿ5	
忘	uaŋ5	
忙	maŋ2	
忠	pfəŋ5	
快	kʰuai5	
念	niã5	
忽	xu1	
忿	fẽ5	
怒	nou5	
怕	pʰa5	
思	sɿ1	
怠	tai5	
急	tɕi2	
性	ɕiŋ5	
怨	yã5	
怪	kuai5	
怯	tɕʰiɛ1	
恆	xəŋ2	
恐	kʰuŋ3	
恓	ɕi1	
恢	xuei1	
恥	tʂʰʅ3	
恨	xẽ5	
恩	ŋẽ1	
恭	kuŋ1	
息	ɕi1	
恰	tɕʰia3	
悄	tɕʰiau1	
悅	yɛ1	
悉	ɕi1	
悔	xuei3	
悟	u2	
悟	u5	
患	xuã5	
悲	pei3	
悶	mẽ5	
情	tɕʰiŋ2	
惋	vã3	
惕	tʰi5	
惜	ɕi1	
惠	ɕi5	
惠	xuei5	
惡	u5	
惡	ŋɤ1	
惱	nau3	
想	ɕiaŋ3	
惹	ʐɤ3	
愁	tsʰou2	
愈	y5	
愉	y5	
意	i5	
愚	y2	
愛	ŋai5	
感	kã3	
愣	ləŋ5	
愧	kʰuei5	
愼	ʂẽ5	
慈	tsʰɿ2	
態	tʰai5	
慌	xuaŋ1	
慕	mu5	
慢	mã5	
慣	kuã5	
慥	tsʰau5	
慧	xuei5	
慨	kʰai3	
慪	ŋou1	
慪	ŋou5	
慮	ly3	
慰	y5	
慰	uei5	
慶	tɕʰiŋ5	
慷	kʰaŋ1	
慾	y1	
憂	iou1	
憋	piɛ1	
憎	tsəŋ5	
憐	liã2	
憑	pʰiŋ2	
憠	tɕyɛ5	
憤	fẽ5	
憫	miẽ3	
憲	ɕiã5	
憶	i5	
憾	xã3	
懀	uai1	
懂	tuŋ3	
懇	kʰẽ1	
應	iŋ1	
應	iŋ5	
懲	tʂʰəŋ2	
懶	lã3	
懷	xuai2	
懸	ɕyã2	
戀	luã2	
戊	vu5	
戌	ɕy1	
戎	vəŋ2	
成	tʂʰəŋ2	
我	ŋɤ3	
戒	tɕiɛ5	
或	xuei2	
戥	təŋ3	
戧	tɕʰiaŋ1	
截	tɕiɛ2	
戰	tʂã5	
戲	ɕi5	
戳	pfʰo1	
戴	tai5	
戶	xu5	
房	faŋ2	
所	fo3	
扁	piã3	
扇	ʂã5	
手	ʂou3	
才	tsʰai2	
扒	pa1	
打	ta3	
扔	ʐəŋ1	
托	tʰuo1	
扛	kʰaŋ1	
扡	tɕʰiã1	
扣	kʰou2	
扣	kʰou5	
扭	niou3	
扮	pã5	
扯	tʂʰɤ3	
扳	pã1	
扶	fu2	
批	pʰi1	
批	pʰi3	
扼	ŋei1	
扽	tuẽ5	
找	tsau3	
承	tʂʰəŋ2	
技	tɕi5	
抄	tsʰau1	
把	pa1	
把	pa3	
抓	pfa1	
投	tʰou2	
抖	tou3	
抗	kʰaŋ5	
折	tʂɤ1	
折	tʂɤ3	
折	ʂɤ2	
披	pʰei1	
抬	tʰai2	
抱	pau5	
抵	ti3	
抹	ma1	
抹	mo3	
押	ia1	
押	nia1	
抽	tʂʰou1	
抿	miẽ2	
抿	miẽ3	
拃	tsa3	
拆	tsʰei1	
拇	mẽ5	
拉	la1	
拉	la5	
拋	pʰau1	
拌	pã5	
拍	pʰei1	
拐	kuai3	
拒	tɕy5	
拔	pa2	
拖	tʰuo1	
拗	niou5	
拘	tɕy1	
拙	pfo1	
拙	tʂʰɤ5	
拚	pʰiẽ1	
招	tʂau1	
拜	pai5	
括	kʰuo1	
拱	kuŋ3	
拳	tɕʰyã2	
拴	fã1	
拷	kʰau3	
拼	pʰiẽ5	
拾	ʂʅ2	
拿	na2	
持	tʂʰʅ2	
挃	tiɛ2	
指	tsɿ1	
指	tsɿ3	
按	ŋã5	
挑	tʰiau1	
挑	tʰiau3	
挒	liɛ1	
挖	ua1	
挨	ŋai1	
挪	nuo2	
挫	tsʰuo1	
振	tʂẽ5	
挺	tʰiŋ3	
挼	va2	
挽	vã3	
挾	tɕia1	
捂	u3	
捅	tʰuŋ1	
捉	pfo1	
捋	ly1	
捎	sau1	
捏	niɛ1	
捐	tɕyã1	
捕	pʰu1	
捧	pʰəŋ3	
捨	ʂɤ3	
捱	nai2	
捲	tɕyã3	
捶	pfʰei2	
捶	pfʰei3	
捷	tɕiɛ2	
捺	na1	
掀	ɕiã1	
掂	tiã1	
掃	sau3	
掃	sau5	
掄	lyẽ2	
授	ʂou5	
掉	tiau5	
掌	tʂaŋ3	
掏	tʰau1	
掐	tɕʰia1	
排	pʰai2	
掘	tɕyɛ1	
掙	tsəŋ5	
掛	kua5	
掠	luo1	
掠	luo3	
採	tsʰai3	
探	tʰã5	
接	tɕiɛ1	
控	kʰuŋ3	
控	kʰuŋ5	
推	tʰuei1	
掩	iã3	
掬	tɕy1	
揀	tɕiã3	
揈	xuŋ1	
揉	ʐou2	
描	miau2	
提	tʰi2	
插	tsʰa1	
揖	i1	
揚	iaŋ2	
換	xuã5	
揞	ŋã3	
握	nyo1	
揢	tɕʰia5	
揣	pfʰai1	
揣	pfʰai3	
揫	tɕiou1	
揭	tɕiɛ1	
揮	xuei1	
援	yã2	
揹	pei1	
搉	tɕʰyo1	
搊	tsʰou1	
搋	tsʰai1	
搌	tʂã3	
損	suẽ3	
搓	tsʰuo1	
搖	iau2	
搗	tau3	
搛	tɕiã1	
搜	sou1	
搞	kau3	
搡	saŋ3	
搧	ʂã1	
搨	tʰa1	
搪	tʰaŋ2	
搬	pã1	
搭	ta1	
搶	tɕʰiaŋ3	
搽	tsʰa2	
摋	sai3	
摔	fei1	
摘	tsei1	
摞	luo5	
摟	lou1	
摟	lou2	
摟	lou3	
摩	mo2	
摳	kʰou1	
摸	mo1	
摸	mau1	
摺	tʂɤ1	
撂	liau5	
撅	tɕyɛ1	
撇	pʰiɛ1	
撇	pʰiɛ3	
撈	lau2	
撐	tsʰəŋ1	
撒	sa1	
撒	sa3	
撓	nau2	
撕	sɿ1	
撞	pfʰaŋ5	
撣	tã3	
撤	tʂʰɤ3	
撥	po1	
撩	liau2	
撫	vu3	
撬	tɕʰiau5	
播	po3	
撮	tsuo1	
撮	tsʰuo1	
撰	pfã5	
撲	pʰu1	
撼	xã3	
擀	kã3	
擁	yŋ1	
擇	tsei2	
擊	tɕi1	
擋	taŋ5	
操	tsʰau1	
擒	tɕʰiẽ2	
擔	tã1	
擔	tã5	
擘	pei1	
據	tɕy5	
擠	tɕi3	
擤	ɕiŋ3	
擦	tsʰa1	
擰	niŋ2	
擱	kɤ2	
擲	tʂʅ1	
擴	kʰuo1	
擺	pai3	
擾	ʐau3	
攀	pʰã1	
攆	niã3	
攏	luŋ3	
攔	lã2	
攙	tsʰã1	
攝	ʂɤ1	
攢	tsã3	
攤	tʰã1	
攥	tsuã5	
攪	tɕiau3	
攬	lã3	
攮	naŋ3	
支	tsɿ1	
收	ʂou1	
改	kai3	
攻	kuŋ3	
