#漢字	音標	解釋
寸	tsʰuən5	
寺	sɿ5	
封	fəŋ1	
射	sɤ5	
將	tɕiaŋ5	大將
將	tɕiaŋ1	將來
專	tsuan1	
尊	tsuən1	
尋	ɕyn2	
對	tuei5	
導	tau3	
小	ɕiau3	
少	sau3	多少
少	sau5	少年
尚	saŋ5	
尤	iou2	
尥	liau5	馬尥蹶子
尬	ka5	尷尬
就	tɕiou5	
尷	kan1	尷尬
尹	in3	
尺	tsʰɿ3	
尼	ȵi2	
尾	uei3	
尿	ȵiau5	
局	tɕy2	
屁	pʰi5	
居	tɕy1	
屆	tɕiɛ5	
屈	tɕʰy3	屈就
屋	u1	
屍	sɿ1	
屍	sɿ1	屍體
屎	sɿ3	
屏	pʰiŋ2	圍屏
屑	ɕyɛ5	不屑
屑	ɕyɛ5	木屑
展	tsan3	
屜	tʰi5	抽屜,籠屜
屠	tʰu2	
屢	ly3	
層	tsʰəŋ2	
履	ly3	
屬	su2	
屯	tʰuən2	
山	san1	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa5	三岔路
岡	kaŋ1	
岸	an5	
峰	fəŋ1	
島	tau3	
峽	ɕia2	
崇	tsʰuŋ2	
崑	kʰuən1	崑侖
崔	tsʰuei1	姓
崖	ia2	山崖
崗	kaŋ1	
崩	pəŋ1	
嵩	suŋ1	
嶺	liŋ3	
川	tsʰuan1	
州	tsou1	
巡	ɕuən2	
巢	tsʰau2	
工	kuŋ1	
左	tsuɤ3	
巧	tɕʰiau3	
巨	tɕy5	
巫	u1	
差	tsʰai1	出差
差	tsʰɿ1	參差
差	tsʰa5	差不多
己	tɕi3	
已	i3	
巳	sɿ5	辰巳
巴	pa1	
巾	tɕin1	
市	sɿ5	
布	pu5	
帆	fan1	
希	ɕi1	
帕	pʰa5	
帖	tʰiɛ1	碑帖,請帖
帚	tsou3	
帛	pɤ2	
帝	ti5	
帥	suai5	
師	sɿ1	
席	ɕi2	
席	ɕi2	席子
帳	tsaŋ5	
帶	tai5	
常	tsʰaŋ2	
帽	mau5	
幅	fu3	
幔	man5	
幕	mu5	
幣	pi5	
幫	paŋ1	
干	kan1	
平	pʰiŋ2	
年	ȵian2	
幸	ɕiŋ5	
幹	kan5	
幹	kan1	幹濕
幺	iau1	~二三
幻	xuan5	
幼	iou5	
幽	iou1	
幾	tɕi3	幾乎
幾	tɕi3	幾個
幾	tɕi3	茶幾
庇	pʰi3	
牀	tsʰuaŋ2	
序	ɕy5	
底	ti3	
庚	kəŋ1	
府	fu3	
度	tu5	
座	tsuɤ5	
庫	kʰu5	
庭	tʰiŋ2	
庵	an1	
庶	su5	
康	kʰaŋ1	
庸	yŋ1	
廁	tsʰɿ5	廁所,茅廁
廂	ɕiaŋ1	
厦	sa5	偏廈,前廊後廈
厦	ɕia5	廈門
廊	laŋ2	
廓	kʰuɤ5	
廖	liau5	姓
廚	tsʰu2	
厮	sɿ1	
廟	miau5	
廠	tsʰaŋ3	
廢	fei5	
廣	kuaŋ3	
廬	lu2	茅廬,廬山
廳	tʰiŋ1	
延	ian5	
廷	tʰiŋ2	
建	tɕian5	
弄	nuŋ5	
弊	pi5	
式	sɿ5	
弓	kuŋ1	
弔	tiau5	
引	in3	
弘	xuŋ2	
弟	ti5	
弦	ɕian2	
弱	yɛ5	
張	tsaŋ1	
強	tɕʰiaŋ2	
強	tɕʰiaŋ3	勉強
弼	pi5	
彀	kou5	往上彀
彈	tan5	子彈
彈	tʰan2	彈琴
彌	mi2	
彎	uan1	
形	ɕiŋ2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰəŋ2	
影	iŋ3	
彼	pi3	
往	uaŋ3	
征	tsəŋ1	
征	tsəŋ1	徵求
待	tai5	
很	xən3	
律	ly5	
後	xou5	
徐	ɕy2	
徑	tɕiŋ5	
徒	tʰu2	
得	tei3	
得	tɤ2	得到
徛	tɕi5	
從	tsʰuŋ2	從容
從	tsʰuŋ2	跟從
循	ɕuən2	
微	uei1	
德	tɤ2	
徹	tsʰɤ5	
徽	xuei1	
心	ɕin1	
必	pi5	
忌	tɕi5	
忍	in3	
忒	tʰei1	忒殺,忒好
忖	tsʰuən3	
志	tsɿ5	
忘	uaŋ5	
忙	maŋ2	
忠	tsuŋ1	
快	kʰuai5	
忽	xu1	
忿	fən5	
怒	nu5	
怕	pʰa5	
怖	pʰu5	恐怖
思	sɿ1	
怠	tai5	
怡	tai1	
急	tɕi2	
性	ɕiŋ5	
怨	yan5	
