#漢字	音標	解釋
#簡稱	/	利辛
#全稱	/	利辛話
#聲母	/	
#韻母	/	
#聲調	/	213 1 1a 陰平 ꜀,55 2 1b 陽平 ꜁,24 3 2 上 ꜂,,53 5 3 去 ꜄
#版本	/	2022-03-29
#錄入人	/	鶩高赭紗匕
#參考資料	/	《皖北方言利辛話語音研究》
#說明	/	
扑	pʰu1	～倒
扑	pʰu2	～克
扒	pa1	
打	ta3	
扔	ʐəŋ1	
托	tʰuə1	
扣	kʰəu5	
執	tʂʅ2	
掃	sɔ3	
扭	niəu3	
扯	tʂʰə3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ɣə1	
找	tʂɔ3	
承	tʂʰəŋ2	
抄	tʂʰɔ1	
把	pa1	
把	pa3	～尿
抓	tʂua1	
抖	təu3	
抗	kʰɑ̃2	～不住
抗	kʰɑ̃5	抵～
折	tʂə1	对～
折	tʂə2	～断
折	ʂə2	
撫	fu2	
抛	pʰɔ1	
摳	kʰəu1	
掄	luẽ2	
搶	tɕʰiɑ̃3	
護	xu5	
報	pɔ5	
抨	pʰəŋ2	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抹	ma1	～帽子
抹	mə3	
抻	tʂʰẽ1	
抽	tʂʰəu1	
抿	miẽ3	
擔	tã1	
擔	tã5	～子
拆	tʂʰei1	
拇	mu3	
拈	niã2	
拉	la1	
拉	la2	～呱
拍	pʰei1	
拎	liã1	
拎	liẽ1	
拐	kuɛ3	
拓	tʰuə5	
拔	pa2	
拖	tʰuə1	
拗	niəu5	
拙	tʂuə1	
招	tʂɔ1	
拜	pɛ3	
拜	pɛ5	
擬	ni2	
攏	luŋ3	～头发
揀	tɕiã3	
擁	ʐuŋ1	
擁	iuŋ1	
攔	lã2	
擰	niŋ2	
擰	niŋ2	～你
擰	niŋ5	～不过：妥协
撥	pə1	
擇	tʂei2	
括	kʰuə1	
拭	ʂʅ5	
拱	kuŋ3	
拴	fã1	
拴	ʂuã1	
拼	pʰiẽ1	
拽	tʂuɛ5	
拾	ʂʅ2	
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tʂʅ1	
指	tʂʅ3	
按	ɣã1	
按	ɣã5	
挎	kʰua3	
挑	tʰiɔ1	
摯	tʂʅ5	
撾	uə1	
撓	nɔ2	
擋	tɑ̃3	
擠	tɕi3	
揮	xuei1	
挨	ɣɛ1	～近
挨	ɣɛ2	～打
振	tʂẽ5	
挲	ʂa2	～汤
挵	nuŋ3	～着过
挺	tʰiŋ3	
挽	uã3	
捂	u3	
捅	tʰuŋ1	
捆	kʰuẽ3	
捉	tʂuə1	
捋	ly3	
捌	pa1	
捎	ʂɔ1	
捏	nie1	
捐	tɕyã1	
捕	pu1	
撈	lɔ1	
損	suẽ3	
撿	tɕiã3	
換	xuã5	
搗	tɔ3	
捧	pʰəŋ3	
捯	tɔ3	～饬
捱	ɣɛ2	
捻	niã5	
掇	tuə	拾～
掉	tiɔ5	
掌	tʂɑ̃3	
掏	tʰɔ1	
掐	tɕʰia1	
排	pʰɛ2	
掛	kua5	
掠	luə3	
採	tsʰɛ3	
探	tʰã5	
接	tɕie1	
控	kʰuŋ5	
推	tʰei1	
掩	iã3	
擄	lu3	
撣	tã3	
摻	tʂʰã1	
揌	sɛ1	
描	miɔ2	
提	tʰi2	
插	tʂa1	
握	uə1	
揣	tʂʰuɛ3	
揩	kʰɛ3	
揪	tɕiəu1	
揭	tɕie1	
援	yã2	
揸	tʂa3	用手～下
揼	piŋ1	～一脸水
擱	kə1	
擱	kə2	
摟	ləu3	
搉	tɕʰyo1	～石板
搏	pə1	
搓	tsʰuə1	
搜	səu1	
搞	kɔ3	
搡	sɑ̃1	
搪	tʰɑ̃2	
搬	pã1	
搭	ta1	
搽	tʂa2	
摁	ɣẽ5	
攝	ʂə3	
摆	pɛ1	～攡：收拾
摆	pɛ3	～动
摇	iɔ2	
攤	tʰã1	
摏	tʂʰuŋ1	
摒	piŋ3	
摔	fɛ1	
摘	tʂei1	
摞	luə2	
摸	mə1	
撒	sa1	
撒	sa3	～水
撕	sɿ1	
撞	tʂuɑ̃5	
撤	tʂʰə5	
撬	tɕʰiɔ5	
播	pə1	
撮	tsuə5	
撰	tʂuã5	
攆	niã3	
擀	kã3	
擂	lei5	
擅	ʂ膻衫煽搧杉删山ã5	
操	tsʰɔ1	
擎	tɕʰiŋ1	
擢	tʂuə2	
擤	ɕiŋ2	～鼻涕
擦	tsʰa1	
擩	ʐu3	
攀	pʰã1	
攥	tɕyã5	
攮	nɑ̃5	
支	tʂʅ1	
收	ʂəu1	
攻	kuŋ1	
放	fɑ̃5	
故	ku5	
效	ɕiɔ5	
敵	ti2	
敏	miẽ3	
教	tɕiɔ1	～书
教	tɕiɔ5	～师
斂	liã1	
敝	pi5	
敢	kã3	
敦	tuẽ1	
敬	tɕiŋ5	
敲	tɕʰiɔ1	
敷	fu2	
文	uẽ2	
斋	tʂɛ1	
斌	piẽ1	
斑	pã1	
料	liɔ5	
斟	tʂẽ1	
斤	tɕiẽ1	
斧	fu3	
斬	tʂã3	
斷	tuã5	
斯	sɿ1	
新	ɕiẽ1	
方	fɑ̃1	
施	ʂʅ1	
旁	pʰɑ̃2	
旅	ly3	
旋	ɕyã2	
无	u2	
既	tɕi5	
日	ʐʅ1	
旦	tã5	
舊	tɕiəu5	
早	tsɔ3	
旬	ɕyẽ2	
旭	ɕy1	
旯	la1	
時	ʂʅ2	
曠	kʰuɑ̃5	
旺	uɑ̃5	
昂	ɣɑ̃2	
昆	kʰuẽ1	
昌	tʂʰɑ̃1	
昏	xuẽ1	
曇	tʰã2	
映	iŋ5	
春	tʂʰuẽ1	
昧	mei5	
昨	tsuə2	
昭	tʂɔ1	
是	ʂʅ5	
昵	ni2	
顯	ɕiã3	
晃	xuɑ̃5	
晌	ʂɑ̃2	
曉	ɕiɔ3	
暈	yẽ1	
晗	xã2	
晚	uã3	
晨	tʂʰẽ2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
晾	liɑ̃5	
暄	ɕyã1	
暑	tʂʰu3	
暖	nuã3	
暗	ɣã5	
曖	ɣɛ5	
暮	mu5	
暴	pɔ5	
曲	tɕʰy1	
更	kəŋ1	五～
更	kəŋ5	～加
曼	mã5	
替	tʰi5	
最	tsuei5	
有	iəu3	
朋	pʰəŋ2	
朕	tʂẽ5	
朗	lɑ̃3	
朝	tʂɔ1	
期	tɕʰi1	
朦	məŋ2	
木	mu1	
未	uei5	
末	mə1	
本	pẽ3	
朱	tʂu1	
朴	pʰu3	
朵	tuə3	
機	tɕi1	
殺	ʂa1	
雜	tsa2	
權	tɕʰyã2	
杆	kã3	
杈	tʂa5	
李	li3	
材	tsʰɛ2	
村	tsʰuẽ1	
杠	kɑ̃5	抬～
條	tʰiɔ2	
來	lɛ2	
楊	iɑ̃2	
杭	xɑ̃2	
杰	tɕie2	
杳	iɔ3	
杷	pa	
松	suŋ1	
松	ɕiuŋ1	
板	pã3	
枇	pʰi2	
枉	uɑ̃3	
枕	tʂẽ3	
林	liẽ2	
枚	mei2	
果	kuə3	
枝	tʂʅ1	
棗	tsɔ3	
槍	tɕʰiɑ̃1	
楓	fəŋ1	
梟	ɕiɔ1	
枯	kʰu3	
架	tɕia5	
柄	piŋ3	
柏	pei1	
染	ʐã3	
柚	iəu5	
櫃	kuei5	
檸	niŋ2	
查	tʂa2	
柱	tʂu5	
柳	liəu3	
柴	tʂʰɛ2	
柿	ʂʅ5	
梔	tʂʅ1	
標	piɔ1	
棧	tʂã5	
棟	tuŋ5	
欄	lã2	
栓	ʂuã1	
栗	li1	
校	ɕiɔ5	
栩	ɕy2	
株	tʂu1	
樣	iɑ̃5	
核	xu2	
核	xɛ2	结～
根	kẽ1	
格	kei1	
栽	tsɛ1	
欒	l孪銮挛峦uã2	
桂	kuei5	
桃	tʰɔ2	
框	kʰuɑ̃1	
案	ɣã5	
桌	tʂuə1	
桐	tʰuŋ2	
桑	sɑ̃1	
桓	xuã2	
桔	tɕy1	
椏	ia1	
椏	ia	枝～
檔	tɑ̃3	
橋	tɕʰiɔ2	
樺	xua2	
槳	tɕiɑ̃1	
樁	tʂuɑ̃1	
桶	tʰuŋ3	
梁	liɑ̃2	
梆	pɑ̃1	
梓	tsɿ3	
梗	kəŋ3	
梢	sɔ1	
梢	ʂɔ1	
夢	məŋ5	
梧	u2	
梨	li2	
梭	suə1	
梯	tʰi1	
檢	tɕiã3	
棉	miã2	
棍	kuẽ5	
棒	pɑ̃3	
棕	tsuŋ1	
棕	tɕiuŋ1	
棚	pʰəŋ2	
棠	tʰɑ̃2	
森	sẽ1	
棱	ləŋ5	
棵	kʰuə1	
棺	kuã1	
椅	i3	
植	tʂʅ2	
橢	tʰuə3	
椿	tʂʰuẽ1	
楚	tʂʰu3	
楞	ləŋ1	不聪明
楞	ləŋ5	～头青
楠	nã2	
楷	kʰɛ3	
楹	iŋ5	
樓	ləu2	
欖	lã3	
櫚	ly3	
榔	lɑ̃2	
榕	vəŋ2	
榕	ʐuŋ2	
榕	iuŋ2	
榛	tʂẽ1	
榜	pɑ̃3	
榨	tʂa5	
槌	tʂʰuei2	
槐	xuɛ2	
檻	kʰã3	
檳	piŋ1	
槮	sẽ1	～红芋
槽	tsʰɔ2	
槿	tɕiẽ1	
樊	fã2	
樟	tʂɑ̃1	
模	mə2	
模	mə3	～子：造房子的工具
橫	xəŋ5	
橫	xuŋ5	
櫻	iŋ1	
橄	kã3	
橘	tɕy1	
橙	tʂʰəŋ2	
橡	ɕiɑ̃5	
檀	tʰã2	
檁	liẽ3	～条：房屋上的横梁木头
檬	məŋ2	
欠	tɕʰiã5	
次	tsʰɿ5	
歡	xuã1	
欣	ɕiẽ1	
欲	y5	
款	kʰuã3	
歇	ɕie1	
歉	tɕʰiã5	
歌	kə1	
止	tʂʅ3	
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殃	iɑ̃1	
殆	tɛ5	
殉	ɕyẽ2	
殮	liã1	
殖	tʂʅ2	
殫	tã1	
殯	piẽ5	
毆	ɣəu1	
段	tuã5	
殿	tiã5	
毁	xuei3	
母	mu3	
毒	tu2	
比	pi3	
斃	pi5	
毛	mɔ2	
毛	mɔ3	一～
毡	tʂã1	
毬	tɕʰiəu3	头发～
毯	tʰã3	
氏	ʂʅ5	姓～
民	miẽ2	
氓	mɑ̃2	
气	tɕʰi5	
氖	nɛ3	
氛	fẽ5	
氫	tɕʰiŋ1	
氧	iɑ̃3	
氨	ɣã1	
氬	ia5	
氮	tã5	
氯	ly1	
水	fei1	
水	fei3	
永	ʐuŋ3	
永	iuŋ3	
汁	tʂʅ1	
求	tɕʰiəu2	
漢	xã3	
漢	xã5	
汕	ʂ膻衫煽搧杉删山ã5	
汗	xã5	
汛	ɕyẽ5	
汝	ʐu3	
汞	kuŋ3	
江	tɕiɑ̃1	
池	tʂʰʅ2	
污	u1	
湯	tʰɑ̃1	
湯	tʂʰʅ2	
汪	uɑ̃1	
汰	tʰɛ	埋～
汴	piã5	
汶	uẽ2	
汹	ɕiuŋ1	
汽	tɕʰi5	
沃	uə1	
沆	xɑ̃5	
沈	ʂẽ3	
沉	tʂʰẽ2	
沌	tuẽ5	
沐	mu1	
沓	ta2	
沙	ʂa1	
溝	kəu1	
沒	mei5	
淪	luẽ2	
滄	tsʰɑ̃1	
滬	xu5	
沫	mə1	
河	xə2	
沸	fei5	
油	iəu2	
治	tsʰɿ2	～鱼：剖开鱼肚子而清除鳞片
治	tʂʅ5	
沼	tʂɔ1	
沾	tʂã1	
沾	tʂã3	擦
泉	tɕʰyã2	
泊	pʰə1	
泌	mi1	
泔	kã3	
法	fa1	
泡	pʰɔ1	
泡	pʰɔ5	
波	pə1	
泥	ni2	
淚	lei5	
泳	ʐuŋ3	
泳	iuŋ3	
瀉	ɕie5	
潑	pʰə1	～妇
澤	tʂei2	
涇	tɕiŋ5	
洋	iɑ̃2	
洒	sa3	
洗	ɕi3	
洛	luə1	
洞	tuŋ5	
活	xuə2	
洼	ua5	
洽	tɕʰia5	
派	pʰɛ5	
流	liəu2	
淺	tɕʰiã3	
漿	tɕiɑ̃1	
澆	tɕiɔ1	
濁	tʂuə2	
測	tʂʰei1	
濟	tɕi3	
滸	xu2	
濃	nuŋ2	
浙	tʂə1	
浜	pɑ̃1	
浦	pʰu3	
浩	xɔ5	
浪	lɑ̃5	
浮	fu2	
浴	y1	
海	xɛ3	
消	ɕiɔ1	
涌	ʐuŋ1	
涌	iuŋ1	
涓	tɕyã1	
濤	tʰɔ1	
澇	lɔ5	
渦	uə1	
漲	tʂɑ̃3	～钱
漲	tʂɑ̃5	～红了脸
澀	ʂei1	
涮	ʂuã5	
液	i2	口服～
液	ie5	
涵	xã2	
涸	xə2	
淀	tiã5	
淄	tsɿ1	
淆	ɕiɔ2	
淋	liẽ2	
淌	tʰɑ̃3	
淝	fei2	
淞	ɕiuŋ1	～沪
淡	tã5	
淤	y1	～泥
淦	kã5	
淫	iẽ2	
淮	xuɛ2	
深	ʂẽ1	
混	xuẽ5	
淹	iã1	
添	tʰiã1	
清	tɕʰiŋ1	
淵	yã1	
漬	tsɿ3	
漬	tsɿ5	
滲	ʂẽ5	
渠	tɕʰy1	
渡	tu5	
渣	tʂa1	
渤	pə2	
溫	uẽ1	
港	kɑ̃3	
渲	ɕyã1	
渴	kʰə1	
湃	pɛ5	
湖	xu2	
湛	tʂã5	
灣	uã1	
溼	ʂʅ1	
潰	kʰuei5	
濺	tɕiã5	
源	yã2	
溜	liəu1	
溪	ɕi2	
溶	iuŋ2	
滃	uoŋ1	
滋	tsɿ1	
滋	tsɿ5	
滑	xua2	
滔	tʰɔ1	
滾	kuẽ3	
滯	tʂʅ5	
滿	mã3	
瀅	iŋ2	
濾	lu1	
濾	ly5	
濫	lã5	
灘	tʰã1	
滴	ti1	
漂	pʰiɔ5	
漏	ləu5	
演	iã3	
漠	mə2	
漫	mã5	
瀟	ɕiɔ1	
潘	pʰã1	
潛	tɕʰiã2	
潢	xuɑ̃2	
潭	tʰã2	
潮	tʂʰɔ2	受～
澄	tʂʰəŋ2	
澄	təŋ5	
澎	pʰəŋ2	
濛	məŋ2	
瀑	pʰə5	
瀚	xã5	
灌	kuã5	
火	xuə3	
滅	mie1	
燈	təŋ1	
燈	tiŋ1	
灰	xuei1	
靈	liŋ2	
竈	tsɔ5	
灸	tɕiəu1	
灼	tʂuə2	
災	tsɛ1	
煬	iɑ̃2	
炅	tɕiuŋ3	
爐	lu2	
炒	tʂʰɔ3	
炕	kʰɑ̃5	
熗	tɕʰiɑ̃5	
炫	ɕyã5	
炬	tɕy5	
炭	tʰã5	
炮	pʰɔ5	
炯	tɕiuŋ3	
炳	piŋ3	
炸	tʂa2	～鱼
炸	tʂa5	
點	tiã3	
炼	liã5	
烀	xu1	
爛	lã5	
烈	lie1	
烘	xuŋ1	
烙	luə1	～馍
燭	tʂu2	
烟	iã1	
烤	kʰɔ3	
煩	fã2	
燒	ʂɔ1	
燙	tʰɑ̃5	
熱	ʐə1	
烹	pʰəŋ2	
烽	fəŋ2	
焉	iã1	
焊	xã5	
煥	xuã5	
燜	mẽ1	
焗	tɕy2	～油膏
燾	tʰɔ1	
焯	tʂʰɔ1	
焰	iã5	
焱	iã2	
然	ʐã3	
煌	xuɑ̃3	
煎	tɕiã1	
煤	mei2	
煦	ɕy1	
照	tʂɔ5	
煨	uei1	
煮	tʂu3	
煲	pɔ1	
煲	pɔ3	电饭～
熊	ɕiuŋ2	
熏	ɕyẽ1	
熔	ʐuŋ2	
熟	fu1	
熟	fu2	
熥	tʰəŋ1	
熨	yẽ5	
熬	ɣɔ1	～汤
熬	ɣɔ2	～药
燃	ʐã3	
燕	iã5	
爆	pɔ5	
爪	tʂua1	
爪	tʂɔ3	鸡～子花
爬	pʰa2	
愛	ɣɛ5	
父	fu5	
爺	ie2	
爸	pa2	
爹	tie1	
爽	ʂuɑ̃3	
片	pʰiã1	～子
片	pʰiã3	红薯～子
片	pʰiã5	
版	pã3	
牌	pʰɛ2	
牙	ia2	
牛	niəu2	
牛	iəu2	
牝	pʰiẽ1	
牡	mu5	
牢	lɔ2	
牤	mɑ̃1	
牦	mɔ2	
物	u1	
牲	ʂəŋ1	
牲	ʂəŋ	畜～
牽	tɕʰiã1	
特	tʰei2	
犁	li2	
犇	pẽ1	
犢	tu2	牛～子：小公牛
犍	tɕiã5	牛～
犟	tɕiɑ̃5	
犬	tɕʰyã3	
狀	tʂuɑ̃5	
獷	kuɑ̃3	
猶	iəu1	
狂	kʰuɑ̃2	
狍	pʰɔ2	
狐	xu2	
狐	xu3	
狒	fei5	
狗	kəu3	
狙	tɕy1	
獰	niŋ2	
獰	niŋ5	
狠	xẽ3	
獨	tu2	
獅	ʂʅ1	
狸	li	狐～
獵	lie1	
猖	tʂʰɑ̃1	
猛	məŋ3	
猜	tsʰɛ1	
猩	ɕiŋ1	
豬	tʂu1	
貓	mɔ2	
獻	ɕiã5	
猴	xəu2	
猾	xua2	
猿	yã2	
獺	lɛ5	
玄	ɕyã2	
率	ly1	圆周～
率	fɛ5	
玉	y5	
王	uɑ̃2	
瑪	ma3	沙琪～
玟	uẽ2	
玢	fẽ1	
玩	uã2	
環	xuã2	
現	ɕiã5	
玲	liŋ2	
玻	pə2	
珊	ʂ膻衫煽搧杉删山ã2	
珍	tʂẽ1	
琺	fa1	
瓏	luŋ2	
珠	tʂu1	
班	pã1	
珺	tɕyẽ1	
球	tɕʰiəu2	
琅	lɑ̃2	
理	li3	
琉	liəu2	
瑣	suə3	
琛	tʂʰẽ2	
琢	tsuə2	
琥	xu3	
琨	kʰuẽ1	
琳	liẽ2	
琴	tɕʰiẽ2	
琵	pʰi2	
琶	pʰa	～琶
瓊	tɕʰiuŋ2	
瑁	mɔ5	
瑚	xu2	
瑜	y2	
瑤	iɔ2	
璋	tʂɑ̃1	
瓔	iŋ1	
璐	lu5	
璞	pʰu3	
璧	pi5	
瓜	kua1	
瓠	xu5	～子：一种瓜果
瓤	ʐɑ̃2	
瓦	ua3	
瓮	uoŋ1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甄	tʂẽ1	
甘	kã1	
甚	ʂẽ5	
甜	tʰiã2	
生	ʂəŋ1	
甥	ʂəŋ	外～
用	vəŋ5	
用	ʐuŋ5	
用	iuŋ5	
甩	fɛ3	
甯	niŋ2	
田	tʰiã2	
甲	tɕia2	
申	ʂẽ1	
電	tiã5	
男	nã2	
甸	tiã5	
町	tiŋ1	
畫	xua5	
暢	tʂʰɑ̃5	
界	tɕie5	
留	liəu2	
畚	pẽ1	
畜	tʂʰu1	
畜	ɕy1	
疃	tʰuã3	阚～ :地区名
疆	tɕiɑ̃1	
疔	tiŋ1	
疙	kə1	
疚	tɕiəu1	
疚	tɕiəu5	
疝	ʂ膻衫煽搧杉删山ã5	
疤	pa1	
疫	i2	
瘡	tʂʰuɑ̃1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疸	tã3	
疹	tʂẽ3	
疼	tʰəŋ2	
疾	tɕi1	
痂	tɕia2	豆～
病	piŋ5	
痙	tɕiŋ5	
痒	iɑ̃3	
痔	tʂʅ5	
痕	xẽ2	
痘	təu5	
痛	tʰuŋ3	
痞	pʰi3	
痣	tʂʅ5	
痤	tsʰuə2	～疮
痧	ʂa1	
癆	lɔ5	
痱	fei5	
痹	pi5	
瘮	ʂẽ5	～人：令人感到害怕
瘟	uẽ1	
瘤	liəu2	
瘦	ʂəu5	
瘩	ta	疙～
癟	pie3	
癱	tʰã1	
瘴	tʂɑ̃5	
瘸	tɕʰyo2	
癌	ɣɛ3	
癖	pʰi5	
癩	lɛ5	
癬	ɕyã3	
癲	tiã1	疯～
白	pei2	
百	pei1	
皂	tsɔ5	
皇	xuɑ̃2	
皊	liŋ2	
皚	ɣɛ3	
皖	uã3	
皮	pʰi2	
皴	tɕʰyẽ1	
皿	miẽ3	
盅	tʂuŋ1	
盆	pʰẽ2	
盈	iŋ2	
益	i5	
盞	tʂã3	
鹽	iã2	
監	tɕiã1	
盒	xə2	
盜	tɔ5	
盤	pʰã2	
盛	tʂʰəŋ2	～饭
盛	ʂəŋ5	茂～
盟	məŋ2	
目	mu5	
盯	tiŋ1	
盲	mɑ̃2	
直	tʂʅ2	
相	ɕiɑ̃5	
盹	tuẽ3	打～
盼	pʰã5	
盾	tuẽ5	
省	ʂəŋ3	节～
眉	mei2	
看	kʰã1	
看	kʰã5	
真	tʂẽ1	
眠	miã2	
眨	tʂa3	
眩	ɕyã5	
眯	mi2	
眶	kʰuɑ̃5	
眼	iã3	
睞	lɛ5	
睛	tɕiŋ5	
睡	ʂei5	
睡	ʂuei5	
睦	mu5	
睫	tɕie2	
睬	tsʰɛ3	
睾	kɔ3	
瞅	tʂʰəu3	
瞎	ɕia1	
瞒	mã1	
瞪	təŋ5	
瞰	kʰã5	
瞳	tʰuŋ3	
瞿	tɕʰy1	
矛	mɔ2	
知	tʂʅ1	
矩	tɕy5	
短	tuã3	
矮	ɣɛ3	
石	ʂʅ2	
矸	kã3	～石
碭	tɑ̃5	
碼	ma3	
砂	ʂa1	
砍	kʰã3	
磚	tʂuã1	
砝	fa1	
砟	tʂa3	子路
砧	tʂẽ1	
砭	piã1	
破	pʰə5	
砸	tsa2	
礎	tʂʰu1	
硝	ɕiɔ1	
硬	ɣəŋ5	
硬	iŋ5	
確	tɕʰyo1	
硼	pʰəŋ2	
碌	lu1	
礙	ɣɛ5	
碎	suei5	
碗	uã3	
磣	tʂʰẽ	寒～
碟	tie2	
碧	pi5	
碰	pʰəŋ5	
鹼	tɕiã3	
碳	tʰã5	
磁	tsʰɿ2	
磅	pɑ̃3	
磊	lei3	
磋	tsʰuə1	
磨	mə2	～牙
磨	mə5	石～
磺	xuɑ̃2	
礡	pə1	
礡	pə2	
礵	ʂuɑ̃1	
示	ʂʅ5	
禮	li3	
社	ʂə3	
祖	tsu2	
祛	tɕʰy1	
祝	tʂu5	
神	ʂẽ2	
祠	tsʰɿ2	
祭	tɕi5	
禱	tɔ3	
禍	xuə5	
禀	piŋ3	
禁	tɕiẽ5	
禄	lu1	
禪	tʂʰã2	
福	fu1	
禹	y3	
离	li2	
禽	tɕʰiẽ2	
禾	xuə2	
秀	ɕiəu5	
私	sɿ1	
禿	tʰu1	
秆	kã3	
秉	piŋ3	
秋	tɕʰiəu1	
種	tʂuŋ3	～子
種	tʂuŋ5	
科	kʰuə1	
秒	miɔ3	
秘	mi1	
租	tsu2	
秤	tʂʰəŋ5	
秧	iɑ̃1	
秩	tsʰɿ5	～序
秩	tʂʅ5	
稱	tʂʰəŋ1	
稱	tʂʰẽ5	
稱	tʂʰəŋ5	～心
秸	tɕie1	
程	tʂʰəŋ2	
稍	ʂɔ2	
稞	kʰuə1	
穌	su1	
穩	uẽ3	
稻	tɔ5	
稿	kɔ3	
穆	mu1	
穗	suei5	
穴	ɕyo2	
究	tɕiəu5	
窮	tɕʰiuŋ2	
空	kʰuŋ1	
穿	tʂʰuã1	
突	tʰu1	
竊	tɕʰie5	
窄	tʂei1	
竅	tɕʰiɔ5	
窑	iɔ2	
窒	tʂʅ5	
窗	tʂʰuɑ̃1	
窘	tɕiuŋ3	
窩	uə1	
窟	kʰu1	
窿	luŋ	窟～
立	li1	
站	tʂã5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂɑ̃1	
竣	tɕyẽ5	
童	tʰuŋ2	
竦	ɕiuŋ3	
端	tuã1	
竹	tʂu1	
竿	kã3	
笆	pa	
笋	ɕyẽ3	
笑	ɕiɔ5	
笛	ti2	
符	fu2	
笨	pẽ5	
籠	luŋ2	
等	təŋ3	
筋	tɕiẽ1	
筏	fa2	
筐	kʰuɑ̃1	
筑	tʂu1	
筒	tʰuŋ3	
答	ta1	
策	tʂʰei1	
箏	ləŋ	风～
筠	tɕyẽ1	
筱	ɕiɔ3	
筷	kʰuɛ5	
籌	tʂʰəu2	
签	tɕʰiã1	
簡	tɕiã3	
箍	ku1	
箔	pə2	
箕	tɕi	簸～
算	ɕyã5	
箜	kʰuŋ1	
管	kuã3	
籮	luə2	
簫	ɕiɔ1	
箭	tɕiã5	
箱	ɕiɑ̃1	
篆	tʂuã5	
篦	pi5	
籃	lã2	
篷	pʰəŋ2	
簇	tsʰu5	
簧	xuɑ̃2	
簸	pə3	动词
簸	pə5	～箕
簿	pu5	
籍	tɕi1	
籍	tɕi2	
米	mi3	
类	lei5	
籽	tsɿ3	
籽	tsɿ	菜～
粉	fẽ3	
粑	pa1	
粑	pa	糍～
粕	pʰə1	
粗	tsʰu1	
粗	tɕʰiʊ1	
粘	tʂã1	
粤	ɕyo1	
糞	fẽ5	
糧	liɑ̃2	
粱	liɑ̃2	
糉	tsuŋ5	
糉	tɕiuŋ5	～子
精	tɕiŋ1	
糊	xu2	
糍	tsʰɿ2	～巴
糕	kɔ1	
糖	tʰɑ̃2	
糗	tɕʰiəu3	～大了
糙	tsʰɔ1	
糜	mi2	
糟	tsɔ1	
糠	kʰɑ̃1	
紊	uẽ3	
素	su5	
緊	tɕiẽ3	
紫	tsɿ3	
紮	tsa2	～鞋子
累	lei5	
絮	ɕy5	
糾	tɕiəu1	
紅	xuŋ2	
纤	tɕʰiã1	光～
紀	tɕi3	
純	tʂʰuẽ2	
紗	ʂa1	
綱	kɑ̃1	
納	na1	～鞋
縱	tsuŋ5	
綸	luẽ2	
紛	fẽ1	
紙	tʂʅ3	
紋	uẽ2	
紡	fɑ̃3	
紐	niəu1	
線	ɕiã5	
練	liã5	
組	tsu2	
紳	ʂẽ1	
織	tʂʅ1	
終	tʂuŋ1	
絆	pã5	
紹	ʂɔ5	
經	tɕiŋ1	
綁	pɑ̃3	
絨	iuŋ2	
絨	vəŋ3	头发不顺，杂毛多
絨	iuŋ3	～毛
結	tɕie1	
絝	kʰu1	
繞	ʐɔ1	
繞	ʐɔ5	～圈子
給	kei3	
絢	ɕyã5	
統	tʰuŋ3	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi5	～效
績	tɕi	成～
緒	ɕy5	
續	ɕy5	
緋	fei3	
綽	tʂʰuə1	
繩	ʂəŋ1	
維	uei3	
綿	miã2	
绷	pəŋ1	～带
绷	piŋ1	～带
绷	pəŋ3	脸～着
綜	tsuŋ1	
綻	tʂã5	
綠	lu1	
緬	miã3	
纜	lã3	
緞	tuã5	
緩	xuã3	
縷	ly1	
編	piã1	
緣	yã2	
縫	fəŋ2	
縫	fəŋ5	细～
纏	tʂʰã2	
縮	suə1	
繮	tɕiɑ̃1	
繳	tɕiɔ1	
缸	kɑ̃1	
罌	iŋ1	
罐	kuã5	
网	uɑ̃3	
罕	xã3	
羅	luə2	
罰	fa2	
罡	kɑ̃1	
罩	tʂɔ5	
罪	tsuei5	
羊	iɑ̃2	
羌	tɕʰiɑ̃1	
羔	kɔ1	
羚	liŋ2	
羞	ɕiəu1	
羣	tɕʰyẽ2	
羮	kəŋ1	
羽	y3	
翁	uoŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翔	ɕiɑ̃2	
翹	tɕʰiɔ5	
翟	tʂei2	
翠	tsʰuei5	
翡	fei1	
翩	pʰiã1	
耀	iɔ5	
老	lɔ3	
耄	mɔ5	
耋	tie2	
而	ɣɚ3	
耍	ʂua3	
耐	nɛ5	
耗	xɔ5	
耘	yẽ3	
耙	pa2	
耙	pʰa2	～子
耙	pa5	～地
耬	ləu3	
耳	ɣɚ3	
耷	ta1	
聳	suŋ3	
聳	ɕiuŋ3	
恥	tʂʰʅ3	
耽	tã1	
耿	kəŋ3	
聶	nie1	
聾	luŋ2	
職	tʂʅ2	
