#漢字	音標	解釋
#簡稱	/	衡山馬跡
#全稱	/	衡山馬跡話
#聲母	/	
#韻母	/	
#聲調	/	55 1 1a 陰平 ꜀,11 2 1b 陽平 ꜁,33 3 2 上 ꜂,,324 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅
#版本	/	2022-01-31
#錄入人	/	跳跳老鼠
#參考資料	/	《湖南省衡山縣馬跡話的語音系統》
#說明	/	
㐄	dʑia6	跨：～過門檻
嶇	tɕʰy1	
嶗	lau2	
嶙	liəŋ2	
嶷	i2	
嶺	lian3	(白)
嶺	liəŋ3	(文)
嶼	y3	
巍	uei1	
巒	lẽ2	
巔	tĩ1	
川	tɕʰyẽ1	
州	tɕiou1	
巡	dzəŋ2	
巢	dzau2	
工	kəŋ1	
左	tso3	
巧	tɕʰiəu3	
巨	dʑy6	
巫	u1	
差	tsʰa1	(1)差錯
差	tsʰai1	(2)出～
己	tɕi3	
已	i3	
巳	dzɿ6	
巴	pa1	
巷	ləŋ5	
巷	ɣoŋ6	
巽	səŋ5	
巾	tɕiəŋ1	
市	zɿ6	
布	pu5	
帆	βan2	
希	ɕi1	
帔	pʰei5	
帕	pʰa5	
帖	tʰie2	
帚	tɕiou2	
帛	po3	
帝	ti5	
帥	sai5	
師	sɿ1	
席	ɕi2	
帳	tɕioŋ5	
帶	tai5	
常	ʑioŋ2	
帽	mau6	
幀	tɕiəŋ1	量詞，幅：一～像
幔	man6	
幕	mo6	
幛	tɕioŋ5	
幣	pi5	
幫	poŋ1	
干	kan1	天～
平	bian2	(白)
平	biəŋ2	(文)
年	ȵĩ2	
并	piəŋ5	
幸	ʑyəŋ6	
幹	kan5	能～；～部
幺	iəu1	
幻	βẽ6	
幼	iou5	
幽	iou1	
幾	tɕi3	
庇	pʰi3	
床	dzoŋ2	
序	dʑi6	(白)
序	ʑy6	(文)
底	ti3	(又)
底	ti5	(又)
庖	bau2	
店	tĩ5	
庚	kĩ1	
府	ɸu3	
度	dou6	
座	dzo6	
庫	kʰu5	
庭	diəŋ2	
庵	ŋan1	
庶	ɕy5	
康	kʰoŋ1	
庸	iəŋ2	
庹	tʰo2	兩臂伸開的長度
庾	y3	
廁	sɿ1	茅～：廁所
廁	tsʰe2	
廂	ɕioŋ1	
廈	ʑia6	
廉	lĩ2	
廊	loŋ2	
廖	liəu6	
廚	dʑy2	
廝	sɿ1	
廟	miəu6	
廠	tɕʰioŋ3	
廢	ɸei5	
廣	koŋ3	
廬	lou2	
廳	tʰian1	(白)
廳	tʰiəŋ1	(文)
延	ĩ2	
廷	diəŋ2	
建	tɕĩ5	
弄	ləŋ5	
弄	ləŋ6	(2)動詞：玩～
弈	i5	
弊	pi5	
弎	san1	
式	ɕi5	
式	ɯ6	
弓	kəŋ1	
弔	tiəu5	
引	iəŋ3	
弗	ɸu2	
弘	ɣəŋ2	
弛	dʑi2	
弟	di6	
弦	ʑyẽ2	
弧	βu2	
弩	nou3	
弭	mi2	
弱	ȵio5	
張	tɕioŋ1	
強	dʑioŋ2	(1)堅～
強	dʑioŋ6	(2)倔～
弼	pi5	
彈	dan2	
彌	mi2	
彎	uan1	
彗	βei6	
彙	βei6	
彝	i2	
形	ʑiəŋ2	
彤	dəŋ2	
彥	ĩ5	
彩	tsʰai3	
彪	piəu1	(文)
彪	pʰiəu1	(白)
彬	piəŋ1	
彭	bẽ2	
彰	tɕioŋ1	
影	ian3	(白)
影	iəŋ3	(文)
彷	boŋ2	
彷	ɣoŋ2	
役	i5	(文)
役	y6	(白)
彼	pi3	(又)
彼	pʰi3	(又)
彿	ɸu2	(3)彷～
往	oŋ3	
征	tɕiəŋ1	
待	dai6	
徇	dzəŋ2	
很	ɣe2	(變調)帶有誇張的神情
很	xe3	(又)
徉	ioŋ2	
徊	βai2	
律	li5	
後	pʰa2	
後	ɣəu6	
徐	dʑi2	
徑	tɕiəŋ5	
徒	dou2	
得	te2	
徘	bai2	
徙	ɕi2	
循	dzəŋ2	
徭	iəu2	
微	uei2	
徵	tɕiəŋ1	
德	te2	
徹	tɕʰie2	
徽	ɸei1	
心	ɕiəŋ1	
必	pi2	
忌	dʑi6	
忍	iəŋ3	
忑	tʰe2	
忖	tsʰəŋ3	
志	tsɿ5	
忘	oŋ2	(又)
忘	oŋ6	(又)
忙	moŋ2	
忝	tʰĩ3	
忠	tsəŋ1	
忤	u3	
快	kʰuai5	
念	ȵi6	(變調)
念	ȵĩ6	(又)
忸	ȵiou3	～怩
忽	ɸu2	
忿	ɸəŋ5	(1)～恨
忿	βəŋ6	(2)～氣子，生悶氣
怒	nou6	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	dai6	
怡	i2	
性	ɕiəŋ5	
怨	yẽ5	(又)
怨	yẽ6	(又)
怪	kuai5	
怯	tɕʰie2	(文)
恃	zɿ6	
恆	ɣẽ2	
恍	xoŋ3	
恐	kʰəŋ3	
恕	ɕy5	
恙	ioŋ6	
恢	ɸei1	
恤	ɕi2	
恥	tsʰɿ3	
恨	ɣẽ6	
恩	ŋĩ1	
恬	dĩ2	
恭	kəŋ1	
息	ɕi2	
恰	kʰa2	(白)
恰	tɕʰia2	(文)
恿	iəŋ3	
悄	tɕʰiəu3	
悅	ye5	
悉	ɕi2	
悍	ɣan6	
悔	ɸei3	
悖	pei5	
悚	səŋ3	
悟	u6	
悠	iou1	
患	βẽ6	
悲	pei1	
悴	tsʰei5	
悵	tɕʰioŋ5	
悶	mian3	(白)
悶	miəŋ3	(文)
悶	uəŋ5	(白)
悼	dau6	
情	dʑiəŋ2	
惆	dʑiou2	
惋	uan3	
惑	xo2	
惕	tʰi5	
惚	ɸu2	
惜	ɕi2	
惟	uei2	
惠	βei6	
惡	o5	
惦	tĩ5	
惰	do6	
惱	nau3	
惲	yəŋ6	
想	ɕioŋ3	
惶	ɣoŋ2	
惹	ȵia3	
惺	ɕiəŋ3	假～～
愁	dzəu2	
愆	tɕʰĩ1	
愈	y6	
愉	y2	(又)
愉	y6	(又)
愎	pi5	
意	i5	
愚	y2	(又)
愚	y6	(又)
愛	ŋai5	
感	kan3	
愧	kʰuei5	
愴	tsʰoŋ5	
愷	kʰai3	
慈	dzɿ2	
慌	xoŋ1	
慎	ɕiəŋ5	
慘	tsʰan3	
慚	dzan2	
慟	tʰəŋ5	
慢	man6	
慣	kuan5	
慧	βei6	
慨	kʰai5	
慪	ŋəu5	～氣：生悶氣
慫	səŋ3	
慮	lei6	
慰	uei5	
慵	iəŋ1	
慶	tɕʰiəŋ5	
慷	kʰoŋ1	
憂	iou1	
憊	bei6	
憋	pie1	
憎	tsʰẽ5	
憐	lĩ2	(又)
憐	liəŋ2	(又)
憑	biəŋ2	
憚	dan6	
憤	ɸəŋ5	
憨	xan1	
憫	miəŋ3	
憬	tɕiəŋ3	
憲	ɕĩ5	
憶	i5	
憾	ɣan6	
懂	təŋ3	
懇	kʰĩ3	
應	iəŋ5	
懊	ŋau5	
懦	no6	
懲	tɕʰiəŋ3	
懵	məŋ3	
懶	lan3	
懷	βai2	(1)胸～；～念
懷	uai2	(2)現～：指孕婦腹部外凸，讓人看得出懷孕了
懸	ʑyẽ2	
懺	tsʰan5	
懼	dʑy6	
懿	i5	
戀	lĩ6	
戊	u6	
戍	ɕy5	
戎	iəŋ2	
成	pʰa2	
成	ʑian2	(白)(1)成功：箇甲事做～嗒(這件事做成了)；(3)姓
成	dʑiəŋ2	(文)(1)成功：箇甲事做～嗒(這件事做成了)；(2)～績；收～
我	ŋo3	
戒	kai5	
或	ɸe2	
戡	kʰan1	
戥	tẽ3	
戧	tsʰoŋ5	打樁以支持：打～，～壁頭
截	tɕʰie2	
戮	lou5	
戰	tɕĩ5	(白)
戰	tɕyẽ5	(文)
戲	tɕʰi5	(白)
戲	ɕi5	(文)
戳	tsʰo2	
戴	tai5	
戶	βu6	
戽	ɸu5	
戾	li5	
房	ɣoŋ2	
所	so3	
扁	pĩ3	
扇	ɕĩ5	(白)名詞：～子
扇	ɕyẽ5	(文)
扉	ɸei1	
手	ɕiou3	
才	dzai2	
扎	tsa2	
扒	ba2	
打	ta3	
托	tʰo2	
扠	tsʰa1	
扣	kʰəu5	
扦	tɕʰĩ1	(文)
扦	ɕĩ1	(白)
扭	ȵiou1	(又)
扭	ȵiou3	(又)
扮	pan1	
扮	pan5	～禾：打稻
扯	tɕʰia3	(白)
扯	tɕʰie3	(文)
扳	pan1	
扶	βu2	
批	pʰi1	
技	dʑi6	
抄	tsʰau1	
抉	tɕye2	
把	pa3	(1)～握，一～刀
把	pa5	(2)柄，刀～；花～子
抑	i5	
抒	ɕy1	
抓	tɕya1	(文)(1)動詞，～一把花生
抓	ya1	(白)(1)動詞，～一把花生
抓	tɕya3	(文)(2)動詞：～緊；量詞，一～花生
抓	ya3	(白)(2)動詞，～緊；名詞，一～花生
投	dəu2	
抖	təu3	
抗	kʰoŋ5	
折	tɕie2	
抨	pʰəŋ3	～擊
披	pʰi1	
抬	dai2	
抱	bau6	
抱	ɣoŋ6	(訓讀)他一上來就～嗒我个頸頸
抵	ti3	
抹	ma5	～布
抹	mo5	(文)
抻	tɕʰiəŋ1	伸直：把手～開
押	ŋa2	
押	ia2	(文)
抽	tɕʰiou1	
抿	miəŋ3	
拂	ɸu2	
拆	tsʰe2	
拈	ȵĩ1	
拉	la1	
拋	pʰau1	
拌	bẽ6	
拍	pʰa2	
拐	kuai3	女性生殖器
拒	dʑy6	
拓	tʰo2	～藍紙：複寫紙
拔	pʰa2	
拖	tʰo1	
拗	ŋau5	
拘	tɕy1	
拙	tɕye2	
拙	tso2	
拚	pʰẽ5	捨棄不顧：～命
招	tɕiəu1	
拜	pai5	
括	kua2	
拮	tɕie2	
拯	tɕiəŋ3	
拱	kəŋ3	
拳	dʑyẽ2	
拴	san1	
拷	kʰau3	
拼	pʰiəŋ1	
拾	ɕi5	
拿	lei1	(白)
拿	na2	(文)
指	tsɿ3	
按	ŋan1	
按	ŋan5	
挎	kʰua5	(文)
挑	tiəu1	(2)用針等將嵌入縫中或其它物體中的東西取出：把肉裏頭个竹籤子～出來
挑	tʰiəu1	(1)擔：～擔子
挖	ua1	(文)
挖	uai1	(白)
挨	ŋai1	(1)順着、靠近
挨	ŋai2	(2)遭受、拖延
挪	na2	(白)
挪	no2	(文)
挫	tsʰo3	
挬	po1	用棍子敲打
挬	po3	(又)用棍子敲打
振	tɕiəŋ5	
挹	i5	
挺	tʰian3	(白)
挺	tʰiəŋ3	(文)
挽	uan3	
挾	dʑie2	夾在腋窩下
捂	pʰa2	
捂	u3	
捅	tʰəŋ3	
捆	kʰuəŋ3	
捉	tso2	
捋	lo5	
捌	pa2	
捍	ɣan6	
捎	sau1	
捏	ȵie5	～造
捐	tɕyẽ1	
捕	pʰu1	
捧	pʰəŋ3	
捨	ɕia3	(白)～棄
捨	ɕie3	(文)
捩	lia3	東西的兩部分向兩邊分開，衣服～起，不像樣；歪斜，碗～咯嗒，湯流咯出來嗒
捩	lie5	扭傷：腳～嗒，不好走路；斜的、歪的：線畫～嗒
捷	tɕʰie2	
捺	na2	
捻	ȵĩ3	
掀	ɕĩ1	(白)
掀	ɕyẽ1	(文)
掂	tĩ5	
掃	sau3	(又)
掃	sau5	(又)
授	ʑiou6	
掉	tiəu5	
掌	tɕioŋ3	
掏	tʰau1	
掐	kʰa2	用指甲按
排	bai2	
掘	tɕye2	
掙	tsẽ1	(2)～扎
掙	dzan6	(1)用勞動換取：打工～錢
掛	kua5	
掠	lio5	(白)
掠	ȵio5	(文)
採	tsʰai3	
探	tʰan5	
接	tɕie2	
控	kʰəŋ5	
推	tʰei1	(又)
推	tsʰei1	(又)
掩	ĩ3	
措	tsʰo5	
掬	tɕy1	
掮	tɕĩ1	
掯	ɡĩ6	按、壓：～嗒牛去吃水
掰	pan1	
揀	tɕĩ3	
揀	kan3	
揄	y6	
揉	iou2	
揍	tsəu5	
揎	ɕyẽ1	打：～他一隻耳巴子
揎	ɕyẽ5	扔、丟：不要个東西～出去
揎	ɕyan5	(訓讀)扔、丟：箇個爛東西要～咯
揎	yan6	(訓讀)扔、丟：箇個爛東西要～咯
描	miəu2	
提	di2	(文)
提	tia2	(白)(又)
提	dia2	(白)(又)
插	tsʰa2	
揚	ioŋ2	
換	βẽ6	
揞	ĩ6	撒粉末狀或小顆粒狀物品：～糖放粑粑高頭
握	o5	
揩	kʰai1	(文)
揩	xai1	(白)(又)
揩	xai5	(白)(又)
揪	tɕiou1	
揪	dʑye2	(訓讀)他一把就～嗒她个頭髮
揭	tɕie2	
揮	ɸei1	
揲	tʰie5	整理好
援	yẽ2	
搊	tsʰəu1	～尿：給小孩把尿
損	səŋ3	
搏	po2	
搓	tsʰo1	
搔	sau1	
搖	ŋau2	(白)
搖	iəu2	(文)
搜	səu1	
搞	ɡau2	(2)你看他箇只～頭子：你看他這副折騰的樣子，帶有厭煩情緒
搞	kau3	(1)
搣	mie1	掰開、撕開，一分被～做兩半用；也喻指吝嗇：箇只人蠻～
搧	ɕĩ1	(白)
搧	ɕyẽ1	(文)
搨	da6	堆疊著放
搪	doŋ2	
搬	pẽ1	
搭	ta2	
搲	uan3	(訓讀)舀：～碗水
搵	uəŋ5	用東西捂住
搶	tɕʰioŋ3	
搽	dza2	
摁	ŋĩ3	
摑	ɡuai2	好生～你一餐：好生打你一頓
摔	sai3	
摘	tsa2	
摛	tsʰɿ1	
摜	kuẽ5	
摞	lo5	
摟	ləu3	
摧	tsʰei1	
摳	kʰəu1	
摶	dẽ2	
摸	mo1	(文)(又)
摸	ma3	(白)
摸	mo3	(文)(又)
摻	tsʰan1	
撂	liəu6	
撇	pʰie2	(1)筆畫「丿」
撇	pʰie3	(2)左～子
撈	lau2	
撈	lou5	(訓讀)～魚
撏	dʑĩ2	撕扯毛髮：～毛
撐	tsʰoŋ1	
撒	sa3	
撓	nau2	
撓	iəu3	
撕	sɿ1	
撞	tsʰoŋ3	
撣	dan2	
撤	tɕʰie2	
撥	po2	
撩	liəu1	(文)(又)
撩	lau2	(白)掀起：～開帳子
撩	liəu2	(文)(又)
撫	ɸu3	
撬	tsʰau5	(訓讀)從物體的底部往上撬：把箇塊泥～起翻過來
撬	tɕʰiəu5	
播	po3	(2)廣～
播	po5	(3)～種；廣～
撮	tsou1	
撮	tsʰo2	
撰	dʑyẽ6	
撲	pʰu2	(1)～面
撲	pʰo3	(2)～克
撳	tɕʰiəŋ3	按：～緊
撻	tʰa2	
撼	xan5	(又)
撼	ɣan6	(又)
撿	tɕĩ3	
擀	kan3	
擁	iəŋ3	
擂	lei2	
擄	lou3	
擅	ʑĩ6	(白)
擅	ʑyẽ6	(文)
擇	tsʰe2	
擊	tɕi2	
擋	toŋ3	
操	tsʰau1	
擎	dʑiəŋ2	
擒	dʑiəŋ2	
擓	kʰuai3	挎、挽：～隻籃子
擔	tan1	(1)動詞，挑
擔	tan5	(2)名詞、量詞
據	tɕy5	
擠	tɕi3	
擢	tɕio2	
擤	səŋ5	按住鼻孔用力出氣使鼻涕排出：～鼻涕
擦	tsʰa2	
擯	piəŋ3	
擰	ȵiəŋ2	
擲	tsɿ5	
擴	kʰo2	
擸	la5	將衣袖或褲管挽起
擺	pai3	
擻	səu3	
攀	pʰan1	
攆	ȵĩ3	
攏	ləŋ3	靠～
攔	lan2	
攘	ȵioŋ6	(又)
攘	ioŋ6	(又)
攙	tsʰan1	
攛	tsʰẽ1	
攢	tsan3	(1)～勁：趕緊
攣	lẽ2	
攣	lẽ2	蜷曲不能伸食：痙～
攤	tʰan1	
攪	kau3	(白)
攪	tɕiəu3	(文)
攫	tɕye2	
攬	lan3	
支	tsɿ1	
收	ɕiou1	
改	kai3	
攻	kəŋ1	
放	xoŋ5	
政	tɕiəŋ5	
故	ku5	
效	ʑiəu6	
敏	miəŋ3	
救	tɕiou5	
敕	tsʰɿ5	
敖	ŋau2	
敗	bai6	
敘	dʑi6	
教	kau5	(白)
教	tɕiəu5	(文)
敝	pi5	
敞	tɕʰioŋ3	
敢	kan3	
散	san3	(又)
散	san5	(又)
敦	təŋ1	
敬	tɕiəŋ5	
敲	kʰau1	(白)
敲	tɕʰiəu1	(文)推～
整	kĩ3	(訓讀)整數，無零頭：～數
整	tɕian3	(白)
整	tɕiəŋ3	(文)
敵	ti2	
敷	ɸu1	
數	sou3	(1)動詞，～星星
數	sou5	(2)名詞，～量
斂	lĩ3	
斃	pi5	
文	uəŋ2	
斌	piəŋ1	
斑	pan1	
斕	lan2	
斗	təu3	量具，折合十升
料	liəu6	
斜	dʑia2	
斟	tɕiəŋ1	
斢	tʰiəu3	兌換：～谷種
斤	tɕiəŋ1	
斧	ɸu3	
斫	tɕio5	
斬	tsan3	
斯	sɿ1	
新	ɕiəŋ1	
斷	tẽ5	(又)
斷	dẽ6	(又)
方	xoŋ1	
於	y2	
施	sɿ1	
旁	boŋ2	
旅	li3	
旋	ʑyẽ2	(文)
旌	tɕiəŋ1	
族	tsʰou2	
既	tɕi5	
日	ȵi5	
旦	tan5	
旨	tsɿ3	
早	tsau3	
旬	dzəŋ2	
旯	la5	旮～
旱	ɣan6	
旺	oŋ6	
昂	ŋo2	
昆	kʰuəŋ1	
昇	ɕiəŋ1	
昌	tɕʰioŋ1	
明	mian2	(白)
明	miəŋ2	(文)
昏	ɸəŋ1	(文)
昏	kʰuəŋ1	(白)
易	i5	(2)交～；(3)姓
易	i6	(1)容～
昔	kan1	
昔	ɕi2	
星	ɕian1	(白)
星	ɕiəŋ1	(文)
映	iəŋ5	
春	tɕʰyəŋ1	
昧	mei6	
昨	tsʰo5	
昭	tɕiəu1	
是	zɿ6	
昴	mau3	
晁	dʑiəu2	
時	zɿ2	
晃	xoŋ5	
晉	tɕiəŋ5	
晌	ɕioŋ3	
晏	ŋan5	遲、晚：～咯一點鐘嗒
晚	man3	(白)最小的：～崽；～～：叔叔
晚	uan3	(文)
晝	tɕiou5	
晞	ɕi1	
晤	u6	
晦	ɸei5	
晨	ʑiəŋ2	
普	pʰu3	
景	tɕiəŋ3	
晰	ɕi2	
晴	dʑian2	(白)
晴	dʑiəŋ2	(文)
晶	tɕiəŋ1	
晷	kuei3	
智	tsɿ5	(文)
智	tɕi5	(白)
晾	lioŋ2	(又)
晾	lian6	(訓讀)擱置一旁不管
晾	lioŋ6	(又)
暄	ɕyẽ1	
暇	ʑia2	
暈	yəŋ1	
暉	ɸei1	
暑	ɕy3	
暖	nẽ3	
暗	ŋan5	
暝	miəŋ2	
暢	tɕʰioŋ5	
暫	dzan6	
暮	mo6	
暴	bau6	
曆	li5	
曇	dan2	
曉	ɕiəu3	
曖	ŋai5	
曙	ɕy3	
曝	bau6	
曠	kʰoŋ5	
曦	ɕi1	
曨	ləŋ2	
曬	sai5	
曲	tɕʰiou2	
更	kĩ1	(2)三～半夜
更	kĩ5	(1)～加
書	ɕy1	
曹	dzau2	
曼	man6	
曾	tsẽ1	(2)姓
曾	dzẽ2	(1)～經；～孫
替	tʰi5	
最	tsei5	
會	kʰuai5	(2)～計
會	βei6	(1)～議；～合
月	ye5	
有	iou3	
朋	bəŋ2	
服	ɸu2	
朗	loŋ3	
望	moŋ5	(白)
望	oŋ6	(文)
朝	tɕiəu1	(2)早上，～陽
朝	dʑiəu2	(1)～南；～拜
期	dʑi2	
朦	məŋ2	
朧	ləŋ2	
未	uei6	
末	me5	(2)粉末：～藥、椿～子
末	mo5	(文)
本	piəŋ3	
札	tsa2	
朱	tɕy1	
朵	to3	
朽	ɕiou3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	ʑyẽ6	
材	dzai2	
村	tsʰəŋ1	
杖	dʑioŋ6	
杜	dou6	
束	tɕʰiou2	
杭	ɣoŋ2	
杯	pei1	
東	təŋ1	
杳	ȵiəu3	
杷	pa1	
杷	ba2	枇～
松	səŋ1	馬尾～
板	pan3	
枇	pʰie3	
枉	oŋ6	
析	ɕi2	
枕	tɕiəŋ3	
林	liəŋ2	
枚	mei2	
果	ko3	
枝	tsɿ1	
枯	kʰu1	
架	ka5	(白)
架	tɕia5	(文)
枷	ka1	
枷	tɕia1	(文)
枸	kəu3	
柄	piəŋ3	
柏	pe2	
某	məu3	
柑	kan1	
染	ȵĩ3	
柔	iou2	
柚	iou5	
柢	ti3	
查	dza2	
柩	tɕiou5	
柬	kan3	
柱	dʑy6	
柳	liou3	
柴	dzai2	
柵	dza6	
柿	zɿ6	
栓	san1	
栗	li1	(白)(1)板～
栗	li2	(2)～弓tsai55①：栗鑿
栗	li5	(文)(1)板～
校	tɕiəu5	(2)(又)～對
校	ʑiəu6	(1)學～；(2)～對
株	tɕy1	
核	xe2	
根	kĩ1	
格	ke2	
栽	tsai1	
桁	ɣoŋ2	檁：～條
桂	kuei5	
桃	dau2	
桅	kʰuei2	(白)
桅	uei2	(文)
框	kʰuan1	
案	ŋan5	
桌	tso2	
桎	tsɿ5	
桐	dəŋ2	
桑	soŋ1	
桓	βan2	
桶	tʰəŋ3	
桿	kan3	
梁	lioŋ2	
梃	tʰian1	床～，床兩頭可以靠背的直立的木條
梅	mei2	
梆	poŋ1	
梏	ku5	
梓	tsɿ3	
梗	kĩ3	
條	diəu2	
梟	ɕiəu1	
梢	sau1	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi5	
械	kai5	
梳	sou1	
梵	βan6	
梽	tsɿ5	
棄	tɕʰi5	
棉	mie2	(白)
棉	mĩ2	(文)
棋	dʑi2	
棍	kuəŋ5	
棒	poŋ3	(1)冰～
棒	kuəŋ5	(2)玉米～子
棓	bei6	
棕	tsəŋ1	
棗	tsau3	
棚	bəŋ2	
棟	li5	
棟	təŋ5	
棠	doŋ2	
棧	dzan6	
森	sẽ1	
棲	tɕʰi1	
棵	kʰo3	
棺	kuẽ1	
植	tɕʰi5	
椏	ŋa1	樹～子：樹杈裏
椒	tɕiəu1	
椪	pʰəŋ5	～柑
椰	ia3	(白)
椽	ʑyẽ2	(白)房檁上架瓦的木條
椽	yẽ2	(文)房檁上架瓦的木條
椿	tɕʰyəŋ1	
椿	tsoŋ1	
楂	tsa1	
楊	ioŋ2	
楓	ɸəŋ1	
楚	tsʰou3	
楠	nan2	
楦	ɕyẽ5	(又)～頭：將新鞋撐大的木製模型
楦	ɕyəŋ5	(又)～頭：塞在新做的鞋裏，便其定型
業	ȵie5	
極	tɕʰi2	
楷	kʰai3	
楹	iəŋ2	
概	kʰai5	
榆	y2	
榔	loŋ2	
榕	iəŋ2	
榜	poŋ3	
榨	tsa5	
榫	səŋ3	
榮	yəŋ2	
榴	liou3	(又)
榴	liou6	(又)
榻	tʰa5	
槁	kau3	
槃	bẽ2	
構	kəu5	
槌	dʑy2	(白)
槍	tɕʰioŋ1	
槐	βai2	
槓	koŋ5	
槳	tɕioŋ3	
槽	dzau2	
槿	tɕiəŋ3	
樁	tsoŋ1	
樂	lo5	(1)快～；音～
樂	io5	(2)音～
樅	dzəŋ2	～樹
樊	βan2	
樓	ləu2	
標	piəu1	(文)
標	pʰiəu1	(白)
樞	ɕy1	
樟	tɕioŋ1	
模	mo2	
樣	ioŋ6	
樨	ɕi1	
樵	dʑiəu2	
樸	pʰu2	
樹	ʑy6	
樺	βa2	
橄	kan3	
橋	dʑiəu2	
橘	dʑy2	
橙	dʑiəŋ2	
機	tɕi1	
橡	ɕioŋ5	
橫	βəŋ2	
檀	dan2	
檄	ɕi2	
檑	lei2	
檔	toŋ5	
檢	tɕĩ3	
檣	dʑioŋ2	
檬	məŋ2	
檳	piəŋ1	
檸	ȵiəŋ2	
檻	kʰan3	
櫃	ɡuei6	
櫓	lou3	
櫚	lei3	
櫥	dʑy2	
櫳	ləŋ2	
櫸	tɕy3	
櫻	iəŋ1	
欄	lan2	
權	dʑyẽ2	
欒	lẽ2	
欖	lan3	
欠	tɕʰĩ5	
次	tsʰɿ5	
欣	ɕiəŋ1	
欲	iou5	
欷	ɕi1	
欸	ei3	表應諾
欺	tɕʰi1	
欽	tɕʰiəŋ1	
款	kʰuẽ3	
歇	ɕie2	
歉	tɕʰĩ5	
歌	ko1	
歐	ŋəu1	
歡	ɸẽ1	
止	tsɿ3	
正	tɕiəŋ1	(2)～月
正	tɕiəŋ5	(1)～路；～直
此	tsʰɿ3	
步	bu6	
武	u3	
歪	uai3	
歲	sei5	
歷	li5	
歸	kuei1	
歹	tai3	
死	sɿ3	
殃	ioŋ1	
殄	tʰĩ3	
殆	dai6	
殉	ɕyəŋ5	
殊	ʑy2	
殘	dzan2	
殞	yəŋ3	
殫	tan1	
殮	tɕĩ3	
殯	piəŋ5	
殲	tɕʰĩ1	
段	dẽ6	
殷	iəŋ1	
殺	sa2	
殼	kʰo2	
殿	dĩ6	
毀	ɸei3	
毃	kʰo1	用中指或食指彎曲起來打人頭頂，疑爲敲
毅	ȵi6	
毆	ŋəu1	
每	mei3	
毒	tʰou5	
比	pi3	
毖	pi5	
毛	mau2	
毫	ɣau2	
毯	tʰan3	
氈	tɕĩ1	(白)
氈	tɕyẽ1	(文)
氏	zɿ6	
氐	ti3	
民	miəŋ2	
氓	moŋ2	
氖	nai3	
氛	ɸəŋ1	
氟	ɸu2	
氣	tɕʰi5	
氧	ioŋ3	
氨	ŋan1	
氫	tɕʰiəŋ1	
氮	dan6	
氳	yəŋ1	
水	ɕy3	
水	sei3	(文)
永	yəŋ3	
汁	tɕi2	
求	dʑiou2	
汆	tsʰẽ1	
汐	ɕi2	
汕	san5	
汗	βẽ6	(白)
汗	ɣan6	(文)
汛	ɕiəŋ5	
汞	kəŋ3	
江	tɕioŋ1	
池	dʑi2	
污	u1	
汨	mi5	
汩	ku3	
汪	oŋ1	
汰	tʰai5	
汴	bĩ6	
決	tɕye2	
汽	tɕʰi5	
沁	tɕʰiəŋ5	
沂	i2	
沅	yẽ2	
沈	ɕiəŋ3	
沉	diəŋ2	(白)
沉	dʑiəŋ2	(文)沉着
沒	me5	沉～
沓	tʰa5	
沖	tsʰəŋ1	
沙	sa1	
沛	pʰei5	
沫	mo5	
河	ɣo2	
沸	ɸei5	(又)
油	iou2	
治	dʑi6	
沼	tɕiəu1	
沾	tɕĩ1	(白)
沾	tian1	(文)
沿	yẽ2	
況	kʰoŋ5	
泅	dʑiou2	
泉	dʑĩ2	
泊	pʰa2	
泌	mi5	
法	ɸa2	
泛	ɸan5	
泡	pʰau1	
泡	pʰau5	(2)～菜
波	po1	
泥	ȵi2	
注	tɕy5	
泰	tʰai5	
泱	ioŋ1	
泳	yəŋ6	
泵	pəŋ5	
洄	βei2	
洋	ioŋ2	
洌	lie5	
洗	ɕi3	
洛	lo5	
洞	dəŋ6	
津	tɕiəŋ1	
洩	ɕie5	
洪	ɣəŋ2	
洲	tɕiou1	
洶	ɕiəŋ1	
活	ɸe5	(白)與死相對，～泥鰍
活	xo5	(文)
洽	tɕʰia2	
派	pʰai5	(文)
派	pʰan5	(白)
浙	tɕie2	
浜	poŋ1	沙家～
浦	pʰu3	
浩	ɣau6	
浪	loŋ6	
浮	βu2	(文)
浮	bau2	(白)
浴	iou5	
海	xai3	
浸	tɕiəŋ5	
消	ɕiəu1	
涉	ɕia2	(白)
涉	ɕie2	(文)
涓	tɕyẽ1	
涕	tʰi5	
涮	san5	漱洗：～瓶子，～口
涯	ŋa2	
涵	βẽ2	(白)～心：心臟
涵	ɣan2	(文)～洞
涼	lioŋ2	
淀	diəŋ6	
淆	ɕiəu3	
淋	liəŋ2	
淋	dzai6	(訓讀)～雨：淋雨
淌	tʰoŋ3	
淑	ɕiou2	
淒	tɕʰi1	
淘	dau2	
淙	dzəŋ2	
淚	lei6	
淝	βei2	
淞	səŋ1	
淡	dan6	
淤	y1	
淦	kan5	
淨	dʑiəŋ6	
淪	ləŋ2	
淫	iəŋ2	
淬	tsʰei5	
淮	βai2	
深	ɕiəŋ1	
