#漢字	音標	解釋
□	tʃʰua/tɕʰya5	恶
愧	kʰuɘi5	
願	ʑiᴇ̃5	
慈	tsʰɿᶟ2	
慌	xuᴀᵑ1	
慕	mo5	
慢	mᴀᵑ5	
慧	xuɘi5	
慰	uɘi5	
慷	kʰᴀᵑ3	
憎	tsɘ̃ɲ1	
憨	xᴀᵑ1	
懂	toŋ3	
懊	ɣɑ5	
懶	lᴀᵑ3	
懵	moŋ3	
戍	sʉ2	
戍	vʉ5	
戎	zoŋ2	
戲	ɕi5	
成	tsʰɘ̃ɲ2	
我	ɣo3	
戒	ka5	
或	xuɘi2	
戰	tsᴀᵑ5	
戥	tɘ̃ɲ3	~子
截	tɕi2	
戳	to2	
戴	ta5	
戶	xʉ5	
房	fᴀᵑ2	
所	so3	
扁	piᴇ̃3	
扇	sᴀᵑ5	
手	sɜɤ3	
才	tsʰa2	
扎	tsɒ2	
扑	pʰʉ2	
扒	pʰɒ2	~手
扒	pɒ1	用手~
打	tɒ3	
打	tɒ2	一~
打	tɪ̃ɲ5	白
扔	zɘ̃ɲ1	
托	tʰo2	
扚	ti2	~头发
扛	kʰᴀᵑ2	
扣	kʰɜɤ5	
捫	mɘ̃ɲ2	
掃	sɑ3	~地
掃	sɑ5	~帚
揚	ʑiᴀᵑ2	
扭	niɜɤ3	
扮	pᴀᵑ5	
扯	tsʰɘi3	
擾	zɑ3	
扳	pᴀᵑ1	
扶	fʉ2	
批	pʰi1	
扼	ɣɘi2	
找	tsɑ3	
承	sɘ̃ɲ2	
技	tɕi5	
抄	tsʰɑ1	
把	pɒ3	一~刀
把	pɘi3	介词:~门关好
把	pɒ5	刀~
抓	tʃuɒ/tɕyɒ1	
投	tʰɜɤ2	
抖	tɜɤ3	
抗	kʰᴀᵑ5	
撫	fʉ3	
拋	pʰɑ1	
摳	kʰɜɤ1	
摳	ɣɜɤ1	~黄鳝
搶	tɕʰiᴀᵑ3	
護	xʉ5	
報	pɑ5	
披	pʰi1	
抬	tʰa2	
抱	pɑ5	
抵	ti3	
抹	mo3	
抹	mɒ2	~布
抻	tsʰɘ̃ɲ1	
押	ʑiɒ2	
抽	tsʰɜɤ1	
抿	mɪ̃ɲ3	
拂	fʉ2	
拃	tsɒ3	一~长
拄	tsʉ5	
拄	tsʰʉ3	~拐棍
擔	tᴀᵑ1	~心
擔	tᴀᵑ5	一~水
拆	tsʰɘi2	
拇	mʉ3	
拈	niᴇ̃1	~起来
拉	lɒ1	
拌	pᴀᵑ5	
拍	pʰɘi2	
拎	lɪ̃ɲ1	
拐	kua3	说~了
拒	tɕi5	
拓	tʰo2	
拔	pɒ2	
拖	tʰo1	
拗	niɜɤ5	
拘	tɕi1	
招	tsɑ1	
拜	pa1	
拜	pa5	
攏	loŋ3	
揀	tɕiᴇ̃3	
拤	kʰɒ1	
擁	ʑioŋ3	
攔	lᴀᵑ2	
撥	po2	
擇	tsʰɘi2	
括	kuɒ2	
拯	tsɘ̃ɲ3	
拱	koŋ3	
拳	tɕʰiᴇ̃2	
拴	ʃuɘ̃ɲ/ɕyɘ̃ɲ1	
拼	pʰɪ̃ɲ1	
拽	tʃua/tɕya3	
拾	sɿᶟ2	
拿	nɒ2	
持	tsʰɿᶟ2	
指	tsɿᶟ3	
按	ɣᴀᵑ5	
挑	tʰiɑ1	
挖	uɒ1	
挖	uɒ2	打人
掗	ʑiɒ1	~饭
挾	tɕiɒ2	
擋	tᴀᵑ3	
掙	tsɘ̃ɲ5	
擠	tɕi3	
擠	tɕi5	
揮	xuɘi1	
挨	ɣa1	
挪	no2	
振	tsɘ̃ɲ5	
挺	tʰɪ̃ɲ3	
挽	vᴀᵑ3	
捅	tʰoŋ3	
捆	kʰoŋ3	
捉	tsʉ2	~猫~人
捎	sɑ1	
捏	ni2	
捐	tɕiᴇ̃1	
捕	pʉ3	
撈	lɑ1	
撈	lɑ2	打~
損	soŋ3	
換	xuɘ̃ɲ5	
捧	pʰoŋ3	
捨	sɘi3	
捱	ɣa2	
捲	tɕiᴇ̃3	
捷	tɕi2	
捺	nɒ5	
掀	ɕiᴇ̃1	
掂	tiᴇ̃1	
授	sɜɤ5	
掉	tiɑ5	
掌	tsᴀᵑ3	
掏	tʰɑ1	
掐	tɕʰiɒ2	
掐	tɕʰiɒ1	~脖子
排	pʰa2	
掛	kuɒ5	
掠	lio2	
採	tsʰa3	
探	tʰᴀᵑ5	
接	tɕi2	
控	kʰoŋ5	
推	tʰuɘi1	
掩	ʑiᴇ̃3	
措	tsʰo5	
掭	tʰiᴇ̃5	
擄	lʉ3	~松毛
摑	kuɒ2	
撣	tᴀᵑ3	
摜	kuɘ̃ɲ5	
揉	zɜɤ2	
描	miɑ2	
提	tʰi2	
插	tsʰɒ2	
揖	ʑi2	作~
揞	ɣᴀᵑ5	
握	ɣo2	
揣	tʃʰua/tɕʰya1	~进去
揣	tʃʰua/tɕʰya3	~摸
揩	kʰa1	~干净
揪	tɕiɜɤ1	
揭	tɕi2	
攙	tsʰᴀᵑ1	
擱	ko2	
摟	lɜɤ3	
攪	tɕiɑ3	
搊	tsʰɜɤ1	~上去
搌	tsᴀᵑ3	
搓	tsʰo1	
搛	tɕiᴇ̃1	
搜	sɜɤ1	
搞	kɑ3	
搡	sᴀᵑ3	
搧	sᴀᵑ1	
搬	pᴀᵑ1	
搭	tɒ2	
搲	uɒ3	
携	ɕi1	
搽	tsʰɒ2	
摆	pa3	
搖	ʑiɑ2	
攤	tʰᴀᵑ1	
摘	tsɘi2	
摞	no5	
摧	tʃʰuɘi/tɕʰyɘi1	
摩	mo1	~登
摸	mo1	
撇	pʰi3	~开
撇	pʰi2	一~一捺
撑	tsʰɘ̃ɲ1	
撒	sɒ2	~尿
撒	sɒ5	~谷壳
撕	sɿᶟ1	
撚	niᴇ̃3	以指~碎
撞	tʃʰuᴀᵑ/tɕʰyᴀᵑ3	
撬	tɕʰiɑ5	
播	po5	
撮	tso2	
撮	tsʰo2	
攆	niᴇ̃3	
擼	lʉ1	
擀	kᴀᵑ3	~面
擂	luɘi2	
操	tsʰɑ1	
擤	sɪ̃ɲ3	~鼻子
擦	tsʰɒ2	
擩	zʉ1	
攀	pʰᴀᵑ1	
攀	pʰᴀᵑ5	
攢	tsᴀᵑ3	
攘	nᴀᵑ3	
攮	nᴀᵑ3	
支	tsɿᶟ1	
收	sɜɤ1	
改	ka3	
攻	koŋ1	
政	tsɘ̃ɲ5	
故	kʉ5	
效	ɕiɑ5	
敵	ti2	
敏	mɪ̃ɲ3	
救	tɕiɜɤ5	
敎	tɕiɑ1	~书
敎	tɕiɑ5	~育
敢	kᴀᵑ3	
散	sᴀᵑ3	~乱
散	sᴀᵑ5	解~
敦	toŋ1	
敬	tsɪ̃ɲ5	
數	sʉ3	~一~
數	sʉ5	~目
敲	kʰɑ1	
整	tsɘ̃ɲ3	
敷	fʉ1	
文	vɘ̃ɲ2	
斋	tsa1	
斌	pɪ̃ɲ1	
斑	pᴀᵑ1	
斗	tɜɤ5	~争
斗	tɜɤ3	一~米
料	liɑ5	
斜	ɕi2	
斟	tsɘ̃ɲ1	
斧	fʉ3	
斬	tsᴀᵑ3	
斷	tuɘ̃ɲ3	~车
斷	tuɘ̃ɲ5	折~
斯	sɿᶟ1	
新	sɪ̃ɲ1	
方	fᴀᵑ1	
於	ʑi2	
施	sɿᶟ1	
旁	pʰᴀᵑ2	
旅	li3	
旋	ɕiᴇ̃2	
族	tsʰʉ2	
日	zɿᶟ2	
旦	tᴀᵑ5	
舊	tɕiɜɤ5	
旨	tsɿᶟ3	
早	tsɑ3	
旬	sɪ̃ɲ2	
旭	sʉ2	
旱	xᴀᵑ5	
時	sɿᶟ2	
曠	kʰuᴀᵑ5	
旺	uᴀᵑ5	
昂	ɣᴀᵑ2	
昆	kʰoŋ1	
昌	tsʰᴀᵑ1	
明	mɪ̃ɲ2	
明	mɘ̃ɲ2	~日
昏	xoŋ1	
易	ʑi5	
昔	ɕi2	
昝	tsᴀᵑ3	
星	sɪ̃ɲ1	
映	zɪ̃ɲ5	
春	tsʰoŋ1	
昧	mɘi5	
昨	tso2	
昭	tsɑ1	
是	sɿᶟ5	
晝	tsɜɤ5	
顯	ɕiᴇ̃3	
晃	xuᴀᵑ5	
晉	tsɪ̃ɲ5	
晌	sᴀᵑ3	
晏	ɣᴀᵑ5	
曬	sa5	
曉	ɕiɑ3	
暈	zɪ̃ɲ5	
晚	vᴀᵑ3	
晦	xuɘi5	灾星~气
晨	sɘ̃ɲ2	
普	pʰʉ3	
景	tsɪ̃ɲ3	
晶	tsɪ̃ɲ1	
晾	lᴀᵑ5	~衣裳
暫	tsᴀᵑ5	
暄	ɕiᴇ̃1	
暑	tsʰʉ3	
暖	nuɘ̃ɲ3	
暴	pɑ5	
曰	ʑi1	
曲	tsʰʉ2	
更	kɘ̃ɲ5	~好
更	kɘ̃ɲ1	打~
曷	kɘi3	~去?
曹	tsʰɑ2	
曼	mᴀᵑ5	
曾	tsʰɘ̃ɲ2	~经
曾	tsɘ̃ɲ1	姓
替	tʰi5	
月	ʑi2	
有	ʑiɜɤ3	
朋	pʰoŋ2	
服	fʉ2	
朒	kɒ3	
朔	so2	初一
朗	lᴀᵑ3	
望	vᴀᵑ5	
朝	tsʰɑ2	~代
朝	tsɑ1	今~
期	tɕʰi2	~末
木	mʉ2	
未	vɘi5	
末	mo2	
本	pɘ̃ɲ3	
术	sʉ2	~手
术	tsʉ2	白~
朱	tsʉ1	
朴	pʰʉ2	
朵	to3	
機	tɕi1	
朽	ɕiɜɤ3	
殺	sɒ2	
雜	tsɒ2	
權	tɕʰiᴇ̃2	
杆	kᴀᵑ3	
杈	tsʰɒ1	
杉	sɒ1	~树，~木
杌	vʉ2	马~
李	li3	
材	tsʰa2	
村	tsʰoŋ1	
杖	tsᴀᵑ5	
杜	tʉ5	
束	sʉ2	
杠	kᴀᵑ5	
條	tʰiɑ2	
來	la2	
楊	ʑiᴀᵑ2	
杭	xᴀᵑ2	
杯	pɘi1	
杰	tɕi2	
杵	tsʰʉ3	
杷	pʰɒ1	
松	soŋ1	
板	pᴀᵑ3	
構	kɜɤ5	
枇	pʰi2	
枉	uᴀᵑ3	
析	ɕi2	
枕	tsɘ̃ɲ3	
林	lɪ̃ɲ2	
果	ko3	
枝	tsɿᶟ1	
棗	tsɑ3	
槍	tɕʰiᴀᵑ1	
楓	foŋ1	
枯	kʰʉ1	
架	tɕiɒ5	
柄	pɪ̃ɲ3	
柏	pɘi2	
某	mɜɤ3	
柑	kᴀᵑ1	
染	zᴀᵑ3	
柔	zɜɤ2	
柚	ʑiɜɤ5	
櫃	kuɘi5	
査	tsʰɒ2	
柩	tɕiɜɤ5	
柬	tɕiᴇ̃3	
柳	liɜɤ3	
柴	tsʰa2	
柺	kua3	
柿	sɿᶟ5	
梔	tsɿᶟ1	
標	piɑ1	
棧	tsᴀᵑ5	
棟	toŋ5	
棟	liᴇ̃5	苦~子
欄	lᴀᵑ2	
樹	sʉ5	
栓	ʃuɘ̃ɲ/ɕyɘ̃ɲ1	
栖	ɕi1	
栗	li2	
栗	sʉ2	
校	ɕiɑ5	学~，~对
樣	ʑiᴀᵑ5	
核	xɘi2	~对
核	xʉ2	果子~
根	kɘ̃ɲ1	
格	kɘi2	
栽	tsa1	
欒	luɘ̃ɲ2	
桂	kuɘi5	
桃	tʰɑ2	
案	ɣᴀᵑ5	
桌	tso2	
桐	tʰoŋ2	
桑	sᴀᵑ1	
椏	ʑiɒ1	
橋	tɕʰiɑ2	
樺	xuɒ2	
槳	tɕiᴀᵑ3	
桶	tʰoŋ3	
梁	liᴀᵑ2	
梅	mɘi2	
梗	kɘ̃ɲ3	
夢	moŋ5	
梨	li2	
梭	so1	
梯	tʰi1	
械	ka5	
梳	sʉ1	
檢	tɕiᴇ̃3	
棉	miᴇ̃2	
棋	tɕʰi2	
棍	koŋ5	
棒	pᴀᵑ5	
棕	tsoŋ1	
棚	pʰoŋ2	
棠	tʰᴀᵑ2	
森	sɘ̃ɲ1	
棱	lɘ̃ɲ2	
棵	kʰo1	
棺	kuɘ̃ɲ1	
椅	ʑi3	
植	tsɿᶟ2	
椒	tɕiɑ1	
欏	lo2	
橢	tʰo3	
椽	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ2	
椿	tsʰoŋ1	
楂	tsɒ1	
楔	ɕi2	
楚	tsʰʉ3	
楷	kʰa3	
樓	lɜɤ2	
概	kʰa5	
欖	lᴀᵑ3	
榜	pᴀᵑ3	
榨	tsɒ5	
榫	soŋ3	
榴	liɜɤ5	石~
槐	xua2	
槽	tsʰɑ2	
模	mʉ2	
模	mo2	~范
橫	xoŋ2	
櫻	zɪ̃ɲ1	
橄	kᴀᵑ3	
橘	tɕi2	
櫓	lʉ3	
檀	tʰᴀᵑ2	
檐	ʑiᴇ̃2	
檁	lɪ̃ɲ3	
檬	moŋ2	
欠	tɕʰiᴇ̃5	
次	tsʰɿᶟ5	
歡	xuɘ̃ɲ1	
欣	sɪ̃ɲ1	
歐	ɣɜɤ1	
欲	zʉ2	
欺	tɕʰi1	
款	kʰuɘ̃ɲ3	
歇	ɕi2	
歉	tɕʰiᴇ̃5	
歌	ko1	
止	tsɿᶟ3	
正	tsɘ̃ɲ1	~月
正	tsɘ̃ɲ5	~副
此	tsʰɿᶟ1	
此	tsʰɿᶟ3	
步	pʉ5	
武	vʉ3	
歧	tɕʰi2	
歪	ua1	
歹	ta3	
死	sɿᶟ3	
殲	tɕʰiᴇ̃1	
殃	ʑiᴀᵑ1	
殊	sʉ1	
殘	tsʰᴀᵑ2	
殮	liᴇ̃5	
殯	pɪ̃ɲ1	
段	tuɘ̃ɲ5	
殷	zɪ̃ɲ1	
殿	tiᴇ̃5	
毀	xuɘi3	
毅	ʑi5	
母	mʉ3	
每	mɘi3	
毒	tʉ2	
比	pi3	
畢	pi2	
斃	pi5	
毛	mɑ2	
毛	mɑ1	~驴
毡	tsᴀᵑ1	
毫	xɑ2	
毯	tʰᴀᵑ3	
氏	sɿᶟ5	
民	mɪ̃ɲ2	
气	tɕʰi2	
气	tɕʰi5	
氛	fɘ̃ɲ1	
水	ʃuɘi/ɕyɘi3	
永	ʑioŋ3	
氽	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ1	
汀	tʰɪ̃ɲ1	
汁	tsɿᶟ2	
求	tɕʰiɜɤ2	
汇	xuɘi5	
漢	xᴀᵑ5	
汗	xᴀᵑ5	
汝	zʉ3	
汞	koŋ3	
江	tɕiᴀᵑ1	
池	tsʰɿᶟ2	
污	vʉ1	
湯	tʰᴀᵑ1	
汪	uᴀᵑ1	
汽	tɕʰi5	
沉	tsʰɘ̃ɲ2	
沌	toŋ5	混~
沙	sɒ1	
沛	pʰɘi5	
溝	kɜɤ1	
沒	mʉ2	文
沒	mi2	白
漚	ɣɜɤ5	
滬	xʉ5	
沫	mo2	
沰	to2	雨淋
河	xo2	
油	ʑiɜɤ2	
治	tsɿᶟ5	
沾	tsᴀᵑ1	
沿	ʑiᴇ̃2	
泄	ɕi5	
泅	tɕʰiɜɤ2	
泉	tɕʰiᴇ̃2	
泔	kᴀᵑ1	
法	fɒ2	
泛	fᴀᵑ5	
泡	pʰɑ5	~在水里
泡	pʰɑ1	松~
波	po1	
泥	ni2	
注	tsʉ5	
淚	luɘi5	
泰	tʰa5	
泳	zɪ̃ɲ5	
泵	poŋ5	
瀉	ɕi5	
潑	pʰo2	
澤	tsʰɘi2	
潔	tɕi2	
洇	zɪ̃ɲ1	纸~
洋	ʑiᴀᵑ2	
洒	sɒ3	
洗	ɕi3	
洛	lo2	
洞	toŋ5	
津	tsɪ̃ɲ1	
洪	xoŋ2	
洲	tsɜɤ1	
活	xo2	
洽	tɕʰiɒ2	
派	pʰa5	
流	liɜɤ2	
淺	tɕʰiᴇ̃3	
漿	tɕiᴀᵑ1	
澆	tɕiɑ1	
濁	tsʉ2	
渾	xoŋ2	
滸	xʉ3	
濃	noŋ2	
浦	pʰʉ3	
浪	lᴀᵑ5	
浮	fɜɤ2	
浴	zʉ2	
海	xa3	
浸	tsɪ̃ɲ1	
涂	tʰʉ2	
消	ɕiɑ1	
涕	tʰi5	
濤	tʰɑ2	
澇	lɑ5	
潤	zoŋ5	
漲	tsᴀᵑ3	
涮	ʃuɘ̃ɲ/ɕyɘ̃ɲ5	
淋	lɪ̃ɲ2	
淑	sʉ2	
淘	tʰɑ2	
淡	tᴀᵑ5	
淫	zɪ̃ɲ2	
淮	xua2	
深	sɘ̃ɲ1	
混	xoŋ5	
淹	ʑiᴇ̃1	
添	tʰiᴇ̃1	
淸	tsʰɪ̃ɲ1	
淵	ʑiᴇ̃1	
漸	tɕiᴇ̃5	
漁	ʑi2	
渝	ʑi2	
渠	tɕʰi2	
渡	tʉ5	
渣	tsɒ1	
渤	pʰʉ2	
溫	ɣoŋ1	
港	kᴀᵑ3	
渴	kʰo2	
游	ʑiɜɤ2	
渺	miɑ3	
湊	tsʰɜɤ5	
湍	tʰuɘ̃ɲ1	
湖	xʉ2	
湘	ɕiᴀᵑ1	
灣	uɘ̃ɲ1	
溼	sɿᶟ2	
潰	kʰuɘi5	~败
潰	xuɘi5	~脓
源	ʑiᴇ̃2	
溜	liɜɤ5	
溪	ɕi1	
滇	tiᴇ̃1	
滋	tsɿᶟ1	
滑	xuɒ2	
滔	tʰɑ1	
滾	koŋ3	
滿	mᴀᵑ3	
濾	li5	
濫	lᴀᵑ5	
灘	tʰᴀᵑ1	
滴	ti2	
漂	pʰiɑ5	~衣裳
漆	tɕʰi2	
漏	lɜɤ5	
演	ʑiᴇ̃3	
漫	mᴀᵑ5	
漱	sʉ5	
潘	pʰᴀᵑ1	
潛	tɕʰiᴇ̃3	
潢	xuᴀᵑ2	
潮	tsʰɑ2	
潲	sɑ5	
潽	pʰʉ1	饭~了
澄	tɘ̃ɲ5	~清
澡	tsɑ3	
濛	moŋ2	
灌	kuɘ̃ɲ5	
火	xo3	
滅	mi2	
燈	tɘ̃ɲ1	
灰	xuɘi1	
靈	lɪ̃ɲ2	
竈	tsɑ5	
灸	tɕiɜɤ3	针~
災	tsa1	
燦	tsʰᴀᵑ5	
爐	lʉ2	
炊	tʃʰuɘi/tɕʰyɘi1	
炎	ʑiᴇ̃1	
炒	tsʰɑ3	
炕	kʰᴀᵑ5	
炙	tsɿᶟ5	
炭	tʰᴀᵑ5	
炮	pʰɑ5	
炸	tsɒ2	~油条
炸	tsɒ5	爆~
點	tiᴇ̃3	
炼	liᴇ̃5	
爛	lᴀᵑ5	
烈	li2	
烘	xoŋ1	
烙	lo2	~铁
燭	tsʉ2	
烟	ʑiᴇ̃1	
烤	kʰɑ3	
煩	fᴀᵑ2	
燒	sɑ1	
燙	tʰᴀᵑ5	
熱	zɘi2	
烹	pʰɘ̃ɲ1	
焊	xᴀᵑ5	
煥	xuɘ̃ɲ5	
燜	mɘ̃ɲ5	
焙	pɘi5	
焚	fɘ̃ɲ2	
焦	tɕiɑ1	
焰	ʑiᴇ̃5	
煎	tɕiᴇ̃1	
煤	mɘi2	
照	tsɑ5	
煨	uɘi1	
煪	tɕʰiɜɤ1	烟~
煮	tsʉ3	
熄	ɕi2	
熊	ɕioŋ2	
熏	sɪ̃ɲ1	
熔	ʑioŋ2	
煕	ɕi1	
熛	pʰiɑ3	火~头发
熥	tʰɘ̃ɲ1	把饭~热
熨	zɪ̃ɲ5	
熬	ɣɑ2	
熬	ɣɑ1	药
燃	zᴀᵑ2	
燎	liɑ2	
燐	lɪ̃ɲ2	
燕	ʑiᴇ̃5	
燥	tsʰɑ5	
爆	pɑ5	
爪	tʃuɒ/tɕyɒ3	
爬	pʰɒ1	
爬	pʰɒ2	
愛	ɣa5	
爵	tɕio2	
父	fʉ5	
爸	pɒ2	
爹	ti1	
爽	ʃuᴀᵑ/ɕyᴀᵑ3	
片	pʰiᴇ̃5	
版	pᴀᵑ3	
牌	pʰa2	
牙	ʑiɒ2	
牛	niɜɤ2	
牡	mɜɤ3	
牢	lɑ2	
牧	mʉ2	
物	vʉ2	
牯	kʉ3	
牽	tɕʰiᴇ̃1	
特	tʰɘi2	
犀	ɕi1	
犁	li2	
犟	tɕiᴀᵑ5	~嘴
犬	tɕʰiᴇ̃3	
犯	fᴀᵑ5	
狀	tʃuᴀᵑ/tɕyᴀᵑ5	
狂	kʰuᴀᵑ2	
狐	xʉ2	
狗	kɜɤ3	
狠	xɘ̃ɲ3	
狡	tɕiɑ3	
獨	tʉ2	
狹	ɕiɒ2	
獅	sɿᶟ1	
獄	zʉ2	
狼	lᴀᵑ2	
獵	li2	
猛	moŋ3	
猜	tsʰa1	
豬	tsʉ1	
貓	mɑ1	
貓	miɑ1	白
獻	ɕiᴇ̃5	
猴	xɜɤ2	
猾	xuɒ2	
玄	ɕiᴇ̃2	
玉	ʑi5	
王	uᴀᵑ2	
玩	uɘ̃ɲ2	
環	xuɘ̃ɲ2	
現	ɕiᴇ̃5	
玲	lɪ̃ɲ2	
玻	po1	
珍	tsɘ̃ɲ1	
珠	tsʉ1	
班	pᴀᵑ1	
球	tɕʰiɜɤ2	
理	li3	
琉	liɜɤ2	
瑣	so3	
琢	tso2	
琴	tsʰɪ̃ɲ2	
琵	pʰi2	
琶	pʰɒ1	
瓊	tsʰɪ̃ɲ2	
瑞	ʃuɘi/ɕyɘi5	
璃	li2	
瓜	kuɒ1	
瓢	pʰiɑ2	
瓣	pᴀᵑ5	
瓤	zᴀᵑ2	
瓦	uɒ3	
瓮	ɣoŋ5	
甌	ɣɜɤ1	汤缽子
甁	pʰɪ̃ɲ2	
瓷	tsʰɿᶟ2	
甄	tsɘ̃ɲ1	
甑	tsɘ̃ɲ5	
甘	kᴀᵑ1	
甚	sɘ̃ɲ5	
甜	tʰiᴇ̃2	
生	sɘ̃ɲ1	
甥	sɘ̃ɲ1	
用	ʑioŋ5	
甩	ʃua/ɕya3	
田	tʰiᴇ̃2	
由	ʑiɜɤ2	
甲	tɕiɒ2	
申	sɘ̃ɲ1	
電	tiᴇ̃5	
男	nᴀᵑ2	
畫	xuɒ5	
暢	tsʰᴀᵑ5	
界	ka5	
畏	uɘi5	
留	liɜɤ2	
畜	tsʰʉ2	~牲
略	nio2	
番	fᴀᵑ1	
疆	tɕiᴀᵑ1	
疏	sʉ1	
疑	ni2	
療	liɑ2	
疝	ʃuɘ̃ɲ/ɕyɘ̃ɲ5	
瘧	nio2	
瘍	ʑiᴀᵑ2	
疤	pɒ1	
疫	zʉ2	
瘡	tʃʰuᴀᵑ/tɕʰyᴀᵑ1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿᶟ1	
疹	tsɘ̃ɲ3	麻~
疼	tʰɘ̃ɲ2	
疾	tɕi2	
病	pɪ̃ɲ5	
症	tsɘ̃ɲ1	~结
症	tsɘ̃ɲ5	~状
痒	ʑiᴀᵑ3	
痔	tsɿᶟ5	
痕	xɘ̃ɲ2	
痛	tʰoŋ5	
痣	tsɿᶟ5	
痰	tʰᴀᵑ2	
痱	fɘi5	~子
癡	tsʰɿᶟ1	
痹	pʰi2	
瘊	xɜɤ2	
瘌	lɒ2	
瘟	ɣoŋ1	
瘤	liɜɤ5	
瘦	sɜɤ5	
瘴	tsᴀᵑ5	
癩	la5	
癬	ɕiᴇ̃3	
癸	kuɘi3	
登	tɘ̃ɲ1	
白	pɘi2	
白	tɕiɜɤ5	
百	pɘi2	
皂	tsɑ5	
的	ni1	白
的	ti2	目~
皆	ka1	
皇	xuᴀᵑ2	
皖	uɘ̃ɲ3	
皮	pʰi2	
皺	tsɜɤ5	
皴	tsʰoŋ1	
皿	mɪ̃ɲ3	
盂	ʑi2	
盅	tsoŋ1	
盆	pʰɘ̃ɲ2	
盈	zɪ̃ɲ2	
盞	tsᴀᵑ3	
鹽	ʑiᴇ̃2	
監	tɕiᴇ̃1	
盒	xo2	
盔	kʰuɘi1	
盖	ka5	
盜	tɑ5	
盤	pʰᴀᵑ2	
盛	sɘ̃ɲ5	~大
盟	mɪ̃ɲ2	
目	mʉ2	
盯	tɪ̃ɲ1	
直	tsɿᶟ2	
相	ɕiᴀᵑ1	
相	ɕiᴀᵑ5	~貌
盼	fɘ̃ɲ1	
盼	pʰᴀᵑ5	
盾	toŋ5	
省	sɘ̃ɲ3	
眉	mi2	
眉	mɘi2	画~
看	kʰᴀᵑ5	
眞	tsɘ̃ɲ1	
眠	miᴇ̃2	
眨	tsɒ2	
眯	mi1	
眶	kʰuᴀᵑ1	
眷	tɕiᴇ̃5	
眼	ʑiᴇ̃3	
着	tso2	
着	tsɑ2	~了
睜	tsɘ̃ɲ1	
睏	kʰoŋ5	
睡	ʃuɘi/ɕyɘi5	
督	tʉ2	
睬	tsʰa3	
瞄	miɑ2	
瞅	tsʰɜɤ3	
瞎	ɕiɒ2	
瞒	mᴀᵑ2	
瞧	tɕʰiɑ2	
瞪	tɘ̃ɲ5	
瞿	tɕʰi2	
矛	mɑ2	
矢	sɿᶟ2	
知	tsɿᶟ1	
矩	tɕi3	
矯	tɕiɑ3	
矬	tsʰo2	
短	tuɘ̃ɲ3	
矮	ɣa3	
礦	kʰuᴀᵑ5	
碼	mɒ3	
砌	tɕʰi5	
砍	kʰᴀᵑ3	
硏	niᴇ̃1	~究
磚	tʃuɘ̃ɲ/tɕyɘ̃ɲ1	
砧	tsɘ̃ɲ1	~板
破	pʰo5	
硃	tsʉ1	
硄	kʰuᴀᵑ3	用力敲门
硌	kɘ̃ɲ5	
硝	ɕiɑ1	
硫	liɜɤ2	
硬	ɣɘ̃ɲ5	
確	tɕʰio2	
礙	ɣa5	
碎	ʃuɘi/ɕyɘi5	
碑	pɘi1	
碗	uɘ̃ɲ3	
碟	ti2	
碰	pʰoŋ5	
碴	tsɒ1	
碾	niᴇ̃3	
磁	tsʰɿᶟ2	
磑	ɣa2	
磕	kʰo2	
磨	mo2	~刀
磨	mo5	石~
磬	tsʰɪ̃ɲ5	
礎	tsʰʉ3	
示	sɿᶟ5	
禮	li3	
社	sɘi5	
祀	sɿᶟ5	
祁	tɕʰi2	
祐	ʑiɜɤ5	
祕	mi2	
祖	tsʉ3	
祝	tsʉ2	
神	sɘ̃ɲ2	
祠	tsʰɿᶟ2	
祥	tɕʰiᴀᵑ2	
票	pʰiɑ5	
祭	tɕi5	
禱	tɑ3	
禍	xo5	
稟	pɪ̃ɲ3	
禁	tsɪ̃ɲ5	
祿	lʉ2	
福	fʉ2	
禹	ʑi3	
离	li5	2一开一寸
离	li2	~别
禽	tsʰɪ̃ɲ2	
秀	ɕiɜɤ5	
私	sɿᶟ1	
禿	tʰʉ2	
秆	kᴀᵑ3	
秉	pɪ̃ɲ3	
秋	tɕʰiɜɤ1	
種	tsoŋ3	
種	tsoŋ5	
科	kʰo1	
秒	miɑ3	
秕	pi3	~谷子
秘	mi2	一书;~鲁
租	tsʉ1	
秤	tsʰɘ̃ɲ5	
秦	tsʰɪ̃ɲ2	
秧	ʑiᴀᵑ1	
秩	tsʰɿᶟ5	~序
積	tɕi2	
稱	tsʰɘ̃ɲ1	~呼
稱	tsʰɘ̃ɲ5	~心
移	ʑi2	
稀	ɕi1	
程	tsʰɘ̃ɲ2	
稍	sɑ1	
稅	ʃuɘi/ɕyɘi5	
稗	pa5	
稠	tsʰɜɤ2	
穌	sʉ1	
穩	ɣoŋ3	
稻	tɑ5	
稼	tɕiɒ1	
稽	tɕi1	
穆	mʉ2	
穗	ʃuɘi/ɕyɘi5	
穴	ɕi2	
究	tɕiɜɤ5	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ1	
突	tʰʉ2	
窄	tsɘi2	
竅	tɕʰiɑ5	
窯	ʑiɑ2	
