#漢字	音標	解釋
□	ha1b	虾腰
恨	hɐn6	仇恨
恩	iɐn1b	恩德
恭	koŋ1b	恭敬
息	ʃek7a	休息
恰	hɐp7a	恰当
悄	tʃʰiu1b	静悄悄
悉	ʃek7a	熟悉
悔	fui5	后悔
悟	m̩6	孙悟空
悠	iɐu1b	悠闲
患	uan6	忧患;患病
悦	yt8	愉悦
悲	pɐi1b	悲伤
悶	mon5	闷热
情	tʃʰeŋ2	情节
惑	uɐk8	迷惑
惜	ʃek7a	可惜
惟	uɐi2	惟一
惠	uɐi6	优惠
惡	œk7b	可恶
惡	œk7b	善恶，恶霸
惱	lou4	恼火
想	ʃiøŋ3	想念
惹	iɛ3	招惹
愁	ʃɐu2	发愁
愈	y6	愈加;病愈
愉	u4	愉快
意	i5	大意
愚	y2	愚蠢
愛	oi5	喜爱
感	kam3	感谢
愧	kʰuɐi4	惭愧
慈	tʃʰi2	慈悲
態	tʰai5	态度
慌	foŋ1b	心慌
慎	ʃɐn6	慎重
慕	mou6	羡慕
慘	tʃʰam3	悲惨
慚	tʃʰan2	惭愧
慢	man6	快慢
慣	kuen5	习惯
慧	uɐi5	智慧
慨	kʰoi5	感慨
慪	ɐu5	怄气
慫	tʃoŋ5	怂恿
慮	loi4	考虑
慰	uɐi5	安慰
慳	han1b	悭[节省](~钱)
慶	heŋ5	庆祝
慷	kʰœŋ1b	慷慨
慾	iok8	欲望
憂	iɐu1b	担忧
憎	tʃɐŋ1b	憎恨
憐	lin2	可怜
憑	pʰɐŋ2	文凭
憤	fɐn4	愤怒
憫	mɐn4	怜悯
憲	hin5	宪法
憶	iek7a	回忆
憾	hɐm6	遗憾
懂	toŋ3	懂了;懵懂
懇	hɐn3	恳求
懈	hai4	松懈
應	ieŋ5	应对，响应
應	ieŋ1b	应该
懊	ou5	懊恼
懊	ou5	懊悔
懲	tʃʰeŋ2	惩罚
懵	moŋ3	懵懂
懶	lan4	懒惰
懷	uai2	胸怀
懸	in2	悬崖
懼	kɔy6	恐惧
戀	lyn3	恋爱
戈	kʰɔ1b	大动干戈
戊	mau6	戊戌变法
戌	ʃɐt7a	戊戌变法
戎	ioŋ2	戎马
成	ʃeŋ2	完成
我	ŋɔ4	我们
戒	kai5	戒指
或	uɛk8	或者
戙	toŋ2	戙[竖]
戚	tʃʰek7a	亲戚
戟	kek7a	方天画戟
戥	ʃiə̯ŋ1a	
截	tʃit8	截断
戰	tʃin5	战斗
戲	hi5	大戏
戳	tʃʰiøk7b	戳破，戳穿
戴	tai5	戴帽
戶	u6	户口
戽	fui5	戽水
房	foŋ2	房间
所	ʃɔ3	所以
扁	pen3	扁担
扇	ʃin5	扇子(名)
手	ʃɐu3	手段
才	tʃʰoi2	天才;才气
打	ta5	打针
扔	ieŋ2	扔掉
托	tʰœk7b	托盘，托下巴
扛	kʰœŋ1b	肩扛
扣	kʰɐu5	扣钱
扤	iɐn5	扤(摇动:~脚)
扭	lɐu3	扭动
扮	pan6	打扮
扯	tʃʰɛ3	拉扯
扳	pan3	扳手，枪的扳机
扶	fu2	扶手
批	pʰɐi1b	批评
扻	kʰɐm3	扻(掴:~一巴)
扼	ŋɐk7a	扼杀
找	tʃau3	找东西
承	ʃeŋ2	继承
技	ki6	技术
抄	tʃʰɛu1b	抄书
把	pa3	把柄
把	pa3	把握、一把
抌	tɐm3	抌(用手锤:~心~肺)
抑	iek7a	压抑
抓	tʃa1b	抓牌
投	tʰɐu2	投降
抖	tɐu3	发抖
抗	kʰœŋ5	反抗
折	tʃit7b	折断;折扣
折	ʃit8	折本;摔折手臂
抛	pʰau1b	抛弃
披	pʰiə̯ŋ1b	披上
抬	tʰoi2	担抬，两个人抬
抱	pʰou4	拥抱
抵	tɐi3	抵押
抹	mat7b	抹布
押	ap7b	押送
抽	tʃʰɐu1b	抽出
拆	tʃʰɛk7b	拆开
拇	mu4	拇指
拈	nen1b	拈花惹草
拉	lai1b	拖拉
拌	pon4	搅拌
拍	pʰɛk7b	拍球
拎	leŋ1b	提
拐	kuɐi3	拐卖
拒	kɔy4	拒绝
拔	pat8	选拔
拖	tʰɔ1b	拖拉机
拗	ɛu5	拗(~颈)
拘	kʰɔy1b	拘留
拚	pʰeŋ5	拼命
招	tʃiu1b	招手
拜	pai5	礼拜;拜佛
括	kʰut7b	包括
拯	tʃʰeŋ4	拯救
拱	koŋ3	拱手
拳	kʰyn2	拳头
拴	ʃon1b	拴住(捆绑)
拼	pʰeŋ5	拼音，拼图
拾	ʃɐp8	拾金不昧
拿	lɔ3	拿手;推拿
持	tʃʰi2	坚持
指	tʃi3	手指
按	on5	按照
挑	tʰɛu1b	挑选
挖	uet7b	挖地
挨	ŋai2	挨近
振	tʃɐn5	振动
挺	tʰeŋ4	挺胸
挽	uan4	挽留，挽手
挾	ket7b	挟菜
捅	tʰoŋ3	捅破了
捉	tʃok7a	捕捉
捋	lyt7b	捋袖
捏	len1a	捏紧
捐	kyn1b	捐款
捕	pʰu3	捕捉;捕快
換	un6	交换
捧	poŋ3	捧走
捨	ʃɛ3	舍得，舍弃
捭	pʰɐi1b	捭[削]
捭	pʰɛŋ1b	捭[削]
捱	ŋai2	捱苦，捱打
捲	kyn3	卷起(动)
捷	tʃit7b	捷报
捺	lat7b	撇捺
掀	hin1b	掀开
掂	tin5	掂分量
掃	ʃou5	扫把(名)
掃	ʃou5	扫地(动)
授	ʃɐu6	教授
掉	tɛu6	走掉
掌	tʃiøŋ3	巴掌
掏	tʰou2	掏
掐	len3	掐虱子，掐脖子，用手指掐
排	pʰai2	排队
掘	kuɐt8	挖掘
掘	kuɐt8	挖掘，掘墓
掛	kua5	挂钩
掟	tiə̯ŋ1b	掟(扔:~石头)
掠	lœk8	掠夺
採	tʃʰoi3	采摘;采集
探	tʰam5	探路
接	tʃit7b	接待
控	hoŋ5	控制
推	tʰui1b	推动
掩	in3	掩护
措	tʃʰou5	措施
掱	pʰa2	掱[扒手]
揀	ken3	拣菜
揉	iɐu2	揉眼睛，揉面团
描	miu2	描写
提	tʰɐi2	提问
插	tʃʰap7b	插秧
揖	tʃʰɐp7a	作揖
揚	iøŋ2	发扬
揞	ɐm1b	揞住
握	ŋɐk7a	握手
揢	kʰɐk7a	揢[用虎口揢]
揩	hai2	揩油
揭	hit7b	揭发
揮	fɐi1b	指挥
援	un4	援助
搵	uɐn3	揾[找]
損	ʃyn3	损坏
搓	tʃʰai1b	搓手
搗	tou3	捣乱
搜	ʃɐu5	搜查，搜身
搞	kɛu3	搞好
搧	ʃin5	扇扇子;(动)
搬	pun1b	搬家
搭	tap8	搭车，衣服搭在肩上
搴	kʰyt7b	搴[揭开]
搶	tʃʰiøŋ3	抢东西
攜	kʰuɐi2	携带
搽	tʃʰa2	搽药
摇	iu2	摇篮
摔	ʃoi5	摔跤
摘	tʃɛk8	文摘;摘花
摟	lɐu3	搂抱
摣	tʃa1a	揸(~车)
摩	mɔ1b	摩擦
摳	ŋɐu1b	抠出来
摸	mɔ1a	偷偷摸摸
摹	mou2	摹仿
摺	tʃit7b	折被子，折纸
撇	pʰit7b	撇开
撈	lɐu1b	打捞
撈	lou1b	捞钱，捞面
撑	tʃʰɛŋ1b	支撑
撒	ʃat7b	撒手，撒种
撓	iɛu1b	撓
撕	ʃi1b	撕破
撚	len1a	以指捻碎;捻线
撞	tʃœŋ6	碰撞
撤	tʃʰit7b	撤退
撥	pot7b	拨款
撩	lɛu3	撩起来
撫	fu3	抚养
撬	kiu6	撬
播	pɔ5	播种
撮	iøt7b	一撮胡子
撰	tʃyn5	撰(~稿)
撲	pʰœk7b	扑灭
撳	kɐm6	手用力捏住，往下按
撼	hɐm6	震撼
擁	ioŋ3	拥护
擇	tʃɛk8	择菜;选择
擊	kek7a	击败
擋	tœŋ3	阻挡
操	tʃʰou1b	操作
擎	kʰeŋ2	举起
擒	kʰɐm2	擒拿
擔	tam1b	担任(动)
擔	tam5	挑担(名)
擗	pʰiə̯k8	擗[扔弃]
擘	mœk7a	用手擘开
據	kɔy5	收据
擠	tʃɐi1b	拥挤
擦	tʃʰat7b	擦洗
擬	i4	拟人
擱	pœk7b	搁置
擱	kœk7b	搁置
擴	kʰœŋ5	扩充
擺	pai3	摇摆
擾	iu3	打扰
攀	pʰan1b	高攀
攆	pʰɛŋ1b	撵出去
攏	loŋ3	靠拢
攔	lan2	拦住
攝	ʃit7b	摄影
攞	lɔ3	攞[拿]
攢	tʃan6	攒(积~)
攤	tʰan1b	摊开
攪	kɛu3	搅拌
攬	lam3	包揽
支	tʃi1b	支持
收	ʃɐu1b	秋收，收集
改	koi3	修改
攻	koŋ1b	攻击
放	foŋ5	放手
政	tʃeŋ5	政治
故	ku3	故事
效	hou6	效果
敏	mɐn4	灵敏
救	kɐu5	救命
敗	pai6	失败
教	kɛu5	教书
教	kɛu5	教育
敢	kam3	勇敢
散	ʃan3	分散
散	ʃan3	松散
敦	tɐn1b	敦厚
㪗	tʰɐu3	敨开，敨气
敬	keŋ5	敬爱
敲	kʰɛu1b	敲门
整	tʃeŋ3	整体
敵	tek8	敌人
敷	fu1b	敷药
數	ʃɐu3	数星星
數	ʃɐu5	数学
斂	kin3	收敛
斃	pɐi6	枪毙
文	mɐn2	论文
斑	pan1a	雀斑
斗	tɐu3	十升为斗
料	lɛu6	肥料
斛	tʃʰœk7b	石斛(中药)
斜	tʃʰɛ5	斜线
斟	tʃɐm1b	斟酒
斤	kɐn1b	斤两
斥	tʃʰek7a	排斥
斧	fu3	斧头
斫	tʃen3	柴)
斬	tʃen3	刀斩
斯	ʃi1b	斯大林
新	ʃɐn1b	新旧
斷	tʰyn4	断绝，线断了
斷	tʰyn4	决断，断案
方	foŋ1b	地方
於	y1b	在于
施	ʃi1b	施肥
旁	pʰœŋ2	旁边
旅	lɔy4	旅游
旋	ʃyn2	旋转
族	tʃok8	民族
旗	kʰi2	红旗
既	ki5	既然
日	iɐt8	日期
旦	tan5	元旦
旨	tʃi3	奉旨
早	tʃou3	早上
旬	tʃʰɐn2	上旬
旭	iok7a	旭日
旱	hon4	干旱
旺	uoŋ6	兴旺
昂	ŋœŋ4	昂首，高昂
昆	kʰuɐn1b	昆虫
昌	tʃʰiøŋ1b	昌盛
明	meŋ2	明年
昏	fɐn1b	黄昏
易	i4	容易
易	iek8	交易
昔	ʃek7a	今昔
星	ʃeŋ1a	星星
映	ieŋ3	反映
春	tʃʰɐn1b	春秋
昧	mɐi4	拾金不昧
昨	tʃœk7b	昨天
昭	tʃiu1b	王昭君
是	ʃi6	是不是
時	ʃi2	时间
晉	tʃʰɐn2	魏晋;山西简称
晌	hiøŋ3	晌午
晏	an5	天晚
晚	man4	晚上
晝	tʃɐu5	日昼
晦	fui5	晦气
晨	ʃɐn2	早晨
普	pʰu3	普通
景	keŋ3	景色
晴	tʃʰeŋ2	天晴
晶	tʃeŋ1a	水晶
智	tʃi5	智慧
晾	lœŋ6	晾衣服
暇	ha2	目不暇接，闲暇
暈	uɐn2	晕车
暑	ʃy3	暑假
暖	lyn4	暖和
暗	ɐm5	黑暗
暢	tʃʰiøŋ5	畅快
暫	tʃam6	暂时
暮	mou6	日暮
暴	pou6	暴露
曆	lek8	日历，历书
曉	hiu3	晓得
曝	pou6	曝光
曠	kʰœŋ5	旷工
曬	ʃai5	晒谷
曰	yt8	子曰
曲	kʰok7a	曲折，歌曲
更	kɐŋ5	更加
更	kɛŋ1b	三更;更换
書	ʃy1b	书本
曹	tʃʰou2	阴曹
曾	tʃɐŋ1b	姓
曾	tʃʰɐŋ2	曾经
替	tʰɐi5	代替
最	tʃoi5	最好
會	ui4	会不会
會	ui6	会计
會	ui3	开会
月	yt8	月亮
有	iɐu4	有无
朋	pʰɐŋ2	朋友
服	fok8	服务
朔	ʃœk7b	朔月(初一)
朗	lœŋ4	明朗
望	mœŋ6	希望
朝	tʃiu1b	今朝
朝	tʃʰiu2	朝代
期	kʰi2	日期
木	mok8	木头
未	mɐi6	未来
末	mut8	末尾
本	pon3	书本
札	tʃat7b	札记
朮	ʃɐt8	白朮
朱	tʃy1b	姓
朶	tœ3	一朵花
朽	lɐu4	腐朽
杈	tʃʰa1a	枝杈
杉	tʃʰam5	杉树
李	lɐi4	姓
杏	hɐŋ6	杏仁
材	tʃʰoi2	材料
村	tʃʰyn1b	村庄
杖	tʃiøŋ5	拐杖
杜	tou4	杜仲;姓
杞	ki3	枸杞
束	tʃʰok7a	装束
杠	kœŋ5	抬物用具，高低杠
杭	hœŋ2	杭州
杯	pui1a	茶杯
東	toŋ1b	东方
杳	miu4	杳无音讯
杷	pʰa2	枇杷
松	tʃʰoŋ2	松树
板	pan3	石板
枇	pʰɐi2	枇杷
枉	uoŋ3	冤枉
析	ʃek7a	分析
枕	tʃɐm3	枕头(名)
枕	tʃɐm3	枕枕头(动)
林	lɐm2	树林
枚	pui2	一枚
果	kuɔ3	水果
枝	tʃi1a	荔枝
枯	ku1b	枯萎
枱	tʰoi2	枱[桌子]
架	ka5	衣架
柄	piə̯ŋ5	把柄
柏	pʰɛk7b	柏树
某	mau4	某人
柑	kam1b	芦柑
染	in4	污染
柔	iɐu2	温柔
柚	iɐu3	柚子
查	tʃʰa2	调查
柩	kʰɐu5	灵柩
柬	kan3	请柬
柱	tʃʰy4	柱子
柳	lɐu4	柳树
柴	tʃʰai2	火柴
柿	ʃi4	柿子
栗	lɐt8	栗子
校	hou6	上校
校	hou6	校对
校	hou6	学校
株	tʃy1b	守株待兔
核	hɐt8	果核
核	hɐt8	核对
根	kɐn1a	树根
格	kɛk7b	格子
栽	tʃoi5	栽种
桂	kuɐi5	桂花
桃	tʰou2	桃花
框	hœŋ1b	门框
案	on5	档案
桌	tʃœk7b	书桌
桐	tʰoŋ2	梧桐
桑	ʃœŋ1a	桑树
桶	tʰoŋ3	木桶
桿	kon1a	枪杆
梁	liøŋ2	梁山;姓
梅	pui2	梅花
梓	tʃi3	桑梓
梗	kuɛŋ3	菜梗
梘	ken3	枧(番~)
條	tʰɛu2	条件
梢	tʃʰiu5	树梢
梧	m̩2	梧桐
梨	lɐi2	雪梨
梭	ʃɔ1a	织布梭
梯	tʰɐi1b	楼梯
械	hai6	机械
梳	ʃɔ1b	梳头
棄	hi5	放弃
棉	min2	棉花
棋	kʰi2	下棋
棍	kuɐn5	棍棒
棒	pʰɛŋ4	木棒
棕	tʃoŋ1b	棕色
棗	tʃou3	红枣
棘	kʰek7a	棘手
棚	pʰɛŋ2	瓜棚
棟	toŋ5	栋梁
棠	tʰœŋ2	海棠
棧	tʃan3	客栈
森	ʃɐm1b	森林
棱	leŋ2	棱角
棲	tʃʰɐi1b	栖息，两栖
棵	pʰɔ1b	一棵
棵	tɐu1b	一棵
棺	kun1b	棺材
椅	i3	椅子
植	tʃek8	植物
椏	a1b	桠杈
椒	tʃiu1a	辣椒
椰	iɛ2	椰子
椴	tyn6	椴木
椿	tʃʰɐn1b	椿树，香椿
楂	tʃa1a	山楂
楊	iøŋ2	杨树
楓	foŋ6	枫树
楚	tʃʰɔ3	清楚
楝	lin1a	苦楝树
楣	mɐi2	门楣
楦	ʃyn1b	楦(鞋~)
業	it8	事业
極	kek8	南极
楷	hai2	楷书
概	kʰoi5	大概
榜	pœŋ3	榜样
榨	tʃa5	榨油
榫	ʃɐn3	榫头
榮	ueŋ2	光荣
榴	lɐu2	石榴
構	kɐu5	结构
槌	tʃʰoi2	棒槌
槍	tʃʰiøŋ1a	手枪
槐	uɐi2	槐树
槳	tʃiøŋ3	木桨
槽	tʃʰou2	猪槽
樁	tʃœŋ1b	打桩
樂	lœk8	快乐
樂	ŋœk8	音乐
樓	lɐu2	上楼
標	piu1b	标志
樞	kʰɔy1b	枢纽
樟	tʃiøŋ1b	樟树
模	mou2	模范
模	mou2	模型
樣	iøŋ4	样子
橫	uɛŋ2	横直
橫	uɛŋ2	蛮横
樵	tʃʰiu2	打樵，樵夫
樸	pʰœk7b	朴素
樹	ʃy6	树木
樽	tʃɐn1a	樽[瓶子]
橄	kam1b	橄榄
橋	kʰiu2	桥梁
橘	kɐt7a	橘子
橙	tʃʰɛŋ4	橙子
橙	tʃʰɛŋ4	橙子，脐橙
機	ki1b	机器
橡	tʃiøŋ6	橡胶;橡树
檀	tʰan2	檀香
檐	in2	屋檐
檔	tœŋ3	档案
檗	mœk8	黄檗(中药名)
檜	kʰoi5	秦桧
檢	kin3	检查
檳	pɐn1b	槟榔
檻	kʰin4	槛(门~)
櫃	kuɐi6	柜台
櫻	ieŋ1a	樱桃
欄	lan2	栏杆
欄	lan2	猪栏
權	kʰyn2	权力
欖	lam3	橄榄
欛	piə̯ŋ5	柄(斧~、刀~)
欠	hin5	欠债
次	tʃʰi5	名次
欣	iɐn1b	欣欣向荣
欲	iok8	欲速则不达
欺	hi1b	欺负
欽	iɐm1a	钦差
款	fun3	汇款
歇	hit7b	歇一下
歉	hit7b	道歉
歌	kɔ1a	唱歌
歐	au1b	欧洲
歡	fun1b	喜欢
止	tʃi3	停止
正	tʃeŋ1b	正月
正	tʃeŋ5	正直，方正
此	tʃʰi3	此地
步	pu6	跑步
武	mu4	武力
歪	uai1b	歪斜
歲	ʃoi5	万岁
歷	lek8	经历，历史
歸	kuɐi1b	回归
死	ʃɐi3	死亡
殃	iøŋ1b	遭殃
殉	ʃɐn1b	殉职
殊	ʃy2	特殊
殖	tʃek8	繁殖
殘	tʃʰan2	残疾
殮	kin3	殡殓
殯	pɐn5	出殡
殲	tʃʰin1b	歼灭
段	tyn6	阶段
殷	iɐn1b	殷勤;姓
殺	ʃet7b	自杀
殼	hœk7b	蛋壳
殿	tin6	殿堂
毁	kʰuɐi3	毁灭
毅	ŋɐi6	毅力
毆	au1b	殴打
母	mu4	母亲
每	pui4	每天
毒	tok8	毒药
比	pɐi3	对比
毛	mou2	毛笔
毫	hou2	毫厘
毯	tʰan3	毛毯
氈	tʃin1a	油毛毡
氏	ʃi6	姓氏
民	mɐn2	人民
氓	mœŋ2	流氓
氣	hi5	空气
水	ʃɔy3	水果
永	ueŋ4	永远
汀	tiə̯ŋ1b	汀州
汁	tʃɐp7a	果汁
求	kɐu2	要求
汆	lok8	汆(~丸子)
汗	hon6	出汗
汞	koŋ5	红汞
江	kœŋ1b	长江
池	tʃʰi2	池塘
污	u1b	污染
汪	uoŋ1b	汪洋
汴	pin3	汴梁
汽	hi5	汽车
沃	ou5	肥沃
沈	ʃɐm3	沈阳
沉	tʃʰɐm2	沉浮
沓	tap8	一沓纸
沙	ʃa1a	沙漠
沛	pʰui5	充沛
没	mut8	沉没
沫	mot8	泡沫
河	hɔ2	黄河
沸	fɐi5	沸腾
油	iɐu2	花生油
治	tʃi6	治安
沼	tʃiu4	沼气
沿	yn2	沿路
泄	ʃit7b	泄漏，排泄
泉	tʃʰyn2	泉水
泊	pʰɛk7b	梁山泊
泊	pʰɛk7b	停泊，淡泊
泌	pɐi5	分泌
法	fat7b	办法
泛	fan6	广泛
泡	pʰɛu5	泡茶
泡	pʰau1b	水泡，泡沫
波	pɔ1a	风波
泣	iɐp7a	哭泣
泥	lɐi2	水泥
注	tʃy5	注意
泰	tʰai5	泰山
泳	ueŋ4	游泳
洇	iam5	液体向四周散开或渗透
洋	iøŋ2	海洋
洗	ʃai3	洗衣服
洛	lœk7b	洛阳
洞	toŋ6	山洞
津	tʃɐn1a	天津
洪	hoŋ2	洪水
洱	lɐi4	洱(普~茶)
洲	tʃɐu1b	亚洲
活	ut8	生活
洽	hɐp7a	洽谈
派	pʰai5	派出所
流	lɐu2	流动
浙	tʃit7b	浙江
浚	tʃɐn5	疏浚，浚河
浜	pɐn1b	沙家浜
浦	pʰu3	浦江
浩	hou6	浩荡
浪	lœŋ6	浪费
浮	fɐu2	浮动;轻浮
浴	iok8	沐浴
海	hoi3	大海
浸	tʃɐm5	浸水
消	ʃiu1b	消化
涉	ʃit7b	干涉
涌	ioŋ3	涌现
涕	tʰɐi5	鼻涕
涯	ŋai2	天涯
液	iek8	液体
淆	ŋau2	混淆
淋	lɐm2	淋雨
淑	ʃok8	淑女;人名
淘	tʰou2	淘米
淚	loi6	眼泪
淡	tʰam4	咸淡;浓淡
淤	y1b	淤泥
淪	lɐn2	沉沦
淫	iɐm2	淫荡
淮	uɐi2	淮河
深	ʃɐm1b	深入
淵	yn1b	深渊
混	uɐn6	相混，混淆
淹	in3	淹没
淺	tʃʰin3	深浅
添	tʰen1b	添加
清	tʃʰeŋ1b	清洁，水很清
渠	kʰy2	水渠
渡	tɐu6	偷渡
渣	tʃa1a	药渣
溫	uɐn1b	温度
測	tʃʰɐk7a	测量
港	kœŋ3	港口
渴	hot7b	口渴
游	iɐu2	旅游
渺	miu4	渺小
渾	uɐn6	浑浊，水浑
湖	u2	太湖
湘	ʃiøŋ1b	湖南简称
湯	tʰœŋ1b	喝汤;姓
溉	kʰoi5	灌溉
源	yn2	来源
準	tʃɐn3	标准，准则
溜	liu1b	溜走
溝	kɐu1b	沟通
溪	kʰɐi1a	小溪
溶	ioŋ2	溶化
溺	lek7a	溺死
滂	pʰœŋ2	滂沱
滅	mit8	消灭
滋	tʃi1b	滋润
滑	uet8	滑稽
滔	tʰou1b	滔滔不绝
滚	kuɐn3	滚动
滬	lou2	上海简称
滯	tʃɐi6	停滞
滲	iam5	渗水
滴	tek8	滴水
滷	lou4	卤水
滸	ku3	水浒传
滿	mon4	满意，装满
漁	y2	渔业;渔场
漂	pʰɛu5	漂白
漂	pʰiu1b	漂亮
漆	tʃʰɐt7a	油漆
漏	lɐu6	漏雨
演	in3	演出
漚	ɐu5	久浸水中(沤肥)
漢	hon5	汉族
漫	man6	漫画
漲	tʃiøŋ5	涨价
漸	tʃin6	逐渐
漿	tʃiøŋ1b	浆糊
潑	pʰot7b	泼水
潔	kit7b	清洁
潘	pʰun1b	姓
潛	tʃʰin2	潜水
潤	iɐn2	滋润
潭	tʰam2	湘潭
潮	tʃʰiu2	潮水
潰	kʰuɐi3	溃疡
潲	ʃɛu5	猪食
澀	kit7b	羞涩
澄	kʰeŋ2	澄清
澄	tʃʰeŋ2	水浑，澄一澄
澄	kʰeŋ2	水浑，澄一澄
澇	lou1b	洪涝
澗	kan5	山涧
澡	tʃʰou5	洗澡
澤	tʃɛk8	毛泽东
澳	ou5	澳门
激	kek7a	激动
濁	tʃok8	清浊，浑浊
濃	loŋ2	浓厚
濕	ʃɐp7a	湿润
濟	tʃɐi5	经济
濤	tʰou1b	波涛
濫	lan6	泛滥
濺	tʃan6	溅水
濾	loi4	过滤
瀉	ʃɛ5	腹泻
瀑	pou6	瀑布
灌	kun5	灌溉
灑	ʃa3	洒水
灒	tʃan1a	溅水，灒水(打铁器)
灒	tʃʰi1a	溅水，灒水(打铁器)
灘	tʰan5	沙滩
灣	uan1b	海湾
火	fɔ3	火车
灰	fui1b	灰色
灸	kɐu5	针灸
災	tʃoi1b	水灾
炊	tʃʰoi1b	炊烟
炎	in2	炎热
炒	tʃʰɛu3	炒股
炕	hɛŋ1b	炕
燉	tɐn6	炖蛋，炖鸡
炙	tʃiə̯k7b	炙手可热
炭	tʰan5	木炭
炮	pʰɛu5	枪炮
炸	tʃa5	炸弹
烈	lit7b	烈士
烏	u1b	乌鸦
烘	kʰoŋ5	烘干
烙	lœk7b	烙印
烤	hau1b	烧烤
烹	pʰɛŋ1b	烹调
焊	hon4	电焊
煥	un6	焕然一新
焗	kok8	焗油
焙	pui6	焙干
焚	fɐn2	焚烧
無	mou4	没有;无中生有
焦	tʃɛu1a	焦作
焯	tʃʰœk7b	把菜放在开水里焯一焯
焰	in6	火焰
然	in2	居然
煎	tʃin1b	煎药
煙	in1a	香烟
煞	ʃet7b	凶神恶煞;煞费苦心
煠	tʃet7b	把食物放入沸水或沸油里弄熟
煤	pui2	煤矿
照	tʃiu5	照明
煨	ui1b	煨番薯
煩	fan2	麻烦
煮	tʃy3	煮饭
煲	pou1b	煲(~汤)
熄	ʃek7a	熄灭
熊	hoŋ2	熊猫
熏	fɐn1b	熏陶;熏蚊子
熔	ioŋ2	熔化
熙	hi1b	康熙
熟	ʃok8	煮熟
熬	ŋai2	难熬
熱	it8	热烈
燃	in2	燃烧
燈	tɐŋ1a	灯光
燎	liu2	火烧火燎
燎	lɛu2	燎原
燐	lɐn2	燐
燒	ʃiu1b	发烧
燕	in5	燕京;姓
燕	in5	燕子
燙	tʰœŋ5	烫手
營	ieŋ2	营养
燦	tʃʰan5	灿烂
燭	tʃok7a	蜡烛
爆	pau5	爆炸
爐	lou2	炉子
爛	lan6	腐烂
爪	tʃɛu3	脚爪
爬	pʰa2	爬树
爲	uɐi6	为什么
爲	uɐi2	行为
爵	tʃiøk7b	爵位
父	fu6	父亲
爸	pa6	爸爸
爹	tɛ1b	爹娘
爺	iɛ2	爷爷
爽	ʃœŋ3	爽快
爾	i2	尔虞我诈
牀	tʃʰœŋ2	机床
牆	tʃʰiøŋ2	墙壁
片	pʰin5	片面
版	pan3	出版
牌	pʰai2	牌坊
牒	tet8	通牒
牙	ŋa2	牙齿
牛	ŋɐu2	吹牛
牡	mau4	牡丹
牢	lou2	坐牢
牧	mok8	畜牧
物	mɐt8	物理
牯	ku3	牛牯
牲	ʃɛŋ1b	牺牲;畜牲
特	tɐk8	特别
牽	hen1b	牵牛花
犀	ʃɐi1b	犀牛
犁	lɐi2	犁地
犧	hi1b	牺牲
犬	kyn3	狗
犯	fan6	犯法
狀	tʃœŋ6	状元
狂	kʰœŋ2	发狂
狄	tek8	姓
狐	u2	狐狸
狗	kɐu3	小狗
狡	kɛu3	狡猾
狸	lɐi2	狐狸
狹	hap8	狭窄
狼	lœŋ2	豺狼
猛	mɛŋ4	凶猛
猜	tʃʰai1b	猜谜
猝	tʃʰok7b	仓猝
蝟	uɐi5	刺猬
猴	hɐu2	猴子
猶	iɐu2	犹豫
猾	uet8	狡猾
獃	ŋau4	发呆
獄	iok8	监狱
獅	ʃi1b	狮子
獎	tʃiøŋ3	奖品
獨	tok8	独立
獲	uœk8	获得
獵	lit7b	打猎
獸	tʃʰɐu5	野兽
獻	hin5	贡献
玄	in2	玄妙
率	ʃɐt7a	率领
率	lɐt8	效率
玉	iok8	玉器
王	uoŋ2	姓;大王
玩	uan3	玩具，游玩
玫	pui2	玫瑰
玻	pɔ5	玻璃
珀	pʰɛk7b	琥珀
珊	ʃan1b	珊瑚
珍	tʃɐn1b	珍珠
珠	tʃy1a	珍珠
班	pan1a	班级
現	hin5	出现
球	kɐu2	地球
理	lɐi4	道理
琉	lɐu2	琉璃
琢	tøt7b	琢磨
琴	kʰɐm2	弹琴
琵	pʰɐi2	琵琶
琶	pʰa2	琵琶
瑕	pʰa2	瑕疵
瑞	ʃoi6	瑞雪
瑣	ʃɔ3	琐碎
璃	lɐi1a	玻璃
璧	piə̯k7b	玉璧
環	uan2	环境
璽	ʃai3	玉玺
瓊	kʰeŋ2	琼楼
瓜	kua1b	西瓜
瓠	pʰu2	瓠(~瓜)
瓢	pʰiu2	瓢
瓣	pin1a	花瓣
瓤	pʰɛu2	瓜瓤
瓦	ŋa4	瓦片
瓮	oŋ5	米瓮
瓶	pʰeŋ2	瓶子
瓷	tʃʰi2	陶瓷
甘	kam1b	甘蔗
甚	ʃɐm6	甚至
甜	tʰen2	甜蜜
生	ʃɛŋ1b	生活;生小孩
産	tʃʰan3	生产
甥	ʃɛŋ1a	外甥
用	ioŋ6	用处
甫	pʰu3	杜甫
甬	ioŋ3	甬道
田	tʰen2	田地
由	iɐu2	理由
甲	kap7b	天干第一
申	ʃɐn1b	申请
男	lam2	男人
畀	pɐi3	畀[给、被]
界	kai5	世界
畏	uɐi5	畏罪
留	lɐu2	留下
畜	tʃʰok7a	牲畜
畜	tʃʰok7a	畜牧
畝	mau4	一亩田
畢	pɐt7a	毕业
略	lœk8	战略
番	fan1b	几番
