#漢字	音標	解釋
㞎	pɔ3	屎～～
挑	tʰiɑ1	
挖	uɔ1	
挖	uɔ2	打人
掗	ʑɨɔ1	～饭
挾	tɕɨɔ2	
擋	tã3	
掙	tsɐ̃4	
擠	tɕɨ3	
擠	tɕɨ4	
揮	xuɘɨ1	
挨	ɣᴀ1	
挪	no2	
振	tsɐ̃4	
挺	tʰɨ̃3	
挽	vã3	
捅	tʰõ3	
捆	kʰõ3	
捉	tsɯ2	～猫～人
捎	sɑ1	
捏	nɨ2	
捐	tɕɨɛ1	
捕	pɯ3	
撈	lɑ1	
撈	lɑ2	打～
損	sõ3	
換	xuɐ̃4	
捧	pʰõ3	
捨	sɘɨ3	
捱	ɣᴀ2	
捲	tɕɨɛ3	
捷	tɕɨ2	
捺	nɔ4	
掀	ɕɨɛ1	
掂	tɨɛ1	
授	sɘ˞4	
掉	tiɑ4	
掌	tsã3	
掏	tʰɑ1	
掐	tɕʰɨɔ1	～脖子
掐	tɕʰɨɔ2	
排	pʰᴀ2	
掛	kuɔ4	
掠	lɨo2	
採	tsʰᴀ3	
探	tʰã4	
接	tɕɨ2	
控	kʰõ4	
推	tʰuɘɨ1	
掩	ʑɨɛ3	
措	tsʰo4	
掭	tʰɨɛ4	
擄	lɯ3	～松毛
摑	kuɔ2	
撣	tã3	
摜	kuɐ̃4	
揉	zɘ˞2	
描	miɑ2	
提	tʰɨ2	
插	tsʰɔ2	
揖	ʑɨ2	作～
揞	ɣã4	
握	ɣo2	
揣	tʃʰuᴀ1	～进去
揣	tʃʰuᴀ3	～摸
揩	kʰᴀ1	～干净
揪	tɕɨɘ1	
揭	tɕɨ2	
攙	tsʰã1	
擱	ko2	
摟	lɘ˞3	
攪	tɕiɑ3	
攪	lã3	
搊	tsʰɘ˞1	～上去
搌	tsã3	
搓	tsʰo1	
搛	tɕɨɛ1	
搜	sɘ˞1	
搞	kɑ3	
搡	sã3	
搧	sã1	
搬	pã1	
搭	tɔ2	
搲	uɔ3	
携	ɕɨ1	
搽	tsʰɔ2	
摆	pᴀ3	
摇	ʑiɑ2	
攤	tʰã1	
摘	tsɘɨ2	
摞	no4	
摧	tʃʰuɘɨ1	
摩	mo1	～登
摸	mo1	
撇	pʰɨ2	一～一捺
撇	pʰɨ3	～开
撑	tsʰɐ̃1	
撒	sɔ2	～尿
撒	sɔ4	～谷壳
撕	sɿᵊ1	
撚	nɨɛ3	以指～碎
撞	tʃʰuã3	
撬	tɕʰiɑ4	
播	po4	
撮	tso2	
撮	tsʰo2	
攆	nɨɛ3	
擼	lɯ1	
擀	kã3	～面
擂	luɘɨ2	
操	tsʰɑ1	
擤	sɨ̃3	～鼻子
擦	tsʰɔ2	
擩	zɯ1	
攀	pʰã1	
攀	pʰã4	
攢	tsã3	
攘	nã3	
攮	nã3	
收	sɘ˞1	
改	kᴀ3	
攻	kõ1	
政	tsɐ̃4	
故	kɯ4	
效	ɕiɑ4	
敵	tɨ2	
敏	mɨ̃3	
救	tɕɨɘ4	
教	tɕiɑ1	～书
教	tɕiɑ4	～育
敢	kã3	
散	sã3	～乱
散	sã4	解～
敦	tõ1	
敬	tsɨ̃4	
數	sɯ3	～一～
數	sɯ4	～目
敲	kʰɑ1	
整	tsɐ̃3	
敷	fɯ1	
文	vɐ̃2	
斋	tsᴀ1	
斌	pɨ̃1	
斑	pã1	
斗	tɘ˞3	一～米
斗	tɘ˞4	～争
料	liɑ4	
斜	ɕɨ2	
斟	tsɐ̃1	
斧	fɯ3	
斬	tsã3	
斷	tuɐ̃3	～车
斷	tuɐ̃4	折～
斯	sɿᵊ1	
新	sɨ̃1	
方	fã1	
於	ʑɨ2	
施	sɿᵊ1	
旁	pʰã2	
旅	lɨ3	
旋	ɕɨɛ2	
族	tsʰɯ2	
日	zɿᵊ2	
旦	tã4	
舊	tɕɨɘ4	
早	tsɑ3	
旬	sɨ̃2	
旭	sɯ2	
旱	xã4	
時	sɿᵊ2	
曠	kʰuã4	
旺	uã4	
昂	ɣã2	
昆	kʰõ1	
昌	tsʰã1	
明	mɐ̃2	～日
明	mɨ̃2	
昏	xõ1	
易	ʑɨ4	
昔	ɕɨ2	
昝	tsã3	
星	sɨ̃1	
映	zɨ̃4	
春	tsʰõ1	
昧	mɘɨ4	
昨	tso2	
昭	tsɑ1	
是	sɿᵊ4	
晝	tsɘ˞4	
顯	ɕɨɛ3	
晃	xuã4	
晉	tsɨ̃4	
晌	sã3	
晏	ɣã4	
曬	sᴀ4	
曉	ɕiɑ3	
暈	zɨ̃4	
晚	vã3	
晦	xuɘɨ4	灾星～气
晨	sɐ̃2	
普	pʰɯ3	
景	tsɨ̃3	
晶	tsɨ̃1	
晾	lã4	～衣裳
暫	tsã4	
暄	ɕɨɛ1	
暑	tsʰɯ3	
暖	nuɐ̃3	
暴	pɑ4	
曰	ʑɨ1	
曲	tsʰɯ2	
更	kɐ̃1	打～
更	kɐ̃4	～好
曷	kɘɨ3	～去？
曹	tsʰɑ2	
曼	mã4	
曾	tsɐ̃1	姓
曾	tsʰɐ̃2	～经
替	tʰɨ4	
月	ʑɨ2	
有	ʑɨɘ3	
朋	pʰõ2	
服	fɯ2	
朒	kɔ3	
朔	so2	初一
朗	lã3	
望	vã4	
朝	tsɑ1	今～
朝	tsʰɑ2	～代
期	tɕʰɨ2	～末
木	mɯ2	
未	vɘɨ4	
末	mo2	
本	pɐ̃3	
术	tsɯ2	白～
术	sɯ2	～手
朱	tsɯ1	
朴	pʰɯ2	
朵	to3	
機	tɕɨ1	
朽	ɕɨɘ3	
殺	sɔ2	
雜	tsɔ2	
權	tɕʰɨɛ2	
杆	kã3	
杈	tsʰɔ1	
杉	sɔ1	～树，～木
杌	vɯ2	马～
李	lɨ3	
材	tsʰᴀ2	
村	tsʰõ1	
杖	tsã4	
杜	tɯ4	
束	sɯ2	
杠	kã4	
條	tʰiɑ2	
來	lᴀ2	
楊	ʑɨã2	
杭	xã2	
杯	pɘɨ1	
杰	tɕɨ2	
杵	tsʰɯ3	
杷	pʰɔ1	
松	sõ1	
板	pã3	
構	kɘ˞4	
枇	pʰɨ2	
枉	uã3	
析	ɕɨ2	
枕	tsɐ̃3	
林	lɨ̃2	
果	ko3	
棗	tsɑ3	
槍	tɕʰɨã1	
楓	fõ1	
枯	kʰɯ1	
架	tɕɨɔ4	
柄	pɨ̃3	
柏	pɘɨ2	
某	mɘ˞3	
柑	kã1	
染	zã3	
柔	zɘ˞2	
柚	ʑɨɘ4	
櫃	kuɘɨ4	
查	tsʰɔ2	
柩	tɕɨɘ4	
柬	tɕɨɛ3	
柳	lɨɘ3	
柴	tsʰᴀ2	
柺	kuᴀ3	
柿	sɿᵊ4	
標	piɑ1	
棧	tsã4	
棟	lɨɛ4	苦～子
棟	tõ4	
欄	lã2	
樹	sɯ4	
栓	ʃuɐ̃1	
栖	ɕɨ1	
栗	lɨ2	
栗	sɯ2	
校	ɕiɑ4	学～，～对
樣	ʑɨã4	
核	xɯ2	果子～
核	xɘɨ2	～对
根	kɐ̃1	
格	kɘɨ2	
栽	tsᴀ1	
欒	luɐ̃2	
桂	kuɘɨ4	
桃	tʰɑ2	
案	ɣã4	
桌	tso2	
桐	tʰõ2	
桑	sã1	
椏	ʑɨɔ1	
橋	tɕʰiɑ2	
樺	xuɔ2	
槳	tɕɨã3	
桶	tʰõ3	
梁	lɨã2	
梅	mɘɨ2	
梗	kɐ̃3	
夢	mõ4	
梨	lɨ2	
梭	so1	
梯	tʰɨ1	
械	kᴀ4	
梳	sɯ1	
檢	tɕɨɛ3	
棉	mɨɛ2	
棋	tɕʰɨ2	
棍	kõ4	
棒	pã4	
棕	tsõ1	
棚	pʰõ2	
棠	tʰã2	
森	sɐ̃1	
棱	lɐ̃2	
棵	kʰo1	
棺	kuɐ̃1	
椅	ʑɨ3	
椒	tɕiɑ1	
欏	lo2	
橢	tʰo3	
椽	tʃʰuɐ̃2	
椿	tsʰõ1	
楂	tsɔ1	
楔	ɕɨ2	
楚	tsʰɯ3	
楷	kʰᴀ3	
樓	lɘ˞2	
概	kʰᴀ4	
欖	lã3	
榜	pã3	
榨	tsɔ4	
榫	sõ3	
榴	lɨɘ4	石～
槐	xuᴀ2	
槽	tsʰɑ2	
模	mɯ2	
模	mo2	～范
橫	xõ2	
櫻	zɨ̃1	
橄	kã3	
橘	tɕɨ2	
櫓	lɯ3	
檀	tʰã2	
檐	ʑɨɛ2	
檁	lɨ̃3	
檬	mõ2	
欠	tɕʰɨɛ4	
次	tsʰɿᵊ4	
歡	xuɐ̃1	
欣	sɨ̃1	
歐	ɣɘ˞1	
欲	zɯ2	
欺	tɕʰɨ1	
款	kʰuɐ̃3	
歇	ɕɨ2	
歉	tɕʰɨɛ4	
歌	ko1	
正	tsɐ̃1	～月
正	tsɐ̃4	～副
此	tsʰɿᵊ1	
此	tsʰɿᵊ3	
步	pɯ4	
武	vɯ3	
歧	tɕʰɨ2	
歪	uᴀ1	
歹	tᴀ3	
死	sɿᵊ3	
殲	tɕʰɨɛ1	
殃	ʑɨã1	
殊	sɯ1	
殘	tsʰã2	
殮	lɨɛ4	
殯	pɨ̃1	
段	tuɐ̃4	
殷	zɨ̃1	
殿	tɨɛ4	
毁	xuɘɨ3	
毅	ʑɨ4	
母	mɯ3	
每	mɘɨ3	
毒	tɯ2	
比	pɨ3	
畢	pɨ2	
斃	pɨ4	
毛	mɑ1	～驴
毛	mɑ2	
毡	tsã1	
毫	xɑ2	
毯	tʰã3	
氏	sɿᵊ4	
民	mɨ̃2	
气	tɕʰɨ2	
气	tɕʰɨ4	
氛	fɐ̃1	
水	ʃuɘɨ3	
永	ʑɨõ3	
氽	tʃʰuɐ̃1	
汀	tʰɨ̃1	
求	tɕʰɨɘ2	
汇	xuɘɨ4	
漢	xã4	
汗	xã4	
汝	zɯ3	
汞	kõ3	
江	tɕɨã1	
池	tsʰɿᵊ2	
污	vɯ1	
湯	tʰã1	
汪	uã1	
汽	tɕʰɨ4	
沉	tsʰɐ̃2	
沌	tõ4	混～
沙	sɔ1	
沛	pʰɘɨ4	
溝	kɘ˞1	
沒	mɨ2-	
沒	mɯ2=	
漚	ɣɘ˞4	
滬	xɯ4	
沫	mo2	
沰	to2	雨淋
河	xo2	
油	ʑɨɘ2	
沾	tsã1	
沿	ʑɨɛ2	
泄	ɕɨ4	
泅	tɕʰɨɘ2	
泉	tɕʰɨɛ2	
泔	kã1	
法	fɔ2	
泛	fã4	
泡	pʰɑ1	松～
泡	pʰɑ4	～在水里
波	po1	
泥	nɨ2	
注	tsɯ4	
淚	luɘɨ4	
泰	tʰᴀ4	
泳	zɨ̃4	
泵	põ4	
瀉	ɕɨ4	
潑	pʰo2	
澤	tsʰɘɨ2	
潔	tɕɨ2	
洇	zɨ̃1	纸～
洋	ʑɨã2	
洒	sɔ3	
洗	ɕɨ3	
洛	lo2	
洞	tõ4	
津	tsɨ̃1	
洪	xõ2	
洲	tsɘ˞1	
活	xo2	
洽	tɕʰɨɔ2	
派	pʰᴀ4	
流	lɨɘ2	
淺	tɕʰɨɛ3	
漿	tɕɨã1	
澆	tɕiɑ1	
濁	tsɯ2	
渾	xõ2	
滸	xɯ3	
濃	nõ2	
浦	pʰɯ3	
浪	lã4	
浮	fɘ˞2	
浴	zɯ2	
海	xᴀ3	
浸	tsɨ̃1	
涂	tʰɯ2	
消	ɕiɑ1	
涕	tʰɨ4	
濤	tʰɑ2	
澇	lɑ4	
潤	zõ4	
漲	tsã3	
涮	ʃuɐ̃4	
淋	lɨ̃2	
淑	sɯ2	
淘	tʰɑ2	
淡	tã4	
淫	zɨ̃2	
淮	xuᴀ2	
深	sɐ̃1	
混	xõ4	
淹	ʑɨɛ1	
添	tʰɨɛ1	
清	tsʰɨ̃1	
淵	ʑɨɛ1	
漸	tɕɨɛ4	
漁	ʑɨ2	
渝	ʑɨ2	
渠	tɕʰɨ2	
渡	tɯ4	
渣	tsɔ1	
渤	pʰɯ2	
溫	ɣõ1	
港	kã3	
渴	kʰo2	
游	ʑɨɘ2	
渺	miɑ3	
湊	tsʰɘ˞4	
湍	tʰuɐ̃1	
湖	xɯ2	
湘	ɕɨã1	
灣	uɐ̃1	
溼	sɿᵊ2	
潰	kʰuɘɨ4	～败
潰	xuɘɨ4	～脓
源	ʑɨɛ2	
溜	lɨɘ4	～冰
溪	ɕɨ1	
滇	tɨɛ1	
滑	xuɔ2	
滔	tʰɑ1	
滾	kõ3	
滿	mã3	
濾	lɨ4	
濫	lã4	
灘	tʰã1	
滴	tɨ2	
漂	pʰiɑ4	～衣裳
漆	tɕʰɨ2	
漏	lɘ˞4	
演	ʑɨɛ3	
漫	mã4	
漱	sɯ4	
潘	pʰã1	
潛	tɕʰɨɛ3	
潢	xuã2	
潮	tsʰɑ2	
潲	sɑ4	
潽	pʰɯ1	饭～了
澄	tɐ̃4	～清
澡	tsɑ3	
濛	mõ2	
灌	kuɐ̃4	
火	xo3	
滅	mɨ2	
燈	tɐ̃1	
灰	xuɘɨ1	
靈	lɨ̃2	
竈	tsɑ4	
灸	tɕɨɘ3	针～
災	tsᴀ1	
燦	tsʰã4	
爐	lɯ2	
炊	tʃʰuɘɨ1	
炎	ʑɨɛ1	
炒	tsʰɑ3	
炕	kʰã4	
炭	tʰã4	
炮	pʰɑ4	
炸	tsɔ2	～油条
炸	tsɔ4	爆～
點	tɨɛ3	
炼	lɨɛ4	
爛	lã4	
烈	lɨ2	
烘	xõ1	
烙	lo2	～铁
燭	tsɯ2	
烟	ʑɨɛ1	
烤	kʰɑ3	
煩	fã2	
燒	sɑ1	
燙	tʰã4	
熱	zɘɨ2	
烹	pʰɐ̃1	
焊	xã4	
煥	xuɐ̃4	
燜	mɐ̃4	
焙	pɘɨ4	
焚	fɐ̃2	
焦	tɕiɑ1	
焰	ʑɨɛ4	
煎	tɕɨɛ1	
煤	mɘɨ2	
照	tsɑ4	
煨	uɘɨ1	
煪	tɕʰɨɘ1	烟～
煮	tsɯ3	
熄	ɕɨ2	
熊	ɕɨõ2	
熏	sɨ̃1	
熔	ʑɨõ2	
熙	ɕɨ1	
熛	pʰiɑ3	火～头发
熥	tʰɐ̃1	把饭～热
熨	zɨ̃4	
熬	ɣɑ1	药
熬	ɣɑ2	
燃	zã2	
燎	liɑ2	
燐	lɨ̃2	
燕	ʑɨɛ4	
燥	tsʰɑ4	
爆	pɑ4	
爪	tʃuɔ3	
爬	pʰɔ1	
爬	pʰɔ2	
愛	ɣᴀ4	
爵	tɕɨo2	
父	fɯ4	
爸	pɔ2	
爹	tɨ1	
爽	ʃuã3	
片	pʰɨɛ4	
版	pã3	
牌	pʰᴀ2	
牙	ʑɨɔ2	
牛	nɨɘ2	
牡	mɘ˞3	
牢	lɑ2	
牧	mɯ2	
物	vɯ2	
牯	kɯ3	
牽	tɕʰɨɛ1	
特	tʰɘɨ2	
犀	ɕɨ1	
犁	lɨ2	
犟	tɕɨã4	～嘴
犬	tɕʰɨɛ3	
犯	fã4	
狀	tʃuã4	
狂	kʰuã2	
狐	xɯ2	
狗	kɘ˞3	
狠	xɐ̃3	
狡	tɕiɑ3	
獨	tɯ2	
狹	ɕɨɔ2	
獅	sɿᵊ1	
獄	zɯ2	
狼	lã2	
獵	lɨ2	
猛	mõ3	
猜	tsʰᴀ1	
豬	tsɯ1	
貓	miɑ1-	
貓	mɑ1	
獻	ɕɨɛ4	
猴	xɘ˞2	
猾	xuɔ2	
玄	ɕɨɛ2	
玉	ʑɨ4	
王	uã2	
玩	uɐ̃2	
環	xuɐ̃2	
現	ɕɨɛ4	
玲	lɨ̃2	
玻	po1	
珍	tsɐ̃1	
珠	tsɯ1	
班	pã1	
球	tɕʰɨɘ2	
理	lɨ3	
琉	lɨɘ2	
瑣	so3	
琢	tso2	
琴	tsʰɨ̃2	
琵	pʰɨ2	
琶	pʰɔ1	
瓊	tsʰɨ̃2	
瑞	ʃuɘɨ4	
璃	lɨ2	
瓜	kuɔ1	
瓢	pʰiɑ2	
瓣	pã4	
瓤	zã2	
瓦	uɔ3	
瓮	ɣõ4	
甌	ɣɘ˞1	汤缽子
瓶	pʰɨ̃2	
瓷	tsʰɿᵊ2	
甄	tsɐ̃1	
甑	tsɐ̃4	
甘	kã1	
甚	sɐ̃4	
甜	tʰɨɛ2	
生	sɐ̃1	
甥	sɐ̃1	
用	ʑɨõ4	
甩	ʃuᴀ3	
田	tʰɨɛ2	
由	ʑɨɘ2	
甲	tɕɨɔ2	
申	sɐ̃1	
電	tɨɛ4	
男	nã2	
畫	xuɔ4	
暢	tsʰã4	
界	kᴀ4	
畏	uɘɨ4	
留	lɨɘ2	
畜	tsʰɯ2	～牲
略	nɨo2	
番	fã1	
疆	tɕɨã1	
疏	sɯ1	
疑	nɨ2	
療	liɑ2	
疝	ʃuɐ̃4	
瘧	nɨo2	
瘍	ʑɨã2	
疤	pɔ1	
疫	zɯ2	
瘡	tʃʰuã1	
瘋	fõ1	
疲	pʰɨ2	
疵	tsʰɿᵊ1	
疹	tsɐ̃3	麻～
疼	tʰɐ̃2	
疾	tɕɨ2	
病	pɨ̃4	
症	tsɐ̃1	～结
症	tsɐ̃4	～状
痒	ʑɨã3	
痕	xɐ̃2	
痛	tʰõ4	
痰	tʰã2	
痱	fɘɨ4	～子
癡	tsʰɿᵊ1	
痹	pʰɨ2	
瘊	xɘ˞2	
瘌	lɔ2	
瘟	ɣõ1	
瘤	lɨɘ4	
瘦	sɘ˞4	
瘴	tsã4	
癩	lᴀ4	
癬	ɕɨɛ3	
癸	kuɘɨ3	
登	tɐ̃1	
白	pɘɨ2	
白	tɕɨɘ4	
百	pɘɨ2	
皂	tsɑ4	
的	nɨ1-	
的	tɨ2	目～
皆	kᴀ1	
皇	xuã2	
皖	uɐ̃3	
皮	pʰɨ2	
皺	tsɘ˞4	
皴	tsʰõ1	
皿	mɨ̃3	
盂	ʑɨ2	
盅	tsõ1	
盆	pʰɐ̃2	
盈	zɨ̃2	
盞	tsã3	
鹽	ʑɨɛ2	
監	tɕɨɛ1	
盒	xo2	
盔	kʰuɘɨ1	
盖	kᴀ4	
盜	tɑ4	
盤	pʰã2	
盛	sɐ̃4	～大
盟	mɨ̃2	
盤	kɯ3	～子
目	mɯ2	
盯	tɨ̃1	
相	ɕɨã1	
相	ɕɨã4	～貌
盼	fɐ̃1	
盼	pʰã4	
盾	tõ4	
省	sɐ̃3	
眉	mɨ2	
眉	mɘɨ2	画～
看	kʰã4	
真	tsɐ̃1	
眠	mɨɛ2	
眨	tsɔ2	
眯	mɨ1	
眶	kʰuã1	
眷	tɕɨɛ4	
眼	ʑɨɛ3	
着	tso2	
着	tsɑ2	～了
睜	tsɐ̃1	
睏	kʰõ4	
睡	ʃuɘɨ4	
督	tɯ2	
睬	tsʰᴀ3	
瞄	miɑ2	
瞅	tsʰɘ˞3	
瞎	ɕɨɔ2	
瞒	mã2	
瞧	tɕʰiɑ2	
瞪	tɐ̃4	
瞿	tɕʰɨ2	
矛	mɑ2	
矢	sɿᵊ2	
矩	tɕɨ3	
矯	tɕiɑ3	
矬	tsʰo2	
短	tuɐ̃3	
矮	ɣᴀ3	
礦	kʰuã4	
碼	mɔ3	
砌	tɕʰɨ4	
砍	kʰã3	
研	nɨɛ1	～究
磚	tʃuɐ̃1	
砧	tsɐ̃1	～板
破	pʰo4	
硃	tsɯ1	
硄	kʰuã3	用力敲门
硌	kɐ̃4	
硝	ɕiɑ1	
硫	lɨɘ2	
硬	ɣɐ̃4	
確	tɕʰɨo2	
礙	ɣᴀ4	
碎	ʃuɘɨ4	
碑	pɘɨ1	
碗	uɐ̃3	
碟	tɨ2	
碰	pʰõ4	
碴	tsɔ1	
碾	nɨɛ3	
磁	tsʰɿᵊ2	
磑	ɣᴀ2	
磕	kʰo2	
磨	mo2	～刀
磨	mo4	石～
磬	tsʰɨ̃4	
礎	tsʰɯ3	
示	sɿᵊ4	
禮	lɨ3	
社	sɘɨ4	
祀	sɿᵊ4	
祁	tɕʰɨ2	
祐	ʑɨɘ4	
祕	mɨ2	
祖	tsɯ3	
祝	tsɯ2	
神	sɐ̃2	
祠	tsʰɿᵊ2	
祥	tɕʰɨã2	
票	pʰiɑ4	
祭	tɕɨ4	
禱	tɑ3	
禍	xo4	
禀	pɨ̃3	
禁	tsɨ̃4	
禄	lɯ2	
福	fɯ2	
禹	ʑɨ3	
离	lɨ2	～别
离	lɨ4	一开一寸
禽	tsʰɨ̃2	
秀	ɕɨɘ4	
私	sɿᵊ1	
禿	tʰɯ2	
秆	kã3	
秉	pɨ̃3	
秋	tɕʰɨɘ1	
種	tsõ3	
種	tsõ4	
科	kʰo1	
秒	miɑ3	
秕	pɨ3	～谷子
秘	mɨ2	一书；～鲁
租	tsɯ1	
秤	tsʰɐ̃4	
秦	tsʰɨ̃2	
秧	ʑɨã1	
秩	tsʰɿᵊ4	～序
積	tɕɨ2	
稱	tsʰɐ̃1	～呼
稱	tsʰɐ̃4	～心
移	ʑɨ2	
稀	ɕɨ1	
程	tsʰɐ̃2	
稍	sɑ1	
稅	ʃuɘɨ4	
稗	pᴀ4	
稠	tsʰɘ˞2	
穌	sɯ1	
穩	ɣõ3	
稻	tɑ4	
稼	tɕɨɔ1	
稽	tɕɨ1	
穆	mɯ2	
穗	ʃuɘɨ4	
穴	ɕɨ2	
究	tɕɨɘ4	
窮	tɕʰɨõ2	
空	kʰõ1	
空	kʰõ4	
穿	tʃʰuɐ̃1	
突	tʰɯ2	
窄	tsɘɨ2	
竅	tɕʰiɑ4	
窑	ʑiɑ2	
窗	tʃʰuã1	
竄	tʃʰuɐ̃4	
窩	ɣo1	
窟	kʰɯ2	
窪	uɔ4	
立	lɨ2	
豎	sɯ4	
站	tsã4	
競	tsɨ̃4	
章	tsã1	
童	tʰõ2	
端	tuɐ̃1	
競	tsɨ̃4	
竹	tsɯ2	
竿	kã1	
笋	sõ3	
笑	ɕiɑ4	
笔	pɨ2	
笔	pɨ2	～米汤
筧	tɕɨɛ3	
笙	sɐ̃1	
符	fɯ2	
笨	pɐ̃4	
第	tɨ4	
箋	tɕʰɨɛ1	
籠	lõ2	
等	tɐ̃3	
筋	tsɨ̃1	
筐	kʰuã1	
筑	tsɯ2	
筒	tʰõ2	
答	tɔ2	
策	tsʰɘɨ2	
篩	sᴀ1	
筷	kʰuᴀ4	
籌	tsʰɘ˞2	
簡	tɕɨɛ3	
箇	ko2	～旧市
箍	kɯ1	～桶
算	ʃuɐ̃4	
管	kuɐ̃3	
籮	lo2	
簫	ɕiɑ1	
箭	tɕɨɛ4	
箱	ɕɨã1	
篆	tʃuɐ̃4	
篇	pʰɨɛ1	
簍	lɘ˞3	
篡	tʃʰuɐ̃4	
籃	lã2	
篷	pʰõ2	
篾	mɨ2	
簧	xuã2	
簪	tsã1	
簸	po3	
簿	pɯ4	
米	mɨ3	
类	luɘɨ4	
粉	fɐ̃3	
粒	lɨ2	
粗	tsʰɯ1	
粤	ʑɨ2	
粱	lɨã2	
糉	tsõ4	
糊	xɯ2	
糕	kɑ1	
糖	tʰã2	
糙	tsʰɑ4	
糟	tsɑ1	
糠	kʰã1	
糯	no4	
系	tɕɨ4	～鞋带
系	ɕɨ4	关～
素	sɯ4	
索	so2	
緊	tsɨ̃3	
累	luɘɨ3	积～
累	luɘɨ4	劳～
絮	ɕɨ4	
繁	fã2	
糾	tɕɨɘ1	
紅	xõ2	
紂	tsɘ˞4	
約	ʑɨo2	
級	tɕɨ2	
紀	tɕɨ3	
紉	zɐ̃3	
純	ʃuɐ̃2	
紗	sɔ1	
綱	kã1	
納	nɔ2	
縱	tsõ4	
紛	fɐ̃1	
紋	vɐ̃2	
紡	fã3	
紐	nɨɘ3	
線	ɕɨɛ4	
練	lɨɛ4	
組	tsɯ3	
紳	sɐ̃1	
細	ɕɨ4	
終	tsõ1	
縐	tsɘ˞4	
絆	pʰã4	
紹	sɑ4	
經	tsɨ̃1	
綁	pã3	
絨	zõ2	
結	tɕɨ2	
繞	zɑ3	围～
繞	zɑ4	
給	kɘɨ3	
絕	tɕɨ2	
絞	tɕiɑ3	
統	tʰõ3	
絹	tɕɨɛ1	
繡	ɕɨɘ4	
綏	ʃuɘɨ1	
繼	tɕɨ4	
績	tɕɨ2	
緒	ɕɨ4	
續	sɯ2	
繩	ʃuɐ̃2	
維	vɘɨ2	
綿	mɨɛ2	
绷	põ1	
綢	tsʰɘ˞2	
綜	tsõ1	
綠	lɯ2	
綴	tʃuɘɨ2	
緬	mɨɛ3	
緞	tuɐ̃4	
緩	xuɐ̃3	
縷	lɘ˞3	
編	pɨɛ1	
緣	ʑɨɛ2	
縛	po2	
縫	fõ2	～衣裳
縫	fõ4	门～
纏	tsʰã2	
繳	tɕiɑ3	
缸	kã1	
缺	tɕʰɨ2	
缽	po2	
罐	kuɐ̃4	
网	vã3	
罕	xã3	
羅	lo2	
罰	fɔ2	
罷	pɔ4	
罩	tsɑ4	
罪	tʃuɘɨ4	
署	sɯ3	
羊	ʑɨã2	
羌	tɕʰɨã1	
美	mɘɨ3	
羔	kɑ1	
羞	ɕɨɘ1	
羡	ɕɨɛ4	
羣	tsʰɨ̃2	
羽	ʑɨ3	
翁	ɣõ1	
翅	tsʰɿᵊ4	
翹	tɕʰiɑ1	
翠	tʃʰuɘɨ4	
翡	fɘɨ3	
翰	xã4	
翻	fã1	
翼	ʑɨ4	
耀	ʑiɑ4	
老	lɑ3	
考	kʰɑ3	
者	tsɘɨ3	
而	ɣɯ˞2	
耍	ʃuɔ3	
耐	nᴀ4	
耕	kɐ̃1	
耖	tsʰɑ4	翻整
耗	xɑ4	
耙	pɔ4	
耳	ɣɯ˞3	
耶	ʑɨ1	
耷	tʰɔ1	垂下：～耳朵
恥	tsʰɿᵊ3	
耽	tã1	
聶	nɨ2	
聊	liɑ2	
聾	lõ1	
聒	kuɔ2	
聘	pʰɨ̃4	
聰	tsʰõ1	
肅	sɯ2	
肆	sɿᵊ4	
肆	ʑɨ4	
肉	zɯ2	
肋	lɘɨ2	
肌	tɕɨ1	
肖	ɕiɑ1	
肘	tsɘ˞3	
肚	tɯ3	猪～
肚	tɯ4	～子疼
肝	kã1	
腸	tsʰã2	
股	kɯ3	
肤	fɯ1	
肥	fɘɨ2	
肨	pʰã1	肿～
肩	tɕɨɛ1	
肪	fã1	
骯	ɣã1	
肯	kʰɐ̃3	
育	zɯ2	
肴	ʑiɑ2	
肺	fɘɨ4	
腎	sɐ̃4	
腫	tsõ3	
脹	tsã4	
脅	ɕɨ2	
胃	uɘɨ4	
膽	tã3	
背	pɘɨ1	～人
背	pɘɨ4	脊～
胎	tʰᴀ1	
胖	pʰã4	
勝	sɐ̃4	
胞	pɑ1	
胡	xɯ2	
胯	kʰuɔ3	
膠	tɕiɑ1	
胸	ɕɨõ1	
能	nɐ̃2	
脆	tʃʰuɘɨ4	
脉	mɘɨ2	
脊	tɕɨ2	～梁骨
脏	tsã1	
臍	tɕʰɨ2	
腦	nɑ3	
膿	nõ2	
腳	tɕɨo2	
脯	pʰɯ3	
脫	tʰo2	
臉	lɨɛ3	
脾	pʰɨ2	
臘	lɔ2	
腐	fɯ3	
腑	fɯ3	
腔	tɕʰɨã1	
腕	uɐ̃3	
腥	sɨ̃1	
腮	sᴀ1	
腰	ʑiɑ1	
腹	fɯ2	
膩	nɨ4	
騰	tʰɐ̃2	
腿	tʰuɘɨ3	
膏	kɑ1	
膘	piɑ1	
膝	tɕʰɨ2	
膳	sã4	
膼	tʃuɔ2	
臂	pɘɨ4	
臃	ʑɨõ1	
臣	tsʰɐ̃2	
臭	tsʰɘ˞4	
舀	ʑiɑ3	
舅	tɕɨɘ4	
舍	sɘɨ3	
舍	sɘɨ4	
舒	sɯ1	
舔	tʰɨɛ3	
舜	sõ4	
舞	vɯ3	
