#漢字	音標	解釋
#簡稱	/	綏寧河口
#全稱	/	綏寧河口話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-03
#錄入人	/	DaiDzao
#參考資料	/	《湖南綏寧河口湘語方言音系》
#說明	/	
捉	tso1	
捎	sau3	
捏	ȵie3	
捐	kyan1	
捕	pʰu3	
捘	tsʰən3	(用手按着)
撈	lau2	
損	sən3	
換	xuan6	
捧	pʰoŋ3	
捨	ʃa3	
据	ky5	
捱	ŋai2	
捷	tʃie3	
捺	la3	
掀	ʃian1	
掁	tsən5	
掂	tian1	
授	ʃou5	
掉	tiau5	
掌	tʃaŋ3	
掏	tau2	
掐	kʰa3	
排	pai2	
掘	kye3	
掠	lio3	
探	tʰan5	
接	tsie3	
控	kʰoŋ5	
推	tʰei1	
掩	ˀian3	
措	tsʰo5	
掮	tʃʰian3	
撣	tan2	
揉	ˀiou2	
描	miau2	
提	tia2-	～东西
提	tʰi2=	～出
插	tsʰa3	
揖	ˀi3	
揞	ŋan5	
握	ˀo5	
揢	kʰa5	(喉咙被异物堵住)
揩	kʰai1	
揪	tsiou1	一把～住
揭	tʃie3	
揰	tsʰoŋ3	
援	ˀyan2	～救
揸	tsa1	用手指取东西，～牌
攬	lan3	
攙	tsʰan1	
擱	ko3	
摟	liau2	～取
摟	lou2	
攪	tʃau3	
搊	tsʰiau1	～起来
搓	tsʰo1	
搛	tʃian1	～菜
搜	siau1	
搞	kau3	
搡	saŋ3	
搣	mie1	(剥)
搧	ʃian1	
搨	tʰa5	
搬	puan1	
搭	ta3	
搲	ˀua1	(抓)
搽	tsa2	
攝	ʃie5	
摆	pai3	
摇	ˀiau2	
攤	tʰan1	
摔	sai3	
摘	tsie3	
摛	tsʰɿ1	(涂抹、擦)
摞	lo2	
摩	mo2	
摸	mo1	
摹	mo2	
摺	tʃie3	～叠
撂	liau6	(丢)
撅	kʰye3	(折断)
撇	pʰie3	～捺
撑	tsʰən1	
撒	sa3	
撕	sɿ1	
撞	tsaŋ6	
撩	liau2	
撮	tsʰo3	
撰	tsuan5	
撴	tʰən3	(用拳头打)
攆	ȵian3	
撼	xan5	
擀	kan3	
操	tsʰau1	
擎	tʃʰin2	
擒	tʃʰin2	
擘	pie1	(用手掰开)
擤	soŋ3	～鼻涕:抽鼻涕
擦	tsʰa3	
攀	pʰan1	
攢	tsan3	积～
攘	ˀiaŋ3	
支	tʃʅ1	
收	ʃou1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tʃin5	
故	ku5	
效	ʃau5	
敵	ti3	
敏	min3	
救	tʃou5	
教	tʃau1	
教	tʃau5	
斂	lian3	
敝	pi5	
敢	kan3	
散	san3	鞋带～了
散	san5	分～
敦	tən1	
敨	tʰiau3	～气
敬	tʃin5	
數	sou3	(动词)
數	sou5	(名词)
敲	kʰau1	
整	tʃin3	
斃	pi5	
文	ˀuən2	
斋	tsai1	
斑	pan1	
斗	tiau5-	
斗	tiau3	一～米
料	liau6	
斜	tsia1	
斟	tʃin1	
斢	tʰiau3	交换:～一个位子
斤	tʃin1	
斧	fu3	
斬	tsan3	
斷	tuan6-	～绝
斷	tuan5=	决～
斯	sɿ1	
新	sin1	
方	faŋ1	
於	ˀy1	～此
施	ʃʅ1	
旁	paŋ2	
旅	li3	
旋	tsian6	头发～
族	tsʰou5	
旗	tʃi2-	
旗	tʃʰi2=	
无	ˀu2	
旦	tan5	
舊	tʃou6	
旨	tʃʅ3	
早	tsau3	
旬	sən3	
旱	xan6	
時	ʃʅ2	
旺	ʃin1	
旺	ˀuaŋ6	
昂	ˀaŋ3	
昆	kʰuən1	
昌	tʃʰaŋ1	
明	mie2-	～日
明	mən2-	(又读),～日
明	min2=	清～
昏	fən1	
易	ˀi5	
昔	si3	
星	sin1	
映	ˀin5	
春	kʰyn1	
昧	mei5	
昨	tsʰo5	
昭	tʃau1	
是	ʃʅ6	
晝	tʃou5	
顯	ʃian3	
晃	faŋ5	
晉	tʃin5	
晌	ʃaŋ3	
曬	sai5	
曉	ʃau3	
暈	ˀin1	
晚	ˀuan3	
晚	ŋan5	
晦	fei5	
晨	ʃən2	
普	pʰu3	
景	tʃin3	
晴	tsin2	
晶	tsin1	
智	tʃʅ5	
暫	tsan6	
暑	fy3	
暖	no3	
暗	ŋan5	
暮	mo5	
暴	pau5	
曰	ˀye3	
曲	kʰy3	
曲	tʃʰou3	酒～
更	kən1	五～
更	kən5	～加
曹	tsau2	
曾	tsən1	(姓)
曾	tsən2	～经
替	tʰi5	
最	tsei5	
月	ˀye3	
有	ˀiou3	
朋	poŋ2-	
朋	pʰoŋ2=	
服	fu5-	～侍
服	fu3	
朔	so3	
朗	laŋ3	
望	ˀuaŋ6	
朝	tʃau1	今～
朝	tʃʰau2	
期	tʃʰi1	
木	mo3	
未	ˀuei6	
末	mo3	
本	pən3	
札	tsa3	
术	fy5	
朱	ky1	
朴	pʰu3	
朵	to3	
機	tʃi1	
朽	siou3	
雜	tsʰa5	
雜	tsa3=	
權	kʰyan2	
杆	kan3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	sin5	
材	tsai2	
村	tsʰən1	
杖	tʃaŋ5	
杞	tʃi5	
束	ʃou5	
杠	kaŋ5	
條	tiau2	
條	tʰiau2=	
來	lai2	
楊	ˀiaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tʃie3	
杳	ˀiau2	～无音信
杵	kʰy5	(戳或捅)
杷	pa1	
松	tsioŋ2-	～树
松	soŋ1=	
板	pan3	
極	tʃi3	
構	kiau5	
枇	pi2	
枉	ˀuaŋ3	
析	si5	
枕	tʃin3	
林	lin2	
枚	mei2	
果	ko3	
枝	tʃʅ1	
樞	kʰy1	
棗	tsau3	
槍	tsʰiaŋ1	
楓	xoŋ1	
枯	kʰu1	
枵	siau1	
架	ka5-	
架	tʃa5=	
柄	pin3	
柏	pie3	
某	miau3	
柑	kan1	
染	ȵian3	
柔	ˀiou2	
柚	ˀiou5	
櫃	kuei5	
查	tsa2	
柩	tʃou6	
柬	tʃian3	
柱	ky6	
柳	liou3	
柴	tsai2	
柿	sɿ6	
梔	tʃi1	
標	piau1	
棧	tsan5	
棟	toŋ5	
欄	lan2	
樹	fy6	
栗	li5	
校	tʃau5	～对
校	ʃau5	
株	tiau1-	量词“棵”:一～树
株	ky1	
樣	ˀiaŋ6	
核	xie3	
根	kən1	
格	kie3	
栽	tsai1	
桂	kuei5	
桃	tau2	
桅	ˀuei3	
案	ŋan5	
桌	tso1	
桐	toŋ2	
桑	saŋ1	
桓	xuan2	
椏	ˀa1	
橋	tʃau2	
檜	fei5	
槳	tsiaŋ3	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梗	kuaŋ3	茎,菜～
夢	moŋ6	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	sou1	
檢	tʃian3	
棉	mian2	
棋	tʃi2	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棚	poŋ2	
棠	taŋ2	
森	sən1	
棵	kʰo3	
棺	kuan1	
椅	ˀi3	
植	tʃʰʅ5	
椒	tsiau1	
橢	tʰo3	
椴	tuan6	
椽	fyan2	～皮
楚	tsʰou3	
楞	lən5	
楣	mei2	
楷	kʰai3	
樓	liau2	
概	kʰai5	
欖	lan2	橄～
榆	ˀy2	
榖	ku3	
榛	tsən1	
榜	paŋ3	
榨	tsa5	
榫	sən3	
榴	liou2	
榻	tʰa3	
槌	ky2	
槐	fai2	
檳	pin1	
槽	tsau2	
樁	kʰyn1	
樟	tʃaŋ1	
模	mo2	
橫	ˀuən2-	～直
橫	ˀuən2	蛮～:渠～得很
櫻	ˀin1	
樵	tsiau1	
橄	kan3	～榄
橘	ky5	
橙	tsən2-	～子
橙	tʃʰin2-	～子
橡	siaŋ5	
櫓	lou3	
檀	tan2	
檐	ˀian2	
檁	lin3	
欛	pa5	锄头～
欠	tʃʰian5	
次	tsʰɿ5	
歡	xuan1	
欣	ʃin1	兴～
欲	ˀy5	
欺	tʃʰi1	
款	kʰuan3	
歇	ʃie3	
歉	tʃʰian5	
歌	ko1	
止	tʃʅ3	
正	tʃin1	～月
正	tʃin5	
此	tsʰɿ2	
步	pu6	
武	ˀu3	
歪	ˀuai1	
死	sɿ3	
殲	tsian1	
殃	ˀiaŋ1	
殆	tai5	
殊	fy1	
殘	tsan2	
殮	lian3	
殖	tʃʰʅ5	
殯	pin5	
毆	ˀæu3	
段	tuan6	
殷	ˀin1	
殿	tian6	
毁	fei3	
毅	ȵi5	
母	mo3	
每	mei3	
毒	tou5	
比	pi3	
畢	pi3	
毛	mau2	
毡	tsan1	
毫	xau2	
毯	tʰan3	
氏	ʃʅ6	
民	min2	
气	tʃʰi5	
水	fy3	
水	tʃian3	
永	ˀyn3-	
永	ˀioŋ3=	
汀	tʰin3	
汁	tʃi5	
求	tʃou2	
汇	fei5	
漢	xan5	
汗	xuan6	
汝	ˀy3	
汞	koŋ3	
江	kaŋ1	
池	tsʰɿ2	
污	ˀu1	
湯	tʰaŋ1	
汪	ˀuaŋ1	
汴	pian3	
汽	tʃʰi5	
沂	ˀi2	
沃	ˀo5	
沈	ʃən3	
沉	tʃin2	
沌	tən5	
沓	tʰa5	
沙	sa1	
溝	kiau1	
漚	ˀæu5	
滬	fu5	
沫	mo3	
河	ˀo2-	地名:～口
河	xo2=	
油	ˀiou2	
治	tʃʅ5	
沼	tʃau1	～气
沾	tʃian1	
沿	ˀian2	
泄	sie3	
泅	tʃʰou2	
泉	tsʰian2	
泊	po3	
泌	pi5	
泔	kan1	
法	fa3	
泛	fan5	
泡	pʰau1	
泡	pʰau5	～在水里
波	po1	
泥	ȵi1	
注	ky5	
淚	li2	
泰	tʰai5	
泳	ˀioŋ3	
瀉	ʃa5-	(卑贱)
瀉	sia5-	
潑	pʰo3	
澤	tsʰie3	
潔	tʃie3	
洇	ˀin1	
洋	ˀiaŋ2	
洒	sai3-	
洒	sa3=	
洗	si3	
洛	lo3	
洞	toŋ6	
津	tsin1	
洪	xoŋ2	
洲	tʃou1	
活	xo5	
洽	tʃʰa5	
派	pʰai5	
流	liou2	
淺	tsʰian3	
漿	tsiaŋ1	
澆	tʃau1	
濁	tsʰo5	
測	tsʰie3	
渾	fən2	～浊
濃	ȵoŋ2	
浙	tʃie3	
浜	paŋ1	
浦	pʰu3	
浩	xau5	
浪	laŋ5	
浮	pau2-	
浮	fu2=	
浴	ˀiou5	
海	xai3	
浸	tsin5	
涂	tou2	
消	siau1	
涉	sie3	
涌	ˀioŋ3	
涎	sian3	
涕	tsʰi5	
濤	tʰau1	
澇	lau5	
潤	ˀyn5	
漲	tʃaŋ3	
澀	tʃa3	
涮	suan1	～洗
涯	ˀia2	
液	ˀie5	
淋	lin2	
淑	ʃou1	
淘	tau2	～米
淡	tan6	
淤	ˀy1	
淫	ˀin2	
淮	fai2	
混	fən6	相～
淹	ˀian1	
添	tʰian1	
清	tsʰin1	
淵	ˀyan1	
漸	tʃian5	
澠	mian3	
漁	ˀy2	
滲	sən5	
渠	kɯ3	(他)
渡	tou6	
渣	tsa1	
溫	ˀuən1	
港	kaŋ3	
渴	kʰo3	
游	ˀiou2	
渺	miau3	
湖	fu2	
湘	siaŋ1	
灣	ˀuan1	
溼	ʃʅ3	
潰	kʰuei5	～脓
濺	tsian5	
溉	kʰai5	
源	ˀyan2	
溜	liou1	
溪	tʃʰi1	
溺	ȵi5	
溻	tʰa3	
滂	paŋ2	
滋	tsɿ1	
滑	ˀua5	
滓	tsɿ3	
滔	tʰau1	
滾	kuən3	
滯	tʃʅ5	
滿	muan3	
滿	tsai5	
濾	li6-	～干
濾	li5=	
濫	lan5	
灘	tʰan1	
滴	tia5-	
漂	pʰiau1	
漂	pʰiau5	～亮
漆	tsʰi3	
漏	liau6	
演	ˀian3	
漥	ˀua1	
漫	pʰan5	
漾	ȵiaŋ6	稻田或池塘中有水:田里～着水
潘	pʰuan1	
潛	tʃʰian3	
潭	tʰan1	
潮	tʃʰau2	
潲	sau5	
澄	tʃʰin2	
澄	tʃin6	水混，～一～
澡	tsau3	
澳	ˀau5	
激	tʃi3	
瀑	pʰu5	～布
灌	kuan5	
灒	tsan5	
火	xo3	
滅	tsian1	
滅	mie3	
燈	tən1	
灰	fei1	
靈	lin2	
竈	tsau5	
灸	tʃou3	
災	tsai1	
燦	tsʰan5	
爐	lou2	
炊	tsʰei5	
炎	ˀian2	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tʃa3	
炫	fyan6	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
點	tian3	
爛	lan6	
烈	lie3	
烊	ˀiaŋ2	
烘	xoŋ1	
烘	xoŋ6	热～～，过于暖和
烙	lo3	
燭	tʃou3	
烟	ˀian1	
烤	kʰau3	
煩	fan2	
燒	ʃau1	
燙	tʰaŋ5	
熱	ȵie5	
烹	pʰən1	
焉	ˀian1	
焊	xan6	
煥	fan5	
焙	pei6	
焚	fən2	
焦	tsiau1	
焰	ˀian5	
然	ˀian2	
煎	tsian1	
煤	mei2	
照	tʃau5	
煨	ˀuei1	
煮	ky3	
熄	si3	
熊	ʃoŋ2	
熏	fyn1	
熟	ʃou5	煮～
熨	ˀyn5	
熬	ŋau2	
燃	ȵian2	
燎	liau2	
燕	ˀian5	～子
爆	pau5	
爪	tsau3	～子
爬	pa2	
愛	ŋai5	
爺	ˀia2	
爺	ˀie2	祖父:～～
爸	pa1	
爹	ti1	
爽	saŋ3	
片	pʰian5	
版	pan3	
牌	pai2	
牘	tou3	
牒	tie3	
牙	ŋa2	
牚	tsʰən5	
牛	ȵou2	
牡	miau3	
牢	lau2	
牧	mo5	
物	ˀu3-	
物	tʰo3	
物	ˀu5=	
牯	ku3	
牲	sən1	
牽	tʃʰian1	
牸	tsɿ6	
特	tʰie5	
犧	si1	
犀	si1	
犁	li2	
犢	tou3	
犒	kʰau5	
犬	kʰyan3	
犯	fan6	
狀	tsaŋ5	形～
狀	tsaŋ6	告～
猶	ˀiou2	
狂	kʰuaŋ2	
狄	ti3	
狐	fu2	
狗	kiau3	
狡	tʃau3	
獨	tʰou5	
獅	sɿ1	
獪	kuai3	(狡猾)
獄	ˀy5	
狸	li2	
狼	laŋ2	
猋	piau1	跳:～过去
猛	moŋ3	
猜	tsʰai1	
豬	ky1	
貓	mau5	
獻	ʃian5	
猴	xiau2	
猾	ˀua5	
獺	tʰa3	
玄	fyan2	
率	li5	
玉	ˀy5	
王	ˀuaŋ2	
玩	ˀuan2	
環	kuan2-	
環	fan2=	
現	ʃian5	
璽	si3	
玻	po1	
珊	san1	
珍	tʃin1	
珠	ky1	
班	pan1	
球	tʃou2	
理	li3	
琉	liou2	
瑣	so3	
琢	tso1	
琴	tʃin2	
琵	pi2	
琶	pa1	
瓊	tʃʰoŋ2	
瑞	ʃei5	
瑟	sie3	
璃	li2	
瓜	kua1	
瓠	fu2	
瓢	pʰiau2	
瓣	pan5	
瓤	ˀiaŋ2	
瓦	ˀua3	
瓮	ˀoŋ5	
瓶	pin2	
瓷	tsʰɿ2	
甘	kan1	
甜	tian2	
生	sən1	
甥	sən1	
用	ˀioŋ6-	
用	ʃoŋ5	
用	ˀioŋ5=	
甩	fya1-	(用鞭子抽牛)
甩	sai3	
甩	fya5=	(扇耳光)
甫	fu3	
甬	ˀioŋ3	
田	tian2	
由	ˀiou2	
甲	tʃa3	
申	ʃən1	
電	tian5	
男	nan2	
畫	fa6	
暢	tʃʰaŋ5	
界	kai5	
畏	ˀuei5	
留	liou2	
畜	tʃʰou3	～生
畜	ʃou5	～牧
略	lio3	
番	fan1	
畬	ʃa1	(菜地)
疆	tʃaŋ1	
疏	sou1	
疑	ȵi1	
疔	tin1	
療	liau2	
疝	san5	
瘍	ˀiaŋ2	
疤	pa1	
疥	kai5	
疫	ˀy5	
瘡	tsʰoŋ1	
瘋	xoŋ1	
疲	pi2	
疹	tʃin3	
疼	tən2	
疾	tsi3	
疿	fei5	～子
痂	ka3	
病	pin6	
症	tʃin5	
癰	ˀioŋ2	
痒	ˀiaŋ3	
痔	tʃʅ5	
痕	xən2	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痣	tʃʅ5	
癆	lau2	
痰	tan2	
痲	ma2	
癡	tʃʰʅ1	
痹	pi5	
瘊	xiau2	～子
瘌	la3	
瘟	ˀuən1	
瘦	siau5	
瘴	tʃaŋ5	
癩	lai5	
癬	sian3	
癰	ˀioŋ1	
癸	kuei5	
登	tən1	
白	pʰie5	
百	pie3	
皂	tsau3	
的	ti6	目～
皆	kai1	
皇	faŋ2	
皖	ˀuan3	(安徽)
皮	pi2	
皴	tsʰən5	
皿	min3	
盂	ˀy2	
盅	tʃoŋ1	
盆	pən2	
盈	ˀin2	
益	ˀi5	
盞	tsan3	
鹽	ˀian2	
監	kan5	
盒	xo5	
盔	kʰuei1	
盖	kai5=	
盜	tau6	
盤	puan2	
盛	tʃʰin2	～满
目	mo3	
盲	maŋ2	
直	tʃʰʅ5	
相	siaŋ1	～似
相	siaŋ5	～貌
盼	pʰan5	
盾	tən5	矛～
省	sən3	
省	sin3	反～
眉	mi2	
眉	mei2=	
看	kʰan5	
真	tʃin1	
眠	mian2	
眨	tsa3	
眶	kʰuaŋ1	
眷	kyan5	
眼	ŋan3	
着	tʃʰo5	①睡～:睏～;②表“遭遇”:～打;③丢失:钱～嘎
睜	tsən5	
睛	tsin1	
睡	ʃei5	
督	tou1	
睬	tsʰai3	
瞅	tsʰiou5	
瞎	xa3	
瞒	muan3	
瞖	ˀi5	
瞧	tsiau2	
瞪	tən5	～眼
瞳	toŋ2	
瞻	tsan1	
瞻	tʃian1	
矁	tsʰiou5	(看)
矛	mau2	
矢	ʃʅ3	
矣	ˀi3	
知	tʃʅ1	
矩	ky3	
矯	tʃau3	
短	tʃaŋ2	
短	tuan3	
矮	ˀai3	
石	ʃʅ5	
礦	kʰuaŋ5	
碼	ma3	
砌	si5	
砍	kʰan3	
砑	ŋa6-	(物体磨)
砑	ŋa5=	
研	ˀian2	
磚	kyan1	
硯	ˀian5	
砣	to2	
破	pʰo5	
礎	tsʰou3	
硃	ky1	
硝	siau1	
硫	liou2	
硬	ŋən6	
確	tʃʰo3	
礙	ˀai5	
碎	tsʰei5	
碑	pei1	
碓	tei5	
碗	ˀuan3	
碟	tie3	
碧	pi5	
鹼	kan3	
碾	ȵian3	
磁	tsɿ2	
磉	saŋ3	
磑	ŋai2	(磨，研)
磕	kʰo3	
磨	mo2	
磨	mo6	石～
磬	tʃʰin5	
磷	lin2	
礓	tʃaŋ1	
示	ʃʅ5	
禮	li3	
社	ʃie5	
祀	sɿ6	
祁	tʃʰi3	
祈	tʃʰi3	
祖	tsou3	
祝	tʃou3	
祠	tsɿ2	
祥	tsʰiaŋ2	
票	pʰiau5	
祭	tsi5	
禱	tau3	
禍	xo6	
禀	pin3	
禁	tʃin5	
禄	lou3	
禪	tsʰan2	
禪	ʃian5	
福	fu3	
禹	ˀy3	
离	li2	
禽	tʃʰin2	
禾	ˀo2	
秀	siou5	
私	sɿ1	
禿	tʰou3	
秆	kan3	
秉	pin3	
秋	tsʰiou1	
種	toŋ5-	节气:芒～
種	tʃoŋ3	
種	tʃoŋ5	～树
科	kʰo1	
秒	miau3	
秕	pi3	
秘	mi5	
租	tsou1	
秤	tʃʰin5	一杆～
秦	tʃʰin2	
秧	ˀiaŋ1	
秩	tʃʅ5	
積	tsi3	
稱	tʃʰin2	～重量
稱	tʃʰin5	相～
移	ˀi2	
穢	fei5	
稀	ʃi1	
程	tʃʰin2	
稍	sau3	
稅	ʃei5	
稗	pai6	
稚	tʃʅ5	
稠	tʃou2	
穩	ˀuən3	
稻	tau6	
稼	tʃa5	
稽	tʃi1	
稿	kau3	
穆	mo5	
穰	ˀiaŋ2	
穴	ʃie5	
窮	tʃoŋ2	
空	kʰoŋ1	～虚
空	kʰoŋ5	～缺
穿	kʰyan1	
窄	tsie3	
竅	tʃʰau5	
窑	ˀiau2	
窖	kau5	
窗	tsʰaŋ1	
竄	tsʰuan5	
窩	ˀo1	
窟	kʰu1	
窠	kʰo1	
窺	kʰuei1	
立	li5	
豎	fy6	
站	tsan5	
競	tʃin5	
竟	tʃin5	
章	tʃaŋ1	
童	toŋ2	
端	tuan1	
竹	tʃou3	
竹	tʃian3	
竿	kan3	
篤	tou3	
笋	sən3	
笑	siau5	
笔	pi3	
筧	tʃian3	
笙	sən1	
笠	li5	
笡	tsʰia5	(斜)
符	fu2	
笨	pən5	
第	ti6-	
第	ti5=	
箋	tʃian1	
籠	loŋ2	
等	tən3	
筋	tʃin1	
筏	fa3	
筐	kʰuaŋ1	
筑	tʃou3	
筒	toŋ2	
答	ta3	
策	tsʰie5	
篩	sai1	
箏	tʃin1	
筵	ˀian2	
筷	kʰuai5	
籌	tʃou2	
签	tsʰian1	
簡	kan3	
箍	ku1	
算	suan5	
管	kuan3	
籮	lo2	
簫	siau1	
箭	tsian5	
箱	siaŋ1	
篆	tsuan5	
篇	pʰian1	
簍	liau2	
篙	kau1	
篡	tsʰuan5	
籃	lan2	
篱	li2	
篷	poŋ2	
篾	mie3	
簟	tian6	
簧	faŋ2	
簪	tsan1	
簸	po5	
簿	pu6	
籍	tsi3	
米	mi3	
类	tʃoŋ3	
类	lei5	
籽	tsɿ3	
粉	fən3	
粒	li5	
粗	tsʰou1	
粘	tsan1	
糶	tʰiau5	
粟	siou3	
粤	ˀye3	
粥	tʃou1	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粹	tsʰei5	
糉	tsoŋ5	
精	tsin1	
糍	tsɿ2	
糕	kau1	
糖	taŋ2	
糙	tsʰau5	
糟	tsau1	
糠	kʰaŋ1	
糯	no6	
系	si5	
系	ʃi5	
素	sou5	
索	so3	
緊	tʃin3	
紫	tsɿ3	
累	lei3	～积
累	lei5	连～
累	lei6	(极困)
絮	si5	
繁	fan2	
繫	ʃi6	(用铁丝将菜锅或饭锅的两边连接起来)
纂	tsuan3	编～
糾	tʃou1	
紅	xoŋ2	
紂	tʃou5	
約	ˀio3	
級	tʃi3	
紀	tʃi5	
紉	ˀin5	缝～
緯	ˀuei3	
純	fyn2	
紗	sa1	
綱	kaŋ1	
納	na3	
縱	tsoŋ5	
紛	fən1	
紙	tʃʅ3	
紋	ˀuən2	
紡	faŋ3	
紐	ȵou3	
線	sian5	
練	lian5	
組	tsou3	
細	si5	
織	tʃʅ3	
終	tʃoŋ1	
絆	pan5	
絆	puan5	
紹	ʃau5	
經	tʃin1	
綁	paŋ3	
結	tʃie3	
繞	ˀiau3	围～
繞	ˀiau5	～线
繪	fei6	
絡	lo3	
絕	tsʰie5-	
絕	kye3=	
絞	tʃau3	
統	tʰoŋ3	
絹	kyan5	
繡	siou5	
綏	si1	
績	tsi3	
緒	fy5	
續	sou5	
綽	tsʰo5	
繩	fyn2	
維	ˀuei2	
綿	mian2	
绷	pən5	拉:～直
綢	tʃou2	
綯	tau2	
綜	tsoŋ5	
綻	tsan5	
綻	tsan5	缝:～衣服
綠	liou3	
綴	tsei5	
緬	mian3	
纜	lan3	
緝	tʃi5	
緞	tuan6	
緩	xuan6	
縷	li3	
編	pʰian1	
緣	ˀyan2	
縫	xoŋ2	
纏	tsan2	
縊	ˀi5	
纓	ˀin1	
縮	sou3	
繮	tʃaŋ1	
繰	tʃau3	～边
繳	tʃau3	
缸	kaŋ1	
缺	kʰye3	
罐	kuan5	
网	ˀuaŋ3	
罕	xan5	
羅	lo2	
罰	fa5	
罷	pa5	
罩	tsau5	
罪	tsei6	
置	tʃʅ5	
羊	ˀiaŋ2	
羌	tʃʰaŋ1	
美	mei3	
羔	kau1	
羞	siou1	
羡	sian5	
羣	kʰyn2	
羹	kən1	
羽	ˀy3	
翁	ˀoŋ1	
翅	tʃʅ5	
翎	lin3	
翹	tʃʰau5	
翠	tsʰei5	
翡	fei1	
翰	xan5	
翻	fan1	
耀	ˀiau5	
老	lau3	
考	kʰau3	
者	tʃie3	
而	ˀɤ2	
而	ˀɯ2	(又读)
耍	sa3	
耐	nai5	
耕	kən1	
耗	xau5	
耙	pa2	
耳	ˀɤ3	
耳	ˀɯ3	(又读)
耶	ˀie3	
恥	tʃʰʅ3	
耽	tan1	
耿	kən3	
聶	ȵie5	
聊	liau2	
聾	loŋ1	
職	tʃʅ3	
聯	lian2	
聘	pʰin5	
聚	ky5	
聰	tsʰoŋ1	
肅	sou5	
肄	ˀi5	
肆	sɿ5	
肉	ȵou5	
肋	lie3	
肌	tʃi1	
肘	tʃou3	
肚	tou3	鱼～
肚	tou6	～腹
肝	kan1	
腸	tʃaŋ2	
股	ku3	
肢	tʃʅ1	
肤	fu1	
肥	fei2	
肩	tʃian1	
肪	faŋ2	
肫	kyn6	
骯	ŋaŋ1	
肯	kʰən3	
育	ˀiou5-	
育	ˀy5=	
肴	ˀiau2	
肺	fei5	
腎	ʃən5	
腫	tʃoŋ3	
脹	tʃaŋ5	
胃	ˀuei5	
膽	tan3	
背	pei5	
背	pei6	～书
胎	tʰai1	
胖	pʰaŋ5	
胛	ka3	
胞	pau1	
胡	fu2	
胯	kʰa5	
膠	tsiau1	
胸	ʃoŋ1	
能	nən2	
脂	tʃʅ3	
脆	tsau1	
脆	tsʰei5	
脉	mie3	
脏	tsaŋ1	(不干净)
脏	tsaŋ5	心～
臍	tsi1	
腦	nau3	
膿	loŋ2	
腳	tʃo3	
脯	pu1	
脫	tʰo3	
腡	lo2	
臉	lian3	
脾	pi2	
腆	tʰian3	
臘	la3	
腌	ˀian1	
腌	ŋan5	用坛子～菜
腐	fu3	
腑	fu3	
腔	tʃʰaŋ1	
腕	ˀuan3	
腥	sin1	
腮	sai1	
腰	ˀiau1	
腱	tʃian5	
騰	tən2	
腿	tʰei3	
膏	kau1	
膘	piau1	
膜	mo2	
膝	tsʰi3	
膨	pən2	
膨	poŋ2	～胀
膳	ʃian5	
臀	tʰən2	
臂	pi3	
臊	sau1	
臣	tʃʰin2	
自	tsɿ6-	
自	tsɿ5=	
臭	tʃʰou5	香～
至	tʃʅ5	
致	tʃʅ5	
臻	tsən1	
舀	ˀiau3	～水
舂	tʃʰoŋ1	
舅	tʃou6	
舌	ʃie5	
舍	ʃa3	
舒	fy1	
舔	tʰian3	
舜	fyn5	
舞	ˀu3	
舟	tʃou1	
航	xaŋ2	
般	puan1	
艦	tʃian5	
舵	to2	
船	fyan2-	
船	kʰyan2=	
艇	tʰin3	
良	liaŋ2	
艱	kan1	
色	sie3	
艳	ˀian5	
藝	ȵi5	
艾	ŋai6	(植物)
艾	ŋai5=	(姓氏)
節	tsie3	
芋	ˀy6	
芒	maŋ2	
芙	fu2	
芝	tʃʅ1	
芥	kai5	
蘆	lou2	
芬	fən1	
芭	pa1	
花	fa1	
芹	tʃin2	
芽	ŋa2	
葦	ˀuei3	
莧	xan6	～菜
蒼	tsʰaŋ1	
苏	sou1	
苗	miau2	
苟	kiau3	
若	ˀio3	
苦	sin1	
苦	kʰu3	
英	ˀin1	
苶	ȵa2	(身体无力发软)
苶	lia2	(疲倦)
茂	miau5-	
茂	mau5=	
范	fan5	
茄	tʃa2	
茅	mau2	
莖	tʃin1	
茫	maŋ2	
茴	fei2	
茶	tsa2	
茸	ˀioŋ2	
荆	tʃin1	
草	tsʰau3	
薦	tsian5	
荒	faŋ1	
荔	li5	
蕎	tʃau2	
荡	taŋ5	
榮	ˀioŋ2	
荫	ˀin1	
藥	ˀio3	
荷	xo2	
莠	ˀiou3	
莫	mo5	
蓮	lian2	
鶯	ˀin1	
莽	maŋ3	
菊	ky6	
菌	kyn6	
菖	tʃʰaŋ1	
菜	tsʰai5	
菠	po1	
菢	pau6	～小鸡
菩	pu1	
菱	lin2	
萄	tau1	
萌	moŋ2	
萍	pʰin2	
