#漢字	音標	解釋
□	ɕio2	弯腰
覺	tɕyo7	知~
角	tɕyo7	
解	ɕiɛ5	姓
解	tɕiɛ3	晓也,理解
解	tɕiɛ2	讲~,~开
觸	tʂʰuo7	
譽	y5	荣~
誓	ʂʅ5	
謬	niou2	
警	tɕiŋ3	
計	tɕi5	
訂	tiŋ5	签订,订约
訃	fu5	
認	ʐəŋ5	
譏	tɕi1	
討	tʰau3	
讓	ʐaŋ5	
訖	tɕʰi7	
訓	ɕyŋ5	
議	i5	
議	luəŋ5	
訊	syŋ5	
記	tɕi5	
講	tɕiaŋ3	
許	ɕy3	
訛	ɤ1	
論	luəŋ5	
論	luəŋ2	论语
訟	suəŋ5	
諷	fəŋ2	
訪	faŋ2	
訣	tɕyo7	
證	tʂəŋ5	
評	pʰiŋ2	
識	ʂʅ7	
詐	tʂɔ5	
訴	su5	
診	tʂəŋ3	
詞	tsʰɿ2	
譯	i5	
試	ʂʅ5	
詩	ʂʅ2	
誠	tʂʰəŋ2	
誅	tʂu1	
話	xɔ5	
誕	ta5	
詭	kuei3	
該	kai1	
詳	siaŋ2	
誣	u2	
語	y3	
誤	u5	
誘	iou5	
説	ʂuo7	
誦	suəŋ5	
請	tsʰiŋ3	
諸	tʂu2	
諾	nuo7	
讀	tuo7	
課	kʰɤ5	
誰	ʂei2	
調	tiau5	~动
調	tʰiau2	调和
調	tiau5	音~
諒	liaŋ5	
談	tʰa2	
誼	i5	
謀	mu2	
諜	tiɛ7	
謊	xuaŋ3	
諧	ɕiɛ2	
謂	vei5	
諺	ia5	
謎	mi2	
謝	siɛ5	
謡	iau2	
謗	paŋ5	
謙	tɕʰia2	
謹	tɕiŋ3	
譚	tʰa2	
譜	pʰu3	
谷	kuo7	山~
谷	kuo7	稻~
豁	xuo7	~然,~嘴:~口
豆	tou5	
豇	tɕiaŋ1	~豆
豌	va2	~豆
豚	tʰuəŋ2	
象	siaŋ5	
豪	xau2	
豫	y5	
豹	pau5	
豺	tʂʰai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tʂəŋ1	
負	fu5	
貢	kuəŋ5	
財	tsʰai2	
責	tsəʔ7	
賢	ɕia2	
敗	pai5	
賬	tʂaŋ5	
貨	xuo5	
質	tʂʅ7	
販	fa5	
貪	tʰa1	
貧	pʰiŋ1	
購	kn̩5	
貫	kua5	
貳	ɭ̩5	贰心
賤	tsia5	
貴	kuei5	
貸	tai5	
貿	mau5	
費	fei5	~用
賀	xɤ5	
賊	tsei7	
賈	tɕio3	姓
賄	xuei5	
賃	liŋ5	租赁
賂	lu5	
資	tsɿ2	
賒	ʂɤ1	
賭	tu3	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tʂuei5	点~
賺	tʂua5	
賽	sai5	
贊	tsa5	
贈	tsəŋ5	
贏	iŋ2	
赤	tʂʰʅ7	
赦	ʂɤ5	
走	tsn̩3	
赴	fu5	
趙	tʂau5	
趕	ka3	
起	tɕʰi3	
趁	tʂʰəŋ5	
超	tʂʰau1	
越	yo7	
趨	tsʰy1	
趟	tʰaŋ5	一~
趣	tsʰy2	
足	tsuo7	
趼	tɕia3	~子,老~
趾	tʂʅ3	
躍	yo7	
跌	tiɛ7	
跑	pʰau2	
跗	fu5	附面,脚面
跛	pʰuo2	~足
距	tɕy5	
跟	kəŋ1	
跨	kʰɔ5	
跪	kuei5	
路	lu2	
路	lu5	
跳	tʰiau5	
踐	tsia5	
踏	tʰa7	
踒	uo1	~了脚
踢	tʰi7	
蹤	tsuəŋ1	
踱	tuo7	
蹄	tʰi2	
躡	niɛ7	~脚走
蹭	tsʰəŋ5	
蹲	tuəŋ2	
躁	tsau5	
身	ʂəŋ2	
躱	tuo3	
躺	tʰaŋ3	
車	tɕy1	车马
車	tʂʰɤ1	马车
軌	kuei3	
轉	tʂua3	~眼,~送
轉	tʂua5	~圆圈,~螺丝
輪	luəŋ2	
軟	ʐua3	
轟	xuəŋ2	~出去
輕	tɕʰiŋ1	~重,年~
載	tsai3	
載	tsai3	~重
載	tsai3	年~
轎	tɕiau5	
較	tɕiau5	
輔	fu2	
輛	liaŋ5	
輩	pei5	
輝	xuei2	
輯	tsi7	编~
輸	ʂu2	
輸	ʂu5	运~
轅	ya2	
轄	ɕio7	(老年人:管辖)
轄	ɕia7	(新:管辖)
辛	siŋ2	
辣	la7	
辨	pia5	
辯	pia5	
辮	pia5	
辰	tʂʰəŋ2	
辱	ʐu7	
邊	pia1	
遼	liau2	
達	ta7	
遷	tsʰia1	
迂	y1	
迅	syŋ5	
過	kuo5	
邁	mai5	
迎	iŋ2	
運	yŋ5	
近	tɕiŋ5	
還	xa2	还有
還	xua2	还原
進	tsiŋ5	
遠	ya3	
違	vei2	
連	lia2	
遲	tʂʰʅ2	
迥	tɕyŋ3	~然不同
述	ʂuo7	
迷	mi2	
迹	tsi7	
追	tʂuei1	
退	tʰuei5	
送	suəŋ5	
適	ʂʅ7	合适,适合
逃	tʰau2	
逆	ni5	顺逆,逆风
選	sya3	
遜	syŋ5	
透	tʰou5	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰuəŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	~能
速	suo7	
造	tsau5	建造
逢	fəŋ2	
逵	kʰuei1	
逸	i5	
逼	pi7	
逾	y2	
遁	tuəŋ5	
遇	y5	
遍	pia5	~地
遐	ɕio2	
道	tau5	
遺	i2	
遣	tɕʰia3	
遭	tsau1	
遮	tʂɤ1	
遵	tsuəŋ1	
避	pi5	
邀	iau1	
鄧	təŋ5	
那	nuo2	
那	na7=	
那	nei5-	那边
邦	paŋ1	
邪	siɛ2	
郵	iou2	
鄰	liŋ2	
郁	y5	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂəŋ5	
郝	xa7	姓
郡	tɕyŋ5	
部	pu5	
郭	kuo7	
都	tou1	~是
都	tu1	都城
鄂	ɤ5	
鄙	pi3	
酌	tʂuo7	
配	pʰei5	
酒	tsiou3	
酥	su2	
酬	tʂʰn̩2	
醬	tsiaŋ5	
酸	sua2	
醇	tʂʰuəŋ2	酒味~
醉	tsuei5	
醋	tsʰu5	
醒	siŋ3	
釀	niaŋ5	
采	tsʰai3	
釋	ʂʅ7	
里	li3	
重	tʂuəŋ5	
重	tʂʰuəŋ2	~复
野	iɛ3	
量	liaŋ5	数~
量	liaŋ2	量长短
金	tɕiŋ1	
釜	fu3	
錶	piau3	钟表
鏊	au5	烙饼工具
針	tʂəŋ1	
釘	tiŋ5	~住
釘	tiŋ1	铁钉
釣	tiau5	
釵	tʂʰai1	
鈍	tuəŋ5	
鈔	tʂʰau2	钱~
钟	tʂuəŋ1	
钟	tʂuəŋ1	~爱
鋼	kaŋ1	
鑰	yo7	~匙
欽	tɕʰiŋ1	
鈞	tɕyŋ1	
鉤	kn̩1	
鈀	pʰɔ1	(~子)
錢	tsʰia2	
鉗	tɕʰia2	
鐵	tʰiɛ7	
鈴	liŋ2	
鉛	tɕʰia2	
鐸	tuo7	
銅	tʰuəŋ2	
鍘	tʂɔ7	(~力)
鏵	xɔ2	
銘	miŋ2	
鉸	tɕiau3	
鏟	tʂʰa3	
銀	iŋ2	
鑄	tʂu5	
鋪	pʰu1	
鋪	pʰu5	店~
銷	siau2	
鎖	suo3	
鋤	tʂʰu2	
鍋	kuo1	
鏽	siou5	铁~
銼	tsʰuo5	
鋒	fəŋ1	
銳	ʐuei5	
錯	tsʰuo5	
錯	tsʰuo5	~杂
錫	ɕi7	
鑼	luo2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕiŋ3	
錠	tiŋ5	
鋸	tɕy5	~子,~木头
鍬	tsʰiou1	
鍛	tua5	
鍛	tua5	~炼
鍍	tu5	
鎮	tʂəŋ5	
鑷	niɛ7	~子
鏡	tɕiŋ5	
镢	tɕyɛ7	~头,大锄
鐲	tsuo7	
鐮	lia2	
鑲	siaŋ2	
長	tʂʰaŋ2	~短
長	tʂaŋ3	生长
門	məŋ2	
閂	ʂua2	
閃	ʂa3	
閉	pi5	
問	vəŋ5	
闖	tʂʰuaŋ3	
閏	ʐuəŋ5	
闲	ɕia2	
間	tɕia5	~断,~或
間	tɕia1	空~。中~
間	tɕia5	车~
悶	məŋ5	
閘	tʂɔ7	
鬧	nau5	
閨	kuei1	
聞	vəŋ2	
閩	miŋ2	~越
閣	kəʔ7	
鬮	tɕiou1	拈~
閲	yo7	
閻	ia2	
闊	kʰuo7	
隊	tuei5	
防	faŋ2	
陽	iaŋ2	
陰	iŋ1	
陣	tʂəŋ5	
階	tɕiɛ1	
阻	tsu3	
阿	a1	~哥
附	fu5	
際	tsi5	
陳	tʂʰəŋ2	
陋	ln̩5	
陌	məʔ7	陌生
降	tɕiaŋ5	下~
降	ɕiaŋ2	投~,~伏
限	ɕia5	
陝	ʂa3	陕西
陛	pi5	~下
陡	tou3	
院	ya5	
除	tʂʰu2	
險	ɕia3	
陪	pʰei2	
陵	liŋ2	
陶	tʰau2	
陷	ɕia5	
隆	luəŋ2	
隨	suei2	
隱	iŋ3	
隔	ka7	
隘	ai3	
障	tʂaŋ5	保~
隧	suei5	~道
隶	li5	
難	na2	~易
難	na5	患~
雀	tsʰyɛ7	麻~
雁	ia5	
雄	ɕyŋ2	
雅	io2	
集	tsi7	
雇	ku5	
雍	yŋ1	
雛	tʂʰu2	
雕	tiau1	
雨	y3	
雪	syo7	
雲	yŋ2	云彩
零	liŋ2	
雷	luei2	
雹	pau5	
霧	u5	
需	sy1	
霄	siau2	
震	tʂəŋ5	
霍	xuo5	
霜	ʂuaŋ2	
霞	ɕio2	
露	lu5	
霸	pɔ5	
青	tsʰiŋ1	
靖	tsiŋ5	
靜	tsiŋ5	
非	fei1	
靠	kʰau5	
靡	mi5	
面	mia5	
革	ka7	
靴	ɕyo1	
鞋	ɕiɛ2	
鞍	a1	
鞘	tsʰiau5	刀~
鞭	pia1	
韓	xa2	
韭	tɕiou3	
音	iŋ1	
韻	yŋ5	
韶	ʂau2	~关
頁	iɛ7	
頂	tiŋ3	
項	ɕiaŋ5	
順	ʂuəŋ5	
须	sy1	
頑	va2	~皮,~固
顧	ku5	
頓	tuəŋ5	
頒	pa1	
頌	suəŋ5	
預	y5	
領	liŋ3	
頗	pʰuo1	
頻	pʰiŋ1	~繁
穎	iŋ3	
顆	kʰɤ2	一~珠
題	tʰi3	
顔	ia2	
額	əʔ7	
顴	tɕʰya2	~骨
風	fəŋ1	
颼	sn̩2	
飄	pʰiau1	
飛	fei1	
食	ʂʅ7	
餐	tsʰa1	
饥	tɕi1	~饿
饥	tɕi1	~荒
飩	tuəŋ5	馄~
飯	fa5	
飲	iŋ3	
飲	iŋ3	~马
餞	tsia5	~行
飾	ʂʅ7	
飽	pau3	
飼	sɿ2	
餌	ɭ̩2	
饒	ʐau2	
餅	piŋ3	
餓	ɤ5	
餘	y2	
餛	xuəŋ2	~饨
館	kua3	
饞	tʂʰa2	
饃	muo2	
餾	liou5	
首	ʂn̩3	
香	ɕiaŋ2	
馬	mɔ3	
馱	tʰuo2	~子
馱	tʰuo2	拿,驮起来
馳	tʂʰʅ2	
驅	tɕʰy1	
驢	ly2	
駛	ʂʅ3	
駐	tʂu5	
駝	tʰuo2	
駕	tɕio5	
駡	mɔ5	
驕	tɕiau1	
駭	xai5	惊~
驗	ia5	
騎	tɕʰi2	
騙	pʰia5	欺~
騾	luo2	
骨	kəʔ7	~头
骨	kuo7	筋~
髓	suei3	
高	kau1	
鬃	tsuəŋ1	马~,猪~
鬢	piŋ5	
鬚	sy1	
鬥	tou5	
鬼	kuei3	
魁	kʰuei2	
魂	xuəŋ2	
魄	pʰa7-	
魄	pʰuo5=	
魏	vei5	
魔	muo2	
魚	y2	
魯	lu3	
鮮	sya2	新鲜
鯉	li3	
鯽	tsi7	
鯨	tɕiŋ2	
鰓	sai1	
鰭	tɕʰi2	
鱉	piɛ7	
鱖	kuei5	
鱗	liŋ2	
鳥	niau3	
雞	tɕi2	
鳴	miŋ2	
鴉	io1	
鸕	lu2	~鹚
鴨	ia7	
鴿	kəʔ7	
鴻	xuəŋ2	
鵝	ɤ2	
鵲	tsʰyɛ7	喜~
鵪	a1	
鶴	xɤ5	
鸚	iŋ1	~鹉,~哥
鷹	iŋ1	
鹿	luo7	
麝	ʂɤ5	~香
麥	ma7	
麩	fu1	麦~子
麪	mia5	~食
麻	mɔ2	
黃	xuaŋ2	
黍	ʂu3	
黎	li2	
黏	nia2	~米,~起来
黑	xa7	
默	ma7	
鼎	tiŋ3	
鼓	ku3	
鼠	ʂu3	
鼻	piɛ7	
齊	tsʰi2	
齒	tʂʰʅ3	
龍	luəŋ2	
龜	kuei1	
